i,j,value
nr15new,2044,0.15
nr15new,2046,0.15
nr15new,2048,0.15
nr15new,2050,0.15
nr16new,2010,0.15
nr16new,2012,0.15
nr16new,2014,0.15
nr16new,2016,0.15
nr16new,2018,0.15
nr16new,2020,0.15
nr16new,2022,0.15
nr16new,2024,0.15
nr16new,2026,0.15
nr16new,2028,0.15
nr16new,2030,0.15
nr16new,2032,0.15
nr16new,2034,0.15
nr16new,2036,0.15
nr16new,2038,0.15
nr16new,2040,0.15
nr16new,2042,0.15
nr16new,2044,0.15
nr16new,2046,0.15
nr16new,2048,0.15
nr16new,2050,0.15
nr17new,2010,0.15
nr17new,2012,0.15
nr17new,2014,0.15
nr17new,2016,0.15
nr17new,2018,0.15
nr17new,2020,0.15
nr17new,2022,0.15
nr17new,2024,0.15
nr17new,2026,0.15
nr17new,2028,0.15
nr17new,2030,0.15
nr17new,2032,0.15
nr17new,2034,0.15
nr17new,2036,0.15
nr17new,2038,0.15
nr17new,2040,0.15
nr17new,2042,0.15
nr17new,2044,0.15
nr17new,2046,0.15
nr17new,2048,0.15
nr17new,2050,0.15
nr18new,2010,0.155
nr18new,2012,0.155
nr18new,2014,0.155
nr18new,2016,0.155
nr18new,2018,0.155
nr18new,2020,0.155
nr18new,2022,0.155
nr18new,2024,0.155
nr18new,2026,0.155
nr18new,2028,0.155
nr18new,2030,0.155
nr18new,2032,0.155
nr18new,2034,0.155
nr18new,2036,0.155
nr18new,2038,0.155
nr18new,2040,0.155
nr18new,2042,0.155
nr18new,2044,0.155
nr18new,2046,0.155
nr18new,2048,0.155
nr18new,2050,0.155
nr19new,2010,0.15
nr19new,2012,0.15
nr19new,2014,0.15
nr19new,2016,0.15
nr19new,2018,0.15
nr19new,2020,0.15
nr19new,2022,0.15
nr19new,2024,0.15
nr19new,2026,0.15
nr19new,2028,0.15
nr19new,2030,0.15
nr19new,2032,0.15
nr19new,2034,0.15
nr19new,2036,0.15
nr19new,2038,0.15
nr19new,2040,0.15
nr19new,2042,0.15
nr19new,2044,0.15
nr19new,2046,0.15
nr19new,2048,0.15
nr19new,2050,0.15
nr20new,2010,0.123
nr20new,2012,0.123
nr20new,2014,0.123
nr20new,2016,0.123
nr20new,2018,0.123
nr20new,2020,0.123
nr20new,2022,0.123
nr20new,2024,0.123
nr20new,2026,0.123
nr20new,2028,0.123
nr20new,2030,0.123
nr20new,2032,0.123
nr20new,2034,0.123
nr20new,2036,0.123
nr20new,2038,0.123
nr20new,2040,0.123
nr20new,2042,0.123
nr20new,2044,0.123
nr20new,2046,0.123
nr20new,2048,0.123
nr20new,2050,0.123
nr21new,2010,0.123
nr21new,2012,0.123
nr21new,2014,0.123
nr21new,2016,0.123
nr21new,2018,0.123
nr21new,2020,0.123
nr21new,2022,0.123
nr21new,2024,0.123
nr21new,2026,0.123
nr21new,2028,0.123
nr21new,2030,0.123
nr21new,2032,0.123
nr21new,2034,0.123
nr21new,2036,0.123
nr21new,2038,0.123
nr21new,2040,0.123
nr21new,2042,0.123
nr21new,2044,0.123
nr21new,2046,0.123
nr21new,2048,0.123
nr21new,2050,0.123
nr22new,2010,0.13
nr22new,2012,0.13
nr22new,2014,0.13
nr22new,2016,0.13
nr22new,2018,0.13
nr22new,2020,0.13
nr22new,2022,0.13
nr22new,2024,0.13
nr22new,2026,0.13
nr22new,2028,0.13
nr22new,2030,0.13
nr22new,2032,0.13
nr22new,2034,0.13
nr22new,2036,0.13
nr22new,2038,0.13
nr22new,2040,0.13
nr22new,2042,0.13
nr22new,2044,0.13
nr22new,2046,0.13
nr22new,2048,0.13
nr22new,2050,0.13
nr23new,2010,0.12
nr23new,2012,0.12
nr23new,2014,0.12
nr23new,2016,0.12
nr23new,2018,0.12
nr23new,2020,0.12
nr23new,2022,0.12
nr23new,2024,0.12
nr23new,2026,0.12
nr23new,2028,0.12
nr23new,2030,0.12
nr23new,2032,0.12
nr23new,2034,0.12
nr23new,2036,0.12
nr23new,2038,0.12
nr23new,2040,0.12
nr23new,2042,0.12
nr23new,2044,0.12
nr23new,2046,0.12
nr23new,2048,0.12
nr23new,2050,0.12
nr24new,2010,0.213
nr24new,2012,0.213
nr24new,2014,0.213
nr24new,2016,0.213
nr24new,2018,0.213
nr24new,2020,0.213
nr24new,2022,0.213
nr24new,2024,0.213
nr24new,2026,0.213
nr24new,2028,0.213
nr24new,2030,0.213
nr24new,2032,0.213
nr24new,2034,0.213
nr24new,2036,0.213
nr24new,2038,0.213
nr24new,2040,0.213
nr24new,2042,0.213
nr24new,2044,0.213
nr24new,2046,0.213
nr24new,2048,0.213
nr24new,2050,0.213
nr25new,2010,0.097
nr25new,2012,0.097
nr25new,2014,0.097
nr25new,2016,0.097
nr25new,2018,0.097
nr25new,2020,0.097
nr25new,2022,0.097
nr25new,2024,0.097
nr25new,2026,0.097
nr25new,2028,0.097
nr25new,2030,0.097
nr25new,2032,0.097
nr25new,2034,0.097
nr25new,2036,0.097
nr25new,2038,0.097
nr25new,2040,0.097
nr25new,2042,0.097
nr25new,2044,0.097
nr25new,2046,0.097
nr25new,2048,0.097
nr25new,2050,0.097
nr26new,2010,0.2
nr26new,2012,0.2
nr26new,2014,0.2
nr26new,2016,0.2
nr26new,2018,0.2
nr26new,2020,0.2
nr26new,2022,0.2
nr26new,2024,0.2
nr26new,2026,0.2
nr26new,2028,0.2
nr26new,2030,0.2
nr26new,2032,0.2
nr26new,2034,0.2
nr26new,2036,0.2
nr26new,2038,0.2
nr26new,2040,0.2
nr26new,2042,0.2
nr26new,2044,0.2
nr26new,2046,0.2
nr26new,2048,0.2
nr26new,2050,0.2
nr27new,2010,0.17
nr27new,2012,0.17
nr27new,2014,0.17
nr27new,2016,0.17
nr27new,2018,0.17
nr27new,2020,0.17
nr27new,2022,0.17
nr27new,2024,0.17
nr27new,2026,0.17
nr27new,2028,0.17
nr27new,2030,0.17
nr27new,2032,0.17
nr27new,2034,0.17
nr27new,2036,0.17
nr27new,2038,0.17
nr27new,2040,0.17
nr27new,2042,0.17
nr27new,2044,0.17
nr27new,2046,0.17
nr27new,2048,0.17
nr27new,2050,0.17
