r,H1,H10,H11,H12,H13,H14,H15,H16,H17,H2,H3,H4,H5,H6,H7,H8,H9
p11,1649.37937,1964.30515,2039.15136,2287.52742,1499.3568,1951.9304,1997.06087,2073.17494,3293.95652,2246.26344,2407.88243,2344.29005,1724.38138,2344.0694,2689.81278,2496.11334,1578.46674
p110,692.53308,849.04891,793.22163,855.84295,631.24524,734.4109,757.99876,761.97031,1137.49184,799.53546,944.59487,931.90564,614.37917,716.49013,757.97781,759.52206,754.42563
p111,5395.28881,6031.43954,5964.50735,6308.62274,4782.27046,5637.752,5839.74897,5747.36481,9416.49053,6300.7289,7292.15927,7227.15886,4652.39574,5534.70557,5841.23251,5803.08013,5196.50422
p112,6811.11558,8122.89177,7699.37365,8224.19305,6171.55906,7187.18972,7423.08134,7410.02298,11150.01818,7811.26294,9165.43234,9068.0605,6008.5767,7018.35897,7416.39806,7400.74514,7163.5414
p113,1556.57245,1775.60945,1713.20926,1816.05031,1336.09827,1610.4129,1680.98339,1659.24018,2768.17357,1828.5755,2160.87116,2145.25087,1309.71249,1593.13807,1682.81634,1664.86478,1509.10416
p114,2620.74212,2784.69199,2700.2967,2882.7127,2125.12822,2532.92132,2717.86787,2696.88264,4567.66581,3017.4418,3627.22826,3619.69892,2114.58435,2526.03514,2731.77508,2712.03271,2394.65908
p115,3202.71654,3677.14116,3596.34553,3839.25806,2853.98896,3353.32842,3517.46735,3514.94231,5516.20682,3730.74044,4365.44084,4340.76343,2776.20104,3281.28738,3527.99338,3517.8807,3209.29967
p116,1750.99127,2221.47945,2106.76149,2285.10461,1626.70319,1912.04409,1962.14798,1991.44442,2979.41828,2050.83956,2416.39821,2401.14319,1574.83588,1861.79925,1974.64283,1995.24446,1948.08724
p117,1513.33258,1822.52248,1718.10592,1838.11937,1380.15576,1600.93182,1651.61357,1652.5492,2446.25334,1728.81708,2029.78147,2007.6675,1343.10822,1560.84759,1649.67472,1648.09298,1615.33837
p118,2127.41056,2554.54659,2407.74049,2576.16187,1934.47523,2250.19051,2325.77186,2322.80882,3454.25304,2446.78962,2871.63611,2829.10791,1884.89409,2196.62211,2323.14626,2315.98542,2263.83877
p119,363.57275,467.76656,445.5947,483.63172,339.1608,402.68727,410.70448,417.67005,622.29056,430.87558,503.29181,499.93436,327.88073,392.14354,414.1717,419.11096,406.49518
p12,1204.17849,1287.24071,1276.95489,1374.02366,1115.33185,1239.40719,1255.03473,1285.52325,1793.12611,1349.21966,1538.9848,1539.71987,1111.99903,1244.85771,1351.10607,1365.75743,1170.96433
p120,213.07618,273.99217,260.87151,283.39016,199.09309,235.75559,240.73904,244.99278,365.1946,251.9403,294.96954,293.27107,192.55783,229.65167,242.77167,245.87818,238.62302
p121,671.52835,864.70503,821.398,894.25588,627.22956,740.03911,758.29005,772.71338,1160.52077,792.23256,934.26036,929.70401,606.3207,720.33279,764.74719,775.18266,756.05114
p122,11787.56453,13932.57003,13606.5499,14618.78367,10109.66808,12433.0852,12615.81969,12731.89088,20017.29065,14239.94517,16106.31101,15886.19331,9957.90749,12332.58154,13006.05028,13000.65542,11693.8237
p123,7606.25072,8380.77597,8032.56692,8760.68504,6151.47285,7547.60994,7900.23414,7962.80856,14171.68323,9292.61038,11005.13764,10812.14253,6094.33041,7577.64733,8399.11861,8279.97344,7097.45516
p124,60.1789,67.57915,63.67432,71.42186,48.52333,58.65649,59.85657,61.87267,116.73728,74.63807,89.60003,88.08888,48.28787,59.78041,66.1108,65.93,58.34356
p125,1241.7379,1394.43544,1313.86272,1473.72619,1001.23552,1210.32417,1235.08675,1276.68724,2408.76937,1540.08986,1848.81661,1817.63527,996.37696,1233.51543,1364.13717,1360.40656,1203.86714
p126,9093.87755,8568.68257,8761.26061,9695.63822,6939.11003,8246.45436,8728.94952,9049.70931,17842.10474,10828.38431,13062.97508,13056.58739,7126.99099,8574.37728,9581.27338,9721.89796,7342.85039
p127,13753.75148,13807.05738,14690.34705,15626.34243,11246.64252,13596.92505,14384.65357,14335.83273,22744.29494,16347.38715,18276.3431,17958.55344,11469.47338,14002.82239,15158.52407,15055.39229,12254.53266
p128,2373.6882,2014.24679,2182.39666,2497.84691,1715.9527,2059.52459,2232.23719,2333.00856,4645.08583,2864.5336,3494.96243,3451.39748,1809.5688,2208.65589,2527.55745,2577.15626,1833.706
p129,563.48216,693.66823,712.61919,768.55095,508.36688,619.70846,648.07452,659.2268,897.10543,663.87063,741.2903,748.5744,498.65248,615.44228,656.92619,677.88366,578.17591
p13,2843.91269,2082.5664,2093.0263,2349.5284,2123.28937,2242.72246,2629.51064,2689.51126,4895.1113,3102.6524,4091.60118,3994.773,2224.36385,2414.73191,3145.28238,3017.32174,2030.71774
p130,1117.14578,1308.64069,1354.84934,1485.65407,953.13642,1183.72509,1262.70051,1286.96179,1964.18223,1328.73037,1545.76569,1565.42551,962.09641,1199.39072,1318.05483,1353.45569,1071.20584
p131,6279.9675,6540.87793,6844.89348,7492.51049,5092.28462,6064.7526,6582.66514,6672.85267,11180.36993,7175.67129,8444.41495,8552.09799,5157.0741,6147.82704,6911.46151,7037.82689,5552.63208
p132,3319.24595,3508.52052,3637.10766,4015.37031,2653.05682,3207.2391,3485.19559,3533.60293,6156.31909,3805.09941,4630.10938,4683.63766,2670.45978,3223.50347,3674.32414,3738.84452,2950.92584
p133,876.24237,874.4447,923.40976,1025.59864,681.27862,807.37365,883.54481,900.49002,1626.27048,996.92793,1200.56497,1214.32415,703.36653,831.71139,946.59658,969.42421,745.18668
p134,1184.74301,1390.86577,1420.12273,1545.82636,1048.06637,1285.13295,1325.12578,1357.21477,1825.7443,1415.31918,1564.86282,1574.16344,1053.03548,1309.17484,1381.59364,1422.35339,1151.38152
p14,358.3934,519.49963,509.32578,530.5067,377.51699,462.74413,444.68267,453.58102,574.64823,436.66463,474.6084,472.53116,347.57336,430.32367,435.80319,442.38966,428.11338
p15,1688.63462,1606.76865,1500.35489,1627.21513,1294.48495,1548.64553,1518.05763,1537.99624,2534.2588,1863.70859,2149.84402,2202.51327,1214.42756,1440.28156,1501.73886,1535.15228,1342.27249
p16,590.88246,570.2534,551.12047,588.35479,457.59995,548.55338,542.8759,545.85764,917.24567,688.06501,782.67218,776.02061,482.50382,577.65524,608.08202,606.37906,485.25562
p17,698.99055,961.03335,920.74728,985.60817,729.41948,866.35483,827.98179,842.00739,954.57929,792.45546,855.964,856.46624,633.52301,750.37586,763.71626,780.55458,807.37645
p18,399.11541,497.32008,489.61077,519.25949,373.68654,433.98798,427.18625,430.79285,597.87933,469.00803,502.75997,493.84124,356.8843,419.22952,428.41747,427.16925,436.65877
p19,9.85055,12.27434,12.08407,12.81582,9.22294,10.71124,10.54337,10.63238,14.75624,11.57557,12.4086,12.18848,8.80825,10.34699,10.57376,10.54295,10.77716
p2,2591.97073,3482.74974,3315.41231,3509.69161,2639.82684,3195.72778,2996.00336,3087.70964,3698.48885,3085.96443,3244.35533,3228.10768,2366.95987,2903.71543,2910.92221,2956.39074,2862.71988
p20,226.55255,233.93928,231.26536,244.48395,186.17432,211.89824,209.14802,211.32526,326.73638,258.79183,273.0844,271.80601,202.08225,231.68872,235.7663,236.05979,208.62918
p21,862.913,980.97016,972.81392,1023.11618,804.65813,898.62056,895.96586,912.74128,1141.17889,944.1497,1021.22838,1027.51712,780.94961,867.24035,904.87998,907.98881,896.18779
p22,141.65,187.30701,183.42749,193.96257,132.9186,159.76717,157.36053,158.12668,241.36419,171.791,191.87463,187.2743,122.74226,147.9179,157.34797,154.09389,160.88641
p23,134.50331,128.17101,130.10336,134.40627,116.28049,107.95021,109.29612,116.33325,119.46912,114.35038,108.24402,125.30325,111.80867,100.7254,102.04913,108.37923,135.88674
p24,862.71509,753.13746,757.35736,787.99216,658.02882,656.96594,660.76181,691.03646,952.63095,816.56326,820.59069,893.33928,714.61693,703.79962,724.62164,748.86269,754.41687
p25,2791.70907,3245.82949,3190.72201,3377.01056,2501.53037,3006.04654,2981.41597,2987.08116,4373.07385,3384.9782,3813.4974,3681.06302,2533.05343,3051.84126,3223.11722,3168.9834,2790.01825
p26,113.31706,157.25323,154.59569,163.26248,117.17948,138.19373,136.72419,137.77252,166.01548,132.82993,147.94715,144.43706,102.41811,120.27367,126.45208,125.14793,137.25366
p27,1065.90443,886.06909,854.28966,906.60662,957.29907,1016.9791,1082.45111,1089.27486,1511.4096,1133.97385,1222.58054,1236.39681,826.81302,856.80221,1010.9252,963.12546,862.40541
p28,6289.24237,5249.11448,4947.45558,5515.6262,4716.95326,5407.9318,6221.90195,6313.81002,11153.34914,7326.19718,9325.27755,9032.38805,5075.24726,5854.36156,7466.70895,7082.38677,4641.58963
p29,88.65132,103.87475,98.54726,109.04283,86.61118,102.21647,120.91683,121.59868,201.01168,105.37058,134.32747,133.4009,75.15614,88.92042,115.61066,109.28687,89.22493
p3,1207.46563,1551.98472,1502.50271,1574.16702,1137.71346,1387.85614,1318.59411,1351.9475,1930.00751,1453.98733,1558.22201,1564.58227,1120.10039,1382.02397,1396.06677,1418.07733,1277.95279
p30,1217.98099,1087.03816,1055.59992,1149.1174,960.6091,1108.35739,1266.10361,1256.15029,2145.02916,1473.42687,1823.52132,1702.48222,1025.74251,1208.56423,1508.02828,1402.39089,969.04683
p31,1669.36614,1770.98627,1716.90252,1952.54774,1436.82878,1716.90778,1844.75702,1866.10234,2867.96439,2143.53104,2555.72593,2371.01494,1444.81883,1770.02029,2021.27431,1953.03241,1557.77847
p32,189.7642,174.78854,177.50554,183.38832,163.31388,150.85035,152.70658,162.93006,168.63849,160.78092,151.66594,176.15824,160.52902,144.31361,146.28163,155.39928,186.08537
p33,4346.262,4509.6355,4510.87248,4888.06921,3614.91978,4123.56493,4312.00188,4412.19493,6660.98871,4857.64346,5637.43372,5606.61447,3707.52206,4209.57084,4536.93353,4617.68807,4038.38256
p34,1680.49287,1657.289,1668.96154,1770.31718,1429.88761,1474.51815,1518.84303,1584.81539,2006.13285,1647.40665,1757.88876,1859.62063,1430.63662,1452.74498,1524.50293,1581.05578,1612.41796
p35,55.1345,75.81436,76.53996,74.01267,55.9656,66.88549,66.30375,61.36021,105.04696,81.75939,86.96556,72.67402,54.16605,68.3792,70.51621,60.97273,66.7711
p36,314.13132,436.499,441.00727,425.07757,321.86803,384.28544,381.14476,351.56595,604.2397,470.09449,500.60149,415.23382,310.35587,392.59032,405.36412,348.14006,385.01924
p37,940.16797,1185.91322,1162.92707,1215.51613,866.37364,1061.48991,1052.68443,1032.14528,1678.47913,1249.86889,1362.4722,1279.41584,865.5477,1086.35704,1113.18783,1072.30364,1017.77704
p38,915.02493,1254.2448,1215.61212,1251.40718,899.47048,1104.22754,1106.94632,1062.97987,1788.12241,1315.54887,1484.30155,1319.70821,868.45997,1112.23014,1157.14545,1067.46813,1075.36224
p39,283.58994,208.79859,196.0464,205.38856,146.22491,175.68351,173.55901,167.29152,394.97128,319.87496,327.38246,322.53666,166.83543,198.27739,201.65812,190.69859,185.49192
p4,527.85101,585.88182,545.18418,572.05673,491.55182,539.52362,509.75099,520.17274,753.50968,586.27474,626.1222,618.39355,449.71492,501.03279,508.09382,505.05463,529.53773
p40,1679.29741,1195.21844,1097.78869,1178.55101,817.10187,990.40377,986.00392,974.66588,2294.63331,1831.25758,1886.14343,1910.09319,945.24008,1124.16836,1148.19043,1129.24956,1044.41902
p41,1918.97081,1929.87574,1879.99021,2019.79697,1460.32306,1833.36605,1961.45218,1897.41954,3604.4656,2443.33157,2862.36199,2721.61589,1492.01147,1860.71734,2002.05538,1944.31886,1649.75341
p42,431.8201,515.47261,507.10298,534.98803,381.94435,467.27228,463.7171,458.62858,743.28898,551.09354,592.93857,572.21842,388.32085,480.90902,489.83924,481.90965,443.55251
p43,6003.78222,7155.17414,7039.68112,7428.86848,5303.95746,6488.59617,6439.36231,6370.34924,10323.27429,7652.92103,8230.76385,7949.64536,5395.30983,6679.07814,6801.8842,6695.96687,6157.35576
p44,179.11901,214.41404,209.11271,220.10064,159.14768,194.6774,195.89046,191.8335,316.87881,233.21384,256.53155,242.15227,160.20954,198.49094,203.73263,197.6621,185.08676
p45,1111.16641,1322.98949,1274.0323,1338.93903,986.42268,1206.18148,1238.75066,1197.89753,2063.04966,1479.16753,1671.24553,1540.31035,981.65711,1214.06917,1259.38422,1201.22045,1148.29663
p46,863.11552,1028.45314,1011.86377,1067.83821,762.4041,932.68238,925.60758,915.7142,1483.91628,1100.05056,1183.05852,1142.75702,775.58073,960.08075,977.71367,962.55687,885.03908
p47,795.31627,693.6688,664.87486,695.11597,655.55039,726.86186,774.78295,744.76483,1179.23848,915.75871,1017.91062,951.86943,641.6199,718.46864,773.65725,729.98705,648.77366
p48,2659.20849,2295.5643,2195.8274,2287.47741,2168.36786,2363.52801,2542.94103,2506.28044,3881.13552,2918.71216,3342.86065,3239.35621,2120.4007,2329.86781,2546.51822,2466.29282,2136.90926
p49,87.1537,75.46571,72.10594,75.21468,71.04166,77.46818,83.35653,82.19456,127.42892,95.75875,109.7539,106.34348,69.56954,76.46998,83.61893,81.01275,70.24756
p5,3218.74438,4503.89502,4388.57569,4634.4667,3307.62821,4159.13099,3977.4897,4045.43403,5262.36778,4048.81156,4289.47009,4220.74365,3050.32906,3883.27665,3992.83463,3955.46365,3594.16499
p50,4137.43275,4089.03896,3810.90455,4125.61094,3159.02095,3807.98653,4220.24652,4098.76728,7495.9084,5144.4518,6198.21413,5822.28272,3381.20497,4083.73977,4634.46564,4405.43516,3607.75269
p51,2320.97602,2238.25888,2095.09674,2250.32145,1792.94841,2183.44594,2434.32642,2325.37466,4205.1432,2905.4858,3497.60346,3230.80294,1893.5174,2298.5065,2609.95194,2443.39747,1961.20322
p52,195.62836,177.06559,172.79651,176.06941,151.58712,174.18187,181.18835,174.68855,305.14227,230.64417,261.64863,248.7358,159.29368,185.18586,195.20384,186.11951,157.29546
p53,4431.88393,4256.41906,4104.05868,4343.8481,3380.63163,4164.11251,4477.2526,4299.7499,8093.249,5581.22623,6643.22226,6239.36398,3561.16289,4346.41665,4686.50162,4485.31347,3659.00569
p54,2534.51654,2680.88248,2528.72842,2771.57381,1932.79342,2442.75246,2657.34498,2582.89224,5167.00543,3321.374,4068.14494,3812.74806,1988.15738,2488.38775,2691.7388,2614.04341,2322.98336
p55,1145.35852,1304.2481,1204.93496,1320.68305,903.81943,1159.54238,1257.67181,1219.0224,2364.51381,1561.24584,1891.90221,1742.49262,928.97675,1187.82302,1286.87296,1233.25618,1133.32999
p56,1562.72846,1529.98788,1427.67106,1545.39896,1211.58429,1489.46646,1683.41241,1606.76654,2830.84214,1975.74397,2387.47291,2199.45159,1277.63874,1569.42709,1805.7809,1685.30558,1332.26199
p57,782.255,760.25823,706.13953,765.34828,597.89286,742.86611,841.48772,798.78109,1466.2131,998.25468,1218.99493,1117.61121,635.28433,785.44422,907.53976,842.44145,658.70406
p58,7256.70257,6923.76244,6580.9566,7149.18454,5876.19367,6949.32203,7932.43289,7662.61702,12080.54683,8759.53848,10352.66485,9696.48742,6104.08955,7253.76104,8439.07435,7977.61984,6172.1489
p59,650.75448,617.68659,618.46025,685.61944,530.48736,665.57647,757.45799,729.58869,1170.6048,852.905,1022.61488,928.78886,543.05207,697.52471,830.95205,765.58018,528.37087
p6,1020.09912,1294.515,1259.40276,1313.12648,979.15128,1180.93377,1144.3763,1143.08383,1591.99438,1289.08996,1394.51045,1307.61598,942.86466,1150.66472,1190.63606,1144.28622,1088.47518
p60,360.47059,373.76914,364.7504,385.55807,294.00168,362.89905,424.04012,401.77612,644.12362,450.09451,554.23071,508.21491,317.61312,394.28656,471.22934,433.28887,316.65387
p61,811.68714,863.67336,840.82525,890.06776,658.00429,812.33163,949.3411,899.42082,1450.40086,1013.49716,1247.98512,1144.36937,691.73352,858.82648,1028.02134,944.54333,732.28735
p62,773.23492,639.6524,624.30865,659.86563,545.29342,673.90382,791.28681,747.62229,1381.69073,965.48456,1188.86407,1090.15693,616.77721,765.95913,919.83371,843.82596,541.88115
p63,13707.06385,11996.50518,11684.03621,12365.18827,10350.09423,12783.03833,14974.26826,14167.32193,24493.1037,17115.05539,21074.88328,19325.11105,10803.91884,13417.73874,16123.01204,14786.43273,10170.10101
p64,3825.22321,3946.85251,3845.12983,4068.60435,3013.79409,3721.51247,4353.13196,4122.05568,6835.27777,4776.28965,5881.35677,5393.04874,3257.75338,4044.69602,4841.6824,4448.45765,3345.64747
p65,5753.18148,5815.93644,5679.55873,6001.04229,4689.32828,5787.95623,6763.35746,6408.09252,10280.33955,7183.59678,8845.63095,8111.20983,5072.17669,6296.61282,7525.15567,6919.36755,4926.04521
p66,2384.54961,2273.17687,2162.96336,2349.9726,1935.95201,2284.43071,2608.52283,2521.7916,3949.75439,2870.72924,3386.88025,3176.00923,2009.02118,2383.08617,2773.3843,2623.92634,2029.10642
p67,8876.92448,7841.00592,7678.62115,8099.61666,6823.56264,8425.17138,9863.92976,9335.29959,15862.14481,11083.99697,13648.44793,12515.26608,7699.36761,9558.58122,11432.21725,10508.07732,6634.94012
p68,352.28415,409.57585,399.032,421.9021,306.5978,374.724,378.86248,371.61948,616.57367,451.52736,496.57114,472.43137,310.65956,382.1109,391.85533,382.94743,354.44995
p69,493.33184,566.43526,544.93143,575.82032,427.04892,521.60172,538.5071,521.85599,902.53374,643.62064,726.13713,676.08073,428.49655,525.16227,543.96212,523.70402,493.03091
p7,182.72007,143.90125,134.76305,145.90951,115.89347,138.53404,135.24581,137.11118,293.51764,201.93177,229.07679,236.91226,130.50638,154.08748,161.58433,164.80591,120.30015
p70,3138.03971,3543.72733,3406.67887,3610.66044,2684.51601,3277.08265,3394.63663,3293.43335,5705.84455,4057.07849,4579.07013,4282.62012,2704.08818,3299.48167,3417.744,3305.39205,3092.37761
p71,199.00623,238.53858,221.7506,246.54352,161.38688,199.34691,212.08085,212.72973,411.08886,267.09327,324.2267,303.21171,167.37512,205.56381,219.64697,217.42598,217.28787
p72,4467.67461,5084.07964,4858.98111,5192.37424,3783.20025,4627.52712,4813.46625,4695.01961,8281.64473,5805.0196,6630.54402,6204.22581,3829.95255,4677.37007,4867.25793,4726.6221,4465.7271
p73,280.80061,337.86963,313.92254,348.77851,228.06798,282.17442,300.04906,300.61438,579.06362,377.26621,457.74203,427.8157,236.12911,290.45046,310.25024,306.75054,307.34318
p74,223.92101,234.21135,235.43011,250.1147,187.36962,229.03267,232.11743,229.22543,407.48188,277.32052,306.0948,299.48743,190.94294,235.52264,242.91476,240.52764,199.15339
p75,1122.25809,1209.62372,1208.90398,1254.17396,956.01841,1181.08289,1170.83602,1143.87185,2068.81916,1465.98438,1556.20946,1467.12412,976.9627,1215.33074,1230.79837,1190.66401,1004.93456
p76,1223.57164,1316.9138,1316.44123,1365.38617,1041.79607,1287.23342,1276.04581,1246.4363,2258.97891,1598.86213,1696.80791,1599.29049,1064.68821,1324.55244,1341.30475,1297.24137,1093.47329
p77,307.40289,347.76964,344.88705,360.83036,266.41269,327.58953,324.91773,319.34792,542.5324,396.9625,424.71257,404.27976,271.65873,337.14782,342.34537,333.98287,294.04848
p78,801.93815,863.11531,862.80559,894.88447,682.80106,843.66256,836.33012,816.92382,1480.55194,1047.90639,1112.1008,1048.18714,697.80474,868.12173,879.10132,850.22185,716.6707
p79,3033.29839,3264.6985,3263.52699,3384.86405,2582.66721,3191.11928,3163.3846,3089.98107,5600.12741,3963.66324,4206.47597,3964.72516,2639.41801,3283.63508,3325.16494,3215.92953,2710.77775
p8,150.72585,157.3442,154.37377,161.10433,124.24373,149.0821,146.10833,145.88068,242.17916,188.46184,204.57428,193.92516,136.92852,166.29841,174.05873,167.65872,132.9673
p80,10835.40139,10902.73843,10989.75202,11660.33503,8522.53855,10255.43485,10786.42646,10669.82784,20917.21552,13171.63172,15130.15063,14884.39355,8645.57025,10498.24335,11262.4904,11156.68748,9316.17166
p81,2686.01586,2878.95606,2793.71412,2977.15231,2258.7602,2705.91293,2813.32055,2762.1339,4939.79794,3419.92478,3871.00764,3649.45232,2316.80294,2776.96786,2881.223,2824.63803,2546.7708
p82,970.4407,1031.9477,1003.05457,1069.79903,813.8737,972.23391,1011.53736,994.98159,1789.2495,1232.80758,1396.3042,1318.12425,836.98626,1000.70824,1038.83863,1020.49087,914.7848
p83,1600.30031,1702.64197,1654.40095,1764.57247,1342.94149,1604.13903,1668.81311,1641.41215,2950.55858,2033.81718,2303.05886,2173.39688,1381.2484,1651.20123,1713.5855,1683.18418,1509.83513
p84,453.36927,535.77777,505.52318,548.94533,384.89653,471.74406,507.92523,498.69278,872.66972,601.67185,717.2844,663.13324,389.19449,476.03464,512.32615,497.9524,491.54892
p85,3855.53952,3695.31203,3510.2914,3812.59322,3126.58276,3698.14486,4217.63332,4075.99065,6400.39015,4658.63507,5495.73174,5147.63449,3243.59585,3857.35663,4480.39592,4236.46526,3292.55566
p86,2342.43969,2231.77174,2125.06372,2308.95622,1904.99296,2244.65691,2563.69386,2479.73153,3867.8374,2815.12879,3317.38093,3113.35035,1975.60683,2340.6836,2724.60506,2579.18118,1993.87647
p87,4165.03248,4134.20593,3936.58286,4257.35364,3493.93092,4168.73799,4697.70936,4502.54851,6858.30583,5117.0131,5920.04072,5505.25602,3586.04944,4298.88939,4925.45063,4628.85546,3718.14948
p88,1204.60446,1383.67758,1344.72545,1410.20664,1089.59393,1315.70451,1422.46437,1363.22548,2140.2598,1563.51518,1803.96743,1651.81678,1070.11874,1291.43063,1389.21615,1327.31301,1283.57235
p89,4956.61957,5417.82133,5173.60549,5501.57041,4349.36287,5282.21527,5769.98307,5488.64695,8553.71903,6379.46178,7276.88997,6673.17401,4369.52152,5317.24253,5813.14255,5476.81889,4956.87383
p9,12217.74278,12221.91108,12367.73031,13567.80884,10396.49301,12254.9308,12904.94377,13274.4891,21579.1726,14165.20122,16906.55753,17006.39295,11425.00127,13509.17743,15934.49152,15755.71108,10285.76688
p90,4578.6659,4855.88234,4572.7244,4986.62066,3871.44739,4800.55671,5370.83332,5086.87015,8124.70815,5997.40697,6885.62994,6296.23078,3970.70198,4942.62464,5573.93581,5178.66208,4421.32756
p91,1319.65032,1273.69977,1243.70298,1339.85767,1022.92332,1409.03434,1639.65115,1508.02634,2449.68015,1839.07956,2092.42582,1905.68403,1117.68696,1516.47531,1805.84424,1611.00902,1061.12372
p92,10533.12316,12119.0068,11774.40524,12348.05294,9534.6078,11510.38587,12430.22375,11918.99656,18674.48899,13662.59758,15761.1315,14437.32894,9361.31222,11296.07286,12141.51145,11606.69818,11235.60539
p93,1631.78918,1912.23707,1842.69613,1947.92013,1471.83664,1777.40945,1898.43533,1825.10823,2926.98696,2142.23349,2455.66657,2237.51357,1450.75006,1753.22067,1871.62141,1786.62368,1767.02164
p94,14825.13823,16064.17845,14908.71704,16343.33256,12334.75604,15269.58312,17330.29806,16832.11658,28040.9882,18782.10558,23060.68635,21608.36557,12385.11068,15528.6084,17782.37349,16977.55145,13910.04125
p95,2779.75663,3284.81471,3033.26921,3264.76552,2422.70042,3068.51816,3246.36633,3043.91239,5259.24841,3881.45226,4349.22496,3810.65835,2447.92651,3147.99903,3376.72022,3079.06271,2877.18325
p96,5712.54417,6304.27089,5770.19078,6408.70963,4925.87571,6031.79106,6512.65815,6179.57874,10434.87056,7688.59787,8620.66207,7702.16166,5013.66875,6300.18007,6967.61538,6354.47619,5801.23685
p97,7128.54138,8422.2217,7772.96972,8386.38207,6196.79916,7835.59848,8302.52106,7821.46377,13478.98688,9895.49471,11154.24822,9822.7299,6265.03936,8043.13395,8658.64104,7933.33419,7388.30116
p98,6679.53241,7894.69563,7208.70909,7990.52684,5622.02568,7055.74522,7539.8178,7394.18006,12912.79158,8922.08368,10524.29635,9637.94526,5753.70608,7347.02679,8200.57639,7775.89292,7013.41585
p99,9475.58436,10991.23462,10063.74573,11219.01103,7711.6903,9446.66236,9955.72599,10115.89372,17822.50272,11565.58988,14067.44855,13745.98578,7805.91009,9644.78582,10787.88287,10717.6896,9426.43833
