*r,h,MW
p166,H7,492.596
p166,H8,489.735
p166,H9,374.512
p166,H10,386.885
p166,H11,412.859
p166,H12,420.431
p166,H13,461.791
p166,H14,465.01
p166,H15,508.929
p166,H16,502.538
p166,H17,683.475
p167,H1,866.761
p167,H2,851.732
p167,H3,936.132
p167,H4,931.693
p167,H5,690.707
p167,H6,693.069
p167,H7,770.675
p167,H8,766.198
p167,H9,585.93
p167,H10,605.288
p167,H11,645.925
p167,H12,657.771
p167,H13,722.479
p167,H14,727.515
p167,H15,796.228
p167,H16,786.228
p167,H17,1069.308
p168,H1,370.691
p168,H2,357.545
p168,H3,389.948
p168,H4,377.727
p168,H5,318.345
p168,H6,318.898
p168,H7,352.061
p168,H8,338.622
p168,H9,248.464
p168,H10,264.13
p168,H11,279.384
p168,H12,273.835
p168,H13,284.836
p168,H14,289.869
p168,H15,317.756
p168,H16,306.987
p168,H17,440.577
p169,H1,283.981
p169,H2,273.911
p169,H3,298.734
p169,H4,289.371
p169,H5,243.88
p169,H6,244.303
p169,H7,269.709
p169,H8,259.414
p169,H9,190.345
p169,H10,202.346
p169,H11,214.032
p169,H12,209.781
p169,H13,218.209
p169,H14,222.065
p169,H15,243.429
p169,H16,235.179
p169,H17,337.52
p170,H1,485.091
p170,H2,467.889
p170,H3,510.292
p170,H4,494.299
p170,H5,416.591
p170,H6,417.314
p170,H7,460.712
p170,H8,443.125
p170,H9,325.143
p170,H10,345.644
p170,H11,365.606
p170,H12,358.344
p170,H13,372.74
p170,H14,379.327
p170,H15,415.82
p170,H16,401.728
p170,H17,576.545
p171,H1,404.466
p171,H2,390.123
p171,H3,425.478
p171,H4,412.144
p171,H5,347.351
p171,H6,347.954
p171,H7,384.139
p171,H8,369.476
p171,H9,271.103
p171,H10,288.196
p171,H11,304.84
p171,H12,298.785
p171,H13,310.789
p171,H14,316.281
p171,H15,346.708
p171,H16,334.958
p171,H17,480.72
p172,H1,3279.468
p172,H2,3163.174
p172,H3,3449.837
p172,H4,3341.716
p172,H5,2816.372
p172,H6,2821.261
p172,H7,3114.654
p172,H8,2995.759
p172,H9,2198.139
p172,H10,2336.734
p172,H11,2471.687
p172,H12,2422.592
p172,H13,2519.919
p172,H14,2564.449
p172,H15,2811.159
p172,H16,2715.888
p172,H17,3897.745
p173,H1,544.637
p173,H2,525.324
p173,H3,572.931
p173,H4,554.975
p173,H5,467.729
p173,H6,468.54
p173,H7,517.266
p173,H8,497.52
p173,H9,365.056
p173,H10,388.073
p173,H11,410.485
p173,H12,402.331
p173,H13,418.495
p173,H14,425.89
p173,H15,466.863
p173,H16,451.041
p173,H17,647.317
p174,H1,220.547
p174,H2,212.726
p174,H3,232.004
p174,H4,224.733
p174,H5,189.403
p174,H6,189.732
p174,H7,209.463
p174,H8,201.467
p174,H9,147.827
p174,H10,157.147
p174,H11,166.223
p174,H12,162.921
p174,H13,169.467
p174,H14,172.461
p174,H15,189.053
p174,H16,182.646
p174,H17,262.126
p175,H1,826.334
p175,H2,797.031
p175,H3,869.262
p175,H4,842.018
p175,H5,709.647
p175,H6,710.878
p175,H7,784.805
p175,H8,754.847
p175,H9,553.869
p175,H10,588.791
p175,H11,622.795
p175,H12,610.425
p175,H13,634.949
p175,H14,646.169
p175,H15,708.333
p175,H16,684.327
p175,H17,982.122
p176,H1,256.096
p176,H2,247.015
p176,H3,269.401
p176,H4,260.957
p176,H5,219.933
p176,H6,220.315
p176,H7,243.226
p176,H8,233.941
p176,H9,171.655
p176,H10,182.478
p176,H11,193.016
p176,H12,189.182
p176,H13,196.783
p176,H14,200.26
p176,H15,219.526
p176,H16,212.086
p176,H17,304.378
p177,H1,337.119
p177,H2,325.164
p177,H3,354.632
p177,H4,343.518
p177,H5,289.514
p177,H6,290.017
p177,H7,320.177
p177,H8,307.955
p177,H9,225.962
p177,H10,240.209
p177,H11,254.082
p177,H12,249.035
p177,H13,259.04
p177,H14,263.617
p177,H15,288.978
p177,H16,279.185
p177,H17,400.676
p178,H1,398.741
p178,H2,415.789
p178,H3,453.179
p178,H4,434.35
p178,H5,390.514
p178,H6,415.474
p178,H7,453.117
p178,H8,435.329
p178,H9,371.343
p178,H10,395.782
p178,H11,430.126
p178,H12,428.335
p178,H13,409.712
p178,H14,429.826
p178,H15,472.231
p178,H16,456.334
p178,H17,510.541
p179,H1,1870.488
p179,H2,1950.461
p179,H3,2125.856
p179,H4,2037.53
p179,H5,1831.897
p179,H6,1948.984
p179,H7,2125.567
p179,H8,2042.121
p179,H9,1741.963
p179,H10,1856.606
p179,H11,2017.716
p179,H12,2009.315
p179,H13,1921.955
p179,H14,2016.306
p179,H15,2215.227
p179,H16,2140.658
p179,H17,2394.939
p180,H1,1465.365
p180,H2,1528.017
p180,H3,1665.424
p180,H4,1596.228
p180,H5,1435.132
p180,H6,1526.86
p180,H7,1665.198
p180,H8,1599.825
p180,H9,1364.677
p180,H10,1454.49
p180,H11,1580.706
p180,H12,1574.124
p180,H13,1505.685
p180,H14,1579.601
p180,H15,1735.438
p180,H16,1677.02
p180,H17,1876.227
p181,H1,522.512
p181,H2,544.852
p181,H3,593.848
p181,H4,569.174
p181,H5,511.732
p181,H6,544.44
p181,H7,593.767
p181,H8,570.457
p181,H9,486.609
p181,H10,518.634
p181,H11,563.64
p181,H12,561.293
p181,H13,536.889
p181,H14,563.245
p181,H15,618.813
p181,H16,597.983
p181,H17,669.015
p182,H1,743.714
p182,H2,775.512
p182,H3,845.25
p182,H4,810.131
p182,H5,728.37
p182,H6,774.925
p182,H7,845.135
p182,H8,811.956
p182,H9,692.612
p182,H10,738.195
p182,H11,802.253
p182,H12,798.913
p182,H13,764.178
p182,H14,801.692
p182,H15,880.784
p182,H16,851.135
p182,H17,952.238
p183,H1,182.361
p183,H2,190.157
p183,H3,207.257
p183,H4,198.646
p183,H5,178.598
p183,H6,190.013
p183,H7,207.229
p183,H8,199.094
p183,H9,169.83
p183,H10,181.007
p183,H11,196.714
p183,H12,195.895
p183,H13,187.378
p183,H14,196.577
p183,H15,215.97
p183,H16,208.7
p183,H17,233.491
p184,H1,1157.309
p184,H2,1206.79
p184,H3,1315.311
p184,H4,1260.661
p184,H5,1133.432
p184,H6,1205.877
p184,H7,1315.132
p184,H8,1263.502
p184,H9,1077.788
p184,H10,1148.72
p184,H11,1248.403
p184,H12,1243.205
p184,H13,1189.153
p184,H14,1247.53
p184,H15,1370.606
p184,H16,1324.469
p184,H17,1481.798
p185,H1,181.585
p185,H2,189.349
p185,H3,206.376
p185,H4,197.801
p185,H5,177.839
p185,H6,189.205
p185,H7,206.348
p185,H8,198.247
p185,H9,169.108
p185,H10,180.238
p185,H11,195.878
p185,H12,195.062
p185,H13,186.582
p185,H14,195.741
p185,H15,215.052
p185,H16,207.813
p185,H17,232.498
p186,H1,710.628
p186,H2,741.011
p186,H3,807.646
p186,H4,774.09
p186,H5,695.966
p186,H6,740.45
p186,H7,807.536
p186,H8,775.834
p186,H9,661.799
p186,H10,705.354
p186,H11,766.562
p186,H12,763.371
p186,H13,730.181
p186,H14,766.026
p186,H15,841.599
p186,H16,813.27
p186,H17,909.875
p187,H1,5705.194
p187,H2,6098.547
p187,H3,6715.956
p187,H4,6876.472
p187,H5,5617.262
p187,H6,6116.577
p187,H7,6655.363
p187,H8,7006.85
p187,H9,5593.232
p187,H10,5979.464
p187,H11,6557.035
p187,H12,7163.846
p187,H13,5718.673
p187,H14,6058.798
p187,H15,6727.088
p187,H16,6990.741
p187,H17,7259.033
p188,H1,281.751
p188,H2,259.824
p188,H3,279.892
p188,H4,287.563
p188,H5,262.281
p188,H6,249.345
p188,H7,266.94
p188,H8,284.107
p188,H9,232.657
p188,H10,231.837
p188,H11,249.862
p188,H12,275.643
p188,H13,268.554
p188,H14,252.241
p188,H15,274.856
p188,H16,288.044
p188,H17,304.126
p189,H1,657.557
p189,H2,606.382
p189,H3,653.218
p189,H4,671.121
p189,H5,612.115
p189,H6,581.925
p189,H7,622.99
p189,H8,663.054
p189,H9,542.98
p189,H10,541.065
p189,H11,583.134
p189,H12,643.301
p189,H13,626.756
p189,H14,588.686
p189,H15,641.465
p189,H16,672.243
p189,H17,709.775
p190,H1,1729.381
p190,H2,1594.791
p190,H3,1717.969
p190,H4,1765.054
p190,H5,1609.869
p190,H6,1530.469
p190,H7,1638.469
p190,H8,1743.837
p190,H9,1428.044
p190,H10,1423.006
p190,H11,1533.647
p190,H12,1691.889
p190,H13,1648.373
p190,H14,1548.249
p190,H15,1687.059
p190,H16,1768.005
p190,H17,1866.716
p191,H1,606.182
p191,H2,559.006
p191,H3,602.182
p191,H4,618.686
p191,H5,564.291
p191,H6,536.46
p191,H7,574.316
p191,H8,611.249
p191,H9,500.557
p191,H10,498.792
p191,H11,537.574
p191,H12,593.041
p191,H13,577.787
p191,H14,542.692
p191,H15,591.348
p191,H16,619.721
p191,H17,654.321
p192,H1,571.861
p192,H2,527.356
p192,H3,568.088
p192,H4,583.657
p192,H5,532.342
p192,H6,506.086
p192,H7,541.799
p192,H8,576.642
p192,H9,472.217
p192,H10,470.551
p192,H11,507.137
p192,H12,559.464
p192,H13,545.074
p192,H14,511.966
p192,H15,557.866
p192,H16,584.633
p192,H17,617.274
p193,H1,291.3
p193,H2,268.629
p193,H3,289.377
p193,H4,297.308
p193,H5,271.169
p193,H6,257.795
p193,H7,275.986
p193,H8,293.735
p193,H9,240.542
p193,H10,239.693
p193,H11,258.33
p193,H12,284.984
p193,H13,277.655
p193,H14,260.789
p193,H15,284.171
p193,H16,297.805
p193,H17,314.432
p194,H1,456.59
p194,H2,421.056
p194,H3,453.578
p194,H4,466.009
p194,H5,425.037
p194,H6,404.074
p194,H7,432.588
p194,H8,460.407
p194,H9,377.031
p194,H10,375.701
p194,H11,404.913
p194,H12,446.692
p194,H13,435.203
p194,H14,408.768
p194,H15,445.417
p194,H16,466.788
p194,H17,492.85
p195,H1,941.714
p195,H2,868.425
p195,H3,935.5
p195,H4,961.139
p195,H5,876.636
p195,H6,833.399
p195,H7,892.209
p195,H8,949.586
p195,H9,777.625
p195,H10,774.881
p195,H11,835.13
p195,H12,921.299
p195,H13,897.603
p195,H14,843.081
p195,H15,918.669
p195,H16,962.747
p195,H17,1016.499
p196,H1,268.704
p196,H2,247.792
p196,H3,266.931
p196,H4,274.246
p196,H5,250.134
p196,H6,237.798
p196,H7,254.578
p196,H8,270.95
p196,H9,221.883
p196,H10,221.1
p196,H11,238.291
p196,H12,262.878
p196,H13,256.117
p196,H14,240.56
p196,H15,262.128
p196,H16,274.705
p196,H17,290.042
p197,H1,339.432
p197,H2,310.83
p197,H3,356.487
p197,H4,356.092
p197,H5,301.796
p197,H6,282.916
p197,H7,329.745
p197,H8,336.107
p197,H9,229.506
p197,H10,231.607
p197,H11,272.655
p197,H12,288.8
p197,H13,297.259
p197,H14,280.243
p197,H15,326.24
p197,H16,329.094
p197,H17,393.255
p198,H1,706.102
p198,H2,646.602
p198,H3,741.581
p198,H4,740.759
p198,H5,627.809
p198,H6,588.534
p198,H7,685.95
p198,H8,699.184
p198,H9,477.43
p198,H10,481.798
p198,H11,567.189
p198,H12,600.774
p198,H13,618.371
p198,H14,582.974
p198,H15,678.659
p198,H16,684.596
p198,H17,818.068
p199,H1,379.249
p199,H2,347.292
p199,H3,398.305
p199,H4,397.864
p199,H5,337.198
p199,H6,316.104
p199,H7,368.426
p199,H8,375.534
p199,H9,256.429
p199,H10,258.775
p199,H11,304.639
p199,H12,322.678
p199,H13,332.129
p199,H14,313.117
p199,H15,364.51
p199,H16,367.698
p199,H17,439.386
p200,H1,100.561
p200,H2,92.087
p200,H3,105.614
p200,H4,105.497
p200,H5,89.411
p200,H6,83.818
p200,H7,97.691
p200,H8,99.576
p200,H9,67.994
p200,H10,68.616
p200,H11,80.778
p200,H12,85.561
p200,H13,88.067
p200,H14,83.026
p200,H15,96.653
p200,H16,97.498
p200,H17,116.507
p201,H1,1078.121
p201,H2,874.463
p201,H3,1002.601
p201,H4,1141.72
p201,H5,980.647
p201,H6,801.159
p201,H7,935.667
p201,H8,1018.318
p201,H9,680.968
p201,H10,546.125
p201,H11,667.951
p201,H12,687.818
p201,H13,735.899
p201,H14,596.529
p201,H15,722.007
p201,H16,766.891
p201,H17,1227.892
p202,H1,298.719
p202,H2,242.29
p202,H3,277.794
p202,H4,316.34
p202,H5,271.711
p202,H6,221.98
p202,H7,259.248
p202,H8,282.149
p202,H9,188.678
p202,H10,151.317
p202,H11,185.071
p202,H12,190.576
p202,H13,203.898
p202,H14,165.282
p202,H15,200.049
p202,H16,212.485
p202,H17,340.216
p203,H1,518.363
p203,H2,420.444
p203,H3,482.053
p203,H4,548.941
p203,H5,471.497
p203,H6,385.199
p203,H7,449.871
p203,H8,489.609
p203,H9,327.411
p203,H10,262.578
p203,H11,321.152
p203,H12,330.704
p203,H13,353.822
p203,H14,286.812
p203,H15,347.142
p203,H16,368.723
p203,H17,590.373
p204,H1,158.767
p204,H2,128.776
p204,H3,147.646
p204,H4,168.133
p204,H5,144.413
p204,H6,117.981
p204,H7,137.789
p204,H8,149.96
p204,H9,100.281
p204,H10,80.424
p204,H11,98.364
p204,H12,101.29
p204,H13,108.37
p204,H14,87.846
p204,H15,106.325
p204,H16,112.934
p204,H17,180.823
p205,H1,392.061
p205,H2,337.687
p205,H3,391.191
p205,H4,409.393
p205,H5,350.046
p205,H6,291.889
p205,H7,352.361
p205,H8,369.178
p205,H9,248.047
p205,H10,226.383
p205,H11,273.535
p205,H12,286.439
p205,H13,269.765
p205,H14,244.922
p205,H15,297.151
p205,H16,304.878
p205,H17,441.27
p137,H1,4293.447
p137,H2,4802.469
p137,H3,5379.867
p137,H4,5283.001
p137,H5,4512.821
p137,H6,5195.632
p137,H7,5487.179
p137,H8,5638.177
p137,H9,5630.579
p137,H10,6447.293
p137,H11,6633.428
p137,H12,7088.319
p137,H13,4758.784
p137,H14,5471.985
p137,H15,5583.096
p137,H16,5659.069
p137,H17,8420.703
p138,H1,819.563
p138,H2,917.379
p138,H3,1027.54
p138,H4,1008.547
p138,H5,862.298
p138,H6,992.403
p138,H7,1047.483
p138,H8,1076.923
p138,H9,1075.024
p138,H10,1231.719
p138,H11,1266.857
p138,H12,1354.226
p138,H13,908.832
p138,H14,1045.584
p138,H15,1066.477
p138,H16,1080.722
p138,H17,1607.787
p139,H1,399.81
p139,H2,447.293
p139,H3,501.425
p139,H4,491.928
p139,H5,420.703
p139,H6,484.33
p139,H7,510.921
p139,H8,525.166
p139,H9,524.217
p139,H10,600.19
p139,H11,618.234
p139,H12,660.019
p139,H13,443.495
p139,H14,509.972
p139,H15,520.418
p139,H16,527.066
p139,H17,784.425
p140,H1,3757.835
p140,H2,4122.507
p140,H3,4370.37
p140,H4,4237.417
p140,H5,3731.244
p140,H6,4148.148
p140,H7,4274.454
p140,H8,4272.555
p140,H9,4113.96
p140,H10,4495.726
p140,H11,4570.75
p140,H12,4718.898
p140,H13,3740.741
p140,H14,4109.212
p140,H15,4199.43
p140,H16,4164.292
p140,H17,5118.708
p141,H1,3172.84
p141,H2,3480.532
p141,H3,3690.408
p141,H4,3577.398
p141,H5,3150.997
p141,H6,3502.374
p141,H7,3608.737
p141,H8,3607.787
p141,H9,3473.884
p141,H10,3795.821
p141,H11,3859.449
p141,H12,3984.805
p141,H13,3158.594
p141,H14,3469.136
p141,H15,3546.059
p141,H16,3516.619
p141,H17,4321.937
p142,H1,2161.443
p142,H2,2420.703
p142,H3,2561.254
p142,H4,2460.589
p142,H5,2155.745
p142,H6,2450.142
p142,H7,2509.022
p142,H8,2492.877
p142,H9,2390.313
p142,H10,2631.529
p142,H11,2657.17
p142,H12,2743.59
p142,H13,2169.041
p142,H14,2415.954
p142,H15,2459.639
p142,H16,2417.854
p142,H17,2985.755
p143,H1,2480.532
p143,H2,2377.018
p143,H3,2445.394
p143,H4,2623.932
p143,H5,2747.388
p143,H6,2652.422
p143,H7,2652.422
p143,H8,2830.009
p143,H9,3062.678
p143,H10,2991.453
p143,H11,2922.127
p143,H12,3146.249
p143,H13,2720.798
p143,H14,2600.19
p143,H15,2520.418
p143,H16,2770.18
p143,H17,3798.67
p144,H1,429.25
p144,H2,412.156
p144,H3,429.25
p144,H4,448.243
p144,H5,475.783
p144,H6,460.589
p144,H7,457.74
p144,H8,489.079
p144,H9,525.166
p144,H10,516.619
p144,H11,508.072
p144,H12,539.411
p144,H13,471.035
p144,H14,454.891
p144,H15,439.696
p144,H16,474.834
p144,H17,657.17
p145,H1,1819.563
p145,H2,2015.195
p145,H3,2216.524
p145,H4,2248.813
p145,H5,1806.268
p145,H6,2022.792
p145,H7,2074.074
p145,H8,2189.934
p145,H9,2296.296
p145,H10,2424.501
p145,H11,2428.3
p145,H12,2679.962
p145,H13,1882.241
p145,H14,2087.369
p145,H15,2093.067
p145,H16,2188.984
p145,H17,3074.074
p146,H1,10340.931
p146,H2,12314.34
p146,H3,14199.43
p146,H4,13696.106
p146,H5,8971.51
p146,H6,10849.003
p146,H7,11541.311
p146,H8,11567.901
p146,H9,10340.931
p146,H10,11563.153
p146,H11,12272.555
p146,H12,12978.158
p146,H13,9169.041
p146,H14,10957.265
p146,H15,11575.499
p146,H16,11492.877
p146,H17,17779.677
p147,H1,1776.828
p147,H2,2173.789
p147,H3,2434.948
p147,H4,2395.062
p147,H5,1609.687
p147,H6,2011.396
p147,H7,2096.866
p147,H8,2171.89
p147,H9,2030.389
p147,H10,2339.031
p147,H11,2379.867
p147,H12,2621.083
p147,H13,1657.17
p147,H14,2048.433
p147,H15,2093.067
p147,H16,2162.393
p147,H17,3181.387
p148,H1,6592.593
p148,H2,7324.786
p148,H3,7539.411
p148,H4,7663.818
p148,H5,6782.526
p148,H6,7534.663
p148,H7,7755.935
p148,H8,7884.141
p148,H9,9639.126
p148,H10,10709.402
p148,H11,11023.742
p148,H12,11206.078
p148,H13,8095.916
p148,H14,8994.302
p148,H15,9258.31
p148,H16,9411.206
p148,H17,14006.648
p149,H1,3981.956
p149,H2,4423.552
p149,H3,4553.656
p149,H4,4628.68
p149,H5,4095.916
p149,H6,4550.807
p149,H7,4684.71
p149,H8,4761.633
p149,H9,5821.462
p149,H10,6468.186
p149,H11,6658.12
p149,H12,6767.331
p149,H13,4888.889
p149,H14,5432.099
p149,H15,5591.643
p149,H16,5683.761
p149,H17,8459.639
p150,H1,3782.526
p150,H2,4203.229
p150,H3,4325.736
p150,H4,4397.911
p150,H5,3891.738
p150,H6,4323.837
p150,H7,4450.142
p150,H8,4524.217
p150,H9,5530.864
p150,H10,6145.299
p150,H11,6324.786
p150,H12,6429.25
p150,H13,4644.824
p150,H14,5160.494
p150,H15,5312.441
p150,H16,5399.81
p150,H17,8037.037
p151,H1,1086.42
p151,H2,1207.977
p151,H3,1243.115
p151,H4,1263.058
p151,H5,1117.759
p151,H6,1242.165
p151,H7,1278.253
p151,H8,1300.095
p151,H9,1588.794
p151,H10,1765.432
p151,H11,1817.664
p151,H12,1847.104
p151,H13,1334.283
p151,H14,1482.431
p151,H15,1526.116
p151,H16,1551.757
p151,H17,2308.642
p152,H1,997.151
p152,H2,1249.763
p152,H3,1288.699
p152,H4,1253.561
p152,H5,1056.03
p152,H6,1321.937
p152,H7,1301.994
p152,H8,1334.283
p152,H9,1581.197
p152,H10,1885.09
p152,H11,1795.821
p152,H12,1901.235
p152,H13,1263.058
p152,H14,1561.254
p152,H15,1450.142
p152,H16,1475.783
p152,H17,2439.696
p153,H1,1150.047
p153,H2,1511.871
p153,H3,1528.965
p153,H4,1490.978
p153,H5,1211.776
p153,H6,1539.411
p153,H7,1503.324
p153,H8,1540.361
p153,H9,1533.713
p153,H10,1848.053
p153,H11,1764.482
p153,H12,1868.946
p153,H13,1391.263
p153,H14,1712.251
p153,H15,1586.895
p153,H16,1607.787
p153,H17,2266.857
p154,H1,0.095
p154,H2,0.095
p154,H3,0.095
p154,H4,0.095
p154,H5,0.095
p154,H6,0.095
p154,H7,0.095
p154,H8,0.095
p154,H9,0.095
p154,H10,0.095
p154,H11,0.095
p154,H12,0.095
p154,H13,0.095
p154,H14,0.095
p154,H15,0.095
p154,H16,0.095
p154,H17,0.095
p155,H1,0.095
p155,H2,0.095
p155,H3,0.095
p155,H4,0.095
p155,H5,0.095
p155,H6,0.095
p155,H7,0.095
p155,H8,0.095
p155,H9,0.095
p155,H10,0.095
p155,H11,0.095
p155,H12,0.095
p155,H13,0.095
p155,H14,0.095
p155,H15,0.095
p155,H16,0.095
p155,H17,0.095
p156,H1,0.095
p156,H2,0.095
p156,H3,0.095
p156,H4,0.095
p156,H5,0.095
p156,H6,0.095
p156,H7,0.095
p156,H8,0.095
p156,H9,0.095
p156,H10,0.095
p156,H11,0.095
p156,H12,0.095
p156,H13,0.095
p156,H14,0.095
p156,H15,0.095
p156,H16,0.095
p156,H17,0.095
