r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p41069,0.00475,0.0095,0.019,0.032,0.049,0.068,0.136,0.139981986,0.148328687,0.156450287,0.286515757,0.460672938,0.449,0.453,0.46,0.467,0.474,0.477,0.482,0.495,0.504
p41071,0.26225,0.5245,1.049,1.674,2.477,3.482,6.613,6.86524791,9.457013266,16.95421342,27.2718921,40.17267352,38.01,38.204,38.456,38.797,39.115,40.007,40.398,41.006,41.49
p41011,0.17775,0.3555,0.711,1.118,1.639,2.248,4.275,4.388486348,4.600308268,5.382324465,6.932579328,11.20896991,11.125,11.311,11.503,11.827,12.1,12.384,12.705,13.026,13.326
p41015,0.07975,0.1595,0.319,0.512,0.75,1.027,1.925,1.967921934,2.046935876,2.131635163,2.689942162,5.295524017,5.327,5.46,5.597,5.682,5.809,5.973,6.163,6.345,6.507
p41019,0.39375,0.7875,1.575,2.517,3.67,5.139,9.615,10.31575278,12.96498671,22.17465529,34.55710621,50.40049866,47.799,48.018,48.33,48.677,49.414,50.035,50.63,51.288,52.08
p41029,0.67575,1.3515,2.703,5.027,8.871,12.878,27.027,29.02838118,33.68014729,44.70132373,60.99810261,83.22787506,78.134,79.012,79.637,80.2,81.061,81.789,82.705,83.775,84.968
p41033,0.25875,0.5175,1.035,2.158,4.175,6.312,12.971,13.86536897,15.92732248,20.11798589,24.92025893,32.98351795,31.637,32.082,32.268,32.652,33.019,33.656,34.084,34.491,35.173
p41035,0.275,0.55,1.1,2.268,4.232,6.549,13.838,15.21103522,18.07808843,21.81720985,27.54628604,35.24923149,33.342,33.478,33.595,33.896,34.184,34.536,34.939,35.444,35.93
p41001,0.0555,0.111,0.222,0.356,0.53,0.733,1.393,1.430472849,1.498119735,1.879576367,2.693248113,4.443943513,4.283,4.385,4.431,4.479,4.539,4.669,4.719,4.85,4.972
p41025,0.023,0.046,0.092,0.166,0.248,0.347,0.665,0.692757566,0.768130699,0.997370581,1.320176448,1.775141154,1.845,1.861,1.878,1.91,1.969,2.027,2.115,2.212,2.327
p41037,0.0285,0.057,0.114,0.203,0.338,0.496,1.057,1.167878905,1.510833623,1.95345567,2.520236675,3.531456732,3.39,3.414,3.451,3.487,3.522,3.581,3.622,3.666,3.756
p41045,0.124,0.248,0.496,0.76,1.06,1.484,2.614,2.709724283,2.947502902,4.458833186,6.975556691,10.18463705,9.671,9.741,9.832,9.941,10.054,10.189,10.532,10.727,10.954
p06035,0.616,1.232,2.464,5.822,8.24,10.032,13.501,13.83267245,14.46522542,15.26259469,16.26638109,17.51775291,16.93,16.977,17.041,17.18,17.541,17.741,18.029,18.49,19.031
p06049,0.10425,0.2085,0.417,0.517,0.519,0.565,0.774,0.835804851,0.949303595,1.096238471,1.290422889,1.513797853,1.52,1.557,1.629,1.649,1.676,1.699,1.723,1.756,1.832
p06093,0.68875,1.3775,2.755,4.161,4.982,5.696,8.064,8.805582154,10.07045833,11.43064911,13.06732247,15.16677059,15.428,15.637,15.955,16.261,16.574,16.861,17.214,17.492,18.06
p06001,25.375,50.75,101.5,194.223,289.443,383.933,524.05,549.026719,591.862185,640.1652409,708.1523442,797.7659314,789.297,792.771,796.578,801.402,807.058,814.674,823.421,832.163,845.859
p06003,0.053,0.106,0.212,0.39,0.552,0.777,1.144,1.22203252,1.333898689,1.516698618,1.764275871,2.053095259,2.044,2.066,2.104,2.133,2.153,2.172,2.194,2.22,2.248
p06005,0.79875,1.5975,3.195,7.66,11.804,14.773,20.418,21.34980728,22.700646,23.80869163,25.21999849,27.04460216,25.789,25.961,26.066,26.165,26.584,27.22,27.979,28.648,29.211
p06007,4.92025,9.8405,19.681,50.26,72.835,91.008,125.606,130.8381992,138.9299454,147.2892537,157.0745497,169.6018362,164.075,164.283,165.076,166.196,167.518,169.44,172.579,175.662,179.074
p06009,1.21575,2.4315,4.863,11.559,18.689,27.527,39.444,40.83386925,42.96022562,45.68782971,49.39641843,53.9817878,51.743,51.953,52.275,52.924,53.421,54.174,54.975,55.462,55.936
p06011,0.38275,0.7655,1.531,3.625,5.924,8.535,11.909,12.25915232,13.0327941,13.95015061,15.057505,16.25976143,15.715,15.715,15.758,15.944,16.075,16.369,16.685,17.008,17.43
p06013,16.6745,33.349,66.698,142.951,209.985,277.923,389.606,407.9882266,436.8745998,467.0845054,507.1990083,556.0521695,539.277,542.647,545.478,548.414,552.713,558.107,565.605,573.914,584.95
p06015,0.26925,0.5385,1.077,1.274,1.336,1.492,2.009,2.114034518,2.381734912,2.754176931,3.219996312,3.813840384,3.915,4.068,4.189,4.271,4.426,4.515,4.621,4.732,4.825
p06017,4.0525,8.105,16.21,37.25,59.353,84.951,117.674,121.4338619,128.3795378,135.4316257,146.2431521,158.8048142,151.09,151.381,152.093,153.185,154.79,156.333,159.077,161.692,164.143
p06019,15.1125,30.225,60.45,129.357,195.829,265.682,367.106,382.5401147,411.667199,442.5696146,480.5607569,532.8302668,522.783,524.285,526.483,529.933,536.808,546.969,557.531,571.498,586.591
p06021,0.682,1.364,2.728,8.268,12.496,15.479,20.98,21.60729239,22.54066292,23.44146804,24.39791866,25.2783201,23.571,23.63,23.697,23.747,23.826,23.952,24.178,24.311,24.407
p06023,2.1475,4.295,8.59,15.496,21.712,29.767,41.556,43.53746293,46.71823885,50.18903485,53.98948641,59.10788163,57.196,57.588,57.917,58.632,59.432,59.859,60.888,61.918,63.376
p06031,2.055,4.11,8.22,19.225,31.361,43.256,59.569,61.33356695,64.43080302,67.52242292,70.30876272,75.30341461,72.116,72.376,72.892,73.918,74.736,75.473,76.474,77.126,78.021
p06033,1.66325,3.3265,6.653,16.983,26.508,34.907,48.532,50.61421647,53.91853709,56.93812641,60.28842512,63.91947758,61.35,61.51,61.696,62.125,62.592,63.515,64.403,65.432,66.6
p06039,2.48675,4.9735,9.947,22.819,36.63,51.652,73.864,77.17196669,82.54067617,88.04457206,95.19265619,103.9426539,100.528,100.704,101.387,101.949,102.823,104.474,106.193,108.443,111.034
p06041,4.677,9.354,18.708,33.168,45.427,60.857,83.819,88.54218231,94.8244104,100.7333422,108.2555707,121.6076892,118.595,119.846,120.602,121.047,121.533,122.481,123.146,124.552,127.073
p06043,0.402,0.804,1.608,3.684,5.846,8.701,12.935,13.79078003,15.19309548,16.61632426,17.9876796,19.40916969,18.362,18.454,18.521,18.609,18.665,18.808,18.961,19.057,19.226
p06045,1.78975,3.5795,7.159,15.274,23.342,33.529,47.181,49.43407637,52.84633259,56.61870707,60.43278499,66.23502353,63.94,64.258,64.604,65.156,65.836,66.443,67.224,68.118,69.149
p06047,5.548,11.096,22.192,60.4,87.155,107.685,146.431,150.6522917,158.168176,166.6206424,175.3498471,187.1140522,177.234,177.576,178.076,178.893,180.354,182.145,184.833,187.642,190.994
p06053,5.97275,11.9455,23.891,50.23,72.027,96.274,132.919,138.5402737,147.6484937,160.2702817,177.241953,196.6619418,193.726,194.358,194.736,196.182,197.935,201.244,205.588,209.369,213.469
p06055,3.278,6.556,13.112,33.615,41.542,53.291,74.196,77.13927016,82.56610394,88.37811538,95.3810954,103.3922826,98.193,98.732,99.077,99.327,100.16,100.681,102.082,103.143,104.489
p06057,2.327,4.654,9.308,21.04,34.187,50.697,71.294,73.85122614,77.58649803,82.20376133,89.08987057,96.74906876,93.328,93.418,93.873,94.88,95.832,97.212,98.732,100.431,101.458
p06061,8.1075,16.215,32.43,77.523,123.07,159.557,215.241,222.5243564,234.4854043,245.6747552,258.811887,280.4844836,271.512,271.862,272.609,274.716,277.008,281.189,286.493,292.952,298.763
p06063,0.62,1.24,2.48,5.167,7.47,10.132,14.532,15.45932444,16.73995178,18.34705556,20.24454218,22.52203418,22.224,22.473,22.738,23.047,23.364,23.787,23.971,24.66,25.181
p06067,17.38825,34.7765,69.553,100.16,125.273,142.418,190.897,204.9254533,231.4012271,266.1012958,311.2894518,367.7797907,377.197,382.032,386.581,391.514,397.424,404.697,412.816,422.821,432.943
p06069,0.79125,1.5825,3.165,5.728,8.45,12.162,17.456,18.59921234,20.30195924,21.87370578,23.79513359,26.35248537,25.357,25.464,25.541,25.795,26.106,26.362,26.695,27.054,27.334
p06075,13.8475,27.695,55.39,86.121,109.447,140.278,190.305,200.5226622,215.8616782,232.4286309,258.9551449,302.2191657,306.823,308.192,309.357,311.17,313.33,316.908,322.535,329.337,339.582
p06077,11.83875,23.6775,47.355,110.732,167.415,217.206,295.949,306.1968005,322.1126949,339.6101152,360.0687594,391.3261577,380.238,381.566,383.181,385.714,388.976,393.403,399.641,406.293,413.473
p06079,4.8765,9.753,19.506,36.42,54.839,80.398,114.036,119.6723368,129.1741558,139.6579564,151.2384441,163.0206361,155.784,156.896,158.249,159.727,161.026,161.881,162.615,163.435,165.366
p06081,11.2135,22.427,44.854,84.559,113.91,153.967,213.757,225.4629564,243.8693127,264.5052856,286.9334085,320.5419889,313.123,314.712,316.081,317.806,321.189,325.104,329.556,335.512,342.142
p06083,7.01,14.02,28.04,52.473,81.247,115.749,165.48,174.7884557,191.8493828,214.8594809,243.48109,275.6418808,272.568,273.778,275.596,277.647,280.362,284.954,289.57,295.127,302.158
p06085,33.94425,67.8885,135.777,241.208,342.475,459.389,617.7,645.8329473,688.2249758,730.2034677,774.8179489,828.0352441,784.708,789.166,793.443,797.528,802.998,809.426,816.525,823.046,832.718
p06087,4.72475,9.4495,18.899,39.493,59.671,80.446,111.484,115.8212995,122.8108551,130.2785444,139.2047824,150.4506877,143.073,143.967,144.734,145.418,146.387,147.492,149.894,151.873,154.096
p06089,3.31,6.62,13.24,26.98,41.315,56.533,76.442,79.30541476,83.78451815,88.47589681,93.23553317,99.42119328,94.486,95.153,95.683,96.412,97.518,98.704,100.744,102.769,103.999
p06091,0.098,0.196,0.392,0.856,1.403,2.148,3.164,3.351393533,3.604387086,3.953629133,4.427770424,4.921227255,4.812,4.822,4.858,4.915,4.987,5.011,5.055,5.12,5.205
p06095,8.17325,16.3465,32.693,78.743,113.677,147.986,198.156,204.6465111,216.6637126,227.9697977,240.6192384,258.2880212,246.858,247.756,248.349,249.181,250.909,253.578,256.797,260.285,264.98
p06097,14.8105,29.621,59.242,95.186,136.738,181.617,244.114,253.658598,268.1485998,281.6463702,302.1484972,332.1296851,319.904,321.507,323.535,325.106,326.993,330.025,333.99,340.363,346.11
p06099,9.59825,19.1965,38.393,81.232,113.872,141.645,189.058,195.3525247,205.9798092,217.7516383,232.7003837,252.5163208,245.338,245.939,246.909,248.78,251.924,255.466,258.976,264.112,269.427
p06101,1.9845,3.969,7.938,20.153,32.04,41.828,57.018,58.95591672,61.85412183,64.62266031,67.48988847,71.39433896,67.665,67.736,67.752,67.88,68.145,69.342,70.805,72.588,74.107
p06103,0.956,1.912,3.824,7.83,11.829,17.196,24.479,25.75770718,27.45458041,29.19753485,30.94370172,34.09422698,33.169,33.349,33.613,33.974,34.164,34.318,34.584,35.322,36.168
p06105,0.16375,0.3275,0.655,0.783,0.759,0.798,1.065,1.088181132,1.129417,1.166858392,1.201162211,1.276817062,1.27,1.307,1.34,1.371,1.4,1.418,1.448,1.489,1.551
p06109,1.39525,2.7905,5.581,14.16,22.491,28.172,38.697,40.30663783,42.73879208,45.12287034,47.83490756,53.53883305,52.658,53.01,53.321,53.321,54.028,55.139,56.854,58.57,59.891
p06113,3.2095,6.419,12.838,25.623,36.245,46.832,64.614,67.32316112,71.33232491,75.86861116,80.93739531,86.7759426,82.46,82.991,83.489,83.664,84.866,86.11,87.244,88.655,90.502
p06115,1.21175,2.4235,4.847,10.766,16.959,24.944,34.909,36.38816399,38.63856339,41.12252341,44.24133878,47.8579384,46.525,46.525,46.874,47.338,47.701,48.635,49.587,50.367,51.367
p06025,2.96175,5.9235,11.847,22.483,28.389,33.558,44.745,46.17464181,48.65392821,51.35480678,55.08485819,65.91166656,68.16,68.416,68.634,69.366,70.287,71.09,72.222,73.556,75.23
p06027,0.396,0.792,1.584,3.375,5.364,8.241,12.739,13.74377878,15.08820591,16.74561303,18.38218976,19.89974207,19.141,19.174,19.289,19.486,19.727,19.965,20.304,20.603,20.949
p06029,13.6285,27.257,54.514,126.853,194.142,261.283,359.598,373.5363098,395.6095592,418.8858659,452.4436433,500.7226919,490.909,491.573,493.566,496.644,502.17,510.465,522.345,533.301,546.088
p06037,165.64975,331.2995,662.599,1359.249,2006.292,2661.861,3638.645,3829.942898,4119.387465,4435.769806,4771.432851,5144.495273,4920.717,4935.456,4955.221,4982.27,5015.351,5061.394,5117.895,5181.327,5273.795
p06051,0.39975,0.7995,1.599,2.963,4.296,6.296,9.692,10.68767572,11.89490118,13.12987306,14.19685574,15.27307972,14.344,14.417,14.456,14.516,14.554,14.695,14.853,15.059,15.253
p06059,45.4325,90.865,181.73,344.548,524.917,737.541,1048.319,1108.161772,1203.169201,1304.137001,1410.510458,1528.384353,1464.614,1469.069,1475.897,1484.707,1495.985,1511.128,1526.108,1542.258,1563.763
p06065,33.9305,67.861,135.722,285.753,429.757,596.628,859.884,915.9532225,1011.38021,1116.248897,1229.173534,1362.016086,1333.75,1336.665,1341.969,1348.581,1363.545,1385.895,1408.922,1440.932,1475.502
p06071,33.087,66.174,132.348,282.626,466.887,663.132,947.339,1001.282971,1081.208058,1164.257406,1261.104613,1382.455125,1334.153,1338.873,1346.279,1355.13,1367.409,1381.627,1398.394,1415.864,1434.903
p06107,7.036,14.072,28.144,60.833,95.942,135.954,191.987,201.6966717,214.9070772,229.1214456,243.9968184,261.1849452,250.529,251.339,252.359,254.009,256.544,259.644,263.253,267.72,272.151
p06111,11.166,22.332,44.664,86.157,131.72,193.547,287.564,308.6510832,337.1924249,368.9467169,401.146303,434.0823648,413.487,414.804,416.703,420.218,424.085,428.94,433.635,438.945,444.795
p06073,54.586,109.172,218.344,473.582,735.814,1000.365,1362.029,1424.218618,1522.430807,1626.415901,1738.794702,1848.367111,1741.298,1746.365,1752.542,1761.828,1774.575,1788.149,1802.988,1819.397,1838.078
p32001,0.082,0.164,0.328,0.681,0.799,1.104,1.484,1.604173124,1.842454187,2.276134387,3.011721396,3.790585259,4.162,4.407,4.607,4.663,4.815,4.966,5.179,5.36,5.607
p32005,0.19275,0.3855,0.771,1.953,2.367,3.422,4.96,5.37959968,6.171532856,7.133698513,8.565719141,10.15695238,10.492,10.919,11.098,11.238,11.486,11.785,11.971,12.335,12.789
p32007,0.14975,0.2995,0.599,1.252,1.464,2.008,2.67,2.798617953,3.106426495,3.535341907,4.173212194,5.058543227,5.388,5.795,5.969,6.135,6.245,6.373,6.574,6.778,7.064
p32009,0.0025,0.005,0.01,0.058,0.074,0.125,0.198,0.214570927,0.235206917,0.256404637,0.283209806,0.312283098,0.312,0.313,0.318,0.326,0.333,0.338,0.343,0.348,0.356
p32011,0.00775,0.0155,0.031,0.066,0.077,0.105,0.138,0.141003752,0.148328687,0.154277367,0.173011438,0.197114863,0.212,0.226,0.236,0.247,0.255,0.264,0.274,0.284,0.3
p32013,0.04275,0.0855,0.171,0.376,0.443,0.629,0.866,0.904263194,1.062669091,1.332000362,1.767581822,2.271250472,2.503,2.607,2.712,2.804,2.894,2.952,3.017,3.104,3.23
