,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p127,0.004,0.364,0.346,0.034,0.0,0.287,0.243,0.005,0.0,0.192,0.177,0.001,0.002,0.343,0.322,0.023,0.332
p128,0.005,0.376,0.329,0.03,0.0,0.318,0.237,0.004,0.0,0.218,0.165,0.0,0.003,0.361,0.305,0.018,0.33
p129,0.006,0.366,0.318,0.03,0.0,0.288,0.223,0.004,0.0,0.197,0.155,0.0,0.004,0.354,0.302,0.018,0.339
p13,0.004,0.492,0.434,0.019,0.0,0.462,0.345,0.001,0.0,0.356,0.272,0.0,0.002,0.508,0.431,0.011,0.377
p130,0.007,0.384,0.292,0.025,0.0,0.323,0.211,0.003,0.0,0.235,0.162,0.0,0.004,0.378,0.281,0.014,0.299
p131,0.006,0.377,0.318,0.026,0.0,0.32,0.226,0.002,0.0,0.234,0.173,0.0,0.003,0.368,0.297,0.014,0.32
p132,0.006,0.358,0.325,0.031,0.0,0.296,0.239,0.004,0.0,0.22,0.184,0.0,0.003,0.341,0.308,0.019,0.328
p133,0.007,0.387,0.305,0.025,0.001,0.317,0.208,0.002,0.0,0.224,0.157,0.0,0.004,0.369,0.279,0.014,0.294
p134,0.009,0.372,0.305,0.026,0.001,0.315,0.218,0.002,0.0,0.224,0.158,0.0,0.005,0.365,0.293,0.015,0.354
p14,0.009,0.445,0.408,0.031,0.0,0.346,0.258,0.002,0.0,0.176,0.143,0.0,0.003,0.37,0.322,0.016,0.387
p15,0.002,0.417,0.533,0.072,0.0,0.349,0.428,0.019,0.0,0.18,0.247,0.005,0.0,0.363,0.463,0.049,0.454
p16,0.004,0.434,0.485,0.063,0.0,0.354,0.388,0.016,0.0,0.168,0.2,0.003,0.001,0.37,0.419,0.045,0.463
p17,0.003,0.393,0.458,0.067,0.0,0.296,0.321,0.013,0.0,0.158,0.192,0.002,0.001,0.328,0.377,0.043,0.395
p18,0.004,0.417,0.44,0.053,0.0,0.307,0.317,0.009,0.0,0.177,0.191,0.001,0.001,0.353,0.383,0.034,0.445
p19,0.006,0.423,0.405,0.044,0.0,0.326,0.274,0.005,0.0,0.17,0.133,0.0,0.003,0.388,0.35,0.025,0.453
p2,0.005,0.381,0.43,0.048,0.0,0.29,0.279,0.006,0.0,0.136,0.139,0.0,0.002,0.316,0.332,0.025,0.423
p20,0.005,0.426,0.412,0.045,0.0,0.322,0.286,0.007,0.0,0.2,0.18,0.001,0.002,0.364,0.355,0.029,0.413
p21,0.006,0.433,0.438,0.05,0.0,0.376,0.373,0.011,0.0,0.233,0.248,0.002,0.002,0.398,0.428,0.035,0.398
p22,0.007,0.432,0.389,0.045,0.0,0.334,0.264,0.007,0.0,0.199,0.18,0.001,0.003,0.377,0.341,0.028,0.39
p23,0.006,0.452,0.422,0.037,0.0,0.353,0.302,0.005,0.0,0.21,0.192,0.001,0.003,0.398,0.372,0.022,0.37
p24,0.007,0.476,0.357,0.034,0.0,0.404,0.279,0.005,0.0,0.252,0.215,0.001,0.003,0.424,0.339,0.022,0.291
p25,0.002,0.412,0.495,0.06,0.0,0.353,0.407,0.016,0.0,0.212,0.268,0.004,0.001,0.375,0.462,0.042,0.459
p26,0.004,0.451,0.442,0.051,0.0,0.38,0.361,0.014,0.0,0.214,0.228,0.003,0.002,0.399,0.405,0.039,0.403
p27,0.001,0.374,0.551,0.071,0.0,0.346,0.465,0.022,0.0,0.267,0.386,0.01,0.0,0.388,0.549,0.055,0.471
p28,0.0,0.405,0.492,0.043,0.0,0.392,0.423,0.012,0.0,0.31,0.371,0.005,0.0,0.435,0.522,0.034,0.392
p29,0.003,0.39,0.43,0.045,0.0,0.395,0.426,0.013,0.0,0.316,0.396,0.005,0.001,0.434,0.526,0.039,0.313
p3,0.007,0.442,0.432,0.035,0.0,0.344,0.278,0.002,0.0,0.159,0.14,0.0,0.003,0.375,0.34,0.017,0.409
p30,0.0,0.414,0.458,0.036,0.0,0.403,0.407,0.011,0.0,0.335,0.384,0.005,0.0,0.456,0.518,0.032,0.316
p31,0.002,0.463,0.423,0.03,0.0,0.436,0.379,0.006,0.0,0.357,0.342,0.002,0.001,0.473,0.464,0.022,0.354
p32,0.007,0.421,0.409,0.036,0.0,0.339,0.303,0.005,0.0,0.235,0.251,0.001,0.003,0.389,0.387,0.021,0.41
p33,0.005,0.452,0.359,0.028,0.0,0.393,0.308,0.005,0.0,0.286,0.262,0.001,0.002,0.425,0.367,0.019,0.309
p34,0.005,0.467,0.377,0.029,0.0,0.416,0.34,0.006,0.0,0.309,0.291,0.001,0.002,0.452,0.405,0.022,0.366
p35,0.006,0.433,0.417,0.037,0.0,0.329,0.283,0.004,0.0,0.172,0.178,0.0,0.003,0.383,0.372,0.02,0.435
p36,0.003,0.379,0.453,0.061,0.0,0.283,0.319,0.013,0.0,0.135,0.216,0.003,0.001,0.332,0.408,0.039,0.423
p37,0.002,0.354,0.439,0.061,0.0,0.268,0.316,0.012,0.0,0.126,0.207,0.003,0.001,0.318,0.41,0.04,0.416
p38,0.002,0.359,0.453,0.059,0.0,0.285,0.338,0.013,0.0,0.167,0.254,0.004,0.001,0.325,0.416,0.038,0.43
p39,0.006,0.449,0.415,0.028,0.0,0.374,0.309,0.004,0.0,0.246,0.242,0.001,0.003,0.406,0.373,0.016,0.391
p4,0.005,0.467,0.455,0.037,0.0,0.355,0.294,0.003,0.0,0.167,0.155,0.0,0.002,0.398,0.371,0.019,0.409
p40,0.001,0.354,0.473,0.063,0.0,0.298,0.376,0.017,0.0,0.198,0.301,0.006,0.0,0.33,0.431,0.042,0.431
p41,0.001,0.361,0.451,0.052,0.0,0.303,0.36,0.012,0.0,0.197,0.275,0.003,0.0,0.335,0.407,0.034,0.421
p42,0.003,0.349,0.413,0.057,0.0,0.248,0.282,0.01,0.0,0.128,0.189,0.002,0.002,0.316,0.387,0.037,0.43
p43,0.004,0.357,0.413,0.048,0.0,0.264,0.295,0.008,0.0,0.165,0.219,0.002,0.002,0.327,0.38,0.03,0.382
p44,0.002,0.354,0.43,0.054,0.0,0.282,0.326,0.011,0.0,0.163,0.244,0.003,0.001,0.324,0.396,0.035,0.434
p45,0.002,0.349,0.44,0.053,0.0,0.282,0.34,0.011,0.0,0.17,0.253,0.003,0.001,0.323,0.407,0.035,0.419
p46,0.005,0.355,0.381,0.044,0.0,0.266,0.267,0.008,0.0,0.163,0.196,0.001,0.003,0.329,0.349,0.028,0.348
p47,0.002,0.447,0.416,0.029,0.0,0.416,0.362,0.008,0.0,0.346,0.331,0.003,0.001,0.462,0.438,0.022,0.396
p48,0.0,0.362,0.533,0.073,0.0,0.323,0.458,0.031,0.0,0.261,0.421,0.018,0.0,0.361,0.53,0.059,0.466
p49,0.0,0.376,0.523,0.068,0.0,0.326,0.436,0.024,0.0,0.25,0.383,0.013,0.0,0.362,0.504,0.05,0.493
p5,0.004,0.371,0.459,0.057,0.0,0.276,0.294,0.008,0.0,0.127,0.147,0.001,0.001,0.291,0.333,0.028,0.425
p50,0.0,0.351,0.484,0.055,0.0,0.303,0.387,0.016,0.0,0.233,0.334,0.007,0.0,0.321,0.439,0.039,0.43
p51,0.001,0.342,0.456,0.05,0.0,0.292,0.357,0.012,0.0,0.221,0.302,0.005,0.0,0.318,0.412,0.032,0.412
p52,0.001,0.366,0.519,0.073,0.0,0.314,0.425,0.025,0.0,0.232,0.375,0.012,0.001,0.344,0.484,0.051,0.502
p53,0.001,0.349,0.462,0.054,0.0,0.304,0.367,0.014,0.0,0.226,0.317,0.005,0.0,0.326,0.416,0.036,0.417
p54,0.001,0.334,0.421,0.046,0.0,0.305,0.342,0.011,0.0,0.217,0.279,0.003,0.001,0.323,0.377,0.029,0.386
p55,0.001,0.352,0.426,0.043,0.0,0.308,0.347,0.01,0.0,0.21,0.27,0.003,0.001,0.318,0.387,0.029,0.396
p56,0.001,0.348,0.438,0.044,0.0,0.296,0.343,0.01,0.0,0.213,0.268,0.003,0.0,0.312,0.39,0.028,0.382
p57,0.001,0.365,0.425,0.037,0.0,0.307,0.345,0.01,0.0,0.226,0.284,0.004,0.0,0.321,0.396,0.027,0.386
p58,0.001,0.367,0.339,0.023,0.0,0.334,0.303,0.005,0.0,0.258,0.262,0.002,0.001,0.358,0.365,0.019,0.318
p59,0.001,0.419,0.456,0.033,0.0,0.399,0.424,0.009,0.0,0.345,0.394,0.003,0.0,0.445,0.515,0.027,0.422
p6,0.006,0.444,0.447,0.055,0.0,0.335,0.301,0.01,0.0,0.156,0.163,0.001,0.002,0.349,0.345,0.031,0.428
p60,0.0,0.348,0.51,0.068,0.0,0.315,0.439,0.028,0.0,0.247,0.398,0.015,0.0,0.341,0.508,0.053,0.415
p61,0.0,0.352,0.491,0.057,0.0,0.324,0.429,0.023,0.0,0.266,0.407,0.015,0.0,0.35,0.504,0.047,0.408
p62,0.0,0.351,0.522,0.073,0.0,0.32,0.459,0.033,0.0,0.25,0.415,0.019,0.0,0.354,0.536,0.06,0.452
p63,0.0,0.354,0.454,0.046,0.0,0.305,0.378,0.015,0.0,0.234,0.329,0.007,0.0,0.311,0.43,0.035,0.411
p64,0.0,0.338,0.442,0.048,0.0,0.29,0.377,0.019,0.0,0.221,0.329,0.01,0.0,0.29,0.421,0.038,0.385
p65,0.0,0.336,0.452,0.047,0.0,0.299,0.39,0.019,0.0,0.222,0.341,0.011,0.0,0.294,0.436,0.036,0.39
p66,0.0,0.346,0.38,0.031,0.0,0.32,0.34,0.009,0.0,0.239,0.292,0.005,0.0,0.317,0.388,0.025,0.355
p67,0.0,0.329,0.404,0.039,0.0,0.295,0.35,0.011,0.0,0.214,0.294,0.006,0.0,0.301,0.404,0.031,0.36
p68,0.003,0.37,0.393,0.043,0.0,0.285,0.286,0.009,0.0,0.165,0.204,0.002,0.002,0.337,0.349,0.028,0.373
p69,0.003,0.359,0.412,0.042,0.0,0.286,0.302,0.007,0.0,0.169,0.217,0.001,0.001,0.33,0.38,0.026,0.398
p7,0.006,0.434,0.487,0.064,0.0,0.352,0.367,0.015,0.0,0.167,0.204,0.003,0.002,0.369,0.417,0.041,0.428
p70,0.003,0.351,0.414,0.043,0.0,0.293,0.312,0.009,0.0,0.178,0.227,0.002,0.001,0.325,0.374,0.028,0.386
p71,0.003,0.356,0.407,0.039,0.0,0.308,0.311,0.007,0.0,0.202,0.236,0.001,0.001,0.336,0.363,0.024,0.352
p72,0.003,0.368,0.399,0.035,0.0,0.322,0.307,0.006,0.0,0.214,0.235,0.001,0.001,0.341,0.359,0.021,0.415
p73,0.002,0.367,0.392,0.036,0.0,0.322,0.327,0.007,0.0,0.212,0.239,0.001,0.001,0.338,0.364,0.023,0.373
p74,0.003,0.336,0.428,0.064,0.0,0.236,0.288,0.014,0.0,0.14,0.209,0.004,0.002,0.309,0.396,0.043,0.415
p75,0.006,0.386,0.369,0.032,0.0,0.291,0.24,0.004,0.0,0.172,0.174,0.0,0.003,0.355,0.343,0.019,0.375
p76,0.006,0.368,0.355,0.035,0.0,0.286,0.242,0.005,0.0,0.162,0.176,0.001,0.004,0.342,0.335,0.022,0.35
p77,0.004,0.359,0.376,0.035,0.0,0.301,0.288,0.005,0.0,0.187,0.21,0.001,0.002,0.34,0.358,0.022,0.359
p78,0.006,0.377,0.366,0.034,0.0,0.307,0.263,0.006,0.0,0.171,0.172,0.0,0.003,0.349,0.332,0.021,0.37
p79,0.006,0.394,0.35,0.027,0.0,0.326,0.249,0.003,0.0,0.199,0.182,0.0,0.003,0.364,0.332,0.016,0.368
p8,0.004,0.495,0.488,0.04,0.0,0.411,0.358,0.006,0.0,0.227,0.226,0.001,0.002,0.424,0.415,0.023,0.445
p80,0.006,0.382,0.359,0.029,0.0,0.302,0.252,0.004,0.0,0.187,0.179,0.0,0.003,0.349,0.322,0.017,0.354
p81,0.004,0.375,0.38,0.032,0.0,0.322,0.287,0.005,0.0,0.207,0.207,0.001,0.002,0.344,0.34,0.019,0.403
p82,0.004,0.381,0.375,0.029,0.0,0.329,0.284,0.004,0.0,0.216,0.213,0.001,0.002,0.359,0.34,0.017,0.381
p83,0.004,0.374,0.376,0.032,0.0,0.331,0.284,0.005,0.0,0.211,0.205,0.001,0.002,0.344,0.335,0.019,0.394
p84,0.002,0.381,0.385,0.031,0.0,0.336,0.314,0.006,0.0,0.234,0.242,0.001,0.001,0.353,0.356,0.02,0.369
p85,0.001,0.366,0.406,0.033,0.0,0.312,0.323,0.006,0.0,0.226,0.255,0.002,0.001,0.332,0.379,0.023,0.384
p86,0.001,0.371,0.371,0.025,0.0,0.325,0.313,0.006,0.0,0.249,0.261,0.002,0.0,0.348,0.373,0.02,0.346
p87,0.002,0.385,0.342,0.022,0.0,0.34,0.285,0.004,0.0,0.261,0.242,0.001,0.001,0.368,0.352,0.017,0.325
p88,0.002,0.38,0.365,0.023,0.0,0.325,0.292,0.003,0.0,0.246,0.238,0.001,0.001,0.358,0.363,0.017,0.369
p89,0.003,0.386,0.343,0.019,0.0,0.342,0.273,0.002,0.0,0.258,0.224,0.001,0.002,0.364,0.344,0.014,0.346
p9,0.003,0.46,0.482,0.039,0.0,0.382,0.351,0.006,0.0,0.223,0.216,0.001,0.001,0.42,0.426,0.023,0.427
p90,0.003,0.383,0.333,0.017,0.0,0.346,0.274,0.002,0.0,0.285,0.247,0.001,0.002,0.387,0.354,0.013,0.302
p91,0.003,0.381,0.328,0.015,0.0,0.353,0.275,0.002,0.0,0.293,0.245,0.001,0.002,0.408,0.368,0.012,0.258
p92,0.002,0.365,0.37,0.031,0.0,0.322,0.3,0.007,0.0,0.229,0.236,0.003,0.001,0.34,0.355,0.022,0.367
p93,0.004,0.384,0.343,0.025,0.0,0.334,0.267,0.004,0.0,0.23,0.205,0.001,0.002,0.356,0.321,0.016,0.357
p94,0.0,0.34,0.408,0.045,0.0,0.294,0.346,0.015,0.0,0.235,0.306,0.008,0.0,0.337,0.417,0.038,0.393
p95,0.0,0.351,0.402,0.04,0.0,0.311,0.339,0.012,0.0,0.255,0.305,0.006,0.0,0.346,0.405,0.033,0.33
p96,0.001,0.362,0.373,0.035,0.0,0.309,0.307,0.01,0.0,0.257,0.285,0.005,0.0,0.367,0.391,0.03,0.332
p97,0.001,0.35,0.391,0.04,0.0,0.306,0.325,0.011,0.0,0.249,0.292,0.005,0.0,0.345,0.39,0.032,0.322
p98,0.001,0.363,0.37,0.033,0.0,0.308,0.294,0.008,0.0,0.249,0.267,0.003,0.001,0.361,0.372,0.026,0.334
p99,0.002,0.356,0.371,0.036,0.0,0.305,0.291,0.007,0.0,0.233,0.254,0.002,0.001,0.346,0.363,0.026,0.353
