*r,i,MMBtu/MWh
p201,coal-new,10.5
p201,Coal-IGCC,11.0
p202,biopower,7.3
p203,biopower,7.127
p203,Coal-IGCC,21.0
p21,biopower,10.5084417
p21,Coal-IGCC,10.212766
p22,biopower,10.0
p23,biopower,11.2406398
p23,coal-new,14.3351703
p23,CoalOldScr,9.7762245
p23,Coal-IGCC,11.893
p24,biopower,11.3117035
p24,Coal-IGCC,11.162
p25,biopower,10.0006885
p25,coal-new,7.1790941
p25,CoalOldScr,10.2256101
p25,CoalOldUns,21.1267556
p25,Coal-IGCC,11.3314696
p25,CofireOld,11.9659469
p25,CofireNew,9.293501
p26,biopower,9.909
p26,Coal-IGCC,9.1052632
p27,biopower,7.1019643
p27,Coal-IGCC,9.9135
p28,biopower,10.0
p28,coal-new,10.434
p28,CoalOldScr,7.4713598
p28,CoalOldUns,12.2431894
p28,Gas-CC,11.5365185
p28,Coal-IGCC,10.1931206
p28,CofireOld,10.4387278
p28,CofireNew,9.0
p29,biopower,10.0
p29,coal-new,9.952326
p29,Coal-IGCC,9.7870974
p3,biopower,14.38
p3,coal-new,10.5
p3,Coal-IGCC,11.2621902
p30,biopower,10.354
p30,coal-new,10.6946429
p30,Coal-IGCC,13.3119549
p31,biopower,9.34375
p31,coal-new,10.651861
p31,CoalOldScr,7.4657656
p31,CoalOldUns,10.9390196
p31,Coal-IGCC,10.1519882
p31,CofireNew,11.9613087
p32,biopower,12.07
p32,coal-new,10.0
p32,Coal-IGCC,11.565
p33,biopower,10.0
p33,coal-new,10.1765164
p33,CoalOldScr,11.2650314
p33,CoalOldUns,7.9255637
p33,Gas-CC,9.0
p33,Gas-CT,13.29683
p33,Coal-IGCC,10.0
p33,CofireOld,21.0
p33,CofireNew,11.0309132
p34,biopower,9.5568627
p34,coal-new,11.3760529
p34,CoalOldScr,7.526
p34,CoalOldUns,11.328962
p34,Coal-IGCC,10.6849349
p34,CofireNew,12.2328155
p35,biopower,12.492
p35,coal-new,21.0
p35,CoalOldScr,9.0
p35,Coal-IGCC,10.0161648
p36,biopower,10.9828097
p36,coal-new,21.0
p36,CoalOldScr,21.0
p36,CoalOldUns,10.0
p36,Coal-IGCC,11.6959233
p37,biopower,10.4260662
p37,coal-new,14.0
p37,CoalOldScr,10.4861088
p37,Coal-IGCC,11.0
p38,biopower,10.31
p38,coal-new,9.9639195
p38,Coal-IGCC,11.8030301
p39,biopower,11.2132302
p39,Coal-IGCC,10.4749583
p40,biopower,10.0
p40,coal-new,10.0352282
p40,CoalOldScr,8.175
p40,CoalOldUns,12.6190078
p40,Coal-IGCC,11.457
p40,CofireNew,11.3890684
p41,biopower,9.687
p41,coal-new,7.861
p41,CoalOldScr,12.6771191
p41,CoalOldUns,9.0
p41,Coal-IGCC,10.7274831
p41,CofireOld,10.1271409
p41,CofireNew,11.0167456
p42,biopower,10.5
p42,coal-new,10.4135508
p42,Coal-IGCC,12.0974181
p43,biopower,12.4961494
p43,coal-new,10.1253033
p43,CoalOldScr,10.6716038
p43,CoalOldUns,7.5848274
p43,Gas-CC,10.548505
p43,Gas-CT,10.5132352
p43,Coal-IGCC,10.1
p43,CofireOld,12.8142802
p43,CofireNew,12.2499517
p44,biopower,15.748
p44,Coal-IGCC,9.3422604
p45,biopower,8.3
p45,coal-new,10.4434075
p45,CoalOldScr,7.258
p45,CoalOldUns,11.4731493
p45,Coal-IGCC,9.875164
p45,CofireOld,10.0987531
p45,CofireNew,9.0
p46,biopower,16.7923061
p46,coal-new,12.2861478
p46,CoalOldScr,12.525227
p46,CoalOldUns,9.0
p46,Coal-IGCC,11.382
p46,CofireNew,10.4627725
p47,biopower,7.448
p47,coal-new,10.3421801
p47,Coal-IGCC,13.0468191
p48,biopower,10.1403741
p48,coal-new,11.9247548
p48,CoalOldScr,11.1621243
p48,CoalOldUns,13.5
p48,Coal-IGCC,7.9069321
p5,biopower,10.7241379
p5,coal-new,7.4117179
p5,CoalOldScr,11.5740766
p5,CoalOldUns,9.7487333
p5,Coal-IGCC,9.349
p5,CofireNew,12.5
p50,biopower,10.5273967
p50,coal-new,12.3637358
p50,CoalOldScr,10.8889791
p50,Coal-IGCC,7.6143779
p51,biopower,10.7893061
p51,coal-new,7.4529804
p51,CoalOldScr,12.5405
p51,CoalOldUns,11.0202995
p51,Coal-IGCC,10.8325168
p52,biopower,10.432
p52,coal-new,10.9905922
p52,Coal-IGCC,12.4395052
p53,biopower,10.6612874
p53,coal-new,11.8703496
p53,CoalOldScr,9.4225352
p53,CoalOldUns,10.02
p53,Coal-IGCC,11.5802459
p53,CofireNew,11.6530428
p54,biopower,9.2876018
p54,coal-new,10.37101
p54,CoalOldScr,7.2592187
p54,CoalOldUns,13.5533481
p54,Coal-IGCC,9.4396678
p54,CofireNew,11.2120736
p55,biopower,10.927
p55,coal-new,7.192
p55,CoalOldScr,12.6985118
p55,CoalOldUns,11.0
p55,Coal-IGCC,10.3416709
p55,CofireNew,9.3394495
p56,biopower,10.268
p56,coal-new,12.5389407
p56,CoalOldScr,9.0
p56,Coal-IGCC,8.1
p57,biopower,10.1376369
p57,coal-new,7.4869537
p57,CoalOldScr,10.5021453
p57,Coal-IGCC,10.9556123
p58,biopower,11.4396527
p58,coal-new,10.286963
p58,CoalOldScr,10.5280157
p58,CoalOldUns,7.4212978
p58,Gas-CC,10.9086712
p58,Coal-IGCC,10.5671015
p58,CofireOld,10.8342646
p58,CofireNew,11.8205961
p59,biopower,8.247
p59,coal-new,11.6479048
p59,Coal-IGCC,12.8290594
p6,biopower,10.6839729
p6,coal-new,10.7295
p6,Coal-IGCC,7.424
p66,biopower,9.6190476
p66,coal-new,12.1268556
p66,CoalOldScr,9.0
p66,CoalOldUns,9.9472692
p66,Coal-IGCC,7.3543731
p68,biopower,7.456
p68,coal-new,21.0
p68,CoalOldScr,18.3751925
p68,CoalOldUns,11.5786936
p68,Coal-IGCC,11.9403185
p69,biopower,11.085
p69,coal-new,14.6858908
p69,CoalOldScr,9.9556607
p69,Coal-IGCC,12.592255
p70,biopower,9.6631922
p70,coal-new,11.4966512
p70,CoalOldScr,12.7287097
p70,CoalOldUns,7.1390794
p70,Gas-CC,9.008
p70,Gas-CT,10.8792531
p70,Coal-IGCC,10.2971751
p70,CofireOld,10.0
p70,CofireNew,13.0161457
p71,biopower,14.7384074
p71,Coal-IGCC,10.0644138
p72,biopower,9.8592871
p72,coal-new,9.3305504
p72,CoalOldScr,12.6171073
p72,CoalOldUns,9.0
p72,Coal-IGCC,9.7269189
p72,CofireOld,11.1444267
p72,CofireNew,10.46
p74,biopower,13.6
p74,coal-new,11.6253644
p74,CoalOldScr,12.0
p74,CoalOldUns,13.0110613
p74,Coal-IGCC,13.134
p75,biopower,8.6088813
p75,coal-new,9.6387356
p75,CoalOldScr,12.7392466
p75,CoalOldUns,9.0
p75,Coal-IGCC,10.776241
p75,CofireOld,10.2669766
p75,CofireNew,10.7172384
p76,biopower,9.0
p76,coal-new,10.2795213
p76,CoalOldScr,12.0
p76,CoalOldUns,7.1341153
p76,Gas-CC,9.4076164
p76,Coal-IGCC,10.0
p76,CofireOld,9.7007299
p76,CofireNew,12.2097947
p77,biopower,14.3385
p77,coal-new,10.8514934
p77,CoalOldScr,10.0
p77,CoalOldUns,10.0514153
p77,Coal-IGCC,9.803
p78,biopower,12.0
p78,coal-new,12.063415
p78,CoalOldScr,9.2285714
p78,CoalOldUns,12.2865229
p78,Coal-IGCC,7.1700402
p79,biopower,9.0218003
p79,coal-new,10.367118
p79,CoalOldScr,7.2303739
p79,CoalOldUns,12.2188696
p79,Coal-IGCC,10.532065
p79,CofireOld,10.1303602
p79,CofireNew,10.4908616
p8,biopower,11.0
p8,Coal-IGCC,10.0
p80,biopower,9.0
p80,coal-new,10.7775771
p80,CoalOldScr,7.3459005
p80,CoalOldUns,11.7746259
p80,Gas-CC,12.098302
p80,Coal-IGCC,10.3441771
p80,CofireOld,10.844641
p80,CofireNew,9.7099154
p81,biopower,10.3561894
p81,coal-new,7.7611547
p81,CoalOldScr,11.7096408
p81,CoalOldUns,9.625
p81,Coal-IGCC,10.5933587
p81,CofireOld,10.331922
p81,CofireNew,10.6734876
p82,biopower,9.662
p82,coal-new,10.9441612
p82,CoalOldScr,13.7833194
p82,CoalOldUns,10.0
p82,Coal-IGCC,11.5177423
p82,CofireNew,9.0
p83,biopower,9.9166667
p83,coal-new,9.8725255
p83,CoalOldScr,7.282
p83,CoalOldUns,11.2144882
p83,Gas-CC,9.5038223
p83,Coal-IGCC,10.0092024
p83,CofireOld,10.322
p83,CofireNew,9.4576271
p84,biopower,9.4379775
p84,coal-new,11.4486284
p84,CoalOldScr,10.8475808
p84,Coal-IGCC,6.9614009
p85,biopower,10.5
p85,coal-new,10.2060726
p85,CoalOldScr,7.8048971
p85,CoalOldUns,11.4271948
p85,Gas-CC,10.6299771
p85,Coal-IGCC,9.583
p85,CofireOld,9.2275267
p85,CofireNew,9.0
p86,biopower,7.4369615
p86,coal-new,10.5790178
p86,Coal-IGCC,10.3048957
p87,biopower,11.0798966
p87,coal-new,7.6036581
p87,CoalOldScr,12.1520737
p87,CoalOldUns,9.708
p87,Coal-IGCC,10.0732643
p87,CofireNew,11.1760469
p88,biopower,10.5
p88,coal-new,7.1561504
p88,CoalOldScr,12.2755664
p88,Coal-IGCC,9.3
p89,biopower,10.5
p89,coal-new,10.3168961
p89,CoalOldScr,7.4127035
p89,CoalOldUns,13.1227995
p89,Gas-CC,9.7954545
p89,Coal-IGCC,10.3322525
p89,CofireOld,10.8016185
p89,CofireNew,9.0
p9,biopower,10.9189166
p9,coal-new,7.3686375
p9,CoalOldScr,10.9944274
p9,CoalOldUns,20.9069
p9,Gas-CC,9.9657518
p9,Coal-IGCC,10.5665105
p9,CofireOld,9.849
p9,CofireNew,10.1821162
p90,biopower,10.5
p90,coal-new,10.4110089
p90,CoalOldScr,11.0
p90,CoalOldUns,7.2193354
p90,Gas-CC,9.6111111
p90,Coal-IGCC,10.6561544
p90,CofireOld,10.5658355
p90,CofireNew,10.7618989
p91,biopower,13.2260274
p91,coal-new,11.3850134
p91,CoalOldScr,7.1740375
p91,CoalOldUns,12.5360635
p91,Coal-IGCC,10.8511483
p91,CofireNew,10.1235955
p92,biopower,9.0
p92,coal-new,10.8268717
p92,CoalOldScr,7.4
p92,CoalOldUns,12.5560453
p92,Gas-CC,9.0
p92,Coal-IGCC,10.2424667
p92,CofireOld,10.5512483
p92,CofireNew,9.516129
p93,biopower,10.1058151
p93,coal-new,11.8362565
p93,Coal-IGCC,10.7831111
p94,biopower,10.5881927
p94,coal-new,10.3337988
p94,CoalOldScr,11.0
p94,CoalOldUns,7.2444623
p94,Gas-CC,10.6349824
p94,Gas-CT,12.2210766
p94,Coal-IGCC,9.8986646
p94,CofireOld,9.119403
p94,CofireNew,11.8718362
p95,biopower,11.0445
p95,coal-new,11.7286617
p95,CoalOldScr,10.0
p95,CoalOldUns,10.3826087
p95,Coal-IGCC,8.1260073
p95,CofireNew,9.7150888
p96,biopower,10.7837633
p96,coal-new,10.2597434
p96,CoalOldScr,10.4679996
p96,CoalOldUns,10.5
p96,Gas-CC,9.8485862
p96,Gas-CT,10.2404322
p96,Coal-IGCC,10.1013941
p96,geothermal,11.4017526
p96,CofireOld,13.0582005
p96,CofireNew,7.9753656
p97,biopower,9.3084788
p97,coal-new,7.321
p97,CoalOldScr,11.7227652
p97,CoalOldUns,10.1199879
p97,Coal-IGCC,11.0917841
p97,CofireOld,9.1055276
p97,CofireNew,10.3560204
p98,biopower,11.6107638
p98,coal-new,9.2995897
p98,CoalOldScr,10.5835905
p98,CoalOldUns,8.0784459
p98,Gas-CC,10.4141226
p98,Gas-CT,8.4334557
p98,Coal-IGCC,10.5
p98,geothermal,11.0
p98,CofireOld,9.4238095
p98,CofireNew,11.8331263
p99,biopower,10.5
p99,coal-new,10.0863939
p99,CoalOldScr,10.3173284
p99,CoalOldUns,7.7603107
p99,Gas-CC,10.3131182
p99,Gas-CT,10.2132555
p99,Coal-IGCC,9.8390276
p99,CofireOld,9.9011147
p99,CofireNew,11.427528
