r,rr,length_miles,USD2004perMW
p1,p73,1788.12,1251215.24
p1,p74,1716.51,1228147.41
p1,p75,1735.08,1210811.34
p1,p76,1725.57,1203227.77
p1,p77,1639.17,1153141.9
p1,p78,1721.61,1204586.95
p1,p79,1789.35,1244130.48
p1,p80,1845.08,1267161.0
p1,p81,1720.29,1191986.67
p1,p82,1789.67,1233806.52
p1,p83,1880.79,1285337.65
p1,p84,1906.06,1331387.49
p1,p85,1945.99,1343756.58
p1,p86,2053.26,1419532.81
p1,p87,2156.27,1479035.1
p1,p88,2109.04,1471724.43
p1,p89,2237.03,1611087.14
p1,p90,2331.32,1637965.1
p1,p91,2387.9,1696560.88
p1,p92,2107.62,1476648.52
p1,p93,2090.63,1432546.29
p1,p94,2366.41,1731521.67
p1,p95,2405.56,1802200.82
p1,p96,2603.75,2000992.38
p1,p97,2443.71,1845214.03
p1,p98,2541.9,1948228.59
p1,p99,2691.41,2084143.16
p1,p100,2498.9,2082491.7
p1,p101,2783.91,2086168.72
p1,p102,3004.5,2279133.96
p1,p103,2100.48,1418233.22
p1,p104,1974.48,1344996.23
p1,p105,1994.27,1372240.79
p1,p106,1991.2,1347837.16
p1,p107,1993.44,1354460.02
p1,p108,2021.82,1372394.99
p1,p109,2074.02,1426397.43
p1,p110,2277.94,1645683.57
p1,p111,2189.19,1547279.99
p1,p112,2136.63,1509724.88
p1,p113,2086.1,1450173.42
p1,p114,2101.18,1480713.94
p1,p115,2301.88,1732079.67
p1,p116,2245.43,1655783.34
p1,p117,2299.66,1730096.82
p1,p118,2461.94,1849234.32
p1,p119,2424.09,1939280.21
p1,p120,2462.1,2041738.64
p1,p121,2472.45,2046719.04
p1,p122,2594.67,2247696.54
p1,p123,2541.52,2166183.33
p1,p124,2732.76,2385352.63
p1,p125,2606.33,2249933.05
p1,p126,2620.07,2266096.36
p1,p127,2678.03,2194436.95
p1,p128,2713.68,2465394.46
p1,p129,2798.97,2347597.16
p1,p130,2817.52,2498959.63
p1,p131,2831.85,2529734.76
p1,p132,2806.61,2411217.01
p1,p133,2844.47,2513866.71
p1,p134,2923.81,2705797.7
p2,p1,132.46,123589.84
p2,p3,171.53,127023.38
p2,p4,72.57,58191.3
p2,p5,151.26,149930.16
p2,p6,395.66,320371.82
p2,p7,281.48,219135.28
p2,p8,460.52,357448.13
p2,p9,787.36,773087.88
p2,p10,1045.93,938115.37
p2,p11,1249.22,1036031.96
p2,p12,594.18,468799.6
p2,p13,901.53,656939.25
p2,p14,178.69,136995.44
p2,p15,328.45,252042.93
p2,p16,577.88,410564.41
p2,p17,342.7,293285.49
p2,p18,495.66,422766.58
p2,p19,720.91,571701.23
p2,p20,642.74,527994.31
p2,p21,795.38,593447.69
p2,p22,797.72,642912.24
p2,p23,841.01,674675.68
p2,p24,980.7,712641.71
p2,p25,673.67,476953.39
p2,p26,814.11,595056.9
p2,p27,1048.66,766527.09
p2,p28,1189.55,863338.56
p2,p29,1129.21,827737.38
p2,p30,1313.03,940277.77
p2,p31,1217.7,888912.45
p2,p32,948.82,717161.83
p2,p33,1071.67,776968.3
p2,p34,1148.52,829723.38
p2,p35,753.6,596341.7
p2,p36,981.68,734774.81
p2,p37,1163.22,841893.25
p2,p38,1257.56,892396.34
p2,p39,1026.21,741847.22
p2,p40,1311.48,908048.96
p2,p41,1362.71,958385.77
p2,p42,1215.54,860951.22
p2,p43,1376.6,964721.88
p2,p44,1275.96,902731.75
p2,p45,1374.46,960310.45
p2,p46,1514.65,1047146.56
p2,p47,1405.64,1015017.27
p2,p48,1579.29,1069157.69
p2,p49,1369.61,945858.36
p2,p50,1551.23,1053515.13
p2,p51,1578.8,1070398.44
p2,p52,1292.75,902102.03
p2,p53,1456.87,993466.1
p2,p54,1553.54,1049047.18
p2,p55,1679.29,1123010.19
p2,p56,1671.92,1124104.58
p2,p57,1851.19,1255687.11
p2,p58,2170.58,1441470.37
p2,p59,1456.0,1049315.34
p2,p60,1578.08,1114470.92
p2,p61,1624.23,1162310.97
p2,p62,1572.57,1114175.6
p2,p63,1759.26,1219133.03
p2,p64,1853.52,1361481.08
p2,p65,1853.57,1361781.89
p2,p66,2042.12,1380051.17
p2,p67,2017.1,1441229.72
p2,p68,1367.82,955518.03
p2,p69,1498.39,1030923.31
p2,p70,1467.59,1015110.89
p2,p71,1568.16,1080439.42
p2,p72,1732.7,1180824.02
p2,p73,1685.92,1159998.31
p2,p74,1614.31,1136930.47
p2,p75,1632.89,1119594.41
p2,p76,1623.37,1112010.83
p2,p77,1536.97,1061924.96
p2,p78,1619.41,1113370.01
p2,p79,1687.16,1152913.55
p2,p80,1742.88,1175944.06
p2,p81,1618.1,1100769.73
p2,p82,1687.48,1142589.59
p2,p83,1778.6,1194120.72
p2,p84,1843.96,1233216.57
p2,p85,1813.94,1220196.41
p2,p86,1921.2,1295972.64
p2,p87,2024.22,1355474.93
p2,p88,2024.58,1357955.09
p2,p89,2152.96,1497409.4
p2,p90,2199.26,1514404.93
p2,p91,2255.84,1573000.71
p2,p92,2005.42,1385431.58
p2,p93,1988.44,1341329.35
p2,p94,2274.29,1623661.16
p2,p95,2303.36,1710983.89
p2,p96,2553.56,1907795.33
p2,p97,2341.51,1753997.09
p2,p98,2439.71,1857011.65
p2,p99,2589.22,1992926.22
p2,p100,2396.71,1991274.76
p2,p101,2651.86,1962608.55
p2,p102,2872.44,2155573.8
p2,p103,1998.28,1327016.29
p2,p104,1872.29,1253779.29
p2,p105,1892.07,1281023.86
p2,p106,1889.01,1256620.23
p2,p107,1891.25,1263243.08
p2,p108,1919.63,1281178.05
p2,p109,1971.82,1335180.49
p2,p110,2175.74,1554466.63
p2,p111,2086.99,1456063.05
p2,p112,2034.44,1418507.94
p2,p113,1983.91,1358956.49
p2,p114,1998.99,1389497.01
p2,p115,2199.69,1640862.73
p2,p116,2143.24,1564566.41
p2,p117,2197.47,1638879.88
p2,p118,2359.74,1758017.39
p2,p119,2321.9,1848063.27
p2,p120,2359.9,1950521.7
p2,p121,2370.26,1955502.11
p2,p122,2492.47,2156479.61
p2,p123,2439.32,2074966.4
p2,p124,2630.56,2294135.69
p2,p125,2504.13,2158716.11
p2,p126,2517.88,2174879.43
p2,p127,2575.84,2103220.01
p2,p128,2611.49,2374177.52
p2,p129,2696.78,2256380.22
p2,p130,2715.33,2407742.69
p2,p131,2729.66,2438517.82
p2,p132,2704.42,2320000.08
p2,p133,2742.27,2422649.77
p2,p134,2821.61,2614580.77
p3,p1,257.67,212899.52
p3,p2,171.53,127023.38
p3,p4,98.27,69673.19
p3,p5,334.74,266846.02
p3,p6,537.03,410300.48
p3,p7,328.65,258347.42
p3,p8,601.89,447376.79
p3,p9,928.73,863016.54
p3,p10,1144.35,1000145.97
p3,p11,1345.92,1081535.86
p3,p12,700.98,550931.02
p3,p13,1006.97,710445.85
p3,p14,100.02,83848.78
p3,p15,375.63,291255.07
p3,p16,497.4,402319.08
p3,p17,193.29,181977.08
p3,p18,346.25,311458.17
p3,p19,571.5,460392.83
p3,p20,493.33,416685.9
p3,p21,673.8,552188.92
p3,p22,648.31,531603.84
p3,p23,691.6,563367.27
p3,p24,892.08,699499.91
p3,p25,720.84,516165.53
p3,p26,780.04,629198.0
p3,p27,1145.36,812030.99
p3,p28,1286.24,908842.46
p3,p29,1176.39,866949.53
p3,p30,1409.72,985781.67
p3,p31,1264.88,928124.59
p3,p32,799.41,605853.42
p3,p33,1000.32,766134.87
p3,p34,1077.17,818889.95
p3,p35,604.19,485033.3
p3,p36,832.26,623466.41
p3,p37,1013.81,730584.84
p3,p38,1108.15,781087.93
p3,p39,957.02,699344.49
p3,p40,1145.8,806694.84
p3,p41,1213.3,847077.37
p3,p42,1066.13,749642.81
p3,p43,1227.19,853413.47
p3,p44,1126.55,791423.34
p3,p45,1225.05,849002.05
p3,p46,1365.24,935838.16
p3,p47,1452.82,1054229.41
p3,p48,1574.41,1057154.41
p3,p49,1363.95,931267.38
p3,p50,1545.39,1035182.62
p3,p51,1534.42,1034577.83
p3,p52,1286.89,885940.16
p3,p53,1389.57,949047.99
p3,p54,1365.72,941468.59
p3,p55,1528.11,1038647.86
p3,p56,1589.82,1067086.24
p3,p57,1838.49,1231306.97
p3,p58,2157.88,1417090.22
p3,p59,1503.18,1088527.48
p3,p60,1678.36,1116437.35
p3,p61,1687.93,1189643.77
p3,p62,1619.63,1130886.68
p3,p63,1754.6,1201549.65
p3,p64,1915.94,1356324.24
p3,p65,1958.28,1367515.44
p3,p66,2029.42,1355671.03
p3,p67,2080.77,1422230.77
p3,p68,1218.41,844209.63
p3,p69,1348.98,919614.91
p3,p70,1318.18,903802.49
p3,p71,1418.75,969131.02
p3,p72,1583.29,1069515.62
p3,p73,1536.51,1048689.9
p3,p74,1464.9,1025622.07
p3,p75,1483.47,1008286.0
p3,p76,1473.96,1000702.43
p3,p77,1387.56,950616.56
p3,p78,1470.0,1002061.61
p3,p79,1537.75,1041605.14
p3,p80,1593.47,1064635.66
p3,p81,1468.69,989461.33
p3,p82,1538.07,1031281.18
p3,p83,1629.19,1082812.31
p3,p84,1654.45,1128862.15
p3,p85,1729.29,1163129.98
p3,p86,1887.09,1264592.47
p3,p87,1957.23,1301749.87
p3,p88,1857.43,1269199.09
p3,p89,1985.42,1408561.8
p3,p90,2142.78,1468975.98
p3,p91,2199.36,1527571.76
p3,p92,1856.01,1274123.18
p3,p93,1839.03,1230020.95
p3,p94,2114.81,1528996.33
p3,p95,2153.95,1599675.48
p3,p96,2352.14,1798467.04
p3,p97,2192.1,1642688.69
p3,p98,2290.29,1745703.25
p3,p99,2439.81,1881617.82
p3,p100,2247.3,1879966.36
p3,p101,2514.21,1886334.9
p3,p102,2734.8,2079300.15
p3,p103,1848.87,1215707.88
p3,p104,1722.88,1142470.89
p3,p105,1742.66,1169715.45
p3,p106,1739.6,1145311.82
p3,p107,1741.84,1151934.68
p3,p108,1770.22,1169869.65
p3,p109,1822.41,1223872.09
p3,p110,2026.33,1443158.23
p3,p111,1937.58,1344754.65
p3,p112,1885.03,1307199.54
p3,p113,1834.5,1247648.08
p3,p114,1849.58,1278188.6
p3,p115,2050.28,1529554.33
p3,p116,1993.83,1453258.0
p3,p117,2048.06,1527571.48
p3,p118,2210.33,1646708.98
p3,p119,2172.49,1736754.87
p3,p120,2210.49,1839213.3
p3,p121,2220.85,1844193.7
p3,p122,2343.06,2045171.2
p3,p123,2289.91,1963657.99
p3,p124,2481.15,2182827.29
p3,p125,2354.72,2047407.71
p3,p126,2368.47,2063571.02
p3,p127,2426.42,1991911.61
p3,p128,2462.08,2262869.12
p3,p129,2547.37,2145071.82
p3,p130,2565.92,2296434.29
p3,p131,2580.25,2327209.42
p3,p132,2555.01,2208691.67
p3,p133,2592.86,2311341.37
p3,p134,2672.2,2503272.36
p4,p1,164.16,145947.96
p4,p2,72.57,58191.3
p4,p3,98.27,69673.19
p4,p5,220.2,204417.55
p4,p6,461.37,359903.17
p4,p7,280.35,219043.45
p4,p8,526.23,396979.48
p4,p9,853.07,812619.23
p4,p10,1096.05,960842.0
p4,p11,1297.61,1042231.9
p4,p12,630.98,502669.17
p4,p13,958.67,671141.88
p4,p14,129.94,96895.03
p4,p15,327.32,251951.1
p4,p16,576.75,410472.59
p4,p17,283.35,239794.15
p4,p18,436.31,369275.24
p4,p19,661.56,518209.9
p4,p20,583.39,474502.97
p4,p21,794.25,593355.87
p4,p22,738.37,589420.91
p4,p23,781.66,621184.34
p4,p24,979.57,712549.89
p4,p25,672.54,476861.56
p4,p26,812.98,594965.08
p4,p27,1097.05,772727.02
p4,p28,1237.94,869538.5
p4,p29,1128.08,827645.56
p4,p30,1361.42,946477.7
p4,p31,1216.57,888820.62
p4,p32,889.47,663670.49
p4,p33,1070.54,776876.48
p4,p34,1147.39,829631.56
p4,p35,694.25,542850.36
p4,p36,922.33,681283.47
p4,p37,1103.87,788401.91
p4,p38,1198.21,838905.0
p4,p39,1025.08,741755.4
p4,p40,1235.86,864511.91
p4,p41,1303.36,904894.44
p4,p42,1156.19,807459.88
p4,p43,1317.25,911230.54
p4,p44,1216.61,849240.41
p4,p45,1315.11,906819.12
p4,p46,1455.3,993655.23
p4,p47,1404.52,1014925.44
p4,p48,1578.16,1069065.87
p4,p49,1368.48,945766.54
p4,p50,1550.1,1053423.31
p4,p51,1577.68,1070306.62
p4,p52,1291.62,902010.21
p4,p53,1455.74,993374.28
p4,p54,1455.78,999285.65
p4,p55,1618.17,1096464.93
p4,p56,1670.8,1124012.76
p4,p57,1850.06,1255595.29
p4,p58,2169.45,1441378.54
p4,p59,1454.87,1049223.51
p4,p60,1576.95,1114379.09
p4,p61,1623.1,1162219.15
p4,p62,1571.44,1114083.78
p4,p63,1758.14,1219041.21
p4,p64,1852.39,1361389.26
p4,p65,1852.44,1361690.07
p4,p66,2040.99,1379959.35
p4,p67,2015.97,1441137.9
p4,p68,1308.47,902026.7
p4,p69,1439.04,977431.98
p4,p70,1408.24,961619.55
p4,p71,1508.81,1026948.09
p4,p72,1673.36,1127332.69
p4,p73,1626.58,1106506.97
p4,p74,1554.97,1083439.14
p4,p75,1573.54,1066103.07
p4,p76,1564.02,1058519.5
p4,p77,1477.62,1008433.63
p4,p78,1560.06,1059878.67
p4,p79,1627.81,1099422.21
p4,p80,1683.53,1122452.73
p4,p81,1558.75,1047278.4
p4,p82,1628.13,1089098.25
p4,p83,1719.25,1140629.38
p4,p84,1744.51,1186679.22
p4,p85,1812.81,1220104.59
p4,p86,1920.08,1295880.82
p4,p87,2023.09,1355383.11
p4,p88,1947.49,1327016.15
p4,p89,2075.48,1466378.87
p4,p90,2198.14,1514313.11
p4,p91,2254.72,1572908.89
p4,p92,1946.07,1331940.25
p4,p93,1929.09,1287838.02
p4,p94,2204.87,1586813.4
p4,p95,2244.01,1657492.55
p4,p96,2442.2,1856284.11
p4,p97,2282.16,1700505.75
p4,p98,2380.36,1803520.31
p4,p99,2529.87,1939434.88
p4,p100,2337.36,1937783.43
p4,p101,2604.27,1944151.96
p4,p102,2824.86,2137117.21
p4,p103,1938.93,1273524.95
p4,p104,1812.94,1200287.96
p4,p105,1832.73,1227532.52
p4,p106,1829.66,1203128.89
p4,p107,1831.9,1209751.75
p4,p108,1860.28,1227686.72
p4,p109,1912.47,1281689.16
p4,p110,2116.39,1500975.3
p4,p111,2027.65,1402571.72
p4,p112,1975.09,1365016.61
p4,p113,1924.56,1305465.15
p4,p114,1939.64,1336005.67
p4,p115,2140.34,1587371.39
p4,p116,2083.89,1511075.07
p4,p117,2138.12,1585388.54
p4,p118,2300.39,1704526.05
p4,p119,2262.55,1794571.94
p4,p120,2300.55,1897030.37
p4,p121,2310.91,1902010.77
p4,p122,2433.12,2102988.27
p4,p123,2379.97,2021475.06
p4,p124,2571.21,2240644.35
p4,p125,2444.78,2105224.78
p4,p126,2458.53,2121388.09
p4,p127,2516.49,2049728.68
p4,p128,2552.14,2320686.19
p4,p129,2637.43,2202888.88
p4,p130,2655.98,2354251.36
p4,p131,2670.31,2385026.49
p4,p132,2645.07,2266508.74
p4,p133,2682.92,2369158.44
p4,p134,2762.26,2561089.43
p5,p1,178.83,150564.05
p5,p2,151.26,149930.16
p5,p3,334.74,266846.02
p5,p4,220.2,204417.55
p5,p6,275.35,223915.34
p5,p7,320.04,296299.32
p5,p8,367.7,305024.5
p5,p9,720.23,748177.15
p5,p10,1034.05,919161.37
p5,p11,1237.35,1017077.97
p5,p12,544.12,448385.03
p5,p13,889.66,637985.25
p5,p14,299.23,251312.0
p5,p15,415.92,326079.79
p5,p16,652.62,480655.04
p5,p17,464.65,417235.6
p5,p18,617.61,546716.69
p5,p19,842.86,695651.34
p5,p20,764.69,651944.42
p5,p21,870.12,663538.32
p5,p22,966.77,759622.35
p5,p23,1044.46,791800.31
p5,p24,1055.44,782732.34
p5,p25,714.85,536657.81
p5,p26,864.58,663953.12
p5,p27,1036.79,747573.09
p5,p28,1177.68,844384.57
p5,p29,1165.9,878965.19
p5,p30,1301.15,921323.77
p5,p31,1254.38,940140.25
p5,p32,1070.77,841111.94
p5,p33,1146.41,847058.93
p5,p34,1223.26,899814.01
p5,p35,875.54,720291.81
p5,p36,1103.62,858724.92
p5,p37,1285.17,965843.36
p5,p38,1379.5,1016346.45
p5,p39,1100.95,811937.85
p5,p40,1386.23,978139.59
p5,p41,1495.71,1046447.97
p5,p42,1337.49,984901.33
p5,p43,1498.54,1088671.99
p5,p44,1397.91,1026681.86
p5,p45,1525.44,1070147.68
p5,p46,1636.6,1171096.67
p5,p47,1442.33,1066245.07
p5,p48,1545.42,1126742.45
p5,p49,1444.35,1015948.99
p5,p50,1625.97,1123605.76
p5,p51,1653.54,1140489.07
p5,p52,1367.49,972192.66
p5,p53,1531.61,1063556.73
p5,p54,1628.28,1119137.81
p5,p55,1754.03,1193100.82
p5,p56,1746.67,1194195.21
p5,p57,1925.93,1325777.74
p5,p58,2245.32,1511560.99
p5,p59,1552.43,1097083.7
p5,p60,1614.76,1165698.72
p5,p61,1660.92,1213538.78
p5,p62,1609.26,1165403.41
p5,p63,1834.0,1289223.66
p5,p64,1890.2,1412708.89
p5,p65,1890.25,1413009.69
p5,p66,2116.86,1450141.8
p5,p67,2091.84,1511320.35
p5,p68,1489.77,1079468.15
p5,p69,1656.87,1146500.52
p5,p70,1606.71,1115820.49
p5,p71,1694.49,1162870.34
p5,p72,1863.2,1257688.18
p5,p73,1810.06,1231229.93
p5,p74,1736.26,1260880.58
p5,p75,1754.83,1243544.52
p5,p76,1745.32,1235960.94
p5,p77,1658.92,1185875.07
p5,p78,1741.36,1237320.12
p5,p79,1809.1,1276863.66
p5,p80,1887.37,1285120.72
p5,p81,1757.77,1205834.47
p5,p82,1819.02,1244182.68
p5,p83,1912.27,1293714.99
p5,p84,1918.7,1303307.2
p5,p85,1888.68,1290287.04
p5,p86,1995.95,1366063.27
p5,p87,2098.96,1425565.56
p5,p88,2099.33,1428045.72
p5,p89,2227.71,1567500.03
p5,p90,2274.0,1584495.56
p5,p91,2330.58,1643091.34
p5,p92,2135.92,1462295.74
p5,p93,2116.61,1427266.67
p5,p94,2349.03,1693751.79
p5,p95,2434.9,1802313.84
p5,p96,2628.3,1977885.96
p5,p97,2473.05,1845327.04
p5,p98,2571.25,1948341.6
p5,p99,2720.76,2084256.17
p5,p100,2539.58,2100327.94
p5,p101,2726.6,2032699.18
p5,p102,2947.19,2225664.42
p5,p103,2141.15,1436069.47
p5,p104,2015.16,1362832.48
p5,p105,2032.61,1387882.14
p5,p106,2022.77,1357878.83
p5,p107,2020.34,1350447.62
p5,p108,2050.11,1368800.47
p5,p109,2103.65,1428028.09
p5,p110,2307.29,1645796.59
p5,p111,2229.87,1565116.23
p5,p112,2173.95,1523737.88
p5,p113,2123.42,1464186.43
p5,p114,2132.94,1490914.47
p5,p115,2342.56,1749915.91
p5,p116,2282.75,1669796.35
p5,p117,2336.98,1744109.82
p5,p118,2491.28,1849347.34
p5,p119,2464.77,1957116.45
p5,p120,2502.77,2059574.89
p5,p121,2513.13,2064555.29
p5,p122,2635.34,2265532.79
p5,p123,2582.19,2184019.58
p5,p124,2773.43,2403188.87
p5,p125,2647.01,2267769.29
p5,p126,2660.75,2283932.61
p5,p127,2718.71,2212273.19
p5,p128,2754.36,2483230.7
p5,p129,2839.65,2365433.4
p5,p130,2858.2,2516795.87
p5,p131,2872.53,2547571.0
p5,p132,2847.29,2429053.26
p5,p133,2885.14,2531702.95
p5,p134,2964.48,2723633.95
p6,p1,451.94,368825.31
p6,p2,395.66,320371.82
p6,p3,537.03,410300.48
p6,p4,461.37,359903.17
p6,p5,275.35,223915.34
p6,p7,352.8,283338.18
p6,p8,92.42,81593.09
p6,p9,420.17,547213.68
p6,p10,820.87,779702.82
p6,p11,1024.17,877619.42
p6,p12,314.88,297086.76
p6,p13,676.48,498526.71
p6,p14,496.64,393417.83
p6,p15,386.23,307351.1
p6,p16,622.93,461926.36
p6,p17,662.06,559341.43
p6,p18,863.9,678394.72
p6,p19,1080.81,808382.07
p6,p20,879.72,678734.15
p6,p21,840.43,644809.63
p6,p22,937.08,740893.67
p6,p23,1014.78,773071.63
p6,p24,1002.25,757101.48
p6,p25,618.52,467925.26
p6,p26,768.24,595220.57
p6,p27,823.61,608114.54
p6,p28,964.49,704926.02
p6,p29,981.98,758760.39
p6,p30,1087.97,781865.22
p6,p31,1135.35,856207.03
p6,p32,1107.47,827876.61
p6,p33,1093.22,821428.07
p6,p34,1075.24,862085.47
p6,p35,1012.44,764560.65
p6,p36,1246.69,907546.48
p6,p37,1429.58,1014558.76
p6,p38,1411.6,1006824.28
p6,p39,1047.6,787613.52
p6,p40,1333.04,952508.73
p6,p41,1442.52,1020817.11
p6,p42,1479.84,1041361.88
p6,p43,1595.19,1112719.41
p6,p44,1466.96,1037917.01
p6,p45,1472.09,1045823.35
p6,p46,1683.03,1171957.94
p6,p47,1323.3,982311.85
p6,p48,1426.39,1042809.23
p6,p49,1307.96,985605.07
p6,p50,1572.78,1097974.9
p6,p51,1600.35,1114858.2
p6,p52,1314.3,946561.79
p6,p53,1478.42,1037925.86
p6,p54,1575.09,1093506.94
p6,p55,1700.84,1167469.96
p6,p56,1693.48,1168564.34
p6,p57,1872.74,1300146.87
p6,p58,2192.13,1485930.13
p6,p59,1339.24,957625.16
p6,p60,1495.73,1081765.5
p6,p61,1541.89,1129605.56
p6,p62,1490.22,1081470.19
p6,p63,1686.49,1263312.5
p6,p64,1771.17,1328775.67
p6,p65,1771.22,1329076.47
p6,p66,2063.67,1424510.93
p6,p67,1920.17,1456122.52
p6,p68,1541.3,1082865.9
p6,p69,1603.53,1122176.2
p6,p70,1553.36,1091496.16
p6,p71,1641.3,1137239.47
p6,p72,1810.01,1232057.31
p6,p73,1756.87,1205599.07
p6,p74,1876.41,1308946.88
p6,p75,1838.79,1266244.45
p6,p76,1815.16,1253526.65
p6,p77,1707.17,1187854.21
p6,p78,1776.59,1233183.84
p6,p79,1837.66,1267862.2
p6,p80,1834.03,1260796.39
p6,p81,1704.43,1181510.15
p6,p82,1770.22,1219277.93
p6,p83,1859.08,1268084.13
p6,p84,1865.51,1277676.33
p6,p85,1835.49,1264656.18
p6,p86,1942.76,1340432.4
p6,p87,2045.77,1399934.69
p6,p88,2046.14,1402414.86
p6,p89,2174.52,1541869.16
p6,p90,2220.82,1558864.69
p6,p91,2277.4,1617460.48
p6,p92,2082.73,1436664.87
p6,p93,2063.42,1401635.81
p6,p94,2295.84,1668120.92
p6,p95,2381.71,1776682.97
p6,p96,2575.11,1952255.09
p6,p97,2419.87,1819696.17
p6,p98,2518.06,1922710.74
p6,p99,2667.57,2058625.31
p6,p100,2486.23,2076003.62
p6,p101,2673.41,2007068.31
p6,p102,2894.0,2200033.56
p6,p103,2087.8,1411745.14
p6,p104,1961.81,1338508.15
p6,p105,1979.26,1363557.81
p6,p106,1969.58,1332247.96
p6,p107,1967.15,1324816.75
p6,p108,1996.92,1343169.6
p6,p109,2050.46,1402397.22
p6,p110,2254.1,1620165.72
p6,p111,2176.52,1540791.91
p6,p112,2120.6,1499413.56
p6,p113,2065.84,1439056.25
p6,p114,2079.75,1465283.61
p6,p115,2289.21,1725591.58
p6,p116,2229.4,1645472.02
p6,p117,2283.63,1719785.49
p6,p118,2438.09,1823716.47
p6,p119,2411.42,1932792.12
p6,p120,2449.42,2035250.56
p6,p121,2459.78,2040230.96
p6,p122,2582.0,2241208.46
p6,p123,2528.85,2159695.25
p6,p124,2720.09,2378864.54
p6,p125,2593.66,2243444.97
p6,p126,2607.4,2259608.28
p6,p127,2665.36,2187948.87
p6,p128,2701.01,2458906.38
p6,p129,2786.3,2341109.07
p6,p130,2804.85,2492471.55
p6,p131,2819.18,2523246.68
p6,p132,2793.94,2404728.93
p6,p133,2831.8,2507378.63
p6,p134,2911.14,2699309.62
p7,p1,413.53,342695.45
p7,p2,281.48,219135.28
p7,p3,328.65,258347.42
p7,p4,280.35,219043.45
p7,p5,320.04,296299.32
p7,p6,352.8,283338.18
p7,p8,368.91,293537.24
p7,p9,635.6,661475.0
p7,p10,832.2,751544.45
p7,p11,1016.54,825695.69
p7,p12,415.63,311061.36
p7,p13,677.6,454605.68
p7,p14,222.78,183172.65
p7,p15,48.92,34448.99
p7,p16,295.68,193936.38
p7,p17,314.16,308722.8
p7,p18,436.17,400106.75
p7,p19,655.59,532351.12
p7,p20,552.47,410735.52
p7,p21,513.18,376819.66
p7,p22,609.83,472903.69
p7,p23,687.53,505081.65
p7,p24,698.5,496013.68
p7,p25,391.47,260325.35
p7,p26,531.91,378428.87
p7,p27,815.99,556190.82
p7,p28,956.87,653002.29
p7,p29,847.02,611109.35
p7,p30,1080.35,729941.49
p7,p31,935.5,672284.42
p7,p32,786.68,561479.27
p7,p33,789.47,560340.27
p7,p34,866.33,613095.35
p7,p35,685.19,496562.01
p7,p36,919.44,639547.84
p7,p37,1102.33,746560.12
p7,p38,1090.4,741058.46
p7,p39,744.01,525219.19
p7,p40,1029.29,691420.93
p7,p41,1138.78,759729.32
p7,p42,1152.59,773363.24
p7,p43,1274.4,846322.08
p7,p44,1142.58,771914.03
p7,p45,1168.5,783429.02
p7,p46,1361.83,906192.12
p7,p47,1123.45,798389.24
p7,p48,1297.09,852529.66
p7,p49,1087.42,729230.33
p7,p50,1269.03,836887.1
p7,p51,1296.61,853770.41
p7,p52,1010.55,685474.0
p7,p53,1174.68,776838.07
