r,rr,AC,DC,Source,Project(s),Vintage
p21,p18,788,788,,DC: VSC macrogrid,
p21,p24,412,412,,DC: VSC macrogrid,
p21,p25,414,414,,DC: VSC macrogrid,
p21,p26,218,218,,DC: VSC macrogrid,
p21,p33,513,513,,DC: VSC macrogrid,
p22,p18,419,419,,DC: VSC macrogrid,
p22,p23,65,65,,DC: VSC macrogrid,
p22,p24,303,303,,DC: VSC macrogrid,
p23,p22,65,65,,DC: VSC macrogrid,
p23,p24,289,289,,DC: VSC macrogrid,
p23,p32,154,154,,DC: VSC macrogrid,
p24,p13,,844,ABB,Zephyr Power Transmission Project (AC),New
p24,p21,412,412,,DC: VSC macrogrid,
p24,p22,303,303,,DC: VSC macrogrid,
p24,p23,289,289,,DC: VSC macrogrid,
p24,p28,1200,1200,Project data,AC: High Plains Express; DC: VSC macrogrid,New
p24,p32,294,294,,DC: VSC macrogrid,
p24,p33,115,115,,DC: VSC macrogrid,
p24,p39,126,126,AC trace,Virginia Smith Intertie and Segall Intertie (West-East),Existing
p25,p10,721,488,ABB,Intermountain Power Project (DC),Existing
p25,p12,671,671,,DC: VSC macrogrid,
p25,p13,444,444,,DC: VSC macrogrid,
p25,p15,395,395,,DC: VSC macrogrid,
p25,p16,238,238,,DC: VSC macrogrid,
p25,p21,414,414,,DC: VSC macrogrid,
p25,p26,238,238,,DC: VSC macrogrid,
p25,p28,758,758,,DC: VSC macrogrid,
p25,p31,571,571,,DC: VSC macrogrid,
p26,p21,218,218,,DC: VSC macrogrid,
p26,p25,238,238,,DC: VSC macrogrid,
p26,p33,325,325,,DC: VSC macrogrid,
p27,p10,323,323,,DC: VSC macrogrid,
p27,p13,160,160,,DC: VSC macrogrid,
p27,p28,190,190,,DC: VSC macrogrid,
p28,p10,422,,,DC already in NARIS,
p28,p13,342,342,,DC: VSC macrogrid,
p28,p25,758,758,,DC: VSC macrogrid,
p28,p27,190,190,,DC: VSC macrogrid,
p28,p29,360,360,,DC: VSC macrogrid,
p28,p30,157,157,,DC: VSC macrogrid,
p28,p31,572,572,,AC: Sunzia Southwest; DC: VSC macrogrid,New
p29,p28,360,360,,DC: VSC macrogrid,
p29,p30,371,371,,DC: VSC macrogrid,
p29,p31,278,278,,DC: VSC macrogrid,
p30,p28,157,157,,DC: VSC macrogrid,
p30,p29,371,371,,DC: VSC macrogrid,
p31,p10,,658,ABB,Centennial West Clean Line (DC),New
p31,p25,571,571,,DC: VSC macrogrid,
p31,p28,572,572,,DC: VSC macrogrid,
p31,p29,278,278,,DC: VSC macrogrid,
p31,p34,463,463,,DC: VSC macrogrid,
p31,p47,388,388,AC trace,Artesia Intertie (West-ERCOT),Existing
p31,p48,451,451,AC trace,Blackwater Intertie (West-East),Existing
p31,p59,320,320,,DC: VSC macrogrid,
p32,p23,154,154,,DC: VSC macrogrid,
p32,p24,294,294,,DC: VSC macrogrid,
p32,p38,371,371,AC trace,Rapid City Intertie (West-East),Existing
p33,p21,513,513,,DC: VSC macrogrid,
p33,p24,115,115,,DC: VSC macrogrid,
p33,p26,325,325,,DC: VSC macrogrid,
p33,p34,83,83,,DC: VSC macrogrid,
p34,p31,463,463,,DC: VSC macrogrid,
p34,p33,83,83,,DC: VSC macrogrid,
p34,p52,286,286,AC trace,Lamar Intertie (West-East),Existing
p35,p20,195,195,AC trace,Miles City Intertie (West-East),Existing
p35,p36,285,285,,DC: VSC macrogrid,
p36,p35,285,285,,DC: VSC macrogrid,
p36,p37,220,220,,DC: VSC macrogrid,
p36,p38,374,374,,DC: VSC macrogrid,
p37,p36,220,220,,DC: VSC macrogrid,
p37,p38,269,269,,DC: VSC macrogrid,
p37,p42,73,73,,DC: VSC macrogrid,
p37,p43,257,449,ABB,Average of CU and Square Butte (DC),Existing
p38,p32,371,371,AC trace,Rapid City Intertie (West-East),Existing
p38,p36,374,374,,DC: VSC macrogrid,
p38,p37,269,269,,DC: VSC macrogrid,
p38,p39,607,607,,DC: VSC macrogrid,
p38,p40,286,286,,DC: VSC macrogrid,
p38,p43,248,248,,DC: VSC macrogrid,
p38,p44,121,121,,DC: VSC macrogrid,
p38,p45,178,178,,DC: VSC macrogrid,
p39,p24,126,126,AC trace,Virginia Smith Intertie and Segall Intertie (West-East),Existing
p39,p38,607,607,,DC: VSC macrogrid,
p39,p40,367,367,,DC: VSC macrogrid,
p40,p38,286,286,,DC: VSC macrogrid,
p40,p39,367,367,,DC: VSC macrogrid,
p40,p41,169,169,,DC: VSC macrogrid,
p40,p45,254,254,,DC: VSC macrogrid,
p40,p52,380,380,,DC: VSC macrogrid,
p40,p53,502,502,,DC: VSC macrogrid,
p41,p40,169,169,,DC: VSC macrogrid,
p41,p45,168,168,,DC: VSC macrogrid,
p41,p53,423,423,,DC: VSC macrogrid,
p41,p54,209,209,,DC: VSC macrogrid,
p41,p70,156,156,,DC: VSC macrogrid,
p42,p37,73,73,,DC: VSC macrogrid,
p42,p43,323,323,,DC: VSC macrogrid,
p43,p37,257,449,ABB,Average of CU and Square Butte (DC),Existing
p43,p38,248,248,,DC: VSC macrogrid,
p43,p42,323,323,,DC: VSC macrogrid,
p43,p44,172,172,,DC: VSC macrogrid,
p43,p46,176,176,,DC: VSC macrogrid,
p43,p68,86,86,,DC: VSC macrogrid,
p44,p38,121,121,,DC: VSC macrogrid,
p44,p43,172,172,,DC: VSC macrogrid,
p44,p45,281,281,,DC: VSC macrogrid,
p44,p68,160,160,,DC: VSC macrogrid,
p45,p38,178,178,,DC: VSC macrogrid,
p45,p40,254,254,,DC: VSC macrogrid,
p45,p41,168,168,,DC: VSC macrogrid,
p45,p44,281,281,,DC: VSC macrogrid,
p45,p54,372,372,,DC: VSC macrogrid,
p45,p68,212,212,,DC: VSC macrogrid,
p45,p69,161,161,,DC: VSC macrogrid,
p45,p70,125,125,,DC: VSC macrogrid,
p45,p80,,423,ABB,Clean Line Rock Island (DC),New
p46,p43,176,176,,DC: VSC macrogrid,
p46,p68,198,198,,DC: VSC macrogrid,
p46,p74,467,467,,DC: VSC macrogrid,
p46,p75,307,307,,DC: VSC macrogrid,
p46,p76,284,284,,DC: VSC macrogrid,
p46,p77,91,91,,DC: VSC macrogrid,
p46,p78,196,196,,DC: VSC macrogrid,
p47,p31,388,388,AC trace,Artesia Intertie (West-ERCOT),Existing
p47,p48,235,235,,DC: VSC macrogrid,
p48,p31,451,451,AC trace,Blackwater Intertie (West-East),Existing
p48,p47,235,235,,DC: VSC macrogrid,
p48,p49,282,282,,DC: VSC macrogrid,
p48,p50,353,353,,DC: VSC macrogrid,
p49,p48,282,282,,DC: VSC macrogrid,
p49,p50,327,327,,DC: VSC macrogrid,
p49,p52,121,121,,DC: VSC macrogrid,
p49,p53,352,352,,DC: VSC macrogrid,
p49,p92,,688,ABB,Clean Line Plains and Eastern (DC),New
p50,p48,353,353,,DC: VSC macrogrid,
p50,p49,327,327,,DC: VSC macrogrid,
p50,p51,120,120,,DC: VSC macrogrid,
p50,p53,206,206,,DC: VSC macrogrid,
p50,p56,241,241,,DC: VSC macrogrid,
p50,p57,323,323,,DC: VSC macrogrid,
p50,p60,387,387,AC trace,Oklaunion Intertie (ERCOT-East),Existing
p50,p63,282,282,,DC: VSC macrogrid,
p50,p85,371,371,,DC: VSC macrogrid,
p51,p50,120,120,,DC: VSC macrogrid,
p51,p53,191,191,,DC: VSC macrogrid,
p51,p55,197,197,,DC: VSC macrogrid,
p51,p56,120,120,,DC: VSC macrogrid,
p52,p34,286,286,AC trace,Lamar Intertie (West-East),Existing
p52,p40,380,380,,DC: VSC macrogrid,
p52,p49,121,121,,DC: VSC macrogrid,
p52,p53,297,297,,DC: VSC macrogrid,
p53,p40,502,502,,DC: VSC macrogrid,
p53,p41,423,423,,DC: VSC macrogrid,
p53,p49,352,352,,DC: VSC macrogrid,
p53,p50,206,206,,DC: VSC macrogrid,
p53,p51,191,191,,DC: VSC macrogrid,
p53,p52,297,297,,DC: VSC macrogrid,
p53,p54,225,225,,DC: VSC macrogrid,
p53,p55,258,258,,DC: VSC macrogrid,
p53,p71,,780,ABB,Clean Line Grain Belt (DC),New
p54,p41,209,209,,DC: VSC macrogrid,
p54,p45,372,372,,DC: VSC macrogrid,
p54,p53,225,225,,DC: VSC macrogrid,
p54,p55,286,286,,DC: VSC macrogrid,
p54,p70,282,282,,DC: VSC macrogrid,
p54,p71,320,320,,DC: VSC macrogrid,
p54,p72,286,286,,DC: VSC macrogrid,
p55,p51,197,197,,DC: VSC macrogrid,
p55,p53,258,258,,DC: VSC macrogrid,
p55,p54,286,286,,DC: VSC macrogrid,
p55,p56,142,142,,DC: VSC macrogrid,
p55,p72,264,264,,DC: VSC macrogrid,
p55,p84,286,286,,DC: VSC macrogrid,
p55,p85,400,400,,DC: VSC macrogrid,
p56,p50,241,241,,DC: VSC macrogrid,
p56,p51,120,120,,DC: VSC macrogrid,
p56,p55,142,142,,DC: VSC macrogrid,
p56,p85,301,301,,DC: VSC macrogrid,
p57,p50,323,323,,DC: VSC macrogrid,
p57,p58,532,532,,DC: VSC macrogrid,
p57,p63,204,204,AC trace,Welsh Intertie (ERCOT-East),Existing
p57,p66,314,314,,DC: VSC macrogrid,
p57,p85,286,286,,DC: VSC macrogrid,
p58,p57,532,532,,DC: VSC macrogrid,
p58,p66,281,281,,DC: VSC macrogrid,
p58,p85,482,482,,DC: VSC macrogrid,
p58,p86,338,338,,DC: VSC macrogrid,
p58,p87,245,245,,DC: VSC macrogrid,
p59,p31,320,320,,DC: VSC macrogrid,
p60,p50,387,387,AC trace,Oklaunion Intertie (ERCOT-East),Existing
p60,p61,164,164,,DC: VSC macrogrid,
p60,p62,74,74,,DC: VSC macrogrid,
p60,p63,327,327,,DC: VSC macrogrid,
p61,p60,164,164,,DC: VSC macrogrid,
p61,p62,97,97,,DC: VSC macrogrid,
p61,p63,475,475,,DC: VSC macrogrid,
p61,p64,412,412,,DC: VSC macrogrid,
p61,p65,348,348,,DC: VSC macrogrid,
p62,p60,74,74,,DC: VSC macrogrid,
p62,p61,97,97,,DC: VSC macrogrid,
p63,p50,282,282,,DC: VSC macrogrid,
p63,p57,204,204,AC trace,Welsh Intertie (ERCOT-East),Existing
p63,p60,327,327,,DC: VSC macrogrid,
p63,p61,475,475,,DC: VSC macrogrid,
p63,p64,222,222,,DC: VSC macrogrid,
p63,p67,267,267,,DC: VSC macrogrid,
p63,p88,,367,ABB,Southern Cross (DC),New
p64,p61,412,412,,DC: VSC macrogrid,
p64,p63,222,222,,DC: VSC macrogrid,
p64,p65,91,91,,DC: VSC macrogrid,
p64,p67,244,244,,DC: VSC macrogrid,
p65,p61,348,348,,DC: VSC macrogrid,
p65,p64,91,91,,DC: VSC macrogrid,
p65,p67,250,250,,DC: VSC macrogrid,
p66,p57,314,314,,DC: VSC macrogrid,
p66,p58,281,281,,DC: VSC macrogrid,
p66,p86,343,343,,DC: VSC macrogrid,
p67,p63,267,267,,DC: VSC macrogrid,
p67,p64,244,244,,DC: VSC macrogrid,
p67,p65,250,250,,DC: VSC macrogrid,
p68,p43,86,86,,DC: VSC macrogrid,
p68,p44,160,160,,DC: VSC macrogrid,
p68,p45,212,212,,DC: VSC macrogrid,
p68,p46,198,198,,DC: VSC macrogrid,
p68,p69,271,271,,DC: VSC macrogrid,
p68,p77,259,259,,DC: VSC macrogrid,
p69,p45,161,161,,DC: VSC macrogrid,
p69,p68,271,271,,DC: VSC macrogrid,
p69,p70,229,229,,DC: VSC macrogrid,
p69,p77,313,313,,DC: VSC macrogrid,
p70,p41,156,156,,DC: VSC macrogrid,
p70,p45,125,125,,DC: VSC macrogrid,
p70,p54,282,282,,DC: VSC macrogrid,
p70,p69,229,229,,DC: VSC macrogrid,
p70,p71,174,174,,DC: VSC macrogrid,
p70,p77,477,477,,DC: VSC macrogrid,
p70,p80,401,401,,DC: VSC macrogrid,
p70,p81,181,181,,DC: VSC macrogrid,
p71,p53,,780,ABB,Clean Line Grain Belt (DC),New
p71,p54,320,320,,DC: VSC macrogrid,
p71,p70,174,174,,DC: VSC macrogrid,
p71,p72,235,235,,DC: VSC macrogrid,
p71,p81,219,219,,DC: VSC macrogrid,
p72,p54,286,286,,DC: VSC macrogrid,
p72,p55,264,264,,DC: VSC macrogrid,
p72,p71,235,235,,DC: VSC macrogrid,
p72,p73,136,136,,DC: VSC macrogrid,
p72,p81,409,409,,DC: VSC macrogrid,
p72,p84,219,219,,DC: VSC macrogrid,
p73,p72,136,136,,DC: VSC macrogrid,
p73,p84,168,168,,DC: VSC macrogrid,
p74,p46,467,467,,DC: VSC macrogrid,
p74,p75,183,183,,DC: VSC macrogrid,
p74,p103,879,879,,DC: VSC macrogrid,
p75,p46,307,307,,DC: VSC macrogrid,
p75,p74,183,183,,DC: VSC macrogrid,
p75,p76,39,39,,DC: VSC macrogrid,
p75,p79,129,129,,DC: VSC macrogrid,
p76,p46,284,284,,DC: VSC macrogrid,
p76,p75,39,39,,DC: VSC macrogrid,
p76,p77,196,196,,DC: VSC macrogrid,
p76,p78,156,156,,DC: VSC macrogrid,
p76,p79,117,117,,DC: VSC macrogrid,
p77,p46,91,91,,DC: VSC macrogrid,
p77,p68,259,259,,DC: VSC macrogrid,
p77,p69,313,313,,DC: VSC macrogrid,
p77,p70,477,477,,DC: VSC macrogrid,
p77,p76,196,196,,DC: VSC macrogrid,
p77,p78,107,107,,DC: VSC macrogrid,
p77,p80,308,308,,DC: VSC macrogrid,
p78,p46,196,196,,DC: VSC macrogrid,
p78,p76,156,156,,DC: VSC macrogrid,
p78,p77,107,107,,DC: VSC macrogrid,
p78,p79,172,172,,DC: VSC macrogrid,
p78,p80,197,197,,DC: VSC macrogrid,
p79,p75,129,129,,DC: VSC macrogrid,
p79,p76,117,117,,DC: VSC macrogrid,
p79,p78,172,172,,DC: VSC macrogrid,
p79,p80,110,110,,DC: VSC macrogrid,
p80,p45,,423,ABB,Clean Line Rock Island (DC),New
p80,p70,401,401,,DC: VSC macrogrid,
p80,p77,308,308,,DC: VSC macrogrid,
p80,p78,197,197,,DC: VSC macrogrid,
p80,p79,110,110,,DC: VSC macrogrid,
p80,p81,234,234,,DC: VSC macrogrid,
p80,p82,187,187,,DC: VSC macrogrid,
p80,p83,241,241,,DC: VSC macrogrid,
p80,p105,230,230,,DC: VSC macrogrid,
p81,p70,181,181,,DC: VSC macrogrid,
p81,p71,219,219,,DC: VSC macrogrid,
p81,p72,409,409,,DC: VSC macrogrid,
p81,p80,234,234,,DC: VSC macrogrid,
p81,p82,120,120,,DC: VSC macrogrid,
p81,p83,282,282,,DC: VSC macrogrid,
p81,p93,577,577,,DC: VSC macrogrid,
p81,p107,510,510,,DC: VSC macrogrid,
p81,p108,505,505,,DC: VSC macrogrid,
p82,p80,187,187,,DC: VSC macrogrid,
p82,p81,120,120,,DC: VSC macrogrid,
p82,p83,137,137,,DC: VSC macrogrid,
p83,p80,241,241,,DC: VSC macrogrid,
p83,p81,282,282,,DC: VSC macrogrid,
p83,p82,137,137,,DC: VSC macrogrid,
p83,p105,307,307,,DC: VSC macrogrid,
p83,p107,244,244,,DC: VSC macrogrid,
p84,p55,286,286,,DC: VSC macrogrid,
p84,p72,219,219,,DC: VSC macrogrid,
p84,p73,168,168,,DC: VSC macrogrid,
p84,p85,324,324,,DC: VSC macrogrid,
p84,p92,382,382,,DC: VSC macrogrid,
p85,p50,371,371,,DC: VSC macrogrid,
p85,p55,400,400,,DC: VSC macrogrid,
p85,p56,301,301,,DC: VSC macrogrid,
p85,p57,286,286,,DC: VSC macrogrid,
p85,p58,482,482,,DC: VSC macrogrid,
p85,p84,324,324,,DC: VSC macrogrid,
p85,p86,178,178,,DC: VSC macrogrid,
p85,p87,287,287,,DC: VSC macrogrid,
p85,p92,408,408,,DC: VSC macrogrid,
p86,p58,338,338,,DC: VSC macrogrid,
p86,p66,343,343,,DC: VSC macrogrid,
p86,p85,178,178,,DC: VSC macrogrid,
p86,p87,143,143,,DC: VSC macrogrid,
p87,p58,245,245,,DC: VSC macrogrid,
p87,p85,287,287,,DC: VSC macrogrid,
p87,p86,143,143,,DC: VSC macrogrid,
p87,p88,194,194,,DC: VSC macrogrid,
p87,p89,264,264,,DC: VSC macrogrid,
p87,p90,287,287,,DC: VSC macrogrid,
p87,p92,410,410,,DC: VSC macrogrid,
p88,p63,,367,ABB,Southern Cross (DC),New
p88,p87,194,194,,DC: VSC macrogrid,
p88,p89,163,163,,DC: VSC macrogrid,
p88,p92,254,254,,DC: VSC macrogrid,
p89,p87,264,264,,DC: VSC macrogrid,
p89,p88,163,163,,DC: VSC macrogrid,
p89,p90,329,329,,DC: VSC macrogrid,
p89,p92,339,339,,DC: VSC macrogrid,
p89,p94,344,344,,DC: VSC macrogrid,
p90,p87,287,287,,DC: VSC macrogrid,
p90,p89,329,329,,DC: VSC macrogrid,
p90,p91,82,82,,DC: VSC macrogrid,
p90,p94,566,566,,DC: VSC macrogrid,
p91,p90,82,82,,DC: VSC macrogrid,
p91,p94,505,505,,DC: VSC macrogrid,
p91,p101,741,741,,DC: VSC macrogrid,
p92,p49,,688,ABB,Clean Line Plains and Eastern (DC),New
p92,p84,382,382,,DC: VSC macrogrid,
p92,p85,408,408,,DC: VSC macrogrid,
p92,p87,410,410,,DC: VSC macrogrid,
p92,p88,254,254,,DC: VSC macrogrid,
p92,p89,339,339,,DC: VSC macrogrid,
p92,p93,126,126,,DC: VSC macrogrid,
p92,p94,320,320,,DC: VSC macrogrid,
p92,p97,520,520,,DC: VSC macrogrid,
p92,p108,153,153,,DC: VSC macrogrid,
p92,p109,253,253,,DC: VSC macrogrid,
p92,p118,463,463,,DC: VSC macrogrid,
p93,p81,577,577,,DC: VSC macrogrid,
p93,p92,126,126,,DC: VSC macrogrid,
p93,p108,83,83,,DC: VSC macrogrid,
p93,p109,182,182,,DC: VSC macrogrid,
p94,p89,344,344,,DC: VSC macrogrid,
p94,p90,566,566,,DC: VSC macrogrid,
p94,p91,505,505,,DC: VSC macrogrid,
p94,p92,320,320,,DC: VSC macrogrid,
p94,p95,159,159,,DC: VSC macrogrid,
p94,p96,360,360,,DC: VSC macrogrid,
p94,p97,264,264,,DC: VSC macrogrid,
p94,p101,610,,,DC already in NARIS,
p95,p94,159,159,,DC: VSC macrogrid,
p95,p96,371,371,,DC: VSC macrogrid,
p95,p97,146,146,,DC: VSC macrogrid,
p95,p98,348,348,,DC: VSC macrogrid,
p96,p94,360,360,,DC: VSC macrogrid,
p96,p95,371,371,,DC: VSC macrogrid,
p96,p98,312,312,,DC: VSC macrogrid,
p97,p92,520,520,,DC: VSC macrogrid,
p97,p94,264,264,,DC: VSC macrogrid,
p97,p95,146,146,,DC: VSC macrogrid,
p97,p98,250,250,,DC: VSC macrogrid,
p97,p118,226,226,,DC: VSC macrogrid,
p98,p95,348,348,,DC: VSC macrogrid,
p98,p96,312,312,,DC: VSC macrogrid,
p98,p97,250,250,,DC: VSC macrogrid,
p98,p99,238,238,,DC: VSC macrogrid,
p99,p98,238,238,,DC: VSC macrogrid,
p99,p100,307,307,,DC: VSC macrogrid,
p99,p116,470,470,,DC: VSC macrogrid,
p99,p118,328,328,,DC: VSC macrogrid,
p99,p121,302,302,,DC: VSC macrogrid,
p99,p123,268,268,,DC: VSC macrogrid,
p100,p99,307,307,,DC: VSC macrogrid,
p100,p116,222,222,,DC: VSC macrogrid,
p101,p91,741,741,,DC: VSC macrogrid,
p101,p94,610,,,DC already in NARIS,
p101,p102,263,263,,DC: VSC macrogrid,
p102,p101,263,263,,DC: VSC macrogrid,
p103,p74,879,879,,DC: VSC macrogrid,
p103,p104,183,183,,DC: VSC macrogrid,
p103,p105,220,220,,DC: VSC macrogrid,
p103,p111,187,187,,DC: VSC macrogrid,
p104,p103,183,183,,DC: VSC macrogrid,
p104,p105,117,117,,DC: VSC macrogrid,
p105,p80,230,230,,DC: VSC macrogrid,
p105,p83,307,307,,DC: VSC macrogrid,
p105,p103,220,220,,DC: VSC macrogrid,
p105,p104,117,117,,DC: VSC macrogrid,
p105,p106,199,199,,DC: VSC macrogrid,
p105,p107,425,425,,DC: VSC macrogrid,
p105,p112,189,189,,DC: VSC macrogrid,
p106,p105,199,199,,DC: VSC macrogrid,
p106,p107,324,324,,DC: VSC macrogrid,
p107,p81,510,510,,DC: VSC macrogrid,
p107,p83,244,244,,DC: VSC macrogrid,
p107,p105,425,425,,DC: VSC macrogrid,
p107,p106,324,324,,DC: VSC macrogrid,
p107,p108,102,102,,DC: VSC macrogrid,
p107,p109,202,202,,DC: VSC macrogrid,
p107,p112,495,495,,DC: VSC macrogrid,
p107,p114,295,295,,DC: VSC macrogrid,
p108,p81,505,505,,DC: VSC macrogrid,
p108,p92,153,153,,DC: VSC macrogrid,
p108,p93,83,83,,DC: VSC macrogrid,
p108,p107,102,102,,DC: VSC macrogrid,
p108,p109,111,111,,DC: VSC macrogrid,
p109,p92,253,253,,DC: VSC macrogrid,
p109,p93,182,182,,DC: VSC macrogrid,
p109,p107,202,202,,DC: VSC macrogrid,
p109,p108,111,111,,DC: VSC macrogrid,
p109,p110,316,316,,DC: VSC macrogrid,
p109,p112,383,383,,DC: VSC macrogrid,
p109,p114,130,130,,DC: VSC macrogrid,
p109,p118,502,502,,DC: VSC macrogrid,
p110,p109,316,316,,DC: VSC macrogrid,
p110,p112,258,258,,DC: VSC macrogrid,
p110,p117,152,152,,DC: VSC macrogrid,
p110,p118,210,210,,DC: VSC macrogrid,
p111,p103,187,187,,DC: VSC macrogrid,
p111,p112,295,295,,DC: VSC macrogrid,
p111,p115,139,139,,DC: VSC macrogrid,
p111,p116,231,231,,DC: VSC macrogrid,
p111,p122,427,427,,DC: VSC macrogrid,
p112,p105,189,189,,DC: VSC macrogrid,
p112,p107,495,495,,DC: VSC macrogrid,
p112,p109,383,383,,DC: VSC macrogrid,
p112,p110,258,258,,DC: VSC macrogrid,
p112,p111,295,295,,DC: VSC macrogrid,
p112,p113,78,78,,DC: VSC macrogrid,
p112,p114,123,123,,DC: VSC macrogrid,
p112,p115,222,222,,DC: VSC macrogrid,
p112,p116,189,189,,DC: VSC macrogrid,
p112,p117,182,182,,DC: VSC macrogrid,
p113,p112,78,78,,DC: VSC macrogrid,
p113,p114,72,72,,DC: VSC macrogrid,
p114,p107,295,295,,DC: VSC macrogrid,
p114,p109,130,130,,DC: VSC macrogrid,
p114,p112,123,123,,DC: VSC macrogrid,
p114,p113,72,72,,DC: VSC macrogrid,
p115,p111,139,139,,DC: VSC macrogrid,
p115,p112,222,222,,DC: VSC macrogrid,
p115,p116,173,173,,DC: VSC macrogrid,
p115,p122,363,363,,DC: VSC macrogrid,
p116,p99,470,470,,DC: VSC macrogrid,
p116,p100,222,222,,DC: VSC macrogrid,
p116,p111,231,231,,DC: VSC macrogrid,
p116,p112,189,189,,DC: VSC macrogrid,
p116,p115,173,173,,DC: VSC macrogrid,
p116,p117,119,119,,DC: VSC macrogrid,
p116,p118,338,338,,DC: VSC macrogrid,
p116,p120,324,324,,DC: VSC macrogrid,
