r,rr,length_miles,USD2004perMW
p5,p63,1834.0,3116429.92
p5,p64,1890.2,3414929.77
p5,p65,1890.25,3415656.92
p5,p66,2116.86,3505416.01
p5,p67,2091.84,3653302.4
p5,p68,1489.77,2609389.62
p5,p69,1656.87,2771426.43
p5,p70,1606.71,2697263.83
p5,p71,1694.49,2810997.07
p5,p72,1863.2,3040199.45
p5,p73,1810.06,2976242.16
p5,p74,1736.26,3047916.41
p5,p75,1754.83,3006010.08
p5,p76,1745.32,2987678.36
p5,p77,1658.92,2866606.21
p5,p78,1741.36,2990963.9
p5,p79,1809.1,3086552.16
p5,p80,1887.37,3106511.89
p5,p81,1757.77,2914853.9
p5,p82,1819.02,3007552.71
p5,p83,1912.27,3127286.77
p5,p84,1918.7,3150473.95
p5,p85,1888.68,3119000.42
p5,p86,1995.95,3302173.68
p5,p87,2098.96,3446008.07
p5,p88,2099.33,3452003.35
p5,p89,2227.71,3789105.09
p5,p90,2274.0,3830188.24
p5,p91,2330.58,3971831.35
p5,p92,2135.92,3534795.62
p5,p93,2116.61,3450120.16
p5,p94,2349.03,4094292.43
p5,p95,2434.9,4356718.58
p5,p96,2628.3,4781127.61
p5,p97,2473.05,4460694.04
p5,p98,2571.25,4709710.29
p5,p99,2720.76,5038255.46
p5,p100,2539.58,5077105.67
p5,p101,2726.6,4913627.14
p5,p102,2947.19,5380080.44
p5,p103,2141.15,3471399.07
p5,p104,2015.16,3294363.89
p5,p105,2032.61,3354916.24
p5,p106,2022.77,3282389.48
p5,p107,2020.34,3264426.1
p5,p108,2050.11,3308790.28
p5,p109,2103.65,3451960.73
p5,p110,2307.29,3978370.72
p5,p111,2229.87,3783342.77
p5,p112,2173.95,3683319.23
p5,p113,2123.42,3539365.98
p5,p114,2132.83,3603975.47
p5,p115,2342.56,4230057.52
p5,p116,2282.75,4036385.17
p5,p117,2336.98,4216022.52
p5,p118,2491.28,4470412.28
p5,p119,2464.77,4730921.7
p5,p120,2502.77,4978593.64
p5,p121,2513.13,4990632.72
p5,p122,2635.34,5476453.99
p5,p123,2582.19,5279412.78
p5,p124,2773.43,5809208.92
p5,p125,2647.01,5481860.28
p5,p126,2660.75,5520931.73
p5,p127,2718.71,5347710.02
p5,p128,2754.36,6002693.39
p5,p129,2839.65,5717942.94
p5,p130,2858.2,6083830.21
p5,p131,2872.53,6158222.68
p5,p132,2847.29,5871730.7
p5,p133,2885.14,6119864.98
p5,p134,2964.48,6583818.2
p6,p1,451.94,891558.45
p6,p2,395.66,774432.23
p6,p3,537.03,991816.04
p6,p4,461.37,869991.04
p6,p5,275.35,541268.76
p6,p7,352.8,684911.1
p6,p8,92.42,197234.33
p6,p9,420.09,1322775.19
p6,p10,820.87,1884769.33
p6,p11,1024.17,2121462.34
p6,p12,314.88,718145.43
p6,p13,676.48,1205084.6
p6,p14,496.64,951005.76
p6,p15,386.23,742957.35
p6,p16,622.93,1116610.87
p6,p17,662.06,1352091.54
p6,p18,863.9,1639878.12
p6,p19,1080.81,1954095.47
p6,p20,879.72,1640698.62
p6,p21,840.43,1558693.15
p6,p22,937.08,1790956.31
p6,p23,1014.78,1868739.84
p6,p24,1002.25,1830135.32
p6,p25,618.52,1131111.98
p6,p26,768.24,1438821.91
p6,p27,823.61,1469990.4
p6,p28,964.49,1704012.0
p6,p29,981.98,1834145.4
p6,p30,1087.97,1889996.52
p6,p31,1135.35,2069702.38
p6,p32,1107.47,2001219.46
p6,p33,1093.22,1985631.46
p6,p34,1075.24,2083912.29
p6,p35,1012.44,1848166.31
p6,p36,1246.69,2193804.77
p6,p37,1429.58,2452484.69
p6,p38,1411.6,2433788.21
p6,p39,1047.6,1903891.84
p6,p40,1333.04,2302491.66
p6,p41,1442.52,2467612.95
p6,p42,1479.84,2517275.64
p6,p43,1595.19,2689767.64
p6,p44,1466.96,2508948.4
p6,p45,1472.09,2528060.33
p6,p46,1683.03,2832964.45
p6,p47,1323.3,2374534.55
p6,p48,1426.39,2520774.36
p6,p49,1307.96,2382495.2
p6,p50,1572.78,2654125.85
p6,p51,1600.35,2694937.72
p6,p52,1314.3,2288116.2
p6,p53,1478.42,2508969.82
p6,p54,1575.09,2643325.5
p6,p55,1700.84,2822115.69
p6,p56,1693.48,2824761.14
p6,p57,1872.74,3142834.51
p6,p58,2192.13,3591926.85
p6,p59,1339.24,2314859.6
p6,p60,1495.73,2614943.04
p6,p61,1541.89,2730586.41
p6,p62,1490.22,2614229.17
p6,p63,1686.49,3053795.08
p6,p64,1771.17,3212038.67
p6,p65,1771.22,3212765.81
p6,p66,2063.67,3443458.72
p6,p67,1920.17,3519873.17
p6,p68,1541.3,2617602.99
p6,p69,1603.53,2712627.44
p6,p70,1553.36,2638464.83
p6,p71,1641.3,2749039.78
p6,p72,1810.01,2978242.17
p6,p73,1756.87,2914284.87
p6,p74,1876.41,3164106.69
p6,p75,1838.79,3060882.44
p6,p76,1815.16,3030139.81
p6,p77,1707.17,2871390.37
p6,p78,1776.59,2980965.31
p6,p79,1837.66,3064793.01
p6,p80,1834.03,3047712.89
p6,p81,1704.43,2856054.91
p6,p82,1770.22,2947350.66
p6,p83,1859.08,3065329.49
p6,p84,1865.51,3088516.66
p6,p85,1835.49,3057043.14
p6,p86,1942.76,3240216.39
p6,p87,2045.77,3384050.78
p6,p88,2046.14,3390046.06
p6,p89,2174.52,3727147.81
p6,p90,2220.82,3768230.96
p6,p91,2277.4,3909874.07
p6,p92,2082.73,3472838.34
p6,p93,2063.42,3388162.88
p6,p94,2295.84,4032335.15
p6,p95,2381.71,4294761.29
p6,p96,2575.11,4719170.33
p6,p97,2419.87,4398736.75
p6,p98,2518.06,4647753.01
p6,p99,2667.57,4976298.18
p6,p100,2486.23,5018306.67
p6,p101,2673.41,4851669.86
p6,p102,2894.0,5318123.16
p6,p103,2087.8,3412600.07
p6,p104,1961.81,3235564.89
p6,p105,1979.26,3296117.24
p6,p106,1969.58,3220432.2
p6,p107,1967.15,3202468.81
p6,p108,1996.92,3246833.0
p6,p109,2050.46,3390003.45
p6,p110,2254.1,3916413.44
p6,p111,2176.52,3724543.77
p6,p112,2120.6,3624520.23
p6,p113,2065.84,3478619.01
p6,p114,2079.64,3542018.18
p6,p115,2289.21,4171258.52
p6,p116,2229.4,3977586.17
p6,p117,2283.63,4157223.52
p6,p118,2438.09,4408454.99
p6,p119,2411.42,4672122.7
p6,p120,2449.42,4919794.64
p6,p121,2459.78,4931833.73
p6,p122,2582.0,5417655.0
p6,p123,2528.85,5220613.78
p6,p124,2720.09,5750409.92
p6,p125,2593.66,5423061.28
p6,p126,2607.4,5462132.73
p6,p127,2665.36,5288911.02
p6,p128,2701.01,5943894.39
p6,p129,2786.3,5659143.94
p6,p130,2804.85,6025031.21
p6,p131,2819.18,6099423.68
p6,p132,2793.94,5812931.7
p6,p133,2831.8,6061065.98
p6,p134,2911.14,6525019.2
p7,p1,413.53,828394.95
p7,p2,281.48,529713.95
p7,p3,328.65,624501.14
p7,p4,280.35,529491.98
p7,p5,320.04,716241.97
p7,p6,352.8,684911.1
p7,p8,368.91,709565.21
p7,p9,635.6,1598978.15
p7,p10,832.2,1816702.31
p7,p11,1016.54,1995947.52
p7,p12,415.63,751926.12
p7,p13,677.6,1098914.64
p7,p14,222.78,442781.77
p7,p15,48.92,83273.26
p7,p16,295.68,468800.85
p7,p17,314.16,746273.15
p7,p18,436.17,967174.83
p7,p19,655.59,1286848.07
p7,p20,552.47,992867.66
p7,p21,513.18,910883.13
p7,p22,609.83,1143146.29
p7,p23,687.53,1220929.82
p7,p24,698.5,1199009.89
p7,p25,391.47,629282.38
p7,p26,531.91,914773.07
p7,p27,815.99,1344475.58
p7,p28,956.87,1578497.18
p7,p29,847.02,1477229.73
p7,p30,1080.35,1764481.7
p7,p31,935.5,1625107.71
p7,p32,786.68,1357259.32
p7,p33,789.47,1354506.03
p7,p34,866.33,1482030.47
p7,p35,685.19,1200335.35
p7,p36,919.44,1545973.81
p7,p37,1102.33,1804653.73
p7,p38,1090.4,1791354.62
p7,p39,744.01,1269608.12
