r,sc_cat,vc1,vc2,vc3,vc4,vc5
p58,cap,0,81600,7200,155700,1e+06
p58,cost,22900,11900,18300,19300,21100
p59,cap,0,0,9600,0,1e+06
p59,cost,22900,11900,18300,19300,21100
p60,cap,0,0,36000,0,1e+06
p60,cost,22900,11900,18300,19300,21100
p61,cap,0,0,14400,0,1e+06
p61,cost,22900,11900,18300,19300,21100
p62,cap,0,0,21600,0,1e+06
p62,cost,22900,11900,18300,19300,21100
p63,cap,0,0,304800,1800,1e+06
p63,cost,22900,11900,18300,19300,21100
p64,cap,0,0,52800,0,1e+06
p64,cost,22900,11900,18300,19300,21100
p65,cap,0,0,55200,0,1e+06
p65,cost,22900,11900,18300,19300,21100
p66,cap,0,38400,4800,15300,1e+06
p66,cost,22900,11900,18300,19300,21100
p67,cap,0,0,55200,0,1e+06
p67,cost,22900,11900,18300,19300,21100
p68,cap,0,0,12000,0,1e+06
p68,cost,9400,13800,14300,14900,16000
p69,cap,0,0,2400,0,1e+06
p69,cost,9400,13800,14300,14900,16000
p70,cap,0,0,50400,0,1e+06
p70,cost,9400,13800,14300,14900,16000
p71,cap,0,0,7200,0,1e+06
p71,cost,9400,13800,14300,14900,16000
p72,cap,0,0,57600,0,1e+06
p72,cost,9400,13800,14300,14900,16000
p73,cap,0,0,4800,0,1e+06
p73,cost,9400,13800,14300,14900,16000
p74,cap,0,0,4800,0,1e+06
p74,cost,9400,13800,14300,14900,16000
p75,cap,0,0,21600,0,1e+06
p75,cost,9400,13800,14300,14900,16000
p76,cap,0,0,21600,0,1e+06
p76,cost,9400,13800,14300,14900,16000
p77,cap,0,0,0,0,1e+06
p77,cost,9400,13800,14300,14900,16000
p78,cap,0,0,9600,0,1e+06
p78,cost,9400,13800,14300,14900,16000
p79,cap,0,0,48000,7200,1e+06
p79,cost,9400,13800,14300,14900,16000
p80,cap,40000,0,278400,0,1e+06
p80,cost,9400,13800,14300,14900,16000
p81,cap,0,0,55200,5400,1e+06
p81,cost,9400,13800,14300,14900,16000
p82,cap,0,0,14400,0,1e+06
p82,cost,9400,13800,14300,14900,16000
p83,cap,0,0,55200,0,1e+06
p83,cost,9400,13800,14300,14900,16000
p84,cap,0,4800,14400,0,1e+06
p84,cost,22900,11900,18300,19300,21100
p85,cap,0,120000,2400,5400,1e+06
p85,cost,22900,11900,18300,19300,21100
p86,cap,0,14400,0,900,1e+06
p86,cost,22900,11900,18300,19300,21100
p87,cap,0,62400,0,43200,1e+06
p87,cost,22900,11900,18300,19300,21100
p88,cap,0,62400,0,1800,1e+06
p88,cost,22900,11900,18300,19300,21100
p89,cap,0,67200,0,21600,1e+06
p89,cost,22900,11900,18300,19300,21100
p90,cap,0,19200,0,57600,1e+06
p90,cost,22900,11900,18300,19300,21100
p91,cap,0,0,0,13500,1e+06
p91,cost,22900,11900,18300,19300,21100
p92,cap,0,134400,0,4500,1e+06
p92,cost,22900,11900,18300,19300,21100
p93,cap,0,9600,4800,0,1e+06
p93,cost,22900,11900,18300,19300,21100
p94,cap,0,134400,0,288000,1e+06
p94,cost,22900,11900,18300,19300,21100
p95,cap,0,19200,0,20700,1e+06
p95,cost,22900,11900,18300,19300,21100
p96,cap,0,0,0,77400,1e+06
p96,cost,22900,11900,18300,19300,21100
p97,cap,0,19200,0,38700,1e+06
p97,cost,22900,11900,18300,19300,21100
p98,cap,0,48000,0,109800,1e+06
p98,cost,22900,11900,18300,19300,21100
p99,cap,0,110400,0,207000,1e+06
p99,cost,22900,11900,18300,19300,21100
p100,cap,0,4800,0,0,1e+06
p100,cost,22900,11900,18300,19300,21100
p101,cap,0,91200,0,250200,1e+06
p101,cost,22900,11900,18300,19300,21100
p102,cap,0,14400,0,126000,1e+06
p102,cost,22900,11900,18300,19300,21100
p103,cap,0,0,144000,23400,1e+06
p103,cost,9400,13800,14300,14900,16000
p104,cap,8000,0,14400,0,1e+06
p104,cost,9400,13800,14300,14900,16000
p105,cap,16000,0,122400,16200,1e+06
p105,cost,9400,13800,14300,14900,16000
p106,cap,0,0,16800,4500,1e+06
p106,cost,9400,13800,14300,14900,16000
p107,cap,24000,0,76800,9000,1e+06
p107,cost,9400,13800,14300,14900,16000
p108,cap,0,4800,9600,0,1e+06
p108,cost,9400,13800,14300,14900,16000
p109,cap,0,4800,45600,0,1e+06
p109,cost,9400,13800,14300,14900,16000
p110,cap,0,0,4800,0,1e+06
p110,cost,9400,13800,14300,14900,16000
p111,cap,8000,0,60000,0,1e+06
p111,cost,9400,13800,14300,14900,16000
p112,cap,64000,0,84000,900,1e+06
p112,cost,9400,13800,14300,14900,16000
p113,cap,0,0,14400,0,1e+06
p113,cost,9400,13800,14300,14900,16000
p114,cap,0,0,28800,0,1e+06
p114,cost,9400,13800,14300,14900,16000
p115,cap,0,28800,19200,900,1e+06
p115,cost,9400,13800,14300,14900,16000
p116,cap,16000,52800,4800,0,1e+06
p116,cost,9400,13800,14300,14900,16000
p117,cap,40000,0,14400,0,1e+06
p117,cost,9400,13800,14300,14900,16000
p118,cap,48000,19200,4800,0,1e+06
p118,cost,9400,13800,14300,14900,16000
p119,cap,0,0,0,6300,1e+06
p119,cost,9400,13800,14300,14900,16000
p120,cap,0,0,0,0,1e+06
p120,cost,9400,13800,14300,14900,16000
p121,cap,0,4800,0,10800,1e+06
p121,cost,9400,13800,14300,14900,16000
p122,cap,0,72000,14400,166500,1e+06
p122,cost,9400,13800,14300,14900,16000
p123,cap,0,33600,0,117900,1e+06
p123,cost,9400,13800,14300,14900,16000
p124,cap,0,0,0,0,1e+06
p124,cost,9400,13800,14300,14900,16000
p125,cap,0,9600,0,12600,1e+06
p125,cost,9400,13800,14300,14900,16000
p126,cap,0,33600,14400,149400,1e+06
p126,cost,9400,13800,14300,14900,16000
p127,cap,16000,4800,192000,39600,1e+06
p127,cost,9400,13800,14300,14900,16000
p128,cap,0,0,14400,0,1e+06
p128,cost,9400,13800,14300,14900,16000
p129,cap,0,0,7200,900,1e+06
p129,cost,9400,13800,14300,14900,16000
p130,cap,0,0,16800,14400,1e+06
p130,cost,9400,13800,14300,14900,16000
p131,cap,0,0,74400,6300,1e+06
p131,cost,9400,13800,14300,14900,16000
p132,cap,0,0,48000,0,1e+06
p132,cost,9400,13800,14300,14900,16000
p133,cap,0,0,12000,0,1e+06
p133,cost,9400,13800,14300,14900,16000
p134,cap,0,0,24000,0,1e+06
p134,cost,9400,13800,14300,14900,16000
p135,cap,0,0,0,0,1e+06
p136,cap,0,0,0,0,1e+06
