interface,r,rr,MW_f0,MW_r0,MW_f1,MW_r1
p42||p43,p42,p43,2296.634,2296.634,2296.634,2296.634
p43||p44,p43,p44,947.2305,947.2305,947.2305,947.2305
p43||p46,p43,p46,1554.97,1554.97,1554.97,1554.97
p43||p68,p43,p68,1959.943,1959.943,1959.943,1959.943
p44||p45,p44,p45,64.58801,64.58801,64.58801,64.58801
p44||p68,p44,p68,202.7639,202.7639,202.7639,202.7639
p45||p54,p45,p54,429.2035398,429.2035398,429.2035398,429.2035398
p45||p68,p45,p68,362.377,362.377,362.377,362.377
p45||p69,p45,p69,188.4004,188.4004,188.4004,188.4004
p45||p70,p45,p70,2277.883,2277.883,2277.883,2277.883
p46||p68,p46,p68,66.64001,66.64001,66.64001,66.64001
p46||p74,p46,p74,10.63885267,10.63885267,10.63885267,10.63885267
p46||p75,p46,p75,154.1590613,154.1590613,154.1590613,154.1590613
p46||p76,p46,p76,241.5645372,241.5645372,241.5645372,241.5645372
p46||p77,p46,p77,224.4589309,224.4589309,224.4589309,224.4589309
p47||p48,p47,p48,2843.68,2843.68,2843.68,2843.68
p48||p49,p48,p49,1115.106,1115.106,1115.106,1115.106
p48||p50,p48,p50,1691.848752,1691.848752,1691.848752,1691.848752
p49||p50,p49,p50,45.19116,45.19116,45.19116,45.19116
p49||p52,p49,p52,105.4719562,105.4719562,105.4719562,105.4719562
p49||p53,p49,p53,8.002735978,8.002735978,8.002735978,8.002735978
p50||p51,p50,p51,4411.884941,4411.884941,4411.884941,4411.884941
p50||p53,p50,p53,104.1723666,104.1723666,104.1723666,104.1723666
p50||p56,p50,p56,878.1698,878.1698,878.1698,878.1698
p50||p57,p50,p57,952.1273,952.1273,952.1273,952.1273
p50||p85,p50,p85,225.6802137,225.6802137,225.6802137,225.6802137
p51||p53,p51,p53,112.7906977,112.7906977,112.7906977,112.7906977
p51||p55,p51,p55,35.3625171,35.3625171,35.3625171,35.3625171
p51||p56,p51,p56,3107.563,3107.563,3107.563,3107.563
p52||p53,p52,p53,610.6625,610.6625,610.6625,610.6625
p53||p54,p53,p54,1406.588,1406.588,1406.588,1406.588
p53||p55,p53,p55,1085.692,1085.692,1085.692,1085.692
p54||p55,p54,p55,1037.173,1037.173,1037.173,1037.173
p54||p70,p54,p70,192.920354,192.920354,192.920354,192.920354
p54||p71,p54,p71,158.4722732,158.4722732,158.4722732,158.4722732
p54||p72,p54,p72,1183.988248,1183.988248,1183.988248,1183.988248
p55||p56,p55,p56,206.6347469,206.6347469,206.6347469,206.6347469
p55||p72,p55,p72,139.8016893,139.8016893,139.8016893,139.8016893
p55||p84,p55,p84,997.7377892,997.7377892,997.7377892,997.7377892
p55||p85,p55,p85,490,490,490,490
p56||p85,p56,p85,1935.798512,1935.798512,1935.798512,1935.798512
p57||p58,p57,p58,1325.565732,1325.565732,1325.565732,1325.565732
p57||p66,p57,p66,463.9887426,463.9887426,463.9887426,463.9887426
p57||p85,p57,p85,318.9668002,318.9668002,318.9668002,318.9668002
p58||p66,p58,p66,3051.19,3051.19,3051.19,3051.19
p58||p85,p58,p85,142.4172,142.4172,142.4172,142.4172
p58||p86,p58,p86,944.5507,944.5507,944.5507,944.5507
p58||p87,p58,p87,4042.358,4042.358,4042.358,4042.358
p60||p61,p60,p61,2473,2473,2473,2473
p60||p62,p60,p62,2303,2303,2303,2303
p60||p63,p60,p63,2003,2003,2003,2003
p61||p62,p61,p62,832,832,832,832
p61||p63,p61,p63,456,456,456,456
p61||p64,p61,p64,238,238,238,238
p61||p65,p61,p65,466,466,466,466
p63||p64,p63,p64,4440,4440,4440,4440
p63||p67,p63,p67,2138,2138,2138,2138
p64||p65,p64,p65,6298,6298,6298,6298
p64||p67,p64,p67,2207,2207,2207,2207
p65||p67,p65,p67,6360,6360,6360,6360
p66||p86,p66,p86,1046.551,1046.551,1046.551,1046.551
p68||p69,p68,p69,949.3785,949.3785,949.3785,949.3785
p68||p77,p68,p77,55.69752282,55.69752282,55.69752282,55.69752282
p69||p70,p69,p70,1130.637,1130.637,1130.637,1130.637
p69||p77,p69,p77,93.66362451,93.66362451,93.66362451,93.66362451
p70||p71,p70,p71,241.6994607,241.6994607,241.6994607,241.6994607
p70||p77,p70,p77,17.73142112,17.73142112,17.73142112,17.73142112
p70||p80,p70,p80,281,281,281,281
p70||p81,p70,p81,453.403294,453.403294,453.403294,453.403294
p71||p72,p71,p72,1188.769027,1188.769027,1188.769027,1188.769027
p71||p81,p71,p81,270.5229,270.5229,270.5229,270.5229
p72||p73,p72,p73,2014.778,2014.778,2014.778,2014.778
p72||p81,p72,p81,3609.634,3609.634,3609.634,3609.634
p72||p84,p72,p84,1918.253,1918.253,1918.253,1918.253
p73||p84,p73,p84,1343.094039,1343.094039,1343.094039,1343.094039
p74||p75,p74,p75,899.518984,899.518984,899.518984,899.518984
p74||p103,p74,p103,422,422,422,422
p75||p76,p75,p76,2489.645534,2489.645534,2489.645534,2489.645534
p75||p79,p75,p79,133.6404203,133.6404203,133.6404203,133.6404203
p76||p77,p76,p77,472.9971,472.9971,472.9971,472.9971
p76||p78,p76,p78,1065.477,1065.477,1065.477,1065.477
p76||p79,p76,p79,562.7465093,562.7465093,562.7465093,562.7465093
p77||p78,p77,p78,213.531377,213.531377,213.531377,213.531377
p77||p80,p77,p80,13.14236361,13.14236361,13.14236361,13.14236361
p78||p79,p78,p79,192.8602274,192.8602274,192.8602274,192.8602274
p78||p80,p78,p80,197.6104793,197.6104793,197.6104793,197.6104793
p79||p80,p79,p80,1514.64,1514.64,1514.64,1514.64
p80||p81,p80,p81,953.0550608,953.0550608,953.0550608,953.0550608
p80||p82,p80,p82,1825.013552,1825.013552,1825.013552,1825.013552
p80||p83,p80,p83,473.6312243,473.6312243,473.6312243,473.6312243
p80||p105,p80,p105,4210.917,4210.917,4210.917,4210.917
p81||p82,p81,p82,1569.974,1569.974,1569.974,1569.974
p81||p83,p81,p83,2843.928,2843.928,2843.928,2843.928
p81||p93,p81,p93,2521.791045,2521.791045,2521.791045,2521.791045
p81||p107,p81,p107,25.5556416,25.5556416,25.5556416,25.5556416
p81||p108,p81,p108,100.8716418,100.8716418,100.8716418,100.8716418
p82||p83,p82,p83,1283.593,1283.593,1283.593,1283.593
p83||p105,p83,p105,320.9788585,320.9788585,320.9788585,320.9788585
p83||p107,p83,p107,801.7656625,801.7656625,801.7656625,801.7656625
p84||p85,p84,p85,3000,3000,3000,3000
p84||p92,p84,p92,449.3373134,449.3373134,449.3373134,449.3373134
p85||p86,p85,p86,3957.517,3957.517,3957.517,3957.517
p85||p87,p85,p87,1662.681,1662.681,1662.681,1662.681
p85||p92,p85,p92,1023.337407,1023.337407,1023.337407,1023.337407
p86||p87,p86,p87,1254.23,1254.23,1254.23,1254.23
p87||p88,p87,p88,1412.295331,1412.295331,1412.295331,1412.295331
p87||p89,p87,p89,1162.270695,1162.270695,1162.270695,1162.270695
p87||p90,p87,p90,1837.729305,1837.729305,1837.729305,1837.729305
p87||p92,p87,p92,483.3672618,483.3672618,483.3672618,483.3672618
p88||p89,p88,p89,1929.878835,1929.878835,1929.878835,1929.878835
p88||p92,p88,p92,1970.902,1970.902,1970.902,1970.902
p89||p90,p89,p90,4608.073,4608.073,4608.073,4608.073
p89||p92,p89,p92,1349.144969,1349.144969,1349.144969,1349.144969
p89||p94,p89,p94,992.1531,992.1531,992.1531,992.1531
p90||p91,p90,p91,2856.881,2856.881,2856.881,2856.881
p90||p94,p90,p94,5066.118,5066.118,5066.118,5066.118
p91||p94,p91,p94,640.5347,640.5347,640.5347,640.5347
p91||p101,p91,p101,1152.253521,1152.253521,1152.253521,1152.253521
p92||p93,p92,p93,4832.321671,4832.321671,4832.321671,4832.321671
p92||p94,p92,p94,720.9761966,720.9761966,720.9761966,720.9761966
p92||p97,p92,p97,3600,3600,3600,3600
p92||p108,p92,p108,3286.599209,3286.599209,3286.599209,3286.599209
p92||p109,p92,p109,229.32,229.32,229.32,229.32
p92||p118,p92,p118,127.2095559,127.2095559,127.2095559,127.2095559
p93||p108,p93,p108,2012.326,2012.326,2012.326,2012.326
p93||p109,p93,p109,1459.04,1459.04,1459.04,1459.04
p94||p95,p94,p95,2392.012057,2392.012057,2392.012057,2392.012057
p94||p96,p94,p96,802.9215059,802.9215059,802.9215059,802.9215059
p94||p97,p94,p97,47.06643701,47.06643701,47.06643701,47.06643701
p94||p101,p94,p101,2447.746479,2447.746479,2447.746479,2447.746479
p95||p96,p95,p96,1705.13,1705.13,1705.13,1705.13
p95||p97,p95,p97,5283.222,5283.222,5283.222,5283.222
p95||p98,p95,p98,1401.494,1401.494,1401.494,1401.494
p96||p98,p96,p98,1990.702,1990.702,1990.702,1990.702
p97||p98,p97,p98,3088.544,3088.544,3088.544,3088.544
p97||p118,p97,p118,902.0831421,902.0831421,902.0831421,902.0831421
p98||p99,p98,p99,4349.804,4349.804,4349.804,4349.804
p99||p100,p99,p100,1057.171699,1057.171699,1057.171699,1057.171699
p99||p116,p99,p116,590.5295035,590.5295035,590.5295035,590.5295035
p99||p118,p99,p118,1651.830779,1651.830779,1651.830779,1651.830779
p99||p121,p99,p121,798.3848766,798.3848766,798.3848766,798.3848766
p99||p123,p99,p123,3900,3900,3900,3900
p100||p116,p100,p116,1319.028889,1319.028889,1319.028889,1319.028889
p101||p102,p101,p102,12071.62,12071.62,12071.62,12071.62
p103||p104,p103,p104,1134.599285,1134.599285,1134.599285,1134.599285
p103||p105,p103,p105,378.4450672,378.4450672,378.4450672,378.4450672
p103||p111,p103,p111,390.9556479,390.9556479,390.9556479,390.9556479
p104||p105,p104,p105,2076.929,2076.929,2076.929,2076.929
p105||p106,p105,p106,2323.153,2323.153,2323.153,2323.153
p105||p107,p105,p107,8378.471,8378.471,8378.471,8378.471
p105||p112,p105,p112,3978.799,3978.799,3978.799,3978.799
p106||p107,p106,p107,4428.458,4428.458,4428.458,4428.458
p107||p108,p107,p108,24.34780113,24.34780113,24.34780113,24.34780113
p107||p109,p107,p109,96.92890451,96.92890451,96.92890451,96.92890451
p107||p112,p107,p112,1719.684,1719.684,1719.684,1719.684
p107||p114,p107,p114,1364.905,1364.905,1364.905,1364.905
p108||p109,p108,p109,672.3441,672.3441,672.3441,672.3441
p109||p110,p109,p110,82.40497884,82.40497884,82.40497884,82.40497884
p109||p112,p109,p112,45.76770213,45.76770213,45.76770213,45.76770213
p109||p114,p109,p114,137.5727814,137.5727814,137.5727814,137.5727814
p109||p118,p109,p118,22.76827606,22.76827606,22.76827606,22.76827606
p110||p112,p110,p112,83.15455,83.15455,83.15455,83.15455
p110||p117,p110,p117,2996.277,2996.277,2996.277,2996.277
p110||p118,p110,p118,379.7128,379.7128,379.7128,379.7128
p111||p112,p111,p112,5400.883073,5400.883073,5400.883073,5400.883073
p111||p115,p111,p115,2707.832732,2707.832732,2707.832732,2707.832732
p111||p116,p111,p116,1130.114,1130.114,1130.114,1130.114
p111||p122,p111,p122,1397.261576,1397.261576,1397.261576,1397.261576
p112||p113,p112,p113,3198.643,3198.643,3198.643,3198.643
p112||p114,p112,p114,2557.524,2557.524,2557.524,2557.524
p112||p115,p112,p115,1640.869,1640.869,1640.869,1640.869
p112||p116,p112,p116,2407.762,2407.762,2407.762,2407.762
p112||p117,p112,p117,1045.597,1045.597,1045.597,1045.597
p113||p114,p113,p114,2489.325,2489.325,2489.325,2489.325
p115||p116,p115,p116,2196.172,2196.172,2196.172,2196.172
p115||p122,p115,p122,2231.149567,2231.149567,2231.149567,2231.149567
p116||p117,p116,p117,3363.475,3363.475,3363.475,3363.475
p116||p118,p116,p118,425.4031,425.4031,425.4031,425.4031
p116||p120,p116,p120,296.337978,296.337978,296.337978,296.337978
p116||p121,p116,p121,3075.146,3075.146,3075.146,3075.146
p117||p118,p117,p118,8936.884235,8936.884235,8936.884235,8936.884235
p119||p122,p119,p122,2530.131135,2530.131135,2530.131135,2530.131135
p120||p121,p120,p121,379.931703,379.931703,379.931703,379.931703
p120||p122,p120,p122,205.3817629,205.3817629,205.3817629,205.3817629
p121||p122,p121,p122,59.90301417,59.90301417,59.90301417,59.90301417
p121||p123,p121,p123,1106.304079,1106.304079,1106.304079,1106.304079
p122||p123,p122,p123,6209.39,6209.39,6209.39,6209.39
p122||p125,p122,p125,976.8799,976.8799,976.8799,976.8799
p122||p126,p122,p126,8384.043327,8384.043327,8384.043327,8384.043327
p122||p127,p122,p127,846.5099715,846.5099715,846.5099715,846.5099715
p123||p124,p123,p124,268.028828,268.028828,268.028828,268.028828
p123||p125,p123,p125,2749.818,2749.818,2749.818,2749.818
p125||p126,p125,p126,4250.192812,4250.192812,4250.192812,4250.192812
p126||p127,p126,p127,1153.490028,1153.490028,1153.490028,1153.490028
p127||p128,p127,p128,4000,4000,4000,4000
p127||p129,p127,p129,241.659414,241.659414,241.659414,241.659414
p127||p131,p127,p131,653.4957934,653.4957934,653.4957934,653.4957934
p127||p132,p127,p132,504.8447926,504.8447926,504.8447926,504.8447926
p128||p132,p128,p132,634,634,634,634
p129||p130,p129,p130,1796.173252,1796.173252,1796.173252,1796.173252
p129||p131,p129,p131,2133.200428,2133.200428,2133.200428,2133.200428
p130||p131,p130,p131,2464.410851,2464.410851,2464.410851,2464.410851
p130||p134,p130,p134,1299.691,1299.691,1299.691,1299.691
p131||p132,p131,p132,1520.605,1520.605,1520.605,1520.605
p131||p133,p131,p133,1725.101,1725.101,1725.101,1725.101
p132||p133,p132,p133,1038.325,1038.325,1038.325,1038.325
