,interface,r,rr,MW_f0,MW_r0,MW_f1,MW_r1
67,p01033||p01133,p01033,p01133,283.5879,241.91,0.0,0.0
68,p01033||p28095,p01033,p28095,163.4967,102.765,0.0,0.0
69,p01033||p28141,p01033,p28141,418.4897,272.8989,0.0,0.0
70,p01033||p47071,p01033,p47071,343.5081,116.3313,0.0,0.0
71,p01033||p47181,p01033,p47181,232.4756,52.7503,0.0,0.0
72,p01035||p01039,p01035,p01039,371.7107,350.2274,0.0,0.0
73,p01035||p01053,p01035,p01053,197.6578,137.848,0.0,0.0
74,p01035||p01099,p01035,p01099,691.2803,728.9518,0.0,0.0
75,p01037||p01121,p01037,p01121,580.9046,619.0599,0.0,0.0
76,p01037||p01123,p01037,p01123,96.068,79.9456,0.0,0.0
77,p01039||p01041,p01039,p01041,49.4466,42.5157,0.0,0.0
78,p01039||p01045,p01039,p01045,484.0,484.0,0.0,0.0
79,p01039||p01053,p01039,p01053,682.0,682.0,0.0,0.0
80,p01039||p01061,p01039,p01061,187.2104,141.4226,0.0,0.0
81,p01039||p12091,p01039,p12091,54.2526,26.7222,0.0,0.0
82,p01039||p12131,p01039,p12131,66.0535,42.5437,0.0,0.0
83,p01041||p01045,p01041,p01045,270.661,266.8669,0.0,0.0
84,p01041||p01101,p01041,p01101,354.2637,404.9047,0.0,0.0
85,p01041||p01109,p01041,p01109,52.2623,0.9627,0.0,0.0
86,p01043||p01071,p01043,p01071,2119.2,2119.2,0.0,0.0
87,p01043||p01073,p01043,p01073,2119.0,2119.0,0.0,0.0
88,p01043||p01095,p01043,p01095,166.1564,77.228,0.0,0.0
89,p01043||p01103,p01043,p01103,78.3997,78.5372,0.0,0.0
90,p01043||p01127,p01043,p01127,320.0,320.0,0.0,0.0
91,p01043||p01133,p01043,p01133,141.8809,154.7673,0.0,0.0
92,p01045||p01061,p01045,p01061,997.5099,1037.6934,0.0,0.0
93,p01045||p01067,p01045,p01067,37.412,90.9633,0.0,0.0
94,p01045||p01069,p01045,p01069,1345.237,1411.8824,0.0,0.0
95,p01047||p01063,p01047,p01063,483.0,483.0,0.0,0.0
96,p01047||p01085,p01047,p01085,40.0809,133.0,0.0,0.0
97,p01047||p01091,p01047,p01091,99.0997,49.6972,0.0,0.0
98,p01047||p01105,p01047,p01105,29.219,154.571,0.0,0.0
99,p01047||p01131,p01047,p01131,53.4094,84.3674,0.0,0.0
100,p01049||p01071,p01049,p01071,28.3025,205.2936,0.0,0.0
101,p01049||p01095,p01049,p01095,31.364,91.5912,0.0,0.0
102,p01051||p01081,p01051,p01081,238.1087,154.3164,0.0,0.0
103,p01051||p01087,p01051,p01087,86.4831,208.0,0.0,0.0
104,p01051||p01101,p01051,p01101,386.1159,136.7435,0.0,0.0
105,p01051||p01123,p01051,p01123,371.1362,232.4559,0.0,0.0
106,p01053||p01097,p01053,p01097,1495.6793,1425.0886,0.0,0.0
107,p01053||p12033,p01053,p12033,93.0003,248.3922,0.0,0.0
108,p01053||p12113,p01053,p12113,611.4163,563.6629,0.0,0.0
109,p01055||p01073,p01055,p01073,172.6504,45.1878,0.0,0.0
110,p01055||p01095,p01055,p01095,179.531,154.176,0.0,0.0
111,p01057||p01075,p01057,p01075,239.572,143.6923,0.0,0.0
112,p01057||p01093,p01057,p01093,71.0701,73.9256,0.0,0.0
113,p01057||p01125,p01057,p01125,7.648,7.648,0.0,0.0
114,p01057||p01127,p01057,p01127,159.7992,158.4971,0.0,0.0
115,p01059||p01079,p01059,p01079,227.5,159.3836,0.0,0.0
116,p01059||p01133,p01059,p01133,154.5297,98.8545,0.0,0.0
117,p01059||p28057,p01059,p28057,251.7499,115.5457,0.0,0.0
118,p01061||p01069,p01061,p01069,31.284,31.284,0.0,0.0
119,p01061||p12059,p01061,p12059,76.0204,95.0305,0.0,0.0
120,p01061||p12063,p01061,p12063,611.3946,592.7364,0.0,0.0
121,p01061||p12091,p01061,p12091,423.0,423.0,0.0,0.0
122,p01061||p12131,p01061,p12131,110.9759,111.5248,0.0,0.0
123,p01063||p01065,p01063,p01065,734.4557,722.3947,0.0,0.0
124,p01063||p01091,p01063,p01091,273.7453,218.5939,0.0,0.0
125,p01063||p01107,p01063,p01107,27.1429,27.1429,0.0,0.0
126,p01063||p01119,p01063,p01119,66.9216,279.7428,0.0,0.0
127,p01063||p28023,p01063,p28023,521.3384,270.2927,0.0,0.0
128,p01063||p28075,p01063,p28075,580.0,350.7374,0.0,0.0
129,p01065||p01091,p01065,p01091,27.1429,27.1429,0.0,0.0
130,p01065||p01125,p01065,p01125,760.7244,710.7061,0.0,0.0
131,p01067||p01069,p01067,p01069,103.0,67.0468,0.0,0.0
132,p01067||p13061,p01067,p13061,114.3874,166.3645,0.0,0.0
133,p01069||p01101,p01069,p01101,2598.0,2598.0,0.0,0.0
134,p01069||p12063,p01069,p12063,689.1263,672.8192,0.0,0.0
135,p01069||p13007,p01069,p13007,2598.0,2598.0,0.0,0.0
136,p01069||p13087,p01069,p13087,563.8229,484.3952,0.0,0.0
137,p01069||p13099,p01069,p13099,106.4207,164.0,0.0,0.0
138,p01071||p01089,p01071,p01089,2629.9058,2643.3034,0.0,0.0
139,p01071||p01095,p01071,p01095,174.8575,96.5597,0.0,0.0
140,p01071||p13047,p01071,p13047,203.5188,205.3579,0.0,0.0
141,p01071||p13083,p01071,p13083,584.955,732.5902,0.0,0.0
142,p01071||p47065,p01071,p47065,1732.1,1732.1,0.0,0.0
143,p01071||p47115,p01071,p47115,882.7047,1630.6746,0.0,0.0
144,p01073||p01075,p01073,p01075,1743.2381,2407.1,0.0,0.0
145,p01073||p01115,p01073,p01115,188.8933,205.7077,0.0,0.0
146,p01073||p01117,p01073,p01117,1320.9833,2163.2713,0.0,0.0
147,p01073||p01125,p01073,p01125,198.5416,291.4485,0.0,0.0
148,p01073||p01127,p01073,p01127,751.5607,1921.4375,0.0,0.0
149,p01075||p28087,p01075,p28087,1987.2133,2561.1929,0.0,0.0
150,p01079||p01083,p01079,p01083,261.3305,31.9436,0.0,0.0
151,p01079||p01103,p01079,p01103,540.8507,603.0598,0.0,0.0
152,p01079||p47099,p01079,p47099,319.949,46.0324,0.0,0.0
153,p01081||p01087,p01081,p01087,151.6107,157.4384,0.0,0.0
154,p01081||p01113,p01081,p01113,185.9097,68.4155,0.0,0.0
155,p01081||p13145,p01081,p13145,2168.2073,1346.4283,0.0,0.0
156,p01081||p13215,p01081,p13215,593.6262,417.3035,0.0,0.0
157,p01083||p01089,p01083,p01089,1524.8515,1424.5385,0.0,0.0
158,p01083||p01103,p01083,p01103,2057.7599,2090.925,0.0,0.0
159,p01083||p28025,p01083,p28025,1732.1,1732.1,0.0,0.0
160,p01083||p28145,p01083,p28145,1732.1,1732.1,0.0,0.0
161,p01083||p47103,p01083,p47103,105.3217,23.2941,0.0,0.0
162,p01083||p47119,p01083,p47119,2390.199,1930.3179,0.0,0.0
163,p01085||p01101,p01085,p01101,137.6978,148.4983,0.0,0.0
164,p01087||p01101,p01087,p01101,43.3477,43.3477,0.0,0.0
165,p01087||p01123,p01087,p01123,44.908,129.2071,0.0,0.0
166,p01089||p01095,p01089,p01095,115.1614,104.7403,0.0,0.0
167,p01089||p01103,p01089,p01103,1298.7171,1400.3828,0.0,0.0
168,p01091||p01119,p01091,p01119,41.8779,104.0,0.0,0.0
169,p01093||p01133,p01093,p01133,50.7323,105.8513,0.0,0.0
170,p01095||p01103,p01095,p01103,62.4949,70.1224,0.0,0.0
171,p01097||p01099,p01097,p01099,46.6825,82.4903,0.0,0.0
172,p01097||p01129,p01097,p01129,725.6669,745.9756,0.0,0.0
173,p01097||p28039,p01097,p28039,76.9905,38.6749,0.0,0.0
174,p01097||p28059,p01097,p28059,2283.3674,2175.3338,0.0,0.0
175,p01099||p01129,p01099,p01129,445.1125,586.6225,0.0,0.0
176,p01101||p01109,p01101,p01109,74.0827,51.5082,0.0,0.0
177,p01107||p01125,p01107,p01125,38.4591,38.4591,0.0,0.0
178,p01111||p01123,p01111,p01123,171.6611,131.5534,0.0,0.0
179,p01111||p13045,p01111,p13045,409.1962,420.5189,0.0,0.0
180,p01111||p13149,p01111,p13149,74.1665,89.169,0.0,0.0
181,p01113||p13053,p01113,p13053,142.6047,204.7866,0.0,0.0
182,p01113||p13215,p01113,p13215,483.7214,241.3953,0.0,0.0
183,p01115||p01121,p01115,p01121,293.3322,113.6576,0.0,0.0
184,p01117||p01121,p01117,p01121,426.591,1088.6758,0.0,0.0
185,p01117||p01123,p01117,p01123,757.208,908.0371,0.0,0.0
186,p01119||p28075,p01119,p28075,104.0,53.7068,0.0,0.0
187,p01125||p01127,p01125,p01127,288.6894,655.709,0.0,0.0
188,p01127||p01133,p01127,p01133,205.6247,148.4089,0.0,0.0
189,p01129||p28041,p01129,p28041,233.0,210.3511,0.0,0.0
190,p01129||p28153,p01129,p28153,168.0,168.0,0.0,0.0
191,p04001||p04011,p04001,p04011,925.0,925.0,0.0,0.0
192,p04001||p04017,p04001,p04017,888.7914,1087.5029,0.0,0.0
193,p04001||p04019,p04001,p04019,759.7333,844.2968,0.0,0.0
194,p04001||p04021,p04001,p04021,1064.121,1042.5246,0.0,0.0
195,p04001||p35003,p04001,p35003,370.6557,401.815,0.0,0.0
196,p04001||p35031,p04001,p35031,1458.8679,1325.294,0.0,0.0
197,p04003||p04007,p04003,p04007,35.0345,18.4387,0.0,0.0
198,p04003||p04009,p04003,p04009,222.2339,52.6719,0.0,0.0
199,p04003||p04011,p04003,p04011,1307.6039,708.4183,0.0,0.0
200,p04003||p04019,p04003,p04019,1390.9881,1012.8137,0.0,0.0
201,p04005||p04013,p04005,p04013,1798.6275,315.7293,0.0,0.0
202,p04005||p04017,p04005,p04017,531.412,275.1063,0.0,0.0
203,p04005||p04025,p04005,p04025,3195.9718,2939.1082,0.0,0.0
204,p04005||p32003,p04005,p32003,3328.3716,3103.0781,0.0,0.0
205,p04005||p35045,p04005,p35045,1025.0,1732.0,0.0,0.0
206,p04005||p49025,p04005,p49025,61.584,35.9432,0.0,0.0
207,p04007||p04013,p04007,p04013,1085.1889,657.123,0.0,0.0
208,p04007||p04017,p04007,p04017,1015.1639,690.8439,0.0,0.0
209,p04007||p04019,p04007,p04019,15.1487,12.9818,0.0,0.0
210,p04007||p04021,p04007,p04021,175.3427,98.7429,0.0,0.0
211,p04007||p04025,p04007,p04025,77.3725,0.8463,0.0,0.0
212,p04009||p04011,p04009,p04011,167.1451,280.8846,0.0,0.0
213,p04011||p35023,p04011,p35023,717.1,717.1,0.0,0.0
214,p04012||p04013,p04012,p04013,373.1156,115.5355,0.0,0.0
215,p04012||p04027,p04012,p04027,55.9407,71.9278,0.0,0.0
216,p04012||p06065,p04012,p06065,86.0095,166.3525,0.0,0.0
217,p04012||p06071,p04012,p06071,198.2467,476.3209,0.0,0.0
218,p04013||p04015,p04013,p04015,330.5083,508.0,0.0,0.0
219,p04013||p04017,p04013,p04017,263.5813,348.8057,0.0,0.0
220,p04013||p04021,p04013,p04021,4377.4355,6265.2068,0.0,0.0
221,p04013||p04025,p04013,p04025,2852.2135,3350.2316,0.0,0.0
222,p04013||p04027,p04013,p04027,2001.2369,2156.7583,0.0,0.0
223,p04013||p06025,p04013,p06025,2338.0,2338.0,0.0,0.0
224,p04013||p06071,p04013,p06071,114.9234,375.3337,0.0,0.0
225,p04013||p32003,p04013,p32003,1905.3,1905.3,0.0,0.0
226,p04015||p04025,p04015,p04025,141.3026,118.2136,0.0,0.0
227,p04015||p06071,p04015,p06071,811.0,534.2662,0.0,0.0
228,p04015||p32003,p04015,p32003,2618.6825,800.1491,0.0,0.0
229,p04015||p49053,p04015,p49053,7.1373,7.1373,0.0,0.0
230,p04017||p04021,p04017,p04021,1873.7558,1475.1774,0.0,0.0
231,p04017||p35045,p04017,p35045,1768.3173,1618.5559,0.0,0.0
232,p04019||p04021,p04019,p04021,1822.4426,2194.8455,0.0,0.0
233,p04019||p04023,p04019,p04023,72.332,82.1374,0.0,0.0
234,p04019||p35029,p04019,p35029,540.0,540.0,0.0,0.0
235,p04027||p06025,p04027,p06025,1934.9581,2087.0943,0.0,0.0
236,p05001||p05041,p05001,p05041,114.0,114.0,0.0,0.0
237,p05001||p05069,p05001,p05069,227.9652,256.409,0.0,0.0
238,p05001||p05085,p05001,p05085,54.515,4.5383,0.0,0.0
239,p05001||p05107,p05001,p05107,230.513,383.2437,0.0,0.0
240,p05003||p05043,p05003,p05043,29.2007,63.4861,0.0,0.0
241,p05003||p22067,p05003,p22067,92.7963,129.9131,0.0,0.0
242,p05003||p22073,p05003,p22073,30.7069,94.7242,0.0,0.0
243,p05005||p05009,p05005,p05009,203.0,158.4135,0.0,0.0
244,p05005||p05049,p05005,p05049,133.4725,77.3933,0.0,0.0
245,p05005||p05065,p05005,p05065,148.0,148.0,0.0,0.0
246,p05005||p05089,p05005,p05089,187.3131,70.3416,0.0,0.0
247,p05005||p05129,p05005,p05129,151.3089,99.2038,0.0,0.0
248,p05005||p29091,p05005,p29091,130.2969,104.8661,0.0,0.0
249,p05005||p29153,p05005,p29153,186.23,134.1361,0.0,0.0
250,p05007||p05015,p05007,p05015,199.1507,345.2533,0.0,0.0
251,p05007||p05087,p05007,p05087,144.8604,98.4466,0.0,0.0
252,p05007||p05143,p05007,p05143,927.9653,1446.3962,0.0,0.0
253,p05007||p29077,p05007,p29077,1077.2494,870.7049,0.0,0.0
254,p05007||p29119,p05007,p29119,264.9889,181.8121,0.0,0.0
255,p05007||p40001,p05007,p40001,17.0917,1.4478,0.0,0.0
256,p05007||p40041,p05007,p40041,95.2168,105.0925,0.0,0.0
257,p05007||p40145,p05007,p40145,914.0078,883.1159,0.0,0.0
258,p05009||p05015,p05009,p05015,99.3812,96.3774,0.0,0.0
259,p05009||p05089,p05009,p05089,70.3689,155.8437,0.0,0.0
260,p05009||p05101,p05009,p05101,116.6539,118.6614,0.0,0.0
261,p05009||p29213,p05009,p29213,355.0403,321.8635,0.0,0.0
262,p05011||p05013,p05011,p05013,16.5334,74.4393,0.0,0.0
263,p05011||p05025,p05011,p05025,69.1462,16.7135,0.0,0.0
264,p05013||p05139,p05013,p05139,16.5748,76.292,0.0,0.0
265,p05015||p05087,p05015,p05087,100.2152,120.3353,0.0,0.0
266,p05015||p29009,p05015,p29009,189.6317,165.8237,0.0,0.0
267,p05015||p29213,p05015,p29213,127.2302,162.6853,0.0,0.0
268,p05017||p05043,p05017,p05043,200.3936,114.8594,0.0,0.0
269,p05017||p22123,p05017,p22123,115.7259,67.2651,0.0,0.0
270,p05017||p28151,p05017,p28151,135.7139,314.8671,0.0,0.0
271,p05019||p05059,p05019,p05059,125.5064,72.3874,0.0,0.0
272,p05019||p05099,p05019,p05099,13.8863,21.7355,0.0,0.0
273,p05019||p05109,p05019,p05109,18.0499,18.7486,0.0,0.0
274,p05021||p05055,p05021,p05055,161.4914,82.9046,0.0,0.0
275,p05021||p05121,p05021,p05121,25.6506,19.6769,0.0,0.0
276,p05021||p29069,p05021,p29069,98.8415,241.8245,0.0,0.0
277,p05023||p05045,p05023,p05045,133.2446,148.0,0.0,0.0
278,p05023||p05063,p05023,p05063,71.0622,61.7842,0.0,0.0
279,p05025||p05039,p05025,p05039,23.2687,38.8877,0.0,0.0
280,p05025||p05043,p05025,p05043,31.9354,16.3429,0.0,0.0
281,p05025||p05069,p05025,p05069,39.0744,45.7548,0.0,0.0
282,p05027||p05059,p05027,p05059,1375.6795,1568.7154,0.0,0.0
283,p05027||p05073,p05027,p05073,93.5296,64.3383,0.0,0.0
284,p05027||p05099,p05027,p05099,16.0199,16.0199,0.0,0.0
285,p05027||p05103,p05027,p05103,72.15,75.3194,0.0,0.0
286,p05027||p05139,p05027,p05139,1590.1382,1640.5035,0.0,0.0
287,p05027||p22027,p05027,p22027,26.7417,34.661,0.0,0.0
288,p05027||p22119,p05027,p22119,23.4562,42.9651,0.0,0.0
289,p05029||p05045,p05029,p05045,283.1754,144.7031,0.0,0.0
290,p05029||p05105,p05029,p05105,68.2898,8.1774,0.0,0.0
291,p05029||p05115,p05029,p05115,165.4679,554.4351,0.0,0.0
292,p05031||p05055,p05031,p05055,210.5327,222.6047,0.0,0.0
293,p05031||p05063,p05031,p05063,62.0649,70.6715,0.0,0.0
294,p05031||p05067,p05031,p05067,105.5779,204.1927,0.0,0.0
295,p05031||p05093,p05031,p05093,103.2102,178.7988,0.0,0.0
296,p05031||p05111,p05031,p05111,93.1062,159.5517,0.0,0.0
297,p05031||p05121,p05031,p05121,110.8333,108.4277,0.0,0.0
298,p05033||p05047,p05033,p05047,110.3638,226.0678,0.0,0.0
299,p05033||p05131,p05033,p05131,242.2915,210.5492,0.0,0.0
300,p05033||p05143,p05033,p05143,7.2985,5.2233,0.0,0.0
301,p05033||p40021,p05033,p40021,121.8166,85.9736,0.0,0.0
302,p05033||p40079,p05033,p40079,72.8794,182.0669,0.0,0.0
303,p05033||p40135,p05033,p40135,181.4105,103.333,0.0,0.0
304,p05035||p05037,p05035,p05037,89.6969,57.3251,0.0,0.0
305,p05035||p05085,p05035,p05085,1732.0,1732.0,0.0,0.0
306,p05035||p05093,p05035,p05093,22.1498,56.9563,0.0,0.0
307,p05035||p05111,p05035,p05111,198.4605,94.2435,0.0,0.0
308,p05035||p05123,p05035,p05123,102.4814,48.6246,0.0,0.0
309,p05035||p47157,p05035,p47157,1881.9628,2119.2,0.0,0.0
310,p05037||p05111,p05037,p05111,21.333,58.6064,0.0,0.0
311,p05037||p05123,p05037,p05123,40.5577,42.8688,0.0,0.0
312,p05039||p05103,p05039,p05103,21.5956,59.0425,0.0,0.0
313,p05041||p05043,p05041,p05043,87.6219,93.8236,0.0,0.0
314,p05041||p05079,p05041,p05079,88.7593,40.4232,0.0,0.0
315,p05043||p05079,p05043,p05079,22.4847,30.3865,0.0,0.0
316,p05045||p05085,p05045,p05085,83.7862,253.2911,0.0,0.0
317,p05045||p05105,p05045,p05105,41.0216,41.0216,0.0,0.0
318,p05045||p05115,p05045,p05115,1124.0859,892.6274,0.0,0.0
319,p05045||p05119,p05045,p05119,940.9177,1178.9429,0.0,0.0
320,p05045||p05141,p05045,p05141,163.7909,136.1826,0.0,0.0
321,p05047||p05071,p05047,p05071,122.6112,23.0236,0.0,0.0
322,p05047||p05083,p05047,p05083,6.0472,2.3156,0.0,0.0
323,p05047||p05115,p05047,p05115,88.4025,22.916,0.0,0.0
324,p05049||p05135,p05049,p05135,114.7741,87.5958,0.0,0.0
325,p05049||p29091,p05049,p29091,12.5144,13.2037,0.0,0.0
326,p05051||p05059,p05051,p05059,731.9195,319.0865,0.0,0.0
327,p05051||p05097,p05051,p05097,28.4344,28.4344,0.0,0.0
328,p05051||p05125,p05051,p05125,110.7152,56.6715,0.0,0.0
329,p05053||p05059,p05053,p05059,1698.8653,2270.6199,0.0,0.0
330,p05053||p05069,p05053,p05069,2553.8911,2631.363,0.0,0.0
331,p05053||p05119,p05053,p05119,2546.0,2255.9053,0.0,0.0
332,p05053||p05125,p05053,p05125,23.647,2.8884,0.0,0.0
333,p05053||p05139,p05053,p05139,2546.0,2546.0,0.0,0.0
334,p05055||p05075,p05055,p05075,14.2099,18.4402,0.0,0.0
335,p05055||p29069,p05055,p29069,77.9069,153.2687,0.0,0.0
336,p05057||p05061,p05057,p05061,187.579,115.2915,0.0,0.0
337,p05057||p05081,p05057,p05081,9.09,27.8198,0.0,0.0
338,p05057||p05099,p05057,p05099,124.9009,63.4766,0.0,0.0
339,p05057||p05109,p05057,p05109,30.1277,36.2458,0.0,0.0
340,p05057||p05133,p05057,p05133,7.9144,3.3558,0.0,0.0
341,p05059||p05125,p05059,p05125,58.3959,51.9091,0.0,0.0
342,p05061||p05091,p05061,p05091,60.2204,2.3328,0.0,0.0
343,p05061||p05133,p05061,p05133,48.2174,26.3315,0.0,0.0
344,p05061||p48037,p05061,p48037,697.2689,81.1905,0.0,0.0
345,p05063||p05065,p05063,p05065,213.8978,148.0,0.0,0.0
346,p05063||p05067,p05063,p05067,547.5272,125.8016,0.0,0.0
347,p05063||p05075,p05063,p05075,133.4383,69.6216,0.0,0.0
348,p05063||p05085,p05063,p05085,2165.0,2080.3352,0.0,0.0
349,p05063||p05093,p05063,p05093,2165.0,2165.0,0.0,0.0
350,p05063||p05145,p05063,p05145,78.5976,8.3384,0.0,0.0
351,p05065||p05137,p05065,p05137,43.797,43.797,0.0,0.0
352,p05067||p05111,p05067,p05111,90.9906,22.0076,0.0,0.0
353,p05067||p05145,p05067,p05145,126.1476,14.7704,0.0,0.0
354,p05067||p05147,p05067,p05147,85.4491,31.8121,0.0,0.0
355,p05069||p05079,p05069,p05079,120.1933,97.1586,0.0,0.0
356,p05069||p05085,p05069,p05085,2199.499,2175.0391,0.0,0.0
357,p05069||p05119,p05069,p05119,9.5813,3.9716,0.0,0.0
358,p05071||p05083,p05071,p05083,59.9111,30.4424,0.0,0.0
359,p05071||p05115,p05071,p05115,70.4884,35.0694,0.0,0.0
360,p05073||p05099,p05073,p05099,84.9816,64.7688,0.0,0.0
361,p05075||p05135,p05075,p05135,83.4705,90.2105,0.0,0.0
362,p05077||p05095,p05077,p05095,163.6543,120.7945,0.0,0.0
363,p05077||p05107,p05077,p05107,105.8593,187.8594,0.0,0.0
364,p05081||p05091,p05081,p05091,3.2126,4.5548,0.0,0.0
365,p05081||p05133,p05081,p05133,8.5047,43.1051,0.0,0.0
366,p05081||p40089,p05081,p40089,34.6102,60.9474,0.0,0.0
367,p05081||p48037,p05081,p48037,58.9588,58.5923,0.0,0.0
368,p05083||p05131,p05083,p05131,90.2655,118.8068,0.0,0.0
369,p05083||p05149,p05083,p05149,98.6039,57.6095,0.0,0.0
370,p05085||p05095,p05085,p05095,13.7376,9.8775,0.0,0.0
371,p05085||p05117,p05085,p05117,18.1719,22.8286,0.0,0.0
372,p05085||p05119,p05085,p05119,2191.6953,1908.0411,0.0,0.0
373,p05085||p05145,p05085,p05145,52.4502,16.0532,0.0,0.0
374,p05091||p22017,p05091,p22017,8.0771,5.1827,0.0,0.0
375,p05091||p48037,p05091,p48037,23.6494,11.6449,0.0,0.0
376,p05091||p48067,p05091,p48067,64.4753,69.1084,0.0,0.0
377,p05093||p05111,p05093,p05111,9.8069,9.8069,0.0,0.0
378,p05093||p29143,p05093,p29143,2088.0,2088.0,0.0,0.0
379,p05093||p29155,p05093,p29155,133.064,151.2384,0.0,0.0
380,p05093||p47157,p05093,p47157,2546.0,2546.0,0.0,0.0
381,p05095||p05117,p05095,p05117,78.5427,45.1068,0.0,0.0
382,p05095||p05123,p05095,p05123,93.3342,92.3731,0.0,0.0
383,p05101||p05129,p05101,p05129,101.4595,123.6899,0.0,0.0
384,p05103||p05139,p05103,p05139,75.0793,90.8834,0.0,0.0
385,p05105||p05119,p05105,p05119,67.6038,8.4485,0.0,0.0
386,p05107||p28027,p05107,p28027,462.0,462.0,0.0,0.0
387,p05107||p28143,p05107,p28143,450.3181,450.9293,0.0,0.0
