interface,r,rr,MW_f0,MW_r0,MW_f1,MW_r1
p109||p114,p109,p114,4500.714,5519.246,4203.9,4675.753
p109||p118,p109,p118,653.165,923.809,310.535,424.231
p110||p112,p110,p112,73.924,806.0,17.517,104.0
p110||p117,p110,p117,956.093,1028.363,677.841,1012.167
p110||p118,p110,p118,549.459,539.383,465.626,318.973
p111||p112,p111,p112,8527.39,5739.543,7135.647,4973.29
p111||p115,p111,p115,2957.031,2511.46,2215.259,2124.632
p111||p116,p111,p116,1999.795,2490.0,7.026,46.0
p111||p122,p111,p122,2701.017,3133.468,1141.512,1577.114
p112||p113,p112,p113,5047.094,4615.116,4160.496,3440.947
p112||p114,p112,p114,3521.961,2620.54,2291.638,1883.298
p112||p115,p112,p115,2642.0,2361.898,1229.0,1229.0
p112||p116,p112,p116,5376.9,7221.383,2025.404,4337.74
p112||p117,p112,p117,10814.876,8037.645,9893.676,7242.24
p112||p118,p112,p118,4152.66,4249.0,0.0,0.0
p113||p114,p113,p114,3158.61,2925.265,1907.121,1707.288
p115||p116,p115,p116,10192.219,8968.642,7136.778,5479.683
p115||p122,p115,p122,6759.685,7904.914,5834.456,6643.209
p116||p117,p116,p117,4707.678,4764.695,660.679,724.566
p116||p118,p116,p118,339.745,388.0,0.0,0.0
p116||p120,p116,p120,293.0,135.107,0.0,0.0
p116||p121,p116,p121,7077.196,7400.004,4970.441,5649.072
p117||p118,p117,p118,4753.863,6867.579,1295.485,1559.642
p119||p122,p119,p122,1069.503,704.399,511.063,691.74
p120||p121,p120,p121,503.0,503.0,210.0,210.0
p120||p122,p120,p122,133.972,136.757,124.0,124.0
p121||p122,p121,p122,137.0,133.0,0.0,0.0
p121||p123,p121,p123,5768.982,4797.401,3640.932,2318.498
p122||p123,p122,p123,3447.86,3939.762,1406.778,1475.028
p122||p126,p122,p126,11694.156,12300.401,9631.391,9619.515
p122||p127,p122,p127,2323.327,2346.0,1398.802,1420.0
p123||p124,p123,p124,279.648,691.578,300.316,477.299
p123||p125,p123,p125,706.874,2090.529,655.005,2038.724
p125||p126,p125,p126,2654.0,2654.0,0.0,0.0
p126||p127,p126,p127,4345.997,3705.882,3348.325,2722.246
p127||p128,p127,p128,1148.344,4.709,529.0,0.0
p127||p129,p127,p129,258.325,474.51,72.699,287.859
p127||p131,p127,p131,2050.163,2053.943,623.0,593.719
p127||p132,p127,p132,1207.814,1248.0,18.851,53.0
p129||p130,p129,p130,1662.546,1679.008,501.686,506.889
p129||p131,p129,p131,1289.68,1301.086,38.056,44.898
p130||p131,p130,p131,3201.789,3085.301,2415.051,2384.587
p130||p134,p130,p134,3766.1,3969.105,3562.204,2543.859
p131||p132,p131,p132,2321.397,3874.476,2252.984,2517.242
p131||p133,p131,p133,1020.499,1949.234,818.854,1307.004
p132||p133,p132,p133,1050.944,818.295,23.719,22.404
