i,r,UnitCT,value
Hydro,p99,none,356.92
Hydro,p100,none,2.335
Hydro,p101,none,54.5
Hydro,p103,none,161.312
Hydro,p104,none,8.698
Hydro,p105,none,18.441
Hydro,p107,none,64.8
Hydro,p109,none,139.04
Hydro,p112,none,99.5
Hydro,p114,none,1.94
Hydro,p115,none,110.94
Hydro,p116,none,164.601
Hydro,p117,none,31.201
Hydro,p118,none,502.21
Hydro,p121,none,18
Hydro,p122,none,680.58
Hydro,p123,none,572.48
Hydro,p126,none,3.9
Hydro,p127,none,4440.396
Hydro,p129,none,281.28
Hydro,p130,none,492.986000000001
Hydro,p131,none,255.85
Hydro,p132,none,123.654
Hydro,p133,none,3.782
Hydro,p134,none,604.106
Biopower,p43,once,96
Biopower,p46,once,33
Biopower,p90,once,113.27
Biopower,p96,once,90
Biopower,p98,once,74
Biopower,p130,once,43.082
Biopower,p134,once,65
Biopower,p1,recirc,97
Biopower,p3,recirc,50
Biopower,p5,recirc,10.7
Biopower,p6,recirc,44.3
Biopower,p8,recirc,40.5
Biopower,p9,recirc,325.45
Biopower,p10,recirc,177.84
Biopower,p14,recirc,5.77
Biopower,p15,recirc,7.2
Biopower,p28,recirc,26
Biopower,p29,recirc,2.5
Biopower,p31,recirc,6.4
Biopower,p33,recirc,9.8
Biopower,p42,recirc,11.2
Biopower,p43,recirc,159.8
Biopower,p46,recirc,17
Biopower,p58,recirc,140.1
Biopower,p66,recirc,12.6
Biopower,p74,recirc,17.7
Biopower,p77,recirc,50
Biopower,p85,recirc,4
Biopower,p88,recirc,64
Biopower,p89,recirc,62
Biopower,p90,recirc,119.67
Biopower,p91,recirc,36.5
Biopower,p92,recirc,1.8
Biopower,p94,recirc,120.466
Biopower,p96,recirc,57
Biopower,p98,recirc,238
Biopower,p99,recirc,83
Biopower,p101,recirc,83.1
Biopower,p102,recirc,104.9
Biopower,p103,recirc,164.6
Biopower,p105,recirc,3.2
Biopower,p111,recirc,7.2
Biopower,p112,recirc,0.9
Biopower,p122,recirc,28
Biopower,p126,recirc,18.8
Biopower,p127,recirc,147.56
Biopower,p129,recirc,72
Biopower,p130,recirc,95.121
Biopower,p131,recirc,25.27
Biopower,p134,recirc,414.407
Biopower,p9,dry,25.5
Nuclear,p9,once,2300
Nuclear,p11,once,2250
Nuclear,p41,once,1181.768
Nuclear,p43,once,1040
Nuclear,p58,once,1163.8
Nuclear,p75,once,1551.364
Nuclear,p81,once,1819
Nuclear,p89,once,3309.4
Nuclear,p95,once,4844.2
Nuclear,p97,once,2276.75
Nuclear,p98,once,1870
Nuclear,p99,once,3463.775
Nuclear,p101,once,837.999
Nuclear,p102,once,1548.89
Nuclear,p104,once,2069
Nuclear,p122,once,2111.251
Nuclear,p123,once,1707.8
Nuclear,p126,once,609.9
Nuclear,p127,once,2642.4
Nuclear,p129,once,619.422
Nuclear,p130,once,1246.224
Nuclear,p131,once,677.6
Nuclear,p132,once,2095.856
Nuclear,p2,recirc,1126.263
Nuclear,p28,recirc,3937
Nuclear,p43,recirc,485.2555
Nuclear,p58,recirc,969
Nuclear,p70,recirc,619
Nuclear,p72,recirc,1189.151
Nuclear,p80,recirc,2263.049
Nuclear,p85,recirc,1819.6
Nuclear,p87,recirc,1249.199
Nuclear,p90,recirc,1757
Nuclear,p92,recirc,3400.7
Nuclear,p94,recirc,4061.05
Nuclear,p98,recirc,913.386
Nuclear,p103,recirc,1106.299
Nuclear,p104,recirc,789
Nuclear,p111,recirc,2134
Nuclear,p115,recirc,1833.999
Nuclear,p122,recirc,5480.089
Nuclear,p126,recirc,3500.2
Nuclear,p127,recirc,2502.724
Nuclear,p53,pond,1175
Nuclear,p63,pond,2400
Nuclear,p65,pond,2581
Nuclear,p80,pond,6149.356
Nuclear,p83,pond,1065
Nuclear,p96,pond,1712
Nuclear,p102,pond,1481.275
gas-CT,p1,none,548
gas-CT,p2,none,60
gas-CT,p3,none,117.8
gas-CT,p5,none,55.099
gas-CT,p6,none,100
gas-CT,p8,none,5
gas-CT,p9,none,3732.216
gas-CT,p10,none,3006.98
gas-CT,p11,none,813.76
gas-CT,p12,none,367.6
gas-CT,p13,none,1109
gas-CT,p14,none,132
gas-CT,p15,none,411
gas-CT,p17,none,51.75
gas-CT,p22,none,15
gas-CT,p23,none,98
gas-CT,p25,none,527.4
gas-CT,p26,none,12.35
gas-CT,p27,none,90
gas-CT,p28,none,1554.5
gas-CT,p30,none,275.829
gas-CT,p31,none,604.4
gas-CT,p32,none,102
gas-CT,p33,none,2139.4
gas-CT,p34,none,565.8
gas-CT,p35,none,189.3
gas-CT,p36,none,9.6
gas-CT,p37,none,44.1
gas-CT,p38,none,749
gas-CT,p39,none,13.9
gas-CT,p40,none,243.9
gas-CT,p41,none,1219.5
gas-CT,p42,none,57.3
gas-CT,p43,none,1907.2
gas-CT,p44,none,15.2
gas-CT,p45,none,311.9
gas-CT,p46,none,534
gas-CT,p47,none,295
gas-CT,p48,none,598.002
gas-CT,p50,none,1109.4
gas-CT,p51,none,158
gas-CT,p52,none,183.9
gas-CT,p53,none,2858.7
gas-CT,p54,none,2130.4
gas-CT,p55,none,782.7
gas-CT,p56,none,354
gas-CT,p58,none,1713.3
gas-CT,p59,none,202
gas-CT,p60,none,407
gas-CT,p61,none,5
gas-CT,p62,none,340
gas-CT,p63,none,895.949
gas-CT,p64,none,764.8
gas-CT,p65,none,993.912
gas-CT,p66,none,727
gas-CT,p67,none,2412.05
gas-CT,p68,none,1077.06
gas-CT,p69,none,300
gas-CT,p70,none,1082
gas-CT,p71,none,37.8
gas-CT,p72,none,1361.8
gas-CT,p74,none,72.9
gas-CT,p75,none,594.6
gas-CT,p76,none,703.11
gas-CT,p77,none,1.1
gas-CT,p78,none,729.7
gas-CT,p79,none,1229.1
gas-CT,p80,none,7274.953
gas-CT,p81,none,1825.06
gas-CT,p82,none,145
gas-CT,p83,none,1521.7
gas-CT,p84,none,183.1
gas-CT,p85,none,433.6
gas-CT,p86,none,332
gas-CT,p87,none,1327.511
gas-CT,p88,none,672.8
gas-CT,p89,none,1146.4
gas-CT,p90,none,1395
gas-CT,p91,none,126
gas-CT,p92,none,4099.4
gas-CT,p93,none,730.8
gas-CT,p94,none,8719.1
gas-CT,p95,none,2219.26
gas-CT,p96,none,1336.4
gas-CT,p97,none,3511.2
gas-CT,p98,none,2334.5
gas-CT,p99,none,3850.1
gas-CT,p101,none,8474.9
gas-CT,p102,none,2417.8
gas-CT,p103,none,3568.7
gas-CT,p104,none,94.4
gas-CT,p105,none,1305
gas-CT,p106,none,677
gas-CT,p107,none,1453.6
gas-CT,p108,none,58
gas-CT,p109,none,3285
gas-CT,p110,none,825
gas-CT,p111,none,1383.7
gas-CT,p112,none,2462.4
gas-CT,p113,none,807.8
gas-CT,p114,none,1486.4
gas-CT,p115,none,805
gas-CT,p116,none,299
gas-CT,p117,none,750
gas-CT,p118,none,330
gas-CT,p119,none,14
gas-CT,p120,none,118.3
gas-CT,p122,none,2235.5
gas-CT,p123,none,2855.3
gas-CT,p124,none,349
gas-CT,p125,none,407
gas-CT,p126,none,4900.14
gas-CT,p127,none,2899.5
gas-CT,p128,none,1974.617
gas-CT,p129,none,85.2
gas-CT,p130,none,82.177
gas-CT,p131,none,700.876
gas-CT,p132,none,1132.761
gas-CT,p134,none,144.904
gas-CC,p9,once,1126
gas-CC,p10,once,881.4
gas-CC,p43,once,1192
gas-CC,p54,once,232
gas-CC,p58,once,732
gas-CC,p65,once,887.2
gas-CC,p79,once,1073.8
gas-CC,p81,once,513
gas-CC,p96,once,472
gas-CC,p99,once,956
gas-CC,p101,once,4417
gas-CC,p127,once,661.88
gas-CC,p133,once,298
gas-CC,p1,recirc,944.1
gas-CC,p2,recirc,1388.9
gas-CC,p5,recirc,2498.7
gas-CC,p6,recirc,470
gas-CC,p9,recirc,5565.001
gas-CC,p10,recirc,8372.95
gas-CC,p11,recirc,1299
gas-CC,p13,recirc,1016.3
gas-CC,p14,recirc,248
gas-CC,p15,recirc,20.39
gas-CC,p25,recirc,687
gas-CC,p27,recirc,1120
gas-CC,p28,recirc,8744.9
gas-CC,p31,recirc,934.951
gas-CC,p33,recirc,2065.74
gas-CC,p40,recirc,217
gas-CC,p41,recirc,103.6
gas-CC,p43,recirc,574
gas-CC,p45,recirc,524.3
gas-CC,p48,recirc,560
gas-CC,p50,recirc,3321.6
gas-CC,p51,recirc,2793.4
gas-CC,p54,recirc,614.3
gas-CC,p55,recirc,495
gas-CC,p56,recirc,165
gas-CC,p57,recirc,916.62
gas-CC,p58,recirc,4608.2
gas-CC,p59,recirc,227
gas-CC,p60,recirc,335
gas-CC,p62,recirc,1442.8
gas-CC,p63,recirc,8122.81
gas-CC,p64,recirc,3430
gas-CC,p65,recirc,5049.44
gas-CC,p66,recirc,3479.4
gas-CC,p67,recirc,7848.1
gas-CC,p68,recirc,300
gas-CC,p70,recirc,580.3
gas-CC,p72,recirc,86.3
gas-CC,p76,recirc,598.9
gas-CC,p78,recirc,728.7
gas-CC,p79,recirc,261
gas-CC,p80,recirc,1316
gas-CC,p81,recirc,521.2
gas-CC,p83,recirc,622.1
gas-CC,p84,recirc,473
gas-CC,p85,recirc,4710.5
gas-CC,p86,recirc,1479
gas-CC,p87,recirc,3551
gas-CC,p88,recirc,2318.1
gas-CC,p89,recirc,1474
gas-CC,p90,recirc,7791
gas-CC,p91,recirc,716.9
gas-CC,p92,recirc,540
gas-CC,p94,recirc,5440
gas-CC,p95,recirc,546
gas-CC,p96,recirc,1277.7
gas-CC,p97,recirc,462.6
gas-CC,p98,recirc,820
gas-CC,p99,recirc,2417.9
gas-CC,p101,recirc,7914.601
gas-CC,p102,recirc,3982
gas-CC,p103,recirc,1860.4
gas-CC,p104,recirc,1040.1
gas-CC,p105,recirc,1086.7
gas-CC,p106,recirc,285.2
gas-CC,p107,recirc,1080
gas-CC,p111,recirc,19
gas-CC,p112,recirc,2698
gas-CC,p115,recirc,1354.5
gas-CC,p122,recirc,5613.8
gas-CC,p123,recirc,230
gas-CC,p125,recirc,1130
gas-CC,p126,recirc,5717.6
gas-CC,p127,recirc,4512.649
gas-CC,p128,recirc,690.8
gas-CC,p130,recirc,1184.244
gas-CC,p131,recirc,3127.876
gas-CC,p132,recirc,1066.92
gas-CC,p133,recirc,1177.24
gas-CC,p134,recirc,996
gas-CC,p136,recirc,947
gas-CC,p2,dry,765.7
gas-CC,p9,dry,530
gas-CC,p13,dry,3202.4
gas-CC,p25,dry,540
gas-CC,p34,dry,461.5
gas-CC,p47,dry,526
gas-CC,p60,dry,231
gas-CC,p63,dry,1314
gas-CC,p64,dry,880.6
gas-CC,p88,dry,848
gas-CC,p122,dry,810
gas-CC,p127,dry,1698.9
gas-CC,p131,dry,2308.708
gas-CC,p132,dry,745.203
gas-CC,p133,dry,250
gas-CC,p134,dry,254
gas-CC,p12,pond,657
gas-CC,p50,pond,485
gas-CC,p58,pond,507
gas-CC,p64,pond,615.8
gas-CC,p65,pond,490
gas-CC,p101,pond,2375
gas-CC,p102,pond,2927
gas-CC,p103,pond,1467.4
CoalOldScr,p24,once,220
CoalOldScr,p35,once,53.1
CoalOldScr,p36,once,445
CoalOldScr,p41,once,655.9
CoalOldScr,p43,once,511
CoalOldScr,p45,once,1848.502
CoalOldScr,p46,once,387.7
CoalOldScr,p53,once,229
CoalOldScr,p54,once,1276.9
CoalOldScr,p69,once,252.3
CoalOldScr,p70,once,163.1
CoalOldScr,p72,once,972
CoalOldScr,p75,once,265.1
CoalOldScr,p79,once,1355.36911764706
CoalOldScr,p80,once,689
CoalOldScr,p89,once,703
CoalOldScr,p90,once,1168.5
CoalOldScr,p91,once,150
CoalOldScr,p92,once,5714
CoalOldScr,p93,once,609
CoalOldScr,p94,once,648.5
CoalOldScr,p96,once,947
CoalOldScr,p97,once,4298
CoalOldScr,p99,once,1249.11111111111
CoalOldScr,p101,once,2188
CoalOldScr,p103,once,4080.7
CoalOldScr,p105,once,1155
CoalOldScr,p107,once,3211.3
CoalOldScr,p108,once,398.7
CoalOldScr,p111,once,776
CoalOldScr,p112,once,4326.8
CoalOldScr,p114,once,561
CoalOldScr,p115,once,563
CoalOldScr,p116,once,50
CoalOldScr,p122,once,1411
CoalOldScr,p123,once,2391
CoalOldScr,p127,once,979.4
CoalOldScr,p130,once,533.82
CoalOldScr,p2,recirc,1340
CoalOldScr,p12,recirc,522
CoalOldScr,p20,recirc,2129
CoalOldScr,p21,recirc,2798
CoalOldScr,p24,recirc,2040
CoalOldScr,p25,recirc,4108.18555629755
CoalOldScr,p26,recirc,458
CoalOldScr,p28,recirc,3251
CoalOldScr,p29,recirc,1555
CoalOldScr,p31,recirc,1094.001
CoalOldScr,p33,recirc,2607
CoalOldScr,p34,recirc,1176
CoalOldScr,p36,recirc,1327
CoalOldScr,p37,recirc,1141.2
CoalOldScr,p38,recirc,475
CoalOldScr,p40,recirc,100
CoalOldScr,p41,recirc,85
CoalOldScr,p43,recirc,3083.04458293385
CoalOldScr,p50,recirc,320
CoalOldScr,p51,recirc,460
CoalOldScr,p52,recirc,358.8
CoalOldScr,p53,recirc,2629
CoalOldScr,p55,recirc,198
CoalOldScr,p58,recirc,1768
CoalOldScr,p60,recirc,650
CoalOldScr,p63,recirc,2001
CoalOldScr,p65,recirc,391
CoalOldScr,p67,recirc,610
CoalOldScr,p70,recirc,1476.2
CoalOldScr,p72,recirc,240
CoalOldScr,p74,recirc,41
CoalOldScr,p75,recirc,331.1
CoalOldScr,p77,recirc,298.6
CoalOldScr,p81,recirc,431
CoalOldScr,p83,recirc,58.09
CoalOldScr,p87,recirc,360
CoalOldScr,p89,recirc,3898.9
CoalOldScr,p90,recirc,476
CoalOldScr,p91,recirc,774
CoalOldScr,p94,recirc,8695
CoalOldScr,p96,recirc,912
CoalOldScr,p97,recirc,552
CoalOldScr,p98,recirc,842.6
CoalOldScr,p99,recirc,282.6
CoalOldScr,p101,recirc,3745
CoalOldScr,p105,recirc,2414
CoalOldScr,p106,recirc,418
CoalOldScr,p107,recirc,4147.2
CoalOldScr,p108,recirc,2597
CoalOldScr,p109,recirc,5987
CoalOldScr,p112,recirc,7105
CoalOldScr,p114,recirc,1854
CoalOldScr,p115,recirc,4210
CoalOldScr,p116,recirc,5980
CoalOldScr,p117,recirc,4199
CoalOldScr,p122,recirc,5808.4
CoalOldScr,p123,recirc,1273
CoalOldScr,p125,recirc,410
CoalOldScr,p126,recirc,613
CoalOldScr,p23,dry,332
CoalOldScr,p5,pond,585
CoalOldScr,p28,pond,116
CoalOldScr,p31,pond,1540
CoalOldScr,p33,pond,280
CoalOldScr,p36,pond,906
CoalOldScr,p53,pond,1398.4
CoalOldScr,p55,pond,164
CoalOldScr,p56,pond,528
CoalOldScr,p57,pond,720.999
CoalOldScr,p63,pond,2410
CoalOldScr,p64,pond,1640
CoalOldScr,p65,pond,560
CoalOldScr,p76,pond,1020.24396820066
CoalOldScr,p81,pond,2752
CoalOldScr,p82,pond,1095
CoalOldScr,p83,pond,1158
CoalOldScr,p87,pond,510
CoalOldScr,p96,pond,1130
CoalOldScr,p97,pond,1505
CoalOldScr,p98,pond,2439
CoalOldScr,p107,pond,4115
CoalOldScr,p116,pond,1577.58178903952
CoalOldUns,p9,once,63
CoalOldUns,p20,once,130
CoalOldUns,p24,once,210
CoalOldUns,p36,once,188.1
CoalOldUns,p40,once,1365
CoalOldUns,p41,once,172
CoalOldUns,p43,once,537.6
CoalOldUns,p45,once,536.2
CoalOldUns,p46,once,181.3
CoalOldUns,p53,once,249
CoalOldUns,p54,once,595.3
CoalOldUns,p57,once,1865
CoalOldUns,p58,once,588
CoalOldUns,p69,once,78.8
CoalOldUns,p70,once,552.7
CoalOldUns,p72,once,5342
CoalOldUns,p74,once,289
CoalOldUns,p75,once,232.9
CoalOldUns,p76,once,20
CoalOldUns,p78,once,87.2
CoalOldUns,p79,once,589.6
CoalOldUns,p80,once,2969
CoalOldUns,p81,once,1922.2
CoalOldUns,p82,once,650
CoalOldUns,p83,once,151
CoalOldUns,p84,once,1154
CoalOldUns,p87,once,236
CoalOldUns,p89,once,4305
CoalOldUns,p90,once,654
CoalOldUns,p91,once,449
CoalOldUns,p92,once,2651
CoalOldUns,p93,once,938
CoalOldUns,p94,once,1945
CoalOldUns,p95,once,200
CoalOldUns,p96,once,647
CoalOldUns,p97,once,1297
CoalOldUns,p99,once,1400
CoalOldUns,p101,once,869
CoalOldUns,p103,once,6081.502
CoalOldUns,p105,once,1183
CoalOldUns,p106,once,210
CoalOldUns,p107,once,1114
CoalOldUns,p108,once,161
CoalOldUns,p109,once,829
CoalOldUns,p111,once,2433
CoalOldUns,p112,once,1841.2
CoalOldUns,p113,once,365
CoalOldUns,p114,once,1306
CoalOldUns,p115,once,1339
CoalOldUns,p116,once,1337
CoalOldUns,p117,once,1420
CoalOldUns,p118,once,325
CoalOldUns,p121,once,115
CoalOldUns,p122,once,1796
CoalOldUns,p123,once,690
CoalOldUns,p125,once,244
CoalOldUns,p126,once,1365
CoalOldUns,p127,once,818.3
CoalOldUns,p131,once,1470.27968331847
CoalOldUns,p132,once,580.5
CoalOldUns,p9,recirc,79.8
CoalOldUns,p10,recirc,179.2
CoalOldUns,p13,recirc,563
CoalOldUns,p23,recirc,49.9
CoalOldUns,p25,recirc,247
CoalOldUns,p30,recirc,156
CoalOldUns,p31,recirc,837.001
CoalOldUns,p32,recirc,21.6
CoalOldUns,p33,recirc,549
CoalOldUns,p34,recirc,117.3
CoalOldUns,p36,recirc,29.5
CoalOldUns,p37,recirc,13.3
CoalOldUns,p40,recirc,77
CoalOldUns,p41,recirc,591
CoalOldUns,p43,recirc,249.8
CoalOldUns,p45,recirc,37.5
CoalOldUns,p48,recirc,2085
CoalOldUns,p50,recirc,440
CoalOldUns,p51,recirc,2459.5
CoalOldUns,p53,recirc,251
CoalOldUns,p54,recirc,114.8
CoalOldUns,p55,recirc,434.5
CoalOldUns,p57,recirc,1584
CoalOldUns,p58,recirc,779.2
CoalOldUns,p67,recirc,715
CoalOldUns,p70,recirc,139.2
CoalOldUns,p72,recirc,38.5
CoalOldUns,p74,recirc,135
CoalOldUns,p77,recirc,206.2
CoalOldUns,p79,recirc,1188
CoalOldUns,p83,recirc,161
CoalOldUns,p85,recirc,3315.401
CoalOldUns,p87,recirc,480
CoalOldUns,p89,recirc,207
CoalOldUns,p94,recirc,1798
CoalOldUns,p96,recirc,478.2
CoalOldUns,p98,recirc,1416
CoalOldUns,p99,recirc,115
CoalOldUns,p101,recirc,1252
CoalOldUns,p103,recirc,376.5
CoalOldUns,p105,recirc,93.7
CoalOldUns,p106,recirc,13
CoalOldUns,p107,recirc,805.3
CoalOldUns,p108,recirc,1295
CoalOldUns,p110,recirc,800
CoalOldUns,p111,recirc,47
CoalOldUns,p112,recirc,590
CoalOldUns,p115,recirc,1590
CoalOldUns,p118,recirc,690
CoalOldUns,p122,recirc,216
CoalOldUns,p123,recirc,118
CoalOldUns,p125,recirc,16
CoalOldUns,p126,recirc,23
CoalOldUns,p127,recirc,63.9
CoalOldUns,p9,dry,38.6
CoalOldUns,p116,dry,74
CoalOldUns,p28,pond,260
CoalOldUns,p31,pond,560
CoalOldUns,p33,pond,184
CoalOldUns,p36,pond,74.8
CoalOldUns,p50,pond,1041
CoalOldUns,p55,pond,346
CoalOldUns,p58,pond,496.1
CoalOldUns,p63,pond,1808
CoalOldUns,p65,pond,1475
CoalOldUns,p67,pond,1317
CoalOldUns,p82,pond,769
CoalOldUns,p83,pond,1195
CoalOldUns,p87,pond,510
CoalOldUns,p96,pond,343
CoalOldUns,p98,pond,170
coal-new,p54,once,881.5
coal-new,p70,once,22
coal-new,p75,once,58.4
coal-new,p76,once,6.9
coal-new,p12,recirc,218.4
coal-new,p18,recirc,107
coal-new,p23,recirc,100
coal-new,p29,recirc,832
coal-new,p33,recirc,0.4
coal-new,p34,recirc,765
coal-new,p40,recirc,61
coal-new,p41,recirc,664.2
coal-new,p43,recirc,5
coal-new,p45,recirc,813.6
coal-new,p54,recirc,4.8
coal-new,p58,recirc,60
coal-new,p63,recirc,2238.96963123644
coal-new,p70,recirc,285
coal-new,p75,recirc,534.9
coal-new,p79,recirc,641
coal-new,p83,recirc,180
coal-new,p85,recirc,670
coal-new,p88,recirc,440
coal-new,p96,recirc,2195
coal-new,p98,recirc,44
coal-new,p99,recirc,1116.8
coal-new,p101,recirc,456
coal-new,p102,recirc,330
coal-new,p109,recirc,1268
coal-new,p121,recirc,180
coal-new,p122,recirc,743
coal-new,p127,recirc,11
coal-new,p20,dry,52
coal-new,p23,dry,272
coal-new,p58,pond,631.3
coal-new,p65,pond,775
coal-new,p82,pond,208
coal-IGCC,p105,recirc,463.784615384615
coal-IGCC,p101,pond,220
o-g-s,p9,once,4466.03
o-g-s,p10,once,8601.44
o-g-s,p11,once,1642.6
o-g-s,p33,once,65
o-g-s,p40,once,241.3
o-g-s,p51,once,235.5
o-g-s,p58,once,6891
o-g-s,p63,once,1390
o-g-s,p64,once,735
o-g-s,p65,once,703
o-g-s,p66,once,2833
o-g-s,p67,once,292
o-g-s,p68,once,115.98
o-g-s,p70,once,8.76
o-g-s,p72,once,35
o-g-s,p78,once,248.8
o-g-s,p80,once,28.2
o-g-s,p81,once,272.01
o-g-s,p83,once,3
o-g-s,p85,once,1769
o-g-s,p86,once,212
o-g-s,p87,once,76
o-g-s,p96,once,178
o-g-s,p99,once,1134
o-g-s,p101,once,3196.2
o-g-s,p102,once,3467.4
o-g-s,p103,once,1055
o-g-s,p105,once,335.7
o-g-s,p106,once,70
o-g-s,p107,once,118
o-g-s,p112,once,2
o-g-s,p114,once,35
o-g-s,p115,once,82
o-g-s,p122,once,1132.4
o-g-s,p123,once,847
o-g-s,p125,once,776
o-g-s,p126,once,958.1
o-g-s,p127,once,8349.4
o-g-s,p128,once,2582.2
o-g-s,p131,once,2664.362
o-g-s,p132,once,1748.572
o-g-s,p134,once,844.928
o-g-s,p1,recirc,2.5
o-g-s,p2,recirc,52.21
o-g-s,p5,recirc,23
o-g-s,p9,recirc,352.7
o-g-s,p10,recirc,1105.8
o-g-s,p12,recirc,24.6
o-g-s,p13,recirc,86.5
o-g-s,p15,recirc,5.4
o-g-s,p21,recirc,4.7
o-g-s,p25,recirc,259.907
o-g-s,p28,recirc,1053
o-g-s,p30,recirc,267
o-g-s,p31,recirc,460
o-g-s,p32,recirc,10
o-g-s,p33,recirc,35.4
o-g-s,p34,recirc,154.5
o-g-s,p35,recirc,2
o-g-s,p36,recirc,6.3
o-g-s,p37,recirc,23.8
o-g-s,p38,recirc,26.33
o-g-s,p39,recirc,2.4
o-g-s,p40,recirc,92.03
o-g-s,p41,recirc,21.8
o-g-s,p42,recirc,11.8
o-g-s,p43,recirc,209.86
o-g-s,p44,recirc,54.33
o-g-s,p45,recirc,153.17
o-g-s,p46,recirc,94.47
o-g-s,p47,recirc,375
o-g-s,p48,recirc,1538
o-g-s,p50,recirc,1266.9
o-g-s,p51,recirc,1698
o-g-s,p52,recirc,155.28
o-g-s,p53,recirc,1937.5
o-g-s,p54,recirc,168.3
o-g-s,p55,recirc,10.8
o-g-s,p57,recirc,1062
o-g-s,p58,recirc,1918.28
o-g-s,p59,recirc,252
o-g-s,p60,recirc,632
o-g-s,p62,recirc,112
o-g-s,p63,recirc,647.1
o-g-s,p64,recirc,1.5
o-g-s,p65,recirc,1044.2
o-g-s,p66,recirc,470
o-g-s,p67,recirc,3311
o-g-s,p68,recirc,162.42
o-g-s,p69,recirc,170.84
o-g-s,p70,recirc,327.22
o-g-s,p71,recirc,69.6
o-g-s,p72,recirc,119.74
o-g-s,p75,recirc,12.8
o-g-s,p76,recirc,14.18
o-g-s,p77,recirc,16.52
o-g-s,p78,recirc,100.8
o-g-s,p79,recirc,6.13
o-g-s,p80,recirc,50.6
o-g-s,p81,recirc,216.525
o-g-s,p82,recirc,5.1
o-g-s,p83,recirc,110.304
o-g-s,p84,recirc,26.1
o-g-s,p85,recirc,504
o-g-s,p86,recirc,126
o-g-s,p87,recirc,1652.09
o-g-s,p89,recirc,17.6
o-g-s,p90,recirc,9
o-g-s,p92,recirc,57.6
o-g-s,p94,recirc,241.5
o-g-s,p95,recirc,32.8
o-g-s,p96,recirc,13
o-g-s,p97,recirc,79.6
o-g-s,p98,recirc,72.4
o-g-s,p99,recirc,907.639
o-g-s,p101,recirc,419
o-g-s,p102,recirc,10
o-g-s,p103,recirc,1534.61
o-g-s,p105,recirc,499.4
o-g-s,p106,recirc,6.4
o-g-s,p107,recirc,11
o-g-s,p109,recirc,11.9
o-g-s,p111,recirc,66.45
o-g-s,p112,recirc,167.7
o-g-s,p113,recirc,22
o-g-s,p114,recirc,14.9
o-g-s,p115,recirc,11.208
o-g-s,p118,recirc,1.3
o-g-s,p122,recirc,1726.15
o-g-s,p123,recirc,1800.7
o-g-s,p124,recirc,28.4
o-g-s,p125,recirc,142.8
o-g-s,p126,recirc,549
o-g-s,p127,recirc,650.986
o-g-s,p128,recirc,39.155
o-g-s,p129,recirc,13.767
o-g-s,p130,recirc,400.2
o-g-s,p131,recirc,74.259
o-g-s,p132,recirc,463.35
o-g-s,p133,recirc,6.71
o-g-s,p134,recirc,27.552
o-g-s,p12,pond,470
o-g-s,p50,pond,2166
o-g-s,p57,pond,342
o-g-s,p58,pond,422
o-g-s,p63,pond,7440
o-g-s,p64,pond,1062
o-g-s,p65,pond,1777
o-g-s,p66,pond,460
o-g-s,p67,pond,890
o-g-s,p87,pond,1366
o-g-s,p101,pond,812
o-g-s,p102,pond,2440
o-g-s,p103,pond,772
