i,r,rs,UnitCT,value
wind-ons,p147,s374,none,197.8
wind-ons,p150,s377,none,659.3
wind-ons,p1,s4,none,463.4
wind-ons,p152,s401,none,379.6
wind-ons,p153,s402,none,263
wind-ons,p155,s404,none,54
wind-ons,p15,s44,none,51.624
wind-ons,p16,s46,none,46.2
wind-ons,p16,s47,none,189
wind-ons,p25,s48,none,205
wind-ons,p25,s49,none,19
wind-ons,p2,s5,none,1095.4
wind-ons,p28,s54,none,63
wind-ons,p18,s64,none,219.05
wind-ons,p20,s66,none,138.3
wind-ons,p18,s67,none,0.02
wind-ons,p19,s68,none,10
wind-ons,p21,s71,none,284.7
wind-ons,p24,s74,none,1129.82
wind-ons,p3,s8,none,0.01
wind-ons,p33,s82,none,3.8
wind-ons,p34,s84,none,1.8
wind-ons,p33,s85,none,997.5
wind-ons,p34,s86,none,51
wind-ons,p34,s87,none,250.5
wind-ons,p31,s88,none,102.4
wind-ons,p2,s9,none,639.801
wind-ons,p31,s92,none,100
wind-ons,p31,s93,none,90
wind-ons,p35,s96,none,30
wind-ons,p36,s98,none,19.5
wind-ons,p37,s99,none,532.11
csp-ns,p10,s30,recirc,4.64
csp-ns,p10,s31,recirc,3.2
csp-ns,p10,s33,recirc,399.8
csp-ns,p13,s40,recirc,68.5
csp-ns,p28,s57,recirc,1.5
csp-ns,p33,s76,once,1
hydED,p1,sk,none,2236.523081
hydEND,p1,sk,none,901.6269195
hydED,p2,sk,none,3318.087419
hydEND,p2,sk,none,2249.052581
hydED,p3,sk,none,1199.715729
hydEND,p3,sk,none,916.2542709
hydED,p4,sk,none,8707.011394
hydEND,p4,sk,none,2049.440606
hydED,p5,sk,none,3161.273646
hydEND,p5,sk,none,2840.190354
hydED,p6,sk,none,103.0642687
hydEND,p6,sk,none,305.8657313
hydED,p7,sk,none,215.1349048
hydEND,p7,sk,none,16.01509523
hydED,p8,sk,none,0
hydEND,p8,sk,none,117.36
hydED,p9,sk,none,5093.518198
hydEND,p9,sk,none,3748.405802
hydED,p10,sk,none,27.11624909
hydEND,p10,sk,none,1204.974751
hydED,p11,sk,none,0
hydEND,p11,sk,none,16.05
hydED,p12,sk,none,0
hydEND,p12,sk,none,12.3
hydED,p13,sk,none,817.3295843
hydEND,p13,sk,none,1.669415728
hydED,p14,sk,none,49.02777014
hydEND,p14,sk,none,289.9722299
hydED,p15,sk,none,1068.520706
hydEND,p15,sk,none,671.4732943
hydED,p16,sk,none,268.4805938
hydEND,p16,sk,none,359.5804062
hydED,p17,sk,none,544.4876975
hydEND,p17,sk,none,1306.312303
hydED,p18,sk,none,270.2303048
hydEND,p18,sk,none,391.3096952
hydED,p19,sk,none,0
hydEND,p19,sk,none,0
hydED,p20,sk,none,0
hydEND,p20,sk,none,0
hydED,p21,sk,none,0
hydEND,p21,sk,none,66.8
hydED,p22,sk,none,0
hydEND,p22,sk,none,0
hydED,p23,sk,none,0
hydEND,p23,sk,none,0
hydED,p24,sk,none,0
hydEND,p24,sk,none,240.8
hydED,p25,sk,none,0
hydEND,p25,sk,none,95.1
hydED,p26,sk,none,0
hydEND,p26,sk,none,172.4
hydED,p27,sk,none,862.3911919
hydEND,p27,sk,none,211.4078081
hydED,p28,sk,none,65.62620059
hydEND,p28,sk,none,1031.070799
hydED,p29,sk,none,0
hydEND,p29,sk,none,0
hydED,p30,sk,none,0
hydEND,p30,sk,none,0
hydED,p31,sk,none,0
hydEND,p31,sk,none,79.9
hydED,p32,sk,none,0
hydEND,p32,sk,none,0
hydED,p33,sk,none,0
hydEND,p33,sk,none,306.115
hydED,p34,sk,none,87.55310868
hydEND,p34,sk,none,270.4468913
hydED,p35,sk,none,0
hydEND,p35,sk,none,199.5
hydED,p36,sk,none,508
hydEND,p36,sk,none,0
hydED,p37,sk,none,0
hydEND,p37,sk,none,0
hydED,p38,sk,none,1594
hydEND,p38,sk,none,0
hydED,p39,sk,none,0
hydEND,p39,sk,none,38
hydED,p40,sk,none,7.307970244
hydEND,p40,sk,none,238.2920298
hydED,p41,sk,none,0
hydEND,p41,sk,none,0
hydED,p42,sk,none,0
hydEND,p42,sk,none,1.1
hydED,p43,sk,none,74.35192108
hydEND,p43,sk,none,79.29807892
hydED,p44,sk,none,0
hydEND,p44,sk,none,1.4
hydED,p45,sk,none,0
hydEND,p45,sk,none,0
hydED,p46,sk,none,70.92450834
hydEND,p46,sk,none,91.83049166
hydED,p47,sk,none,0
hydEND,p47,sk,none,0
hydED,p48,sk,none,0
hydEND,p48,sk,none,0
hydED,p49,sk,none,0
hydEND,p49,sk,none,0
hydED,p50,sk,none,253.6662234
hydEND,p50,sk,none,162.8337766
hydED,p51,sk,none,126.978653
hydEND,p51,sk,none,311.721347
hydED,p52,sk,none,0
hydEND,p52,sk,none,0
hydED,p53,sk,none,0
hydEND,p53,sk,none,2.59
hydED,p54,sk,none,0
hydEND,p54,sk,none,0
hydED,p55,sk,none,18.38897397
hydEND,p55,sk,none,281.811026
hydED,p56,sk,none,614.2195778
hydEND,p56,sk,none,176.9804222
hydED,p57,sk,none,0
hydEND,p57,sk,none,0
hydED,p58,sk,none,0
hydEND,p58,sk,none,192
hydED,p59,sk,none,0
hydEND,p59,sk,none,0
hydED,p60,sk,none,0
hydEND,p60,sk,none,0
hydED,p61,sk,none,0
hydEND,p61,sk,none,75.8
hydED,p62,sk,none,0
hydEND,p62,sk,none,0
hydED,p63,sk,none,109.1439689
hydEND,p63,sk,none,3.056031128
hydED,p64,sk,none,0
hydEND,p64,sk,none,319.1
hydED,p65,sk,none,0
hydEND,p65,sk,none,37
hydED,p66,sk,none,52
hydEND,p66,sk,none,89
hydED,p67,sk,none,0
hydEND,p67,sk,none,0
hydED,p68,sk,none,0
hydEND,p68,sk,none,6.66
hydED,p69,sk,none,0
hydEND,p69,sk,none,0.475
hydED,p70,sk,none,0
hydEND,p70,sk,none,145
hydED,p71,sk,none,0
hydEND,p71,sk,none,27
hydED,p72,sk,none,240.1
hydEND,p72,sk,none,0
hydED,p73,sk,none,0
hydEND,p73,sk,none,0
hydED,p74,sk,none,49.28143729
hydEND,p74,sk,none,41.67856271
hydED,p75,sk,none,41.05959837
hydEND,p75,sk,none,33.93040163
hydED,p76,sk,none,53.37124444
hydEND,p76,sk,none,28.04975556
hydED,p77,sk,none,0
hydEND,p77,sk,none,14.099
hydED,p78,sk,none,0
hydEND,p78,sk,none,0
hydED,p79,sk,none,0
hydEND,p79,sk,none,0
hydED,p80,sk,none,0
hydEND,p80,sk,none,28.5
hydED,p81,sk,none,0
hydEND,p81,sk,none,4.4
hydED,p82,sk,none,0
hydEND,p82,sk,none,0
hydED,p83,sk,none,0
hydEND,p83,sk,none,0
hydED,p84,sk,none,0
hydEND,p84,sk,none,3
hydED,p85,sk,none,133.5538211
hydEND,p85,sk,none,430.1461789
hydED,p86,sk,none,0
hydEND,p86,sk,none,0
hydED,p87,sk,none,0
hydEND,p87,sk,none,0
hydED,p88,sk,none,0
hydEND,p88,sk,none,0
hydED,p89,sk,none,735.8772434
hydEND,p89,sk,none,823.7827566
hydED,p90,sk,none,487.5182001
hydEND,p90,sk,none,995.3817999
hydED,p91,sk,none,0
hydEND,p91,sk,none,0
hydED,p92,sk,none,1694.931662
hydEND,p92,sk,none,870.1983384
hydED,p93,sk,none,241.1808923
hydEND,p93,sk,none,441.3191077
hydED,p94,sk,none,2067.429251
hydEND,p94,sk,none,207.9507491
hydED,p95,sk,none,65.51738812
hydEND,p95,sk,none,388.3226119
hydED,p96,sk,none,213.1220339
hydEND,p96,sk,none,669.2779661
hydED,p97,sk,none,552.1681325
hydEND,p97,sk,none,804.5318675
hydED,p98,sk,none,298.0620353
hydEND,p98,sk,none,145.5779647
hydED,p99,sk,none,343.3167859
hydEND,p99,sk,none,13.6032141
hydED,p100,sk,none,0
hydEND,p100,sk,none,2.335
hydED,p101,sk,none,42.56283662
hydEND,p101,sk,none,11.93716338
hydED,p102,sk,none,0
hydEND,p102,sk,none,0
hydED,p103,sk,none,5.060040134
hydEND,p103,sk,none,156.2519599
hydED,p104,sk,none,0
hydEND,p104,sk,none,8.698
hydED,p105,sk,none,0
hydEND,p105,sk,none,18.441
hydED,p106,sk,none,0
hydEND,p106,sk,none,0
hydED,p107,sk,none,0
hydEND,p107,sk,none,64.8
hydED,p108,sk,none,0
hydEND,p108,sk,none,0
hydED,p109,sk,none,0
hydEND,p109,sk,none,139.04
hydED,p110,sk,none,0
hydEND,p110,sk,none,0
hydED,p111,sk,none,0
hydEND,p111,sk,none,0
hydED,p112,sk,none,0
hydEND,p112,sk,none,99.5
hydED,p113,sk,none,0
hydEND,p113,sk,none,0
hydED,p114,sk,none,0
hydEND,p114,sk,none,1.94
hydED,p115,sk,none,0
hydEND,p115,sk,none,110.94
hydED,p116,sk,none,0
hydEND,p116,sk,none,164.601
hydED,p117,sk,none,0
hydEND,p117,sk,none,31.201
hydED,p118,sk,none,362.9553612
hydEND,p118,sk,none,139.2546388
hydED,p119,sk,none,0
hydEND,p119,sk,none,0
hydED,p120,sk,none,0
hydEND,p120,sk,none,0
hydED,p121,sk,none,0
hydEND,p121,sk,none,18
hydED,p122,sk,none,70.22639029
hydEND,p122,sk,none,610.3536097
hydED,p123,sk,none,0
hydEND,p123,sk,none,572.48
hydED,p124,sk,none,0
hydEND,p124,sk,none,0
hydED,p125,sk,none,0
hydEND,p125,sk,none,0
hydED,p126,sk,none,0
hydEND,p126,sk,none,3.9
hydED,p127,sk,none,3662.9142
hydEND,p127,sk,none,777.4818001
hydED,p128,sk,none,0
hydEND,p128,sk,none,0
hydED,p129,sk,none,61.63380486
hydEND,p129,sk,none,219.6461951
hydED,p130,sk,none,9.686617833
hydEND,p130,sk,none,483.2993822
hydED,p131,sk,none,49.73040641
hydEND,p131,sk,none,206.1195936
hydED,p132,sk,none,66.10273735
hydEND,p132,sk,none,57.55126265
hydED,p133,sk,none,0
hydEND,p133,sk,none,3.782
hydED,p134,sk,none,267.2424189
hydEND,p134,sk,none,336.8635811
hydED,p135,sk,none,0
hydED,p136,sk,none,0
hydED,p137,sk,none,2494.96
hydED,p138,sk,none,6910.6
hydED,p139,sk,none,3622.6
hydED,p140,sk,none,178.4
hydED,p141,sk,none,770.18
hydED,p142,sk,none,851.6
hydED,p143,sk,none,4982.362
hydED,p144,sk,none,779.68
hydED,p145,sk,none,2818.43
hydED,p146,sk,none,2071.36
hydED,p147,sk,none,2756.605
hydED,p148,sk,none,1975.302
hydED,p149,sk,none,2651.388
hydED,p150,sk,none,157.93
hydED,p151,sk,none,29394.62
hydED,p152,sk,none,959.5
hydED,p153,sk,none,397.2
hydED,p154,sk,none,6323.852875
hydED,p155,sk,none,0
hydED,p156,sk,none,0
hydED,p157,sk,none,135
hydED,p159,sk,none,450.8
hydED,p160,sk,none,151.4
hydED,p161,sk,none,204
hydED,p165,sk,none,25
hydED,p168,sk,none,66
hydED,p169,sk,none,31.5
hydED,p174,sk,none,20.13
hydED,p178,sk,none,1712.18
hydED,p179,sk,none,386.52
hydED,p183,sk,none,3
hydED,p184,sk,none,153.29
hydED,p185,sk,none,1325
hydED,p186,sk,none,292
hydED,p189,sk,none,0.79
hydED,p190,sk,none,249.66
hydED,p191,sk,none,638
hydED,p192,sk,none,356.48
hydED,p193,sk,none,26
hydED,p194,sk,none,420
hydED,p195,sk,none,3508.48
