t,r,i,UnitCT,value
2040,p148,o-g-s,dry,300
2042,p148,o-g-s,dry,150
2044,p148,o-g-s,dry,150
2042,p150,o-g-s,dry,175
2044,p150,o-g-s,dry,175
2066,p205,o-g-s,dry,7
2062,p43,o-g-s,dry,1.3
2064,p43,o-g-s,dry,1
2068,p43,o-g-s,dry,0.8
2064,p45,o-g-s,dry,6.9
2066,p45,o-g-s,dry,1.8
2014,p53,o-g-s,dry,0.5
2018,p53,o-g-s,dry,0.7
2020,p53,o-g-s,dry,6.3
2032,p53,o-g-s,dry,2.1
2050,p53,o-g-s,dry,1.6
2054,p53,o-g-s,dry,6.2
2066,p53,o-g-s,dry,2.5
2066,p68,o-g-s,dry,2.9
2064,p69,o-g-s,dry,1.8
2066,p69,o-g-s,dry,8.3
2062,p70,o-g-s,dry,6
2064,p71,o-g-s,dry,3.4
2050,p72,o-g-s,dry,1
2016,p80,o-g-s,dry,1
2066,p80,o-g-s,dry,5.4
2064,p81,o-g-s,dry,2.5
2072,p9,o-g-s,dry,1.55
2074,p9,o-g-s,dry,1
2076,p9,o-g-s,dry,2
2066,p90,caes,none,110
2032,p1,gas-ct,none,268
2034,p1,gas-ct,none,186
2042,p1,gas-ct,none,79.6
2044,p1,gas-ct,none,40.6
2052,p1,gas-ct,none,94
2010,p10,gas-ct,none,37.4
2016,p10,gas-ct,none,40
2018,p10,gas-ct,none,170
2024,p10,gas-ct,none,60.8
2026,p10,gas-ct,none,325.17
2030,p10,gas-ct,none,47.1
2036,p10,gas-ct,none,328
2038,p10,gas-ct,none,310.8
2040,p10,gas-ct,none,500.6
2042,p10,gas-ct,none,182.5
2046,p10,gas-ct,none,46
2052,p10,gas-ct,none,587.61
2054,p10,gas-ct,none,191.6
2056,p10,gas-ct,none,100
2058,p10,gas-ct,none,288.92
2060,p10,gas-ct,none,5.6
2062,p10,gas-ct,none,401.525
2064,p10,gas-ct,none,1801.55
2010,p101,gas-ct,none,54
2014,p101,gas-ct,none,42
2016,p101,gas-ct,none,1172
2018,p101,gas-ct,none,660
2020,p101,gas-ct,none,178
2022,p101,gas-ct,none,175
2024,p101,gas-ct,none,582
2026,p101,gas-ct,none,397
2028,p101,gas-ct,none,19
2030,p101,gas-ct,none,155
2042,p101,gas-ct,none,397
2044,p101,gas-ct,none,528
2046,p101,gas-ct,none,75
2048,p101,gas-ct,none,143
2050,p101,gas-ct,none,487.6
2052,p101,gas-ct,none,1433.6
2054,p101,gas-ct,none,324
2056,p101,gas-ct,none,406
2060,p101,gas-ct,none,442.9
2062,p101,gas-ct,none,296
2014,p102,gas-ct,none,19.5
2016,p102,gas-ct,none,1260
2020,p102,gas-ct,none,3.6
2022,p102,gas-ct,none,9
2026,p102,gas-ct,none,33.5
2032,p102,gas-ct,none,12
2040,p102,gas-ct,none,74
2042,p102,gas-ct,none,216
2052,p102,gas-ct,none,630
2058,p102,gas-ct,none,160.2
2064,p102,gas-ct,none,0.1
2010,p103,gas-ct,none,14
2012,p103,gas-ct,none,7.1
2014,p103,gas-ct,none,110.1
2016,p103,gas-ct,none,66.5
2018,p103,gas-ct,none,4.4
2020,p103,gas-ct,none,494.7
2022,p103,gas-ct,none,99.8
2024,p103,gas-ct,none,27.8
2026,p103,gas-ct,none,6
2028,p103,gas-ct,none,7.6
2030,p103,gas-ct,none,12.9
2034,p103,gas-ct,none,6.5
2040,p103,gas-ct,none,3.2
2042,p103,gas-ct,none,64
2044,p103,gas-ct,none,16.5
2050,p103,gas-ct,none,977.7
2052,p103,gas-ct,none,1676.2
2056,p103,gas-ct,none,10
2064,p103,gas-ct,none,3.4
2014,p104,gas-ct,none,24
2032,p104,gas-ct,none,6
2050,p104,gas-ct,none,65
2010,p105,gas-ct,none,4
2012,p105,gas-ct,none,16
2014,p105,gas-ct,none,17
2016,p105,gas-ct,none,15
2018,p105,gas-ct,none,80
2022,p105,gas-ct,none,31
2030,p105,gas-ct,none,155
2042,p105,gas-ct,none,68
2044,p105,gas-ct,none,99
2050,p105,gas-ct,none,568
2052,p105,gas-ct,none,180
2054,p105,gas-ct,none,72
2014,p106,gas-ct,none,20
2024,p106,gas-ct,none,37
2044,p106,gas-ct,none,67
2046,p106,gas-ct,none,67
2050,p106,gas-ct,none,207
2052,p106,gas-ct,none,223
2018,p107,gas-ct,none,136
2022,p107,gas-ct,none,20
2026,p107,gas-ct,none,65
2042,p107,gas-ct,none,148
2050,p107,gas-ct,none,634.5
2052,p107,gas-ct,none,209
2056,p107,gas-ct,none,264.1
2026,p108,gas-ct,none,58
2014,p109,gas-ct,none,12
2020,p109,gas-ct,none,87
2044,p109,gas-ct,none,484
2050,p109,gas-ct,none,604
2052,p109,gas-ct,none,1244
2054,p109,gas-ct,none,636
2056,p109,gas-ct,none,148
2060,p109,gas-ct,none,176
2010,p11,gas-ct,none,14
2014,p11,gas-ct,none,49.6
2016,p11,gas-ct,none,110
2018,p11,gas-ct,none,75.5
2036,p11,gas-ct,none,1.6
2052,p11,gas-ct,none,277.9
2056,p11,gas-ct,none,47
2060,p11,gas-ct,none,228.8
2062,p11,gas-ct,none,3.69
2052,p110,gas-ct,none,825
2010,p111,gas-ct,none,38
2014,p111,gas-ct,none,2
2020,p111,gas-ct,none,78
2022,p111,gas-ct,none,41
2024,p111,gas-ct,none,81
2034,p111,gas-ct,none,57
2040,p111,gas-ct,none,0.9
2046,p111,gas-ct,none,2.1
2048,p111,gas-ct,none,2.1
2050,p111,gas-ct,none,67
2052,p111,gas-ct,none,1019.6
2058,p111,gas-ct,none,10
2018,p112,gas-ct,none,678
2020,p112,gas-ct,none,66.5
2038,p112,gas-ct,none,12.5
2042,p112,gas-ct,none,27.3
2050,p112,gas-ct,none,282.7
2052,p112,gas-ct,none,1209.6
2054,p112,gas-ct,none,165
2056,p112,gas-ct,none,1.1
2014,p113,gas-ct,none,50
2020,p113,gas-ct,none,126.3
2022,p113,gas-ct,none,20
2040,p113,gas-ct,none,16.5
2046,p113,gas-ct,none,177
2048,p113,gas-ct,none,79
2052,p113,gas-ct,none,340
2012,p114,gas-ct,none,8
2014,p114,gas-ct,none,186.4
2020,p114,gas-ct,none,142.2
2022,p114,gas-ct,none,68.8
2036,p114,gas-ct,none,14
2042,p114,gas-ct,none,385
2044,p114,gas-ct,none,77
2050,p114,gas-ct,none,605
2012,p115,gas-ct,none,30
2022,p115,gas-ct,none,15
2050,p115,gas-ct,none,176
2052,p115,gas-ct,none,603.1
2020,p116,gas-ct,none,11
2052,p116,gas-ct,none,321.3
2052,p117,gas-ct,none,750
2052,p118,gas-ct,none,330
2020,p119,gas-ct,none,14
2010,p12,gas-ct,none,20
2012,p12,gas-ct,none,15
2018,p12,gas-ct,none,200
2044,p12,gas-ct,none,132.6
2020,p120,gas-ct,none,4.2
2052,p120,gas-ct,none,90.9
2054,p120,gas-ct,none,23.2
2016,p122,gas-ct,none,14
2018,p122,gas-ct,none,36
2020,p122,gas-ct,none,646.4
2022,p122,gas-ct,none,346
2024,p122,gas-ct,none,490
2036,p122,gas-ct,none,65.6
2040,p122,gas-ct,none,58.9
2048,p122,gas-ct,none,134
2052,p122,gas-ct,none,399.2
2058,p122,gas-ct,none,1.6
2064,p122,gas-ct,none,64
2010,p123,gas-ct,none,6.6
2012,p123,gas-ct,none,251.2
2014,p123,gas-ct,none,115
2016,p123,gas-ct,none,51
2020,p123,gas-ct,none,420.6
2022,p123,gas-ct,none,168
2024,p123,gas-ct,none,214
2040,p123,gas-ct,none,71
2042,p123,gas-ct,none,455
2044,p123,gas-ct,none,147
2046,p123,gas-ct,none,147.6
2054,p123,gas-ct,none,689.2
2058,p123,gas-ct,none,12.9
2060,p123,gas-ct,none,4.3
2022,p124,gas-ct,none,31
2050,p124,gas-ct,none,135.6
2052,p124,gas-ct,none,184.8
2014,p125,gas-ct,none,44
2020,p125,gas-ct,none,64.1
2024,p125,gas-ct,none,50
2042,p125,gas-ct,none,39
2050,p125,gas-ct,none,130
2052,p125,gas-ct,none,92
2062,p125,gas-ct,none,50
2012,p126,gas-ct,none,252.8
2014,p126,gas-ct,none,213.1
2016,p126,gas-ct,none,2132.3
2018,p126,gas-ct,none,2.14
2022,p126,gas-ct,none,262.8
2024,p126,gas-ct,none,143.5
2040,p126,gas-ct,none,232.6
2042,p126,gas-ct,none,82.4
2046,p126,gas-ct,none,329.7
2050,p126,gas-ct,none,340
2052,p126,gas-ct,none,323.3
2054,p126,gas-ct,none,333.6
2060,p126,gas-ct,none,96.5
2062,p126,gas-ct,none,807.2
2010,p127,gas-ct,none,0.8
2012,p127,gas-ct,none,15.3
2014,p127,gas-ct,none,14.3
2016,p127,gas-ct,none,1.4
2018,p127,gas-ct,none,729.3
2020,p127,gas-ct,none,235.5
2022,p127,gas-ct,none,921.3
2034,p127,gas-ct,none,1
2050,p127,gas-ct,none,3.7
2052,p127,gas-ct,none,502.7
2054,p127,gas-ct,none,54.5
2056,p127,gas-ct,none,296
2060,p127,gas-ct,none,7.7
2064,p127,gas-ct,none,5.25
2012,p128,gas-ct,none,15.4
2014,p128,gas-ct,none,3.9
2018,p128,gas-ct,none,143.9
2020,p128,gas-ct,none,374.6
2022,p128,gas-ct,none,207.8
2024,p128,gas-ct,none,288.7
2026,p128,gas-ct,none,264.5
2040,p128,gas-ct,none,232
2044,p128,gas-ct,none,6.2
2046,p128,gas-ct,none,44.5
2052,p128,gas-ct,none,263.9
2054,p128,gas-ct,none,94.4
2020,p129,gas-ct,none,24.532
2022,p129,gas-ct,none,58.963
2042,p129,gas-ct,none,5.901
2012,p13,gas-ct,none,69
2024,p13,gas-ct,none,55
2042,p13,gas-ct,none,222
2046,p13,gas-ct,none,72
2056,p13,gas-ct,none,72
2058,p13,gas-ct,none,624
2020,p130,gas-ct,none,82.798
2012,p131,gas-ct,none,18.3
2016,p131,gas-ct,none,16
2020,p131,gas-ct,none,199.866
2022,p131,gas-ct,none,55.822
2030,p131,gas-ct,none,21.737
2032,p131,gas-ct,none,133.6
2034,p131,gas-ct,none,2.4
2036,p131,gas-ct,none,1.2
2040,p131,gas-ct,none,28.5
2052,p131,gas-ct,none,76.191
2054,p131,gas-ct,none,0.018
2058,p131,gas-ct,none,2.02
2060,p131,gas-ct,none,135.6
2014,p132,gas-ct,none,11.925
2018,p132,gas-ct,none,16.9
2020,p132,gas-ct,none,298.734
2022,p132,gas-ct,none,15.255
2046,p132,gas-ct,none,118.197
2052,p132,gas-ct,none,217.996
2054,p132,gas-ct,none,46.6
2056,p132,gas-ct,none,23.3
2058,p132,gas-ct,none,112.745
2060,p132,gas-ct,none,282.589
2062,p132,gas-ct,none,329.555
2020,p134,gas-ct,none,32.008
2052,p134,gas-ct,none,156.8
2046,p14,gas-ct,none,132
2014,p140,gas-ct,none,7.2
2032,p140,gas-ct,none,0.5
2058,p140,gas-ct,none,7.2
2060,p140,gas-ct,none,15
2062,p140,gas-ct,none,29.5
2048,p141,gas-ct,none,84
2050,p141,gas-ct,none,166
2052,p141,gas-ct,none,350
2054,p141,gas-ct,none,151.12
2056,p141,gas-ct,none,83.025
2058,p141,gas-ct,none,255
2060,p141,gas-ct,none,296.62
2062,p141,gas-ct,none,121.97
2064,p141,gas-ct,none,88.1
2014,p142,gas-ct,none,24
2026,p142,gas-ct,none,63
2034,p142,gas-ct,none,36.9
2060,p142,gas-ct,none,237
2052,p143,gas-ct,none,232.66
2030,p144,gas-ct,none,67
2020,p146,gas-ct,none,138.3
2054,p146,gas-ct,none,89
2062,p146,gas-ct,none,393
2030,p148,gas-ct,none,260
2052,p15,gas-ct,none,90.5
2056,p15,gas-ct,none,164
2058,p15,gas-ct,none,171
2040,p152,gas-ct,none,28.6
2042,p152,gas-ct,none,270
2022,p156,gas-ct,none,12
2024,p156,gas-ct,none,22
2056,p156,gas-ct,none,40
2056,p17,gas-ct,none,51.75
2062,p17,gas-ct,none,132.3
2032,p172,gas-ct,none,124.68
2048,p175,gas-ct,none,168
2056,p175,gas-ct,none,60.73
2016,p18,gas-ct,none,40.5
2056,p181,gas-ct,none,2
2046,p186,gas-ct,none,21.3
2052,p186,gas-ct,none,12.717
2056,p186,gas-ct,none,19.992
2058,p186,gas-ct,none,6.165
2056,p187,gas-ct,none,128
2058,p187,gas-ct,none,160
2058,p193,gas-ct,none,59.6
2042,p194,gas-ct,none,120.7
2058,p194,gas-ct,none,56
2062,p194,gas-ct,none,300
2050,p197,gas-ct,none,362.6
2062,p197,gas-ct,none,99.9
2022,p200,gas-ct,none,14
2010,p201,gas-ct,none,166
2026,p201,gas-ct,none,147.9
2020,p205,gas-ct,none,12.5
2022,p205,gas-ct,none,12.5
2028,p205,gas-ct,none,20
2052,p22,gas-ct,none,15
2050,p23,gas-ct,none,34
2052,p23,gas-ct,none,64
2012,p25,gas-ct,none,20.9
2014,p25,gas-ct,none,7
2016,p25,gas-ct,none,10
2036,p25,gas-ct,none,11.9
2038,p25,gas-ct,none,5.2
2046,p25,gas-ct,none,4
2050,p25,gas-ct,none,5.9
2052,p25,gas-ct,none,365.9
2054,p25,gas-ct,none,3.8
2056,p25,gas-ct,none,38.7
2058,p25,gas-ct,none,5.7
2060,p25,gas-ct,none,42.4
2062,p25,gas-ct,none,23
2012,p26,gas-ct,none,0.6
2040,p26,gas-ct,none,0.7
2052,p26,gas-ct,none,4.5
2054,p26,gas-ct,none,6.55
2058,p27,gas-ct,none,90
2022,p28,gas-ct,none,278.5
2024,p28,gas-ct,none,505
2026,p28,gas-ct,none,133
2028,p28,gas-ct,none,20
2052,p28,gas-ct,none,524
2058,p28,gas-ct,none,94
2062,p28,gas-ct,none,520.8
2016,p3,gas-ct,none,42
2028,p3,gas-ct,none,45
2052,p3,gas-ct,none,30.8
2022,p30,gas-ct,none,123
2040,p30,gas-ct,none,44.1
2052,p30,gas-ct,none,95
2054,p30,gas-ct,none,1.529
2056,p30,gas-ct,none,17
2012,p31,gas-ct,none,27.3
2016,p31,gas-ct,none,121.6
2050,p31,gas-ct,none,138
2052,p31,gas-ct,none,74
2054,p31,gas-ct,none,158
2058,p31,gas-ct,none,144.3
2064,p31,gas-ct,none,88.2
2028,p32,gas-ct,none,51
2030,p32,gas-ct,none,17
2052,p32,gas-ct,none,34
2022,p33,gas-ct,none,89.4
2024,p33,gas-ct,none,57
2046,p33,gas-ct,none,67.1
2050,p33,gas-ct,none,303.9
2052,p33,gas-ct,none,481.9
2054,p33,gas-ct,none,329
2058,p33,gas-ct,none,514.2
2060,p33,gas-ct,none,289
2014,p34,gas-ct,none,4.2
2020,p34,gas-ct,none,3.8
2024,p34,gas-ct,none,12.8
2028,p34,gas-ct,none,113.5
2050,p34,gas-ct,none,60
2052,p34,gas-ct,none,368
2062,p34,gas-ct,none,180
2022,p35,gas-ct,none,23.6
2030,p35,gas-ct,none,34.8
2054,p35,gas-ct,none,40.1
2060,p35,gas-ct,none,90.8
2012,p36,gas-ct,none,9.6
2064,p36,gas-ct,none,80
2026,p37,gas-ct,none,22
2028,p37,gas-ct,none,22.1
2014,p38,gas-ct,none,3.9
2020,p38,gas-ct,none,11.1
2024,p38,gas-ct,none,2.2
2026,p38,gas-ct,none,186.5
2028,p38,gas-ct,none,188.5
2042,p38,gas-ct,none,43.7
2056,p38,gas-ct,none,229.1
2058,p38,gas-ct,none,76.8
2064,p38,gas-ct,none,52
2014,p39,gas-ct,none,2.8
2020,p39,gas-ct,none,7.5
2024,p39,gas-ct,none,3.6
2014,p40,gas-ct,none,9
2016,p40,gas-ct,none,0.3
2020,p40,gas-ct,none,47.3
2022,p40,gas-ct,none,24.4
2024,p40,gas-ct,none,92.8
2026,p40,gas-ct,none,2
2042,p40,gas-ct,none,1.1
2054,p40,gas-ct,none,68
2020,p41,gas-ct,none,353.7
2022,p41,gas-ct,none,150.2
2024,p41,gas-ct,none,178.9
2026,p41,gas-ct,none,72
2030,p41,gas-ct,none,5.8
2032,p41,gas-ct,none,8.2
2038,p41,gas-ct,none,5.2
2044,p41,gas-ct,none,3.7
2046,p41,gas-ct,none,106.8
2048,p41,gas-ct,none,96.6
2050,p41,gas-ct,none,97.1
2052,p41,gas-ct,none,94
2054,p41,gas-ct,none,78.7
2012,p42,gas-ct,none,5.9
2020,p42,gas-ct,none,9.6
2054,p42,gas-ct,none,41.9
2010,p43,gas-ct,none,1
2012,p43,gas-ct,none,24.4
2018,p43,gas-ct,none,2
2020,p43,gas-ct,none,11.6
2022,p43,gas-ct,none,288.8
2024,p43,gas-ct,none,206.3
2026,p43,gas-ct,none,34.2
2028,p43,gas-ct,none,131.2
2032,p43,gas-ct,none,22.5
2048,p43,gas-ct,none,7.5
2052,p43,gas-ct,none,121.5
2056,p43,gas-ct,none,300
2058,p43,gas-ct,none,558
2060,p43,gas-ct,none,189.7
2064,p43,gas-ct,none,8.8
2020,p44,gas-ct,none,15.4
2020,p45,gas-ct,none,29.6
2042,p45,gas-ct,none,71.7
2054,p45,gas-ct,none,169
2058,p45,gas-ct,none,46.5
2018,p46,gas-ct,none,12
2020,p46,gas-ct,none,2.05
2022,p46,gas-ct,none,124.99
2026,p46,gas-ct,none,290
2032,p46,gas-ct,none,4
2038,p46,gas-ct,none,2.9
2052,p46,gas-ct,none,79.12
2018,p47,gas-ct,none,10
2026,p47,gas-ct,none,71
2048,p47,gas-ct,none,212
2062,p47,gas-ct,none,43.5
2064,p47,gas-ct,none,19
2012,p48,gas-ct,none,33
2022,p48,gas-ct,none,16
2024,p48,gas-ct,none,16
2040,p48,gas-ct,none,20
2048,p48,gas-ct,none,220.4
2056,p48,gas-ct,none,148.9
2058,p48,gas-ct,none,149.4
2062,p48,gas-ct,none,331.8
2064,p48,gas-ct,none,330
2052,p5,gas-ct,none,55.099
2010,p50,gas-ct,none,6.7
2012,p50,gas-ct,none,53.1
2016,p50,gas-ct,none,16.5
2020,p50,gas-ct,none,14.1
2022,p50,gas-ct,none,59
2026,p50,gas-ct,none,163
2050,p50,gas-ct,none,91
2052,p50,gas-ct,none,361
2054,p50,gas-ct,none,43.9
2058,p50,gas-ct,none,152
2060,p50,gas-ct,none,135
2058,p51,gas-ct,none,158
2010,p52,gas-ct,none,1.8
2012,p52,gas-ct,none,12.9
2018,p52,gas-ct,none,1.1
2020,p52,gas-ct,none,40
2022,p52,gas-ct,none,1.8
2024,p52,gas-ct,none,3.7
2026,p52,gas-ct,none,54.3
2028,p52,gas-ct,none,3.5
2030,p52,gas-ct,none,48.4
2040,p52,gas-ct,none,4.1
2046,p52,gas-ct,none,0.8
2048,p52,gas-ct,none,0.5
2050,p52,gas-ct,none,1.1
2010,p53,gas-ct,none,1.5
2012,p53,gas-ct,none,108
2014,p53,gas-ct,none,9.5
2016,p53,gas-ct,none,179.3
2018,p53,gas-ct,none,2.2
2020,p53,gas-ct,none,105.6
2022,p53,gas-ct,none,19.7
2024,p53,gas-ct,none,351.1
2026,p53,gas-ct,none,126.1
2028,p53,gas-ct,none,47.9
2030,p53,gas-ct,none,57.1
2032,p53,gas-ct,none,28.8
2034,p53,gas-ct,none,9.6
2036,p53,gas-ct,none,20.7
2038,p53,gas-ct,none,28
2040,p53,gas-ct,none,48
2042,p53,gas-ct,none,1
2044,p53,gas-ct,none,21
2046,p53,gas-ct,none,10.9
2048,p53,gas-ct,none,90.9
2050,p53,gas-ct,none,149
2052,p53,gas-ct,none,212.1
2054,p53,gas-ct,none,396
2056,p53,gas-ct,none,91.7
2058,p53,gas-ct,none,410.8
2060,p53,gas-ct,none,311
2062,p53,gas-ct,none,1.9
2012,p54,gas-ct,none,4.8
2014,p54,gas-ct,none,50
2020,p54,gas-ct,none,64.5
2022,p54,gas-ct,none,170.1
2024,p54,gas-ct,none,81.9
2026,p54,gas-ct,none,367
2028,p54,gas-ct,none,168.3
2030,p54,gas-ct,none,62.5
2032,p54,gas-ct,none,70.9
2036,p54,gas-ct,none,80
2040,p54,gas-ct,none,26.8
2044,p54,gas-ct,none,6.3
2046,p54,gas-ct,none,37.5
2050,p54,gas-ct,none,340
2052,p54,gas-ct,none,210
2056,p54,gas-ct,none,303.3
2010,p55,gas-ct,none,12
2020,p55,gas-ct,none,20.7
2022,p55,gas-ct,none,4
2024,p55,gas-ct,none,100.1
2026,p55,gas-ct,none,93
2034,p55,gas-ct,none,104
2040,p55,gas-ct,none,75
2042,p55,gas-ct,none,80
2046,p55,gas-ct,none,94
2052,p55,gas-ct,none,100
2054,p55,gas-ct,none,98
2058,p56,gas-ct,none,294
2060,p56,gas-ct,none,60
2010,p58,gas-ct,none,22.1
2016,p58,gas-ct,none,8
2020,p58,gas-ct,none,5.5
2022,p58,gas-ct,none,13.4
2038,p58,gas-ct,none,100
2040,p58,gas-ct,none,85.3
2048,p58,gas-ct,none,240
2050,p58,gas-ct,none,371.6
2052,p58,gas-ct,none,669.4
2056,p58,gas-ct,none,188
2062,p58,gas-ct,none,34.5
2012,p59,gas-ct,none,140
2030,p59,gas-ct,none,62
2052,p6,gas-ct,none,100
2038,p60,gas-ct,none,407
2038,p62,gas-ct,none,201
2040,p62,gas-ct,none,139
2010,p63,gas-ct,none,303
2018,p63,gas-ct,none,2.2
2040,p63,gas-ct,none,278
2044,p63,gas-ct,none,208
2052,p63,gas-ct,none,75
2060,p63,gas-ct,none,24.999
2014,p64,gas-ct,none,5
2026,p64,gas-ct,none,18
2038,p64,gas-ct,none,192
2052,p64,gas-ct,none,188
2054,p64,gas-ct,none,47.1
2056,p64,gas-ct,none,3.7
2060,p64,gas-ct,none,317
2020,p65,gas-ct,none,22
2022,p65,gas-ct,none,10
2034,p65,gas-ct,none,72
2038,p65,gas-ct,none,75
2054,p65,gas-ct,none,230
2058,p65,gas-ct,none,177.4
2060,p65,gas-ct,none,393.512
2056,p66,gas-ct,none,435
2060,p66,gas-ct,none,292
2010,p67,gas-ct,none,194.6
2014,p67,gas-ct,none,125
2016,p67,gas-ct,none,70
2018,p67,gas-ct,none,13
2020,p67,gas-ct,none,26
2026,p67,gas-ct,none,678
2028,p67,gas-ct,none,59.2
2036,p67,gas-ct,none,65
