t,i,r,UnitCT,value
2014,coal-new,p37,recirc,83.5
2012,coal-new,p40,recirc,232
2014,coal-new,p43,recirc,35.4554170661553
2012,coal-new,p55,recirc,275
2014,coal-new,p63,recirc,996.030368763557
2012,coal-new,p65,recirc,286.2
2012,coal-new,p79,recirc,633.801
2012,coal-new,p81,recirc,1628
2012,coal-new,p85,recirc,609
2012,coal-new,p97,recirc,844
2012,coal-new,p116,recirc,700
2012,coal-new,p118,recirc,610
2012,gas-cc,p9,recirc,577.1
2014,gas-cc,p9,recirc,921.1
2012,gas-cc,p10,recirc,144.1
2016,gas-cc,p10,recirc,377
2020,gas-cc,p10,recirc,1284
2012,gas-cc,p13,recirc,422.8
2012,gas-cc,p15,recirc,298.7
2014,gas-cc,p24,recirc,132
2014,gas-cc,p25,recirc,629
2016,gas-cc,p33,recirc,588.2
2012,gas-cc,p34,recirc,200
2012,gas-cc,p38,recirc,290
2012,gas-cc,p51,recirc,495
2018,gas-cc,p51,recirc,516.4
2016,gas-cc,p53,recirc,243
2016,gas-cc,p58,recirc,71.1
2020,gas-cc,p58,recirc,980
2012,gas-cc,p59,recirc,281.9
2012,gas-cc,p63,recirc,620.5
2014,gas-cc,p63,recirc,1451
2016,gas-cc,p63,recirc,734
2018,gas-cc,p63,recirc,1069.3
2020,gas-cc,p63,recirc,471
2018,gas-cc,p64,recirc,157.009655172414
2016,gas-cc,p65,recirc,236.232551004755
2018,gas-cc,p65,recirc,1087.8
2014,gas-cc,p67,recirc,303.65306122449
2020,gas-cc,p68,recirc,25.4716981132075
2018,gas-cc,p70,recirc,656.8
2020,gas-cc,p78,recirc,700
2016,gas-cc,p80,recirc,573.2
2012,gas-cc,p87,recirc,268
2014,gas-cc,p88,recirc,593
2016,gas-cc,p88,recirc,593
2016,gas-cc,p92,recirc,71.916
2012,gas-cc,p94,recirc,2514
2018,gas-cc,p95,recirc,750.001
2018,gas-cc,p97,recirc,475
2022,gas-cc,p97,recirc,500
2012,gas-cc,p98,recirc,1515
2014,gas-cc,p98,recirc,12.9722545273301
2012,gas-cc,p99,recirc,589
2016,gas-cc,p99,recirc,1300
2018,gas-cc,p99,recirc,774
2020,gas-cc,p99,recirc,1681
2014,gas-cc,p100,recirc,1329
2012,gas-cc,p101,recirc,290
2018,gas-cc,p101,recirc,1640.2
2020,gas-cc,p101,recirc,1723.1
2012,gas-cc,p102,recirc,1231
2014,gas-cc,p103,recirc,74.9
2018,gas-cc,p103,recirc,127.1
2020,gas-cc,p103,recirc,34
2018,gas-cc,p105,recirc,703
2018,gas-cc,p107,recirc,644
2018,gas-cc,p108,recirc,1100
2016,gas-cc,p109,recirc,660
2012,gas-cc,p111,recirc,667.3
2018,gas-cc,p111,recirc,1787.6
2012,gas-cc,p112,recirc,540
2018,gas-cc,p112,recirc,682.6
2018,gas-cc,p114,recirc,475
2018,gas-cc,p115,recirc,926
2020,gas-cc,p115,recirc,251
2012,gas-cc,p122,recirc,545
2016,gas-cc,p122,recirc,1530
2018,gas-cc,p122,recirc,3135
2020,gas-cc,p122,recirc,2446.9
2014,gas-cc,p123,recirc,24
2018,gas-cc,p123,recirc,1526
2016,gas-cc,p125,recirc,309.2
2014,gas-cc,p126,recirc,860
2016,gas-cc,p126,recirc,1385
2018,gas-cc,p127,recirc,728.453620311357
2020,gas-cc,p127,recirc,1000
2018,gas-cc,p131,recirc,340
2012,gas-cc,p132,recirc,589
2018,gas-cc,p132,recirc,750.5
2020,gas-cc,p132,recirc,484.3
2012,nuclear,p2,recirc,10.7365439093484
2014,nuclear,p43,recirc,68.7445255474452
2014,nuclear,p72,recirc,3.84900790450073
2014,nuclear,p80,recirc,36.9506177561871
2012,nuclear,p87,recirc,159.301195173557
2016,nuclear,p92,recirc,1122
2022,nuclear,p94,recirc,2200
2014,nuclear,p98,recirc,14.5564402183538
2018,nuclear,p98,recirc,3.65234982269573
2014,nuclear,p103,recirc,17.7007874015748
2012,nuclear,p122,recirc,86.7107340745936
2012,nuclear,p127,recirc,88.7660737790678
2014,nuclear,p127,recirc,40.9095818286139
2012,o-g-s,p5,recirc,2.8
2012,o-g-s,p9,recirc,9
2016,o-g-s,p9,recirc,1.3
2012,o-g-s,p10,recirc,4.44
2014,o-g-s,p10,recirc,1.8
2016,o-g-s,p10,recirc,2.7
2018,o-g-s,p10,recirc,1.4
2012,o-g-s,p11,recirc,1
2016,o-g-s,p25,recirc,11.6
2018,o-g-s,p28,recirc,175
2016,o-g-s,p30,recirc,156
2018,o-g-s,p33,recirc,352
2016,o-g-s,p37,recirc,6
2016,o-g-s,p41,recirc,87
2012,o-g-s,p42,recirc,20.5
2012,o-g-s,p43,recirc,6
2018,o-g-s,p43,recirc,22.5
2012,o-g-s,p45,recirc,6.9
2014,o-g-s,p45,recirc,40
2018,o-g-s,p45,recirc,4.3
2012,o-g-s,p48,recirc,2.373
2018,o-g-s,p52,recirc,6
2016,o-g-s,p53,recirc,2
2018,o-g-s,p53,recirc,13.8
2016,o-g-s,p54,recirc,93
2014,o-g-s,p58,recirc,4.262
2016,o-g-s,p58,recirc,575
2018,o-g-s,p58,recirc,50
2018,o-g-s,p65,recirc,28.6
2012,o-g-s,p66,recirc,0.5
2016,o-g-s,p67,recirc,300
2018,o-g-s,p67,recirc,0.5
2012,o-g-s,p70,recirc,18.1
2016,o-g-s,p70,recirc,105.9
2018,o-g-s,p70,recirc,2
2014,o-g-s,p74,recirc,36
2016,o-g-s,p79,recirc,7
2012,o-g-s,p80,recirc,18.9
2012,o-g-s,p83,recirc,10.9
2016,o-g-s,p87,recirc,480
2016,o-g-s,p94,recirc,707
2012,o-g-s,p95,recirc,7.2
2014,o-g-s,p95,recirc,1
2012,o-g-s,p97,recirc,3.6
2014,o-g-s,p97,recirc,5.3
2014,o-g-s,p98,recirc,12.65
2014,o-g-s,p101,recirc,35.055
2014,o-g-s,p106,recirc,13
2016,o-g-s,p106,recirc,418
2014,o-g-s,p108,recirc,65
2016,o-g-s,p111,recirc,21
2016,o-g-s,p112,recirc,1.8
2016,o-g-s,p118,recirc,460
2014,o-g-s,p123,recirc,4.6
2012,o-g-s,p125,recirc,8.8
2014,o-g-s,p125,recirc,21.2
2012,o-g-s,p126,recirc,6
2014,o-g-s,p126,recirc,2
2016,o-g-s,p126,recirc,28.3
2018,o-g-s,p126,recirc,7.8
2016,o-g-s,p127,recirc,5
2020,o-g-s,p131,recirc,0.8
2018,o-g-s,p132,recirc,3.7
2012,o-g-s,p133,recirc,1.8
2016,biopower,p5,dry,1.7
2014,biopower,p9,dry,0.472
2016,biopower,p9,dry,1.2
2020,biopower,p9,dry,2
2014,biopower,p10,dry,1.1
2016,biopower,p10,dry,1.4
2012,biopower,p75,dry,1.4
2014,biopower,p76,dry,1.4
2014,biopower,p77,dry,1.6
2014,biopower,p79,dry,2
2018,biopower,p90,dry,62
2018,biopower,p92,dry,5
2018,biopower,p94,dry,58
2014,biopower,p101,dry,1.6
2016,biopower,p103,dry,1.4
2016,biopower,p105,dry,2
2014,biopower,p112,dry,1
2014,biopower,p127,dry,1.3
2016,biopower,p127,dry,0.35
2018,gas-cc,p67,dry,25.5
2020,gas-cc,p97,dry,586.4
2018,gas-cc,p123,dry,1000
2014,gas-cc,p125,dry,62
2012,gas-cc,p127,dry,543.6
2018,gas-cc,p131,dry,340
2016,gas-cc,p133,dry,19.8112054329372
2012,o-g-s,p9,dry,1.55
2014,o-g-s,p9,dry,1
2016,o-g-s,p9,dry,2
2014,o-g-s,p10,dry,1
2012,o-g-s,p43,dry,1.3
2014,o-g-s,p43,dry,1
2018,o-g-s,p43,dry,0.8
2014,o-g-s,p45,dry,6.9
2016,o-g-s,p45,dry,1.8
2016,o-g-s,p53,dry,2.5
2016,o-g-s,p68,dry,2.9
2014,o-g-s,p69,dry,1.8
2016,o-g-s,p69,dry,8.3
2012,o-g-s,p70,dry,6
2014,o-g-s,p71,dry,3.4
2016,o-g-s,p80,dry,5.4
2014,o-g-s,p81,dry,2.5
2014,o-g-s,p111,dry,14
2016,o-g-s,p115,dry,10
2014,o-g-s,p125,dry,3.7
2014,o-g-s,p127,dry,2.7
2018,o-g-s,p127,dry,2.3
2014,biopower,p107,pond,13.2
2016,coal-new,p76,pond,44.1097122302158
2018,coal-new,p76,pond,45.6463195691203
2012,coal-new,p116,pond,23.7274412170579
2014,coal-new,p116,pond,27.6907697434189
2016,gas-cc,p5,pond,440
2014,gas-cc,p98,pond,625
2014,gas-cc,p101,pond,16.9786535303777
2018,gas-cc,p101,pond,1063
2014,gas-cc,p103,pond,177.922891869388
2012,nuclear,p80,pond,18.2815768302494
2014,nuclear,p80,pond,212.462407016563
2012,nuclear,p102,pond,61.3623255813953
2014,nuclear,p102,pond,61.3623255813953
2014,gas-ct,p5,none,224.2
2012,gas-ct,p9,none,398.8
2014,gas-ct,p9,none,820.15
2016,gas-ct,p9,none,3.5
2012,gas-ct,p10,none,401.525
2014,gas-ct,p10,none,1801.55
2016,gas-ct,p10,none,190
2012,gas-ct,p11,none,3.69
2014,gas-ct,p11,none,48.71
2016,gas-ct,p11,none,291
2018,gas-ct,p11,none,526.5
2016,gas-ct,p16,none,4.6
2012,gas-ct,p17,none,132.3
2012,gas-ct,p18,none,40.5
2016,gas-ct,p21,none,7
2012,gas-ct,p25,none,23
2014,gas-ct,p25,none,6
2016,gas-ct,p25,none,5
2016,gas-ct,p26,none,4.2
2012,gas-ct,p28,none,520.8
2018,gas-ct,p28,none,209.4
2020,gas-ct,p28,none,104.7
2014,gas-ct,p31,none,88.2
2016,gas-ct,p31,none,58
2012,gas-ct,p34,none,180
2016,gas-ct,p34,none,40
2016,gas-ct,p35,none,18
2014,gas-ct,p36,none,248
2016,gas-ct,p36,none,80
2018,gas-ct,p36,none,191.6
2014,gas-ct,p38,none,52
2018,gas-ct,p41,none,9
2014,gas-ct,p43,none,8.8
2018,gas-ct,p43,none,346.8
2018,gas-ct,p45,none,9.75
2012,gas-ct,p47,none,43.5
2014,gas-ct,p47,none,19
2012,gas-ct,p48,none,331.8
2014,gas-ct,p48,none,330
2016,gas-ct,p48,none,738.9
2016,gas-ct,p50,none,232.898
2018,gas-ct,p50,none,399
2014,gas-ct,p52,none,108
2012,gas-ct,p53,none,1.9
2016,gas-ct,p53,none,30.5
2018,gas-ct,p53,none,56.37
2016,gas-ct,p56,none,5.2
2012,gas-ct,p58,none,34.5
2016,gas-ct,p58,none,59.073
2016,gas-ct,p59,none,390
2016,gas-ct,p62,none,294
2016,gas-ct,p63,none,135
2018,gas-ct,p63,none,312.96
2020,gas-ct,p63,none,667
2016,gas-ct,p65,none,219.6
2018,gas-ct,p65,none,286
2020,gas-ct,p65,none,210
2018,gas-ct,p66,none,270
2014,gas-ct,p67,none,149
2016,gas-ct,p67,none,162
2018,gas-ct,p67,none,607.4
2014,gas-ct,p68,none,26
2016,gas-ct,p73,none,24
2018,gas-ct,p74,none,49.8
2020,gas-ct,p74,none,183
2012,gas-ct,p76,none,53.3
2014,gas-ct,p79,none,2.7
2012,gas-ct,p80,none,4.4
2014,gas-ct,p80,none,5.4
2016,gas-ct,p80,none,6.6
2012,gas-ct,p81,none,6.6
2014,gas-ct,p81,none,1.1
2016,gas-ct,p81,none,42
2014,gas-ct,p84,none,46.7
2012,gas-ct,p97,none,741.226
2012,gas-ct,p98,none,5.443
2014,gas-ct,p98,none,56.5
2018,gas-ct,p98,none,90
2018,gas-ct,p99,none,300
2012,gas-ct,p101,none,296
2016,gas-ct,p101,none,462
2014,gas-ct,p102,none,0.1
2018,gas-ct,p102,none,879
2014,gas-ct,p103,none,3.4
2016,gas-ct,p103,none,446.1
2018,gas-ct,p103,none,7.8
2018,gas-ct,p107,none,78.6
2016,gas-ct,p111,none,16.5
2016,gas-ct,p112,none,8
2014,gas-ct,p122,none,70.086
2016,gas-ct,p122,none,21.2
2016,gas-ct,p123,none,120
2018,gas-ct,p123,none,3.12
2012,gas-ct,p125,none,50
2012,gas-ct,p126,none,807.2
2016,gas-ct,p126,none,64
2018,gas-ct,p126,none,128
2014,gas-ct,p127,none,6.91293245469522
2016,gas-ct,p127,none,20.0505766062603
2016,gas-ct,p128,none,1.97
2016,gas-ct,p131,none,3.8
2018,gas-ct,p131,none,200.557
2020,gas-ct,p131,none,13.5
2012,gas-ct,p132,none,329.555
2014,gas-ct,p132,none,10
2018,gas-ct,p132,none,100
2012,geothermal,p7,none,17.7
2016,geothermal,p7,none,2.374
2014,geothermal,p9,none,1.8
2012,geothermal,p10,none,49.9
2014,geothermal,p10,none,2
2018,geothermal,p10,none,16
2012,geothermal,p12,none,78.8
2014,geothermal,p12,none,46
2016,geothermal,p12,none,49
2018,geothermal,p12,none,45.6
2018,geothermal,p16,none,12.5
2014,geothermal,p25,none,39
2012,hydro,p1,none,7.9
2014,hydro,p1,none,36.8467153284672
2018,hydro,p1,none,12.3
2014,hydro,p2,none,3.6
2012,hydro,p3,none,15.9
2014,hydro,p3,none,13.9
2018,hydro,p3,none,0.529411764705882
2012,hydro,p4,none,369.826464208243
2014,hydro,p4,none,332.526045200343
2016,hydro,p4,none,244
2018,hydro,p4,none,244
2012,hydro,p5,none,0.011
2014,hydro,p5,none,7.5
2016,hydro,p5,none,3.997
2012,hydro,p6,none,1.1
2012,hydro,p9,none,38.3
2014,hydro,p9,none,11.7112389380531
2018,hydro,p9,none,11.4
2012,hydro,p12,none,0.225
2014,hydro,p15,none,1.248
2016,hydro,p15,none,1.28
2018,hydro,p15,none,1.2
2020,hydro,p15,none,3.2
2012,hydro,p16,none,3.6
2014,hydro,p17,none,2
2012,hydro,p18,none,13
2014,hydro,p18,none,61
2012,hydro,p21,none,0.3
2016,hydro,p25,none,0.8
2018,hydro,p25,none,11
2012,hydro,p31,none,3
2012,hydro,p33,none,8.1
2016,hydro,p33,none,1.2
2014,hydro,p34,none,15.1
2016,hydro,p34,none,9.7
2018,hydro,p34,none,5.8
2012,hydro,p43,none,9.6
2014,hydro,p44,none,0.5
2012,hydro,p53,none,5
2016,hydro,p55,none,6.8
2016,hydro,p63,none,1.3
2020,hydro,p66,none,26.1
2018,hydro,p70,none,55
2016,hydro,p74,none,9.2
2014,hydro,p76,none,8
2012,hydro,p77,none,0.43
2018,hydro,p80,none,58.26
2018,hydro,p92,none,7.94230769230769
2018,hydro,p93,none,75.9
2012,hydro,p94,none,1.28
2014,hydro,p95,none,2.76
2012,hydro,p97,none,114
2014,hydro,p97,none,27.5
2012,hydro,p98,none,4.4
2014,hydro,p98,none,4.4
2016,hydro,p108,none,87.9
2014,hydro,p109,none,10.2087591240876
2016,hydro,p109,none,111.805839416058
2018,hydro,p109,none,3.4029197080292
2012,hydro,p115,none,0.01
2014,hydro,p115,none,6.6
2016,hydro,p116,none,44
2012,hydro,p122,none,2.4
2014,hydro,p122,none,129.2
2018,hydro,p123,none,6
2012,hydro,p126,none,0.5
2012,hydro,p127,none,5.43333333333333
2014,hydro,p127,none,4.6
2016,hydro,p127,none,0.86
2014,hydro,p129,none,1
2016,hydro,p129,none,3.12
2012,hydro,p130,none,0.13
2012,hydro,p131,none,0.048
2014,hydro,p131,none,0.165
2014,hydro,p132,none,0.5
2018,hydro,p132,none,0.905
2012,hydro,p134,none,0.5
2014,hydro,p134,none,3.07
2012,lfill-gas,p2,none,26
2014,lfill-gas,p5,none,6.4
2012,lfill-gas,p6,none,1.6
2012,lfill-gas,p9,none,5.415
2014,lfill-gas,p9,none,19.198
2016,lfill-gas,p9,none,1.6
2012,lfill-gas,p10,none,33.89
2014,lfill-gas,p10,none,20
2012,lfill-gas,p11,none,5.051
2014,lfill-gas,p11,none,4.4
2012,lfill-gas,p12,none,3.2
2012,lfill-gas,p14,none,3.2
2014,lfill-gas,p25,none,6
2012,lfill-gas,p28,none,3.2
2014,lfill-gas,p41,none,8.799
2012,lfill-gas,p43,none,3
2012,lfill-gas,p46,none,1.1
2012,lfill-gas,p51,none,1.4
2014,lfill-gas,p51,none,2.8
2014,lfill-gas,p53,none,1.9
2012,lfill-gas,p54,none,3.2
2012,lfill-gas,p63,none,6
2016,lfill-gas,p63,none,4
2016,lfill-gas,p65,none,1.4
2014,lfill-gas,p67,none,10.5
2014,lfill-gas,p70,none,4.8
2014,lfill-gas,p72,none,1
2012,lfill-gas,p76,none,4.8
2016,lfill-gas,p76,none,1.6
2012,lfill-gas,p78,none,2.4
2012,lfill-gas,p80,none,19.6
2016,lfill-gas,p80,none,23.96
2014,lfill-gas,p83,none,0.9
2012,lfill-gas,p88,none,1.6
2014,lfill-gas,p89,none,4.8
2012,lfill-gas,p92,none,6.4
2012,lfill-gas,p94,none,6.8
2014,lfill-gas,p94,none,4.8
2016,lfill-gas,p94,none,6.3
2012,lfill-gas,p95,none,1.6
2012,lfill-gas,p96,none,3
2012,lfill-gas,p97,none,10.945
2014,lfill-gas,p97,none,2.3
2018,lfill-gas,p97,none,3.3
2012,lfill-gas,p98,none,15.3
2014,lfill-gas,p98,none,18.5
2016,lfill-gas,p98,none,1.8
2012,lfill-gas,p99,none,12.049
2014,lfill-gas,p99,none,4.8
2012,lfill-gas,p101,none,4
2016,lfill-gas,p102,none,85
2012,lfill-gas,p103,none,31.8
2014,lfill-gas,p103,none,3
2014,lfill-gas,p104,none,3.2
2016,lfill-gas,p104,none,3.2
2012,lfill-gas,p105,none,7.5
2016,lfill-gas,p105,none,6.4
2014,lfill-gas,p109,none,1.6
2016,lfill-gas,p109,none,2.4
2012,lfill-gas,p111,none,22
2014,lfill-gas,p111,none,8.56
2012,lfill-gas,p112,none,6.4
2018,lfill-gas,p114,none,4.8
2012,lfill-gas,p117,none,3.2
2012,lfill-gas,p118,none,1
2014,lfill-gas,p118,none,5.4
2014,lfill-gas,p120,none,6.4
2012,lfill-gas,p122,none,11
2014,lfill-gas,p122,none,6.4
2012,lfill-gas,p123,none,4
2014,lfill-gas,p125,none,2.102
2012,lfill-gas,p126,none,12.1
2012,lfill-gas,p127,none,10.134
2014,lfill-gas,p127,none,6.4
2014,lfill-gas,p128,none,1.8
2016,lfill-gas,p130,none,1.5
2012,lfill-gas,p131,none,3.302
2014,lfill-gas,p133,none,26.291
2014,pumped-hydro,p10,none,33.7371663244353
2012,pumped-hydro,p11,none,42
2012,pumped-hydro,p94,none,124.8
2012,pumped-hydro,p95,none,84
2016,pumped-hydro,p103,none,6.6267474650507
2018,pumped-hydro,p103,none,4.08861822763545
2014,pumped-hydro,p127,none,4.49785714285714
2016,pumped-hydro,p127,none,4.24328571428571
2018,pumped-hydro,p127,none,8.74116857142857
2012,pumped-hydro,p131,none,113.931678082192
2014,pumped-hydro,p131,none,52.7054794520548
2016,pumped-hydro,p131,none,52.7054794520548
