*tech,region,year,sc_point_gid,capacity
wind-ons_9,p19189,2010,31369,162.0
wind-ons_9,p19195,2010,31372,30.0
wind-ons_8,p19081,2010,31748,90.0
wind-ons_9,p19081,2010,31749,60.0
wind-ons_8,p19037,2010,31758,0.5
wind-ons_6,p36009,2010,31850,54.0
wind-ons_8,p19041,2010,32121,0.21
wind-ons_8,p19147,2010,32122,20.79
wind-ons_8,p19081,2010,32128,3.4
wind-ons_9,p19081,2010,32129,36.0
wind-ons_9,p19081,2010,32130,60.0
wind-ons_8,p19067,2010,32136,38.0
wind-ons_8,p19067,2010,32137,42.0
wind-ons_7,p36009,2010,32230,100.5
wind-ons_7,p36009,2010,32231,58.0
wind-ons_9,p42069,2010,32253,54.0
wind-ons_8,p19109,2010,32506,2.3
wind-ons_9,p19081,2010,32510,38.0
wind-ons_7,p19037,2010,32519,0.9
wind-ons_8,p55101,2010,32547,54.0
wind-ons_8,p55101,2010,32548,30.0
wind-ons_10,p42117,2010,32623,100.5
wind-ons_9,p19069,2010,32894,6.0
wind-ons_8,p55101,2010,32927,0.1
wind-ons_8,p42069,2010,33013,10.5
wind-ons_9,p31107,2010,33243,8.91
wind-ons_8,p19035,2010,33258,76.5
wind-ons_9,p19021,2010,33259,0.7
wind-ons_9,p19197,2010,33269,16.2
wind-ons_9,p19069,2010,33274,30.0
wind-ons_9,p31107,2010,33623,8.91
wind-ons_10,p31107,2010,33624,54.27
wind-ons_9,p19035,2010,33638,104.3
wind-ons_10,p19021,2010,33639,0.7
wind-ons_9,p19151,2010,33642,28.6
wind-ons_9,p42079,2010,33772,24.0
wind-ons_10,p31107,2010,34004,8.91
wind-ons_9,p19035,2010,34018,15.0
wind-ons_9,p19021,2010,34019,84.0
wind-ons_9,p19151,2010,34023,125.9
wind-ons_9,p19197,2010,34030,126.0
wind-ons_9,p19069,2010,34032,60.0
wind-ons_10,p19069,2010,34033,66.0
wind-ons_8,p19023,2010,34037,0.9
wind-ons_7,p17085,2010,34055,100.5
wind-ons_10,p31017,2010,34368,59.4
wind-ons_9,p19161,2010,34399,76.5
wind-ons_9,p19025,2010,34402,54.0
wind-ons_9,p19079,2010,34410,24.0
wind-ons_8,p19083,2010,34414,43.7
wind-ons_9,p19161,2010,34782,59.9
wind-ons_9,p19079,2010,34790,35.0
wind-ons_8,p42107,2010,35290,26.0
wind-ons_10,p56007,2010,35464,99.0
wind-ons_10,p56007,2010,35465,19.5
wind-ons_9,p56007,2010,35466,4.9
wind-ons_9,p56001,2010,35467,1.3
wind-ons_9,p19027,2010,35542,159.1
wind-ons_9,p19169,2010,35552,150.0
wind-ons_9,p42107,2010,35670,102.0
wind-ons_7,p56041,2010,35816,48.861
wind-ons_10,p56007,2010,35844,2.5
wind-ons_10,p56007,2010,35845,24.8
wind-ons_10,p56007,2010,35846,25.0
wind-ons_9,p56001,2010,35847,28.8
wind-ons_9,p19027,2010,35921,105.0
wind-ons_8,p19073,2010,35925,14.553
wind-ons_9,p19169,2010,35933,150.0
wind-ons_8,p17141,2010,35962,16.2
wind-ons_7,p56041,2010,36195,142.2
wind-ons_8,p56041,2010,36196,64.08
wind-ons_10,p56007,2010,36224,1.8
wind-ons_10,p56007,2010,36225,32.619
wind-ons_9,p56007,2010,36226,25.0
wind-ons_9,p56001,2010,36227,99.0
wind-ons_8,p19073,2010,36305,0.147
wind-ons_8,p17103,2010,36342,1.5
wind-ons_8,p17037,2010,36343,120.0
wind-ons_7,p56041,2010,36575,15.92
wind-ons_7,p56041,2010,36576,12.139
wind-ons_10,p56007,2010,36605,16.8
wind-ons_9,p56001,2010,36606,8.781
wind-ons_9,p17103,2010,36722,96.0
wind-ons_7,p42063,2010,36792,15.0
wind-ons_9,p17103,2010,37100,20.0
wind-ons_7,p17037,2010,37103,60.0
wind-ons_10,p56021,2010,37374,42.0
wind-ons_7,p17195,2010,37475,1.5
wind-ons_7,p17011,2010,37480,2.5
wind-ons_8,p17099,2010,37481,60.0
wind-ons_9,p42021,2010,37553,2.5
wind-ons_8,p42021,2010,37554,16.0
wind-ons_7,p17011,2010,37860,2.5
wind-ons_9,p56021,2010,38136,29.4
wind-ons_8,p17073,2010,38236,1.5
wind-ons_7,p17011,2010,38238,8.4
wind-ons_7,p17063,2010,38245,51.0
wind-ons_7,p17063,2010,38246,10.5
wind-ons_10,p42013,2010,38315,54.0
wind-ons_7,p31105,2010,38520,10.5
wind-ons_9,p19155,2010,38580,165.2
wind-ons_9,p19001,2010,38584,174.8
wind-ons_8,p17011,2010,38618,53.0
wind-ons_8,p17099,2010,38624,60.0
wind-ons_7,p17099,2010,38625,106.0
wind-ons_7,p17063,2010,38626,49.5
wind-ons_10,p42021,2010,38694,2.0
wind-ons_10,p42013,2010,38695,78.0
wind-ons_7,p17011,2010,38999,72.0
wind-ons_7,p17099,2010,39004,39.0
wind-ons_7,p39033,2010,39045,1.8
wind-ons_8,p39117,2010,39046,1.8
wind-ons_9,p42061,2010,39078,34.5
wind-ons_6,p08123,2010,39274,15.4
wind-ons_7,p08123,2010,39275,9.9
wind-ons_9,p31105,2010,39283,30.0
wind-ons_8,p17175,2010,39378,150.0
wind-ons_7,p39117,2010,39425,1.8
wind-ons_6,p42009,2010,39456,60.0
wind-ons_7,p42057,2010,39460,9.0
wind-ons_7,p34001,2010,39483,7.5
wind-ons_2,p06055,2010,39529,15.5
wind-ons_5,p08123,2010,39654,5.2
wind-ons_8,p08123,2010,39659,192.0
wind-ons_8,p08123,2010,39660,29.0
wind-ons_9,p08123,2010,39662,24.0
wind-ons_8,p08075,2010,39663,42.0
wind-ons_9,p08075,2010,39664,27.0
wind-ons_9,p08075,2010,39665,174.0
wind-ons_8,p08075,2010,39666,60.0
wind-ons_7,p08075,2010,39667,151.8
wind-ons_6,p08075,2010,39668,22.5
wind-ons_7,p39117,2010,39805,1.8
wind-ons_7,p42055,2010,39840,29.4
wind-ons_4,p06055,2010,39908,16.2
wind-ons_6,p08075,2010,40045,54.0
wind-ons_6,p42057,2010,40219,37.8
wind-ons_7,p42055,2010,40220,10.4
wind-ons_1,p49049,2010,40367,18.9
wind-ons_5,p08123,2010,40418,79.5
wind-ons_5,p08075,2010,40424,49.5
wind-ons_5,p08075,2010,40425,29.7
