r,szn,t,Value
p2,wint,2032,1.109
p2,wint,2034,1.112
p2,wint,2036,1.117
p2,wint,2038,1.124
p2,wint,2040,1.133
p2,wint,2042,1.146
p2,wint,2044,1.162
p2,wint,2046,1.18
p2,wint,2048,1.199
p2,wint,2050,1.219
p3,fall,2010,1
p3,fall,2012,1.005
p3,fall,2014,1.011
p3,fall,2016,1.016
p3,fall,2018,1.02
p3,fall,2020,1.023
p3,fall,2022,1.022
p3,fall,2024,1.019
p3,fall,2026,1.015
p3,fall,2028,1.009
p3,fall,2030,1.003
p3,fall,2032,0.996
p3,fall,2034,0.989
p3,fall,2036,0.983
p3,fall,2038,0.978
p3,fall,2040,0.973
p3,fall,2042,0.97
p3,fall,2044,0.968
p3,fall,2046,0.966
p3,fall,2048,0.965
p3,fall,2050,0.964
p3,spri,2010,1
p3,spri,2012,1.022
p3,spri,2014,1.045
p3,spri,2016,1.068
p3,spri,2018,1.089
p3,spri,2020,1.107
p3,spri,2022,1.121
p3,spri,2024,1.132
p3,spri,2026,1.143
p3,spri,2028,1.154
p3,spri,2030,1.164
p3,spri,2032,1.174
p3,spri,2034,1.184
p3,spri,2036,1.194
p3,spri,2038,1.202
p3,spri,2040,1.211
p3,spri,2042,1.218
p3,spri,2044,1.226
p3,spri,2046,1.234
p3,spri,2048,1.242
p3,spri,2050,1.249
p3,summ,2010,1
p3,summ,2012,0.986
p3,summ,2014,0.971
p3,summ,2016,0.955
p3,summ,2018,0.939
p3,summ,2020,0.921
p3,summ,2022,0.902
p3,summ,2024,0.879
p3,summ,2026,0.853
p3,summ,2028,0.825
p3,summ,2030,0.794
p3,summ,2032,0.764
p3,summ,2034,0.733
p3,summ,2036,0.704
p3,summ,2038,0.677
p3,summ,2040,0.653
p3,summ,2042,0.633
p3,summ,2044,0.614
p3,summ,2046,0.597
p3,summ,2048,0.58
p3,summ,2050,0.564
p3,wint,2010,1
p3,wint,2012,1.016
p3,wint,2014,1.032
p3,wint,2016,1.048
p3,wint,2018,1.063
p3,wint,2020,1.075
p3,wint,2022,1.084
p3,wint,2024,1.09
p3,wint,2026,1.093
p3,wint,2028,1.094
p3,wint,2030,1.094
p3,wint,2032,1.094
p3,wint,2034,1.095
p3,wint,2036,1.098
p3,wint,2038,1.103
p3,wint,2040,1.112
p3,wint,2042,1.126
p3,wint,2044,1.143
p3,wint,2046,1.163
p3,wint,2048,1.186
p3,wint,2050,1.209
p4,fall,2010,1
p4,fall,2012,1.005
p4,fall,2014,1.011
p4,fall,2016,1.016
p4,fall,2018,1.02
p4,fall,2020,1.023
p4,fall,2022,1.024
p4,fall,2024,1.024
p4,fall,2026,1.024
p4,fall,2028,1.022
p4,fall,2030,1.021
p4,fall,2032,1.019
p4,fall,2034,1.017
p4,fall,2036,1.015
p4,fall,2038,1.013
p4,fall,2040,1.012
p4,fall,2042,1.011
p4,fall,2044,1.01
p4,fall,2046,1.01
p4,fall,2048,1.009
p4,fall,2050,1.008
p4,spri,2010,1
p4,spri,2012,1.014
p4,spri,2014,1.029
p4,spri,2016,1.043
p4,spri,2018,1.057
p4,spri,2020,1.068
p4,spri,2022,1.078
p4,spri,2024,1.086
p4,spri,2026,1.094
p4,spri,2028,1.102
p4,spri,2030,1.109
p4,spri,2032,1.117
p4,spri,2034,1.125
p4,spri,2036,1.132
p4,spri,2038,1.139
p4,spri,2040,1.147
p4,spri,2042,1.154
p4,spri,2044,1.161
p4,spri,2046,1.169
p4,spri,2048,1.177
p4,spri,2050,1.185
p4,summ,2010,1
p4,summ,2012,0.988
p4,summ,2014,0.975
p4,summ,2016,0.962
p4,summ,2018,0.949
p4,summ,2020,0.935
p4,summ,2022,0.921
p4,summ,2024,0.906
p4,summ,2026,0.889
p4,summ,2028,0.87
p4,summ,2030,0.85
p4,summ,2032,0.83
p4,summ,2034,0.811
p4,summ,2036,0.791
p4,summ,2038,0.774
p4,summ,2040,0.757
p4,summ,2042,0.743
p4,summ,2044,0.73
p4,summ,2046,0.717
p4,summ,2048,0.705
p4,summ,2050,0.693
p4,wint,2010,1
p4,wint,2012,1.014
p4,wint,2014,1.028
p4,wint,2016,1.042
p4,wint,2018,1.056
p4,wint,2020,1.067
p4,wint,2022,1.077
p4,wint,2024,1.085
p4,wint,2026,1.092
p4,wint,2028,1.099
p4,wint,2030,1.106
p4,wint,2032,1.113
p4,wint,2034,1.12
p4,wint,2036,1.127
p4,wint,2038,1.136
p4,wint,2040,1.145
p4,wint,2042,1.156
p4,wint,2044,1.168
p4,wint,2046,1.182
p4,wint,2048,1.196
p4,wint,2050,1.21
p5,fall,2010,1
p5,fall,2012,1.005
p5,fall,2014,1.01
p5,fall,2016,1.014
p5,fall,2018,1.018
p5,fall,2020,1.021
p5,fall,2022,1.021
p5,fall,2024,1.021
p5,fall,2026,1.019
p5,fall,2028,1.017
p5,fall,2030,1.014
p5,fall,2032,1.012
p5,fall,2034,1.009
p5,fall,2036,1.006
p5,fall,2038,1.004
p5,fall,2040,1.002
p5,fall,2042,1.001
p5,fall,2044,1
p5,fall,2046,0.999
p5,fall,2048,0.999
p5,fall,2050,0.998
p5,spri,2010,1
p5,spri,2012,1.014
p5,spri,2014,1.029
p5,spri,2016,1.043
p5,spri,2018,1.057
p5,spri,2020,1.068
p5,spri,2022,1.078
p5,spri,2024,1.086
p5,spri,2026,1.094
p5,spri,2028,1.102
p5,spri,2030,1.109
p5,spri,2032,1.117
p5,spri,2034,1.125
p5,spri,2036,1.132
p5,spri,2038,1.14
p5,spri,2040,1.147
p5,spri,2042,1.154
p5,spri,2044,1.162
p5,spri,2046,1.17
p5,spri,2048,1.178
p5,spri,2050,1.186
p5,summ,2010,1
p5,summ,2012,0.986
p5,summ,2014,0.971
p5,summ,2016,0.956
p5,summ,2018,0.941
p5,summ,2020,0.925
p5,summ,2022,0.91
p5,summ,2024,0.893
p5,summ,2026,0.874
p5,summ,2028,0.854
p5,summ,2030,0.833
p5,summ,2032,0.812
p5,summ,2034,0.791
p5,summ,2036,0.77
p5,summ,2038,0.752
p5,summ,2040,0.735
p5,summ,2042,0.72
p5,summ,2044,0.707
p5,summ,2046,0.694
p5,summ,2048,0.682
p5,summ,2050,0.671
p5,wint,2010,1
p5,wint,2012,1.016
p5,wint,2014,1.033
p5,wint,2016,1.049
p5,wint,2018,1.065
p5,wint,2020,1.079
p5,wint,2022,1.09
p5,wint,2024,1.099
p5,wint,2026,1.106
p5,wint,2028,1.114
p5,wint,2030,1.12
p5,wint,2032,1.127
p5,wint,2034,1.134
p5,wint,2036,1.142
p5,wint,2038,1.151
p5,wint,2040,1.161
p5,wint,2042,1.172
p5,wint,2044,1.186
p5,wint,2046,1.201
p5,wint,2048,1.217
p5,wint,2050,1.232
p6,fall,2010,1
p6,fall,2012,1.005
p6,fall,2014,1.011
p6,fall,2016,1.016
p6,fall,2018,1.021
p6,fall,2020,1.026
p6,fall,2022,1.029
p6,fall,2024,1.031
p6,fall,2026,1.033
p6,fall,2028,1.035
p6,fall,2030,1.037
p6,fall,2032,1.038
p6,fall,2034,1.04
p6,fall,2036,1.042
p6,fall,2038,1.045
p6,fall,2040,1.048
p6,fall,2042,1.053
p6,fall,2044,1.059
p6,fall,2046,1.065
p6,fall,2048,1.072
p6,fall,2050,1.08
p6,spri,2010,1
p6,spri,2012,1.006
p6,spri,2014,1.013
p6,spri,2016,1.02
p6,spri,2018,1.026
p6,spri,2020,1.033
p6,spri,2022,1.038
p6,spri,2024,1.043
p6,spri,2026,1.049
p6,spri,2028,1.054
p6,spri,2030,1.06
p6,spri,2032,1.066
p6,spri,2034,1.072
p6,spri,2036,1.078
p6,spri,2038,1.083
p6,spri,2040,1.088
p6,spri,2042,1.093
p6,spri,2044,1.098
p6,spri,2046,1.104
p6,spri,2048,1.111
p6,spri,2050,1.116
p6,summ,2010,1
p6,summ,2012,0.977
p6,summ,2014,0.953
p6,summ,2016,0.929
p6,summ,2018,0.905
p6,summ,2020,0.882
p6,summ,2022,0.859
p6,summ,2024,0.836
p6,summ,2026,0.811
p6,summ,2028,0.785
p6,summ,2030,0.759
p6,summ,2032,0.732
p6,summ,2034,0.706
p6,summ,2036,0.681
p6,summ,2038,0.657
p6,summ,2040,0.634
p6,summ,2042,0.614
p6,summ,2044,0.596
p6,summ,2046,0.578
p6,summ,2048,0.561
p6,summ,2050,0.544
p6,wint,2010,1
p6,wint,2012,1.028
p6,wint,2014,1.057
p6,wint,2016,1.086
p6,wint,2018,1.114
p6,wint,2020,1.138
p6,wint,2022,1.159
p6,wint,2024,1.176
p6,wint,2026,1.192
p6,wint,2028,1.207
p6,wint,2030,1.221
p6,wint,2032,1.235
p6,wint,2034,1.249
p6,wint,2036,1.265
p6,wint,2038,1.282
p6,wint,2040,1.301
p6,wint,2042,1.323
p6,wint,2044,1.347
p6,wint,2046,1.373
p6,wint,2048,1.4
p6,wint,2050,1.427
p7,fall,2010,1
p7,fall,2012,1.005
p7,fall,2014,1.01
p7,fall,2016,1.014
p7,fall,2018,1.018
p7,fall,2020,1.021
p7,fall,2022,1.021
p7,fall,2024,1.021
p7,fall,2026,1.019
p7,fall,2028,1.017
p7,fall,2030,1.014
p7,fall,2032,1.012
p7,fall,2034,1.009
p7,fall,2036,1.006
p7,fall,2038,1.004
p7,fall,2040,1.002
p7,fall,2042,1.001
p7,fall,2044,1
p7,fall,2046,0.999
p7,fall,2048,0.999
p7,fall,2050,0.998
p7,spri,2010,1
p7,spri,2012,1.014
p7,spri,2014,1.029
p7,spri,2016,1.043
p7,spri,2018,1.057
p7,spri,2020,1.068
p7,spri,2022,1.078
p7,spri,2024,1.086
p7,spri,2026,1.094
p7,spri,2028,1.102
p7,spri,2030,1.109
p7,spri,2032,1.117
p7,spri,2034,1.125
p7,spri,2036,1.132
p7,spri,2038,1.14
p7,spri,2040,1.147
p7,spri,2042,1.154
p7,spri,2044,1.162
p7,spri,2046,1.17
p7,spri,2048,1.178
p7,spri,2050,1.186
p7,summ,2010,1
p7,summ,2012,0.986
p7,summ,2014,0.971
p7,summ,2016,0.956
p7,summ,2018,0.941
p7,summ,2020,0.925
p7,summ,2022,0.91
p7,summ,2024,0.893
p7,summ,2026,0.874
p7,summ,2028,0.854
p7,summ,2030,0.833
p7,summ,2032,0.812
p7,summ,2034,0.791
p7,summ,2036,0.77
p7,summ,2038,0.752
p7,summ,2040,0.735
p7,summ,2042,0.72
p7,summ,2044,0.707
p7,summ,2046,0.694
p7,summ,2048,0.682
p7,summ,2050,0.671
p7,wint,2010,1
p7,wint,2012,1.016
p7,wint,2014,1.033
p7,wint,2016,1.049
p7,wint,2018,1.065
p7,wint,2020,1.079
p7,wint,2022,1.09
p7,wint,2024,1.099
p7,wint,2026,1.106
p7,wint,2028,1.114
p7,wint,2030,1.12
p7,wint,2032,1.127
p7,wint,2034,1.134
p7,wint,2036,1.142
p7,wint,2038,1.151
p7,wint,2040,1.161
p7,wint,2042,1.172
p7,wint,2044,1.186
p7,wint,2046,1.201
p7,wint,2048,1.217
p7,wint,2050,1.232
p8,fall,2010,1
p8,fall,2012,1
p8,fall,2014,0.999
p8,fall,2016,0.998
p8,fall,2018,0.998
p8,fall,2020,0.998
p8,fall,2022,0.998
p8,fall,2024,0.997
p8,fall,2026,0.992
p8,fall,2028,0.985
p8,fall,2030,0.977
p8,fall,2032,0.969
p8,fall,2034,0.962
p8,fall,2036,0.957
p8,fall,2038,0.956
p8,fall,2040,0.959
p8,fall,2042,0.967
p8,fall,2044,0.98
p8,fall,2046,0.996
p8,fall,2048,1.014
p8,fall,2050,1.034
p8,spri,2010,1
p8,spri,2012,1
p8,spri,2014,1
p8,spri,2016,1
p8,spri,2018,0.999
p8,spri,2020,0.997
p8,spri,2022,0.995
p8,spri,2024,0.991
p8,spri,2026,0.985
p8,spri,2028,0.977
p8,spri,2030,0.968
p8,spri,2032,0.96
p8,spri,2034,0.952
p8,spri,2036,0.944
p8,spri,2038,0.939
p8,spri,2040,0.935
p8,spri,2042,0.934
p8,spri,2044,0.934
p8,spri,2046,0.936
p8,spri,2048,0.938
p8,spri,2050,0.94
p8,summ,2010,1
p8,summ,2012,1.033
p8,summ,2014,1.068
p8,summ,2016,1.1
p8,summ,2018,1.127
p8,summ,2020,1.146
p8,summ,2022,1.153
p8,summ,2024,1.149
p8,summ,2026,1.14
p8,summ,2028,1.127
p8,summ,2030,1.11
p8,summ,2032,1.091
p8,summ,2034,1.071
p8,summ,2036,1.051
p8,summ,2038,1.032
p8,summ,2040,1.016
p8,summ,2042,1.002
p8,summ,2044,0.988
p8,summ,2046,0.974
p8,summ,2048,0.958
p8,summ,2050,0.943
p8,wint,2010,1
p8,wint,2012,1.029
p8,wint,2014,1.058
p8,wint,2016,1.087
p8,wint,2018,1.114
p8,wint,2020,1.138
p8,wint,2022,1.157
p8,wint,2024,1.17
p8,wint,2026,1.176
p8,wint,2028,1.178
p8,wint,2030,1.177
p8,wint,2032,1.177
p8,wint,2034,1.179
p8,wint,2036,1.186
p8,wint,2038,1.2
p8,wint,2040,1.223
p8,wint,2042,1.258
p8,wint,2044,1.303
p8,wint,2046,1.355
p8,wint,2048,1.413
p8,wint,2050,1.473
p9,fall,2010,1
p9,fall,2012,1.013
p9,fall,2014,1.026
p9,fall,2016,1.039
p9,fall,2018,1.05
p9,fall,2020,1.06
p9,fall,2022,1.067
p9,fall,2024,1.071
p9,fall,2026,1.075
p9,fall,2028,1.078
p9,fall,2030,1.081
p9,fall,2032,1.084
p9,fall,2034,1.086
p9,fall,2036,1.089
p9,fall,2038,1.091
p9,fall,2040,1.094
p9,fall,2042,1.098
p9,fall,2044,1.103
p9,fall,2046,1.109
p9,fall,2048,1.115
p9,fall,2050,1.12
p9,spri,2010,1
p9,spri,2012,1.002
p9,spri,2014,1.004
p9,spri,2016,1.005
p9,spri,2018,1.007
p9,spri,2020,1.007
p9,spri,2022,1.007
p9,spri,2024,1.006
p9,spri,2026,1.003
p9,spri,2028,1
p9,spri,2030,0.997
p9,spri,2032,0.993
p9,spri,2034,0.99
p9,spri,2036,0.988
p9,spri,2038,0.986
p9,spri,2040,0.985
p9,spri,2042,0.986
p9,spri,2044,0.988
p9,spri,2046,0.992
p9,spri,2048,0.995
p9,spri,2050,1
p9,summ,2010,1
p9,summ,2012,0.984
p9,summ,2014,0.968
p9,summ,2016,0.953
p9,summ,2018,0.937
p9,summ,2020,0.921
p9,summ,2022,0.903
p9,summ,2024,0.885
p9,summ,2026,0.865
p9,summ,2028,0.845
p9,summ,2030,0.824
p9,summ,2032,0.803
p9,summ,2034,0.782
p9,summ,2036,0.762
p9,summ,2038,0.743
p9,summ,2040,0.726
p9,summ,2042,0.711
p9,summ,2044,0.696
p9,summ,2046,0.682
p9,summ,2048,0.669
p9,summ,2050,0.657
p9,wint,2010,1
p9,wint,2012,1.028
p9,wint,2014,1.057
p9,wint,2016,1.084
p9,wint,2018,1.109
p9,wint,2020,1.129
p9,wint,2022,1.144
p9,wint,2024,1.152
p9,wint,2026,1.154
p9,wint,2028,1.152
p9,wint,2030,1.148
p9,wint,2032,1.143
p9,wint,2034,1.139
p9,wint,2036,1.138
p9,wint,2038,1.141
p9,wint,2040,1.15
p9,wint,2042,1.166
p9,wint,2044,1.188
p9,wint,2046,1.213
p9,wint,2048,1.241
p9,wint,2050,1.27
p10,fall,2010,1
p10,fall,2012,1.01
p10,fall,2014,1.019
p10,fall,2016,1.027
p10,fall,2018,1.034
p10,fall,2020,1.038
p10,fall,2022,1.039
p10,fall,2024,1.035
p10,fall,2026,1.028
p10,fall,2028,1.017
p10,fall,2030,1.004
p10,fall,2032,0.99
p10,fall,2034,0.975
p10,fall,2036,0.96
p10,fall,2038,0.947
p10,fall,2040,0.936
p10,fall,2042,0.928
p10,fall,2044,0.921
p10,fall,2046,0.916
p10,fall,2048,0.91
p10,fall,2050,0.905
p10,spri,2010,1
p10,spri,2012,1.025
p10,spri,2014,1.05
p10,spri,2016,1.074
p10,spri,2018,1.095
p10,spri,2020,1.109
p10,spri,2022,1.116
p10,spri,2024,1.113
p10,spri,2026,1.102
p10,spri,2028,1.085
p10,spri,2030,1.064
p10,spri,2032,1.042
p10,spri,2034,1.02
p10,spri,2036,1.001
p10,spri,2038,0.988
p10,spri,2040,0.982
p10,spri,2042,0.984
p10,spri,2044,0.991
p10,spri,2046,1.001
p10,spri,2048,1.014
p10,spri,2050,1.028
p10,summ,2010,1
p10,summ,2012,1.012
p10,summ,2014,1.023
p10,summ,2016,1.034
p10,summ,2018,1.041
p10,summ,2020,1.045
p10,summ,2022,1.042
p10,summ,2024,1.033
p10,summ,2026,1.017
p10,summ,2028,0.996
p10,summ,2030,0.972
p10,summ,2032,0.947
p10,summ,2034,0.921
p10,summ,2036,0.896
p10,summ,2038,0.874
p10,summ,2040,0.856
p10,summ,2042,0.843
p10,summ,2044,0.831
p10,summ,2046,0.82
p10,summ,2048,0.809
p10,summ,2050,0.799
p10,wint,2010,1
p10,wint,2012,1.017
p10,wint,2014,1.034
p10,wint,2016,1.05
p10,wint,2018,1.064
p10,wint,2020,1.074
p10,wint,2022,1.079
p10,wint,2024,1.074
p10,wint,2026,1.057
p10,wint,2028,1.03
p10,wint,2030,0.998
p10,wint,2032,0.965
p10,wint,2034,0.934
p10,wint,2036,0.91
p10,wint,2038,0.897
p10,wint,2040,0.898
p10,wint,2042,0.916
p10,wint,2044,0.948
p10,wint,2046,0.988
p10,wint,2048,1.036
p10,wint,2050,1.087
p11,fall,2010,1
p11,fall,2012,1.025
p11,fall,2014,1.051
p11,fall,2016,1.076
p11,fall,2018,1.097
p11,fall,2020,1.113
p11,fall,2022,1.121
p11,fall,2024,1.122
p11,fall,2026,1.118
p11,fall,2028,1.11
p11,fall,2030,1.098
p11,fall,2032,1.085
p11,fall,2034,1.071
p11,fall,2036,1.056
p11,fall,2038,1.044
p11,fall,2040,1.034
p11,fall,2042,1.026
p11,fall,2044,1.018
p11,fall,2046,1.01
p11,fall,2048,1
p11,fall,2050,0.991
p11,spri,2010,1
p11,spri,2012,1.029
p11,spri,2014,1.059
p11,spri,2016,1.087
p11,spri,2018,1.11
p11,spri,2020,1.124
p11,spri,2022,1.126
p11,spri,2024,1.11
p11,spri,2026,1.078
p11,spri,2028,1.033
p11,spri,2030,0.981
p11,spri,2032,0.926
p11,spri,2034,0.873
p11,spri,2036,0.827
p11,spri,2038,0.792
p11,spri,2040,0.772
p11,spri,2042,0.771
p11,spri,2044,0.781
p11,spri,2046,0.798
p11,spri,2048,0.822
p11,spri,2050,0.85
p11,summ,2010,1
p11,summ,2012,1.03
p11,summ,2014,1.06
p11,summ,2016,1.089
p11,summ,2018,1.113
p11,summ,2020,1.13
p11,summ,2022,1.139
p11,summ,2024,1.136
p11,summ,2026,1.122
p11,summ,2028,1.101
p11,summ,2030,1.074
p11,summ,2032,1.046
p11,summ,2034,1.017
p11,summ,2036,0.992
p11,summ,2038,0.973
p11,summ,2040,0.962
p11,summ,2042,0.962
p11,summ,2044,0.963
p11,summ,2046,0.967
p11,summ,2048,0.972
p11,summ,2050,0.98
p11,wint,2010,1
p11,wint,2012,1.025
p11,wint,2014,1.049
p11,wint,2016,1.071
p11,wint,2018,1.089
p11,wint,2020,1.104
p11,wint,2022,1.113
p11,wint,2024,1.107
p11,wint,2026,1.084
p11,wint,2028,1.049
p11,wint,2030,1.006
p11,wint,2032,0.961
p11,wint,2034,0.919
p11,wint,2036,0.886
p11,wint,2038,0.867
p11,wint,2040,0.866
p11,wint,2042,0.889
p11,wint,2044,0.927
p11,wint,2046,0.978
p11,wint,2048,1.036
p11,wint,2050,1.1
p12,fall,2010,1
p12,fall,2012,1.018
p12,fall,2014,1.036
p12,fall,2016,1.054
p12,fall,2018,1.07
p12,fall,2020,1.083
p12,fall,2022,1.092
p12,fall,2024,1.099
p12,fall,2026,1.106
p12,fall,2028,1.114
p12,fall,2030,1.121
p12,fall,2032,1.128
p12,fall,2034,1.134
p12,fall,2036,1.139
p12,fall,2038,1.143
p12,fall,2040,1.146
p12,fall,2042,1.147
p12,fall,2044,1.147
p12,fall,2046,1.145
p12,fall,2048,1.142
p12,fall,2050,1.138
p12,spri,2010,1
p12,spri,2012,1.025
p12,spri,2014,1.05
p12,spri,2016,1.073
p12,spri,2018,1.094
p12,spri,2020,1.11
p12,spri,2022,1.122
p12,spri,2024,1.126
p12,spri,2026,1.124
p12,spri,2028,1.118
p12,spri,2030,1.108
p12,spri,2032,1.097
p12,spri,2034,1.085
p12,spri,2036,1.076
p12,spri,2038,1.069
p12,spri,2040,1.068
p12,spri,2042,1.072
p12,spri,2044,1.078
p12,spri,2046,1.086
p12,spri,2048,1.094
p12,spri,2050,1.104
p12,summ,2010,1
p12,summ,2012,1.003
p12,summ,2014,1.008
p12,summ,2016,1.012
p12,summ,2018,1.014
p12,summ,2020,1.013
p12,summ,2022,1.008
p12,summ,2024,0.999
p12,summ,2026,0.989
p12,summ,2028,0.978
p12,summ,2030,0.966
p12,summ,2032,0.954
p12,summ,2034,0.941
p12,summ,2036,0.928
p12,summ,2038,0.916
p12,summ,2040,0.904
p12,summ,2042,0.893
p12,summ,2044,0.881
p12,summ,2046,0.868
p12,summ,2048,0.855
p12,summ,2050,0.842
p12,wint,2010,1
p12,wint,2012,1.01
p12,wint,2014,1.021
p12,wint,2016,1.031
p12,wint,2018,1.04
p12,wint,2020,1.047
p12,wint,2022,1.051
p12,wint,2024,1.049
p12,wint,2026,1.039
p12,wint,2028,1.024
p12,wint,2030,1.008
p12,wint,2032,0.991
p12,wint,2034,0.978
p12,wint,2036,0.969
p12,wint,2038,0.969
p12,wint,2040,0.979
p12,wint,2042,1.002
p12,wint,2044,1.036
p12,wint,2046,1.079
p12,wint,2048,1.128
p12,wint,2050,1.18
p13,fall,2010,1
p13,fall,2012,1.018
p13,fall,2014,1.036
p13,fall,2016,1.054
p13,fall,2018,1.07
p13,fall,2020,1.083
p13,fall,2022,1.092
p13,fall,2024,1.099
p13,fall,2026,1.106
p13,fall,2028,1.114
p13,fall,2030,1.121
p13,fall,2032,1.128
p13,fall,2034,1.134
p13,fall,2036,1.139
p13,fall,2038,1.143
p13,fall,2040,1.146
p13,fall,2042,1.147
p13,fall,2044,1.147
p13,fall,2046,1.145
p13,fall,2048,1.142
p13,fall,2050,1.138
p13,spri,2010,1
p13,spri,2012,1.025
p13,spri,2014,1.05
p13,spri,2016,1.073
p13,spri,2018,1.094
p13,spri,2020,1.11
p13,spri,2022,1.122
p13,spri,2024,1.126
p13,spri,2026,1.124
p13,spri,2028,1.118
p13,spri,2030,1.108
p13,spri,2032,1.097
p13,spri,2034,1.085
p13,spri,2036,1.076
p13,spri,2038,1.069
p13,spri,2040,1.068
p13,spri,2042,1.072
p13,spri,2044,1.078
p13,spri,2046,1.086
p13,spri,2048,1.094
p13,spri,2050,1.104
p13,summ,2010,1
p13,summ,2012,1.003
p13,summ,2014,1.008
p13,summ,2016,1.012
p13,summ,2018,1.014
p13,summ,2020,1.013
p13,summ,2022,1.008
p13,summ,2024,0.999
p13,summ,2026,0.989
p13,summ,2028,0.978
p13,summ,2030,0.966
p13,summ,2032,0.954
p13,summ,2034,0.941
p13,summ,2036,0.928
p13,summ,2038,0.916
p13,summ,2040,0.904
p13,summ,2042,0.893
p13,summ,2044,0.881
p13,summ,2046,0.868
p13,summ,2048,0.855
p13,summ,2050,0.842
p13,wint,2010,1
p13,wint,2012,1.01
p13,wint,2014,1.021
p13,wint,2016,1.031
p13,wint,2018,1.04
p13,wint,2020,1.047
p13,wint,2022,1.051
p13,wint,2024,1.049
p13,wint,2026,1.039
p13,wint,2028,1.024
p13,wint,2030,1.008
p13,wint,2032,0.991
p13,wint,2034,0.978
