*i,month,r,value
hydD,FEB,p157,1.0
hydD,FEB,p158,1.0
hydD,FEB,p159,1.0
hydD,FEB,p16,1.0
hydD,FEB,p160,1.0
hydD,FEB,p161,1.0
hydD,FEB,p162,1.0
hydD,FEB,p163,1.0
hydD,FEB,p164,1.0
hydD,FEB,p165,1.0
hydD,FEB,p166,1.0
hydD,FEB,p167,1.0
hydD,FEB,p168,1.0
hydD,FEB,p169,1.0
hydD,FEB,p17,1.0
hydD,FEB,p170,1.0
hydD,FEB,p171,1.0
hydD,FEB,p172,1.0
hydD,FEB,p173,1.0
hydD,FEB,p174,1.0
hydD,FEB,p175,1.0
hydD,FEB,p176,1.0
hydD,FEB,p177,1.0
hydD,FEB,p178,1.0
hydD,FEB,p179,1.0
hydD,FEB,p18,1.0
hydD,FEB,p180,1.0
hydD,FEB,p181,1.0
hydD,FEB,p182,1.0
hydD,FEB,p183,1.0
hydD,FEB,p184,1.0
hydD,FEB,p185,1.0
hydD,FEB,p186,1.0
hydD,FEB,p187,1.0
hydD,FEB,p188,1.0
hydD,FEB,p189,1.0
hydD,FEB,p19,1.0
hydD,FEB,p190,1.0
hydD,FEB,p191,1.0
hydD,FEB,p192,1.0
hydD,FEB,p193,1.0
hydD,FEB,p194,1.0
hydD,FEB,p195,1.0
hydD,FEB,p196,1.0
hydD,FEB,p197,1.0
hydD,FEB,p198,1.0
hydD,FEB,p199,1.0
hydD,FEB,p2,1.0
hydD,FEB,p20,1.0
hydD,FEB,p200,1.0
hydD,FEB,p201,1.0
hydD,FEB,p202,1.0
hydD,FEB,p203,1.0
hydD,FEB,p204,1.0
hydD,FEB,p205,1.0
hydD,FEB,p21,1.0
hydD,FEB,p22,1.0
hydD,FEB,p23,1.0
hydD,FEB,p24,1.0
hydD,FEB,p25,1.0
hydD,FEB,p26,1.0
hydD,FEB,p27,1.0
hydD,FEB,p28,1.0
hydD,FEB,p29,1.0
hydD,FEB,p3,1.0
hydD,FEB,p30,1.0
hydD,FEB,p31,1.0
hydD,FEB,p32,1.0
hydD,FEB,p33,1.0
hydD,FEB,p34,1.0
hydD,FEB,p35,1.0
hydD,FEB,p36,1.0
hydD,FEB,p37,1.0
hydD,FEB,p38,1.0
hydD,FEB,p39,1.0
hydD,FEB,p4,1.0
hydD,FEB,p40,1.0
hydD,FEB,p41,1.0
hydD,FEB,p42,1.0
hydD,FEB,p43,1.0
hydD,FEB,p44,1.0
hydD,FEB,p45,1.0
hydD,FEB,p46,1.0
hydD,FEB,p47,1.0
hydD,FEB,p48,1.0
hydD,FEB,p49,1.0
hydD,FEB,p5,1.0
hydD,FEB,p50,1.0
hydD,FEB,p51,1.0
hydD,FEB,p52,1.0
hydD,FEB,p53,1.0
hydD,FEB,p54,1.0
hydD,FEB,p55,1.0
hydD,FEB,p56,1.0
hydD,FEB,p57,1.0
hydD,FEB,p58,1.0
hydD,FEB,p59,1.0
hydD,FEB,p6,1.0
hydD,FEB,p60,1.0
hydD,FEB,p61,1.0
hydD,FEB,p62,1.0
hydD,FEB,p63,1.0
hydD,FEB,p64,1.0
hydD,FEB,p65,1.0
hydD,FEB,p66,1.0
hydD,FEB,p67,1.0
hydD,FEB,p68,1.0
hydD,FEB,p69,1.0
hydD,FEB,p7,1.0
hydD,FEB,p70,1.0
hydD,FEB,p71,1.0
hydD,FEB,p72,1.0
hydD,FEB,p73,1.0
hydD,FEB,p74,1.0
hydD,FEB,p75,1.0
hydD,FEB,p76,1.0
hydD,FEB,p77,1.0
hydD,FEB,p78,1.0
hydD,FEB,p79,1.0
hydD,FEB,p8,1.0
hydD,FEB,p80,1.0
hydD,FEB,p81,1.0
hydD,FEB,p82,1.0
hydD,FEB,p83,1.0
hydD,FEB,p84,1.0
hydD,FEB,p85,1.0
hydD,FEB,p86,1.0
hydD,FEB,p87,1.0
hydD,FEB,p88,1.0
hydD,FEB,p89,1.0
hydD,FEB,p9,1.0
hydD,FEB,p90,1.0
hydD,FEB,p91,1.0
hydD,FEB,p92,1.0
hydD,FEB,p93,1.0
hydD,FEB,p94,1.0
hydD,FEB,p95,1.0
hydD,FEB,p96,1.0
hydD,FEB,p97,1.0
hydD,FEB,p98,1.0
hydD,FEB,p99,1.0
hydD,MAR,p1,1.0
hydD,MAR,p10,1.0
hydD,MAR,p100,1.0
hydD,MAR,p101,1.0
hydD,MAR,p102,1.0
hydD,MAR,p103,1.0
hydD,MAR,p104,1.0
hydD,MAR,p105,1.0
hydD,MAR,p106,1.0
hydD,MAR,p107,1.0
hydD,MAR,p108,1.0
hydD,MAR,p109,1.0
hydD,MAR,p11,1.0
hydD,MAR,p110,1.0
hydD,MAR,p111,1.0
hydD,MAR,p112,1.0
hydD,MAR,p113,1.0
hydD,MAR,p114,1.0
hydD,MAR,p115,1.0
hydD,MAR,p116,1.0
hydD,MAR,p117,1.0
hydD,MAR,p118,1.0
hydD,MAR,p119,1.0
hydD,MAR,p12,1.0
hydD,MAR,p120,1.0
hydD,MAR,p121,1.0
hydD,MAR,p122,1.0
hydD,MAR,p123,1.0
hydD,MAR,p124,1.0
hydD,MAR,p125,1.0
hydD,MAR,p126,1.0
hydD,MAR,p127,1.0
hydD,MAR,p128,1.0
hydD,MAR,p129,1.0
hydD,MAR,p13,1.0
hydD,MAR,p130,1.0
hydD,MAR,p131,1.0
hydD,MAR,p132,1.0
hydD,MAR,p133,1.0
hydD,MAR,p134,1.0
hydD,MAR,p135,1.0
hydD,MAR,p136,1.0
hydD,MAR,p137,1.0
hydD,MAR,p138,1.0
hydD,MAR,p139,1.0
hydD,MAR,p14,1.0
hydD,MAR,p140,1.0
hydD,MAR,p141,1.0
hydD,MAR,p142,1.0
hydD,MAR,p143,1.0
hydD,MAR,p144,1.0
hydD,MAR,p145,1.0
hydD,MAR,p146,1.0
hydD,MAR,p147,1.0
hydD,MAR,p148,1.0
hydD,MAR,p149,1.0
hydD,MAR,p15,1.0
hydD,MAR,p150,1.0
hydD,MAR,p151,1.0
hydD,MAR,p152,1.0
hydD,MAR,p153,1.0
hydD,MAR,p154,1.0
hydD,MAR,p155,1.0
hydD,MAR,p156,1.0
hydD,MAR,p157,1.0
hydD,MAR,p158,1.0
hydD,MAR,p159,1.0
hydD,MAR,p16,1.0
hydD,MAR,p160,1.0
hydD,MAR,p161,1.0
hydD,MAR,p162,1.0
hydD,MAR,p163,1.0
hydD,MAR,p164,1.0
hydD,MAR,p165,1.0
hydD,MAR,p166,1.0
hydD,MAR,p167,1.0
hydD,MAR,p168,1.0
hydD,MAR,p169,1.0
hydD,MAR,p17,1.0
hydD,MAR,p170,1.0
hydD,MAR,p171,1.0
hydD,MAR,p172,1.0
hydD,MAR,p173,1.0
hydD,MAR,p174,1.0
hydD,MAR,p175,1.0
hydD,MAR,p176,1.0
hydD,MAR,p177,1.0
hydD,MAR,p178,1.0
hydD,MAR,p179,1.0
hydD,MAR,p18,1.0
hydD,MAR,p180,1.0
hydD,MAR,p181,1.0
hydD,MAR,p182,1.0
hydD,MAR,p183,1.0
hydD,MAR,p184,1.0
hydD,MAR,p185,1.0
hydD,MAR,p186,1.0
hydD,MAR,p187,1.0
hydD,MAR,p188,1.0
hydD,MAR,p189,1.0
hydD,MAR,p19,1.0
hydD,MAR,p190,1.0
hydD,MAR,p191,1.0
hydD,MAR,p192,1.0
hydD,MAR,p193,1.0
hydD,MAR,p194,1.0
hydD,MAR,p195,1.0
hydD,MAR,p196,1.0
hydD,MAR,p197,1.0
hydD,MAR,p198,1.0
hydD,MAR,p199,1.0
hydD,MAR,p2,1.0
hydD,MAR,p20,1.0
hydD,MAR,p200,1.0
hydD,MAR,p201,1.0
hydD,MAR,p202,1.0
hydD,MAR,p203,1.0
hydD,MAR,p204,1.0
hydD,MAR,p205,1.0
hydD,MAR,p21,1.0
hydD,MAR,p22,1.0
hydD,MAR,p23,1.0
hydD,MAR,p24,1.0
hydD,MAR,p25,1.0
hydD,MAR,p26,1.0
hydD,MAR,p27,1.0
hydD,MAR,p28,1.0
hydD,MAR,p29,1.0
hydD,MAR,p3,1.0
hydD,MAR,p30,1.0
hydD,MAR,p31,1.0
hydD,MAR,p32,1.0
hydD,MAR,p33,1.0
hydD,MAR,p34,1.0
hydD,MAR,p35,1.0
hydD,MAR,p36,1.0
hydD,MAR,p37,1.0
hydD,MAR,p38,1.0
hydD,MAR,p39,1.0
hydD,MAR,p4,1.0
hydD,MAR,p40,1.0
hydD,MAR,p41,1.0
hydD,MAR,p42,1.0
hydD,MAR,p43,1.0
hydD,MAR,p44,1.0
hydD,MAR,p45,1.0
hydD,MAR,p46,1.0
hydD,MAR,p47,1.0
hydD,MAR,p48,1.0
hydD,MAR,p49,1.0
hydD,MAR,p5,1.0
hydD,MAR,p50,1.0
hydD,MAR,p51,1.0
hydD,MAR,p52,1.0
hydD,MAR,p53,1.0
hydD,MAR,p54,1.0
hydD,MAR,p55,1.0
hydD,MAR,p56,1.0
hydD,MAR,p57,1.0
hydD,MAR,p58,1.0
hydD,MAR,p59,1.0
hydD,MAR,p6,1.0
hydD,MAR,p60,1.0
hydD,MAR,p61,1.0
hydD,MAR,p62,1.0
hydD,MAR,p63,1.0
hydD,MAR,p64,1.0
hydD,MAR,p65,1.0
hydD,MAR,p66,1.0
hydD,MAR,p67,1.0
hydD,MAR,p68,1.0
hydD,MAR,p69,1.0
hydD,MAR,p7,1.0
hydD,MAR,p70,1.0
hydD,MAR,p71,1.0
hydD,MAR,p72,1.0
hydD,MAR,p73,1.0
hydD,MAR,p74,1.0
hydD,MAR,p75,1.0
hydD,MAR,p76,1.0
hydD,MAR,p77,1.0
hydD,MAR,p78,1.0
hydD,MAR,p79,1.0
hydD,MAR,p8,1.0
hydD,MAR,p80,1.0
hydD,MAR,p81,1.0
hydD,MAR,p82,1.0
hydD,MAR,p83,1.0
hydD,MAR,p84,1.0
hydD,MAR,p85,1.0
hydD,MAR,p86,1.0
hydD,MAR,p87,1.0
hydD,MAR,p88,1.0
hydD,MAR,p89,1.0
hydD,MAR,p9,1.0
hydD,MAR,p90,1.0
hydD,MAR,p91,1.0
hydD,MAR,p92,1.0
hydD,MAR,p93,1.0
hydD,MAR,p94,1.0
hydD,MAR,p95,1.0
hydD,MAR,p96,1.0
hydD,MAR,p97,1.0
hydD,MAR,p98,1.0
hydD,MAR,p99,1.0
hydD,APR,p1,1.0
hydD,APR,p10,1.0
hydD,APR,p100,1.0
hydD,APR,p101,1.0
hydD,APR,p102,1.0
hydD,APR,p103,1.0
hydD,APR,p104,1.0
hydD,APR,p105,1.0
hydD,APR,p106,1.0
hydD,APR,p107,1.0
hydD,APR,p108,1.0
hydD,APR,p109,1.0
hydD,APR,p11,1.0
hydD,APR,p110,1.0
hydD,APR,p111,1.0
hydD,APR,p112,1.0
hydD,APR,p113,1.0
hydD,APR,p114,1.0
hydD,APR,p115,1.0
hydD,APR,p116,1.0
hydD,APR,p117,1.0
hydD,APR,p118,1.0
hydD,APR,p119,1.0
hydD,APR,p12,1.0
hydD,APR,p120,1.0
hydD,APR,p121,1.0
hydD,APR,p122,1.0
hydD,APR,p123,1.0
hydD,APR,p124,1.0
hydD,APR,p125,1.0
hydD,APR,p126,1.0
hydD,APR,p127,1.0
hydD,APR,p128,1.0
hydD,APR,p129,1.0
hydD,APR,p13,1.0
hydD,APR,p130,1.0
hydD,APR,p131,1.0
hydD,APR,p132,1.0
hydD,APR,p133,1.0
hydD,APR,p134,1.0
hydD,APR,p135,1.0
hydD,APR,p136,1.0
hydD,APR,p137,1.0
hydD,APR,p138,1.0
hydD,APR,p139,1.0
hydD,APR,p14,1.0
hydD,APR,p140,1.0
hydD,APR,p141,1.0
hydD,APR,p142,1.0
hydD,APR,p143,1.0
hydD,APR,p144,1.0
hydD,APR,p145,1.0
hydD,APR,p146,1.0
hydD,APR,p147,1.0
hydD,APR,p148,1.0
hydD,APR,p149,1.0
hydD,APR,p15,1.0
hydD,APR,p150,1.0
hydD,APR,p151,1.0
hydD,APR,p152,1.0
hydD,APR,p153,1.0
hydD,APR,p154,1.0
hydD,APR,p155,1.0
hydD,APR,p156,1.0
hydD,APR,p157,1.0
hydD,APR,p158,1.0
hydD,APR,p159,1.0
hydD,APR,p16,1.0
hydD,APR,p160,1.0
hydD,APR,p161,1.0
hydD,APR,p162,1.0
hydD,APR,p163,1.0
hydD,APR,p164,1.0
hydD,APR,p165,1.0
hydD,APR,p166,1.0
hydD,APR,p167,1.0
hydD,APR,p168,1.0
hydD,APR,p169,1.0
hydD,APR,p17,1.0
hydD,APR,p170,1.0
hydD,APR,p171,1.0
hydD,APR,p172,1.0
hydD,APR,p173,1.0
hydD,APR,p174,1.0
hydD,APR,p175,1.0
hydD,APR,p176,1.0
hydD,APR,p177,1.0
hydD,APR,p178,1.0
hydD,APR,p179,1.0
hydD,APR,p18,1.0
hydD,APR,p180,1.0
hydD,APR,p181,1.0
hydD,APR,p182,1.0
hydD,APR,p183,1.0
hydD,APR,p184,1.0
hydD,APR,p185,1.0
hydD,APR,p186,1.0
hydD,APR,p187,1.0
hydD,APR,p188,1.0
hydD,APR,p189,1.0
hydD,APR,p19,1.0
hydD,APR,p190,1.0
hydD,APR,p191,1.0
hydD,APR,p192,1.0
hydD,APR,p193,1.0
hydD,APR,p194,1.0
hydD,APR,p195,1.0
hydD,APR,p196,1.0
hydD,APR,p197,1.0
hydD,APR,p198,1.0
hydD,APR,p199,1.0
hydD,APR,p2,1.0
hydD,APR,p20,1.0
hydD,APR,p200,1.0
hydD,APR,p201,1.0
hydD,APR,p202,1.0
hydD,APR,p203,1.0
hydD,APR,p204,1.0
hydD,APR,p205,1.0
hydD,APR,p21,1.0
hydD,APR,p22,1.0
hydD,APR,p23,1.0
hydD,APR,p24,1.0
hydD,APR,p25,1.0
hydD,APR,p26,1.0
hydD,APR,p27,1.0
hydD,APR,p28,1.0
hydD,APR,p29,1.0
hydD,APR,p3,1.0
hydD,APR,p30,1.0
hydD,APR,p31,1.0
hydD,APR,p32,1.0
hydD,APR,p33,1.0
hydD,APR,p34,1.0
hydD,APR,p35,1.0
hydD,APR,p36,1.0
hydD,APR,p37,1.0
hydD,APR,p38,1.0
hydD,APR,p39,1.0
hydD,APR,p4,1.0
hydD,APR,p40,1.0
hydD,APR,p41,1.0
hydD,APR,p42,1.0
hydD,APR,p43,1.0
hydD,APR,p44,1.0
hydD,APR,p45,1.0
hydD,APR,p46,1.0
hydD,APR,p47,1.0
hydD,APR,p48,1.0
hydD,APR,p49,1.0
hydD,APR,p5,1.0
hydD,APR,p50,1.0
hydD,APR,p51,1.0
hydD,APR,p52,1.0
hydD,APR,p53,1.0
hydD,APR,p54,1.0
hydD,APR,p55,1.0
hydD,APR,p56,1.0
hydD,APR,p57,1.0
hydD,APR,p58,1.0
hydD,APR,p59,1.0
hydD,APR,p6,1.0
hydD,APR,p60,1.0
hydD,APR,p61,1.0
hydD,APR,p62,1.0
hydD,APR,p63,1.0
hydD,APR,p64,1.0
hydD,APR,p65,1.0
hydD,APR,p66,1.0
hydD,APR,p67,1.0
hydD,APR,p68,1.0
hydD,APR,p69,1.0
hydD,APR,p7,1.0
hydD,APR,p70,1.0
hydD,APR,p71,1.0
hydD,APR,p72,1.0
hydD,APR,p73,1.0
hydD,APR,p74,1.0
hydD,APR,p75,1.0
hydD,APR,p76,1.0
hydD,APR,p77,1.0
hydD,APR,p78,1.0
hydD,APR,p79,1.0
hydD,APR,p8,1.0
hydD,APR,p80,1.0
hydD,APR,p81,1.0
hydD,APR,p82,1.0
hydD,APR,p83,1.0
hydD,APR,p84,1.0
hydD,APR,p85,1.0
hydD,APR,p86,1.0
hydD,APR,p87,1.0
hydD,APR,p88,1.0
hydD,APR,p89,1.0
hydD,APR,p9,1.0
hydD,APR,p90,1.0
hydD,APR,p91,1.0
hydD,APR,p92,1.0
hydD,APR,p93,1.0
hydD,APR,p94,1.0
hydD,APR,p95,1.0
hydD,APR,p96,1.0
hydD,APR,p97,1.0
hydD,APR,p98,1.0
hydD,APR,p99,1.0
hydD,MAY,p1,1.0
hydD,MAY,p10,1.0
hydD,MAY,p100,1.0
hydD,MAY,p101,1.0
hydD,MAY,p102,1.0
hydD,MAY,p103,1.0
hydD,MAY,p104,1.0
hydD,MAY,p105,1.0
hydD,MAY,p106,1.0
hydD,MAY,p107,1.0
hydD,MAY,p108,1.0
hydD,MAY,p109,1.0
hydD,MAY,p11,1.0
hydD,MAY,p110,1.0
hydD,MAY,p111,1.0
hydD,MAY,p112,1.0
hydD,MAY,p113,1.0
hydD,MAY,p114,1.0
hydD,MAY,p115,1.0
hydD,MAY,p116,1.0
hydD,MAY,p117,1.0
hydD,MAY,p118,1.0
hydD,MAY,p119,1.0
hydD,MAY,p12,1.0
hydD,MAY,p120,1.0
hydD,MAY,p121,1.0
hydD,MAY,p122,1.0
hydD,MAY,p123,1.0
hydD,MAY,p124,1.0
hydD,MAY,p125,1.0
hydD,MAY,p126,1.0
hydD,MAY,p127,1.0
hydD,MAY,p128,1.0
hydD,MAY,p129,1.0
hydD,MAY,p13,1.0
hydD,MAY,p130,1.0
hydD,MAY,p131,1.0
hydD,MAY,p132,1.0
hydD,MAY,p133,1.0
hydD,MAY,p134,1.0
hydD,MAY,p135,1.0
hydD,MAY,p136,1.0
hydD,MAY,p137,1.0
hydD,MAY,p138,1.0
hydD,MAY,p139,1.0
hydD,MAY,p14,1.0
hydD,MAY,p140,1.0
hydD,MAY,p141,1.0
hydD,MAY,p142,1.0
hydD,MAY,p143,1.0
hydD,MAY,p144,1.0
hydD,MAY,p145,1.0
hydD,MAY,p146,1.0
hydD,MAY,p147,1.0
hydD,MAY,p148,1.0
hydD,MAY,p149,1.0
hydD,MAY,p15,1.0
hydD,MAY,p150,1.0
hydD,MAY,p151,1.0
hydD,MAY,p152,1.0
hydD,MAY,p153,1.0
hydD,MAY,p154,1.0
hydD,MAY,p155,1.0
hydD,MAY,p156,1.0
hydD,MAY,p157,1.0
hydD,MAY,p158,1.0
hydD,MAY,p159,1.0
hydD,MAY,p16,1.0
hydD,MAY,p160,1.0
hydD,MAY,p161,1.0
hydD,MAY,p162,1.0
hydD,MAY,p163,1.0
hydD,MAY,p164,1.0
hydD,MAY,p165,1.0
hydD,MAY,p166,1.0
hydD,MAY,p167,1.0
hydD,MAY,p168,1.0
hydD,MAY,p169,1.0
hydD,MAY,p17,1.0
hydD,MAY,p170,1.0
hydD,MAY,p171,1.0
hydD,MAY,p172,1.0
hydD,MAY,p173,1.0
hydD,MAY,p174,1.0
hydD,MAY,p175,1.0
hydD,MAY,p176,1.0
hydD,MAY,p177,1.0
hydD,MAY,p178,1.0
hydD,MAY,p179,1.0
hydD,MAY,p18,1.0
hydD,MAY,p180,1.0
hydD,MAY,p181,1.0
hydD,MAY,p182,1.0
hydD,MAY,p183,1.0
hydD,MAY,p184,1.0
hydD,MAY,p185,1.0
hydD,MAY,p186,1.0
hydD,MAY,p187,1.0
hydD,MAY,p188,1.0
hydD,MAY,p189,1.0
hydD,MAY,p19,1.0
hydD,MAY,p190,1.0
hydD,MAY,p191,1.0
hydD,MAY,p192,1.0
hydD,MAY,p193,1.0
hydD,MAY,p194,1.0
hydD,MAY,p195,1.0
hydD,MAY,p196,1.0
hydD,MAY,p197,1.0
hydD,MAY,p198,1.0
hydD,MAY,p199,1.0
hydD,MAY,p2,1.0
hydD,MAY,p20,1.0
hydD,MAY,p200,1.0
hydD,MAY,p201,1.0
hydD,MAY,p202,1.0
hydD,MAY,p203,1.0
hydD,MAY,p204,1.0
hydD,MAY,p205,1.0
hydD,MAY,p21,1.0
hydD,MAY,p22,1.0
hydD,MAY,p23,1.0
hydD,MAY,p24,1.0
hydD,MAY,p25,1.0
hydD,MAY,p26,1.0
