*i,r,quarter,value
hydED,p111,wint,0.5
hydED,p112,wint,0.5
hydED,p113,wint,0.5
hydED,p114,wint,0.5
hydED,p115,wint,0.5
hydED,p116,wint,0.5
hydED,p117,wint,0.5
hydED,p118,wint,0.5
hydED,p119,wint,0.5
hydED,p120,wint,0.5
hydED,p121,wint,0.5
hydED,p122,wint,0.5
hydED,p123,wint,0.5
hydED,p124,wint,0.5
hydED,p125,wint,0.5
hydED,p126,wint,0.5
hydED,p127,wint,0.5
hydED,p128,wint,0.5
hydED,p129,wint,0.5
hydED,p130,wint,0.5
hydED,p131,wint,0.5
hydED,p132,wint,0.5
hydED,p133,wint,0.5
hydED,p134,wint,0.5
hydED,p135,wint,0.5
hydED,p136,wint,0.5
hydED,p137,wint,0.5
hydED,p138,wint,0.5
hydED,p139,wint,0.5
hydED,p140,wint,0.5
hydED,p141,wint,0.5
hydED,p142,wint,0.5
hydED,p143,wint,0.5
hydED,p144,wint,0.5
hydED,p145,wint,0.5
hydED,p146,wint,0.5
hydED,p147,wint,0.5
hydED,p148,wint,0.5
hydED,p149,wint,0.5
hydED,p150,wint,0.5
hydED,p151,wint,0.5
hydED,p152,wint,0.5
hydED,p153,wint,0.5
hydED,p154,wint,0.5
hydED,p155,wint,0.5
hydED,p156,wint,0.5
hydED,p157,wint,0.5
hydED,p158,wint,0.5
hydED,p159,wint,0.5
hydED,p160,wint,0.5
hydED,p161,wint,0.5
hydED,p162,wint,0.5
hydED,p163,wint,0.5
hydED,p164,wint,0.5
hydED,p165,wint,0.5
hydED,p166,wint,0.5
hydED,p167,wint,0.5
hydED,p168,wint,0.5
hydED,p169,wint,0.5
hydED,p170,wint,0.5
hydED,p171,wint,0.5
hydED,p172,wint,0.5
hydED,p173,wint,0.5
hydED,p174,wint,0.5
hydED,p175,wint,0.5
hydED,p176,wint,0.5
hydED,p177,wint,0.5
hydED,p178,wint,0.5
hydED,p179,wint,0.5
hydED,p180,wint,0.5
hydED,p181,wint,0.5
hydED,p182,wint,0.5
hydED,p183,wint,0.5
hydED,p184,wint,0.5
hydED,p185,wint,0.5
hydED,p186,wint,0.5
hydED,p187,wint,0.5
hydED,p188,wint,0.5
hydED,p189,wint,0.5
hydED,p190,wint,0.5
hydED,p191,wint,0.5
hydED,p192,wint,0.5
hydED,p193,wint,0.5
hydED,p194,wint,0.5
hydED,p195,wint,0.5
hydED,p196,wint,0.5
hydED,p197,wint,0.5
hydED,p198,wint,0.5
hydED,p199,wint,0.5
hydED,p200,wint,0.5
hydED,p201,wint,0.5
hydED,p202,wint,0.5
hydED,p203,wint,0.5
hydED,p204,wint,0.5
hydED,p205,wint,0.5
hydED,p1,spri,0.082883
hydED,p2,spri,0.12976
hydED,p3,spri,0.5
hydED,p4,spri,0.122608
hydED,p5,spri,0.187675
hydED,p6,spri,0.5
hydED,p7,spri,0.5
hydED,p8,spri,0.5
hydED,p9,spri,0.015606
hydED,p10,spri,0.5
hydED,p11,spri,0.5
hydED,p12,spri,0.5
hydED,p13,spri,0.02185
hydED,p14,spri,0.5
hydED,p15,spri,0.5
hydED,p16,spri,0.5
hydED,p17,spri,0.5
hydED,p18,spri,0.5
hydED,p19,spri,0.5
hydED,p20,spri,0.5
hydED,p21,spri,0.5
hydED,p22,spri,0.5
hydED,p23,spri,0.5
hydED,p24,spri,0.5
hydED,p25,spri,0.5
hydED,p26,spri,0.5
hydED,p27,spri,0.01717
hydED,p28,spri,0.034286
hydED,p29,spri,0.5
hydED,p30,spri,0.5
hydED,p31,spri,0.5
hydED,p32,spri,0.5
hydED,p33,spri,0.5
hydED,p34,spri,0.5
hydED,p35,spri,0.5
hydED,p36,spri,0.5
hydED,p37,spri,0.5
hydED,p38,spri,0.5
hydED,p39,spri,0.5
hydED,p40,spri,0.5
hydED,p41,spri,0.5
hydED,p42,spri,0.5
hydED,p43,spri,0.5
hydED,p44,spri,0.5
hydED,p45,spri,0.5
hydED,p46,spri,0.5
hydED,p47,spri,0.5
hydED,p48,spri,0.5
hydED,p49,spri,0.5
hydED,p50,spri,0.5
hydED,p51,spri,0.5
hydED,p52,spri,0.5
hydED,p53,spri,0.5
hydED,p54,spri,0.5
hydED,p55,spri,0.5
hydED,p56,spri,0.5
hydED,p57,spri,0.5
hydED,p58,spri,0.5
hydED,p59,spri,0.5
hydED,p60,spri,0.5
hydED,p61,spri,0.5
hydED,p62,spri,0.5
hydED,p63,spri,0.5
hydED,p64,spri,0.5
hydED,p65,spri,0.5
hydED,p66,spri,0.5
hydED,p67,spri,0.5
hydED,p68,spri,0.5
hydED,p69,spri,0.5
hydED,p70,spri,0.5
hydED,p71,spri,0.5
hydED,p72,spri,0.5
hydED,p73,spri,0.5
hydED,p74,spri,0.5
hydED,p75,spri,0.5
hydED,p76,spri,0.5
hydED,p77,spri,0.5
hydED,p78,spri,0.5
hydED,p79,spri,0.5
hydED,p80,spri,0.5
hydED,p81,spri,0.5
hydED,p82,spri,0.5
hydED,p83,spri,0.5
hydED,p84,spri,0.5
hydED,p85,spri,0.5
hydED,p86,spri,0.5
hydED,p87,spri,0.5
hydED,p88,spri,0.5
hydED,p89,spri,0.5
hydED,p90,spri,0.5
hydED,p91,spri,0.5
hydED,p92,spri,0.5
hydED,p93,spri,0.5
hydED,p94,spri,0.5
hydED,p95,spri,0.5
hydED,p96,spri,0.5
hydED,p97,spri,0.5
hydED,p98,spri,0.5
hydED,p99,spri,0.5
hydED,p100,spri,0.5
hydED,p101,spri,0.5
hydED,p102,spri,0.5
hydED,p103,spri,0.5
hydED,p104,spri,0.5
hydED,p105,spri,0.5
hydED,p106,spri,0.5
hydED,p107,spri,0.5
hydED,p108,spri,0.5
hydED,p109,spri,0.5
hydED,p110,spri,0.5
hydED,p111,spri,0.5
hydED,p112,spri,0.5
hydED,p113,spri,0.5
hydED,p114,spri,0.5
hydED,p115,spri,0.5
hydED,p116,spri,0.5
hydED,p117,spri,0.5
hydED,p118,spri,0.5
hydED,p119,spri,0.5
hydED,p120,spri,0.5
hydED,p121,spri,0.5
hydED,p122,spri,0.5
hydED,p123,spri,0.5
hydED,p124,spri,0.5
hydED,p125,spri,0.5
hydED,p126,spri,0.5
hydED,p127,spri,0.5
hydED,p128,spri,0.5
hydED,p129,spri,0.5
hydED,p130,spri,0.5
hydED,p131,spri,0.5
hydED,p132,spri,0.5
hydED,p133,spri,0.5
hydED,p134,spri,0.5
hydED,p135,spri,0.5
hydED,p136,spri,0.5
hydED,p137,spri,0.5
hydED,p138,spri,0.5
hydED,p139,spri,0.5
hydED,p140,spri,0.5
hydED,p141,spri,0.5
hydED,p142,spri,0.5
hydED,p143,spri,0.5
hydED,p144,spri,0.5
hydED,p145,spri,0.5
hydED,p146,spri,0.5
hydED,p147,spri,0.5
hydED,p148,spri,0.5
hydED,p149,spri,0.5
hydED,p150,spri,0.5
hydED,p151,spri,0.5
hydED,p152,spri,0.5
hydED,p153,spri,0.5
hydED,p154,spri,0.5
hydED,p155,spri,0.5
hydED,p156,spri,0.5
hydED,p157,spri,0.5
hydED,p158,spri,0.5
hydED,p159,spri,0.5
hydED,p160,spri,0.5
hydED,p161,spri,0.5
hydED,p162,spri,0.5
hydED,p163,spri,0.5
hydED,p164,spri,0.5
hydED,p165,spri,0.5
hydED,p166,spri,0.5
hydED,p167,spri,0.5
hydED,p168,spri,0.5
hydED,p169,spri,0.5
hydED,p170,spri,0.5
hydED,p171,spri,0.5
hydED,p172,spri,0.5
hydED,p173,spri,0.5
hydED,p174,spri,0.5
hydED,p175,spri,0.5
hydED,p176,spri,0.5
hydED,p177,spri,0.5
hydED,p178,spri,0.5
hydED,p179,spri,0.5
hydED,p180,spri,0.5
hydED,p181,spri,0.5
hydED,p182,spri,0.5
hydED,p183,spri,0.5
hydED,p184,spri,0.5
hydED,p185,spri,0.5
hydED,p186,spri,0.5
hydED,p187,spri,0.5
hydED,p188,spri,0.5
hydED,p189,spri,0.5
hydED,p190,spri,0.5
hydED,p191,spri,0.5
hydED,p192,spri,0.5
hydED,p193,spri,0.5
hydED,p194,spri,0.5
hydED,p195,spri,0.5
hydED,p196,spri,0.5
hydED,p197,spri,0.5
hydED,p198,spri,0.5
hydED,p199,spri,0.5
hydED,p200,spri,0.5
hydED,p201,spri,0.5
hydED,p202,spri,0.5
hydED,p203,spri,0.5
hydED,p204,spri,0.5
hydED,p205,spri,0.5
hydD,p1,summ,0.5
hydD,p2,summ,0.5
hydD,p3,summ,0.5
hydD,p4,summ,0.5
hydD,p5,summ,0.5
hydD,p6,summ,0.5
hydD,p7,summ,0.5
hydD,p8,summ,0.5
hydD,p9,summ,0.5
hydD,p10,summ,0.5
hydD,p11,summ,0.5
hydD,p12,summ,0.5
hydD,p13,summ,0.5
hydD,p14,summ,0.5
hydD,p15,summ,0.5
hydD,p16,summ,0.5
hydD,p17,summ,0.5
hydD,p18,summ,0.5
hydD,p19,summ,0.5
hydD,p20,summ,0.5
hydD,p21,summ,0.5
hydD,p22,summ,0.5
hydD,p23,summ,0.5
hydD,p24,summ,0.5
hydD,p25,summ,0.5
hydD,p26,summ,0.5
hydD,p27,summ,0.5
hydD,p28,summ,0.5
hydD,p29,summ,0.5
hydD,p30,summ,0.5
hydD,p31,summ,0.5
hydD,p32,summ,0.5
hydD,p33,summ,0.5
hydD,p34,summ,0.5
hydD,p35,summ,0.5
hydD,p36,summ,0.5
hydD,p37,summ,0.5
hydD,p38,summ,0.5
hydD,p39,summ,0.5
hydD,p40,summ,0.5
hydD,p41,summ,0.5
hydD,p42,summ,0.5
hydD,p43,summ,0.5
hydD,p44,summ,0.5
hydD,p45,summ,0.5
hydD,p46,summ,0.5
hydD,p47,summ,0.5
hydD,p48,summ,0.5
hydD,p49,summ,0.5
hydD,p50,summ,0.5
hydD,p51,summ,0.5
hydD,p52,summ,0.5
hydD,p53,summ,0.5
hydD,p54,summ,0.5
hydD,p55,summ,0.5
hydD,p56,summ,0.5
hydD,p57,summ,0.5
hydD,p58,summ,0.5
hydD,p59,summ,0.5
hydD,p60,summ,0.5
hydD,p61,summ,0.5
hydD,p62,summ,0.5
hydD,p63,summ,0.5
hydD,p64,summ,0.5
hydD,p65,summ,0.5
hydD,p66,summ,0.5
hydD,p67,summ,0.5
hydD,p68,summ,0.5
hydD,p69,summ,0.5
hydD,p70,summ,0.5
hydD,p71,summ,0.5
hydD,p72,summ,0.5
hydD,p73,summ,0.5
hydD,p74,summ,0.5
hydD,p75,summ,0.5
hydD,p76,summ,0.5
hydD,p77,summ,0.5
hydD,p78,summ,0.5
hydD,p79,summ,0.5
hydD,p80,summ,0.5
hydD,p81,summ,0.5
hydD,p82,summ,0.5
hydD,p83,summ,0.5
hydD,p84,summ,0.5
hydD,p85,summ,0.5
hydD,p86,summ,0.5
hydD,p87,summ,0.5
hydD,p88,summ,0.5
hydD,p89,summ,0.5
hydD,p90,summ,0.5
hydD,p91,summ,0.5
hydD,p92,summ,0.5
hydD,p93,summ,0.5
hydD,p94,summ,0.5
hydD,p95,summ,0.5
hydD,p96,summ,0.5
hydD,p97,summ,0.5
hydD,p98,summ,0.5
hydD,p99,summ,0.5
hydD,p100,summ,0.5
hydD,p101,summ,0.5
hydD,p102,summ,0.5
hydD,p103,summ,0.5
hydD,p104,summ,0.5
hydD,p105,summ,0.5
hydD,p106,summ,0.5
hydD,p107,summ,0.5
hydD,p108,summ,0.5
hydD,p109,summ,0.5
hydD,p110,summ,0.5
hydD,p111,summ,0.5
hydD,p112,summ,0.5
hydD,p113,summ,0.5
hydD,p114,summ,0.5
hydD,p115,summ,0.5
hydD,p116,summ,0.5
hydD,p117,summ,0.5
hydD,p118,summ,0.5
hydD,p119,summ,0.5
hydD,p120,summ,0.5
hydD,p121,summ,0.5
hydD,p122,summ,0.5
hydD,p123,summ,0.5
hydD,p124,summ,0.5
hydD,p125,summ,0.5
hydD,p126,summ,0.5
hydD,p127,summ,0.5
hydD,p128,summ,0.5
hydD,p129,summ,0.5
hydD,p130,summ,0.5
hydD,p131,summ,0.5
hydD,p132,summ,0.5
hydD,p133,summ,0.5
hydD,p134,summ,0.5
hydD,p135,summ,0.5
hydD,p136,summ,0.5
hydD,p137,summ,0.5
hydD,p138,summ,0.5
hydD,p139,summ,0.5
hydD,p140,summ,0.5
hydD,p141,summ,0.5
hydD,p142,summ,0.5
hydD,p143,summ,0.5
hydD,p144,summ,0.5
hydD,p145,summ,0.5
hydD,p146,summ,0.5
hydD,p147,summ,0.5
hydD,p148,summ,0.5
hydD,p149,summ,0.5
hydD,p150,summ,0.5
hydD,p151,summ,0.5
hydD,p152,summ,0.5
hydD,p153,summ,0.5
hydD,p154,summ,0.5
hydD,p155,summ,0.5
hydD,p156,summ,0.5
hydD,p157,summ,0.5
hydD,p158,summ,0.5
hydD,p159,summ,0.5
hydD,p160,summ,0.5
hydD,p161,summ,0.5
hydD,p162,summ,0.5
hydD,p163,summ,0.5
hydD,p164,summ,0.5
hydD,p165,summ,0.5
hydD,p166,summ,0.5
hydD,p167,summ,0.5
hydD,p168,summ,0.5
hydD,p169,summ,0.5
hydD,p170,summ,0.5
hydD,p171,summ,0.5
hydD,p172,summ,0.5
hydD,p173,summ,0.5
hydD,p174,summ,0.5
hydD,p175,summ,0.5
hydD,p176,summ,0.5
