tech,ba,year,var_name,con_name,value
ccgt-gas,Delhi,2024,cap,eq_cap_init_retmo,-5782.921267214981
ccgt-gas,Delhi,2024,cap,eq_growthlimit_relative,-1575.3844169860752
ccgt-gas,Delhi,2024,cap,eq_capacity_limit,486.31090956906337
ccgt-gas,Delhi,2024,cap,eq_reserve_margin,7746.077308550588
ccgt-gas,Delhi,2025,cap,_obj,-801.9104936212119
ccgt-gas,Delhi,2025,cap,eq_cap_init_retub,0.0
ccgt-gas,Delhi,2025,cap,eq_cap_init_retmo,-5181.5191443192525
ccgt-gas,Delhi,2025,cap,eq_growthlimit_relative,0.0
ccgt-gas,Delhi,2025,cap,eq_capacity_limit,340.2824188624855
ccgt-gas,Delhi,2025,cap,eq_reserve_margin,5643.14721907798
ccgt-gas,Delhi,2026,cap,_obj,-735.6984628506959
ccgt-gas,Delhi,2026,cap,eq_cap_init_retub,0.0
ccgt-gas,Delhi,2026,cap,eq_cap_init_retmo,-4725.4944883227145
ccgt-gas,Delhi,2026,cap,eq_growthlimit_relative,0.0
ccgt-gas,Delhi,2026,cap,eq_capacity_limit,300.3721010221152
ccgt-gas,Delhi,2026,cap,eq_reserve_margin,5160.820850151294
ccgt-gas,Delhi,2027,cap,_obj,-674.952703552402
ccgt-gas,Delhi,2027,cap,eq_cap_init_retub,0.0
ccgt-gas,Delhi,2027,cap,eq_cap_init_retmo,-4358.760469860616
ccgt-gas,Delhi,2027,cap,eq_growthlimit_relative,0.0
ccgt-gas,Delhi,2027,cap,eq_capacity_limit,253.33813766313847
ccgt-gas,Delhi,2027,cap,eq_reserve_margin,4780.375035749888
ccgt-gas,Delhi,2028,cap,_obj,-619.222619831806
ccgt-gas,Delhi,2028,cap,eq_cap_init_retub,0.0
ccgt-gas,Delhi,2028,cap,eq_cap_init_retmo,-4513.883427702865
ccgt-gas,Delhi,2028,cap,eq_growthlimit_relative,0.0
ccgt-gas,Delhi,2028,cap,eq_capacity_limit,240.0323904507316
ccgt-gas,Delhi,2028,cap,eq_reserve_margin,4893.073657083939
ccgt-gas,Delhi,2029,cap,_obj,-568.0943665233699
ccgt-gas,Delhi,2029,cap,eq_cap_init_retub,0.0
ccgt-gas,Delhi,2029,cap,eq_cap_init_retmo,-3471.9668533108743
ccgt-gas,Delhi,2029,cap,eq_growthlimit_relative,0.0
ccgt-gas,Delhi,2029,cap,eq_capacity_limit,222.29233346051439
ccgt-gas,Delhi,2029,cap,eq_reserve_margin,3817.7688863737358
ccgt-gas,Delhi,2030,cap,_obj,-5875.68258241495
ccgt-gas,Delhi,2030,cap,eq_cap_init_retub,0.0
ccgt-gas,Delhi,2030,cap,eq_cap_init_retmo,-37687.52610746103
ccgt-gas,Delhi,2030,cap,eq_growthlimit_relative,0.0
ccgt-gas,Delhi,2030,cap,eq_capacity_limit,2264.7309870958597
ccgt-gas,Delhi,2030,cap,eq_reserve_margin,41298.47770278011
ccgt-gas,Gujarat,2017,cap,_obj,-1555.000622
ccgt-gas,Gujarat,2017,cap,eq_cap_init_noret,1555.000622
ccgt-gas,Gujarat,2017,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2017,cap,eq_reserve_margin,2.900346629530759e-12
ccgt-gas,Gujarat,2018,cap,_obj,-1426.6057756420819
ccgt-gas,Gujarat,2018,cap,eq_cap_init_noret,1426.6057756420819
ccgt-gas,Gujarat,2018,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2018,cap,eq_reserve_margin,2.900346629530759e-12
ccgt-gas,Gujarat,2019,cap,_obj,-1308.8129235249598
ccgt-gas,Gujarat,2019,cap,eq_cap_init_noret,1308.8129235249598
ccgt-gas,Gujarat,2019,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2019,cap,eq_reserve_margin,2.900346629530759e-12
ccgt-gas,Gujarat,2020,cap,_obj,-1200.745045297826
ccgt-gas,Gujarat,2020,cap,eq_cap_init_noret,1200.745045297826
ccgt-gas,Gujarat,2020,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2020,cap,eq_reserve_margin,2.900346629530759e-12
ccgt-gas,Gujarat,2021,cap,_obj,-1101.60131564035
ccgt-gas,Gujarat,2021,cap,eq_cap_init_noret,1101.6013156403496
ccgt-gas,Gujarat,2021,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2021,cap,eq_reserve_margin,4.833911049217932e-13
ccgt-gas,Gujarat,2022,cap,_obj,-1010.643109257082
ccgt-gas,Gujarat,2022,cap,eq_cap_init_noret,1010.643109257082
ccgt-gas,Gujarat,2022,cap,eq_cap_init_retmo,0.0
ccgt-gas,Gujarat,2022,cap,eq_growthlimit_relative,0.0
ccgt-gas,Gujarat,2022,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2022,cap,eq_reserve_margin,4.833911049217932e-13
ccgt-gas,Gujarat,2023,cap,_obj,-927.195555878074
ccgt-gas,Gujarat,2023,cap,eq_cap_init_retub,-63768.205709220114
ccgt-gas,Gujarat,2023,cap,eq_cap_init_retmo,59248.378594075024
ccgt-gas,Gujarat,2023,cap,eq_growthlimit_relative,2299.6950441072995
ccgt-gas,Gujarat,2023,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2023,cap,eq_reserve_margin,3147.327626915868
ccgt-gas,Gujarat,2024,cap,_obj,-850.6382102551479
ccgt-gas,Gujarat,2024,cap,eq_cap_init_retub,0.0
ccgt-gas,Gujarat,2024,cap,eq_cap_init_retmo,-5079.163453548514
ccgt-gas,Gujarat,2024,cap,eq_growthlimit_relative,-1533.1300294048663
ccgt-gas,Gujarat,2024,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2024,cap,eq_reserve_margin,7462.931693208529
ccgt-gas,Gujarat,2025,cap,_obj,-780.401942160652
ccgt-gas,Gujarat,2025,cap,eq_cap_init_retub,0.0
ccgt-gas,Gujarat,2025,cap,eq_cap_init_retmo,-4656.468947858768
ccgt-gas,Gujarat,2025,cap,eq_growthlimit_relative,0.0
ccgt-gas,Gujarat,2025,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2025,cap,eq_reserve_margin,5436.870890019413
ccgt-gas,Gujarat,2026,cap,_obj,-715.9658263862161
ccgt-gas,Gujarat,2026,cap,eq_cap_init_retub,0.0
ccgt-gas,Gujarat,2026,cap,eq_cap_init_retmo,-4256.209372930538
ccgt-gas,Gujarat,2026,cap,eq_growthlimit_relative,0.0
ccgt-gas,Gujarat,2026,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2026,cap,eq_reserve_margin,4972.175199316753
ccgt-gas,Gujarat,2027,cap,_obj,-656.849367739642
ccgt-gas,Gujarat,2027,cap,eq_cap_init_retub,0.0
ccgt-gas,Gujarat,2027,cap,eq_cap_init_retmo,-3948.786612724918
ccgt-gas,Gujarat,2027,cap,eq_growthlimit_relative,0.0
ccgt-gas,Gujarat,2027,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2027,cap,eq_reserve_margin,4605.635980464563
ccgt-gas,Gujarat,2028,cap,_obj,-602.614056045526
ccgt-gas,Gujarat,2028,cap,eq_cap_init_retub,0.0
ccgt-gas,Gujarat,2028,cap,eq_cap_init_retmo,-4111.601025741249
ccgt-gas,Gujarat,2028,cap,eq_growthlimit_relative,0.0
ccgt-gas,Gujarat,2028,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2028,cap,eq_reserve_margin,4714.215081786773
ccgt-gas,Gujarat,2029,cap,_obj,-552.85714614277
ccgt-gas,Gujarat,2029,cap,eq_cap_init_retub,0.0
ccgt-gas,Gujarat,2029,cap,eq_cap_init_retmo,-3125.359231586004
ccgt-gas,Gujarat,2029,cap,eq_growthlimit_relative,0.0
ccgt-gas,Gujarat,2029,cap,eq_capacity_limit,0.0
ccgt-gas,Gujarat,2029,cap,eq_reserve_margin,3678.2163777287715
ccgt-gas,Gujarat,2030,cap,_obj,-5718.08716223395
ccgt-gas,Gujarat,2030,cap,eq_cap_init_retub,0.0
ccgt-gas,Gujarat,2030,cap,eq_cap_init_retmo,-34070.789949685044
