*r,rr,multiplier
p2,p114,1.222
p2,p115,1.311
p2,p116,1.283
p2,p117,1.311
p2,p118,1.31
p2,p119,1.399
p2,p120,1.453
p2,p121,1.45
p2,p122,1.521
p2,p123,1.495
p2,p124,1.533
p2,p125,1.515
p2,p126,1.518
p2,p127,1.435
p2,p128,1.598
p2,p129,1.471
p2,p130,1.559
p2,p131,1.57
p2,p132,1.508
p2,p133,1.553
p2,p134,1.629
p3,p1,1.452
p3,p2,1.302
p3,p4,1.246
p3,p5,1.401
p3,p6,1.343
p3,p7,1.382
p3,p8,1.307
p3,p9,1.633
p3,p10,1.536
p3,p11,1.412
p3,p12,1.382
p3,p13,1.24
p3,p14,1.474
p3,p15,1.363
p3,p16,1.422
p3,p17,1.655
p3,p18,1.581
p3,p19,1.416
p3,p20,1.485
p3,p21,1.441
p3,p22,1.441
p3,p23,1.432
p3,p24,1.378
p3,p25,1.259
p3,p26,1.418
p3,p27,1.246
p3,p28,1.242
p3,p29,1.295
p3,p30,1.229
p3,p31,1.29
p3,p32,1.332
p3,p33,1.346
p3,p34,1.336
p3,p35,1.411
p3,p36,1.317
p3,p37,1.267
p3,p38,1.239
p3,p39,1.284
p3,p40,1.238
p3,p41,1.227
p3,p42,1.236
p3,p43,1.222
p3,p44,1.235
p3,p45,1.218
p3,p46,1.205
p3,p47,1.276
p3,p48,1.18
p3,p49,1.2
p3,p50,1.177
p3,p51,1.185
p3,p52,1.21
p3,p53,1.201
p3,p54,1.212
p3,p55,1.195
p3,p56,1.18
p3,p57,1.177
p3,p58,1.154
p3,p59,1.273
p3,p60,1.169
p3,p61,1.239
p3,p62,1.227
p3,p63,1.204
p3,p64,1.244
p3,p65,1.227
p3,p66,1.174
p3,p67,1.201
p3,p68,1.218
p3,p69,1.198
p3,p70,1.205
p3,p71,1.201
p3,p72,1.187
p3,p73,1.2
p3,p74,1.231
p3,p75,1.195
p3,p76,1.193
p3,p77,1.204
p3,p78,1.198
p3,p79,1.191
p3,p80,1.174
p3,p81,1.184
p3,p82,1.179
p3,p83,1.168
p3,p84,1.199
p3,p85,1.182
p3,p86,1.178
p3,p87,1.169
p3,p88,1.201
p3,p89,1.247
p3,p90,1.205
p3,p91,1.221
p3,p92,1.207
p3,p93,1.176
p3,p94,1.271
p3,p95,1.305
p3,p96,1.344
p3,p97,1.317
p3,p98,1.34
p3,p99,1.356
p3,p100,1.47
p3,p101,1.319
p3,p102,1.336
p3,p103,1.156
p3,p104,1.166
p3,p105,1.18
p3,p106,1.157
p3,p107,1.162
p3,p108,1.162
p3,p109,1.18
p3,p110,1.252
p3,p111,1.22
p3,p112,1.219
p3,p113,1.195
p3,p114,1.215
p3,p115,1.311
p3,p116,1.281
p3,p117,1.311
p3,p118,1.31
p3,p119,1.405
p3,p120,1.463
p3,p121,1.46
p3,p122,1.534
p3,p123,1.507
p3,p124,1.546
p3,p125,1.528
p3,p126,1.531
p3,p127,1.443
p3,p128,1.616
p3,p129,1.48
p3,p130,1.573
p3,p131,1.585
p3,p132,1.52
p3,p133,1.567
p3,p134,1.647
p4,p1,1.563
p4,p2,1.409
p4,p3,1.246
p4,p5,1.632
p4,p6,1.371
p4,p7,1.373
p4,p8,1.326
p4,p9,1.674
p4,p10,1.541
p4,p11,1.412
p4,p12,1.4
p4,p13,1.231
p4,p14,1.311
p4,p15,1.353
p4,p16,1.251
p4,p17,1.488
p4,p18,1.488
p4,p19,1.377
p4,p20,1.43
p4,p21,1.313
p4,p22,1.403
p4,p23,1.397
p4,p24,1.279
p4,p25,1.246
p4,p26,1.286
p4,p27,1.238
p4,p28,1.235
p4,p29,1.29
p4,p30,1.222
p4,p31,1.284
p4,p32,1.312
p4,p33,1.276
p4,p34,1.271
p4,p35,1.374
p4,p36,1.298
p4,p37,1.255
p4,p38,1.231
p4,p39,1.272
p4,p40,1.23
p4,p41,1.22
p4,p42,1.228
p4,p43,1.216
p4,p44,1.227
p4,p45,1.212
p4,p46,1.2
p4,p47,1.27
p4,p48,1.191
p4,p49,1.215
p4,p50,1.195
p4,p51,1.192
p4,p52,1.228
p4,p53,1.199
p4,p54,1.207
p4,p55,1.191
p4,p56,1.183
p4,p57,1.193
p4,p58,1.168
p4,p59,1.268
p4,p60,1.242
p4,p61,1.259
p4,p62,1.246
p4,p63,1.219
p4,p64,1.292
p4,p65,1.292
p4,p66,1.188
p4,p67,1.257
p4,p68,1.212
p4,p69,1.194
p4,p70,1.2
p4,p71,1.196
p4,p72,1.184
p4,p73,1.196
p4,p74,1.225
p4,p75,1.191
p4,p76,1.19
p4,p77,1.2
p4,p78,1.194
p4,p79,1.187
p4,p80,1.172
p4,p81,1.181
p4,p82,1.176
p4,p83,1.166
p4,p84,1.196
p4,p85,1.183
p4,p86,1.186
p4,p87,1.178
p4,p88,1.198
p4,p89,1.242
p4,p90,1.211
p4,p91,1.226
p4,p92,1.203
p4,p93,1.173
p4,p94,1.265
p4,p95,1.298
p4,p96,1.336
p4,p97,1.31
p4,p98,1.332
p4,p99,1.348
p4,p100,1.457
p4,p101,1.312
p4,p102,1.33
p4,p103,1.155
p4,p104,1.164
p4,p105,1.177
p4,p106,1.156
p4,p107,1.161
p4,p108,1.16
p4,p109,1.178
p4,p110,1.247
p4,p111,1.216
p4,p112,1.215
p4,p113,1.192
p4,p114,1.211
p4,p115,1.304
p4,p116,1.275
p4,p117,1.303
p4,p118,1.302
p4,p119,1.394
p4,p120,1.449
p4,p121,1.447
p4,p122,1.519
p4,p123,1.493
p4,p124,1.532
p4,p125,1.514
p4,p126,1.517
p4,p127,1.432
p4,p128,1.598
p4,p129,1.468
p4,p130,1.558
p4,p131,1.57
p4,p132,1.506
p4,p133,1.552
p4,p134,1.63
p5,p1,1.48
p5,p2,1.742
p5,p3,1.401
p5,p4,1.632
p5,p6,1.429
p5,p7,1.627
p5,p8,1.458
p5,p9,1.826
p5,p10,1.562
p5,p11,1.445
p5,p12,1.449
p5,p13,1.261
p5,p14,1.476
p5,p15,1.378
p5,p16,1.295
p5,p17,1.578
p5,p18,1.556
p5,p19,1.451
p5,p20,1.499
p5,p21,1.34
p5,p22,1.381
p5,p23,1.333
p5,p24,1.304
p5,p25,1.32
p5,p26,1.35
p5,p27,1.267
p5,p28,1.26
p5,p29,1.325
p5,p30,1.245
p5,p31,1.317
p5,p32,1.381
p5,p33,1.299
p5,p34,1.293
p5,p35,1.446
p5,p36,1.368
p5,p37,1.321
p5,p38,1.295
p5,p39,1.296
p5,p40,1.24
p5,p41,1.23
p5,p42,1.294
p5,p43,1.277
p5,p44,1.291
p5,p45,1.233
p5,p46,1.258
p5,p47,1.299
p5,p48,1.282
p5,p49,1.236
p5,p50,1.215
p5,p51,1.212
p5,p52,1.25
p5,p53,1.221
p5,p54,1.208
p5,p55,1.196
p5,p56,1.202
p5,p57,1.21
p5,p58,1.183
p5,p59,1.242
p5,p60,1.269
p5,p61,1.284
p5,p62,1.273
p5,p63,1.236
p5,p64,1.314
p5,p65,1.314
p5,p66,1.204
p5,p67,1.27
p5,p68,1.274
p5,p69,1.216
p5,p70,1.221
p5,p71,1.206
p5,p72,1.187
p5,p73,1.196
p5,p74,1.277
p5,p75,1.246
p5,p76,1.245
p5,p77,1.257
p5,p78,1.249
p5,p79,1.241
p5,p80,1.197
p5,p81,1.206
p5,p82,1.202
p5,p83,1.189
p5,p84,1.194
p5,p85,1.201
p5,p86,1.203
p5,p87,1.194
p5,p88,1.196
p5,p89,1.237
p5,p90,1.225
p5,p91,1.239
p5,p92,1.203
p5,p93,1.185
p5,p94,1.267
p5,p95,1.301
p5,p96,1.323
p5,p97,1.312
p5,p98,1.332
p5,p99,1.347
p5,p100,1.454
p5,p101,1.31
p5,p102,1.327
p5,p103,1.179
p5,p104,1.189
p5,p105,1.2
p5,p106,1.18
p5,p107,1.175
p5,p108,1.174
p5,p109,1.193
p5,p110,1.254
p5,p111,1.234
p5,p112,1.232
p5,p113,1.212
p5,p114,1.229
p5,p115,1.313
p5,p116,1.286
p5,p117,1.312
p5,p118,1.305
p5,p119,1.396
p5,p120,1.447
p5,p121,1.444
p5,p122,1.511
p5,p123,1.487
p5,p124,1.523
p5,p125,1.506
p5,p126,1.509
p5,p127,1.43
p5,p128,1.585
p5,p129,1.464
p5,p130,1.548
p5,p131,1.559
p5,p132,1.5
p5,p133,1.542
p5,p134,1.615
p6,p1,1.435
p6,p2,1.423
p6,p3,1.343
p6,p4,1.371
p6,p5,1.429
p6,p7,1.412
p6,p8,1.552
p6,p9,2.29
p6,p10,1.67
p6,p11,1.506
p6,p12,1.658
p6,p13,1.295
p6,p14,1.392
p6,p15,1.399
p6,p16,1.303
p6,p17,1.485
p6,p18,1.38
p6,p19,1.315
p6,p20,1.356
p6,p21,1.349
p6,p22,1.39
p6,p23,1.339
p6,p24,1.328
p6,p25,1.33
p6,p26,1.362
p6,p27,1.298
p6,p28,1.285
p6,p29,1.358
p6,p30,1.263
p6,p31,1.326
p6,p32,1.314
p6,p33,1.321
p6,p34,1.409
p6,p35,1.327
p6,p36,1.28
p6,p37,1.247
p6,p38,1.254
p6,p39,1.322
p6,p40,1.256
p6,p41,1.244
p6,p42,1.237
p6,p43,1.226
p6,p44,1.244
p6,p45,1.249
p6,p46,1.224
p6,p47,1.305
p6,p48,1.285
p6,p49,1.325
p6,p50,1.227
p6,p51,1.225
p6,p52,1.266
p6,p53,1.234
p6,p54,1.22
p6,p55,1.207
p6,p56,1.213
p6,p57,1.22
p6,p58,1.192
p6,p59,1.257
p6,p60,1.271
p6,p61,1.288
p6,p62,1.276
p6,p63,1.317
p6,p64,1.319
p6,p65,1.319
p6,p66,1.213
p6,p67,1.333
p6,p68,1.235
p6,p69,1.23
p6,p70,1.235
p6,p71,1.218
p6,p72,1.197
p6,p73,1.206
p6,p74,1.226
p6,p75,1.21
p6,p76,1.214
p6,p77,1.223
p6,p78,1.22
p6,p79,1.213
p6,p80,1.208
p6,p81,1.218
p6,p82,1.211
p6,p83,1.199
p6,p84,1.204
p6,p85,1.211
p6,p86,1.213
p6,p87,1.203
p6,p88,1.205
p6,p89,1.246
p6,p90,1.234
p6,p91,1.248
p6,p92,1.213
p6,p93,1.194
p6,p94,1.277
p6,p95,1.311
p6,p96,1.333
p6,p97,1.322
p6,p98,1.342
p6,p99,1.357
p6,p100,1.468
p6,p101,1.32
p6,p102,1.336
p6,p103,1.189
p6,p104,1.199
p6,p105,1.211
p6,p106,1.189
p6,p107,1.184
p6,p108,1.182
p6,p109,1.202
p6,p110,1.263
p6,p111,1.244
p6,p112,1.243
p6,p113,1.224
p6,p114,1.239
p6,p115,1.325
p6,p116,1.297
p6,p117,1.324
p6,p118,1.315
p6,p119,1.409
p6,p120,1.461
p6,p121,1.458
p6,p122,1.526
p6,p123,1.501
p6,p124,1.537
p6,p125,1.52
p6,p126,1.523
p6,p127,1.443
p6,p128,1.6
p6,p129,1.477
p6,p130,1.562
p6,p131,1.573
p6,p132,1.513
p6,p133,1.556
p6,p134,1.63
p7,p1,1.457
p7,p2,1.368
p7,p3,1.382
p7,p4,1.373
p7,p5,1.627
p7,p6,1.412
p7,p8,1.399
p7,p9,1.829
p7,p10,1.587
p7,p11,1.428
p7,p12,1.316
p7,p13,1.179
p7,p14,1.445
p7,p15,1.238
p7,p16,1.153
p7,p17,1.727
p7,p18,1.612
p7,p19,1.427
p7,p20,1.307
p7,p21,1.291
p7,p22,1.363
p7,p23,1.291
p7,p24,1.248
p7,p25,1.169
p7,p26,1.251
p7,p27,1.198
p7,p28,1.2
p7,p29,1.268
p7,p30,1.188
p7,p31,1.263
p7,p32,1.255
p7,p33,1.248
p7,p34,1.244
p7,p35,1.274
p7,p36,1.223
p7,p37,1.19
p7,p38,1.195
p7,p39,1.241
p7,p40,1.181
p7,p41,1.173
p7,p42,1.179
p7,p43,1.167
p7,p44,1.188
p7,p45,1.179
p7,p46,1.17
p7,p47,1.249
p7,p48,1.155
p7,p49,1.179
p7,p50,1.159
p7,p51,1.157
p7,p52,1.192
p7,p53,1.162
p7,p54,1.151
p7,p55,1.14
p7,p56,1.148
p7,p57,1.164
p7,p58,1.14
p7,p59,1.247
p7,p60,1.218
p7,p61,1.239
p7,p62,1.223
p7,p63,1.193
p7,p64,1.281
p7,p65,1.281
p7,p66,1.162
p7,p67,1.241
p7,p68,1.177
p7,p69,1.163
p7,p70,1.166
p7,p71,1.151
p7,p72,1.133
p7,p73,1.143
p7,p74,1.181
p7,p75,1.159
p7,p76,1.162
p7,p77,1.169
p7,p78,1.158
p7,p79,1.152
p7,p80,1.147
p7,p81,1.153
p7,p82,1.151
p7,p83,1.138
p7,p84,1.144
p7,p85,1.152
p7,p86,1.158
p7,p87,1.149
p7,p88,1.151
p7,p89,1.203
p7,p90,1.19
p7,p91,1.208
p7,p92,1.162
p7,p93,1.139
p7,p94,1.242
p7,p95,1.282
p7,p96,1.309
p7,p97,1.295
p7,p98,1.319
p7,p99,1.337
p7,p100,1.461
p7,p101,1.295
p7,p102,1.316
p7,p103,1.132
p7,p104,1.141
p7,p105,1.155
p7,p106,1.13
p7,p107,1.124
p7,p108,1.123
p7,p109,1.149
p7,p110,1.225
p7,p111,1.2
p7,p112,1.197
p7,p113,1.172
p7,p114,1.192
p7,p115,1.295
p7,p116,1.262
p7,p117,1.294
p7,p118,1.287
p7,p119,1.393
p7,p120,1.452
p7,p121,1.449
p7,p122,1.527
p7,p123,1.499
p7,p124,1.54
p7,p125,1.521
p7,p126,1.524
p7,p127,1.433
p7,p128,1.61
p7,p129,1.472
p7,p130,1.567
p7,p131,1.58
p7,p132,1.512
p7,p133,1.561
p7,p134,1.643
p8,p1,1.453
p8,p2,1.364
p8,p3,1.307
p8,p4,1.326
p8,p5,1.458
p8,p6,1.552
p8,p7,1.399
p8,p9,2.528
p8,p10,1.703
p8,p11,1.528
p8,p12,1.718
p8,p13,1.318
p8,p14,1.442
p8,p15,1.392
p8,p16,1.322
p8,p17,1.519
p8,p18,1.377
p8,p19,1.3
p8,p20,1.338
p8,p21,1.379
p8,p22,1.407
p8,p23,1.364
p8,p24,1.329
p8,p25,1.331
p8,p26,1.364
p8,p27,1.317
p8,p28,1.3
p8,p29,1.376
p8,p30,1.276
p8,p31,1.326
p8,p32,1.315
p8,p33,1.321
p8,p34,1.411
p8,p35,1.312
p8,p36,1.268
p8,p37,1.238
p8,p38,1.253
p8,p39,1.322
p8,p40,1.256
p8,p41,1.243
p8,p42,1.228
p8,p43,1.225
p8,p44,1.243
p8,p45,1.248
p8,p46,1.223
p8,p47,1.305
p8,p48,1.285
p8,p49,1.325
p8,p50,1.226
p8,p51,1.224
p8,p52,1.266
p8,p53,1.233
p8,p54,1.22
p8,p55,1.206
p8,p56,1.212
p8,p57,1.22
p8,p58,1.191
p8,p59,1.267
p8,p60,1.271
p8,p61,1.288
p8,p62,1.276
p8,p63,1.317
p8,p64,1.319
p8,p65,1.319
p8,p66,1.213
p8,p67,1.333
p8,p68,1.234
p8,p69,1.23
p8,p70,1.235
p8,p71,1.217
p8,p72,1.196
p8,p73,1.205
p8,p74,1.213
p8,p75,1.21
p8,p76,1.213
p8,p77,1.222
p8,p78,1.219
p8,p79,1.212
p8,p80,1.208
p8,p81,1.218
p8,p82,1.21
p8,p83,1.198
p8,p84,1.203
p8,p85,1.21
p8,p86,1.212
p8,p87,1.202
p8,p88,1.204
p8,p89,1.246
p8,p90,1.233
p8,p91,1.248
p8,p92,1.212
p8,p93,1.193
p8,p94,1.277
p8,p95,1.311
p8,p96,1.333
p8,p97,1.322
p8,p98,1.343
p8,p99,1.357
p8,p100,1.469
p8,p101,1.32
p8,p102,1.337
p8,p103,1.188
p8,p104,1.199
p8,p105,1.21
p8,p106,1.188
p8,p107,1.183
p8,p108,1.181
p8,p109,1.202
p8,p110,1.263
p8,p111,1.244
p8,p112,1.243
p8,p113,1.224
p8,p114,1.238
p8,p115,1.325
p8,p116,1.297
p8,p117,1.324
p8,p118,1.315
p8,p119,1.41
p8,p120,1.462
p8,p121,1.459
p8,p122,1.527
p8,p123,1.503
p8,p124,1.539
p8,p125,1.522
p8,p126,1.525
p8,p127,1.444
p8,p128,1.602
p8,p129,1.478
p8,p130,1.564
p8,p131,1.575
p8,p132,1.514
p8,p133,1.558
p8,p134,1.632
p9,p1,1.75
p9,p2,1.726
p9,p3,1.633
p9,p4,1.674
p9,p5,1.826
p9,p6,2.289
p9,p7,1.829
p9,p8,2.528
p9,p10,2.229
p9,p11,2.166
p9,p12,2.911
p9,p13,2.154
p9,p14,1.733
p9,p15,1.845
p9,p16,1.74
p9,p17,1.718
p9,p18,1.634
p9,p19,1.555
p9,p20,1.636
p9,p21,1.725
p9,p22,1.662
p9,p23,1.656
p9,p24,1.638
p9,p25,1.842
p9,p26,1.784
p9,p27,1.958
p9,p28,1.822
p9,p29,1.737
p9,p30,1.741
p9,p31,1.664
p9,p32,1.597
p9,p33,1.71
p9,p34,1.772
p9,p35,1.58
p9,p36,1.517
p9,p37,1.455
p9,p38,1.481
p9,p39,1.619
p9,p40,1.496
p9,p41,1.467
p9,p42,1.438
p9,p43,1.43
p9,p44,1.464
p9,p45,1.468
p9,p46,1.418
p9,p47,1.606
p9,p48,1.539
p9,p49,1.638
p9,p50,1.472
p9,p51,1.428
p9,p52,1.509
p9,p53,1.453
p9,p54,1.427
p9,p55,1.399
p9,p56,1.406
p9,p57,1.421
p9,p58,1.363
p9,p59,1.615
p9,p60,1.51
p9,p61,1.574
p9,p62,1.53
p9,p63,1.528
p9,p64,1.52
p9,p65,1.523
p9,p66,1.521
p9,p67,1.518
p9,p68,1.445
p9,p69,1.433
p9,p70,1.444
p9,p71,1.417
p9,p72,1.378
p9,p73,1.393
p9,p74,1.386
p9,p75,1.389
p9,p76,1.394
p9,p77,1.414
p9,p78,1.404
p9,p79,1.391
p9,p80,1.387
p9,p81,1.41
p9,p82,1.396
p9,p83,1.376
p9,p84,1.38
p9,p85,1.39
p9,p86,1.406
p9,p87,1.387
p9,p88,1.366
p9,p89,1.397
p9,p90,1.403
p9,p91,1.413
p9,p92,1.371
p9,p93,1.354
p9,p94,1.419
p9,p95,1.447
p9,p96,1.458
p9,p97,1.455
p9,p98,1.47
p9,p99,1.477
p9,p100,1.594
p9,p101,1.462
p9,p102,1.472
p9,p103,1.347
p9,p104,1.367
p9,p105,1.377
p9,p106,1.357
p9,p107,1.352
p9,p108,1.348
p9,p109,1.363
p9,p110,1.408
p9,p111,1.395
p9,p112,1.397
p9,p113,1.383
p9,p114,1.396
p9,p115,1.466
p9,p116,1.443
p9,p117,1.465
p9,p118,1.448
p9,p119,1.541
p9,p120,1.589
p9,p121,1.586
p9,p122,1.646
p9,p123,1.624
p9,p124,1.651
p9,p125,1.64
p9,p126,1.642
p9,p127,1.561
p9,p128,1.713
p9,p129,1.59
p9,p130,1.672
p9,p131,1.682
p9,p132,1.624
p9,p133,1.665
p9,p134,1.734
p10,p1,1.545
p10,p2,1.577
p10,p3,1.536
p10,p4,1.541
p10,p5,1.562
p10,p6,1.67
p10,p7,1.587
p10,p8,1.703
p10,p9,2.229
p10,p11,3.336
p10,p12,2.17
p10,p13,2.149
p10,p14,1.566
p10,p15,1.627
p10,p16,1.463
p10,p17,1.425
p10,p18,1.434
p10,p19,1.392
p10,p20,1.491
p10,p21,1.539
p10,p22,1.497
p10,p23,1.483
p10,p24,1.496
p10,p25,1.6
p10,p26,1.604
p10,p27,2.204
p10,p28,1.851
p10,p29,1.72
p10,p30,1.686
p10,p31,1.615
p10,p32,1.451
p10,p33,1.624
p10,p34,1.575
p10,p35,1.447
p10,p36,1.393
p10,p37,1.346
p10,p38,1.375
p10,p39,1.48
p10,p40,1.411
p10,p41,1.377
p10,p42,1.333
p10,p43,1.335
p10,p44,1.355
p10,p45,1.357
p10,p46,1.316
p10,p47,1.469
p10,p48,1.385
p10,p49,1.528
p10,p50,1.391
p10,p51,1.364
p10,p52,1.497
p10,p53,1.429
p10,p54,1.379
p10,p55,1.381
p10,p56,1.348
p10,p57,1.344
p10,p58,1.289
p10,p59,1.501
p10,p60,1.391
p10,p61,1.472
p10,p62,1.414
p10,p63,1.438
p10,p64,1.428
p10,p65,1.432
p10,p66,1.443
p10,p67,1.436
p10,p68,1.346
p10,p69,1.33
p10,p70,1.35
p10,p71,1.352
p10,p72,1.343
p10,p73,1.365
p10,p74,1.303
p10,p75,1.295
p10,p76,1.299
p10,p77,1.314
p10,p78,1.309
p10,p79,1.299
p10,p80,1.3
p10,p81,1.324
p10,p82,1.322
p10,p83,1.31
p10,p84,1.337
p10,p85,1.341
p10,p86,1.329
p10,p87,1.311
p10,p88,1.322
p10,p89,1.358
p10,p90,1.337
p10,p91,1.351
p10,p92,1.361
p10,p93,1.339
p10,p94,1.391
p10,p95,1.426
p10,p96,1.44
p10,p97,1.443
p10,p98,1.46
p10,p99,1.469
p10,p100,1.517
p10,p101,1.417
p10,p102,1.433
p10,p103,1.268
p10,p104,1.286
p10,p105,1.3
p10,p106,1.297
p10,p107,1.322
p10,p108,1.318
p10,p109,1.335
p10,p110,1.39
p10,p111,1.321
p10,p112,1.337
p10,p113,1.325
p10,p114,1.348
p10,p115,1.398
p10,p116,1.395
p10,p117,1.428
p10,p118,1.435
p10,p119,1.478
p10,p120,1.567
p10,p121,1.563
p10,p122,1.591
p10,p123,1.546
p10,p124,1.599
p10,p125,1.585
p10,p126,1.588
p10,p127,1.506
p10,p128,1.663
p10,p129,1.537
p10,p130,1.622
p10,p131,1.633
p10,p132,1.573
p10,p133,1.616
p10,p134,1.688
p11,p1,1.444
p11,p2,1.458
p11,p3,1.412
p11,p4,1.412
p11,p5,1.445
p11,p6,1.506
p11,p7,1.428
p11,p8,1.528
p11,p9,2.166
p11,p10,3.336
p11,p12,1.639
p11,p13,1.916
p11,p14,1.427
p11,p15,1.443
p11,p16,1.434
p11,p17,1.405
p11,p18,1.415
p11,p19,1.376
p11,p20,1.467
p11,p21,1.506
p11,p22,1.471
p11,p23,1.458
p11,p24,1.429
p11,p25,1.55
p11,p26,1.558
p11,p27,1.9
p11,p28,1.688
p11,p29,1.634
p11,p30,1.578
p11,p31,1.564
p11,p32,1.43
p11,p33,1.471
p11,p34,1.492
p11,p35,1.428
p11,p36,1.378
p11,p37,1.283
p11,p38,1.321
p11,p39,1.394
p11,p40,1.35
p11,p41,1.321
p11,p42,1.273
p11,p43,1.287
p11,p44,1.304
p11,p45,1.304
p11,p46,1.27
p11,p47,1.395
p11,p48,1.316
p11,p49,1.321
p11,p50,1.262
p11,p51,1.246
p11,p52,1.423
p11,p53,1.246
p11,p54,1.222
p11,p55,1.22
p11,p56,1.236
p11,p57,1.405
p11,p58,1.202
p11,p59,1.415
p11,p60,1.322
p11,p61,1.406
p11,p62,1.343
p11,p63,1.387
p11,p64,1.377
p11,p65,1.381
p11,p66,1.401
p11,p67,1.39
p11,p68,1.296
