*r,t,fraction
p12011,2050,0.01462314
p12015,2050,4.59E-05
p12017,2050,2.67E-06
p12021,2050,0.000780038
p12031,2050,0.001090359
p12033,2050,0.003665258
p12053,2050,4.88E-06
p12055,2050,5.21E-06
p12057,2050,0.00326773
p12061,2050,3.40E-05
p12069,2050,1.26E-05
p12071,2050,0.000505292
p12073,2050,0.000869726
p12083,2050,4.35E-05
p12095,2050,0.00154652
p12097,2050,0.000407087
p12101,2050,2.20E-06
p12105,2050,3.67E-05
p12111,2050,0.001222228
p12115,2050,0.000547791
p12127,2050,0.000160045
p13021,2050,0.001519228
p13051,2050,1.35E-05
p13059,2050,0.001613973
p13089,2050,0.010879384
p13139,2050,0.001984065
p13153,2050,0.001521926
p13185,2050,0.000385062
p13215,2050,0.001523855
p13245,2050,0.004690619
p16001,2050,0.000246543
p16005,2050,2.56E-05
p16019,2050,2.67E-05
p16027,2050,0.00010985
p16055,2050,4.65E-05
p16069,2050,1.26E-05
p16083,2050,3.76E-05
p16085,2050,0.000834505
p17001,2050,0.001068662
p17019,2050,0.002244314
p17031,2050,0.036291682
p17037,2050,1.63E-05
p17091,2050,0.004605296
p17095,2050,0.005103645
p17097,2050,0.000300188
p17099,2050,4.65E-06
p17113,2050,7.76E-05
p17115,2050,0.001071383
p17119,2050,0.005471908
p17143,2050,0.001148184
p17161,2050,2.97E-05
p17167,2050,0.001187371
p17183,2050,7.59E-06
p17199,2050,5.68E-07
p17201,2050,9.75E-05
p18003,2050,0.00113877
p18005,2050,0.000994919
p18035,2050,2.14E-06
p18039,2050,4.90E-05
p18053,2050,1.35E-06
p18067,2050,4.83E-06
p18085,2050,4.19E-06
p18091,2050,1.10E-05
p18095,2050,4.46E-06
p18097,2050,0.00204926
p18105,2050,7.19E-06
p18141,2050,7.32E-05
p18157,2050,0.001035064
p18163,2050,0.003291268
p18167,2050,0.004309935
p18177,2050,7.40E-07
p19013,2050,2.29E-05
p19045,2050,5.45E-06
p19061,2050,0.004126665
p19103,2050,9.60E-05
p19113,2050,4.13E-05
p19153,2050,0.005438702
p19169,2050,0.004153769
p19175,2050,0.000195235
p20045,2050,1.31E-06
p20057,2050,0.001366642
p20061,2050,2.31E-06
p20103,2050,3.22E-07
p20155,2050,0.008151946
p20161,2050,1.27E-06
p20169,2050,0.002411127
p20173,2050,0.006554959
p20177,2050,1.59E-05
p21059,2050,0.002588928
p21067,2050,0.000211591
p21073,2050,1.09E-06
p21089,2050,9.68E-07
p21093,2050,4.60E-06
p21111,2050,0.002381977
p21125,2050,0.001358193
p21145,2050,9.32E-07
p21151,2050,7.06E-07
p21209,2050,7.80E-07
p22017,2050,0.001478439
p22019,2050,0.008430053
p22033,2050,0.033745288
p22051,2050,0.021727879
p22055,2050,0.001158036
p22073,2050,1.40E-05
p22079,2050,2.59E-06
p22101,2050,1.00E-07
p22103,2050,2.04E-05
p22109,2050,0.000352
p23001,2050,4.24E-06
p23005,2050,6.23E-05
p23019,2050,0.001222597
p24001,2050,1.79E-05
p24005,2050,0.006721542
p24013,2050,6.01E-05
p24017,2050,0.000140181
p24021,2050,9.59E-05
p24025,2050,0.001121382
p24037,2050,6.17E-05
p24043,2050,0.000177909
p24045,2050,6.26E-05
p24047,2050,1.38E-05
p25001,2050,0.000341408
p25003,2050,1.52E-05
p25005,2050,0.000109787
p25013,2050,0.000793679
p25017,2050,0.011451805
p25027,2050,0.001422749
p26017,2050,5.52E-06
p26021,2050,1.09E-05
p26025,2050,6.90E-06
p26049,2050,5.92E-05
p26055,2050,6.47E-06
p26065,2050,0.000199648
p26073,2050,1.64E-07
p26075,2050,4.85E-06
p26077,2050,8.28E-05
p26081,2050,0.000928074
p26091,2050,1.79E-06
p26093,2050,2.30E-05
p26111,2050,0.001488785
p26115,2050,3.21E-06
p26121,2050,3.67E-05
p26125,2050,0.010486298
p26139,2050,1.44E-05
p26145,2050,9.35E-06
p26147,2050,7.16E-06
p26161,2050,0.000429614
p27013,2050,0.001448054
p27053,2050,0.029018032
p27109,2050,9.87E-06
p27137,2050,0.019742638
p27145,2050,0.001463609
p27169,2050,4.27E-06
p28047,2050,0.001649996
p28049,2050,0.006111029
p28067,2050,0.001758316
p28087,2050,0.002151954
p28151,2050,0.001640437
p29019,2050,1.33E-05
p29021,2050,0.005789286
p29031,2050,1.15E-06
p29051,2050,1.78E-06
p29077,2050,3.08E-05
p29095,2050,0.001551276
p29097,2050,1.23E-06
p29187,2050,7.79E-07
p29189,2050,0.008711662
p30013,2050,0.001200072
p30029,2050,2.11E-05
p30031,2050,2.37E-05
p30049,2050,3.43E-05
p30063,2050,9.43E-05
p30093,2050,0.000419183
p30111,2050,0.00278326
p31019,2050,3.23E-06
p31043,2050,0.01102406
p31055,2050,0.000524534
p31079,2050,0.002992606
p31109,2050,0.007441747
p32003,2050,0.005806827
p32023,2050,4.73E-05
p32031,2050,0.000431106
p32510,2050,9.24E-05
p33011,2050,0.000344733
p33013,2050,0.000256873
p33015,2050,2.06E-05
p33017,2050,1.38E-05
p34001,2050,0.000434015
p34005,2050,5.75E-05
p34009,2050,3.05E-05
p34011,2050,0.001956598
p34021,2050,0.001343664
p34037,2050,5.98E-05
p35001,2050,0.00070794
p35005,2050,0.001377617
p35013,2050,3.22E-05
p35025,2050,1.19E-05
p35031,2050,0.000245826
p35035,2050,8.93E-06
p35045,2050,0.000160991
p35049,2050,2.42E-05
p35061,2050,2.83E-05
p36001,2050,0.001113424
p36007,2050,0.000242033
p36011,2050,7.86E-06
p36013,2050,0.001216962
p36015,2050,7.58E-06
p36029,2050,0.007529276
p36045,2050,1.21E-05
p36055,2050,0.007422333
p36061,2050,0.045290829
p36063,2050,3.51E-06
p36065,2050,2.27E-05
p36067,2050,0.000779879
p36071,2050,0.00065551
p36075,2050,6.94E-06
p36091,2050,2.21E-05
p36109,2050,5.22E-06
p36111,2050,1.02E-05
p36113,2050,2.26E-05
p37001,2050,5.23E-06
p37021,2050,9.72E-05
p37023,2050,0.000127733
p37025,2050,0.000128959
p37031,2050,1.99E-06
p37049,2050,2.89E-06
p37051,2050,0.000161039
p37063,2050,0.000219013
p37067,2050,9.15E-05
p37071,2050,1.99E-06
p37081,2050,0.00020129
p37105,2050,3.12E-07
p37119,2050,0.003360406
p37125,2050,7.17E-06
p37127,2050,7.94E-06
p37129,2050,9.41E-06
p37133,2050,1.64E-05
p37147,2050,1.96E-05
p37183,2050,0.003549416
p37191,2050,2.69E-06
p37195,2050,1.80E-06
p38015,2050,0.003185468
p38017,2050,3.44E-05
p38035,2050,0.001238836
p38057,2050,0.002982219
p38089,2050,0.000189097
p39003,2050,0.006232401
p39017,2050,0.000344908
p39023,2050,0.000344794
p39029,2050,0.00090641
p39035,2050,0.008383565
p39043,2050,1.61E-06
p39045,2050,1.57E-06
p39049,2050,0.002088162
p39061,2050,0.002152245
p39063,2050,2.10E-06
p39081,2050,0.000345995
p39087,2050,0.003473242
p39089,2050,1.45E-06
p39093,2050,2.06E-05
p39095,2050,0.010046762
p39101,2050,1.33E-06
p39113,2050,0.000689563
p39119,2050,1.91E-06
p39139,2050,3.86E-06
p39141,2050,1.72E-06
p39151,2050,0.001360058
p39153,2050,0.000266818
p39155,2050,5.41E-05
p39157,2050,1.75E-06
p39169,2050,6.54E-07
p39173,2050,4.07E-07
p40027,2050,0.002940579
p40031,2050,8.45E-06
p40047,2050,0.006577565
p40101,2050,0.002280832
p40109,2050,0.00058241
p40119,2050,0.004290313
p40125,2050,9.76E-07
p40143,2050,0.009665498
p40147,2050,0.006493868
p40153,2050,0.002082502
p41003,2050,1.30E-05
p41017,2050,9.13E-05
p41019,2050,5.92E-05
p41029,2050,0.000257514
p41033,2050,6.36E-05
p41035,2050,7.91E-05
p41039,2050,0.000335036
p41043,2050,1.20E-05
p41047,2050,0.000565886
p41051,2050,0.003359644
p41065,2050,0.001176459
p41071,2050,1.35E-05
p42001,2050,3.88E-05
p42003,2050,0.002103903
p42011,2050,0.000444572
p42013,2050,1.79E-05
p42019,2050,0.000527155
p42021,2050,1.80E-05
p42027,2050,9.19E-05
p42037,2050,2.03E-05
p42043,2050,0.000705158
p42045,2050,0.023341726
p42047,2050,0.000521549
p42049,2050,0.006543453
p42051,2050,1.08E-05
p42055,2050,3.05E-05
p42071,2050,0.000312283
p42075,2050,4.66E-05
p42077,2050,0.0010283
p42079,2050,0.000451531
p42081,2050,3.17E-05
p42089,2050,0.000574219
p42091,2050,8.78E-05
p42097,2050,8.55E-06
p42107,2050,8.89E-06
p42119,2050,1.38E-05
p42129,2050,2.88E-06
p42133,2050,0.000152004
p44007,2050,0.001981582
p45007,2050,0.002155707
p45013,2050,1.33E-05
p45019,2050,0.000437327
p45045,2050,0.000184264
p45051,2050,0.000199531
p45079,2050,0.001311682
p45083,2050,1.36E-06
p45091,2050,1.02E-06
p46099,2050,3.02E-05
p46103,2050,0.005213199
p47037,2050,0.001960501
p47065,2050,0.001957114
p47093,2050,0.00180722
p47125,2050,0.001752826
p47149,2050,0.001440132
p47157,2050,0.004083345
p47163,2050,0.00091805
p47179,2050,7.54E-06
p47181,2050,0.001745197
p48005,2050,0.000760613
p48027,2050,9.21E-05
p48029,2050,0.004417889
p48037,2050,4.17E-06
p48039,2050,0.008407691
p48041,2050,4.13E-05
p48061,2050,3.89E-05
p48085,2050,0.000243782
p48113,2050,0.013077012
p48121,2050,0.000638499
p48135,2050,0.00082404
p48141,2050,0.002954277
p48167,2050,0.009863827
p48181,2050,0.002347165
p48183,2050,0.000769947
p48201,2050,0.029453194
p48209,2050,0.000908318
p48215,2050,0.000171717
p48245,2050,0.021165919
p48251,2050,6.75E-06
p48297,2050,0.002367374
p48303,2050,7.53E-05
p48309,2050,5.66E-05
p48323,2050,5.98E-06
p48329,2050,0.001519449
p48339,2050,0.00016154
p48341,2050,0.001890966
p48347,2050,3.80E-06
p48355,2050,0.009781272
p48367,2050,1.05E-05
p48375,2050,0.005854519
p48423,2050,0.001515363
p48427,2050,1.09E-05
p48441,2050,3.32E-05
p48451,2050,2.08E-05
p48453,2050,0.003142347
p48465,2050,5.40E-08
p48469,2050,0.000765644
p48471,2050,4.31E-06
p48479,2050,5.79E-05
p48485,2050,1.04E-05
p49005,2050,1.79E-05
p49011,2050,0.000358531
p49021,2050,0.000176807
p49035,2050,0.003942031
p49045,2050,6.17E-06
p49049,2050,0.000578775
p49053,2050,0.000133061
p50007,2050,0.000686106
p51015,2050,1.21E-05
p51069,2050,6.36E-05
p51089,2050,2.20E-06
p51121,2050,2.80E-06
p51520,2050,9.11E-07
p51540,2050,4.32E-05
p51590,2050,6.04E-06
p51610,2050,0.011844808
p51630,2050,0.000244446
p51660,2050,1.52E-05
p51680,2050,4.00E-05
p51710,2050,0.003518207
p51760,2050,0.007704858
p51770,2050,3.20E-05
p53015,2050,0.000906854
p53017,2050,1.43E-05
p53021,2050,0.000192465
p53025,2050,0.000181584
p53029,2050,0.00183846
p53033,2050,0.01206351
p53035,2050,0.000375442
p53041,2050,7.82E-06
p53057,2050,0.001390259
p53061,2050,0.00023292
p53063,2050,0.000247369
p53067,2050,0.000485585
p53071,2050,6.50E-06
p53073,2050,0.003671992
p53077,2050,0.000136425
p54033,2050,3.45E-06
p54039,2050,0.000377629
p54049,2050,3.45E-06
p54055,2050,3.17E-06
p54061,2050,5.64E-06
p54069,2050,0.000370397
p54081,2050,8.90E-06
p54107,2050,5.25E-06
p55009,2050,2.43E-05
p55017,2050,1.66E-05
p55025,2050,0.000752446
p55039,2050,9.68E-06
p55059,2050,6.48E-05
p55063,2050,2.07E-05
p55071,2050,2.92E-06
p55073,2050,9.43E-06
p55087,2050,6.07E-05
p55097,2050,0.005900145
p55101,2050,8.01E-05
p55105,2050,2.63E-05
p55117,2050,1.04E-05
p55131,2050,9.47E-06
p55133,2050,0.002947993
p55139,2050,1.28E-05
p56001,2050,6.12E-06
p56005,2050,7.84E-05
p56007,2050,0.000850935
p56021,2050,0.001597928
p56023,2050,0.000125315
p56025,2050,0.00032548
p56037,2050,0.000911095
p56041,2050,3.21E-05
p56045,2050,0.000174914
