FIPS,value
p06025,179851
p06027,18970
p06029,917673
p06031,153443
p06033,68766
p06035,33159
p06037,9829544
p06039,159410
p06041,260206
p06043,17147
p06045,91305
p06047,286461
p06049,8661
p06051,13247
p06053,437325
p06055,136207
p06057,103487
p06059,3167809
p06061,412300
p06063,19915
p06065,2458395
p06067,1588921
p06069,66677
p06071,2194710
p06073,3286069
p06075,815201
p06077,789410
p06079,283159
p06081,737888
p06083,446475
p06085,1885508
p06087,267792
p06089,182139
p06091,3283
p06093,44118
p06095,451716
p06097,485887
p06099,552999
p06101,99063
p06103,65498
p06105,16060
p06107,477054
p06109,55810
p06111,839784
p06113,216986
p06115,83421
p08001,522140
p08003,16547
p08005,654900
p08007,13790
p08009,3514
p08011,5759
p08013,329543
p08014,75325
p08015,20074
p08017,1707
p08019,9446
p08021,7612
p08023,3625
p08025,6012
p08027,5045
p08029,31661
p08031,711463
p08033,2397
p08035,368990
p08037,55727
p08039,27128
p08041,737867
p08043,49661
p08045,62161
p08047,5873
p08049,15860
p08051,17281
p08053,781
p08055,6920
p08057,1363
p08059,579581
p08061,1452
p08063,6950
p08065,7407
p08067,56250
p08069,362533
p08071,14633
p08073,5688
p08075,21487
p08077,157335
p08079,924
p08081,13185
p08083,26175
p08085,43168
p08087,29008
p08089,18594
p08091,5035
p08093,17720
p08095,4512
p08097,17348
p08099,11996
p08101,169622
p08103,6476
p08105,11408
p08107,25091
p08109,6471
p08111,733
p08113,8074
p08115,2336
p08117,30941
p08119,24926
p08121,4861
p08123,340036
p08125,9941
p09110,976248
p09120,327778
p09130,174225
p09140,450376
p09150,95348
p09160,112503
p09170,570487
p09180,280430
p09190,620549
p10001,184149
p10003,571708
p10005,247527
p11001,670050
p12001,279238
p12003,28715
p12005,179168
p12007,28540
p12009,616628
p12011,1930983
p12013,13641
p12015,194843
p12017,158083
p12019,222361
p12021,385980
p12023,70385
p12027,34408
p12029,17102
p12031,999935
p12033,322390
p12035,120932
p12037,12572
p12039,43714
p12041,18360
p12043,12234
p12045,14363
p12047,13993
p12049,25425
p12051,40313
p12053,200638
p12055,103296
p12057,1478194
p12059,19784
p12061,163662
p12063,47694
p12065,14555
p12067,8382
p12069,395804
p12071,787976
p12073,292817
p12075,44158
p12077,7900
p12079,18288
p12081,412703
p12083,385915
p12085,159942
p12086,2662777
p12087,82170
p12089,94189
p12091,213255
p12093,40266
p12095,1422746
p12097,403282
p12099,1497987
p12101,584067
p12103,956615
p12105,753520
p12107,74167
p12109,292466
p12111,343579
p12113,193998
p12115,447057
p12117,470093
p12119,135638
p12121,44485
p12123,21815
p12125,16335
p12127,564412
p12129,34690
p12131,80069
p12133,25436
p13001,18488
p13003,8391
p13005,11079
p13007,2819
p13009,43781
p13011,18562
p13013,86658
p13015,110843
p13017,17158
p13019,18147
p13021,156762
p13023,12607
p13025,18101
p13027,16270
p13029,46938
p13031,82442
p13033,24310
p13035,25781
p13037,5509
p13039,55664
p13043,11037
p13045,121968
p13047,68397
p13049,12766
p13051,296329
p13053,9048
p13055,24932
p13057,274615
p13059,128711
p13061,2882
p13063,297100
p13065,6725
p13067,766802
p13069,43386
p13071,45812
p13073,159639
p13075,17225
p13077,149956
p13079,12153
p13081,19879
p13083,16326
p13085,28497
p13087,29038
p13089,757718
p13091,19759
p13093,10885
p13095,84844
p13097,145814
p13099,10619
p13101,3699
p13103,66741
p13105,19579
p13107,22716
p13109,10672
p13111,25817
p13113,120574
p13115,98771
p13117,260206
p13119,23785
p13121,1065334
p13123,32026
p13125,2919
p13127,84739
p13129,58237
p13131,25918
p13133,19536
p13135,964546
p13137,46774
p13139,207369
p13141,8630
p13143,30572
p13145,35626
p13147,26409
p13149,11565
p13151,245235
p13153,166829
p13155,9618
p13157,80286
p13159,15278
p13161,14872
p13163,15524
p13165,8639
p13167,9160
p13169,28400
p13171,19080
p13173,9907
p13175,49547
p13177,33411
p13179,65711
p13181,7749
p13183,17152
p13185,119276
p13187,34278
p13189,21633
p13191,11123
p13193,12004
p13195,30885
p13197,7440
p13199,20793
p13201,5919
p13205,21521
p13207,28712
p13209,8653
p13211,20635
p13213,39951
p13215,205617
p13217,115355
p13219,43023
p13221,15140
p13223,173780
p13225,28417
p13227,34024
p13229,19976
p13231,19477
p13233,43496
p13235,9917
p13237,22585
p13239,2243
p13241,17119
p13243,6287
p13245,205673
p13247,94082
p13249,4478
p13251,14105
p13253,9197
p13255,67909
p13257,26865
p13259,5341
p13261,29283
p13263,5742
p13265,1558
p13267,23052
p13269,7799
p13271,12414
p13273,8964
p13275,45842
p13277,41212
p13279,26911
p13281,12875
p13283,6306
p13285,69720
p13287,8966
p13289,7856
p13291,25521
p13293,27720
p13295,68510
p13297,99853
p13299,36033
p13301,5240
p13303,19785
p13305,30380
p13307,2367
p13309,7471
p13311,28442
p13313,102848
p13315,8739
p13317,9513
p13319,8831
p13321,20554
p16001,511931
p16003,4625
p16005,88263
p16007,6545
p16009,9931
p16011,48876
p16013,24766
p16015,8094
p16017,49491
p16019,127930
p16021,12561
p16023,2654
p16025,1139
p16027,243115
p16029,7111
p16031,25164
p16033,792
p16035,8895
p16037,4428
p16039,28827
p16041,14666
p16043,13592
p16045,19792
p16047,15772
p16049,17040
p16051,32202
p16053,24662
p16055,179789
p16057,40313
p16059,8162
p16061,3715
p16063,5282
p16065,53881
p16067,21955
p16069,42454
p16071,4611
p16073,12336
p16075,26350
p16077,7950
p16079,13612
p16081,12267
p16083,92243
p16085,12241
p16087,10898
p17001,64954
p17003,5030
p17005,16596
p17007,53159
p17009,6421
p17011,32883
p17013,4369
p17015,15698
p17017,12773
p17019,205943
p17021,33662
p17023,15300
p17025,13143
p17027,36793
p17029,46765
p17031,5173146
p17033,18659
p17035,10345
p17037,100414
p17039,15341
p17041,19722
p17043,924885
p17045,16520
p17047,6075
p17049,34430
p17051,21384
p17053,13511
p17055,37442
p17057,33197
p17059,4903
p17061,11843
p17063,52989
p17065,7911
p17067,17400
p17069,3650
p17071,6312
p17073,48907
p17075,26827
p17077,52565
p17079,9193
p17081,36877
p17083,21333
p17085,21939
p17087,13463
p17089,515588
p17091,106601
p17093,134867
p17095,49268
p17097,711239
p17099,108965
p17101,15152
p17103,34049
p17105,35664
p17107,27992
p17109,26828
p17111,311122
p17113,170889
p17115,102432
p17117,44406
p17119,264490
p17121,37390
p17123,11663
p17125,12881
p17127,13960
p17129,12164
p17131,15582
p17133,34932
p17135,28084
p17137,32606
p17139,14510
p17141,51449
p17143,179432
p17145,20985
p17147,16753
p17149,14618
p17151,3779
p17153,5065
p17155,5566
p17157,30142
p17159,15796
p17161,142909
p17163,254796
p17165,23320
p17167,194734
p17169,6843
p17171,4836
p17173,20789
p17175,5294
p17177,44021
p17179,130413
p17181,16923
p17183,73095
p17185,11202
p17187,16531
p17189,13655
p17191,15963
p17193,13784
p17195,55305
p17197,697252
p17199,66879
p17201,283119
p17203,38225
p18001,35961
p18003,388608
p18005,82475
p18007,8714
p18009,12091
p18011,73052
p18013,15552
p18015,20444
p18017,37563
p18019,122738
p18021,26410
p18023,33065
p18025,10514
p18027,33397
p18029,50816
p18031,26320
p18033,43333
p18035,111871
p18037,43549
p18039,206921
p18041,23360
p18043,80454
p18045,16427
p18047,22842
p18049,20386
p18051,32924
p18053,66263
p18055,30786
p18057,356650
p18059,81789
p18061,39761
p18063,179355
p18065,48935
p18067,83687
p18069,36717
p18071,46067
p18073,33091
p18075,20248
p18077,33141
p18079,27409
p18081,164298
p18083,35956
p18085,80106
p18087,40524
p18089,498558
p18091,112390
p18093,45070
p18095,130782
p18097,971102
p18099,46121
p18101,9780
p18103,36081
p18105,139875
p18107,38063
p18109,72206
p18111,13808
p18113,47227
p18115,5978
p18117,19830
p18119,21446
p18121,16407
p18123,19316
p18125,12144
p18127,174243
p18129,25116
p18131,12339
p18133,36979
p18135,24387
p18137,29081
p18139,16672
p18141,272212
p18143,24355
p18145,45039
p18147,19798
p18149,23372
p18151,34632
p18153,20758
p18155,9790
p18157,187076
p18159,15372
p18161,7047
p18163,179987
p18165,15341
p18167,105994
p18169,30816
p18171,8475
p18173,64514
p18175,28102
p18177,66456
p18179,28197
p18181,24651
p18183,34430
p19001,7541
p19003,3641
p19005,13926
p19007,12257
p19009,5635
p19011,25691
p19013,130368
p19015,26723
p19017,25081
p19019,20657
p19021,20771
p19023,14332
p19025,9915
p19027,20692
p19029,13050
p19031,18410
p19033,42706
p19035,11503
p19037,11887
p19039,9785
p19041,16440
p19043,16998
p19045,46463
p19047,16193
p19049,103796
p19051,9138
p19053,7659
p19055,17510
p19057,38491
p19059,17851
p19061,98718
p19063,9321
p19065,19258
p19067,15413
p19069,9952
p19071,6567
p19073,8717
p19075,12347
p19077,10567
p19079,14887
p19081,10663
p19083,16708
p19085,14669
p19087,20387
p19089,9478
p19091,9634
p19093,6956
p19095,16568
p19097,19368
p19099,37764
p19101,15647
p19103,154748
p19105,20805
p19107,9914
p19109,14529
p19111,33215
p19113,228939
p19115,10749
p19117,8710
p19119,12011
p19121,16773
p19123,21984
p19125,33380
p19127,39853
p19129,14465
p19131,10555
p19133,8574
p19135,7610
p19137,10322
p19139,42688
p19141,14015
p19143,6159
p19145,15197
p19147,8906
p19149,25650
p19151,7074
p19153,496844
p19155,93304
p19157,18586
p19159,4639
p19161,9752
p19163,174170
p19165,11770
p19167,35893
p19169,99472
p19171,16867
p19173,5868
p19175,12018
p19177,7243
p19179,35256
p19181,53402
p19183,22491
p19185,6508
p19187,37147
p19189,10656
p19191,19892
p19193,105607
p19195,7385
p19197,12785
p20001,12464
p20003,7778
p20005,16239
p20007,4110
p20009,25216
p20011,14323
p20013,9455
p20015,67889
p20017,2598
p20019,3395
p20021,19130
p20023,2633
p20025,1977
p20027,8077
p20029,8928
p20031,8338
p20033,1670
p20035,34496
p20037,39110
p20039,2751
p20041,18459
p20043,7471
p20045,119363
p20047,2832
p20049,2441
p20051,28790
p20053,6336
p20055,38107
p20057,34159
p20059,25986
p20061,35934
p20063,2755
p20065,2400
p20067,7324
p20069,5644
p20071,1304
p20073,5939
p20075,2484
p20077,5331
p20079,33817
p20081,3668
p20083,1710
p20085,13261
p20087,18411
p20089,2937
p20091,613219
p20093,3891
p20095,7392
p20097,2392
p20099,19912
p20101,1565
p20103,82184
p20105,2903
p20107,9747
p20109,2722
p20111,31998
p20113,30146
p20115,11712
p20117,9979
p20119,4022
p20121,34593
p20123,5748
p20125,31156
p20127,5356
p20129,2692
p20131,10216
p20133,15784
p20135,2672
p20137,5342
p20139,15768
p20141,3498
p20143,5838
p20145,6225
p20147,4815
p20149,25790
p20151,9181
p20153,2549
p20155,61414
p20157,4662
p20159,9390
p20161,72208
p20163,4831
p20165,2953
p20167,6703
p20169,53888
p20171,5131
p20173,523828
p20175,21747
p20177,178264
p20179,2478
p20181,5895
p20183,3576
p20185,4034
p20187,2044
p20189,5293
p20191,22385
p20193,7877
p20195,2793
p20197,6966
p20199,1508
p20201,5511
p20203,2082
p20205,8526
p20207,3102
p20209,167046
p21001,18932
p21003,20797
p21005,24035
p21007,7695
p21009,44544
p21011,12778
p21013,23858
p21015,137412
p21017,20229
p21019,47899
p21021,30747
p21023,8439
p21025,13553
p21027,20651
p21029,82918
p21031,12294
p21033,12624
p21035,37560
p21037,93050
p21039,4791
p21041,10863
p21043,26412
p21045,15866
p21047,72357
p21049,36871
p21051,20206
p21053,9265
p21055,8947
p21057,5879
p21059,103063
p21061,12291
p21063,7381
p21065,14092
p21067,321793
p21069,15224
p21071,35274
p21073,51682
p21075,6512
p21077,8775
p21079,17362
p21081,25244
p21083,36615
p21085,26524
p21087,11291
p21089,35649
p21091,9064
p21093,111607
p21095,26164
p21097,18950
p21099,19460
p21101,44329
p21103,15657
p21105,4424
p21107,45138
p21109,12984
p21111,777874
p21113,53626
p21115,22556
p21117,169495
p21119,14053
p21121,29909
p21123,15028
p21125,62561
p21127,16290
p21129,7451
p21131,10278
p21133,21253
p21135,12987
p21137,24243
p21139,8959
p21141,27771
p21143,8803
p21145,67454
p21147,16892
p21149,9100
p21151,94666
p21153,11497
p21155,19725
p21157,31748
p21159,11140
p21161,16931
p21163,30131
p21165,6194
p21167,22850
p21169,10349
p21171,11233
p21173,28219
p21175,13820
p21177,30694
p21179,47098
p21181,7712
p21183,23688
p21185,68685
p21187,11294
p21189,3953
p21191,14607
p21193,27929
p21195,57391
p21197,13133
p21199,65423
p21201,2257
p21203,16115
p21205,24861
p21207,18156
p21209,58252
p21211,48461
p21213,19718
p21215,19916
p21217,26235
p21219,12285
p21221,14192
p21223,8530
p21225,13544
p21227,137212
p21229,12072
p21231,19540
p21233,12813
p21235,36939
p21237,6507
p21239,27075
p22001,57288
p22003,22687
p22005,128369
p22007,20689
p22009,39236
p22011,36584
p22013,12776
p22015,129144
p22017,233092
p22019,205282
p22021,9571
p22023,5080
p22025,8805
p22027,14038
p22029,18376
p22031,26919
p22033,453301
p22035,7220
p22037,19338
p22039,32215
p22041,19668
p22043,22236
p22045,68975
p22047,29824
p22049,14876
p22051,433688
p22053,32345
p22055,244205
p22057,97504
p22059,14834
p22061,48152
p22063,145830
p22065,9799
p22067,25025
p22069,37026
p22071,376971
p22073,158768
p22075,23303
p22077,20356
p22079,128654
p22081,7564
p22083,19805
p22085,22135
p22087,44258
p22089,52282
p22091,10912
p22093,19742
p22095,42094
p22097,82071
p22099,51540
p22101,48232
p22103,269388
p22105,135217
p22107,4043
p22109,108708
p22111,21091
p22113,57204
p22115,48027
p22117,45133
p22119,36184
p22121,27792
p22123,9594
p22125,15494
p22127,13488
p23001,111034
p23003,66859
p23005,305231
p23007,29687
p23009,56192
p23011,124486
p23013,41084
p23015,35828
p23017,58629
p23019,152765
p23021,17165
p23023,37071
p23025,50592
p23027,39912
p23029,31121
p23031,214591
p24001,67729
p24003,590336
p24005,849316
p24009,93928
p24011,33386
p24013,173873
p24015,103905
p24017,168698
p24019,32489
p24021,279835
p24023,28702
p24025,262977
p24027,334529
p24029,19270
p24031,1054827
p24033,955306
p24035,50798
p24037,114468
p24039,24584
p24041,37626
p24043,154937
p24045,103980
p24047,53132
p24510,576498
p25001,232411
p25003,128657
p25005,580164
p25007,21097
p25009,807074
p25011,71015
p25013,462718
p25015,161572
p25017,1614742
p25019,14491
p25021,724505
p25023,533003
p25025,771245
p25027,862029
p26001,10235
p26003,8821
p26005,120950
p26007,28893
p26009,23813
p26011,14975
p26013,8215
p26015,62992
p26017,102985
p26019,18223
p26021,153101
p26023,44985
p26025,133819
p26027,51483
p26029,26086
p26031,25752
p26033,36816
p26035,31065
p26037,79426
p26039,13204
p26041,36826
p26043,25787
p26045,108944
p26047,34225
p26049,404208
p26051,25485
p26053,14361
p26055,95860
p26057,41544
p26059,45546
p26061,37313
p26063,31252
p26065,284034
p26067,67197
p26069,25369
p26071,11635
p26073,64813
p26075,160050
p26077,261108
p26079,17979
p26081,658046
p26083,2107
p26085,12308
p26087,88513
p26089,22623
p26091,98956
p26093,195014
p26095,5309
p26097,10906
p26099,876792
p26101,25350
p26103,66103
p26105,29383
p26107,40031
p26109,23299
p26111,83457
p26113,15130
p26115,155274
p26117,67220
p26119,9297
p26121,176511
p26123,50296
p26125,1270017
p26127,26815
p26129,20726
p26131,5868
p26133,23105
p26135,8311
p26137,25289
p26139,299157
p26141,13093
p26143,23633
p26145,189591
p26147,160053
p26149,60758
p26151,40506
p26153,8030
p26155,67877
p26157,52917
p26159,75658
p26161,369390
p26163,1774816
p26165,33901
p27001,15887
p27003,367018
p27005,35219
p27007,46380
p27009,41459
p27011,5145
p27013,69280
p27015,25819
p27017,36409
p27019,108626
p27021,30639
p27023,12357
p27025,57469
p27027,65574
p27029,8576
p27031,5617
p27033,11569
p27035,67270
p27037,442038
p27039,20935
p27041,39238
p27043,13909
p27045,21271
p27047,30749
p27049,47968
p27051,6153
p27053,1267416
p27055,18778
p27057,21715
p27059,41906
p27061,45070
p27063,9990
p27065,16159
p27067,43767
p27069,4146
p27071,11941
p27073,6684
p27075,10986
p27077,3823
p27079,28841
p27081,5567
p27083,25231
p27085,36735
p27087,5414
p27089,8988
p27091,19915
p27093,23376
p27095,26867
p27097,33992
p27099,40158
p27101,8144
p27103,34332
p27105,21991
p27107,6416
p27109,163436
p27111,60046
p27113,13780
p27115,29302
p27117,9313
p27119,30757
p27121,11403
p27123,543257
p27125,3933
p27127,15366
p27129,14608
p27131,67262
p27133,9680
p27135,15258
p27137,199182
p27139,153268
p27141,99074
p27143,14917
p27145,158947
p27147,37349
p27149,9700
p27151,9749
p27153,25237
p27155,3286
p27157,21509
p27159,14177
p27161,19000
p27163,272256
p27165,11135
p27167,6395
p27169,49630
p27171,144845
p27173,9411
p28001,28742
p28003,34349
p28005,12637
p28007,17742
p28009,7646
p28011,30308
p28013,13018
p28015,9879
p28017,17011
p28019,8106
p28021,8908
p28023,15421
p28025,18535
p28027,20810
p28029,27995
p28031,18279
p28033,188633
p28035,77875
p28037,7676
p28039,24762
p28041,13630
p28043,21365
p28045,46055
p28047,209396
p28049,222679
p28051,16496
p28053,7551
p28055,1280
p28057,23838
p28059,143987
p28061,16291
p28063,7205
p28065,11134
p28067,66744
p28069,8829
p28071,56884
p28073,65353
p28075,72088
p28077,11812
p28079,21196
p28081,82883
p28083,27557
p28085,34943
p28087,58150
p28089,109813
p28091,24378
p28093,33725
p28095,33883
p28097,9729
p28099,28993
p28101,21056
p28103,10123
p28105,51842
p28107,32851
p28109,56503
p28111,11571
p28113,39973
p28115,31445
p28117,24996
p28119,5935
p28121,158096
p28123,27598
p28125,3663
p28127,25750
p28129,14191
p28131,18644
p28133,25402
p28135,12366
p28137,28234
p28139,21635
p28141,18750
p28143,9696
p28145,27953
p28147,13836
p28149,43579
p28151,43687
p28153,19709
p28155,9983
p28157,8315
p28159,17596
p28161,12415
p28163,26373
p29001,25185
p29003,18002
p29005,5234
p29007,24982
p29009,34712
p29011,11658
p29013,16105
p29015,19908
p29017,10556
p29019,185840
p29021,83853
p29023,42101
p29025,8897
p29027,44638
p29029,43436
p29031,82113
p29033,8376
p29035,5320
p29037,109638
p29039,14496
p29041,7356
p29043,91499
p29045,6736
p29047,255518
p29049,21287
p29051,77205
p29053,17115
p29055,22807
p29057,7599
p29059,17341
p29061,8399
p29063,11098
p29065,14432
p29067,11732
p29069,27717
p29071,105231
p29073,14791
p29075,6173
p29077,300865
p29079,9720
p29081,8164
p29083,22206
p29085,8607
p29087,4226
p29089,10168
p29091,39975
p29093,9408
p29095,716862
p29097,123155
p29099,227771
p29101,54150
p29103,3808
p29105,36133
p29107,32817
p29109,38321
p29111,10000
p29113,61586
p29115,11843
p29117,14755
p29119,23383
p29121,15183
p29123,12652
p29125,8406
p29127,28518
p29129,3488
p29131,24909
p29133,12538
p29135,15484
p29137,8712
p29139,11415
p29141,21379
p29143,16035
p29145,59386
p29147,21160
p29149,8631
p29151,13379
p29153,8782
p29155,15236
p29157,18922
p29159,43188
p29161,44937
p29163,17761
p29165,108569
p29167,32043
p29169,53816
p29171,4712
p29173,10361
p29175,24760
p29177,23008
p29179,6087
p29181,10617
p29183,409981
p29185,9376
p29186,18588
p29187,67541
p29189,997187
p29195,23289
p29197,4025
p29199,4693
p29201,37840
p29203,7106
p29205,5976
p29207,28479
p29209,31548
p29211,5934
p29213,56387
p29215,24987
p29217,19595
p29219,36518
p29221,23502
p29223,10914
p29225,39735
p29227,1983
p29229,18610
p29510,293310
p30001,9524
p30003,12957
p30005,6980
p30007,7288
p30009,10847
p30011,1428
p30013,84511
p30015,5916
p30017,11916
p30019,1686
p30021,8904
p30023,9491
p30025,3017
p30027,11617
p30029,108454
p30031,122713
p30033,1209
p30035,13785
p30037,831
p30039,3344
p30041,16179
p30043,12470
p30045,2044
p30047,32033
p30049,72223
p30051,1946
p30053,20525
p30055,1718
p30057,8917
p30059,1964
p30061,4860
p30063,119533
p30065,4896
p30067,17473
p30069,519
p30071,4192
p30073,5994
p30075,1702
p30077,6999
p30079,1091
p30081,45959
p30083,11283
p30085,10821
p30087,8124
p30089,12959
p30091,3527
p30093,35411
p30095,9044
p30097,3723
p30099,6269
p30101,5011
p30103,768
p30105,7537
p30107,2059
p30109,934
p30111,167146
p31001,31027
p31003,6279
p31005,439
p31007,692
p31009,461
p31011,5386
p31013,10604
p31015,1789
p31017,2908
p31019,50339
p31021,6709
p31023,8444
p31025,27017
p31027,8330
p31029,3826
p31031,5458
p31033,9529
p31035,6078
p31037,10498
p31039,8984
p31041,10460
p31043,21241
p31045,8148
p31047,23898
p31049,1865
p31051,5545
p31053,37103
p31055,585008
p31057,1635
p31059,5546
p31061,2903
p31063,2555
p31065,4604
p31067,21616
p31069,1847
p31071,1839
p31073,1824
p31075,579
p31077,2169
p31079,61979
p31081,9386
p31083,3091
p31085,843
p31087,2586
p31089,10049
p31091,734
p31093,6531
p31095,7176
p31097,5316
p31099,6674
p31101,8279
p31103,787
p31105,3412
p31107,8401
p31109,324514
p31111,34133
p31113,687
p31115,604
p31117,379
p31119,35337
p31121,7665
p31123,4574
p31125,3390
p31127,7064
p31129,4060
p31131,15930
p31133,2548
p31135,2832
p31137,8937
p31139,7313
p31141,34241
p31143,5174
p31145,10623
p31147,7759
p31149,1264
p31151,14192
p31153,193418
p31155,22787
p31157,35745
p31159,17603
p31161,5095
p31163,2964
p31165,1143
p31167,5816
p31169,4913
p31171,673
p31173,6620
p31175,4066
p31177,20969
p31179,9784
p31181,3411
p31183,795
p31185,14244
p32001,25723
p32003,2292476
p32005,49870
p32007,53915
p32009,743
p32011,1903
p32013,17648
p32015,5798
p32017,4525
p32019,60903
p32021,4586
p32023,53450
p32027,6741
p32029,4143
p32031,493392
p32033,9182
p32510,58993
p33001,64460
p33003,51500
p33005,77329
p33007,31289
p33009,92201
p33011,424079
p33013,155238
p33015,316947
p33017,132416
p33019,43533
p34001,274966
p34003,953819
p34005,464269
p34007,523771
p34009,95661
p34011,153627
p34013,854917
p34015,304477
p34017,702463
p34019,129924
p34021,385898
p34023,860807
p34025,645354
p34027,510981
p34029,648998
p34031,518117
p34033,65046
p34035,345647
p34037,145543
p34039,572114
p34041,110731
p35001,674393
p35003,3731
p35005,64629
p35006,27184
p35007,12369
p35009,47999
p35011,1680
p35013,221508
p35015,60911
p35017,27889
p35019,4449
p35021,639
p35023,4074
p35025,73004
p35027,20436
p35028,19330
p35029,25532
p35031,71780
p35033,4196
p35035,68537
p35037,8656
p35039,40179
p35041,19019
p35043,151369
p35045,120993
p35047,27150
p35049,155201
p35051,11502
p35053,16311
p35055,34623
p35057,15307
p35059,4107
p35061,77190
p36001,313743
p36003,46106
p36005,1424948
p36007,197240
p36009,76426
p36011,75880
p36013,126807
p36015,83045
p36017,46537
p36019,79596
p36021,61778
p36023,46311
p36025,44378
p36027,297112
p36029,950683
p36031,37268
p36033,47456
p36035,53116
p36037,57853
p36039,48499
p36041,5119
p36043,59937
p36045,116295
p36047,2641052
p36049,26573
p36051,61578
p36053,67658
p36055,755160
p36057,49558
p36059,1390907
p36061,1576876
p36063,211653
p36065,230274
p36067,473236
p36069,112508
p36071,404525
p36073,40191
p36075,117387
p36077,58123
p36079,97936
p36081,2331143
p36083,160232
p36085,493494
p36087,339227
p36089,108051
p36091,237359
p36093,158089
p36095,29863
p36097,17752
p36099,33688
p36101,92948
p36103,1526344
p36105,79806
p36107,47980
p36109,105162
p36111,182951
p36113,65618
p36115,60956
p36117,90923
p36119,997895
p36121,40491
p36123,24613
p37001,173877
p37003,36644
p37005,11049
p37007,22060
p37009,26711
p37011,17864
p37013,44468
p37015,17505
p37017,29525
p37019,144215
p37021,271534
p37023,87611
p37025,231278
p37027,80463
p37029,10835
p37031,68541
p37033,22714
p37035,161723
p37037,77889
p37039,29167
p37041,13722
p37043,11309
p37045,100359
p37047,50092
p37049,100674
p37051,335508
p37053,29653
p37055,37826
p37057,170637
p37059,43533
p37061,48515
p37063,326126
p37065,48359
p37067,385523
p37069,71703
p37071,230856
p37073,10366
p37075,8043
p37077,61986
p37079,20417
p37081,542410
p37083,48272
p37085,135966
p37087,62476
p37089,116829
p37091,21278
p37093,53114
p37095,4508
p37097,191968
p37099,43410
p37101,226504
p37103,9255
p37105,64138
p37107,54706
p37109,89670
p37111,44717
p37113,37564
p37115,21502
p37117,21754
p37119,1122276
p37121,14963
p37123,25798
p37125,102763
p37127,95176
p37129,229018
p37131,17129
p37133,206160
p37135,148884
p37137,12344
p37139,40821
p37141,62815
p37143,13130
p37145,39127
p37147,172169
p37149,19656
p37151,145172
p37153,42724
p37155,116328
p37157,91266
p37159,148150
p37161,64586
p37163,58990
p37165,34227
p37167,63425
p37169,44553
p37171,71152
p37173,14136
p37175,33165
p37177,3254
p37179,243648
p37181,42185
p37183,1150204
p37185,18762
p37187,10892
p37189,54234
p37191,116835
p37193,65806
p37195,78369
p37197,37192
p37199,18757
p38001,2167
p38003,10806
p38005,5809
p38007,955
p38009,6390
p38011,2903
p38013,2158
p38015,98933
p38017,186562
p38019,3662
p38021,4897
p38023,2188
p38025,4035
p38027,2337
p38029,3271
p38031,3364
p38033,1770
p38035,72705
p38037,2323
p38039,2281
p38041,2430
p38043,2369
p38045,4066
p38047,1883
p38049,5249
p38051,2513
p38053,13819
p38055,9796
p38057,8323
p38059,33611
p38061,9576
p38063,3054
p38065,1873
p38067,6767
p38069,3953
p38071,11572
p38073,5675
p38075,2266
p38077,16560
