r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p41005,1.048,2.096,5.614,9.7,10.868,13.346,21.573,26.93964023,28.41618212,38.27558639,56.38798104,84.20523464,93.011,93.011,93.011,93.219,93.784,94.434,95.517,96.962,98.683
p41007,0.14575,0.2915,0.781,1.387,1.57,1.937,3.112,3.839322826,4.05293715,4.299168348,5.055412807,6.863432756,7.394,7.394,7.394,7.483,7.596,7.757,8.025,8.342,8.728
p41009,0.1245,0.249,0.667,1.15,1.282,1.569,2.552,3.241504393,3.398313532,3.832033529,6.134108456,8.863768089,9.63,9.63,9.63,9.68,9.706,9.866,10.061,10.366,10.706
p41013,0.08225,0.1645,0.441,1.201,2.577,3.088,5.334,3.992609603,4.49324315,5.039162291,5.556950681,6.084212753,5.696,5.699,5.699,5.702,5.729,5.788,5.878,6.064,6.237
p41017,0.71675,1.4335,3.84,9.194,12.632,16.837,26.893,27.21146878,29.93656404,35.36254239,43.05441316,53.58290049,53.519,53.583,53.715,54.032,54.43,54.84,55.563,57.709,60.278
p41021,0.00625,0.0125,0.033,0.058,0.065,0.078,0.129,0.158396337,0.165512617,0.172446966,0.179041237,0.223758702,0.264,0.264,0.264,0.265,0.269,0.275,0.282,0.291,0.3
p41023,0.025,0.05,0.134,0.232,0.26,0.313,0.506,0.616212846,0.6408309,0.662501952,0.683915283,0.703884159,0.637,0.637,0.637,0.64,0.646,0.661,0.684,0.713,0.752
p41027,0.05275,0.1055,0.283,0.498,0.548,0.659,1.054,1.301915699,1.353808326,1.394855839,1.424545492,1.476357669,1.322,1.322,1.322,1.324,1.33,1.34,1.354,1.373,1.401
p41031,0.0755,0.151,0.404,1.008,1.644,2.208,3.717,2.755074351,3.280544939,4.089612541,5.41349528,7.123172757,7.395,7.4,7.425,7.455,7.53,7.626,7.781,7.924,8.124
p41039,1.22775,2.4555,6.577,11.814,13.565,16.694,25.329,29.5761728,31.67550749,39.69554527,52.18218006,69.2505073,72.355,72.358,72.451,72.755,73.455,74.229,75.312,76.66,79.481
p41041,0.17675,0.3535,0.947,1.701,2.086,2.541,4.219,4.6476551,5.220013293,6.95681621,9.083284603,11.40157407,11.503,11.503,11.511,11.578,11.668,11.862,12.133,12.463,13.056
p41043,0.3815,0.763,2.044,3.546,4.322,5.376,8.632,9.795025096,10.94505226,12.89750504,17.03227069,23.33724555,25.141,25.206,25.356,25.517,25.679,25.959,26.367,26.76,27.327
p41047,0.9605,1.921,5.145,8.808,10.396,12.793,20.051,23.00017004,24.96588065,33.05524564,46.02027017,65.00021638,70.203,70.203,70.203,70.329,70.563,71.38,72.04,73.139,74.262
p41049,0.025,0.05,0.134,0.241,0.273,0.332,0.545,0.667308439,0.696001772,0.725805268,0.760647242,0.90740338,0.908,0.908,0.908,0.914,0.93,0.97,1.025,1.105,1.191
p41051,2.68325,5.3665,14.374,24.459,27.097,33.362,51.249,62.25384807,65.35626399,77.00302749,108.9738379,155.0456656,170.023,170.023,170.044,170.441,171.464,173.332,175.309,177.514,180.357
p41053,0.179,0.358,0.959,1.73,2.198,2.711,4.486,5.024740573,5.629550921,9.102580356,14.05974134,19.61542995,20.932,20.932,20.937,20.978,21.02,21.143,21.413,21.766,22.455
p41055,0.0055,0.011,0.029,0.055,0.083,0.103,0.175,0.164527808,0.214317619,0.291413544,0.41034917,0.564456626,0.601,0.601,0.601,0.604,0.609,0.613,0.626,0.64,0.656
p41057,0.168,0.336,0.9,2.825,3.887,5.142,6.832,7.573388731,8.145130498,8.686743052,9.144447759,9.508058222,8.611,8.619,8.631,8.644,8.688,8.734,8.798,8.861,8.969
p41059,0.1915,0.383,1.026,2.755,4.646,6.475,11.323,8.396027771,10.32225799,13.05685477,16.65973147,20.84104295,21.058,21.058,21.059,21.169,21.278,21.521,21.938,22.456,23.44
p41061,0.06825,0.1365,0.366,0.632,0.705,0.852,1.372,1.676957348,1.741065409,1.799778778,1.856023752,1.913755333,1.733,1.733,1.733,1.741,1.756,1.785,1.877,1.994,2.144
p41063,0.03175,0.0635,0.17,0.413,0.768,1.132,2.053,1.729074853,2.094371187,2.701305322,3.392887038,4.204189888,4.236,4.236,4.236,4.241,4.251,4.27,4.284,4.327,4.408
p41065,0.06575,0.1315,0.352,0.594,0.652,0.782,1.246,1.564547044,1.626479752,1.676446454,1.712568351,1.733848838,1.547,1.547,1.547,1.549,1.554,1.563,1.576,1.594,1.617
p41067,1.46275,2.9255,7.836,13.545,15.413,18.97,30.833,38.03658102,40.51557879,49.17248834,72.93761882,107.2445101,117.699,117.699,117.703,117.963,118.728,119.768,121.083,122.891,124.921
p41069,0.00475,0.0095,0.025,0.046,0.052,0.063,0.109,0.140001924,0.147475985,0.154983982,0.161248319,0.276606235,0.33,0.33,0.33,0.332,0.335,0.342,0.347,0.356,0.362
p41071,0.261,0.522,1.398,2.433,3.387,4.196,6.865,6.844765581,8.448570295,12.22190585,19.1240506,27.66736999,29.883,29.883,29.883,29.944,30.178,30.5,30.955,31.345,31.791
p41011,0.177,0.354,0.948,1.631,1.817,2.203,3.559,4.385023754,4.579182393,4.760845985,5.482442837,6.487877949,6.456,6.456,6.456,6.534,6.65,6.788,6.931,7.144,7.462
p41015,0.0795,0.159,0.426,0.746,0.835,1.014,1.612,1.967180314,2.044505206,2.115203925,2.187416848,2.260075334,2.373,2.373,2.374,2.384,2.409,2.447,2.495,2.626,2.755
p41019,0.392,0.784,2.1,3.668,4.452,5.511,8.781,9.986122612,11.838396,17.00676344,25.11247954,34.89736223,37.428,37.43,37.458,37.478,37.837,38.216,38.559,39.197,39.958
p41029,0.7115,1.423,3.812,9.917,21.908,27.898,48.349,28.64521111,32.0712524,37.63600461,46.82206353,57.71287894,57.909,58.041,58.347,58.627,58.928,59.486,60.309,61.138,62.446
p41033,0.257,0.514,1.377,3.586,6.869,9.052,15.612,13.69055307,15.26005106,17.75003169,21.13909856,24.82372296,24.191,24.206,24.307,24.457,24.561,25.012,25.268,25.784,26.414
p41035,0.2755,0.551,1.476,4.068,7.62,10.579,18.436,15.07115598,17.19315354,19.94600192,23.04516489,27.4953344,27.151,27.168,27.196,27.218,27.268,27.392,27.455,27.986,28.467
p41001,0.05525,0.1105,0.296,0.518,0.587,0.722,1.165,1.428632768,1.497040398,1.557479876,1.908290448,2.318544945,2.554,2.554,2.554,2.57,2.594,2.644,2.698,2.78,2.884
p41025,0.023,0.046,0.123,0.245,0.278,0.345,0.557,0.694900059,0.734196992,0.856777647,1.056454502,1.323437148,1.33,1.33,1.33,1.338,1.353,1.367,1.407,1.461,1.523
p41037,0.0285,0.057,0.153,0.317,0.506,0.674,1.233,1.152716568,1.316674085,1.656800597,2.041737332,2.489456114,2.482,2.482,2.482,2.483,2.51,2.543,2.587,2.635,2.705
p41045,0.1235,0.247,0.662,1.119,1.239,1.539,2.276,2.703978759,2.857214593,3.393276058,4.780734636,6.879174574,7.476,7.476,7.485,7.53,7.621,7.731,7.82,7.929,8.051
p06035,0.61625,1.2325,3.054,6.576,9.662,11.661,15.241,13.81522632,14.40278058,14.98869737,15.64108692,16.38948163,14.9,14.9,14.936,14.936,14.973,15.099,15.332,15.631,16.001
p06049,0.104,0.208,0.515,0.598,0.644,0.704,0.94,0.825704776,0.925173088,1.044504724,1.175444641,1.324561564,1.269,1.269,1.269,1.279,1.31,1.323,1.366,1.409,1.447
p06093,0.68825,1.3765,3.411,4.922,7.192,8.634,11.717,8.734280594,9.822537209,11.00386273,12.00910755,13.11068577,12.169,12.169,12.169,12.173,12.268,12.771,13.081,13.777,14.368
p06001,25.37075,50.7415,125.752,217.229,321.715,422.641,561.817,546.3242949,582.2500437,620.0319747,660.4864583,708.0411232,649.777,650.167,650.596,650.969,652.997,657.763,664.314,675.058,691.779
p06003,0.053,0.106,0.263,0.435,0.606,0.853,1.222,1.220162751,1.337893651,1.438513299,1.609147015,1.819304423,1.713,1.715,1.717,1.719,1.722,1.726,1.751,1.802,1.867
p06005,0.798,1.596,3.955,8.588,13.57,17.662,23.67,21.26700754,22.63597228,23.70163489,24.66320837,25.53997569,23.097,23.097,23.097,23.097,23.14,23.282,23.777,24.249,24.729
p06007,4.915,9.83,24.362,56.495,86.654,106.26,142.513,130.7127449,138.2412301,145.2963918,151.8214084,159.3937807,144.352,144.352,144.352,144.363,144.759,145.642,146.16,148.252,151.563
p06009,1.2125,2.425,6.01,12.892,20.742,30.749,42.922,40.60873315,43.00781684,44.90824596,47.11898285,50.00163683,45.613,45.613,45.613,45.754,45.754,46.467,47.474,48.381,49.186
p06011,0.38225,0.7645,1.895,4.049,6.597,9.493,12.911,12.2445478,12.86860594,13.60475589,14.33886774,15.19984993,13.861,13.861,13.861,13.861,13.867,13.879,13.942,14.014,14.365
p06013,16.67625,33.3525,82.657,160.326,238.563,311.146,424.585,407.0836956,433.0637614,458.9665085,483.662664,509.871871,464.294,464.575,464.97,465.097,467.364,472.074,478.202,485.443,497.222
p06015,0.26975,0.5395,1.337,1.426,1.535,1.673,2.196,2.109226061,2.307627828,2.587795926,2.912478254,3.27317378,3.131,3.135,3.135,3.181,3.248,3.319,3.411,3.496,3.655
p06017,4.05175,8.1035,20.083,41.781,67.045,95.85,129.042,121.3193312,127.630386,133.8854232,139.5220539,148.0585471,135.152,135.152,135.152,135.155,135.591,136.921,139.183,141.763,144.015
p06019,15.08775,30.1755,74.784,145.493,223.68,302.377,406.365,382.640586,406.5743159,431.4448459,456.8309437,485.2651602,442.941,443.137,443.432,443.691,444.893,449.601,455.463,466.252,479.672
p06021,0.68,1.36,3.37,9.283,15.135,18.354,24.192,21.59401933,22.56488673,23.29998626,24.02933566,24.77087543,22.27,22.27,22.27,22.27,22.276,22.332,22.438,22.598,22.923
p06023,2.14675,4.2935,10.641,17.292,23.736,32.51,44.216,43.48337119,46.11648329,48.87561762,51.7584862,54.8028914,50.056,50.056,50.056,50.064,50.237,50.676,51.242,51.894,53.192
p06031,2.0535,4.107,10.178,21.57,35.221,49.339,66.111,61.2820099,64.29104177,66.89414269,69.47578423,71.4071364,64.061,64.061,64.067,64.067,64.119,64.676,66.109,67.843,69.686
p06033,1.664,3.328,8.248,19.151,30.408,39.052,52.905,50.18711293,53.47542886,56.30830014,58.82338668,61.00516779,55.274,55.274,55.274,55.274,55.301,55.347,55.632,56.293,57.579
p06039,2.48325,4.9665,12.308,25.584,42.181,59.172,82.354,77.01434286,81.92131837,86.40902719,90.77946728,96.45799132,88.248,88.248,88.248,88.33,88.344,88.957,90.539,92.5,94.623
p06041,4.6835,9.367,23.214,36.999,49.988,66.84,89.686,88.02850879,93.91567819,99.37856705,103.8883996,109.189749,99.373,99.546,99.547,99.572,100.322,101.452,102.748,104.453,106.673
p06043,0.40125,0.8025,1.989,4.109,6.469,9.628,13.948,13.68748734,14.76139125,15.91205264,17.16460552,18.45503306,16.735,16.735,16.735,16.773,16.786,16.962,17.197,17.519,17.783
p06045,1.789,3.578,8.867,17.082,26.132,37.243,51.015,49.39717507,52.49084099,55.26488685,58.2984956,61.20643818,55.679,55.679,55.679,55.813,56.005,56.436,57.48,58.84,60.436
p06047,5.581,11.162,27.663,68.362,104.099,126.925,167.692,150.4264464,157.5754379,164.0396307,171.0321995,177.7026397,160.228,160.25,160.331,160.333,160.442,161.082,163.465,165.765,169.34
p06053,5.9955,11.991,29.717,56.399,82.509,108.434,145.691,138.4578148,146.7152639,155.0822114,165.4385509,177.6464189,163.135,163.251,163.251,163.307,163.829,164.876,166.426,170.05,174.571
p06055,3.27575,6.5515,16.237,38.864,46.345,58.439,79.3,76.60864385,81.22637758,85.86549182,90.73943321,96.56368638,87.975,88.01,88.162,88.253,88.826,89.308,89.953,91.816,93.649
p06057,2.32375,4.6475,11.518,23.485,37.998,56.764,77.723,73.68904169,77.66785632,80.6909914,84.54972189,89.95437155,82.331,82.343,82.343,82.343,82.752,83.441,85.095,86.778,88.353
p06061,8.095,16.19,40.124,87.201,142.944,183.639,240.967,221.5361826,232.9335444,243.0683643,251.8131589,260.7935785,235.972,236.069,236.069,236.154,236.527,237.619,240.74,244.266,249.841
p06063,0.61975,1.2395,3.072,5.793,8.39,11.36,15.825,15.41247454,16.62234721,17.77186042,19.10403357,20.55993905,18.923,18.923,18.923,18.935,19.161,19.483,20.001,20.517,21.227
p06067,17.4435,34.887,86.46,125.664,172.242,211.169,274.814,203.4360799,225.3793788,251.1897432,280.8178393,314.5541367,295.441,295.567,295.807,296.868,299.537,304.063,310.568,318.764,331.159
p06069,0.7885,1.577,3.908,6.379,9.242,13.274,18.577,18.55996304,20.23073445,21.64973429,22.53250644,23.95117646,21.96,21.96,21.97,21.97,22.114,22.456,22.817,23.573,24.055
p06075,13.88775,27.7755,68.836,96.087,119.619,151.911,200.635,199.2135401,213.5749341,227.4837426,241.2141401,260.6507777,239.232,239.54,239.696,239.979,240.916,242.626,244.75,248.313,257.187
p06077,11.86025,23.7205,58.786,124.131,190.656,246.641,326.598,305.1357254,320.5883896,333.8977093,348.4487203,364.402853,330.026,330.026,330.028,330.166,331.053,333.262,336.165,340.491,348.449
p06079,4.87025,9.7405,24.14,40.617,59.969,88.078,121.856,117.9143209,125.7301738,134.7498409,143.3408589,153.0430814,139.841,139.877,139.953,140.122,140.649,143.115,145.097,147.659,150.208
p06081,11.25325,22.5065,55.778,95.328,126.016,168.665,227.949,224.0827869,240.2150386,255.9516807,273.0412221,290.8638246,265.535,265.711,265.875,266.03,266.494,269.33,273.566,279.249,285.963
p06083,7.0005,14.001,34.699,58.585,89.97,127.993,178.35,173.7239928,187.4281846,204.4500668,223.6603146,246.0974668,228.345,228.349,228.367,228.522,229.141,231.286,234.457,241.512,249.791
p06085,33.872,67.744,167.889,271.479,383.603,509.762,666.98,643.7216915,682.7533362,719.5698915,753.1263975,787.2247179,712.466,712.629,712.924,713.339,715.444,720.641,727.671,736.224,745.626
p06087,4.7205,9.441,23.398,44.165,67.512,89.624,120.953,115.3544317,121.8236517,127.8257678,134.0507316,140.6745099,128.248,128.248,128.344,128.37,128.851,130.092,132.477,135.205,138.027
p06089,3.31475,6.6295,16.43,30.277,46.845,63.762,83.879,79.01933391,83.47883454,87.37058275,91.12531712,94.88718274,85.487,85.487,85.49,85.73,85.982,86.528,86.954,88.015,89.892
p06091,0.09775,0.1955,0.485,0.955,1.548,2.388,3.428,3.342673666,3.585045715,3.799290434,4.093483181,4.481920538,4.141,4.141,4.141,4.141,4.167,4.195,4.292,4.392,4.521
p06095,8.182,16.364,40.555,89.06,130.418,166.934,217.541,204.0982788,214.7154858,224.5619671,233.923492,243.7485626,220.405,220.405,220.406,220.435,220.81,221.541,222.959,225.747,229.758
p06097,14.7885,29.577,73.3,106.426,152.115,201.258,263.391,251.7949925,265.3538587,277.6156036,288.3042095,303.4707722,274.599,274.599,274.6,274.621,275.211,277.005,281.156,286.175,294.027
p06099,9.616,19.232,47.662,91.897,131.157,163.607,212.137,196.9060632,206.5692943,216.0946028,225.316168,235.2985794,212.94,212.943,212.946,212.991,213.508,214.961,217.119,219.873,224.284
p06101,1.99,3.98,9.864,22.618,36.867,47.928,63.565,59.09920619,61.95795046,64.38383875,66.53216837,68.93791977,61.752,61.752,61.752,61.884,61.884,62.104,62.32,62.826,64.021
p06103,0.9605,1.921,4.761,8.752,13.086,18.953,26.293,25.72969659,27.45493577,28.88159249,30.06558307,31.31497416,28.364,28.364,28.515,28.52,28.615,28.967,29.335,30.255,31.159
p06105,0.16425,0.3285,0.814,0.873,0.809,0.825,1.07,1.08731421,1.128880924,1.163471302,1.193237559,1.223364161,1.101,1.101,1.101,1.106,1.114,1.121,1.13,1.151,1.186
p06109,1.40575,2.8115,6.968,15.834,25.757,32.661,43.619,40.27150224,42.60464508,44.62556391,46.44396403,48.46006306,43.724,43.724,43.859,43.958,44.098,44.337,44.822,45.896,47.287
p06113,3.20775,6.4155,15.899,28.636,40.826,51.941,69.731,67.16924408,70.96883926,74.49490643,78.24769277,81.9013071,74.286,74.286,74.317,74.353,74.584,75.102,75.963,77.038,78.333
p06115,1.2145,2.429,6.02,12.061,18.94,27.815,37.877,36.30954999,38.39892705,40.28819529,42.26930066,44.68202668,40.757,40.757,40.757,40.757,40.854,41.366,41.505,41.894,43.323
p06025,2.978,5.956,14.761,25.602,33.404,39.746,51.422,46.01566876,48.35090362,50.56516131,52.69928674,55.567494,50.247,50.256,50.283,50.425,50.592,50.996,51.555,52.657,54.212
p06027,0.39575,0.7915,1.962,3.826,6.054,9.209,13.892,13.7528897,14.94175756,16.27986674,17.53158445,18.74738112,17.092,17.092,17.092,17.118,17.118,17.161,17.299,17.654,18.157
p06029,13.64,27.28,67.608,142.371,221.058,298.866,399.726,374.0810523,395.2271528,414.4358996,431.9519962,455.6109479,413.17,413.414,413.518,413.66,414.397,416.321,420.245,428.85,443.098
p06037,165.8855,331.771,822.225,1529.514,2261.734,2980.272,3961.965,3838.943696,4104.964344,4364.976511,4622.710172,4887.002499,4439.277,4440.374,4441.881,4444.383,4452.315,4479.488,4523.474,4598.882,4697.418
p06051,0.39975,0.7995,1.981,3.323,4.744,6.994,10.489,10.62686134,11.75563969,12.72724095,13.81842489,14.80180682,13.389,13.389,13.389,13.455,13.455,13.456,13.554,13.691,13.81
p06059,45.3415,90.683,224.739,385.356,582.087,816.114,1130.118,1099.92869,1185.627349,1269.98459,1351.8225,1431.276474,1304.324,1304.463,1304.888,1305.394,1308.204,1316.999,1331.758,1352.696,1376.101
p06065,33.90325,67.8065,168.044,321.802,484.347,669.583,938.708,912.4354567,989.731496,1077.140858,1163.824753,1249.213351,1147.429,1147.768,1148.39,1148.999,1151.434,1158.985,1174.665,1197.523,1231.075
p06071,33.0125,66.025,163.629,317.006,519.662,739.306,1029.504,998.2576578,1073.637905,1143.567866,1208.656234,1278.332341,1163.472,1163.909,1164.15,1164.738,1166.759,1177.527,1193.437,1216.544,1243.815
p06107,7.0185,14.037,34.788,68.005,107.822,153.853,211.41,201.1541507,214.4979853,225.8716909,237.2429833,248.7106086,224.728,224.754,224.88,225.173,225.335,226.818,228.917,231.649,237.121
p06111,11.15025,22.3005,55.267,96.544,145.778,213.883,310.483,307.3307921,333.5355079,359.1611898,384.5260856,407.9109898,372.762,372.762,372.851,373.128,374.203,377.725,383.449,389.825,397.863
p06073,54.45875,108.9175,269.929,528.48,822.556,1110.596,1471.826,1416.612019,1506.743044,1596.343747,1682.350416,1770.66108,1607.769,1607.902,1608.43,1608.973,1612.81,1624.384,1638.203,1659.768,1687.34
p32001,0.082,0.164,0.415,0.857,1.002,1.362,1.836,1.594182488,1.833370522,2.193787352,2.641136255,3.153985728,3.048,3.055,3.073,3.128,3.208,3.277,3.442,3.611,3.861
p32005,0.1935,0.387,0.979,2.806,3.384,4.842,6.976,5.244451621,6.034844636,7.04085682,7.973451347,8.846901855,8.248,8.267,8.267,8.394,8.531,8.618,9.008,9.378,9.877
p32007,0.15025,0.3005,0.76,1.385,1.581,2.045,2.661,2.772446853,3.071532212,3.475133795,3.885528453,4.314382616,4.085,4.088,4.104,4.141,4.232,4.415,4.554,4.775,5.125
p32009,0.0025,0.005,0.013,0.064,0.078,0.127,0.196,0.212557665,0.233415229,0.254304703,0.270229941,0.291223638,0.267,0.267,0.267,0.268,0.27,0.275,0.279,0.282,0.29
p32011,0.008,0.016,0.04,0.074,0.081,0.103,0.133,0.141023835,0.148536964,0.158258292,0.164584491,0.172035585,0.158,0.158,0.158,0.159,0.161,0.166,0.17,0.175,0.185
p32013,0.04275,0.0855,0.216,0.416,0.483,0.643,0.867,0.901326253,1.034453854,1.26060915,1.493493049,1.742844163,1.719,1.724,1.739,1.762,1.806,1.882,1.982,2.108,2.199
