*i,ii,ctt,wst
coal-CCS-F1_r_sg,coal-CCS-F1,r,sg
coal-CCS-F1_r_ss,coal-CCS-F1,r,ss
coal-CCS-F1_r_ww,coal-CCS-F1,r,ww
coal-CCS-F1_p_fsu,coal-CCS-F1,p,fsu
coal-CCS-F1_p_fsa,coal-CCS-F1,p,fsa
coal-CCS-F1_p_fsl,coal-CCS-F1,p,fsl
coal-CCS-F1_p_fg,coal-CCS-F1,p,fg
coal-CCS-F1_p_sg,coal-CCS-F1,p,sg
coal-CCS-F1_p_ss,coal-CCS-F1,p,ss
coal-CCS-F1_p_ww,coal-CCS-F1,p,ww
coal-CCS-F1_d_fsu,coal-CCS-F1,d,fsu
coal-CCS-F1_d_fsa,coal-CCS-F1,d,fsa
coal-CCS-F1_d_fsl,coal-CCS-F1,d,fsl
coal-CCS-F1_d_fg,coal-CCS-F1,d,fg
coal-CCS-F1_d_sg,coal-CCS-F1,d,sg
coal-CCS-F1_d_ss,coal-CCS-F1,d,ss
coal-CCS-F1_d_ww,coal-CCS-F1,d,ww
coal-CCS-F2_o_fsu,coal-CCS-F2,o,fsu
coal-CCS-F2_o_fsa,coal-CCS-F2,o,fsa
coal-CCS-F2_o_fsl,coal-CCS-F2,o,fsl
coal-CCS-F2_o_fg,coal-CCS-F2,o,fg
coal-CCS-F2_o_sg,coal-CCS-F2,o,sg
coal-CCS-F2_o_ss,coal-CCS-F2,o,ss
coal-CCS-F2_o_ww,coal-CCS-F2,o,ww
coal-CCS-F2_r_fsu,coal-CCS-F2,r,fsu
coal-CCS-F2_r_fsa,coal-CCS-F2,r,fsa
coal-CCS-F2_r_fsl,coal-CCS-F2,r,fsl
coal-CCS-F2_r_fg,coal-CCS-F2,r,fg
coal-CCS-F2_r_sg,coal-CCS-F2,r,sg
coal-CCS-F2_r_ss,coal-CCS-F2,r,ss
coal-CCS-F2_r_ww,coal-CCS-F2,r,ww
coal-CCS-F2_p_fsu,coal-CCS-F2,p,fsu
coal-CCS-F2_p_fsa,coal-CCS-F2,p,fsa
coal-CCS-F2_p_fsl,coal-CCS-F2,p,fsl
coal-CCS-F2_p_fg,coal-CCS-F2,p,fg
coal-CCS-F2_p_sg,coal-CCS-F2,p,sg
coal-CCS-F2_p_ss,coal-CCS-F2,p,ss
coal-CCS-F2_p_ww,coal-CCS-F2,p,ww
coal-CCS-F2_d_fsu,coal-CCS-F2,d,fsu
coal-CCS-F2_d_fsa,coal-CCS-F2,d,fsa
coal-CCS-F2_d_fsl,coal-CCS-F2,d,fsl
coal-CCS-F2_d_fg,coal-CCS-F2,d,fg
coal-CCS-F2_d_sg,coal-CCS-F2,d,sg
coal-CCS-F2_d_ss,coal-CCS-F2,d,ss
coal-CCS-F2_d_ww,coal-CCS-F2,d,ww
coal-CCS-F3_o_fsu,coal-CCS-F3,o,fsu
coal-CCS-F3_o_fsa,coal-CCS-F3,o,fsa
coal-CCS-F3_o_fsl,coal-CCS-F3,o,fsl
coal-CCS-F3_o_fg,coal-CCS-F3,o,fg
coal-CCS-F3_o_sg,coal-CCS-F3,o,sg
coal-CCS-F3_o_ss,coal-CCS-F3,o,ss
coal-CCS-F3_o_ww,coal-CCS-F3,o,ww
coal-CCS-F3_r_fsu,coal-CCS-F3,r,fsu
coal-CCS-F3_r_fsa,coal-CCS-F3,r,fsa
coal-CCS-F3_r_fsl,coal-CCS-F3,r,fsl
coal-CCS-F3_r_fg,coal-CCS-F3,r,fg
coal-CCS-F3_r_sg,coal-CCS-F3,r,sg
coal-CCS-F3_r_ss,coal-CCS-F3,r,ss
coal-CCS-F3_r_ww,coal-CCS-F3,r,ww
coal-CCS-F3_p_fsu,coal-CCS-F3,p,fsu
coal-CCS-F3_p_fsa,coal-CCS-F3,p,fsa
coal-CCS-F3_p_fsl,coal-CCS-F3,p,fsl
coal-CCS-F3_p_fg,coal-CCS-F3,p,fg
coal-CCS-F3_p_sg,coal-CCS-F3,p,sg
coal-CCS-F3_p_ss,coal-CCS-F3,p,ss
coal-CCS-F3_p_ww,coal-CCS-F3,p,ww
coal-CCS-F3_d_fsu,coal-CCS-F3,d,fsu
coal-CCS-F3_d_fsa,coal-CCS-F3,d,fsa
coal-CCS-F3_d_fsl,coal-CCS-F3,d,fsl
coal-CCS-F3_d_fg,coal-CCS-F3,d,fg
coal-CCS-F3_d_sg,coal-CCS-F3,d,sg
coal-CCS-F3_d_ss,coal-CCS-F3,d,ss
coal-CCS-F3_d_ww,coal-CCS-F3,d,ww
coal-IGCC_o_fsu,coal-IGCC,o,fsu
coal-IGCC_o_fsa,coal-IGCC,o,fsa
coal-IGCC_o_fsl,coal-IGCC,o,fsl
coal-IGCC_o_fg,coal-IGCC,o,fg
coal-IGCC_o_sg,coal-IGCC,o,sg
coal-IGCC_o_ss,coal-IGCC,o,ss
coal-IGCC_o_ww,coal-IGCC,o,ww
coal-IGCC_r_fsu,coal-IGCC,r,fsu
coal-IGCC_r_fsa,coal-IGCC,r,fsa
coal-IGCC_r_fsl,coal-IGCC,r,fsl
coal-IGCC_r_fg,coal-IGCC,r,fg
coal-IGCC_r_sg,coal-IGCC,r,sg
coal-IGCC_r_ss,coal-IGCC,r,ss
coal-IGCC_r_ww,coal-IGCC,r,ww
coal-IGCC_p_fsu,coal-IGCC,p,fsu
coal-IGCC_p_fsa,coal-IGCC,p,fsa
coal-IGCC_p_fsl,coal-IGCC,p,fsl
coal-IGCC_p_fg,coal-IGCC,p,fg
coal-IGCC_p_sg,coal-IGCC,p,sg
coal-IGCC_p_ss,coal-IGCC,p,ss
coal-IGCC_p_ww,coal-IGCC,p,ww
coal-IGCC_d_fsu,coal-IGCC,d,fsu
coal-IGCC_d_fsa,coal-IGCC,d,fsa
coal-IGCC_d_fsl,coal-IGCC,d,fsl
coal-IGCC_d_fg,coal-IGCC,d,fg
coal-IGCC_d_sg,coal-IGCC,d,sg
coal-IGCC_d_ss,coal-IGCC,d,ss
coal-IGCC_d_ww,coal-IGCC,d,ww
coal-new_o_fsu,coal-new,o,fsu
coal-new_o_fsa,coal-new,o,fsa
coal-new_o_fsl,coal-new,o,fsl
coal-new_o_fg,coal-new,o,fg
coal-new_o_sg,coal-new,o,sg
coal-new_o_ss,coal-new,o,ss
coal-new_o_ww,coal-new,o,ww
coal-new_r_fsu,coal-new,r,fsu
coal-new_r_fsa,coal-new,r,fsa
coal-new_r_fsl,coal-new,r,fsl
coal-new_r_fg,coal-new,r,fg
coal-new_r_sg,coal-new,r,sg
coal-new_r_ss,coal-new,r,ss
coal-new_r_ww,coal-new,r,ww
coal-new_p_fsu,coal-new,p,fsu
coal-new_p_fsa,coal-new,p,fsa
coal-new_p_fsl,coal-new,p,fsl
coal-new_p_fg,coal-new,p,fg
coal-new_p_sg,coal-new,p,sg
coal-new_p_ss,coal-new,p,ss
coal-new_p_ww,coal-new,p,ww
coal-new_d_fsu,coal-new,d,fsu
coal-new_d_fsa,coal-new,d,fsa
coal-new_d_fsl,coal-new,d,fsl
coal-new_d_fg,coal-new,d,fg
coal-new_d_sg,coal-new,d,sg
coal-new_d_ss,coal-new,d,ss
coal-new_d_ww,coal-new,d,ww
CoalOldScr_o_fsu,CoalOldScr,o,fsu
CoalOldScr_o_fsa,CoalOldScr,o,fsa
CoalOldScr_o_fsl,CoalOldScr,o,fsl
CoalOldScr_o_fg,CoalOldScr,o,fg
CoalOldScr_o_sg,CoalOldScr,o,sg
CoalOldScr_o_ss,CoalOldScr,o,ss
CoalOldScr_o_ww,CoalOldScr,o,ww
CoalOldScr_r_fsu,CoalOldScr,r,fsu
CoalOldScr_r_fsa,CoalOldScr,r,fsa
CoalOldScr_r_fsl,CoalOldScr,r,fsl
CoalOldScr_r_fg,CoalOldScr,r,fg
CoalOldScr_r_sg,CoalOldScr,r,sg
CoalOldScr_r_ss,CoalOldScr,r,ss
CoalOldScr_r_ww,CoalOldScr,r,ww
CoalOldScr_p_fsu,CoalOldScr,p,fsu
CoalOldScr_p_fsa,CoalOldScr,p,fsa
CoalOldScr_p_fsl,CoalOldScr,p,fsl
CoalOldScr_p_fg,CoalOldScr,p,fg
CoalOldScr_p_sg,CoalOldScr,p,sg
CoalOldScr_p_ss,CoalOldScr,p,ss
CoalOldScr_p_ww,CoalOldScr,p,ww
CoalOldScr_d_fsu,CoalOldScr,d,fsu
CoalOldScr_d_fsa,CoalOldScr,d,fsa
CoalOldScr_d_fsl,CoalOldScr,d,fsl
CoalOldScr_d_fg,CoalOldScr,d,fg
CoalOldScr_d_sg,CoalOldScr,d,sg
CoalOldScr_d_ss,CoalOldScr,d,ss
CoalOldScr_d_ww,CoalOldScr,d,ww
CoalOldUns_o_fsu,CoalOldUns,o,fsu
CoalOldUns_o_fsa,CoalOldUns,o,fsa
CoalOldUns_o_fsl,CoalOldUns,o,fsl
CoalOldUns_o_fg,CoalOldUns,o,fg
CoalOldUns_o_sg,CoalOldUns,o,sg
CoalOldUns_o_ss,CoalOldUns,o,ss
CoalOldUns_o_ww,CoalOldUns,o,ww
CoalOldUns_r_fsu,CoalOldUns,r,fsu
CoalOldUns_r_fsa,CoalOldUns,r,fsa
CoalOldUns_r_fsl,CoalOldUns,r,fsl
CoalOldUns_r_fg,CoalOldUns,r,fg
CoalOldUns_r_sg,CoalOldUns,r,sg
CoalOldUns_r_ss,CoalOldUns,r,ss
CoalOldUns_r_ww,CoalOldUns,r,ww
CoalOldUns_p_fsu,CoalOldUns,p,fsu
CoalOldUns_p_fsa,CoalOldUns,p,fsa
CoalOldUns_p_fsl,CoalOldUns,p,fsl
CoalOldUns_p_fg,CoalOldUns,p,fg
CoalOldUns_p_sg,CoalOldUns,p,sg
CoalOldUns_p_ss,CoalOldUns,p,ss
CoalOldUns_p_ww,CoalOldUns,p,ww
CoalOldUns_d_fsu,CoalOldUns,d,fsu
CoalOldUns_d_fsa,CoalOldUns,d,fsa
CoalOldUns_d_fsl,CoalOldUns,d,fsl
CoalOldUns_d_fg,CoalOldUns,d,fg
CoalOldUns_d_sg,CoalOldUns,d,sg
CoalOldUns_d_ss,CoalOldUns,d,ss
CoalOldUns_d_ww,CoalOldUns,d,ww
CofireNew_o_fsu,CofireNew,o,fsu
CofireNew_o_fsa,CofireNew,o,fsa
CofireNew_o_fsl,CofireNew,o,fsl
CofireNew_o_fg,CofireNew,o,fg
CofireNew_o_sg,CofireNew,o,sg
CofireNew_o_ss,CofireNew,o,ss
CofireNew_o_ww,CofireNew,o,ww
CofireNew_r_fsu,CofireNew,r,fsu
CofireNew_r_fsa,CofireNew,r,fsa
CofireNew_r_fsl,CofireNew,r,fsl
CofireNew_r_fg,CofireNew,r,fg
CofireNew_r_sg,CofireNew,r,sg
CofireNew_r_ss,CofireNew,r,ss
CofireNew_r_ww,CofireNew,r,ww
CofireNew_p_fsu,CofireNew,p,fsu
CofireNew_p_fsa,CofireNew,p,fsa
CofireNew_p_fsl,CofireNew,p,fsl
CofireNew_p_fg,CofireNew,p,fg
CofireNew_p_sg,CofireNew,p,sg
CofireNew_p_ss,CofireNew,p,ss
CofireNew_p_ww,CofireNew,p,ww
CofireNew_d_fsu,CofireNew,d,fsu
CofireNew_d_fsa,CofireNew,d,fsa
CofireNew_d_fsl,CofireNew,d,fsl
CofireNew_d_fg,CofireNew,d,fg
CofireNew_d_sg,CofireNew,d,sg
CofireNew_d_ss,CofireNew,d,ss
CofireNew_d_ww,CofireNew,d,ww
CofireOld_o_fsu,CofireOld,o,fsu
CofireOld_o_fsa,CofireOld,o,fsa
CofireOld_o_fsl,CofireOld,o,fsl
CofireOld_o_fg,CofireOld,o,fg
CofireOld_o_sg,CofireOld,o,sg
CofireOld_o_ss,CofireOld,o,ss
CofireOld_o_ww,CofireOld,o,ww
CofireOld_r_fsu,CofireOld,r,fsu
CofireOld_r_fsa,CofireOld,r,fsa
CofireOld_r_fsl,CofireOld,r,fsl
CofireOld_r_fg,CofireOld,r,fg
CofireOld_r_sg,CofireOld,r,sg
CofireOld_r_ss,CofireOld,r,ss
CofireOld_r_ww,CofireOld,r,ww
CofireOld_p_fsu,CofireOld,p,fsu
CofireOld_p_fsa,CofireOld,p,fsa
CofireOld_p_fsl,CofireOld,p,fsl
CofireOld_p_fg,CofireOld,p,fg
CofireOld_p_sg,CofireOld,p,sg
CofireOld_p_ss,CofireOld,p,ss
CofireOld_p_ww,CofireOld,p,ww
CofireOld_d_fsu,CofireOld,d,fsu
CofireOld_d_fsa,CofireOld,d,fsa
CofireOld_d_fsl,CofireOld,d,fsl
CofireOld_d_fg,CofireOld,d,fg
CofireOld_d_sg,CofireOld,d,sg
CofireOld_d_ss,CofireOld,d,ss
CofireOld_d_ww,CofireOld,d,ww
gas-CC_o_fsu,gas-CC,o,fsu
gas-CC_o_fsa,gas-CC,o,fsa
gas-CC_o_fsl,gas-CC,o,fsl
gas-CC_o_fg,gas-CC,o,fg
gas-CC_o_sg,gas-CC,o,sg
gas-CC_o_ss,gas-CC,o,ss
gas-CC_o_ww,gas-CC,o,ww
gas-CC_r_fsu,gas-CC,r,fsu
gas-CC_r_fsa,gas-CC,r,fsa
gas-CC_r_fsl,gas-CC,r,fsl
gas-CC_r_fg,gas-CC,r,fg
gas-CC_r_sg,gas-CC,r,sg
gas-CC_r_ss,gas-CC,r,ss
gas-CC_r_ww,gas-CC,r,ww
gas-CC_p_fsu,gas-CC,p,fsu
gas-CC_p_fsa,gas-CC,p,fsa
gas-CC_p_fsl,gas-CC,p,fsl
gas-CC_p_fg,gas-CC,p,fg
gas-CC_p_sg,gas-CC,p,sg
gas-CC_p_ss,gas-CC,p,ss
gas-CC_p_ww,gas-CC,p,ww
gas-CC_d_fsu,gas-CC,d,fsu
gas-CC_d_fsa,gas-CC,d,fsa
gas-CC_d_fsl,gas-CC,d,fsl
gas-CC_d_fg,gas-CC,d,fg
gas-CC_d_sg,gas-CC,d,sg
gas-CC_d_ss,gas-CC,d,ss
gas-CC_d_ww,gas-CC,d,ww
Gas-CC-CCS_mod_o_fsu,Gas-CC-CCS_mod,o,fsu
Gas-CC-CCS_mod_o_fsa,Gas-CC-CCS_mod,o,fsa
Gas-CC-CCS_mod_o_fsl,Gas-CC-CCS_mod,o,fsl
Gas-CC-CCS_mod_o_fg,Gas-CC-CCS_mod,o,fg
Gas-CC-CCS_mod_o_sg,Gas-CC-CCS_mod,o,sg
Gas-CC-CCS_mod_o_ss,Gas-CC-CCS_mod,o,ss
Gas-CC-CCS_mod_o_ww,Gas-CC-CCS_mod,o,ww
Gas-CC-CCS_mod_r_fsu,Gas-CC-CCS_mod,r,fsu
Gas-CC-CCS_mod_r_fsa,Gas-CC-CCS_mod,r,fsa
Gas-CC-CCS_mod_r_fsl,Gas-CC-CCS_mod,r,fsl
Gas-CC-CCS_mod_r_fg,Gas-CC-CCS_mod,r,fg
Gas-CC-CCS_mod_r_sg,Gas-CC-CCS_mod,r,sg
Gas-CC-CCS_mod_r_ss,Gas-CC-CCS_mod,r,ss
Gas-CC-CCS_mod_r_ww,Gas-CC-CCS_mod,r,ww
Gas-CC-CCS_mod_p_fsu,Gas-CC-CCS_mod,p,fsu
Gas-CC-CCS_mod_p_fsa,Gas-CC-CCS_mod,p,fsa
Gas-CC-CCS_mod_p_fsl,Gas-CC-CCS_mod,p,fsl
Gas-CC-CCS_mod_p_fg,Gas-CC-CCS_mod,p,fg
Gas-CC-CCS_mod_p_sg,Gas-CC-CCS_mod,p,sg
Gas-CC-CCS_mod_p_ss,Gas-CC-CCS_mod,p,ss
Gas-CC-CCS_mod_p_ww,Gas-CC-CCS_mod,p,ww
Gas-CC-CCS_max_o_fsu,Gas-CC-CCS_max,o,fsu
Gas-CC-CCS_max_o_fsa,Gas-CC-CCS_max,o,fsa
Gas-CC-CCS_max_o_fsl,Gas-CC-CCS_max,o,fsl
Gas-CC-CCS_max_o_fg,Gas-CC-CCS_max,o,fg
Gas-CC-CCS_max_o_sg,Gas-CC-CCS_max,o,sg
Gas-CC-CCS_max_o_ss,Gas-CC-CCS_max,o,ss
Gas-CC-CCS_max_o_ww,Gas-CC-CCS_max,o,ww
Gas-CC-CCS_max_r_fsu,Gas-CC-CCS_max,r,fsu
Gas-CC-CCS_max_r_fsa,Gas-CC-CCS_max,r,fsa
Gas-CC-CCS_max_r_fsl,Gas-CC-CCS_max,r,fsl
Gas-CC-CCS_max_r_fg,Gas-CC-CCS_max,r,fg
Gas-CC-CCS_max_r_sg,Gas-CC-CCS_max,r,sg
Gas-CC-CCS_max_r_ss,Gas-CC-CCS_max,r,ss
Gas-CC-CCS_max_r_ww,Gas-CC-CCS_max,r,ww
Gas-CC-CCS_max_p_fsu,Gas-CC-CCS_max,p,fsu
Gas-CC-CCS_max_p_fsa,Gas-CC-CCS_max,p,fsa
Gas-CC-CCS_max_p_fsl,Gas-CC-CCS_max,p,fsl
Gas-CC-CCS_max_p_fg,Gas-CC-CCS_max,p,fg
Gas-CC-CCS_max_p_sg,Gas-CC-CCS_max,p,sg
Gas-CC-CCS_max_p_ss,Gas-CC-CCS_max,p,ss
Gas-CC-CCS_max_p_ww,Gas-CC-CCS_max,p,ww
Gas-CC-CCS-F1_o_fsu,Gas-CC-CCS-F1,o,fsu
Gas-CC-CCS-F1_o_fsa,Gas-CC-CCS-F1,o,fsa
Gas-CC-CCS-F1_o_fsl,Gas-CC-CCS-F1,o,fsl
Gas-CC-CCS-F1_o_fg,Gas-CC-CCS-F1,o,fg
Gas-CC-CCS-F1_o_sg,Gas-CC-CCS-F1,o,sg
Gas-CC-CCS-F1_o_ss,Gas-CC-CCS-F1,o,ss
Gas-CC-CCS-F1_o_ww,Gas-CC-CCS-F1,o,ww
Gas-CC-CCS-F1_r_fsu,Gas-CC-CCS-F1,r,fsu
Gas-CC-CCS-F1_r_fsa,Gas-CC-CCS-F1,r,fsa
Gas-CC-CCS-F1_r_fsl,Gas-CC-CCS-F1,r,fsl
Gas-CC-CCS-F1_r_fg,Gas-CC-CCS-F1,r,fg
Gas-CC-CCS-F1_r_sg,Gas-CC-CCS-F1,r,sg
Gas-CC-CCS-F1_r_ss,Gas-CC-CCS-F1,r,ss
Gas-CC-CCS-F1_r_ww,Gas-CC-CCS-F1,r,ww
Gas-CC-CCS-F1_p_fsu,Gas-CC-CCS-F1,p,fsu
Gas-CC-CCS-F1_p_fsa,Gas-CC-CCS-F1,p,fsa
Gas-CC-CCS-F1_p_fsl,Gas-CC-CCS-F1,p,fsl
Gas-CC-CCS-F1_p_fg,Gas-CC-CCS-F1,p,fg
Gas-CC-CCS-F1_p_sg,Gas-CC-CCS-F1,p,sg
Gas-CC-CCS-F1_p_ss,Gas-CC-CCS-F1,p,ss
Gas-CC-CCS-F1_p_ww,Gas-CC-CCS-F1,p,ww
Gas-CC-CCS-F2_o_fsu,Gas-CC-CCS-F2,o,fsu
Gas-CC-CCS-F2_o_fsa,Gas-CC-CCS-F2,o,fsa
Gas-CC-CCS-F2_o_fsl,Gas-CC-CCS-F2,o,fsl
Gas-CC-CCS-F2_o_fg,Gas-CC-CCS-F2,o,fg
Gas-CC-CCS-F2_o_sg,Gas-CC-CCS-F2,o,sg
Gas-CC-CCS-F2_o_ss,Gas-CC-CCS-F2,o,ss
Gas-CC-CCS-F2_o_ww,Gas-CC-CCS-F2,o,ww
Gas-CC-CCS-F2_r_fsu,Gas-CC-CCS-F2,r,fsu
Gas-CC-CCS-F2_r_fsa,Gas-CC-CCS-F2,r,fsa
Gas-CC-CCS-F2_r_fsl,Gas-CC-CCS-F2,r,fsl
Gas-CC-CCS-F2_r_fg,Gas-CC-CCS-F2,r,fg
Gas-CC-CCS-F2_r_sg,Gas-CC-CCS-F2,r,sg
Gas-CC-CCS-F2_r_ss,Gas-CC-CCS-F2,r,ss
Gas-CC-CCS-F2_r_ww,Gas-CC-CCS-F2,r,ww
Gas-CC-CCS-F2_p_fsu,Gas-CC-CCS-F2,p,fsu
Gas-CC-CCS-F2_p_fsa,Gas-CC-CCS-F2,p,fsa
Gas-CC-CCS-F2_p_fsl,Gas-CC-CCS-F2,p,fsl
Gas-CC-CCS-F2_p_fg,Gas-CC-CCS-F2,p,fg
Gas-CC-CCS-F2_p_sg,Gas-CC-CCS-F2,p,sg
Gas-CC-CCS-F2_p_ss,Gas-CC-CCS-F2,p,ss
Gas-CC-CCS-F2_p_ww,Gas-CC-CCS-F2,p,ww
Gas-CC-CCS-F3_o_fsu,Gas-CC-CCS-F3,o,fsu
Gas-CC-CCS-F3_o_fsa,Gas-CC-CCS-F3,o,fsa
Gas-CC-CCS-F3_o_fsl,Gas-CC-CCS-F3,o,fsl
Gas-CC-CCS-F3_o_fg,Gas-CC-CCS-F3,o,fg
Gas-CC-CCS-F3_o_sg,Gas-CC-CCS-F3,o,sg
Gas-CC-CCS-F3_o_ss,Gas-CC-CCS-F3,o,ss
Gas-CC-CCS-F3_o_ww,Gas-CC-CCS-F3,o,ww
Gas-CC-CCS-F3_r_fsu,Gas-CC-CCS-F3,r,fsu
Gas-CC-CCS-F3_r_fsa,Gas-CC-CCS-F3,r,fsa
Gas-CC-CCS-F3_r_fsl,Gas-CC-CCS-F3,r,fsl
Gas-CC-CCS-F3_r_fg,Gas-CC-CCS-F3,r,fg
Gas-CC-CCS-F3_r_sg,Gas-CC-CCS-F3,r,sg
Gas-CC-CCS-F3_r_ss,Gas-CC-CCS-F3,r,ss
Gas-CC-CCS-F3_r_ww,Gas-CC-CCS-F3,r,ww
Gas-CC-CCS-F3_p_fsu,Gas-CC-CCS-F3,p,fsu
Gas-CC-CCS-F3_p_fsa,Gas-CC-CCS-F3,p,fsa
Gas-CC-CCS-F3_p_fsl,Gas-CC-CCS-F3,p,fsl
Gas-CC-CCS-F3_p_fg,Gas-CC-CCS-F3,p,fg
Gas-CC-CCS-F3_p_sg,Gas-CC-CCS-F3,p,sg
Gas-CC-CCS-F3_p_ss,Gas-CC-CCS-F3,p,ss
Gas-CC-CCS-F3_p_ww,Gas-CC-CCS-F3,p,ww
o-g-s_o_fsu,o-g-s,o,fsu
o-g-s_o_fsa,o-g-s,o,fsa
o-g-s_o_fsl,o-g-s,o,fsl
o-g-s_o_fg,o-g-s,o,fg
o-g-s_o_sg,o-g-s,o,sg
o-g-s_o_ss,o-g-s,o,ss
o-g-s_o_ww,o-g-s,o,ww
o-g-s_r_fsu,o-g-s,r,fsu
o-g-s_r_fsa,o-g-s,r,fsa
o-g-s_r_fsl,o-g-s,r,fsl
o-g-s_r_fg,o-g-s,r,fg
o-g-s_r_sg,o-g-s,r,sg
o-g-s_r_ss,o-g-s,r,ss
o-g-s_r_ww,o-g-s,r,ww
o-g-s_p_fsu,o-g-s,p,fsu
o-g-s_p_fsa,o-g-s,p,fsa
o-g-s_p_fsl,o-g-s,p,fsl
o-g-s_p_fg,o-g-s,p,fg
o-g-s_p_sg,o-g-s,p,sg
o-g-s_p_ss,o-g-s,p,ss
o-g-s_p_ww,o-g-s,p,ww
o-g-s_d_fsu,o-g-s,d,fsu
o-g-s_d_fsa,o-g-s,d,fsa
o-g-s_d_fsl,o-g-s,d,fsl
o-g-s_d_fg,o-g-s,d,fg
o-g-s_d_sg,o-g-s,d,sg
o-g-s_d_ss,o-g-s,d,ss
o-g-s_d_ww,o-g-s,d,ww
o-g-s_n_fsu,o-g-s,n,fsu
o-g-s_n_fsa,o-g-s,n,fsa
o-g-s_n_fsl,o-g-s,n,fsl
o-g-s_n_fg,o-g-s,n,fg
o-g-s_n_sg,o-g-s,n,sg
o-g-s_n_ss,o-g-s,n,ss
o-g-s_n_ww,o-g-s,n,ww
nuclear_o_fsu,nuclear,o,fsu
nuclear_o_fsa,nuclear,o,fsa
nuclear_o_fsl,nuclear,o,fsl
nuclear_o_fg,nuclear,o,fg
nuclear_o_sg,nuclear,o,sg
