*wst,sc_cat,r,value
fsu,cap,p184,310534305.0
fsu,cap,p185,310534305.0
fsu,cap,p186,310534305.0
fsu,cap,p187,310534305.0
fsu,cap,p188,310534305.0
fsu,cap,p189,310534305.0
fsu,cap,p190,310534305.0
fsu,cap,p191,310534305.0
fsu,cap,p192,310534305.0
fsu,cap,p193,310534305.0
fsu,cap,p194,310534305.0
fsu,cap,p195,310534305.0
fsu,cap,p196,310534305.0
fsu,cap,p197,310534305.0
fsu,cap,p198,310534305.0
fsu,cap,p199,310534305.0
fsu,cap,p200,310534305.0
fsu,cap,p201,310534305.0
fsu,cap,p202,310534305.0
fsu,cap,p203,310534305.0
fsu,cap,p204,310534305.0
fsu,cap,p205,310534305.0
fg,cap,p1,3318182.0
fg,cap,p2,5730914.0
fg,cap,p3,340782.0
fg,cap,p4,10411.0
fg,cap,p5,5154937.0
fg,cap,p6,1825413.0
fg,cap,p7,545943.0
fg,cap,p8,0.0
fg,cap,p9,0.0
fg,cap,p10,0.0
fg,cap,p11,0.0
fg,cap,p12,228052.0
fg,cap,p13,6109.0
fg,cap,p14,381686.0
fg,cap,p15,584265.0
fg,cap,p16,0.0
fg,cap,p17,543925.0
fg,cap,p18,246749.0
fg,cap,p19,14673.0
fg,cap,p20,173819.0
fg,cap,p21,2214384.0
fg,cap,p22,188591.0
fg,cap,p23,79627.0
fg,cap,p24,405775.0
fg,cap,p25,12577.0
fg,cap,p26,3889.0
fg,cap,p27,12265.0
fg,cap,p28,106721.0
fg,cap,p29,24719.0
fg,cap,p30,0.0
fg,cap,p31,48786.0
fg,cap,p32,88448.0
fg,cap,p33,1381688.0
fg,cap,p34,1070371.0
fg,cap,p35,43936.0
fg,cap,p36,42359.0
fg,cap,p37,21364.0
fg,cap,p38,152719.0
fg,cap,p39,83691.0
fg,cap,p40,414356.0
fg,cap,p41,1582.0
fg,cap,p42,604744.0
fg,cap,p43,2490673.0
fg,cap,p44,120428.0
fg,cap,p45,613774.0
fg,cap,p46,2034116.0
fg,cap,p47,249.0
fg,cap,p48,0.0
fg,cap,p49,1948085.0
fg,cap,p50,20047273.0
fg,cap,p51,4880611.0
fg,cap,p52,1250.0
fg,cap,p53,18707.0
fg,cap,p54,11373.0
fg,cap,p55,779266.0
fg,cap,p56,950003.0
fg,cap,p57,241246.0
fg,cap,p58,2706397.0
fg,cap,p59,0.0
fg,cap,p60,1859.0
fg,cap,p61,73075.0
fg,cap,p62,372.0
fg,cap,p63,308181.0
fg,cap,p64,83012.0
fg,cap,p65,79551.0
fg,cap,p66,250996.0
fg,cap,p67,11224.0
fg,cap,p68,382182.0
fg,cap,p69,457102.0
fg,cap,p70,1003603.0
fg,cap,p71,0.0
fg,cap,p72,166444.0
fg,cap,p73,213897.0
fg,cap,p74,2233158.0
fg,cap,p75,1335956.0
fg,cap,p76,844752.0
fg,cap,p77,668723.0
fg,cap,p78,196666.0
fg,cap,p79,104085.0
fg,cap,p80,656763.0
fg,cap,p81,822927.0
fg,cap,p82,141037.0
fg,cap,p83,567923.0
fg,cap,p84,828414.0
fg,cap,p85,999137.0
fg,cap,p86,210340.0
fg,cap,p87,2981832.0
fg,cap,p88,1362325.0
fg,cap,p89,3101300.0
fg,cap,p90,4616652.0
fg,cap,p91,1583951.0
fg,cap,p92,6114989.0
fg,cap,p93,901749.0
fg,cap,p94,4478500.0
fg,cap,p95,1046224.0
fg,cap,p96,62423.0
fg,cap,p97,4162372.0
fg,cap,p98,2953307.0
fg,cap,p99,999708.0
fg,cap,p100,385020.0
fg,cap,p101,919632.0
fg,cap,p102,0.0
fg,cap,p103,6047934.0
fg,cap,p104,448648.0
fg,cap,p105,1451684.0
fg,cap,p106,39934.0
fg,cap,p107,966430.0
fg,cap,p108,350851.0
fg,cap,p109,1601920.0
fg,cap,p110,381025.0
fg,cap,p111,613204.0
fg,cap,p112,1713711.0
fg,cap,p113,224254.0
fg,cap,p114,131281.0
fg,cap,p115,707130.0
fg,cap,p116,2049558.0
fg,cap,p117,766738.0
fg,cap,p118,1732483.0
fg,cap,p119,726902.0
fg,cap,p120,152059.0
fg,cap,p121,314692.0
fg,cap,p122,5413510.0
fg,cap,p123,895719.0
fg,cap,p124,0.0
fg,cap,p125,301032.0
fg,cap,p126,770846.0
fg,cap,p127,8327737.0
fg,cap,p128,67687.0
fg,cap,p129,1794062.0
fg,cap,p130,1864957.0
fg,cap,p131,1562319.0
fg,cap,p132,0.0
fg,cap,p133,249784.0
fg,cap,p134,7022606.0
fg,cap,p137,430584938.0
fg,cap,p138,430584938.0
fg,cap,p139,430584938.0
fg,cap,p140,430584938.0
fg,cap,p141,430584938.0
fg,cap,p142,430584938.0
fg,cap,p143,430584938.0
fg,cap,p144,430584938.0
fg,cap,p145,430584938.0
fg,cap,p146,430584938.0
fg,cap,p147,430584938.0
fg,cap,p148,430584938.0
fg,cap,p149,430584938.0
fg,cap,p150,430584938.0
fg,cap,p151,430584938.0
fg,cap,p152,430584938.0
fg,cap,p153,430584938.0
fg,cap,p154,430584938.0
fg,cap,p155,430584938.0
fg,cap,p156,430584938.0
fg,cap,p157,430584938.0
fg,cap,p158,430584938.0
fg,cap,p159,430584938.0
fg,cap,p160,430584938.0
fg,cap,p161,430584938.0
fg,cap,p162,430584938.0
fg,cap,p163,430584938.0
fg,cap,p164,430584938.0
fg,cap,p165,430584938.0
fg,cap,p166,430584938.0
fg,cap,p167,430584938.0
fg,cap,p168,430584938.0
fg,cap,p169,430584938.0
fg,cap,p170,430584938.0
fg,cap,p171,430584938.0
fg,cap,p172,430584938.0
fg,cap,p173,430584938.0
fg,cap,p174,430584938.0
fg,cap,p175,430584938.0
fg,cap,p176,430584938.0
fg,cap,p177,430584938.0
fg,cap,p178,430584938.0
fg,cap,p179,430584938.0
fg,cap,p180,430584938.0
fg,cap,p181,430584938.0
fg,cap,p182,430584938.0
fg,cap,p183,430584938.0
fg,cap,p184,430584938.0
fg,cap,p185,430584938.0
fg,cap,p186,430584938.0
fg,cap,p187,430584938.0
fg,cap,p188,430584938.0
fg,cap,p189,430584938.0
fg,cap,p190,430584938.0
fg,cap,p191,430584938.0
fg,cap,p192,430584938.0
fg,cap,p193,430584938.0
fg,cap,p194,430584938.0
fg,cap,p195,430584938.0
fg,cap,p196,430584938.0
fg,cap,p197,430584938.0
fg,cap,p198,430584938.0
fg,cap,p199,430584938.0
fg,cap,p200,430584938.0
fg,cap,p201,430584938.0
fg,cap,p202,430584938.0
fg,cap,p203,430584938.0
fg,cap,p204,430584938.0
fg,cap,p205,430584938.0
fsa,cap,p1,3411.0
fsa,cap,p2,10851.0
fsa,cap,p3,9625.0
fsa,cap,p4,6954.0
fsa,cap,p5,15587.0
fsa,cap,p6,3420.0
fsa,cap,p7,10905.0
fsa,cap,p8,0.0
fsa,cap,p9,0.0
fsa,cap,p10,0.0
fsa,cap,p11,0.0
fsa,cap,p12,20142.0
fsa,cap,p13,176.0
fsa,cap,p14,387.0
fsa,cap,p15,33480.0
fsa,cap,p16,49793.0
fsa,cap,p17,6848.0
fsa,cap,p18,10597.0
fsa,cap,p19,604.0
fsa,cap,p20,3213.0
fsa,cap,p21,14198.0
fsa,cap,p22,1654.0
fsa,cap,p23,265.0
fsa,cap,p24,8267.0
fsa,cap,p25,19302.0
fsa,cap,p26,5470.0
fsa,cap,p27,1122.0
fsa,cap,p28,39287.0
fsa,cap,p29,444.0
fsa,cap,p30,4782.0
fsa,cap,p31,8959.0
fsa,cap,p32,0.0
fsa,cap,p33,19688.0
fsa,cap,p34,20618.0
fsa,cap,p35,2755.0
fsa,cap,p36,12551.0
fsa,cap,p37,13351.0
fsa,cap,p38,0.0
fsa,cap,p39,12882.0
fsa,cap,p40,76690.0
fsa,cap,p41,20758.0
fsa,cap,p42,0.0
fsa,cap,p43,0.0
fsa,cap,p44,0.0
fsa,cap,p45,0.0
fsa,cap,p46,0.0
fsa,cap,p47,5265.0
fsa,cap,p48,22127.0
fsa,cap,p49,2737.0
fsa,cap,p50,525287.0
fsa,cap,p51,319801.0
fsa,cap,p52,13045.0
fsa,cap,p53,48780.0
fsa,cap,p54,0.0
fsa,cap,p55,0.0
fsa,cap,p56,0.0
fsa,cap,p57,196.0
fsa,cap,p58,0.0
fsa,cap,p59,242.0
fsa,cap,p60,4729.0
fsa,cap,p61,2159.0
fsa,cap,p62,1856.0
fsa,cap,p63,2055.0
fsa,cap,p64,1600.0
fsa,cap,p65,8097.0
fsa,cap,p66,418.0
fsa,cap,p67,436.0
fsa,cap,p68,0.0
fsa,cap,p69,0.0
fsa,cap,p70,0.0
fsa,cap,p71,0.0
fsa,cap,p72,0.0
fsa,cap,p73,0.0
fsa,cap,p74,0.0
fsa,cap,p75,0.0
fsa,cap,p76,0.0
fsa,cap,p77,0.0
fsa,cap,p78,0.0
fsa,cap,p79,0.0
fsa,cap,p80,0.0
fsa,cap,p81,0.0
fsa,cap,p82,0.0
fsa,cap,p83,0.0
fsa,cap,p84,0.0
fsa,cap,p85,0.0
fsa,cap,p86,0.0
fsa,cap,p87,0.0
fsa,cap,p88,0.0
fsa,cap,p89,0.0
fsa,cap,p90,0.0
fsa,cap,p91,0.0
fsa,cap,p92,0.0
fsa,cap,p93,0.0
fsa,cap,p94,0.0
fsa,cap,p95,0.0
fsa,cap,p96,0.0
fsa,cap,p97,0.0
fsa,cap,p98,0.0
fsa,cap,p99,0.0
fsa,cap,p100,0.0
fsa,cap,p101,0.0
fsa,cap,p102,0.0
fsa,cap,p103,0.0
fsa,cap,p104,0.0
fsa,cap,p105,0.0
fsa,cap,p106,0.0
fsa,cap,p107,0.0
fsa,cap,p108,0.0
fsa,cap,p109,0.0
fsa,cap,p110,0.0
fsa,cap,p111,0.0
fsa,cap,p112,0.0
fsa,cap,p113,0.0
fsa,cap,p114,0.0
fsa,cap,p115,0.0
fsa,cap,p116,0.0
fsa,cap,p117,0.0
fsa,cap,p118,0.0
fsa,cap,p119,0.0
fsa,cap,p120,0.0
fsa,cap,p121,0.0
fsa,cap,p122,0.0
fsa,cap,p123,0.0
fsa,cap,p124,0.0
fsa,cap,p125,0.0
fsa,cap,p126,0.0
fsa,cap,p127,0.0
fsa,cap,p128,0.0
fsa,cap,p129,0.0
fsa,cap,p130,0.0
fsa,cap,p131,0.0
fsa,cap,p132,0.0
fsa,cap,p133,0.0
fsa,cap,p134,0.0
fsa,cap,p137,801822.0
fsa,cap,p138,801822.0
fsa,cap,p139,801822.0
fsa,cap,p140,801822.0
fsa,cap,p141,801822.0
fsa,cap,p142,801822.0
fsa,cap,p143,801822.0
fsa,cap,p144,801822.0
fsa,cap,p145,801822.0
fsa,cap,p146,801822.0
fsa,cap,p147,801822.0
fsa,cap,p148,801822.0
fsa,cap,p149,801822.0
fsa,cap,p150,801822.0
fsa,cap,p151,801822.0
fsa,cap,p152,801822.0
fsa,cap,p153,801822.0
fsa,cap,p154,801822.0
fsa,cap,p155,801822.0
fsa,cap,p156,801822.0
fsa,cap,p157,801822.0
fsa,cap,p158,801822.0
fsa,cap,p159,801822.0
fsa,cap,p160,801822.0
fsa,cap,p161,801822.0
fsa,cap,p162,801822.0
fsa,cap,p163,801822.0
fsa,cap,p164,801822.0
fsa,cap,p165,801822.0
fsa,cap,p166,801822.0
fsa,cap,p167,801822.0
fsa,cap,p168,801822.0
fsa,cap,p169,801822.0
fsa,cap,p170,801822.0
fsa,cap,p171,801822.0
fsa,cap,p172,801822.0
fsa,cap,p173,801822.0
fsa,cap,p174,801822.0
fsa,cap,p175,801822.0
fsa,cap,p176,801822.0
fsa,cap,p177,801822.0
fsa,cap,p178,801822.0
fsa,cap,p179,801822.0
fsa,cap,p180,801822.0
fsa,cap,p181,801822.0
fsa,cap,p182,801822.0
fsa,cap,p183,801822.0
fsa,cap,p184,801822.0
fsa,cap,p185,801822.0
fsa,cap,p186,801822.0
fsa,cap,p187,801822.0
fsa,cap,p188,801822.0
fsa,cap,p189,801822.0
fsa,cap,p190,801822.0
fsa,cap,p191,801822.0
fsa,cap,p192,801822.0
fsa,cap,p193,801822.0
fsa,cap,p194,801822.0
fsa,cap,p195,801822.0
fsa,cap,p196,801822.0
fsa,cap,p197,801822.0
fsa,cap,p198,801822.0
fsa,cap,p199,801822.0
fsa,cap,p200,801822.0
fsa,cap,p201,801822.0
fsa,cap,p202,801822.0
fsa,cap,p203,801822.0
fsa,cap,p204,801822.0
fsa,cap,p205,801822.0
ww,cap,p1,1673.0
ww,cap,p2,1463.0
ww,cap,p3,2891.0
ww,cap,p4,811.0
ww,cap,p5,153.0
ww,cap,p6,62.0
ww,cap,p7,215.0
ww,cap,p8,0.0
ww,cap,p9,132601.0
ww,cap,p10,60769.0
ww,cap,p11,8375.0
ww,cap,p12,1058.0
ww,cap,p13,30291.0
ww,cap,p14,390.0
ww,cap,p15,381.0
ww,cap,p16,249.0
ww,cap,p17,36.0
ww,cap,p18,374.0
ww,cap,p19,0.0
ww,cap,p20,18.0
ww,cap,p21,1747.0
ww,cap,p22,0.0
ww,cap,p23,957.0
ww,cap,p24,4238.0
ww,cap,p25,9336.0
ww,cap,p26,3689.0
ww,cap,p27,131.0
ww,cap,p28,8158.0
ww,cap,p29,0.0
ww,cap,p30,11064.0
ww,cap,p31,6290.0
ww,cap,p32,514.0
ww,cap,p33,3030.0
ww,cap,p34,1435.0
ww,cap,p35,0.0
ww,cap,p36,3285.0
ww,cap,p37,1753.0
ww,cap,p38,4553.0
ww,cap,p39,2462.0
ww,cap,p40,53151.0
ww,cap,p41,20147.0
ww,cap,p42,3982.0
ww,cap,p43,143983.0
ww,cap,p44,8444.0
ww,cap,p45,57838.0
ww,cap,p46,26401.0
ww,cap,p47,1230.0
ww,cap,p48,2946.0
ww,cap,p49,352.0
ww,cap,p50,48403.0
ww,cap,p51,70992.0
ww,cap,p52,1774.0
ww,cap,p53,27694.0
ww,cap,p54,109220.0
ww,cap,p55,13816.0
ww,cap,p56,18019.0
ww,cap,p57,2038.0
ww,cap,p58,152377.0
ww,cap,p59,5448.0
ww,cap,p60,5986.0
ww,cap,p61,8202.0
ww,cap,p62,107.0
ww,cap,p63,50372.0
ww,cap,p64,14143.0
ww,cap,p65,32789.0
ww,cap,p66,6691.0
ww,cap,p67,32871.0
ww,cap,p68,9612.0
ww,cap,p69,21375.0
ww,cap,p70,49633.0
ww,cap,p71,2886.0
ww,cap,p72,73210.0
ww,cap,p73,49594.0
ww,cap,p74,11492.0
ww,cap,p75,33776.0
ww,cap,p76,120106.0
ww,cap,p77,28691.0
ww,cap,p78,3653.0
ww,cap,p79,18311.0
ww,cap,p80,444293.0
ww,cap,p81,289371.0
ww,cap,p82,13365.0
ww,cap,p83,41626.0
ww,cap,p84,27882.0
ww,cap,p85,82377.0
ww,cap,p86,12847.0
ww,cap,p87,69498.0
ww,cap,p88,13555.0
ww,cap,p89,83459.0
ww,cap,p90,70922.0
ww,cap,p91,10676.0
ww,cap,p92,252522.0
ww,cap,p93,24514.0
ww,cap,p94,247174.0
ww,cap,p95,57039.0
ww,cap,p96,92391.0
ww,cap,p97,112456.0
ww,cap,p98,113903.0
ww,cap,p99,191784.0
ww,cap,p100,6899.0
ww,cap,p101,93091.0
ww,cap,p102,85856.0
ww,cap,p103,428528.0
ww,cap,p104,3611.0
ww,cap,p105,186244.0
ww,cap,p106,25785.0
ww,cap,p107,83360.0
ww,cap,p108,19940.0
ww,cap,p109,87065.0
ww,cap,p110,10292.0
ww,cap,p111,126039.0
ww,cap,p112,407916.0
ww,cap,p113,64859.0
ww,cap,p114,58855.0
ww,cap,p115,116958.0
ww,cap,p116,37357.0
ww,cap,p117,24189.0
ww,cap,p118,23540.0
ww,cap,p119,13129.0
ww,cap,p120,2220.0
ww,cap,p121,14620.0
ww,cap,p122,311220.0
ww,cap,p123,177686.0
ww,cap,p124,120.0
ww,cap,p125,14702.0
ww,cap,p126,387117.0
ww,cap,p127,610972.0
ww,cap,p128,114343.0
ww,cap,p129,15731.0
ww,cap,p130,40900.0
ww,cap,p131,145497.0
ww,cap,p132,138865.0
ww,cap,p133,45749.0
ww,cap,p134,31288.0
ww,cap,p137,574119.0
ww,cap,p138,574119.0
ww,cap,p139,574119.0
ww,cap,p140,574119.0
ww,cap,p141,574119.0
ww,cap,p142,574119.0
ww,cap,p143,574119.0
ww,cap,p144,574119.0
ww,cap,p145,574119.0
ww,cap,p146,574119.0
ww,cap,p147,574119.0
ww,cap,p148,574119.0
ww,cap,p149,574119.0
ww,cap,p150,574119.0
ww,cap,p151,574119.0
ww,cap,p152,574119.0
ww,cap,p153,574119.0
ww,cap,p154,574119.0
ww,cap,p155,574119.0
ww,cap,p156,574119.0
ww,cap,p157,574119.0
ww,cap,p158,574119.0
ww,cap,p159,574119.0
ww,cap,p160,574119.0
ww,cap,p161,574119.0
ww,cap,p162,574119.0
ww,cap,p163,574119.0
ww,cap,p164,574119.0
ww,cap,p165,574119.0
ww,cap,p166,574119.0
ww,cap,p167,574119.0
ww,cap,p168,574119.0
ww,cap,p169,574119.0
ww,cap,p170,574119.0
ww,cap,p171,574119.0
ww,cap,p172,574119.0
ww,cap,p173,574119.0
ww,cap,p174,574119.0
ww,cap,p175,574119.0
ww,cap,p176,574119.0
ww,cap,p177,574119.0
ww,cap,p178,574119.0
ww,cap,p179,574119.0
ww,cap,p180,574119.0
ww,cap,p181,574119.0
ww,cap,p182,574119.0
ww,cap,p183,574119.0
ww,cap,p184,574119.0
ww,cap,p185,574119.0
ww,cap,p186,574119.0
ww,cap,p187,574119.0
ww,cap,p188,574119.0
ww,cap,p189,574119.0
ww,cap,p190,574119.0
ww,cap,p191,574119.0
ww,cap,p192,574119.0
ww,cap,p193,574119.0
ww,cap,p194,574119.0
ww,cap,p195,574119.0
ww,cap,p196,574119.0
ww,cap,p197,574119.0
ww,cap,p198,574119.0
ww,cap,p199,574119.0
ww,cap,p200,574119.0
ww,cap,p201,574119.0
ww,cap,p202,574119.0
ww,cap,p203,574119.0
ww,cap,p204,574119.0
ww,cap,p205,574119.0
sg,cap,p1,1538009.0
sg,cap,p2,1618376.0
sg,cap,p3,804130.0
sg,cap,p4,2847.0
sg,cap,p5,1811333.0
sg,cap,p6,1222565.0
sg,cap,p7,90102.0
sg,cap,p8,923776.0
sg,cap,p9,6353640.0
sg,cap,p10,3386403.0
sg,cap,p11,490683.0
sg,cap,p12,4116680.0
sg,cap,p13,670751.0
sg,cap,p14,1104351.0
sg,cap,p15,1507640.0
sg,cap,p16,443952.0
sg,cap,p17,1706742.0
sg,cap,p18,3597477.0
sg,cap,p19,824576.0
sg,cap,p20,1348854.0
sg,cap,p21,3167754.0
sg,cap,p22,550828.0
sg,cap,p23,626412.0
sg,cap,p24,1630501.0
sg,cap,p25,4734990.0
sg,cap,p26,852273.0
sg,cap,p27,622436.0
sg,cap,p28,3409112.0
sg,cap,p29,747976.0
sg,cap,p30,833020.0
sg,cap,p31,5231105.0
sg,cap,p32,794678.0
sg,cap,p33,3500238.0
sg,cap,p34,4382031.0
sg,cap,p35,2115800.0
sg,cap,p36,3354379.0
sg,cap,p37,3969673.0
sg,cap,p38,4606057.0
sg,cap,p39,400982.0
sg,cap,p40,2182436.0
sg,cap,p41,1289117.0
sg,cap,p42,2697353.0
sg,cap,p43,4752474.0
sg,cap,p44,1064164.0
sg,cap,p45,1248597.0
sg,cap,p46,1601276.0
sg,cap,p47,2010690.0
sg,cap,p48,2461587.0
sg,cap,p49,1237486.0
sg,cap,p50,5636174.0
sg,cap,p51,1000637.0
sg,cap,p52,2260192.0
sg,cap,p53,8017161.0
sg,cap,p54,1711946.0
sg,cap,p55,170796.0
sg,cap,p56,935488.0
sg,cap,p57,326586.0
sg,cap,p58,1467639.0
sg,cap,p59,165742.0
sg,cap,p60,1940971.0
sg,cap,p61,3317981.0
sg,cap,p62,464837.0
sg,cap,p63,2984199.0
sg,cap,p64,1055782.0
sg,cap,p65,2318084.0
sg,cap,p66,479145.0
sg,cap,p67,227479.0
sg,cap,p68,374729.0
sg,cap,p69,91403.0
sg,cap,p70,2178705.0
sg,cap,p71,587400.0
sg,cap,p72,853225.0
sg,cap,p73,124398.0
sg,cap,p74,1621581.0
sg,cap,p75,1391268.0
sg,cap,p76,581202.0
sg,cap,p77,287869.0
sg,cap,p78,91458.0
sg,cap,p79,93444.0
sg,cap,p80,736222.0
sg,cap,p81,2821337.0
sg,cap,p82,372181.0
sg,cap,p83,1293363.0
sg,cap,p84,70096.0
sg,cap,p85,1508990.0
sg,cap,p86,274445.0
sg,cap,p87,148660.0
sg,cap,p88,6521.0
sg,cap,p89,1198357.0
sg,cap,p90,774780.0
sg,cap,p91,21547.0
sg,cap,p92,4067714.0
sg,cap,p93,888257.0
sg,cap,p94,1757790.0
sg,cap,p95,584620.0
sg,cap,p96,549972.0
sg,cap,p97,1843985.0
sg,cap,p98,1293789.0
sg,cap,p99,1625609.0
sg,cap,p100,208233.0
sg,cap,p101,1900712.0
sg,cap,p102,406714.0
sg,cap,p103,6016834.0
sg,cap,p104,521865.0
sg,cap,p105,2904510.0
sg,cap,p106,44320.0
sg,cap,p107,2270697.0
sg,cap,p108,993020.0
sg,cap,p109,1920128.0
sg,cap,p110,952501.0
sg,cap,p111,2039295.0
sg,cap,p112,4089553.0
sg,cap,p113,329921.0
sg,cap,p114,385277.0
sg,cap,p115,1495504.0
sg,cap,p116,2968775.0
sg,cap,p117,1652680.0
sg,cap,p118,1316120.0
sg,cap,p119,498616.0
sg,cap,p120,123747.0
sg,cap,p121,695648.0
sg,cap,p122,4380772.0
sg,cap,p123,579696.0
sg,cap,p124,19701.0
sg,cap,p125,359708.0
sg,cap,p126,499640.0
sg,cap,p127,3943819.0
sg,cap,p128,8421.0
sg,cap,p129,433904.0
sg,cap,p130,78987.0
sg,cap,p131,287170.0
sg,cap,p132,252146.0
sg,cap,p133,0.0
sg,cap,p134,123602.0
sg,cap,p137,1345479.0
sg,cap,p138,1345479.0
sg,cap,p139,1345479.0
sg,cap,p140,1345479.0
sg,cap,p141,1345479.0
sg,cap,p142,1345479.0
sg,cap,p143,1345479.0
sg,cap,p144,1345479.0
sg,cap,p145,1345479.0
