wst,r,wint,spri,summ,fall
fsu,p172,0.33,0.25,0.25,0.17
fsu,p173,0.33,0.25,0.25,0.17
fsu,p174,0.33,0.25,0.25,0.17
fsu,p175,0.33,0.25,0.25,0.17
fsu,p176,0.33,0.25,0.25,0.17
fsu,p177,0.33,0.25,0.25,0.17
fsu,p178,0.33,0.25,0.25,0.17
fsu,p179,0.33,0.25,0.25,0.17
fsu,p180,0.33,0.25,0.25,0.17
fsu,p181,0.33,0.25,0.25,0.17
fsu,p182,0.33,0.25,0.25,0.17
fsu,p183,0.33,0.25,0.25,0.17
fsu,p184,0.33,0.25,0.25,0.17
fsu,p185,0.33,0.25,0.25,0.17
fsu,p186,0.33,0.25,0.25,0.17
fsu,p187,0.33,0.25,0.25,0.17
fsu,p188,0.33,0.25,0.25,0.17
fsu,p189,0.33,0.25,0.25,0.17
fsu,p190,0.33,0.25,0.25,0.17
fsu,p191,0.33,0.25,0.25,0.17
fsu,p192,0.33,0.25,0.25,0.17
fsu,p193,0.33,0.25,0.25,0.17
fsu,p194,0.33,0.25,0.25,0.17
fsu,p195,0.33,0.25,0.25,0.17
fsu,p196,0.33,0.25,0.25,0.17
fsu,p197,0.33,0.25,0.25,0.17
fsu,p198,0.33,0.25,0.25,0.17
fsu,p199,0.33,0.25,0.25,0.17
fsu,p200,0.33,0.25,0.25,0.17
fsu,p201,0.33,0.25,0.25,0.17
fsu,p202,0.33,0.25,0.25,0.17
fsu,p203,0.33,0.25,0.25,0.17
fsu,p204,0.33,0.25,0.25,0.17
fsu,p205,0.33,0.25,0.25,0.17
