nercr,t,source,MW,MW_TotalDemand
SERC_F,2027,NERC_LTRA_2023,499,54516
SERC_F,2028,NERC_LTRA_2023,406,54977
SERC_F,2029,NERC_LTRA_2023,406,55719
SERC_F,2030,NERC_LTRA_2023,406,56407
SERC_F,2031,NERC_LTRA_2023,406,57036
SERC_F,2032,NERC_LTRA_2023,406,57847
SERC_F,2033,NERC_LTRA_2023,406,58667
SERC_SE,2024,NERC_LTRA_2023,-971,46354
SERC_SE,2025,NERC_LTRA_2023,-471,45595
SERC_SE,2026,NERC_LTRA_2023,-471,45831
SERC_SE,2027,NERC_LTRA_2023,-471,46267
SERC_SE,2028,NERC_LTRA_2023,-471,46555
SERC_SE,2029,NERC_LTRA_2023,-471,46753
SERC_SE,2030,NERC_LTRA_2023,-256,47050
SERC_SE,2031,NERC_LTRA_2023,-256,47311
SERC_SE,2032,NERC_LTRA_2023,-256,47570
SERC_SE,2033,NERC_LTRA_2023,-256,47937
SPP,2024,NERC_LTRA_2023,-404,53603
SPP,2025,NERC_LTRA_2023,-384,54846
SPP,2026,NERC_LTRA_2023,-364,55784
SPP,2027,NERC_LTRA_2023,-474,56754
SPP,2028,NERC_LTRA_2023,-469,47048
SPP,2029,NERC_LTRA_2023,-469,57249
SPP,2030,NERC_LTRA_2023,-400,58253
SPP,2031,NERC_LTRA_2023,-400,58557
SPP,2032,NERC_LTRA_2023,-402,58908
SPP,2033,NERC_LTRA_2023,-402,59242
ERCOT,2024,NERC_LTRA_2023,20,84325
ERCOT,2025,NERC_LTRA_2023,20,85740
ERCOT,2026,NERC_LTRA_2023,20,87131
ERCOT,2027,NERC_LTRA_2023,20,88518
ERCOT,2028,NERC_LTRA_2023,20,89090
ERCOT,2029,NERC_LTRA_2023,20,89624
ERCOT,2030,NERC_LTRA_2023,20,90298
ERCOT,2031,NERC_LTRA_2023,20,90986
ERCOT,2032,NERC_LTRA_2023,20,91646
ERCOT,2033,NERC_LTRA_2023,20,92296
WECC_CA,2024,out_of_state_capacity+NERC_summer_2024_import_value,9406.103455,57178
WECC_CA,2025,out_of_state_capacity+NERC_summer_2024_import_value,9406.103455,57884
WECC_CA,2026,out_of_state_capacity+NERC_summer_2024_import_value,9406.103455,58554
WECC_CA,2027,out_of_state_capacity+NERC_summer_2024_import_value,10906.10346,59380
WECC_CA,2028,out_of_state_capacity+NERC_summer_2024_import_value,11656.10346,60294
WECC_CA,2029,out_of_state_capacity+NERC_summer_2024_import_value,12406.10346,61180
WECC_CA,2030,out_of_state_capacity+NERC_summer_2024_import_value,12406.10346,62213
WECC_CA,2031,out_of_state_capacity+NERC_summer_2024_import_value,12406.10346,63418
WECC_CA,2032,out_of_state_capacity+NERC_summer_2024_import_value,12406.10346,64470
WECC_CA,2033,out_of_state_capacity+NERC_summer_2024_import_value,12406.10346,65449
WECC_NW,2024,NERC_LTRA_2023,1157,62899
WECC_NW,2025,NERC_LTRA_2023,1290,64432
WECC_NW,2026,NERC_LTRA_2023,6785,65427
WECC_NW,2027,NERC_LTRA_2023,8002,67732
WECC_NW,2028,NERC_LTRA_2023,9826,69449
WECC_NW,2029,NERC_LTRA_2023,9255,70241
WECC_NW,2030,NERC_LTRA_2023,9293,70881
WECC_NW,2031,NERC_LTRA_2023,9383,71453
WECC_NW,2032,NERC_LTRA_2023,1957,73043
WECC_NW,2033,NERC_LTRA_2023,2103,73661
WECC_SW,2024,NERC_LTRA_2023,1676,26749
WECC_SW,2025,NERC_LTRA_2023,2316,27499
WECC_SW,2026,NERC_LTRA_2023,3148,28294
WECC_SW,2027,NERC_LTRA_2023,3824,29029
WECC_SW,2028,NERC_LTRA_2023,4731,29554
WECC_SW,2029,NERC_LTRA_2023,5324,29973
WECC_SW,2030,NERC_LTRA_2023,5736,30400
WECC_SW,2031,NERC_LTRA_2023,5072,30529
WECC_SW,2032,NERC_LTRA_2023,3445,30672
WECC_SW,2033,NERC_LTRA_2023,2512,31234
