*nercr,t,static,nerc,ramp2025_20by50,reduce_weccnw_5p
SERC_C,2031,0.15,0.15,0.163,0.15
SERC_C,2032,0.15,0.15,0.165,0.15
SERC_C,2033,0.15,0.15,0.167,0.15
SERC_C,2034,0.15,0.15,0.169,0.15
SERC_C,2035,0.15,0.15,0.171,0.15
SERC_C,2036,0.15,0.15,0.173,0.15
SERC_C,2037,0.15,0.15,0.175,0.15
SERC_C,2038,0.15,0.15,0.177,0.15
SERC_C,2039,0.15,0.15,0.179,0.15
SERC_C,2040,0.15,0.15,0.181,0.15
SERC_C,2041,0.15,0.15,0.183,0.15
SERC_C,2042,0.15,0.15,0.185,0.15
SERC_C,2043,0.15,0.15,0.187,0.15
SERC_C,2044,0.15,0.15,0.188,0.15
SERC_C,2045,0.15,0.15,0.19,0.15
SERC_C,2046,0.15,0.15,0.192,0.15
SERC_C,2047,0.15,0.15,0.194,0.15
SERC_C,2048,0.15,0.15,0.196,0.15
SERC_C,2049,0.15,0.15,0.198,0.15
SERC_C,2050,0.15,0.15,0.2,0.15
SERC_F,2024,0.15,0.15,0.15,0.15
SERC_F,2025,0.15,0.15,0.152,0.15
SERC_F,2026,0.15,0.15,0.154,0.15
SERC_F,2027,0.15,0.15,0.156,0.15
SERC_F,2028,0.15,0.15,0.158,0.15
SERC_F,2029,0.15,0.15,0.16,0.15
SERC_F,2030,0.15,0.15,0.162,0.15
SERC_F,2031,0.15,0.15,0.163,0.15
SERC_F,2032,0.15,0.15,0.165,0.15
SERC_F,2033,0.15,0.15,0.167,0.15
SERC_F,2034,0.15,0.15,0.169,0.15
SERC_F,2035,0.15,0.15,0.171,0.15
SERC_F,2036,0.15,0.15,0.173,0.15
SERC_F,2037,0.15,0.15,0.175,0.15
SERC_F,2038,0.15,0.15,0.177,0.15
SERC_F,2039,0.15,0.15,0.179,0.15
SERC_F,2040,0.15,0.15,0.181,0.15
SERC_F,2041,0.15,0.15,0.183,0.15
SERC_F,2042,0.15,0.15,0.185,0.15
SERC_F,2043,0.15,0.15,0.187,0.15
SERC_F,2044,0.15,0.15,0.188,0.15
SERC_F,2045,0.15,0.15,0.19,0.15
SERC_F,2046,0.15,0.15,0.192,0.15
SERC_F,2047,0.15,0.15,0.194,0.15
SERC_F,2048,0.15,0.15,0.196,0.15
SERC_F,2049,0.15,0.15,0.198,0.15
SERC_F,2050,0.15,0.15,0.2,0.15
SERC_SE,2024,0.15,0.15,0.15,0.15
SERC_SE,2025,0.15,0.15,0.152,0.15
SERC_SE,2026,0.15,0.15,0.154,0.15
SERC_SE,2027,0.15,0.15,0.156,0.15
SERC_SE,2028,0.15,0.15,0.158,0.15
SERC_SE,2029,0.15,0.15,0.16,0.15
SERC_SE,2030,0.15,0.15,0.162,0.15
SERC_SE,2031,0.15,0.15,0.163,0.15
SERC_SE,2032,0.15,0.15,0.165,0.15
SERC_SE,2033,0.15,0.15,0.167,0.15
SERC_SE,2034,0.15,0.15,0.169,0.15
SERC_SE,2035,0.15,0.15,0.171,0.15
SERC_SE,2036,0.15,0.15,0.173,0.15
SERC_SE,2037,0.15,0.15,0.175,0.15
SERC_SE,2038,0.15,0.15,0.177,0.15
SERC_SE,2039,0.15,0.15,0.179,0.15
SERC_SE,2040,0.15,0.15,0.181,0.15
SERC_SE,2041,0.15,0.15,0.183,0.15
SERC_SE,2042,0.15,0.15,0.185,0.15
SERC_SE,2043,0.15,0.15,0.187,0.15
SERC_SE,2044,0.15,0.15,0.188,0.15
SERC_SE,2045,0.15,0.15,0.19,0.15
SERC_SE,2046,0.15,0.15,0.192,0.15
SERC_SE,2047,0.15,0.15,0.194,0.15
SERC_SE,2048,0.15,0.15,0.196,0.15
SERC_SE,2049,0.15,0.15,0.198,0.15
SERC_SE,2050,0.15,0.15,0.2,0.15
SPP,2024,0.19,0.19,0.19,0.19
SPP,2025,0.19,0.19,0.19,0.19
SPP,2026,0.19,0.19,0.191,0.19
SPP,2027,0.19,0.19,0.191,0.19
SPP,2028,0.19,0.19,0.192,0.19
SPP,2029,0.19,0.19,0.192,0.19
SPP,2030,0.19,0.19,0.192,0.19
SPP,2031,0.19,0.19,0.193,0.19
SPP,2032,0.19,0.19,0.193,0.19
SPP,2033,0.19,0.19,0.193,0.19
SPP,2034,0.19,0.19,0.194,0.19
SPP,2035,0.19,0.19,0.194,0.19
SPP,2036,0.19,0.19,0.195,0.19
SPP,2037,0.19,0.19,0.195,0.19
SPP,2038,0.19,0.19,0.195,0.19
SPP,2039,0.19,0.19,0.196,0.19
SPP,2040,0.19,0.19,0.196,0.19
SPP,2041,0.19,0.19,0.197,0.19
SPP,2042,0.19,0.19,0.197,0.19
SPP,2043,0.19,0.19,0.197,0.19
SPP,2044,0.19,0.19,0.198,0.19
SPP,2045,0.19,0.19,0.198,0.19
SPP,2046,0.19,0.19,0.198,0.19
SPP,2047,0.19,0.19,0.199,0.19
SPP,2048,0.19,0.19,0.199,0.19
SPP,2049,0.19,0.19,0.2,0.19
SPP,2050,0.19,0.19,0.2,0.19
ERCOT,2024,0.1375,0.1375,0.138,0.1375
ERCOT,2025,0.1375,0.1375,0.14,0.1375
ERCOT,2026,0.1375,0.1375,0.142,0.1375
ERCOT,2027,0.1375,0.1375,0.145,0.1375
ERCOT,2028,0.1375,0.1375,0.147,0.1375
ERCOT,2029,0.1375,0.1375,0.15,0.1375
ERCOT,2030,0.1375,0.1375,0.152,0.1375
ERCOT,2031,0.1375,0.1375,0.154,0.1375
ERCOT,2032,0.1375,0.1375,0.157,0.1375
ERCOT,2033,0.1375,0.1375,0.159,0.1375
ERCOT,2034,0.1375,0.1375,0.162,0.1375
ERCOT,2035,0.1375,0.1375,0.164,0.1375
ERCOT,2036,0.1375,0.1375,0.166,0.1375
ERCOT,2037,0.1375,0.1375,0.169,0.1375
ERCOT,2038,0.1375,0.1375,0.171,0.1375
ERCOT,2039,0.1375,0.1375,0.174,0.1375
ERCOT,2040,0.1375,0.1375,0.176,0.1375
ERCOT,2041,0.1375,0.1375,0.178,0.1375
ERCOT,2042,0.1375,0.1375,0.181,0.1375
ERCOT,2043,0.1375,0.1375,0.183,0.1375
ERCOT,2044,0.1375,0.1375,0.186,0.1375
ERCOT,2045,0.1375,0.1375,0.188,0.1375
ERCOT,2046,0.1375,0.1375,0.19,0.1375
ERCOT,2047,0.1375,0.1375,0.193,0.1375
ERCOT,2048,0.1375,0.1375,0.195,0.1375
ERCOT,2049,0.1375,0.1375,0.198,0.1375
ERCOT,2050,0.1375,0.1375,0.2,0.1375
WECC_CA,2024,0.1864,0.1864,0.186,0.1864
WECC_CA,2025,0.1864,0.1854,0.187,0.1854
WECC_CA,2026,0.1864,0.1842,0.187,0.1842
WECC_CA,2027,0.1864,0.1826,0.188,0.1826
WECC_CA,2028,0.1864,0.1528,0.188,0.1528
WECC_CA,2029,0.1864,0.1781,0.189,0.1781
WECC_CA,2030,0.1864,0.1758,0.19,0.1758
WECC_CA,2031,0.1864,0.1734,0.19,0.1734
WECC_CA,2032,0.1864,0.1717,0.191,0.1717
WECC_CA,2033,0.1864,0.1701,0.191,0.1701
WECC_CA,2034,0.1864,0.1701,0.192,0.1701
WECC_CA,2035,0.1864,0.1701,0.192,0.1701
WECC_CA,2036,0.1864,0.1701,0.193,0.1701
WECC_CA,2037,0.1864,0.1701,0.193,0.1701
WECC_CA,2038,0.1864,0.1701,0.194,0.1701
WECC_CA,2039,0.1864,0.1701,0.194,0.1701
WECC_CA,2040,0.1864,0.1701,0.195,0.1701
WECC_CA,2041,0.1864,0.1701,0.195,0.1701
WECC_CA,2042,0.1864,0.1701,0.196,0.1701
WECC_CA,2043,0.1864,0.1701,0.196,0.1701
WECC_CA,2044,0.1864,0.1701,0.197,0.1701
WECC_CA,2045,0.1864,0.1701,0.197,0.1701
WECC_CA,2046,0.1864,0.1701,0.198,0.1701
WECC_CA,2047,0.1864,0.1701,0.198,0.1701
WECC_CA,2048,0.1864,0.1701,0.199,0.1701
WECC_CA,2049,0.1864,0.1701,0.199,0.1701
WECC_CA,2050,0.1864,0.1701,0.2,0.1701
WECC_NW,2024,0.189,0.189,0.189,0.189
WECC_NW,2025,0.189,0.189,0.189,0.189
WECC_NW,2026,0.189,0.176,0.19,0.1672
WECC_NW,2027,0.189,0.176,0.19,0.1672
WECC_NW,2028,0.189,0.174,0.191,0.1653
WECC_NW,2029,0.189,0.168,0.191,0.1596
WECC_NW,2030,0.189,0.165,0.192,0.15675
WECC_NW,2031,0.189,0.164,0.192,0.1558
WECC_NW,2032,0.189,0.165,0.192,0.15675
WECC_NW,2033,0.189,0.163,0.193,0.15485
WECC_NW,2034,0.189,0.163,0.193,0.15485
WECC_NW,2035,0.189,0.163,0.194,0.15485
WECC_NW,2036,0.189,0.163,0.194,0.15485
WECC_NW,2037,0.189,0.163,0.195,0.15485
WECC_NW,2038,0.189,0.163,0.195,0.15485
WECC_NW,2039,0.189,0.163,0.195,0.15485
WECC_NW,2040,0.189,0.163,0.196,0.15485
WECC_NW,2041,0.189,0.163,0.196,0.15485
WECC_NW,2042,0.189,0.163,0.197,0.15485
WECC_NW,2043,0.189,0.163,0.197,0.15485
WECC_NW,2044,0.189,0.163,0.197,0.15485
WECC_NW,2045,0.189,0.163,0.198,0.15485
WECC_NW,2046,0.189,0.163,0.198,0.15485
WECC_NW,2047,0.189,0.163,0.199,0.15485
WECC_NW,2048,0.189,0.163,0.199,0.15485
WECC_NW,2049,0.189,0.163,0.2,0.15485
WECC_NW,2050,0.189,0.163,0.2,0.15485
WECC_SW,2024,0.131,0.131,0.131,0.131
WECC_SW,2025,0.131,0.134,0.134,0.134
WECC_SW,2026,0.131,0.131,0.136,0.131
WECC_SW,2027,0.131,0.128,0.139,0.128
WECC_SW,2028,0.131,0.113,0.142,0.113
WECC_SW,2029,0.131,0.123,0.144,0.123
WECC_SW,2030,0.131,0.122,0.147,0.122
WECC_SW,2031,0.131,0.122,0.15,0.122
WECC_SW,2032,0.131,0.12,0.152,0.12
WECC_SW,2033,0.131,0.117,0.155,0.117
WECC_SW,2034,0.131,0.117,0.158,0.117
WECC_SW,2035,0.131,0.117,0.16,0.117
WECC_SW,2036,0.131,0.117,0.163,0.117
WECC_SW,2037,0.131,0.117,0.166,0.117
WECC_SW,2038,0.131,0.117,0.168,0.117
WECC_SW,2039,0.131,0.117,0.171,0.117
WECC_SW,2040,0.131,0.117,0.173,0.117
WECC_SW,2041,0.131,0.117,0.176,0.117
WECC_SW,2042,0.131,0.117,0.179,0.117
WECC_SW,2043,0.131,0.117,0.181,0.117
WECC_SW,2044,0.131,0.117,0.184,0.117
WECC_SW,2045,0.131,0.117,0.187,0.117
WECC_SW,2046,0.131,0.117,0.189,0.117
WECC_SW,2047,0.131,0.117,0.192,0.117
WECC_SW,2048,0.131,0.117,0.195,0.117
WECC_SW,2049,0.131,0.117,0.197,0.117
WECC_SW,2050,0.131,0.117,0.2,0.117
