PCA_Code,NEMS_Region,F_AREA
p17,NWPP,96374852985
p18,NWPP,1.33E+11
p18,RMPA,17135665.74
p19,MROW,7593987003
p19,NWPP,18069955144
p20,MROW,6015650.21
p20,NWPP,62993639605
p20,RMPA,9958824.532
p21,NWPP,1.28E+11
p21,RMPA,243379700.9
p22,NWPP,753141630.7
p22,RMPA,16603921246
p23,NWPP,9015904.527
p23,RMPA,26077372645
p24,MROW,7164508.474
p24,NWPP,40108604620
p24,RMPA,41652854627
p25,AZNM,2559661.37
p25,NWPP,1.85E+11
p25,RMPA,29455307.67
p26,NWPP,34350798056
p26,RMPA,8329201.563
p27,AZNM,34841277725
p27,NWPP,51445031.01
p28,AZNM,2.00E+11
p28,CAMX,31641775.58
p28,NWPP,4374249398
p29,AZNM,19008114933
p29,NWPP,10047557709
p29,RMPA,78629.37641
p30,AZNM,26624557583
p31,AZNM,2.32E+11
p31,ERCT,881383.4313
p31,NWPP,5973795333
p31,RMPA,11915240440
p31,SPSO,9239310774
p32,MROW,5812152249
p32,NWPP,1887.863975
p32,RMPA,17910109687
p33,MROW,14037120.74
p33,NWPP,65759035.31
p33,RMPA,1.23E+11
p34,NWPP,12306489.83
p34,RMPA,1.46E+11
p34,SPNO,30049680.03
p34,SPSO,81564.88712
p35,MROW,49698880320
p35,NWPP,12630139684
p35,RMPA,6741295.225
p36,MROW,86261546222
p37,MROW,96837264341
p38,MROW,1.71E+11
p38,RMPA,5205101096
p39,MROW,35767979695
p39,RMPA,14923499740
p40,MROW,1.31E+11
p40,SPNO,2802641.186
p41,MROW,18123257259
p41,SPNO,28990556.96
p42,MROW,53340762646
p43,MROW,1.23E+11
p44,MROW,19835016781
p45,MROW,56196955816
p45,SPNO,42248588.29
p46,MROE,5700589858
p46,MROW,46073803175
p47,AZNM,2245571319
p47,ERCT,95480343.67
p47,SPSO,53113651583
p48,AZNM,189393291.2
p48,ERCT,10448880971
p48,SPSO,79435784434
p49,AZNM,23318418.78
p49,RMPA,17757466.11
p49,SPNO,37600964.24
p49,SPSO,14703868430
p50,ERCT,275424668.6
p50,SPNO,52817910.32
p50,SPSO,1.35E+11
p51,SPNO,14886105.91
p51,SPSO,30511038577
p52,MROW,33406406.34
p52,RMPA,13141361.21
p52,SPNO,53215406715
p52,SPSO,3956976.165
p53,MROW,187176111.1
p53,SPNO,1.60E+11
p53,SPSO,24421291.02
p54,MROW,38297613.72
p54,SPNO,37214085222
p54,SRGW,5287050004
p55,SPNO,35052748878
p55,SPSO,36200.3409
p55,SRGW,2011696950
p56,SPNO,172569522.2
p56,SPSO,29173691019
p56,SRDA,7732558173
p57,ERCT,397466443.5
p57,SPSO,14615537093
p58,ERCT,45124540.44
p58,SPSO,38782891015
p58,SRDA,60600509808
p58,SRSE,9991184.849
p59,AZNM,2565305941
p60,ERCT,52306407857
p60,SPSO,2840550204
p61,AZNM,13027676912
p61,ERCT,1.16E+11
p62,ERCT,27620152024
p62,SPSO,37375863.81
p63,ERCT,1.28E+11
p63,SPSO,7120899311
p63,SRDA,5984800697
p64,ERCT,63951922834
p64,SRDA,8543569312
p65,ERCT,1.03E+11
p66,ERCT,9654943216
p66,SPSO,2275836958
p66,SRDA,22654375932
p67,ERCT,10803992872
p67,SRDA,550387361.6
p68,MROE,1334254.324
p68,MROW,21777880317
p69,MROE,26308946.31
p69,MROW,19377094166
p70,MROW,69961981074
p70,RFCW,19136990.88
p70,SPNO,9128907.7
p70,SRGW,108664573.4
p71,MROW,16648394.71
p71,SRGW,14899830557
p72,SPNO,17034972.83
p72,SRGW,39929602290
p72,SRCE,21782244.19
p73,SRGW,13512493856
p74,MROE,24310754893
p74,MROW,881117959.8
p74,RFCW,4918186115
p75,MROE,27748209813
p75,RFCW,4207371886
p76,MROE,22373235119
p76,RFCW,3300071280
p77,MROE,16739730103
p77,MROW,2290690869
p78,MROE,6602006530
p79,MROE,4491815482
p79,RFCW,5318869582
p80,MROE,57181707.68
p80,MROW,1704450468
p80,RFCW,23667464036
p80,SRGW,7317287758
p81,MROW,22501204.28
p81,RFCW,272386835.3
p81,SRGW,68384471348
p81,SRCE,28577944.1
p82,SRGW,9650525079
p83,RFCW,244081202.5
p83,SRGW,34546853388
p84,RFCW,2285678.415
p84,SPNO,3355228478
p84,SRDA,50239297.46
p84,SRGW,29091265847
p84,SRCE,33240549.62
p85,SPNO,11607595.64
p85,SPSO,10606104538
p85,SRDA,89781577737
p85,SRGW,191657337.5
p85,SRCE,63009251.37
p86,SPSO,806743183.4
p86,SRDA,17005953598
p87,SRDA,61723371720
p87,SRSE,28783046060
p87,SRCE,23417.86066
p88,SRDA,4718772662
p88,SRSE,3083058883
p88,SRCE,25036549035
p89,SRSE,44157964261
p89,SRCE,12798097802
p90,SRSE,76360757929
p90,SRCE,294388091
p91,FRCC,5925646.941
p91,SRSE,19435833019
p92,RFCW,8873343.362
p92,SRDA,146914970
p92,SRGW,20452592.34
p92,SRSE,15664665.51
p92,SRCE,1.09E+11
p92,SRVC,24682119.29
p93,RFCW,48336574.23
p93,SRGW,83469732.4
p93,SRCE,25382770208
p94,FRCC,66940802.35
p94,SRSE,1.49E+11
p94,SRCE,2496779642
p94,SRVC,118708908.4
p95,SRSE,19317709.8
p95,SRVC,20714580865
p96,SRSE,64854580.32
p96,SRVC,58810660366
p97,RFCW,6022972.156
p97,SRSE,116795.3866
p97,SRCE,179177277.6
p97,SRVC,50965134419
p98,SRVC,74978773322
p99,RFCE,5739692.109
p99,RFCW,3996455354
p99,SRVC,61429590793
p100,RFCW,3468376404
p100,SRVC,1398747689
p101,FRCC,1.02E+11
p101,SRSE,903577714.6
p102,FRCC,20709591347
p103,MROE,1943070608
p103,RFCM,98350268934
p103,RFCW,10174015256
p104,RFCM,503743745
p104,RFCW,6782457869
p105,RFCW,50172461111
p105,SRGW,260791.1504
p106,RFCW,2086928294
p107,RFCW,41249325484
p107,SRGW,22578291.09
p107,SRCE,177422604.6
p108,RFCW,61376906.04
p108,SRGW,6098523.45
p108,SRCE,14290461043
p109,RFCW,1861108348
p109,SRCE,51675528888
p110,RFCW,5889342000
p110,SRCE,5360644932
p111,RFCE,17468415.11
p111,RFCM,31572814.09
p111,RFCW,20852158447
p112,RFCW,71161541617
p112,SRCE,4877.786036
p113,RFCW,8819271004
p114,RFCW,5809091063
p114,SRCE,261563.3349
p115,RFCE,486521042.6
p115,RFCW,14848980326
p116,RFCW,44416987680
p116,SRVC,45883913.39
p117,RFCW,18291964394
p118,RFCW,22208958966
p118,SRCE,4270896832
p118,SRVC,4696495760
p119,NYUP,6445607.521
p119,RFCE,6225295647
p119,RFCW,4962656131
p120,RFCE,266474398.6
p120,RFCW,2869108937
p121,RFCE,12097868.69
p121,RFCW,5737511345
p121,SRVC,1697246.43
p122,NYUP,29610381.4
p122,RFCE,79018864957
p122,RFCW,8603671261
p123,RFCE,17033647936
p123,RFCW,1610638222
p123,SRVC,199129114.3
p124,RFCE,1330060612
p125,RFCE,5155899735
p126,NYCW,235400.772
p126,NYUP,58652783.76
p126,RFCE,19147723313
p127,NEWE,32982116.97
p127,NYCW,1937447305
p127,NYUP,1.20E+11
p127,RFCE,108773061.9
p128,NYCW,318039147.2
p128,NYLI,2523487618
p129,NEWE,24776950840
p129,NYUP,66076229.64
p130,NEWE,23935230594
p131,NEWE,20319020811
p131,NYUP,44910608.7
p132,NEWE,12804519055
p132,NYCW,10384848.56
p132,NYUP,5668730.762
p133,NEWE,2653946122
p134,NEWE,82656100161
p9,CAMX,177646.4484
p9,NWPP,177646.4484
p10,CAMX,131.6888445
p10,NWPP,131.6888445
p21,NWPP,106332.3198
p21,RMPA,106332.3198
p22,NWPP,722.6664479
p22,RMPA,722.6664479
p27,AZNM,13.17498034
p27,NWPP,13.17498034
p28,AZNM,1171.945012
p28,NWPP,1171.945012
p31,AZNM,1021081.608
p31,RMPA,1021081.608
p31,AZNM,156.6756589
p31,SPSO,156.6756589
p31,ERCT,674.7151278
p31,SPSO,674.7151278
p31,NWPP,98856.97184
p31,RMPA,98856.97184
p34,NWPP,225817.2542
p34,RMPA,225817.2542
p35,MROW,470.231174
p35,NWPP,470.231174
p39,MROW,6085.493211
p39,RMPA,6085.493211
p48,ERCT,8881.155285
p48,SPSO,8881.155285
p50,ERCT,146.6815223
p50,SPSO,146.6815223
p56,SPNO,170935.4803
p56,SPSO,170935.4803
p56,SPNO,264557.3404
p56,SRDA,264557.3404
p58,ERCT,18.73250294
p58,SPSO,18.73250294
p58,SPSO,138.9136558
p58,SRDA,138.9136558
p62,ERCT,23.47007498
p62,SPSO,23.47007498
p66,ERCT,0.047185284
p66,SPSO,0.047185284
p66,SPSO,84.93944218
p66,SRDA,84.93944218
p70,MROW,15.21212214
p70,RFCW,15.21212214
p70,MROW,52792.51118
p70,SPNO,52792.51118
p70,MROW,21020.85086
p70,SRGW,21020.85086
p74,MROE,72.15943
p74,MROW,72.15943
p76,MROE,1882.967856
p76,RFCW,1882.967856
p77,MROE,42432.01322
p77,MROW,42432.01322
p80,MROE,269556.9571
p80,MROW,269556.9571
p80,MROE,187509.0409
p80,RFCW,187509.0409
p80,RFCW,106.6828711
p80,SRGW,106.6828711
p85,SPSO,6602.58693
p85,SRDA,6602.58693
p87,SRDA,24854.63483
p87,SRSE,24854.63483
p87,SRDA,1056.871778
p87,SRCE,1056.871778
p88,SRDA,4754.727039
p88,SRCE,4754.727039
p89,SRSE,1325.939822
p89,SRCE,1325.939822
p91,FRCC,122.5780554
p91,SRSE,122.5780554
p92,SRDA,73451.77931
p92,SRCE,73451.77931
p92,SRSE,78018.17517
p92,SRCE,78018.17517
p94,FRCC,23.00446934
p94,SRSE,23.00446934
p94,SRSE,13577.34749
p94,SRCE,13577.34749
p97,SRCE,98.2512263
p97,SRVC,98.2512263
p99,RFCW,373.6685962
p99,SRVC,373.6685962
p103,RFCM,15.95123272
p103,RFCW,15.95123272
p110,RFCW,427.8919871
p110,SRCE,427.8919871
p111,RFCE,1869.161556
p111,RFCW,1869.161556
p112,RFCW,133.076924
p112,SRCE,133.076924
p116,RFCW,205.7467567
p116,SRVC,205.7467567
p118,RFCW,0.165413904
p118,SRCE,0.165413904
p122,RFCE,24.10627861
p122,RFCW,24.10627861
