"r","rs","i","h","value"
"Andhra_Pradesh",4,"ONSWIND","H7",0.0388
"Andhra_Pradesh",4,"ONSWIND","H2",0.0503763440860214
"Andhra_Pradesh",4,"ONSWIND","H5",0.0839301075268817
"Andhra_Pradesh",4,"OFSWIND","H32",0.311823770491803
"Andhra_Pradesh",4,"OFSWIND","H34",0.345941176470588
"Andhra_Pradesh",4,"OFSWIND","H31",0.302254098360656
"Andhra_Pradesh",4,"OFSWIND","H29",0.251005464480874
"Andhra_Pradesh",4,"OFSWIND","H35",0.132775
"Andhra_Pradesh",4,"OFSWIND","H30",0.256737704918033
"Andhra_Pradesh",4,"OFSWIND","H33",0.321868852459016
"Andhra_Pradesh",4,"OFSWIND","H25",0.4849375
"Andhra_Pradesh",4,"OFSWIND","H27",0.558765957446809
"Andhra_Pradesh",4,"OFSWIND","H24",0.483122282608696
"Andhra_Pradesh",4,"OFSWIND","H22",0.555326086956522
"Andhra_Pradesh",4,"OFSWIND","H28",0.44555
"Andhra_Pradesh",4,"OFSWIND","H23",0.531405797101449
"Andhra_Pradesh",4,"OFSWIND","H26",0.554250909090909
"Andhra_Pradesh",4,"OFSWIND","H11",0.0852033898305084
"Andhra_Pradesh",4,"OFSWIND","H13",0.100704081632653
"Andhra_Pradesh",4,"OFSWIND","H10",0.0784025423728813
"Andhra_Pradesh",4,"OFSWIND","H8",0.0719604519774011
"Andhra_Pradesh",4,"OFSWIND","H14",0.131875
"Andhra_Pradesh",4,"OFSWIND","H9",0.0724237288135593
"Andhra_Pradesh",4,"OFSWIND","H12",0.113564971751412
"Andhra_Pradesh",4,"OFSWIND","H18",0.336942857142857
"Andhra_Pradesh",4,"OFSWIND","H20",0.405218884120172
"Andhra_Pradesh",4,"OFSWIND","H17",0.292808791208791
"Andhra_Pradesh",4,"OFSWIND","H15",0.355734065934066
"Andhra_Pradesh",4,"OFSWIND","H21",0.25285
"Andhra_Pradesh",4,"OFSWIND","H16",0.327179487179487
"Andhra_Pradesh",4,"OFSWIND","H19",0.405139194139194
"Andhra_Pradesh",4,"OFSWIND","H4",0.244987903225806
"Andhra_Pradesh",4,"OFSWIND","H6",0.239923076923077
"Andhra_Pradesh",4,"OFSWIND","H3",0.263586021505376
"Andhra_Pradesh",4,"OFSWIND","H1",0.162145161290322
"Andhra_Pradesh",4,"OFSWIND","H7",0.213225
"Andhra_Pradesh",4,"OFSWIND","H2",0.213005376344086
"Andhra_Pradesh",4,"OFSWIND","H5",0.243048387096774
"Andhra_Pradesh",4,"DISTPV","H32",0.458557377049181
"Andhra_Pradesh",4,"DISTPV","H34",0
"Andhra_Pradesh",4,"DISTPV","H31",0.336274590163934
"Andhra_Pradesh",4,"DISTPV","H29",0
"Andhra_Pradesh",4,"DISTPV","H35",0
"Andhra_Pradesh",4,"DISTPV","H30",0.00750819672131148
"Andhra_Pradesh",4,"DISTPV","H33",0.118732240437158
"Andhra_Pradesh",4,"DISTPV","H25",0.452326086956522
"Andhra_Pradesh",4,"DISTPV","H27",8.8145896656535e-05
"Andhra_Pradesh",4,"DISTPV","H24",0.304619565217391
"Andhra_Pradesh",4,"DISTPV","H22",0
"Andhra_Pradesh",4,"DISTPV","H28",0.002
"Andhra_Pradesh",4,"DISTPV","H23",0.011518115942029
"Andhra_Pradesh",4,"DISTPV","H26",0.17268
"Andhra_Pradesh",4,"DISTPV","H11",0.570694915254237
"Andhra_Pradesh",4,"DISTPV","H13",0
"Andhra_Pradesh",4,"DISTPV","H10",0.362461864406779
"Andhra_Pradesh",4,"DISTPV","H8",0
"Andhra_Pradesh",4,"DISTPV","H14",0
"Andhra_Pradesh",4,"DISTPV","H9",0.00167796610169492
"Andhra_Pradesh",4,"DISTPV","H12",0.210225988700565
"Andhra_Pradesh",4,"DISTPV","H18",0.482303296703296
"Andhra_Pradesh",4,"DISTPV","H20",0
"Andhra_Pradesh",4,"DISTPV","H17",0.297534065934066
"Andhra_Pradesh",4,"DISTPV","H15",0
"Andhra_Pradesh",4,"DISTPV","H21",0
"Andhra_Pradesh",4,"DISTPV","H16",0
"Andhra_Pradesh",4,"DISTPV","H19",0.07592673992674
"Andhra_Pradesh",4,"DISTPV","H4",0.554258064516129
"Andhra_Pradesh",4,"DISTPV","H6",0
"Andhra_Pradesh",4,"DISTPV","H3",0.43736559139785
"Andhra_Pradesh",4,"DISTPV","H1",0
"Andhra_Pradesh",4,"DISTPV","H7",0
"Andhra_Pradesh",4,"DISTPV","H2",0.0392258064516129
"Andhra_Pradesh",4,"DISTPV","H5",0.165548387096774
"Andhra_Pradesh",5,"UPV","H32",0.459237704918033
"Andhra_Pradesh",5,"UPV","H34",0
"Andhra_Pradesh",5,"UPV","H31",0.342114754098361
"Andhra_Pradesh",5,"UPV","H29",0
"Andhra_Pradesh",5,"UPV","H35",0
"Andhra_Pradesh",5,"UPV","H30",0.00926775956284153
"Andhra_Pradesh",5,"UPV","H33",0.111486338797814
"Andhra_Pradesh",5,"UPV","H25",0.465201086956522
"Andhra_Pradesh",5,"UPV","H27",0
"Andhra_Pradesh",5,"UPV","H24",0.318904891304348
"Andhra_Pradesh",5,"UPV","H22",0
"Andhra_Pradesh",5,"UPV","H28",0.001775
"Andhra_Pradesh",5,"UPV","H23",0.0140579710144927
"Andhra_Pradesh",5,"UPV","H26",0.170865454545455
"Andhra_Pradesh",5,"UPV","H11",0.582783898305084
"Andhra_Pradesh",5,"UPV","H13",0
"Andhra_Pradesh",5,"UPV","H10",0.360360169491525
"Andhra_Pradesh",5,"UPV","H8",0
"Andhra_Pradesh",5,"UPV","H14",0
"Andhra_Pradesh",5,"UPV","H9",0.00258757062146893
"Andhra_Pradesh",5,"UPV","H12",0.191197740112994
"Andhra_Pradesh",5,"UPV","H18",0.466591208791209
"Andhra_Pradesh",5,"UPV","H20",0
"Andhra_Pradesh",5,"UPV","H17",0.297430769230769
"Andhra_Pradesh",5,"UPV","H15",0
"Andhra_Pradesh",5,"UPV","H21",0
"Andhra_Pradesh",5,"UPV","H16",0
"Andhra_Pradesh",5,"UPV","H19",0.0684871794871795
"Andhra_Pradesh",5,"UPV","H4",0.558854838709677
"Andhra_Pradesh",5,"UPV","H6",0
