i,r,rs,value
HYDRO-PONDAGE,Himachal_Pradesh,sk,6709
HYDRO-ROR,Himachal_Pradesh,sk,4157.02
HYDRO-STORAGE,Himachal_Pradesh,sk,4102.11
HYDRO-PUMPED,Himachal_Pradesh,sk,0
HYDRO-PONDAGE,Jammu_Kashmir,sk,3385
HYDRO-ROR,Jammu_Kashmir,sk,2115.5
HYDRO-STORAGE,Jammu_Kashmir,sk,1184.32
HYDRO-PUMPED,Jammu_Kashmir,sk,0
HYDRO-PONDAGE,Jharkhand,sk,65
HYDRO-ROR,Jharkhand,sk,0
HYDRO-STORAGE,Jharkhand,sk,149.05
HYDRO-PUMPED,Jharkhand,sk,0
HYDRO-PONDAGE,Kerala,sk,270
HYDRO-ROR,Kerala,sk,120
HYDRO-STORAGE,Kerala,sk,1985.67
HYDRO-PUMPED,Kerala,sk,0
HYDRO-PONDAGE,Madhya_Pradesh,sk,315
HYDRO-ROR,Madhya_Pradesh,sk,30
HYDRO-STORAGE,Madhya_Pradesh,sk,3909.71
HYDRO-PUMPED,Madhya_Pradesh,sk,0
HYDRO-PONDAGE,Manipur,sk,0
HYDRO-ROR,Manipur,sk,0
HYDRO-STORAGE,Manipur,sk,110.45
HYDRO-PUMPED,Manipur,sk,0
HYDRO-PONDAGE,Meghalaya,sk,286
HYDRO-ROR,Meghalaya,sk,0
HYDRO-STORAGE,Meghalaya,sk,68.53
HYDRO-PUMPED,Meghalaya,sk,0
HYDRO-PONDAGE,Mizoram,sk,0
HYDRO-ROR,Mizoram,sk,0
HYDRO-STORAGE,Mizoram,sk,96.47
HYDRO-PUMPED,Mizoram,sk,0
HYDRO-PONDAGE,Nagaland,sk,0
HYDRO-ROR,Nagaland,sk,0
HYDRO-STORAGE,Nagaland,sk,106.67
HYDRO-PUMPED,Nagaland,sk,0
HYDRO-PONDAGE,Odisha,sk,72
HYDRO-ROR,Odisha,sk,0
HYDRO-STORAGE,Odisha,sk,2198.18
HYDRO-PUMPED,Odisha,sk,0
HYDRO-PONDAGE,Puducherry,sk,0
HYDRO-ROR,Puducherry,sk,0
HYDRO-STORAGE,Puducherry,sk,0
HYDRO-PUMPED,Puducherry,sk,0
HYDRO-PONDAGE,Punjab,sk,0
HYDRO-ROR,Punjab,sk,702.3
HYDRO-STORAGE,Punjab,sk,776.1
HYDRO-PUMPED,Punjab,sk,0
HYDRO-PONDAGE,Sikkim,sk,2169
HYDRO-ROR,Sikkim,sk,853
HYDRO-STORAGE,Sikkim,sk,55.11
HYDRO-PUMPED,Sikkim,sk,0
HYDRO-PONDAGE,Tamil_Nadu,sk,240
HYDRO-ROR,Tamil_Nadu,sk,0
HYDRO-STORAGE,Tamil_Nadu,sk,1661.25
HYDRO-PUMPED,Tamil_Nadu,sk,400
HYDRO-PONDAGE,Telangana,sk,594
HYDRO-ROR,Telangana,sk,60
HYDRO-STORAGE,Telangana,sk,236.87
HYDRO-PUMPED,Telangana,sk,1605.6
HYDRO-PONDAGE,Tripura,sk,0
HYDRO-ROR,Tripura,sk,0
HYDRO-STORAGE,Tripura,sk,16.01
HYDRO-PUMPED,Tripura,sk,0
HYDRO-PONDAGE,Uttar_Pradesh,sk,72
HYDRO-ROR,Uttar_Pradesh,sk,0
HYDRO-STORAGE,Uttar_Pradesh,sk,478.7
HYDRO-PUMPED,Uttar_Pradesh,sk,0
HYDRO-PONDAGE,Uttarakhand,sk,1884
HYDRO-ROR,Uttarakhand,sk,1917.35
HYDRO-STORAGE,Uttarakhand,sk,1716.82
HYDRO-PUMPED,Uttarakhand,sk,750
HYDRO-PONDAGE,West_Bengal,sk,328
HYDRO-ROR,West_Bengal,sk,170
HYDRO-STORAGE,West_Bengal,sk,161.7
HYDRO-PUMPED,West_Bengal,sk,900
HYDRO-PONDAGE,Dadra_Nagar_Haveli,sk,0
HYDRO-ROR,Dadra_Nagar_Haveli,sk,0
HYDRO-STORAGE,Dadra_Nagar_Haveli,sk,0
HYDRO-PUMPED,Dadra_Nagar_Haveli,sk,0
