i,r,rs,value
HYDRO-ROR,Sikkim,sk,195
HYDRO-PONDAGE,Tamil_Nadu,sk,640
HYDRO-PUMPED,Tamil_Nadu,sk,400
HYDRO-ROR,Tamil_Nadu,sk,660
HYDRO-STORAGE,Tamil_Nadu,sk,520
HYDRO-PONDAGE,Telangana,sk,126
HYDRO-PUMPED,Telangana,sk,1605.6
HYDRO-STORAGE,Telangana,sk,582
HYDRO-PONDAGE,Uttar_Pradesh,sk,102.6
HYDRO-ROR,Uttar_Pradesh,sk,99
HYDRO-STORAGE,Uttar_Pradesh,sk,300
HYDRO-PONDAGE,Uttarakhand,sk,240
HYDRO-ROR,Uttarakhand,sk,3316.35
HYDRO-STORAGE,Uttarakhand,sk,1000
HYDRO-PONDAGE,West_Bengal,sk,132
HYDRO-PUMPED,West_Bengal,sk,900
HYDRO-ROR,West_Bengal,sk,196
HYDRO-STORAGE,West_Bengal,sk,50
UPV,Andhra_Pradesh,sk,8950
UPV,Arunachal_Pradesh,sk,0.225
UPV,Assam,sk,90
UPV,Bihar,sk,0
UPV,Chhattisgarh,sk,538
UPV,DVC,sk,0
UPV,Dadra_Nagar_Haveli,sk,0
UPV,Daman_Diu,sk,3.333333333
UPV,Goa,sk,0
UPV,Gujarat,sk,8951
UPV,Haryana,sk,382
UPV,Himachal_Pradesh,sk,1004
UPV,Jammu_Kashmir,sk,0.833333333
UPV,Jharkhand,sk,28
UPV,Karnataka,sk,8950
UPV,Kerala,sk,230
UPV,Ladakh,sk,0
UPV,Madhya_Pradesh,sk,3406
UPV,Maharashtra,sk,2157
UPV,Manipur,sk,0
UPV,Mizoram,sk,0
UPV,Odisha,sk,1012
UPV,Puducherry,sk,0
UPV,Punjab,sk,210
UPV,RAJ_Ajmer,sk,0
UPV,RAJ_Jaipur,sk,0
UPV,RAJ_Jodhpur,sk,0
UPV,Rajasthan,sk,8982
UPV,Sikkim,sk,0
UPV,Tamil_Nadu,sk,8931
UPV,Telangana,sk,3957
UPV,Tripura,sk,41
UPV,Uttar_Pradesh,sk,839
UPV,Uttarakhand,sk,63
UPV,West_Bengal,sk,502
DISTPV,Andhra_Pradesh,sk,1998
DISTPV,Arunachal_Pradesh,sk,0
DISTPV,Assam,sk,249
DISTPV,Bihar,sk,998
DISTPV,Chhattisgarh,sk,698
DISTPV,DVC,sk,0
DISTPV,Dadra_Nagar_Haveli,sk,200
DISTPV,Daman_Diu,sk,0
DISTPV,Goa,sk,150
DISTPV,Gujarat,sk,3196
DISTPV,Haryana,sk,1697
DISTPV,Himachal_Pradesh,sk,0
DISTPV,Jammu_Kashmir,sk,235
DISTPV,Jharkhand,sk,800
DISTPV,Karnataka,sk,2296
DISTPV,Kerala,sk,800
DISTPV,Ladakh,sk,0
DISTPV,Madhya_Pradesh,sk,2197
DISTPV,Maharashtra,sk,4690
DISTPV,Manipur,sk,49
DISTPV,Mizoram,sk,50
DISTPV,Odisha,sk,999
DISTPV,Puducherry,sk,100
DISTPV,Punjab,sk,1999
DISTPV,RAJ_Ajmer,sk,0
DISTPV,RAJ_Jaipur,sk,0
DISTPV,RAJ_Jodhpur,sk,0
DISTPV,Rajasthan,sk,2295
DISTPV,Sikkim,sk,0
DISTPV,Tamil_Nadu,sk,3496
DISTPV,Telangana,sk,1998
DISTPV,Tripura,sk,49
DISTPV,Uttar_Pradesh,sk,4291
DISTPV,Uttarakhand,sk,350
DISTPV,West_Bengal,sk,2054
WIND,Andhra_Pradesh,sk,8111
WIND,Arunachal_Pradesh,sk,0
WIND,Assam,sk,0
WIND,Bihar,sk,0
WIND,Chandigarh,sk,0
WIND,Chhattisgarh,sk,0
WIND,DVC,sk,0
WIND,Dadra_Nagar_Haveli,sk,0
WIND,Daman_Diu,sk,0
WIND,Delhi,sk,0
WIND,Goa,sk,0
WIND,Gujarat,sk,8808
WIND,Haryana,sk,0
WIND,Himachal_Pradesh,sk,0
WIND,Jammu_Kashmir,sk,0
WIND,Jharkhand,sk,0
WIND,Karnataka,sk,6199
WIND,Kerala,sk,36.25
WIND,Ladakh,sk,0
WIND,Madhya_Pradesh,sk,6207
WIND,Maharashtra,sk,7589
WIND,Manipur,sk,0
WIND,Meghalaya,sk,0
WIND,Mizoram,sk,0
WIND,Nagaland,sk,0
WIND,Odisha,sk,313
WIND,Puducherry,sk,0
WIND,Punjab,sk,0
WIND,RAJ_Ajmer,sk,0
WIND,RAJ_Jaipur,sk,0
WIND,RAJ_Jodhpur,sk,0
WIND,Rajasthan,sk,8600
WIND,Sikkim,sk,0
WIND,Tamil_Nadu,sk,11891
WIND,Telangana,sk,2001
WIND,Uttar_Pradesh,sk,304
