t,i,r,c,wVC,cap
2030,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2045,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,100
2047,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,100
2037,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2046,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,100
2029,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2028,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2040,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2036,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2024,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2019,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2018,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2025,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2038,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2023,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2044,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2042,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2032,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2020,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2039,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2031,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2021,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2033,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2043,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2022,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2017,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2026,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2041,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2034,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2046,CCGT-GAS,Maharashtra,init-7,2866.18,388
2024,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2031,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2035,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2036,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2038,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2023,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2037,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2019,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2022,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2042,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2028,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2047,CCGT-GAS,Maharashtra,init-7,2866.18,388
2032,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2043,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2025,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2034,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2021,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2030,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2041,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2044,CCGT-GAS,Maharashtra,init-7,2866.18,388
2026,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2029,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2018,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2017,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2039,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2045,CCGT-GAS,Maharashtra,init-7,2866.18,388
2040,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2027,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2020,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2033,CCGT-GAS,Maharashtra,init-7,2380.005704,568
2043,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2040,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2019,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2037,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2047,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2027,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2020,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2046,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2033,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2044,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2022,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2032,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2045,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2035,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2017,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2023,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2042,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2026,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2029,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2021,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2041,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2031,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2018,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2028,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2030,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2038,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2024,CCGT-GAS,Puducherry,init-7,4804.36,32.5
2034,CCGT-GAS,Puducherry,init-7,4804.36,32.5
