t,r,i,value
2045,Andhra_Pradesh,COGENERATION-BAGASSE,0
2047,Andhra_Pradesh,COGENERATION-BAGASSE,0
2017,Andhra_Pradesh,CT-GAS,0
2019,Andhra_Pradesh,CT-GAS,0
2021,Andhra_Pradesh,CT-GAS,0
2023,Andhra_Pradesh,CT-GAS,0
2025,Andhra_Pradesh,CT-GAS,0
2027,Andhra_Pradesh,CT-GAS,0
2029,Andhra_Pradesh,CT-GAS,0
2031,Andhra_Pradesh,CT-GAS,0
2033,Andhra_Pradesh,CT-GAS,0
2035,Andhra_Pradesh,CT-GAS,0
2037,Andhra_Pradesh,CT-GAS,0
2039,Andhra_Pradesh,CT-GAS,0
2041,Andhra_Pradesh,CT-GAS,0
2043,Andhra_Pradesh,CT-GAS,0
2045,Andhra_Pradesh,CT-GAS,0
2047,Andhra_Pradesh,CT-GAS,0
2017,Andhra_Pradesh,DIESEL,0
2019,Andhra_Pradesh,DIESEL,0
2021,Andhra_Pradesh,DIESEL,0
2023,Andhra_Pradesh,DIESEL,0
2025,Andhra_Pradesh,DIESEL,0
2027,Andhra_Pradesh,DIESEL,18.4
2029,Andhra_Pradesh,DIESEL,0
2031,Andhra_Pradesh,DIESEL,0
2033,Andhra_Pradesh,DIESEL,0
2035,Andhra_Pradesh,DIESEL,0
2037,Andhra_Pradesh,DIESEL,0
2039,Andhra_Pradesh,DIESEL,0
2041,Andhra_Pradesh,DIESEL,0
2043,Andhra_Pradesh,DIESEL,0
2045,Andhra_Pradesh,DIESEL,0
2047,Andhra_Pradesh,DIESEL,0
2017,Andhra_Pradesh,SUBCRITICAL-COAL,0
2019,Andhra_Pradesh,SUBCRITICAL-COAL,344
2021,Andhra_Pradesh,SUBCRITICAL-COAL,172
2023,Andhra_Pradesh,SUBCRITICAL-COAL,0
2025,Andhra_Pradesh,SUBCRITICAL-COAL,0
2027,Andhra_Pradesh,SUBCRITICAL-COAL,496
2029,Andhra_Pradesh,SUBCRITICAL-COAL,0
2031,Andhra_Pradesh,SUBCRITICAL-COAL,0
2033,Andhra_Pradesh,SUBCRITICAL-COAL,172
2035,Andhra_Pradesh,SUBCRITICAL-COAL,291
2037,Andhra_Pradesh,SUBCRITICAL-COAL,594
2039,Andhra_Pradesh,SUBCRITICAL-COAL,0
2041,Andhra_Pradesh,SUBCRITICAL-COAL,276
2043,Andhra_Pradesh,SUBCRITICAL-COAL,0
2045,Andhra_Pradesh,SUBCRITICAL-COAL,0
2047,Andhra_Pradesh,SUBCRITICAL-COAL,0
2017,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2019,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2021,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2023,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2025,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2027,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2029,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2031,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2033,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2035,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2037,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2039,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2041,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2043,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2045,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2047,Andhra_Pradesh,SUBCRITICAL-LIGNITE,0
2017,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2019,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2021,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2023,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2025,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2027,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2029,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2031,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2033,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2035,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2037,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2039,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2041,Andhra_Pradesh,SUPERCRITICAL-COAL,1320
2043,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2045,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2047,Andhra_Pradesh,SUPERCRITICAL-COAL,0
2017,Andhra_Pradesh,WHR,0
2019,Andhra_Pradesh,WHR,0
2021,Andhra_Pradesh,WHR,0
2023,Andhra_Pradesh,WHR,0
2025,Andhra_Pradesh,WHR,0
2027,Andhra_Pradesh,WHR,0
2029,Andhra_Pradesh,WHR,0
2031,Andhra_Pradesh,WHR,0
2033,Andhra_Pradesh,WHR,0
2035,Andhra_Pradesh,WHR,0
2037,Andhra_Pradesh,WHR,0
2039,Andhra_Pradesh,WHR,0
2041,Andhra_Pradesh,WHR,0
2043,Andhra_Pradesh,WHR,0
2045,Andhra_Pradesh,WHR,0
2047,Andhra_Pradesh,WHR,0
2017,Assam,CCGT-GAS,0
2019,Assam,CCGT-GAS,0
2021,Assam,CCGT-GAS,0
2023,Assam,CCGT-GAS,0
2025,Assam,CCGT-GAS,0
2027,Assam,CCGT-GAS,0
2029,Assam,CCGT-GAS,0
2031,Assam,CCGT-GAS,0
2033,Assam,CCGT-GAS,0.5
2035,Assam,CCGT-GAS,0
2037,Assam,CCGT-GAS,0
2039,Assam,CCGT-GAS,0
2041,Assam,CCGT-GAS,0
2043,Assam,CCGT-GAS,0
2045,Assam,CCGT-GAS,0
2047,Assam,CCGT-GAS,0
2017,Assam,CCGT-LNG,0
2019,Assam,CCGT-LNG,0
2021,Assam,CCGT-LNG,0
2023,Assam,CCGT-LNG,0
2025,Assam,CCGT-LNG,0
2027,Assam,CCGT-LNG,0
2029,Assam,CCGT-LNG,0
2031,Assam,CCGT-LNG,0
2033,Assam,CCGT-LNG,0
2035,Assam,CCGT-LNG,0
2037,Assam,CCGT-LNG,0
2039,Assam,CCGT-LNG,0
2041,Assam,CCGT-LNG,0
2043,Assam,CCGT-LNG,0
2045,Assam,CCGT-LNG,0
2047,Assam,CCGT-LNG,0
2017,Assam,COGENERATION-BAGASSE,0
2019,Assam,COGENERATION-BAGASSE,0
2021,Assam,COGENERATION-BAGASSE,0
2023,Assam,COGENERATION-BAGASSE,0
2025,Assam,COGENERATION-BAGASSE,0
2027,Assam,COGENERATION-BAGASSE,0
2029,Assam,COGENERATION-BAGASSE,0
2031,Assam,COGENERATION-BAGASSE,0
2033,Assam,COGENERATION-BAGASSE,0
2035,Assam,COGENERATION-BAGASSE,0
2037,Assam,COGENERATION-BAGASSE,0
2039,Assam,COGENERATION-BAGASSE,0
2041,Assam,COGENERATION-BAGASSE,0
2043,Assam,COGENERATION-BAGASSE,0
2045,Assam,COGENERATION-BAGASSE,0
2047,Assam,COGENERATION-BAGASSE,0
2017,Assam,CT-GAS,0
2019,Assam,CT-GAS,0
2021,Assam,CT-GAS,0
2023,Assam,CT-GAS,0
2025,Assam,CT-GAS,0
2027,Assam,CT-GAS,0
2029,Assam,CT-GAS,0
2031,Assam,CT-GAS,0
2033,Assam,CT-GAS,0
2035,Assam,CT-GAS,0
2037,Assam,CT-GAS,0
2039,Assam,CT-GAS,0
2041,Assam,CT-GAS,0
2043,Assam,CT-GAS,0
2045,Assam,CT-GAS,0
2047,Assam,CT-GAS,0
2017,Assam,DIESEL,0
2019,Assam,DIESEL,0
2021,Assam,DIESEL,0
2023,Assam,DIESEL,0
2025,Assam,DIESEL,0
2027,Assam,DIESEL,0
2029,Assam,DIESEL,0
2031,Assam,DIESEL,0
2033,Assam,DIESEL,0
2035,Assam,DIESEL,0
2037,Assam,DIESEL,0
2039,Assam,DIESEL,0
2041,Assam,DIESEL,0
2043,Assam,DIESEL,0
2045,Assam,DIESEL,0
2047,Assam,DIESEL,0
2017,Assam,SUBCRITICAL-COAL,0
2019,Assam,SUBCRITICAL-COAL,0
2021,Assam,SUBCRITICAL-COAL,0
2023,Assam,SUBCRITICAL-COAL,0
2025,Assam,SUBCRITICAL-COAL,0
2027,Assam,SUBCRITICAL-COAL,0
2029,Assam,SUBCRITICAL-COAL,0
2031,Assam,SUBCRITICAL-COAL,0
2033,Assam,SUBCRITICAL-COAL,0
2035,Assam,SUBCRITICAL-COAL,0
2037,Assam,SUBCRITICAL-COAL,0
2039,Assam,SUBCRITICAL-COAL,0
2041,Assam,SUBCRITICAL-COAL,250
2043,Assam,SUBCRITICAL-COAL,0
2045,Assam,SUBCRITICAL-COAL,0
2047,Assam,SUBCRITICAL-COAL,0
2017,Assam,SUBCRITICAL-LIGNITE,0
2019,Assam,SUBCRITICAL-LIGNITE,0
2021,Assam,SUBCRITICAL-LIGNITE,0
2023,Assam,SUBCRITICAL-LIGNITE,0
2025,Assam,SUBCRITICAL-LIGNITE,0
2027,Assam,SUBCRITICAL-LIGNITE,0
2029,Assam,SUBCRITICAL-LIGNITE,0
2031,Assam,SUBCRITICAL-LIGNITE,0
2033,Assam,SUBCRITICAL-LIGNITE,0
2035,Assam,SUBCRITICAL-LIGNITE,0
2037,Assam,SUBCRITICAL-LIGNITE,0
2039,Assam,SUBCRITICAL-LIGNITE,0
2041,Assam,SUBCRITICAL-LIGNITE,0
2043,Assam,SUBCRITICAL-LIGNITE,0
2045,Assam,SUBCRITICAL-LIGNITE,0
2047,Assam,SUBCRITICAL-LIGNITE,0
2017,Assam,SUPERCRITICAL-COAL,0
2019,Assam,SUPERCRITICAL-COAL,0
2021,Assam,SUPERCRITICAL-COAL,0
2023,Assam,SUPERCRITICAL-COAL,0
2025,Assam,SUPERCRITICAL-COAL,0
2027,Assam,SUPERCRITICAL-COAL,0
2029,Assam,SUPERCRITICAL-COAL,0
2031,Assam,SUPERCRITICAL-COAL,0
2033,Assam,SUPERCRITICAL-COAL,0
2035,Assam,SUPERCRITICAL-COAL,0
2037,Assam,SUPERCRITICAL-COAL,0
2039,Assam,SUPERCRITICAL-COAL,0
2041,Assam,SUPERCRITICAL-COAL,0
2043,Assam,SUPERCRITICAL-COAL,0
2045,Assam,SUPERCRITICAL-COAL,0
2047,Assam,SUPERCRITICAL-COAL,0
2017,Assam,WHR,0
2019,Assam,WHR,0
2021,Assam,WHR,0
2023,Assam,WHR,0
2025,Assam,WHR,0
2027,Assam,WHR,0
2029,Assam,WHR,0
2031,Assam,WHR,0
2033,Assam,WHR,0
2035,Assam,WHR,0
2037,Assam,WHR,37.5
2039,Assam,WHR,0
2041,Assam,WHR,0
2043,Assam,WHR,0
2045,Assam,WHR,0
2047,Assam,WHR,0
2017,Bihar,CCGT-GAS,0
2019,Bihar,CCGT-GAS,0
2021,Bihar,CCGT-GAS,0
2023,Bihar,CCGT-GAS,0
2025,Bihar,CCGT-GAS,0
2027,Bihar,CCGT-GAS,0
2029,Bihar,CCGT-GAS,0
2031,Bihar,CCGT-GAS,0
2033,Bihar,CCGT-GAS,0
2035,Bihar,CCGT-GAS,0
2037,Bihar,CCGT-GAS,0
2039,Bihar,CCGT-GAS,0
2041,Bihar,CCGT-GAS,0
2043,Bihar,CCGT-GAS,0
2045,Bihar,CCGT-GAS,0
2047,Bihar,CCGT-GAS,0
2017,Bihar,CCGT-LNG,0
2019,Bihar,CCGT-LNG,0
2021,Bihar,CCGT-LNG,0
2023,Bihar,CCGT-LNG,0
2025,Bihar,CCGT-LNG,0
2027,Bihar,CCGT-LNG,0
2029,Bihar,CCGT-LNG,0
2031,Bihar,CCGT-LNG,0
2033,Bihar,CCGT-LNG,0
2035,Bihar,CCGT-LNG,0
2037,Bihar,CCGT-LNG,0
2039,Bihar,CCGT-LNG,0
2041,Bihar,CCGT-LNG,0
2043,Bihar,CCGT-LNG,0
2045,Bihar,CCGT-LNG,0
2047,Bihar,CCGT-LNG,0
2017,Bihar,COGENERATION-BAGASSE,0
2019,Bihar,COGENERATION-BAGASSE,0
2021,Bihar,COGENERATION-BAGASSE,0
2023,Bihar,COGENERATION-BAGASSE,0
2025,Bihar,COGENERATION-BAGASSE,0
2027,Bihar,COGENERATION-BAGASSE,0
2029,Bihar,COGENERATION-BAGASSE,0
2031,Bihar,COGENERATION-BAGASSE,0
2033,Bihar,COGENERATION-BAGASSE,0
2035,Bihar,COGENERATION-BAGASSE,0
2037,Bihar,COGENERATION-BAGASSE,0
2039,Bihar,COGENERATION-BAGASSE,0
2041,Bihar,COGENERATION-BAGASSE,0
2043,Bihar,COGENERATION-BAGASSE,0
2045,Bihar,COGENERATION-BAGASSE,0
2047,Bihar,COGENERATION-BAGASSE,0
2017,Bihar,CT-GAS,0
2019,Bihar,CT-GAS,0
2021,Bihar,CT-GAS,0
2023,Bihar,CT-GAS,0
2025,Bihar,CT-GAS,0
2027,Bihar,CT-GAS,0
2029,Bihar,CT-GAS,0
2031,Bihar,CT-GAS,0
2033,Bihar,CT-GAS,0
2035,Bihar,CT-GAS,0
2037,Bihar,CT-GAS,0
2039,Bihar,CT-GAS,0
2041,Bihar,CT-GAS,0
2043,Bihar,CT-GAS,0
2045,Bihar,CT-GAS,0
2047,Bihar,CT-GAS,0
2017,Bihar,DIESEL,0
2019,Bihar,DIESEL,0
2021,Bihar,DIESEL,0
2023,Bihar,DIESEL,0
2025,Bihar,DIESEL,0
2027,Bihar,DIESEL,0
2029,Bihar,DIESEL,0
2031,Bihar,DIESEL,0
2033,Bihar,DIESEL,0
2035,Bihar,DIESEL,0
2037,Bihar,DIESEL,0
2039,Bihar,DIESEL,0
2041,Bihar,DIESEL,0
2043,Bihar,DIESEL,0
2045,Bihar,DIESEL,0
2047,Bihar,DIESEL,0
2017,Bihar,SUBCRITICAL-COAL,0
2019,Bihar,SUBCRITICAL-COAL,31
2021,Bihar,SUBCRITICAL-COAL,62
2023,Bihar,SUBCRITICAL-COAL,0
2025,Bihar,SUBCRITICAL-COAL,138
2027,Bihar,SUBCRITICAL-COAL,0
2029,Bihar,SUBCRITICAL-COAL,0
2031,Bihar,SUBCRITICAL-COAL,0
2033,Bihar,SUBCRITICAL-COAL,91
2035,Bihar,SUBCRITICAL-COAL,156
2037,Bihar,SUBCRITICAL-COAL,0
2039,Bihar,SUBCRITICAL-COAL,0
2041,Bihar,SUBCRITICAL-COAL,217
2043,Bihar,SUBCRITICAL-COAL,0
2045,Bihar,SUBCRITICAL-COAL,0
2047,Bihar,SUBCRITICAL-COAL,0
2017,Bihar,SUBCRITICAL-LIGNITE,0
2019,Bihar,SUBCRITICAL-LIGNITE,0
2021,Bihar,SUBCRITICAL-LIGNITE,0
2023,Bihar,SUBCRITICAL-LIGNITE,0
2025,Bihar,SUBCRITICAL-LIGNITE,0
2027,Bihar,SUBCRITICAL-LIGNITE,0
2029,Bihar,SUBCRITICAL-LIGNITE,0
2031,Bihar,SUBCRITICAL-LIGNITE,0
2033,Bihar,SUBCRITICAL-LIGNITE,0
2035,Bihar,SUBCRITICAL-LIGNITE,0
2037,Bihar,SUBCRITICAL-LIGNITE,0
2039,Bihar,SUBCRITICAL-LIGNITE,0
2041,Bihar,SUBCRITICAL-LIGNITE,0
2043,Bihar,SUBCRITICAL-LIGNITE,0
2045,Bihar,SUBCRITICAL-LIGNITE,0
2047,Bihar,SUBCRITICAL-LIGNITE,0
2017,Bihar,SUPERCRITICAL-COAL,0
2019,Bihar,SUPERCRITICAL-COAL,0
2021,Bihar,SUPERCRITICAL-COAL,0
2023,Bihar,SUPERCRITICAL-COAL,0
2025,Bihar,SUPERCRITICAL-COAL,0
2027,Bihar,SUPERCRITICAL-COAL,0
2029,Bihar,SUPERCRITICAL-COAL,0
2031,Bihar,SUPERCRITICAL-COAL,0
2033,Bihar,SUPERCRITICAL-COAL,0
2035,Bihar,SUPERCRITICAL-COAL,0
2037,Bihar,SUPERCRITICAL-COAL,0
2039,Bihar,SUPERCRITICAL-COAL,0
2041,Bihar,SUPERCRITICAL-COAL,0
2043,Bihar,SUPERCRITICAL-COAL,0
2045,Bihar,SUPERCRITICAL-COAL,0
2047,Bihar,SUPERCRITICAL-COAL,0
2017,Bihar,WHR,0
2019,Bihar,WHR,0
2021,Bihar,WHR,0
2023,Bihar,WHR,0
2025,Bihar,WHR,0
2027,Bihar,WHR,0
2029,Bihar,WHR,0
2031,Bihar,WHR,0
2033,Bihar,WHR,0
2035,Bihar,WHR,0
2037,Bihar,WHR,0
2039,Bihar,WHR,0
2041,Bihar,WHR,0
2043,Bihar,WHR,0
2045,Bihar,WHR,0
2047,Bihar,WHR,0
2017,Chhattisgarh,CCGT-GAS,0
2019,Chhattisgarh,CCGT-GAS,0
2021,Chhattisgarh,CCGT-GAS,0
2023,Chhattisgarh,CCGT-GAS,0
2025,Chhattisgarh,CCGT-GAS,0
2027,Chhattisgarh,CCGT-GAS,0
2029,Chhattisgarh,CCGT-GAS,0
2031,Chhattisgarh,CCGT-GAS,0
2033,Chhattisgarh,CCGT-GAS,0
2035,Chhattisgarh,CCGT-GAS,0
2037,Chhattisgarh,CCGT-GAS,0
2039,Chhattisgarh,CCGT-GAS,0
2041,Chhattisgarh,CCGT-GAS,0
2043,Chhattisgarh,CCGT-GAS,0
2045,Chhattisgarh,CCGT-GAS,0
2047,Chhattisgarh,CCGT-GAS,0
2017,Chhattisgarh,CCGT-LNG,0
2019,Chhattisgarh,CCGT-LNG,0
2021,Chhattisgarh,CCGT-LNG,0
2023,Chhattisgarh,CCGT-LNG,0
2025,Chhattisgarh,CCGT-LNG,0
2027,Chhattisgarh,CCGT-LNG,0
2029,Chhattisgarh,CCGT-LNG,0
2031,Chhattisgarh,CCGT-LNG,0
2033,Chhattisgarh,CCGT-LNG,0
2035,Chhattisgarh,CCGT-LNG,0
2037,Chhattisgarh,CCGT-LNG,0
2039,Chhattisgarh,CCGT-LNG,0
2041,Chhattisgarh,CCGT-LNG,0
2043,Chhattisgarh,CCGT-LNG,0
2045,Chhattisgarh,CCGT-LNG,0
2047,Chhattisgarh,CCGT-LNG,0
2017,Chhattisgarh,COGENERATION-BAGASSE,0
2019,Chhattisgarh,COGENERATION-BAGASSE,0
2021,Chhattisgarh,COGENERATION-BAGASSE,0
2023,Chhattisgarh,COGENERATION-BAGASSE,0
2025,Chhattisgarh,COGENERATION-BAGASSE,0
2027,Chhattisgarh,COGENERATION-BAGASSE,0
2029,Chhattisgarh,COGENERATION-BAGASSE,0
2031,Chhattisgarh,COGENERATION-BAGASSE,0
2033,Chhattisgarh,COGENERATION-BAGASSE,0
2035,Chhattisgarh,COGENERATION-BAGASSE,0
2037,Chhattisgarh,COGENERATION-BAGASSE,0
2039,Chhattisgarh,COGENERATION-BAGASSE,0
2041,Chhattisgarh,COGENERATION-BAGASSE,0
2043,Chhattisgarh,COGENERATION-BAGASSE,0
2045,Chhattisgarh,COGENERATION-BAGASSE,0
2047,Chhattisgarh,COGENERATION-BAGASSE,0
2017,Chhattisgarh,CT-GAS,0
2019,Chhattisgarh,CT-GAS,0
2021,Chhattisgarh,CT-GAS,0
2023,Chhattisgarh,CT-GAS,0
2025,Chhattisgarh,CT-GAS,0
2027,Chhattisgarh,CT-GAS,0
2029,Chhattisgarh,CT-GAS,0
2031,Chhattisgarh,CT-GAS,0
2033,Chhattisgarh,CT-GAS,0
2035,Chhattisgarh,CT-GAS,0
2037,Chhattisgarh,CT-GAS,0
2039,Chhattisgarh,CT-GAS,0
2041,Chhattisgarh,CT-GAS,0
2043,Chhattisgarh,CT-GAS,0
2045,Chhattisgarh,CT-GAS,0
2047,Chhattisgarh,CT-GAS,0
2017,Chhattisgarh,DIESEL,0
2019,Chhattisgarh,DIESEL,0
2021,Chhattisgarh,DIESEL,0
2023,Chhattisgarh,DIESEL,0
2025,Chhattisgarh,DIESEL,0
2027,Chhattisgarh,DIESEL,0
2029,Chhattisgarh,DIESEL,0
2031,Chhattisgarh,DIESEL,0
2033,Chhattisgarh,DIESEL,0
2035,Chhattisgarh,DIESEL,0
2037,Chhattisgarh,DIESEL,0
2039,Chhattisgarh,DIESEL,0
2041,Chhattisgarh,DIESEL,0
2043,Chhattisgarh,DIESEL,0
2045,Chhattisgarh,DIESEL,0
2047,Chhattisgarh,DIESEL,0
2017,Chhattisgarh,SUBCRITICAL-COAL,188
2019,Chhattisgarh,SUBCRITICAL-COAL,0
2021,Chhattisgarh,SUBCRITICAL-COAL,497
2023,Chhattisgarh,SUBCRITICAL-COAL,0
2025,Chhattisgarh,SUBCRITICAL-COAL,0
2027,Chhattisgarh,SUBCRITICAL-COAL,0
2029,Chhattisgarh,SUBCRITICAL-COAL,0
2031,Chhattisgarh,SUBCRITICAL-COAL,0
2033,Chhattisgarh,SUBCRITICAL-COAL,1628
2035,Chhattisgarh,SUBCRITICAL-COAL,799
2037,Chhattisgarh,SUBCRITICAL-COAL,118
2039,Chhattisgarh,SUBCRITICAL-COAL,1429
2041,Chhattisgarh,SUBCRITICAL-COAL,2329
2043,Chhattisgarh,SUBCRITICAL-COAL,0
2045,Chhattisgarh,SUBCRITICAL-COAL,0
2047,Chhattisgarh,SUBCRITICAL-COAL,0
2017,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2019,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2021,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2023,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2025,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2027,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2029,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2031,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2033,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2035,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2037,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2039,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2041,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2043,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2045,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2047,Chhattisgarh,SUBCRITICAL-LIGNITE,0
2017,Chhattisgarh,SUPERCRITICAL-COAL,0
2019,Chhattisgarh,SUPERCRITICAL-COAL,0
2021,Chhattisgarh,SUPERCRITICAL-COAL,0
2023,Chhattisgarh,SUPERCRITICAL-COAL,0
2025,Chhattisgarh,SUPERCRITICAL-COAL,0
2027,Chhattisgarh,SUPERCRITICAL-COAL,0
2029,Chhattisgarh,SUPERCRITICAL-COAL,0
2031,Chhattisgarh,SUPERCRITICAL-COAL,0
2033,Chhattisgarh,SUPERCRITICAL-COAL,0
2035,Chhattisgarh,SUPERCRITICAL-COAL,0
2037,Chhattisgarh,SUPERCRITICAL-COAL,0
2039,Chhattisgarh,SUPERCRITICAL-COAL,600
2041,Chhattisgarh,SUPERCRITICAL-COAL,360
2043,Chhattisgarh,SUPERCRITICAL-COAL,0
2045,Chhattisgarh,SUPERCRITICAL-COAL,0
2047,Chhattisgarh,SUPERCRITICAL-COAL,0
2017,Chhattisgarh,WHR,0
2019,Chhattisgarh,WHR,0
2021,Chhattisgarh,WHR,0
2023,Chhattisgarh,WHR,0
2025,Chhattisgarh,WHR,0
2027,Chhattisgarh,WHR,0
2029,Chhattisgarh,WHR,0
2031,Chhattisgarh,WHR,0
2033,Chhattisgarh,WHR,0
2035,Chhattisgarh,WHR,0
2037,Chhattisgarh,WHR,0
2039,Chhattisgarh,WHR,0
2041,Chhattisgarh,WHR,0
2043,Chhattisgarh,WHR,0
2045,Chhattisgarh,WHR,0
2047,Chhattisgarh,WHR,0
2017,Delhi,CCGT-GAS,0
2019,Delhi,CCGT-GAS,0
2021,Delhi,CCGT-GAS,41
2023,Delhi,CCGT-GAS,0
2025,Delhi,CCGT-GAS,0
2027,Delhi,CCGT-GAS,89.8
2029,Delhi,CCGT-GAS,48.2
2031,Delhi,CCGT-GAS,0
2033,Delhi,CCGT-GAS,0
2035,Delhi,CCGT-GAS,129
2037,Delhi,CCGT-GAS,315
2039,Delhi,CCGT-GAS,62
2041,Delhi,CCGT-GAS,0
2043,Delhi,CCGT-GAS,0
2045,Delhi,CCGT-GAS,0
2047,Delhi,CCGT-GAS,0
2017,Delhi,CCGT-LNG,0
2019,Delhi,CCGT-LNG,0
2021,Delhi,CCGT-LNG,0
2023,Delhi,CCGT-LNG,0
2025,Delhi,CCGT-LNG,0
2027,Delhi,CCGT-LNG,0
2029,Delhi,CCGT-LNG,0
2031,Delhi,CCGT-LNG,0
2033,Delhi,CCGT-LNG,0
2035,Delhi,CCGT-LNG,0
2037,Delhi,CCGT-LNG,0
2039,Delhi,CCGT-LNG,0
2041,Delhi,CCGT-LNG,0
2043,Delhi,CCGT-LNG,0
2045,Delhi,CCGT-LNG,0
2047,Delhi,CCGT-LNG,0
2017,Delhi,COGENERATION-BAGASSE,0
2019,Delhi,COGENERATION-BAGASSE,0
2021,Delhi,COGENERATION-BAGASSE,0
2023,Delhi,COGENERATION-BAGASSE,0
2025,Delhi,COGENERATION-BAGASSE,0
2027,Delhi,COGENERATION-BAGASSE,0
2029,Delhi,COGENERATION-BAGASSE,0
2031,Delhi,COGENERATION-BAGASSE,0
2033,Delhi,COGENERATION-BAGASSE,0
