r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53015,0.1235,0.247,0.494,1.157,1.849,2.692,4.392,4.498441506,4.682423014,4.830964639,4.949815158,5.082707664,4.58,4.581,4.581,4.589,4.625,4.668,4.724,4.799,4.89
p53023,0.003,0.006,0.012,0.03,0.048,0.07,0.115,0.117519485,0.122020994,0.125550493,0.127945323,0.131623904,0.119,0.119,0.119,0.12,0.121,0.122,0.124,0.126,0.131
p53027,0.10175,0.2035,0.407,1.002,1.622,2.358,3.862,3.946610881,4.098844347,4.223955297,4.351253559,4.512337415,4.107,4.107,4.108,4.134,4.172,4.23,4.302,4.446,4.708
p53031,0.04675,0.0935,0.187,0.473,0.774,1.128,1.852,1.892574664,1.96506853,2.035009737,2.113879254,2.185856793,1.979,1.979,1.98,1.993,2.012,2.039,2.099,2.236,2.412
p53039,0.027,0.054,0.108,0.271,0.447,0.658,1.088,1.113880337,1.167157334,1.223844375,1.286128641,1.389363427,1.32,1.32,1.32,1.336,1.377,1.451,1.539,1.646,1.783
p53041,0.0945,0.189,0.378,0.893,1.425,2.07,3.382,3.456094769,3.588478276,3.692276251,3.811658065,3.908217447,3.499,3.499,3.499,3.499,3.499,3.503,3.515,3.533,3.562
p53045,0.08925,0.1785,0.357,0.868,1.396,2.034,3.336,3.410108884,3.542853035,3.646423027,3.718202351,3.784468477,3.385,3.385,3.385,3.386,3.395,3.416,3.456,3.511,3.584
p53049,0.03925,0.0785,0.157,0.38,0.609,0.886,1.453,1.484833146,1.542769785,1.588486678,1.621011617,1.640236338,1.461,1.461,1.461,1.461,1.462,1.468,1.479,1.498,1.53
p53059,0.0145,0.029,0.058,0.14,0.227,0.331,0.541,0.552852534,0.577212354,0.596091908,0.60968728,0.624369799,0.561,0.561,0.561,0.561,0.565,0.573,0.583,0.595,0.609
p53069,0.00525,0.0105,0.021,0.05,0.08,0.117,0.191,0.195184536,0.202660955,0.208522993,0.213613061,0.219373173,0.197,0.197,0.197,0.197,0.199,0.201,0.204,0.207,0.212
p53071,0.06975,0.1395,0.279,0.698,1.177,1.791,3.048,3.308939936,3.879206558,4.669386613,5.525012829,6.45182126,6.295,6.296,6.318,6.373,6.508,6.631,6.972,7.253,7.663
p53077,0.2655,0.531,1.062,2.58,4.284,6.423,10.751,11.44026639,12.81750963,14.59988477,16.64958054,18.81096831,17.9,17.931,17.986,18.181,18.536,19.201,20.048,20.902,21.906
p53001,0.02,0.04,0.08,0.21,0.348,0.525,0.863,0.904389081,0.979351108,1.143055362,1.351770154,1.641361328,1.609,1.609,1.611,1.633,1.686,1.738,1.784,1.877,2.007
p53019,0.01275,0.0255,0.051,0.129,0.214,0.312,0.503,0.517085734,0.547502895,0.5808075,0.614137552,0.680619331,0.645,0.645,0.645,0.648,0.656,0.68,0.726,0.81,0.916
p53021,0.08425,0.1685,0.337,0.94,1.466,2.113,3.336,3.411130792,3.543914087,3.662799178,3.787181568,3.912717409,3.545,3.545,3.545,3.566,3.595,3.626,3.664,3.829,4.059
p53043,0.01525,0.0305,0.061,0.15,0.244,0.356,0.584,0.596794602,0.620715491,0.644128619,0.666428249,0.692994228,0.635,0.635,0.635,0.637,0.647,0.665,0.691,0.723,0.76
p53047,0.05625,0.1125,0.225,0.542,0.87,1.265,2.074,2.119438365,2.200622101,2.265367599,2.314141499,2.397355031,2.17,2.17,2.17,2.176,2.189,2.212,2.248,2.3,2.46
p53051,0.0205,0.041,0.082,0.196,0.314,0.456,0.746,0.76234379,0.791544883,0.814440592,0.829975749,0.83924301,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.748
p53063,0.676,1.352,2.704,6.493,10.96,16.323,26.465,27.44335453,29.2288028,32.38984382,37.34000817,44.43937984,43.304,43.304,43.356,43.751,44.594,45.701,47.395,49.781,53.676
p53065,0.0625,0.125,0.25,0.656,1.099,1.646,2.725,2.855212532,3.06537958,3.35383579,3.882862419,4.591086759,4.483,4.483,4.511,4.572,4.664,4.798,5.005,5.216,5.532
p53075,0.056,0.112,0.224,0.575,0.981,1.449,2.37,2.459733918,2.633531367,2.813422797,3.144117248,3.59322007,3.466,3.466,3.47,3.505,3.576,3.641,3.73,3.928,4.193
p53017,0.042,0.084,0.168,0.407,0.653,0.95,1.556,1.590089728,1.650997102,1.698752763,1.736718692,1.778610185,1.603,1.603,1.603,1.607,1.619,1.639,1.667,1.698,1.736
p53025,0.09275,0.1855,0.371,0.883,1.413,2.053,3.359,3.432590872,3.564074077,3.667166152,3.737116007,4.109590769,3.822,3.822,3.822,3.822,3.822,3.841,3.94,4.076,4.24
p41003,0.254,0.508,1.016,1.684,2.55,3.641,6.776,7.026643298,7.432670114,8.897708883,12.58981981,17.79397679,19.036,19.045,19.162,19.268,19.537,19.754,20.048,20.445,20.866
p41005,1.053,2.106,4.212,6.686,9.84,13.662,26.07,26.94364124,28.42452529,38.2273959,56.04783956,82.88143464,91.277,91.277,91.277,91.481,91.934,92.634,93.763,95.158,96.894
p41007,0.14625,0.2925,0.585,0.953,1.412,1.965,3.723,3.839310481,4.053219106,4.292735132,5.019906944,6.731943926,7.187,7.187,7.199,7.245,7.389,7.573,7.826,8.076,8.474
p41009,0.12525,0.2505,0.501,0.796,1.181,1.636,3.142,3.24149397,3.398549946,3.799267106,6.079071707,8.792926759,9.59,9.59,9.59,9.59,9.635,9.756,10.044,10.288,10.66
p41013,0.08225,0.1645,0.329,0.709,1.407,1.924,3.878,3.992596766,4.491433632,5.022019738,5.533913373,6.034449736,5.623,5.623,5.623,5.628,5.655,5.712,5.791,5.972,6.14
p41017,0.715,1.43,2.86,6.14,9.791,14.2,26.229,27.25532335,29.98533296,35.36811988,42.83053139,52.94993395,52.797,52.884,52.968,53.24,53.615,54.101,54.864,56.608,59.412
p41021,0.00625,0.0125,0.025,0.039,0.059,0.081,0.155,0.158395828,0.165524131,0.172495461,0.180236021,0.224998126,0.263,0.263,0.263,0.264,0.268,0.273,0.28,0.289,0.297
p41023,0.025,0.05,0.1,0.158,0.232,0.316,0.603,0.616210865,0.640875482,0.662688257,0.683116769,0.706494115,0.641,0.641,0.641,0.644,0.652,0.667,0.689,0.718,0.756
p41027,0.05275,0.1055,0.211,0.341,0.495,0.674,1.274,1.301911513,1.353902508,1.395248092,1.425199644,1.475987706,1.32,1.32,1.32,1.322,1.328,1.338,1.352,1.37,1.397
p41031,0.0715,0.143,0.286,0.573,0.884,1.274,2.469,2.763240762,3.287139474,4.082028652,5.279135294,6.951317099,7.138,7.138,7.162,7.198,7.265,7.375,7.508,7.635,7.849
p41039,1.23275,2.4655,4.931,8.019,11.498,15.973,28.762,29.57812152,31.7021153,39.55604764,51.59645488,67.70418606,70.507,70.517,70.585,70.95,71.524,72.283,73.385,74.687,77.221
p41041,0.17525,0.3505,0.701,1.121,1.651,2.281,4.412,4.660924968,5.235231169,6.943488159,9.032939822,11.30165586,11.403,11.423,11.423,11.478,11.549,11.787,12.057,12.381,12.905
p41043,0.383,0.766,1.532,2.436,3.579,5.025,9.465,9.792949785,10.94581369,12.80505859,16.82536629,22.96105875,24.46,24.508,24.655,24.803,24.955,25.214,25.659,26.162,26.63
p41047,0.9645,1.929,3.858,6.031,8.663,12.048,22.234,23.0021399,24.99838799,33.05580731,45.89676887,64.38883867,69.181,69.181,69.183,69.307,69.51,70.347,71.002,72.092,73.215
p41049,0.025,0.05,0.1,0.166,0.248,0.34,0.653,0.667306293,0.696050192,0.726009375,0.764334235,0.913492391,0.911,0.911,0.911,0.917,0.932,0.974,1.028,1.104,1.195
p41051,2.69325,5.3865,10.773,16.731,23.881,33.141,60.48,62.25671364,65.36399386,76.86856255,108.26622,153.2743483,167.545,167.545,167.549,167.904,168.902,170.676,172.786,175.054,177.622
p41053,0.17975,0.3595,0.719,1.192,1.797,2.509,4.848,5.024724417,5.631003611,9.093130956,14.01946972,19.45221297,20.528,20.528,20.528,20.603,20.623,20.746,21.117,21.42,22.081
p41055,0.0055,0.011,0.022,0.037,0.056,0.079,0.155,0.163505371,0.214332529,0.291495493,0.409425034,0.557995352,0.59,0.59,0.59,0.591,0.597,0.602,0.612,0.629,0.648
p41057,0.16775,0.3355,0.671,1.887,3.093,4.57,7.202,7.57336438,8.144636088,8.684818916,9.137521217,9.496045903,8.594,8.602,8.614,8.626,8.67,8.716,8.779,8.842,8.955
p41059,0.19225,0.3845,0.769,1.532,2.459,3.561,7.192,8.424614215,10.3516245,13.07581096,16.57948876,20.51082916,20.519,20.519,20.526,20.604,20.689,20.937,21.381,21.915,22.848
p41061,0.0685,0.137,0.274,0.433,0.635,0.866,1.641,1.676951956,1.741186532,1.800284902,1.856876039,1.914734051,1.733,1.733,1.733,1.742,1.757,1.789,1.885,1.999,2.145
p41063,0.032,0.064,0.128,0.262,0.512,0.761,1.611,1.732135019,2.100883201,2.705340198,3.395557622,4.184965141,4.176,4.176,4.177,4.184,4.195,4.216,4.227,4.289,4.357
p41065,0.06625,0.1325,0.265,0.411,0.596,0.812,1.531,1.564542014,1.626592903,1.676917895,1.712242196,1.734735551,1.547,1.547,1.547,1.549,1.553,1.563,1.576,1.593,1.616
p41067,1.47,2.94,5.88,9.343,13.806,19.207,36.785,38.03952445,40.5268858,49.05639889,71.96980062,105.4757464,115.076,115.076,115.079,115.405,116.098,117.061,118.435,120.206,122.152
p41069,0.00475,0.0095,0.019,0.032,0.049,0.068,0.136,0.140001473,0.147486245,0.155027566,0.161322364,0.271122742,0.321,0.321,0.321,0.324,0.327,0.332,0.338,0.346,0.353
p41071,0.262,0.524,1.048,1.672,2.475,3.479,6.609,6.848831207,8.453402255,12.21005842,19.04271437,27.32377241,29.521,29.521,29.521,29.582,29.819,30.142,30.515,30.867,31.301
p41011,0.17775,0.3555,0.711,1.117,1.638,2.246,4.273,4.385009655,4.579500958,4.762184804,5.449358203,6.412446588,6.396,6.396,6.412,6.481,6.591,6.734,6.874,7.084,7.392
p41015,0.07975,0.1595,0.319,0.512,0.75,1.027,1.925,1.967173989,2.044647439,2.11579875,2.187308744,2.258981184,2.36,2.36,2.36,2.37,2.399,2.436,2.484,2.612,2.736
p41019,0.39375,0.7875,1.575,2.515,3.669,5.136,9.611,9.987112412,11.84028063,16.82704135,24.92819924,34.49108771,36.874,36.883,36.902,36.919,37.181,37.583,37.966,38.654,39.401
p41029,0.67525,1.3505,2.701,5.024,8.867,12.871,27.017,28.64205328,32.10955931,37.49156083,46.463066,57.59727024,57.416,57.551,57.752,58.041,58.395,58.965,59.731,60.346,61.751
p41033,0.2595,0.519,1.038,2.167,4.191,6.333,13,13.69766241,15.26960109,17.72772967,20.96411936,24.51242082,23.851,23.859,23.906,24.071,24.188,24.626,24.811,25.405,26.065
p41035,0.275,0.55,1.1,2.269,4.235,6.561,13.855,15.08950188,17.21344857,19.91995046,22.99121831,27.23939811,26.695,26.695,26.72,26.737,26.768,26.944,27.187,27.604,28.082
p41001,0.0555,0.111,0.222,0.356,0.53,0.733,1.392,1.428628175,1.497144544,1.557917862,1.902491328,2.285980959,2.504,2.504,2.504,2.52,2.544,2.594,2.647,2.728,2.828
p41025,0.023,0.046,0.092,0.168,0.25,0.35,0.668,0.694897825,0.734248068,0.852651612,1.050264219,1.302739149,1.311,1.311,1.312,1.317,1.33,1.345,1.379,1.435,1.493
p41037,0.0285,0.057,0.114,0.202,0.338,0.496,1.056,1.154756679,1.322070944,1.663816974,2.04823774,2.474979385,2.465,2.465,2.465,2.467,2.497,2.53,2.57,2.62,2.691
p41045,0.12375,0.2475,0.495,0.759,1.059,1.482,2.612,2.704991973,2.857413364,3.38877158,4.721738712,6.776943552,7.35,7.35,7.356,7.39,7.471,7.585,7.683,7.813,7.927
p06035,0.61625,1.2325,2.465,5.828,8.227,10.011,13.48,13.81620381,14.40378255,14.9852702,15.62268025,16.3641137,14.913,14.913,14.913,14.913,14.95,15.072,15.298,15.59,15.953
p06049,0.10425,0.2085,0.417,0.518,0.519,0.564,0.772,0.824680212,0.92523745,1.042614967,1.16819643,1.309489093,1.247,1.247,1.247,1.26,1.278,1.293,1.34,1.387,1.419
p06093,0.68875,1.3775,2.755,4.167,4.984,5.697,8.067,8.742427779,9.833831066,10.97420487,11.93451724,13.03414143,12.148,12.148,12.159,12.22,12.262,12.621,12.916,13.529,14.172
p06001,25.37475,50.7495,101.499,194.069,288.366,382.544,522.478,546.5105695,582.4072655,620.3187863,660.1144254,705.9642447,646.939,647.184,647.64,647.966,649.976,655.122,661.531,672.266,688.655
p06003,0.05325,0.1065,0.213,0.391,0.552,0.777,1.144,1.220158827,1.337986726,1.459660954,1.614336209,1.799985007,1.678,1.679,1.682,1.683,1.687,1.706,1.732,1.767,1.829
p06005,0.79825,1.5965,3.193,7.647,11.715,14.766,20.407,21.26898298,22.63966912,23.69847445,24.48539717,25.37078867,22.987,22.987,22.988,22.988,23.062,23.218,23.727,24.203,24.682
p06007,4.9265,9.853,19.706,50.474,73.066,91.255,125.892,130.7174342,138.2550915,145.2903062,151.81102,159.1715492,144.255,144.255,144.255,144.265,144.401,145.194,145.75,147.498,151.012
p06009,1.21625,2.4325,4.865,11.578,18.696,27.523,39.444,40.6106464,43.01293092,45.22656297,47.12281884,50.04745813,45.474,45.474,45.474,45.508,45.508,46.252,46.799,48.232,49.247
p06011,0.3835,0.767,1.534,3.63,5.922,8.53,11.902,12.24450843,12.86950119,13.58674688,14.33766418,15.14349886,13.73,13.73,13.73,13.73,13.735,13.787,13.843,13.927,14.263
p06013,16.6645,33.329,66.658,142.642,209.965,278.34,390.09,407.0793209,433.1310256,459.0388059,483.1293286,509.1471341,462.612,462.751,463.009,463.322,465.768,470.764,476.423,483.583,495.124
p06015,0.269,0.538,1.076,1.274,1.33,1.484,2.003,2.10921928,2.307788365,2.598349343,2.904915122,3.255722882,3.113,3.113,3.113,3.156,3.222,3.292,3.354,3.453,3.619
p06017,4.0555,8.111,16.222,37.328,59.534,85.003,117.738,121.3731023,127.6859513,133.9307159,139.5193685,147.7742691,134.823,134.823,134.857,134.908,135.192,136.375,138.525,141.456,143.415
p06019,15.11075,30.2215,60.443,130.248,196.391,266.36,367.995,382.6383338,406.6079057,431.2735872,456.4165702,484.8900861,441.661,441.85,442.119,442.492,443.796,447.999,453.889,465.702,478.875
p06021,0.682,1.364,2.728,8.285,12.488,15.48,20.981,21.59497181,22.56751758,23.30653856,24.03258198,24.78691854,22.252,22.252,22.252,22.252,22.253,22.305,22.408,22.564,22.883
p06023,2.14725,4.2945,8.589,15.509,21.696,29.736,41.523,43.49038474,46.12711889,48.95159152,51.60646799,54.68691949,49.937,49.937,49.937,49.944,50.112,50.514,51.053,51.871,53.044
p06031,2.05475,4.1095,8.219,19.247,31.353,43.221,59.528,61.28283477,64.29763648,66.89657814,69.41756956,71.28278125,63.921,63.921,63.924,63.924,64.028,64.538,65.916,67.619,69.424
p06033,1.6065,3.213,6.426,15.837,25.389,34.625,48.22,50.19001729,53.4823322,56.30885044,58.5833821,60.96099223,54.939,54.939,54.939,54.939,55.039,55.096,55.452,56.136,57.417
p06039,2.48575,4.9715,9.943,22.81,36.56,51.562,73.761,77.0222705,81.93444485,86.41367528,90.64870524,96.30032287,87.688,87.688,87.688,87.916,87.93,89.145,89.9,91.968,94.476
p06041,4.68725,9.3745,18.749,33.138,45.2,60.567,83.479,88.04355438,93.93812751,99.3552018,103.8126102,109.0217169,99.072,99.239,99.24,99.268,99.946,101.161,102.299,104.01,106.177
p06043,0.40225,0.8045,1.609,3.69,5.849,8.705,12.941,13.69050905,14.76560133,15.9481879,17.06456842,18.26534786,16.578,16.578,16.578,16.602,16.63,16.854,17.075,17.496,17.727
p06045,1.79025,3.5805,7.161,15.29,23.339,33.522,47.177,49.40723533,52.50298109,55.2946208,58.31080293,61.18374037,55.842,55.842,55.909,56.094,56.232,56.504,57.425,58.748,60.266
p06047,5.55875,11.1175,22.235,60.61,87.138,107.606,146.322,150.4474229,157.6086822,163.8641371,170.1950941,176.2657818,159.184,159.206,159.249,159.253,159.35,160.57,162.874,165.305,168.543
p06053,6.001,12.002,24.004,50.434,72.248,96.513,133.207,138.4706545,146.7573021,155.0166484,165.2463915,177.0600252,162.681,162.745,162.815,162.833,163.318,164.15,165.866,169.347,173.85
p06055,3.26025,6.5205,13.041,33.343,41.196,52.899,73.708,76.61555089,81.23945571,86.15165686,90.82671613,95.98870046,87.813,87.847,87.922,88.01,88.553,89.02,89.703,91.5,93.461
p06057,2.32875,4.6575,9.315,21.069,34.185,50.68,71.275,73.6928924,77.67750374,80.70822416,84.41498658,89.5368792,81.788,81.788,81.788,81.788,82,82.77,84.322,86.002,88.018
p06061,8.09575,16.1915,32.383,77.427,122.563,158.955,214.521,221.5364922,232.9497492,243.0570214,251.5827831,260.5602047,235.263,235.263,235.263,235.514,235.794,236.855,239.46,243.434,249.205
p06063,0.6205,1.241,2.482,5.175,7.469,10.132,14.534,15.4144688,16.62668675,17.75939023,19.03047612,20.75270214,19.07,19.07,19.07,19.124,19.215,19.456,19.934,20.422,21.116
p06067,17.42,34.84,69.68,100.579,125.454,142.922,191.379,203.5284195,225.4693317,251.0573172,280.1524175,313.3908896,293.511,293.556,293.789,295.017,297.583,302.091,308.536,316.763,329.037
p06069,0.7905,1.581,3.162,5.728,8.427,12.15,17.45,18.56501291,20.23744712,21.65036379,22.73866536,24.06354956,21.954,21.954,21.954,21.954,22.055,22.376,22.724,23.44,23.926
p06075,13.88675,27.7735,55.547,86.046,108.901,139.65,189.571,199.2333378,213.606769,227.6710813,241.1268688,259.5724629,238.127,238.285,238.462,238.762,239.661,241.308,243.497,247.048,255.798
p06077,11.86825,23.7365,47.473,110.734,167.167,216.605,295.202,305.1715331,320.6425239,333.6750006,347.8633077,363.6070963,329.239,329.239,329.241,329.35,330.269,332.116,335.537,340.449,347.694
p06079,4.844,9.688,19.376,35.936,53.867,79.116,112.398,117.9292704,125.7548364,134.717863,143.3087752,152.7388528,139.281,139.281,139.303,139.423,139.895,142.287,143.995,146.039,148.794
p06081,11.21775,22.4355,44.871,84.603,113.658,153.671,213.296,224.0626502,240.2466046,256.0247497,273.1821788,289.4184643,263.543,263.728,263.931,264.112,264.825,267.515,271.406,277.983,284.589
p06083,7.009,14.018,28.036,52.487,81.141,115.591,165.296,173.7060618,187.468811,204.0872399,223.3513694,245.4020809,226.951,227.024,227.032,227.14,227.605,229.789,233.091,239.99,248.215
p06085,33.874,67.748,135.496,241.369,341.085,458.375,616.501,643.851448,682.9101225,719.5189605,752.7045619,785.889204,709.948,710.402,710.486,710.839,712.797,717.91,724.77,733.221,742.906
p06087,4.7235,9.447,18.894,39.513,59.578,80.321,111.334,115.3622361,121.8384931,128.0746042,134.2502463,141.1964489,128.262,128.262,128.316,128.34,128.728,129.749,132.091,134.731,137.619
p06089,3.31275,6.6255,13.251,27.02,41.296,56.412,76.29,79.01192648,83.50055778,87.40716179,91.07259366,94.7714606,85.405,85.443,85.443,85.536,85.862,86.386,87.1,88.85,90.135
p06091,0.098,0.196,0.392,0.858,1.404,2.15,3.166,3.342662918,3.586356172,3.799267106,4.037509375,4.408838277,4.063,4.063,4.063,4.088,4.12,4.157,4.23,4.378,4.526
p06095,8.0835,16.167,32.334,76.892,113.291,147.761,197.867,204.1098855,214.7410337,224.5738052,233.8306476,243.4974718,219.976,219.976,219.977,219.993,220.458,221.175,222.535,225.145,229.032
p06097,14.79375,29.5875,59.175,94.985,135.675,180.351,242.588,251.8146211,265.3935399,277.9873521,288.4343739,303.8464691,274.033,274.059,274.061,274.16,274.665,276.43,279.661,284.61,292.543
p06099,9.6105,19.221,38.442,81.442,114.966,142.958,190.645,196.9258682,206.604886,216.0789497,225.0268968,234.7011701,212.267,212.283,212.286,212.395,212.956,214.275,216.473,219.219,223.692
p06101,1.9875,3.975,7.95,20.17,32.044,41.981,57.214,59.1020819,61.96544392,64.39757745,66.53713093,68.77067718,61.623,61.623,61.623,61.711,61.737,61.995,62.179,62.762,63.738
p06103,0.96175,1.9235,3.847,7.86,11.854,17.221,24.51,25.73472341,27.46215102,28.87006303,30.20955967,31.39511349,28.344,28.344,28.344,28.344,28.434,28.85,29.219,30.129,31.019
p06105,0.16375,0.3275,0.655,0.784,0.758,0.797,1.064,1.087310714,1.128959458,1.163798487,1.193785494,1.222864814,1.1,1.1,1.1,1.105,1.112,1.12,1.128,1.148,1.183
p06109,1.4095,2.819,5.638,14.192,22.51,28.179,38.706,40.27443848,42.61079216,44.63483803,46.41967585,48.38922194,43.584,43.859,43.859,43.885,43.981,44.2,44.594,45.685,47.053
p06113,3.21025,6.4205,12.841,25.648,36.192,46.754,64.531,67.18129102,70.98544801,74.49183712,78.21019469,81.87344304,74.207,74.207,74.257,74.292,74.52,74.827,75.657,76.727,77.726
p06115,1.216,2.432,4.864,10.81,17.01,24.997,34.977,36.31249897,38.40478155,40.12157073,42.161878,44.17613204,40.428,40.428,40.503,40.503,40.715,41.21,41.463,41.884,42.945
p06025,2.9715,5.943,11.886,22.479,28.369,33.508,44.684,46.03391516,48.37018308,50.57610573,52.79802835,55.6454115,50.411,50.42,50.449,50.526,50.649,50.996,51.499,52.611,54.177
p06027,0.39625,0.7925,1.585,3.381,5.37,8.246,12.744,13.75795502,14.94810229,16.23968339,17.49068197,18.64221972,16.98,16.98,16.983,17.017,17.017,17.075,17.172,17.52,18.046
p06029,13.67425,27.3485,54.697,127.375,194.673,261.96,360.402,374.1105068,395.2886017,414.4356284,431.6730573,454.2757161,410.71,411.318,411.656,412,412.806,414.893,418.976,427.81,441.302
p06037,166.01625,332.0325,664.065,1364.084,2018.429,2675.107,3654.481,3839.625229,4106.00751,4365.07296,4617.857123,4871.28705,4418.119,4419.879,4421.832,4424.831,4433.014,4460.576,4506.301,4580.341,4675.684
p06051,0.4,0.8,1.6,2.967,4.299,6.298,9.695,10.64726535,11.76812908,12.70680168,13.64564687,14.646253,13.29,13.29,13.29,13.37,13.37,13.371,13.471,13.574,13.722
p06059,45.221,90.442,180.884,342.312,519.969,732.809,1042.65,1099.556244,1185.637679,1270.298058,1350.437298,1427.786357,1297.814,1298.106,1298.522,1299.112,1302.029,1311.397,1325.691,1346.599,1369.903
p06065,33.93625,67.8725,135.745,285.972,429.476,596.131,859.413,912.6144227,989.9966444,1076.908812,1162.863891,1246.280369,1142.311,1142.689,1143.295,1144.006,1146.247,1153.899,1169.008,1190.864,1224.81
p06071,33.0585,66.117,132.234,282.398,465.065,663.493,947.779,998.7950377,1074.151871,1143.571757,1208.155423,1275.702249,1160.397,1160.687,1160.959,1161.527,1163.791,1173.56,1188.994,1211.849,1238.272
p06107,7.03275,14.0655,28.131,60.877,95.861,135.795,191.803,201.175986,214.544739,226.3347874,237.0582075,248.3866811,224.31,224.31,224.347,224.425,224.586,226.069,228.115,230.798,236.403
p06111,11.16075,22.3215,44.643,86.206,131.579,193.313,287.276,307.3972499,333.634046,359.3517141,384.5902909,407.0891092,371.547,371.547,371.626,371.838,372.974,376.284,381.465,387.869,396.044
p06073,54.50875,109.0175,218.035,472.205,736.537,997.113,1358.176,1416.616662,1506.951849,1596.168185,1681.167058,1767.995899,1602.546,1602.892,1603.199,1603.814,1607.798,1619.62,1633.447,1654.607,1680.902
p32001,0.082,0.164,0.328,0.681,0.8,1.104,1.48,1.594177362,1.808032816,2.156193257,2.631223387,3.147723781,3.045,3.052,3.07,3.125,3.204,3.273,3.445,3.616,3.867
p32005,0.19275,0.3855,0.771,1.954,2.369,3.423,4.848,5.245456668,5.878228755,6.851781712,7.897007865,8.805301656,8.214,8.241,8.259,8.408,8.552,8.644,9.043,9.419,9.923
p32007,0.14975,0.2995,0.599,1.252,1.464,2.008,2.671,2.772437939,3.048402746,3.429166086,3.852823082,4.292964242,4.074,4.077,4.092,4.122,4.217,4.402,4.548,4.769,5.132
p32009,0.0025,0.005,0.01,0.058,0.075,0.126,0.199,0.212556982,0.233431467,0.254376217,0.270354031,0.290247582,0.266,0.267,0.267,0.267,0.27,0.275,0.279,0.282,0.29
p32011,0.00775,0.0155,0.031,0.066,0.077,0.105,0.138,0.141023382,0.147486245,0.155027566,0.166885204,0.174373548,0.16,0.16,0.16,0.161,0.164,0.168,0.172,0.177,0.188
p32013,0.04275,0.0855,0.171,0.377,0.444,0.629,0.863,0.901323355,0.98996163,1.20310125,1.491953726,1.741485494,1.711,1.715,1.726,1.752,1.796,1.875,1.977,2.081,2.186
