r,2010.spring.hydED,2010.summer.hydED,2010.fall.hydED,2010.winter.hydED,2012.spring.hydED,2012.summer.hydED,2012.fall.hydED,2012.winter.hydED,2014.spring.hydED,2014.summer.hydED,2014.fall.hydED,2014.winter.hydED,2010.spring.hydEND,2010.summer.hydEND,2010.fall.hydEND,2010.winter.hydEND,2012.spring.hydEND,2012.summer.hydEND,2012.fall.hydEND,2012.winter.hydEND,2014.spring.hydEND,2014.summer.hydEND,2014.fall.hydEND,2014.winter.hydEND
p21,1.321928078,1.02444,0.907755431,1.416745319,0.852539885,1.022353013,1.061949569,0.684441325,0.974160053,1.053161722,1.253599845,0.968534022,1.130674834,0.994401888,1.045414821,1.64355972,1.195165185,1.055914615,1.030457176,0.574155275,1.048008478,1.157567575,1.17475345,0.689546963
p22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p24,1.05755735,0.996024294,1.075535421,2.835876882,1.889917942,1.125741436,1.633552876,-0.177478983,0.458589957,0.916088946,1.324051554,-0.425066971,1.091124401,1.006107923,1.356278936,1.409522016,1.568533593,1.162475554,1.344496422,0.918346887,0.662260897,0.963490326,0.746118784,0.779335954
p25,1,1,1,1,1,1,1,1,1,1,1,1,0.919497324,1.062294616,1.058704201,1.003088675,1.297555068,1.3354789,1.217064232,1.203324289,0.683543623,0.643733026,0.617613386,0.601128699
p26,0.91853223,1.095468415,1.092042465,1.023597135,1.290586745,1.323202702,1.187634527,1.197337024,0.840872472,0.801733092,0.769176337,0.747921346,0.954403502,1.129948469,1.113402732,1.096113792,1.410365922,1.456963642,1.302313662,1.360301087,0.905589796,0.852505214,0.813171481,0.824325584
p27,0.947434274,0.787284402,0.903422079,0.834397113,1.078101254,0.950497273,0.852662807,0.900417462,0.789389305,0.853125353,0.875071739,0.860864123,0.987258618,0.970102746,1.050766517,1.072000745,1.061173388,1.023703694,0.967025113,1.00523881,1.062948777,0.982974228,1.032621241,1.046821922
p28,1.355341323,1.027642169,1.223660006,1.365234846,1.062329257,1.284214959,1.273039819,1.078858494,0.697683679,0.97431787,0.752112489,0.776627204,0.967590144,0.90371477,0.945589712,1.063112635,1.34171873,1.376703725,1.242030005,1.254732658,0.825653345,0.882897901,0.923965868,0.896283898
p29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p31,1,1,1,1,1,1,1,1,1,1,1,1,1.110685164,1.24165829,1.278290246,1.227161093,1.077551076,1.047928684,0.957572296,0.998371686,0.508510702,0.459894259,0.456112268,0.450909268
p32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.009249725,1.009249725,1.009249725,1.009249725
p33,0.962162058,1.061984548,1.083887649,0.996950534,0.943371674,0.970553878,1.185158824,0.691776341,1.000047625,0.765898205,0.449719626,0.89427521,0.940733488,1.037094936,1.098497458,0.944190301,1.079908816,1.104138783,1.40184854,0.849461987,1.152814562,0.878500316,0.539263809,1.109860484
p34,1.08614303,1.049126443,1.068055328,1.117669397,1.143016711,0.994405647,1.19426156,0.890971997,0.899902007,0.599699787,0.354574307,0.866155569,1.005944705,1.054006537,1.079066562,1.053281762,1.100634335,1.049629546,1.280829741,0.872320687,0.999950344,0.716903236,0.426412294,0.978080708
p35,1,1,1,1,1,1,1,1,1,1,1,1,0.708393006,0.875692591,0.908033743,0.786721078,1.801210637,1.673943608,1.401421421,1.517944195,1.068817344,0.863353887,0.848821812,0.823400584
