i,szn,r,value
hydUD,summer,p148,1
hydUD,summer,p149,1
hydUD,summer,p150,1
hydUD,summer,p151,1
hydUD,summer,p152,1
hydUD,summer,p153,1
hydUD,summer,p154,1
hydUD,summer,p155,1
hydUD,summer,p156,1
hydUD,summer,p157,1
hydUD,summer,p158,1
hydUD,summer,p159,1
hydUD,summer,p160,1
hydUD,summer,p161,1
hydUD,summer,p162,1
hydUD,summer,p163,1
hydUD,summer,p164,1
hydUD,summer,p165,1
hydUD,summer,p166,1
hydUD,summer,p167,1
hydUD,summer,p168,1
hydUD,summer,p169,1
hydUD,summer,p170,1
hydUD,summer,p171,1
hydUD,summer,p172,1
hydUD,summer,p173,1
hydUD,summer,p174,1
hydUD,summer,p175,1
hydUD,summer,p176,1
hydUD,summer,p177,1
hydUD,summer,p178,1
hydUD,summer,p179,1
hydUD,summer,p180,1
hydUD,summer,p181,1
hydUD,summer,p182,1
hydUD,summer,p183,1
hydUD,summer,p184,1
hydUD,summer,p185,1
hydUD,summer,p186,1
hydUD,summer,p187,1
hydUD,summer,p188,1
hydUD,summer,p189,1
hydUD,summer,p190,1
hydUD,summer,p191,1
hydUD,summer,p192,1
hydUD,summer,p193,1
hydUD,summer,p194,1
hydUD,summer,p195,1
hydUD,summer,p196,1
hydUD,summer,p197,1
hydUD,summer,p198,1
hydUD,summer,p199,1
hydUD,summer,p200,1
hydUD,summer,p201,1
hydUD,summer,p202,1
hydUD,summer,p203,1
hydUD,summer,p204,1
hydUD,summer,p205,1
hydUD,summer,p8,1
hydUD,summer,p11,1
hydUD,summer,p12,1
hydUD,summer,p32,1
hydUD,summer,p35,1
hydUD,summer,p39,1
hydUD,summer,p42,1
hydUD,summer,p44,1
hydUD,summer,p58,1
hydUD,summer,p61,1
hydUD,summer,p64,1
hydUD,summer,p65,1
hydUD,summer,p68,1
hydUD,summer,p69,1
hydUD,summer,p71,1
hydUD,summer,p80,1
hydUD,summer,p81,1
hydUD,summer,p84,1
hydUD,summer,p100,1
hydUD,summer,p104,1
hydUD,summer,p105,1
hydUD,summer,p107,1
hydUD,summer,p108,1
hydUD,summer,p112,1
hydUD,summer,p114,1
hydUD,summer,p117,1
hydUD,summer,p121,1
hydUD,summer,p123,1
hydUD,summer,p126,1
hydUD,summer,p133,1
hydUD,summer,p19,1
hydUD,summer,p20,1
hydUD,summer,p41,1
hydUD,summer,p45,1
hydUD,summer,p48,1
hydUD,summer,p52,1
hydUD,summer,p54,1
hydUD,summer,p57,1
hydUD,summer,p59,1
hydUD,summer,p67,1
hydUD,summer,p73,1
hydUD,summer,p78,1
hydUD,summer,p82,1
hydUD,summer,p83,1
hydUD,summer,p86,1
hydUD,summer,p87,1
hydUD,summer,p88,1
hydUD,summer,p91,1
hydUD,summer,p106,1
hydUD,summer,p111,1
hydUD,summer,p113,1
hydUD,summer,p119,1
hydUD,summer,p37,1
hydUD,summer,p47,1
hydUD,summer,p60,1
hydUD,summer,p102,1
hydUD,summer,p22,1
hydUD,summer,p23,1
hydUD,summer,p29,1
hydUD,summer,p30,1
hydUD,summer,p49,1
hydUD,summer,p62,1
hydUD,summer,p79,1
hydUD,summer,p120,1
hydUD,summer,p124,1
hydUD,summer,p125,1
hydUD,summer,p128,1
hydUD,summer,p135,1
hydUD,summer,p136,1
hydUD,fall,p1,0.855435
hydUD,fall,p9,0.966002
hydUD,fall,p16,1.005758
hydUD,fall,p18,1
hydUD,fall,p21,1
hydUD,fall,p31,1
hydUD,fall,p33,1
hydUD,fall,p43,1
hydUD,fall,p53,1
hydUD,fall,p77,1
hydUD,fall,p97,1
hydUD,fall,p122,1
hydUD,fall,p134,1
hydUD,fall,p2,0.973705
hydUD,fall,p93,1
hydUD,fall,p98,1
hydUD,fall,p109,1
hydUD,fall,p110,1
hydUD,fall,p5,1.002497
hydUD,fall,p17,1.158301
hydUD,fall,p25,1
hydUD,fall,p115,1
hydUD,fall,p116,1
hydUD,fall,p131,1
hydUD,fall,p70,1
hydUD,fall,p76,1
hydUD,fall,p127,1
hydUD,fall,p56,1
hydUD,fall,p74,1
hydUD,fall,p3,1.029509
hydUD,fall,p4,0.84599
hydUD,fall,p6,1
hydUD,fall,p7,1.168421
hydUD,fall,p10,1
hydUD,fall,p13,1
hydUD,fall,p14,0.991514
hydUD,fall,p15,1.164834
hydUD,fall,p24,1
hydUD,fall,p26,1
hydUD,fall,p27,1
hydUD,fall,p28,0.973714
hydUD,fall,p34,1
hydUD,fall,p36,1
hydUD,fall,p38,1
hydUD,fall,p40,1
hydUD,fall,p46,1
hydUD,fall,p50,1
hydUD,fall,p51,1
hydUD,fall,p55,1
hydUD,fall,p63,1
hydUD,fall,p66,1
hydUD,fall,p72,1
hydUD,fall,p75,1
hydUD,fall,p85,1
hydUD,fall,p89,1
hydUD,fall,p90,1
hydUD,fall,p92,1
hydUD,fall,p94,1
hydUD,fall,p95,1
hydUD,fall,p96,1
hydUD,fall,p99,1
hydUD,fall,p101,1
hydUD,fall,p103,1
hydUD,fall,p118,1
hydUD,fall,p129,1
hydUD,fall,p130,1
hydUD,fall,p132,1
hydUD,fall,p137,1
hydUD,fall,p138,1
hydUD,fall,p139,1
hydUD,fall,p140,1
hydUD,fall,p141,1
hydUD,fall,p142,1
hydUD,fall,p143,1
hydUD,fall,p144,1
hydUD,fall,p145,1
hydUD,fall,p146,1
hydUD,fall,p147,1
hydUD,fall,p148,1
hydUD,fall,p149,1
hydUD,fall,p150,1
hydUD,fall,p151,1
hydUD,fall,p152,1
hydUD,fall,p153,1
hydUD,fall,p154,1
hydUD,fall,p155,1
hydUD,fall,p156,1
hydUD,fall,p157,1
hydUD,fall,p158,1
hydUD,fall,p159,1
hydUD,fall,p160,1
hydUD,fall,p161,1
hydUD,fall,p162,1
hydUD,fall,p163,1
hydUD,fall,p164,1
hydUD,fall,p165,1
hydUD,fall,p166,1
hydUD,fall,p167,1
hydUD,fall,p168,1
hydUD,fall,p169,1
hydUD,fall,p170,1
hydUD,fall,p171,1
hydUD,fall,p172,1
hydUD,fall,p173,1
hydUD,fall,p174,1
hydUD,fall,p175,1
hydUD,fall,p176,1
hydUD,fall,p177,1
hydUD,fall,p178,1
hydUD,fall,p179,1
hydUD,fall,p180,1
hydUD,fall,p181,1
hydUD,fall,p182,1
hydUD,fall,p183,1
hydUD,fall,p184,1
hydUD,fall,p185,1
hydUD,fall,p186,1
hydUD,fall,p187,1
hydUD,fall,p188,1
hydUD,fall,p189,1
hydUD,fall,p190,1
hydUD,fall,p191,1
hydUD,fall,p192,1
hydUD,fall,p193,1
hydUD,fall,p194,1
hydUD,fall,p195,1
hydUD,fall,p196,1
hydUD,fall,p197,1
hydUD,fall,p198,1
hydUD,fall,p199,1
hydUD,fall,p200,1
hydUD,fall,p201,1
hydUD,fall,p202,1
hydUD,fall,p203,1
hydUD,fall,p204,1
hydUD,fall,p205,1
hydUD,fall,p8,1
hydUD,fall,p11,1
hydUD,fall,p12,1
hydUD,fall,p32,1
hydUD,fall,p35,1
hydUD,fall,p39,1
hydUD,fall,p42,1
hydUD,fall,p44,1
hydUD,fall,p58,1
hydUD,fall,p61,1
hydUD,fall,p64,1
hydUD,fall,p65,1
hydUD,fall,p68,1
hydUD,fall,p69,1
hydUD,fall,p71,1
hydUD,fall,p80,1
hydUD,fall,p81,1
hydUD,fall,p84,1
hydUD,fall,p100,1
hydUD,fall,p104,1
hydUD,fall,p105,1
hydUD,fall,p107,1
hydUD,fall,p108,1
hydUD,fall,p112,1
hydUD,fall,p114,1
hydUD,fall,p117,1
hydUD,fall,p121,1
hydUD,fall,p123,1
hydUD,fall,p126,1
hydUD,fall,p133,1
hydUD,fall,p19,1
hydUD,fall,p20,1
hydUD,fall,p41,1
hydUD,fall,p45,1
hydUD,fall,p48,1
hydUD,fall,p52,1
hydUD,fall,p54,1
hydUD,fall,p57,1
hydUD,fall,p59,1
hydUD,fall,p67,1
hydUD,fall,p73,1
hydUD,fall,p78,1
hydUD,fall,p82,1
hydUD,fall,p83,1
hydUD,fall,p86,1
hydUD,fall,p87,1
hydUD,fall,p88,1
hydUD,fall,p91,1
hydUD,fall,p106,1
hydUD,fall,p111,1
hydUD,fall,p113,1
hydUD,fall,p119,1
hydUD,fall,p37,1
hydUD,fall,p47,1
hydUD,fall,p60,1
hydUD,fall,p102,1
hydUD,fall,p22,1
hydUD,fall,p23,1
hydUD,fall,p29,1
hydUD,fall,p30,1
hydUD,fall,p49,1
hydUD,fall,p62,1
hydUD,fall,p79,1
hydUD,fall,p120,1
hydUD,fall,p124,1
hydUD,fall,p125,1
hydUD,fall,p128,1
hydUD,fall,p135,1
hydUD,fall,p136,1
hydUD,winter,p1,0.926758
hydUD,winter,p9,0.899887
hydUD,winter,p16,1.005758
hydUD,winter,p18,1
hydUD,winter,p21,1
hydUD,winter,p31,1
hydUD,winter,p33,1
hydUD,winter,p43,1
hydUD,winter,p53,1
hydUD,winter,p77,1
hydUD,winter,p97,1
hydUD,winter,p122,1
hydUD,winter,p134,1
hydUD,winter,p2,0.973705
hydUD,winter,p93,1
hydUD,winter,p98,1
hydUD,winter,p109,1
hydUD,winter,p110,1
hydUD,winter,p5,1.002497
hydUD,winter,p17,1.158301
hydUD,winter,p25,1
hydUD,winter,p115,1
hydUD,winter,p116,1
hydUD,winter,p131,1
hydUD,winter,p70,1
hydUD,winter,p76,1
hydUD,winter,p127,1
hydUD,winter,p56,1
hydUD,winter,p74,1
hydUD,winter,p3,1.029509
hydUD,winter,p4,0.84599
hydUD,winter,p6,1
hydUD,winter,p7,1.168421
hydUD,winter,p10,1
hydUD,winter,p13,1
hydUD,winter,p14,0.991514
hydUD,winter,p15,1.164834
hydUD,winter,p24,1
hydUD,winter,p26,1
hydUD,winter,p27,1
hydUD,winter,p28,0.973714
hydUD,winter,p34,1
hydUD,winter,p36,1
hydUD,winter,p38,1
hydUD,winter,p40,1
hydUD,winter,p46,1
hydUD,winter,p50,1
hydUD,winter,p51,1
hydUD,winter,p55,1
hydUD,winter,p63,1
hydUD,winter,p66,1
hydUD,winter,p72,1
hydUD,winter,p75,1
hydUD,winter,p85,1
hydUD,winter,p89,1
hydUD,winter,p90,1
hydUD,winter,p92,1
hydUD,winter,p94,1
hydUD,winter,p95,1
hydUD,winter,p96,1
hydUD,winter,p99,1
hydUD,winter,p101,1
hydUD,winter,p103,1
hydUD,winter,p118,1
hydUD,winter,p129,1
hydUD,winter,p130,1
hydUD,winter,p132,1
hydUD,winter,p137,1
hydUD,winter,p138,1
hydUD,winter,p139,1
hydUD,winter,p140,1
hydUD,winter,p141,1
hydUD,winter,p142,1
hydUD,winter,p143,1
hydUD,winter,p144,1
hydUD,winter,p145,1
hydUD,winter,p146,1
hydUD,winter,p147,1
hydUD,winter,p148,1
hydUD,winter,p149,1
hydUD,winter,p150,1
hydUD,winter,p151,1
hydUD,winter,p152,1
hydUD,winter,p153,1
hydUD,winter,p154,1
hydUD,winter,p155,1
hydUD,winter,p156,1
hydUD,winter,p157,1
hydUD,winter,p158,1
hydUD,winter,p159,1
hydUD,winter,p160,1
hydUD,winter,p161,1
hydUD,winter,p162,1
hydUD,winter,p163,1
hydUD,winter,p164,1
hydUD,winter,p165,1
hydUD,winter,p166,1
hydUD,winter,p167,1
hydUD,winter,p168,1
hydUD,winter,p169,1
hydUD,winter,p170,1
hydUD,winter,p171,1
hydUD,winter,p172,1
hydUD,winter,p173,1
hydUD,winter,p174,1
hydUD,winter,p175,1
hydUD,winter,p176,1
hydUD,winter,p177,1
hydUD,winter,p178,1
hydUD,winter,p179,1
hydUD,winter,p180,1
hydUD,winter,p181,1
hydUD,winter,p182,1
hydUD,winter,p183,1
hydUD,winter,p184,1
hydUD,winter,p185,1
hydUD,winter,p186,1
hydUD,winter,p187,1
hydUD,winter,p188,1
hydUD,winter,p189,1
hydUD,winter,p190,1
hydUD,winter,p191,1
hydUD,winter,p192,1
hydUD,winter,p193,1
hydUD,winter,p194,1
hydUD,winter,p195,1
hydUD,winter,p196,1
hydUD,winter,p197,1
hydUD,winter,p198,1
hydUD,winter,p199,1
hydUD,winter,p200,1
hydUD,winter,p201,1
hydUD,winter,p202,1
hydUD,winter,p203,1
hydUD,winter,p204,1
hydUD,winter,p205,1
hydUD,winter,p8,1
hydUD,winter,p11,1
hydUD,winter,p12,1
hydUD,winter,p32,1
hydUD,winter,p35,1
hydUD,winter,p39,1
hydUD,winter,p42,1
hydUD,winter,p44,1
hydUD,winter,p58,1
hydUD,winter,p61,1
hydUD,winter,p64,1
hydUD,winter,p65,1
hydUD,winter,p68,1
hydUD,winter,p69,1
hydUD,winter,p71,1
hydUD,winter,p80,1
hydUD,winter,p81,1
hydUD,winter,p84,1
hydUD,winter,p100,1
hydUD,winter,p104,1
hydUD,winter,p105,1
hydUD,winter,p107,1
hydUD,winter,p108,1
hydUD,winter,p112,1
hydUD,winter,p114,1
hydUD,winter,p117,1
hydUD,winter,p121,1
hydUD,winter,p123,1
hydUD,winter,p126,1
hydUD,winter,p133,1
hydUD,winter,p19,1
hydUD,winter,p20,1
hydUD,winter,p41,1
hydUD,winter,p45,1
hydUD,winter,p48,1
hydUD,winter,p52,1
hydUD,winter,p54,1
hydUD,winter,p57,1
hydUD,winter,p59,1
hydUD,winter,p67,1
hydUD,winter,p73,1
hydUD,winter,p78,1
hydUD,winter,p82,1
hydUD,winter,p83,1
hydUD,winter,p86,1
hydUD,winter,p87,1
hydUD,winter,p88,1
hydUD,winter,p91,1
hydUD,winter,p106,1
hydUD,winter,p111,1
hydUD,winter,p113,1
hydUD,winter,p119,1
hydUD,winter,p37,1
hydUD,winter,p47,1
hydUD,winter,p60,1
hydUD,winter,p102,1
hydUD,winter,p22,1
hydUD,winter,p23,1
hydUD,winter,p29,1
hydUD,winter,p30,1
hydUD,winter,p49,1
hydUD,winter,p62,1
hydUD,winter,p79,1
hydUD,winter,p120,1
hydUD,winter,p124,1
hydUD,winter,p125,1
hydUD,winter,p128,1
hydUD,winter,p135,1
hydUD,winter,p136,1
hydUD,spring,p1,0.855435
hydUD,spring,p9,0.92318
hydUD,spring,p16,1.005758
hydUD,spring,p18,1
hydUD,spring,p21,1
hydUD,spring,p31,1
hydUD,spring,p33,1
hydUD,spring,p43,1
hydUD,spring,p53,1
hydUD,spring,p77,1
hydUD,spring,p97,1
hydUD,spring,p122,1
hydUD,spring,p134,1
hydUD,spring,p2,0.973705
hydUD,spring,p93,1
hydUD,spring,p98,1
hydUD,spring,p109,1
hydUD,spring,p110,1
hydUD,spring,p5,1.002497
hydUD,spring,p17,1.158301
hydUD,spring,p25,1
hydUD,spring,p115,1
hydUD,spring,p116,1
hydUD,spring,p131,1
hydUD,spring,p70,1
hydUD,spring,p76,1
hydUD,spring,p127,1
hydUD,spring,p56,1
hydUD,spring,p74,1
hydUD,spring,p3,1.027392
hydUD,spring,p4,0.84599
hydUD,spring,p6,1
hydUD,spring,p7,1.168421
hydUD,spring,p10,1
hydUD,spring,p13,1
hydUD,spring,p14,0.991514
hydUD,spring,p15,1.164834
hydUD,spring,p24,1
hydUD,spring,p26,1
hydUD,spring,p27,1
hydUD,spring,p28,0.973714
hydUD,spring,p34,1
hydUD,spring,p36,1
hydUD,spring,p38,1
hydUD,spring,p40,1
hydUD,spring,p46,1
hydUD,spring,p50,1
hydUD,spring,p51,1
hydUD,spring,p55,1
hydUD,spring,p63,1
hydUD,spring,p66,1
hydUD,spring,p72,1
hydUD,spring,p75,1
hydUD,spring,p85,1
hydUD,spring,p89,1
hydUD,spring,p90,1
hydUD,spring,p92,1
hydUD,spring,p94,1
hydUD,spring,p95,1
hydUD,spring,p96,1
hydUD,spring,p99,1
hydUD,spring,p101,1
hydUD,spring,p103,1
hydUD,spring,p118,1
hydUD,spring,p129,1
hydUD,spring,p130,1
hydUD,spring,p132,1
hydUD,spring,p137,1
hydUD,spring,p138,1
hydUD,spring,p139,1
hydUD,spring,p140,1
hydUD,spring,p141,1
hydUD,spring,p142,1
hydUD,spring,p143,1
hydUD,spring,p144,1
hydUD,spring,p145,1
hydUD,spring,p146,1
hydUD,spring,p147,1
hydUD,spring,p148,1
hydUD,spring,p149,1
hydUD,spring,p150,1
hydUD,spring,p151,1
hydUD,spring,p152,1
hydUD,spring,p153,1
hydUD,spring,p154,1
hydUD,spring,p155,1
hydUD,spring,p156,1
hydUD,spring,p157,1
hydUD,spring,p158,1
hydUD,spring,p159,1
hydUD,spring,p160,1
hydUD,spring,p161,1
hydUD,spring,p162,1
hydUD,spring,p163,1
hydUD,spring,p164,1
hydUD,spring,p165,1
hydUD,spring,p166,1
hydUD,spring,p167,1
hydUD,spring,p168,1
hydUD,spring,p169,1
hydUD,spring,p170,1
hydUD,spring,p171,1
hydUD,spring,p172,1
hydUD,spring,p173,1
hydUD,spring,p174,1
hydUD,spring,p175,1
hydUD,spring,p176,1
hydUD,spring,p177,1
hydUD,spring,p178,1
hydUD,spring,p179,1
hydUD,spring,p180,1
hydUD,spring,p181,1
hydUD,spring,p182,1
hydUD,spring,p183,1
hydUD,spring,p184,1
hydUD,spring,p185,1
hydUD,spring,p186,1
hydUD,spring,p187,1
hydUD,spring,p188,1
hydUD,spring,p189,1
hydUD,spring,p190,1
hydUD,spring,p191,1
hydUD,spring,p192,1
hydUD,spring,p193,1
hydUD,spring,p194,1
hydUD,spring,p195,1
hydUD,spring,p196,1
hydUD,spring,p197,1
hydUD,spring,p198,1
hydUD,spring,p199,1
hydUD,spring,p200,1
hydUD,spring,p201,1
hydUD,spring,p202,1
hydUD,spring,p203,1
hydUD,spring,p204,1
hydUD,spring,p205,1
hydUD,spring,p8,1
hydUD,spring,p11,1
hydUD,spring,p12,1
hydUD,spring,p32,1
hydUD,spring,p35,1
hydUD,spring,p39,1
hydUD,spring,p42,1
hydUD,spring,p44,1
hydUD,spring,p58,1
hydUD,spring,p61,1
hydUD,spring,p64,1
hydUD,spring,p65,1
hydUD,spring,p68,1
hydUD,spring,p69,1
hydUD,spring,p71,1
hydUD,spring,p80,1
hydUD,spring,p81,1
hydUD,spring,p84,1
hydUD,spring,p100,1
hydUD,spring,p104,1
hydUD,spring,p105,1
hydUD,spring,p107,1
hydUD,spring,p108,1
hydUD,spring,p112,1
hydUD,spring,p114,1
hydUD,spring,p117,1
hydUD,spring,p121,1
hydUD,spring,p123,1
hydUD,spring,p126,1
hydUD,spring,p133,1
hydUD,spring,p19,1
hydUD,spring,p20,1
hydUD,spring,p41,1
hydUD,spring,p45,1
hydUD,spring,p48,1
hydUD,spring,p52,1
hydUD,spring,p54,1
hydUD,spring,p57,1
hydUD,spring,p59,1
hydUD,spring,p67,1
hydUD,spring,p73,1
hydUD,spring,p78,1
hydUD,spring,p82,1
hydUD,spring,p83,1
hydUD,spring,p86,1
hydUD,spring,p87,1
hydUD,spring,p88,1
hydUD,spring,p91,1
hydUD,spring,p106,1
hydUD,spring,p111,1
hydUD,spring,p113,1
hydUD,spring,p119,1
hydUD,spring,p37,1
hydUD,spring,p47,1
hydUD,spring,p60,1
hydUD,spring,p102,1
hydUD,spring,p22,1
hydUD,spring,p23,1
hydUD,spring,p29,1
hydUD,spring,p30,1
hydUD,spring,p49,1
hydUD,spring,p62,1
hydUD,spring,p79,1
hydUD,spring,p120,1
hydUD,spring,p124,1
hydUD,spring,p125,1
hydUD,spring,p128,1
hydUD,spring,p135,1
hydUD,spring,p136,1
hydED,summer,p1,0.950532
hydED,summer,p9,1.017438
hydED,summer,p16,1.005758
hydED,summer,p18,1
hydED,summer,p21,1
hydED,summer,p31,1
hydED,summer,p33,1
hydED,summer,p43,1
hydED,summer,p53,1
hydED,summer,p77,1
hydED,summer,p97,1
hydED,summer,p122,1
hydED,summer,p134,1
hydED,summer,p2,0.973705
hydED,summer,p93,1
hydED,summer,p98,1
hydED,summer,p109,1
hydED,summer,p110,1
hydED,summer,p5,1.002497
hydED,summer,p17,1.158301
hydED,summer,p25,1
hydED,summer,p115,1
hydED,summer,p116,1
hydED,summer,p131,1
hydED,summer,p70,1
hydED,summer,p76,1
hydED,summer,p127,1
hydED,summer,p56,1
hydED,summer,p74,1
hydED,summer,p3,1.009411
hydED,summer,p4,0.84599
hydED,summer,p6,1
hydED,summer,p7,1.168421
hydED,summer,p10,1
hydED,summer,p13,1
hydED,summer,p14,0.991514
hydED,summer,p15,1.164834
hydED,summer,p24,1
hydED,summer,p26,1
hydED,summer,p27,1
hydED,summer,p28,0.973714
hydED,summer,p34,1
hydED,summer,p36,1
hydED,summer,p38,1
hydED,summer,p40,1
hydED,summer,p46,1
hydED,summer,p50,1
hydED,summer,p51,1
hydED,summer,p55,1
hydED,summer,p63,1
hydED,summer,p66,1
hydED,summer,p72,1
hydED,summer,p75,1
hydED,summer,p85,1
hydED,summer,p89,1
hydED,summer,p90,1
hydED,summer,p92,1
hydED,summer,p94,1
hydED,summer,p95,1
hydED,summer,p96,1
hydED,summer,p99,1
hydED,summer,p101,1
hydED,summer,p103,1
hydED,summer,p118,1
hydED,summer,p129,1
hydED,summer,p130,1
hydED,summer,p132,1
hydED,summer,p137,1
hydED,summer,p138,1
hydED,summer,p139,1
hydED,summer,p140,1
hydED,summer,p141,1
hydED,summer,p142,1
hydED,summer,p143,1
hydED,summer,p144,1
hydED,summer,p145,1
hydED,summer,p146,1
hydED,summer,p147,1
hydED,summer,p148,1
hydED,summer,p149,1
hydED,summer,p150,1
hydED,summer,p151,1
hydED,summer,p152,1
hydED,summer,p153,1
hydED,summer,p154,1
hydED,summer,p155,1
hydED,summer,p156,1
hydED,summer,p157,1
hydED,summer,p158,1
hydED,summer,p159,1
hydED,summer,p160,1
hydED,summer,p161,1
hydED,summer,p162,1
hydED,summer,p163,1
hydED,summer,p164,1
hydED,summer,p165,1
hydED,summer,p166,1
hydED,summer,p167,1
hydED,summer,p168,1
hydED,summer,p169,1
hydED,summer,p170,1
hydED,summer,p171,1
hydED,summer,p172,1
hydED,summer,p173,1
hydED,summer,p174,1
hydED,summer,p175,1
hydED,summer,p176,1
hydED,summer,p177,1
hydED,summer,p178,1
hydED,summer,p179,1
hydED,summer,p180,1
hydED,summer,p181,1
hydED,summer,p182,1
hydED,summer,p183,1
hydED,summer,p184,1
hydED,summer,p185,1
hydED,summer,p186,1
hydED,summer,p187,1
hydED,summer,p188,1
hydED,summer,p189,1
hydED,summer,p190,1
hydED,summer,p191,1
hydED,summer,p192,1
hydED,summer,p193,1
hydED,summer,p194,1
hydED,summer,p195,1
hydED,summer,p196,1
hydED,summer,p197,1
hydED,summer,p198,1
hydED,summer,p199,1
hydED,summer,p200,1
hydED,summer,p201,1
hydED,summer,p202,1
hydED,summer,p203,1
hydED,summer,p204,1
hydED,summer,p205,1
hydED,summer,p8,1
hydED,summer,p11,1
hydED,summer,p12,1
hydED,summer,p32,1
hydED,summer,p35,1
hydED,summer,p39,1
hydED,summer,p42,1
hydED,summer,p44,1
hydED,summer,p58,1
hydED,summer,p61,1
hydED,summer,p64,1
hydED,summer,p65,1
hydED,summer,p68,1
hydED,summer,p69,1
hydED,summer,p71,1
hydED,summer,p80,1
hydED,summer,p81,1
hydED,summer,p84,1
hydED,summer,p100,1
hydED,summer,p104,1
hydED,summer,p105,1
hydED,summer,p107,1
hydED,summer,p108,1
hydED,summer,p112,1
hydED,summer,p114,1
hydED,summer,p117,1
hydED,summer,p121,1
hydED,summer,p123,1
hydED,summer,p126,1
hydED,summer,p133,1
hydED,summer,p19,1
hydED,summer,p20,1
hydED,summer,p41,1
hydED,summer,p45,1
hydED,summer,p48,1
hydED,summer,p52,1
hydED,summer,p54,1
hydED,summer,p57,1
hydED,summer,p59,1
hydED,summer,p67,1
hydED,summer,p73,1
hydED,summer,p78,1
hydED,summer,p82,1
hydED,summer,p83,1
hydED,summer,p86,1
hydED,summer,p87,1
hydED,summer,p88,1
hydED,summer,p91,1
hydED,summer,p106,1
hydED,summer,p111,1
hydED,summer,p113,1
hydED,summer,p119,1
hydED,summer,p37,1
hydED,summer,p47,1
hydED,summer,p60,1
hydED,summer,p102,1
hydED,summer,p22,1
hydED,summer,p23,1
hydED,summer,p29,1
hydED,summer,p30,1
hydED,summer,p49,1
hydED,summer,p62,1
hydED,summer,p79,1
hydED,summer,p120,1
hydED,summer,p124,1
hydED,summer,p125,1
hydED,summer,p128,1
hydED,summer,p135,1
hydED,summer,p136,1
hydED,fall,p1,0.855435
hydED,fall,p9,0.966002
hydED,fall,p16,1.005758
hydED,fall,p18,1
hydED,fall,p21,1
hydED,fall,p31,1
hydED,fall,p33,1
hydED,fall,p43,1
hydED,fall,p53,1
hydED,fall,p77,1
hydED,fall,p97,1
hydED,fall,p122,1
hydED,fall,p134,1
hydED,fall,p2,0.973705
hydED,fall,p93,1
hydED,fall,p98,1
hydED,fall,p109,1
hydED,fall,p110,1
hydED,fall,p5,1.002497
hydED,fall,p17,1.158301
hydED,fall,p25,1
hydED,fall,p115,1
hydED,fall,p116,1
hydED,fall,p131,1
hydED,fall,p70,1
hydED,fall,p76,1
hydED,fall,p127,1
hydED,fall,p56,1
hydED,fall,p74,1
hydED,fall,p3,1.029509
hydED,fall,p4,0.84599
hydED,fall,p6,1
hydED,fall,p7,1.168421
hydED,fall,p10,1
hydED,fall,p13,1
hydED,fall,p14,0.991514
hydED,fall,p15,1.164834
hydED,fall,p24,1
hydED,fall,p26,1
hydED,fall,p27,1
hydED,fall,p28,0.973714
hydED,fall,p34,1
hydED,fall,p36,1
hydED,fall,p38,1
hydED,fall,p40,1
hydED,fall,p46,1
hydED,fall,p50,1
hydED,fall,p51,1
hydED,fall,p55,1
hydED,fall,p63,1
hydED,fall,p66,1
hydED,fall,p72,1
hydED,fall,p75,1
