,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p124,0.003,0.369,0.383,0.034,0.0,0.312,0.286,0.006,0.0,0.222,0.225,0.002,0.002,0.353,0.36,0.025,0.377
p125,0.003,0.375,0.348,0.031,0.0,0.318,0.267,0.005,0.0,0.241,0.22,0.001,0.001,0.364,0.348,0.02,0.37
p126,0.003,0.368,0.338,0.029,0.0,0.314,0.256,0.004,0.0,0.232,0.202,0.001,0.002,0.354,0.329,0.019,0.349
p127,0.004,0.365,0.34,0.034,0.0,0.288,0.239,0.005,0.0,0.192,0.175,0.001,0.002,0.345,0.317,0.023,0.32
p128,0.005,0.368,0.335,0.03,0.0,0.312,0.247,0.004,0.0,0.221,0.18,0.0,0.003,0.353,0.312,0.02,0.334
p129,0.006,0.361,0.322,0.031,0.0,0.283,0.228,0.004,0.0,0.194,0.159,0.0,0.004,0.352,0.307,0.019,0.344
p13,0.004,0.492,0.438,0.018,0.0,0.468,0.349,0.001,0.0,0.368,0.28,0.0,0.003,0.511,0.436,0.01,0.375
p130,0.007,0.38,0.287,0.026,0.001,0.323,0.208,0.003,0.0,0.237,0.16,0.0,0.005,0.379,0.276,0.015,0.294
p131,0.006,0.379,0.319,0.026,0.0,0.321,0.225,0.002,0.0,0.233,0.17,0.0,0.003,0.369,0.296,0.014,0.317
p132,0.005,0.364,0.333,0.029,0.0,0.306,0.245,0.003,0.0,0.228,0.188,0.0,0.003,0.349,0.316,0.017,0.329
p133,0.006,0.389,0.314,0.024,0.0,0.326,0.219,0.002,0.0,0.237,0.169,0.0,0.004,0.375,0.291,0.013,0.304
p134,0.009,0.375,0.3,0.026,0.001,0.315,0.214,0.002,0.0,0.224,0.156,0.0,0.005,0.367,0.291,0.014,0.346
p14,0.009,0.452,0.392,0.028,0.0,0.357,0.253,0.002,0.0,0.183,0.138,0.0,0.004,0.374,0.305,0.015,0.372
p15,0.002,0.409,0.544,0.078,0.0,0.337,0.434,0.021,0.0,0.169,0.245,0.005,0.0,0.355,0.468,0.053,0.462
p16,0.003,0.433,0.493,0.063,0.0,0.353,0.394,0.015,0.0,0.165,0.203,0.003,0.001,0.369,0.426,0.044,0.47
p17,0.003,0.394,0.462,0.066,0.0,0.293,0.327,0.013,0.0,0.157,0.191,0.002,0.001,0.331,0.379,0.043,0.402
p18,0.004,0.424,0.435,0.051,0.0,0.314,0.318,0.009,0.0,0.179,0.193,0.001,0.001,0.353,0.377,0.034,0.437
p19,0.006,0.421,0.405,0.046,0.0,0.326,0.276,0.005,0.0,0.17,0.136,0.0,0.003,0.389,0.353,0.027,0.45
p2,0.006,0.396,0.422,0.047,0.0,0.304,0.277,0.006,0.0,0.144,0.142,0.0,0.002,0.329,0.329,0.025,0.413
p20,0.005,0.426,0.407,0.045,0.0,0.326,0.287,0.006,0.0,0.205,0.18,0.001,0.002,0.366,0.354,0.029,0.404
p21,0.005,0.436,0.449,0.05,0.0,0.363,0.361,0.01,0.0,0.219,0.238,0.002,0.002,0.393,0.425,0.035,0.413
p22,0.009,0.444,0.356,0.042,0.0,0.346,0.245,0.007,0.0,0.207,0.176,0.001,0.004,0.389,0.317,0.027,0.35
