,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p130,0.007,0.389,0.287,0.024,0.001,0.323,0.203,0.002,0.0,0.234,0.155,0.0,0.004,0.381,0.274,0.014,0.293
p131,0.006,0.378,0.32,0.025,0.0,0.321,0.226,0.002,0.0,0.234,0.173,0.0,0.003,0.369,0.299,0.014,0.321
p132,0.005,0.361,0.322,0.03,0.0,0.301,0.237,0.004,0.0,0.225,0.184,0.0,0.003,0.345,0.306,0.018,0.325
p133,0.006,0.386,0.306,0.025,0.001,0.319,0.211,0.002,0.0,0.227,0.16,0.0,0.004,0.369,0.281,0.014,0.295
p134,0.008,0.372,0.306,0.026,0.001,0.316,0.22,0.002,0.0,0.225,0.159,0.0,0.005,0.365,0.294,0.014,0.356
p14,0.008,0.448,0.406,0.029,0.0,0.353,0.261,0.002,0.0,0.183,0.148,0.0,0.003,0.373,0.324,0.015,0.384
p15,0.002,0.415,0.536,0.072,0.0,0.352,0.434,0.02,0.0,0.183,0.253,0.005,0.0,0.364,0.467,0.049,0.454
p16,0.003,0.433,0.489,0.062,0.0,0.356,0.395,0.015,0.0,0.168,0.203,0.004,0.001,0.37,0.425,0.044,0.468
p17,0.003,0.393,0.455,0.067,0.0,0.298,0.322,0.013,0.0,0.16,0.192,0.003,0.001,0.329,0.375,0.043,0.392
p18,0.004,0.415,0.441,0.053,0.0,0.307,0.318,0.009,0.0,0.179,0.194,0.001,0.001,0.354,0.384,0.034,0.444
p19,0.006,0.426,0.4,0.043,0.0,0.332,0.272,0.005,0.0,0.18,0.138,0.0,0.003,0.391,0.347,0.025,0.447
p2,0.005,0.383,0.434,0.05,0.0,0.294,0.284,0.006,0.0,0.139,0.143,0.0,0.002,0.32,0.338,0.026,0.423
p20,0.005,0.427,0.409,0.045,0.0,0.324,0.285,0.007,0.0,0.202,0.18,0.001,0.002,0.366,0.353,0.029,0.41
p21,0.006,0.432,0.438,0.049,0.0,0.382,0.379,0.011,0.0,0.243,0.258,0.002,0.002,0.403,0.435,0.035,0.401
p22,0.009,0.433,0.364,0.047,0.0,0.343,0.249,0.008,0.0,0.205,0.173,0.001,0.004,0.381,0.321,0.031,0.359
p23,0.007,0.461,0.403,0.036,0.0,0.365,0.289,0.005,0.0,0.22,0.184,0.001,0.003,0.409,0.355,0.022,0.345
p24,0.007,0.478,0.355,0.034,0.0,0.405,0.277,0.006,0.0,0.254,0.213,0.001,0.003,0.426,0.336,0.022,0.291
p25,0.002,0.413,0.496,0.059,0.0,0.354,0.408,0.016,0.0,0.214,0.271,0.004,0.001,0.378,0.464,0.042,0.46
p26,0.004,0.447,0.447,0.052,0.0,0.379,0.368,0.014,0.0,0.215,0.234,0.003,0.002,0.398,0.411,0.039,0.406
p27,0.001,0.383,0.544,0.065,0.0,0.361,0.463,0.02,0.0,0.282,0.391,0.009,0.0,0.4,0.546,0.05,0.458
p28,0.0,0.405,0.492,0.043,0.0,0.392,0.422,0.012,0.0,0.31,0.371,0.005,0.0,0.435,0.521,0.034,0.391
p29,0.003,0.385,0.425,0.044,0.0,0.395,0.426,0.014,0.0,0.32,0.4,0.005,0.001,0.434,0.526,0.04,0.309
p3,0.007,0.437,0.433,0.035,0.0,0.346,0.285,0.003,0.0,0.162,0.146,0.0,0.003,0.374,0.342,0.018,0.409
p30,0.0,0.414,0.458,0.036,0.0,0.404,0.408,0.01,0.0,0.336,0.385,0.005,0.0,0.457,0.519,0.032,0.316
p31,0.002,0.462,0.423,0.03,0.0,0.437,0.381,0.006,0.0,0.358,0.344,0.002,0.001,0.472,0.465,0.023,0.351
p32,0.007,0.416,0.409,0.037,0.0,0.34,0.308,0.005,0.0,0.24,0.26,0.001,0.004,0.388,0.391,0.022,0.411
p33,0.005,0.453,0.358,0.028,0.0,0.397,0.308,0.005,0.0,0.29,0.266,0.001,0.002,0.427,0.367,0.02,0.307
p34,0.006,0.467,0.373,0.029,0.0,0.418,0.339,0.006,0.0,0.312,0.292,0.002,0.003,0.453,0.402,0.023,0.362
p35,0.006,0.432,0.418,0.037,0.0,0.33,0.286,0.004,0.0,0.174,0.18,0.0,0.003,0.383,0.374,0.021,0.437
p36,0.002,0.371,0.459,0.064,0.0,0.279,0.328,0.014,0.0,0.132,0.222,0.003,0.001,0.326,0.415,0.041,0.429
p37,0.002,0.355,0.438,0.058,0.0,0.275,0.323,0.012,0.0,0.132,0.217,0.003,0.001,0.322,0.412,0.038,0.413
p38,0.002,0.363,0.452,0.057,0.0,0.29,0.338,0.012,0.0,0.173,0.256,0.003,0.001,0.33,0.416,0.037,0.426
p39,0.006,0.451,0.414,0.027,0.0,0.38,0.312,0.004,0.0,0.253,0.249,0.0,0.003,0.41,0.375,0.015,0.392
p4,0.005,0.468,0.451,0.036,0.0,0.363,0.299,0.003,0.0,0.171,0.16,0.0,0.002,0.403,0.37,0.019,0.406
p40,0.001,0.354,0.477,0.062,0.0,0.302,0.383,0.018,0.0,0.202,0.31,0.006,0.0,0.331,0.435,0.042,0.437
p41,0.001,0.362,0.456,0.053,0.0,0.304,0.364,0.012,0.0,0.198,0.279,0.003,0.0,0.336,0.41,0.034,0.423
p42,0.003,0.35,0.413,0.057,0.0,0.25,0.284,0.01,0.0,0.127,0.188,0.002,0.001,0.317,0.388,0.037,0.43
p43,0.004,0.355,0.416,0.048,0.0,0.263,0.298,0.009,0.0,0.164,0.221,0.002,0.002,0.325,0.383,0.031,0.384
p44,0.002,0.352,0.428,0.054,0.0,0.282,0.326,0.011,0.0,0.164,0.246,0.003,0.001,0.323,0.395,0.036,0.432
p45,0.002,0.357,0.437,0.048,0.0,0.294,0.342,0.01,0.0,0.181,0.259,0.003,0.001,0.333,0.407,0.032,0.42
p46,0.005,0.355,0.381,0.044,0.0,0.267,0.267,0.008,0.0,0.164,0.197,0.001,0.003,0.329,0.349,0.028,0.347
p47,0.002,0.446,0.413,0.029,0.0,0.418,0.362,0.008,0.0,0.348,0.334,0.003,0.001,0.462,0.436,0.022,0.396
p48,0.0,0.36,0.533,0.073,0.0,0.323,0.461,0.031,0.0,0.262,0.426,0.018,0.0,0.359,0.532,0.06,0.468
p49,0.0,0.375,0.519,0.067,0.0,0.327,0.437,0.024,0.0,0.251,0.385,0.013,0.0,0.361,0.5,0.05,0.486
p5,0.004,0.369,0.459,0.057,0.0,0.275,0.294,0.008,0.0,0.127,0.147,0.001,0.001,0.289,0.332,0.028,0.425
p50,0.0,0.35,0.484,0.055,0.0,0.304,0.388,0.016,0.0,0.234,0.336,0.007,0.0,0.321,0.439,0.04,0.429
p51,0.001,0.341,0.457,0.05,0.0,0.293,0.36,0.012,0.0,0.222,0.304,0.005,0.0,0.317,0.413,0.032,0.412
p52,0.001,0.365,0.517,0.071,0.0,0.317,0.429,0.025,0.0,0.238,0.383,0.012,0.0,0.345,0.485,0.05,0.501
p53,0.001,0.347,0.463,0.054,0.0,0.304,0.372,0.015,0.0,0.229,0.324,0.006,0.0,0.324,0.419,0.037,0.418
p54,0.002,0.331,0.417,0.046,0.0,0.306,0.342,0.011,0.0,0.218,0.281,0.003,0.001,0.322,0.374,0.03,0.383
p55,0.001,0.349,0.426,0.044,0.0,0.306,0.347,0.01,0.0,0.209,0.271,0.003,0.001,0.316,0.388,0.029,0.395
p56,0.001,0.347,0.435,0.045,0.0,0.295,0.344,0.01,0.0,0.212,0.269,0.003,0.001,0.311,0.389,0.028,0.384
p57,0.001,0.363,0.426,0.038,0.0,0.306,0.346,0.01,0.0,0.225,0.285,0.004,0.0,0.319,0.396,0.027,0.384
p58,0.001,0.365,0.335,0.023,0.0,0.334,0.301,0.005,0.0,0.26,0.263,0.002,0.001,0.358,0.363,0.019,0.316
p59,0.001,0.424,0.455,0.031,0.0,0.406,0.421,0.008,0.0,0.353,0.392,0.002,0.0,0.451,0.511,0.026,0.416
p6,0.006,0.446,0.451,0.055,0.0,0.339,0.304,0.01,0.0,0.158,0.165,0.001,0.002,0.35,0.347,0.031,0.432
p60,0.0,0.352,0.508,0.066,0.0,0.321,0.438,0.027,0.0,0.253,0.4,0.014,0.0,0.346,0.506,0.051,0.41
p61,0.0,0.348,0.491,0.057,0.0,0.322,0.433,0.025,0.0,0.267,0.415,0.016,0.0,0.349,0.509,0.049,0.409
p62,0.0,0.357,0.516,0.068,0.0,0.331,0.455,0.031,0.0,0.26,0.416,0.018,0.0,0.363,0.531,0.056,0.44
p63,0.0,0.35,0.456,0.047,0.0,0.302,0.381,0.015,0.0,0.233,0.333,0.007,0.0,0.308,0.432,0.036,0.413
p64,0.0,0.337,0.44,0.048,0.0,0.29,0.378,0.019,0.0,0.221,0.329,0.01,0.0,0.288,0.42,0.038,0.385
p65,0.0,0.334,0.451,0.047,0.0,0.298,0.389,0.019,0.0,0.221,0.339,0.011,0.0,0.293,0.434,0.036,0.386
p66,0.0,0.345,0.379,0.031,0.0,0.32,0.339,0.009,0.0,0.239,0.293,0.005,0.0,0.316,0.386,0.025,0.354
p67,0.0,0.331,0.402,0.038,0.0,0.299,0.349,0.011,0.0,0.218,0.295,0.006,0.0,0.304,0.402,0.03,0.36
p68,0.004,0.371,0.387,0.042,0.0,0.285,0.282,0.009,0.0,0.165,0.201,0.002,0.002,0.339,0.344,0.028,0.366
p69,0.003,0.366,0.405,0.04,0.0,0.294,0.3,0.007,0.0,0.177,0.219,0.001,0.001,0.337,0.376,0.025,0.39
p7,0.006,0.434,0.488,0.064,0.0,0.354,0.372,0.015,0.0,0.168,0.208,0.003,0.002,0.371,0.419,0.041,0.428
p70,0.003,0.349,0.419,0.044,0.0,0.296,0.321,0.009,0.0,0.183,0.237,0.002,0.001,0.326,0.379,0.029,0.39
p71,0.003,0.355,0.407,0.039,0.0,0.309,0.313,0.008,0.0,0.204,0.238,0.002,0.001,0.336,0.363,0.024,0.349
p72,0.003,0.368,0.397,0.035,0.0,0.324,0.306,0.006,0.0,0.216,0.235,0.001,0.001,0.342,0.358,0.021,0.412
p73,0.003,0.365,0.391,0.036,0.0,0.323,0.329,0.007,0.0,0.213,0.242,0.001,0.001,0.337,0.365,0.024,0.373
p74,0.004,0.335,0.428,0.065,0.0,0.236,0.288,0.015,0.0,0.141,0.212,0.004,0.002,0.31,0.394,0.044,0.416
p75,0.006,0.389,0.365,0.031,0.0,0.296,0.24,0.003,0.0,0.177,0.176,0.0,0.003,0.36,0.342,0.018,0.374
p76,0.006,0.367,0.354,0.036,0.0,0.285,0.242,0.005,0.0,0.162,0.177,0.001,0.004,0.341,0.334,0.023,0.349
p77,0.004,0.359,0.376,0.035,0.0,0.301,0.289,0.005,0.0,0.188,0.211,0.001,0.002,0.34,0.358,0.022,0.359
p78,0.006,0.383,0.353,0.032,0.0,0.313,0.255,0.005,0.0,0.175,0.168,0.0,0.003,0.355,0.321,0.02,0.361
p79,0.006,0.394,0.344,0.028,0.0,0.327,0.247,0.003,0.0,0.199,0.18,0.0,0.003,0.364,0.329,0.017,0.361
p8,0.004,0.494,0.49,0.04,0.0,0.41,0.359,0.006,0.0,0.226,0.226,0.001,0.002,0.423,0.416,0.023,0.445
p80,0.005,0.384,0.361,0.029,0.0,0.305,0.253,0.003,0.0,0.19,0.181,0.0,0.003,0.351,0.324,0.016,0.355
p81,0.003,0.376,0.382,0.032,0.0,0.326,0.288,0.005,0.0,0.21,0.209,0.001,0.002,0.346,0.341,0.019,0.402
p82,0.004,0.381,0.376,0.029,0.0,0.331,0.286,0.004,0.0,0.218,0.215,0.0,0.002,0.359,0.341,0.016,0.381
p83,0.004,0.376,0.375,0.031,0.0,0.335,0.283,0.005,0.0,0.214,0.205,0.001,0.002,0.346,0.334,0.018,0.393
p84,0.002,0.381,0.381,0.031,0.0,0.339,0.315,0.006,0.0,0.238,0.245,0.001,0.001,0.354,0.355,0.02,0.365
p85,0.001,0.362,0.407,0.034,0.0,0.309,0.325,0.007,0.0,0.224,0.258,0.002,0.001,0.328,0.38,0.023,0.384
p86,0.001,0.37,0.368,0.026,0.0,0.325,0.312,0.006,0.0,0.25,0.261,0.002,0.001,0.346,0.37,0.02,0.343
p87,0.002,0.385,0.343,0.022,0.0,0.341,0.285,0.004,0.0,0.261,0.243,0.001,0.001,0.368,0.353,0.017,0.326
p88,0.002,0.38,0.366,0.023,0.0,0.325,0.292,0.003,0.0,0.246,0.239,0.001,0.001,0.358,0.363,0.017,0.37
p89,0.003,0.388,0.343,0.019,0.0,0.346,0.274,0.002,0.0,0.263,0.228,0.001,0.002,0.367,0.345,0.013,0.346
p9,0.003,0.46,0.483,0.04,0.0,0.381,0.352,0.006,0.0,0.223,0.217,0.001,0.001,0.42,0.427,0.024,0.429
p90,0.003,0.384,0.333,0.016,0.0,0.35,0.276,0.002,0.0,0.29,0.25,0.001,0.002,0.39,0.355,0.012,0.302
p91,0.003,0.379,0.328,0.015,0.0,0.351,0.275,0.002,0.0,0.292,0.246,0.001,0.002,0.407,0.367,0.012,0.257
p92,0.002,0.361,0.367,0.031,0.0,0.325,0.304,0.007,0.0,0.234,0.243,0.003,0.001,0.338,0.355,0.023,0.365
p93,0.004,0.383,0.344,0.025,0.0,0.335,0.269,0.004,0.0,0.231,0.208,0.001,0.002,0.356,0.323,0.016,0.358
p94,0.0,0.337,0.41,0.045,0.0,0.293,0.35,0.016,0.0,0.235,0.31,0.008,0.0,0.334,0.42,0.039,0.395
p95,0.001,0.354,0.398,0.039,0.0,0.315,0.335,0.012,0.0,0.261,0.304,0.006,0.0,0.349,0.399,0.032,0.323
p96,0.001,0.359,0.375,0.035,0.0,0.308,0.309,0.01,0.0,0.256,0.289,0.005,0.0,0.365,0.393,0.031,0.333
p97,0.001,0.349,0.386,0.04,0.0,0.308,0.323,0.012,0.0,0.251,0.293,0.005,0.0,0.345,0.386,0.032,0.318
p98,0.001,0.36,0.372,0.033,0.0,0.306,0.297,0.008,0.0,0.247,0.27,0.003,0.001,0.359,0.375,0.027,0.337
p99,0.002,0.353,0.368,0.037,0.0,0.304,0.291,0.008,0.0,0.233,0.256,0.002,0.001,0.343,0.361,0.027,0.351
