name,activate,tech,year,color,reeds_run_path,meta_path,profile_path,profile_timezone
resstock_hp_2050,0,load,2050,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade1.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade1.csv,-5
resstock_ghp_2050,0,load,2050,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_meta_upgrade5.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_res_up-0-1-5_baseline_outputs_2024-05-15-14-54-33\res_eulp_upgrade5.csv,-5
comstock_base_2026,0,load,2026,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade0.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade0.csv,-5
comstock_hp_2026,0,load,2026,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade1.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade1.csv,-5
comstock_ghp_2026,0,load,2026,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade18.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade18.csv,-5
comstock_base_2032,0,load,2032,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade0.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade0.csv,-5
comstock_hp_2032,0,load,2032,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade1.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade1.csv,-5
comstock_ghp_2032,0,load,2032,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade18.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade18.csv,-5
comstock_base_2050,0,load,2050,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade0.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade0.csv,-5
comstock_hp_2050,0,load,2050,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade1.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade1.csv,-5
comstock_ghp_2050,0,load,2050,#7f7f7f,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\main_20240512_Ref,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_meta_upgrade18.csv,\\nrelnas01\ReEDS\FY24-Geo-Mowers\buildings_revalue_2024-05-13\2024_com_up-0-1-18_baseline_outputs_2024-05-15-14-22-03\com_eulp_upgrade18.csv,-5
