rep_period,year,yperiod,actual_period,opres
y2012d082,2012,110,y2012d110,
y2012d111,2012,111,y2012d111,
y2012d084,2012,112,y2012d112,
y2012d132,2012,113,y2012d113,
y2012d132,2012,114,y2012d114,
y2012d069,2012,115,y2012d115,
y2012d102,2012,116,y2012d116,
y2012d102,2012,117,y2012d117,
y2012d102,2012,118,y2012d118,
y2012d132,2012,119,y2012d119,
y2012d132,2012,120,y2012d120,
y2012d111,2012,121,y2012d121,
y2012d123,2012,122,y2012d122,
y2012d123,2012,123,y2012d123,
y2012d126,2012,124,y2012d124,
y2012d126,2012,125,y2012d125,
y2012d126,2012,126,y2012d126,
y2012d126,2012,127,y2012d127,
y2012d126,2012,128,y2012d128,
y2012d111,2012,129,y2012d129,
y2012d084,2012,130,y2012d130,
y2012d132,2012,131,y2012d131,
y2012d132,2012,132,y2012d132,
y2012d082,2012,133,y2012d133,
y2012d082,2012,134,y2012d134,
y2012d273,2012,135,y2012d135,
y2012d254,2012,136,y2012d136,
y2012d254,2012,137,y2012d137,
y2012d254,2012,138,y2012d138,
y2012d126,2012,139,y2012d139,
y2012d132,2012,140,y2012d140,
y2012d126,2012,141,y2012d141,
y2012d254,2012,142,y2012d142,
y2012d102,2012,143,y2012d143,
y2012d126,2012,144,y2012d144,
y2012d126,2012,145,y2012d145,
y2012d126,2012,146,y2012d146,
y2012d126,2012,147,y2012d147,
y2012d126,2012,148,y2012d148,
y2012d123,2012,149,y2012d149,
y2012d218,2012,150,y2012d150,
y2012d152,2012,151,y2012d151,
y2012d152,2012,152,y2012d152,
y2012d218,2012,153,y2012d153,
y2012d132,2012,154,y2012d154,
y2012d132,2012,155,y2012d155,
y2012d218,2012,156,y2012d156,
y2012d254,2012,157,y2012d157,
y2012d254,2012,158,y2012d158,
y2012d126,2012,159,y2012d159,
y2012d126,2012,160,y2012d160,
y2012d126,2012,161,y2012d161,
y2012d126,2012,162,y2012d162,
y2012d205,2012,163,y2012d163,
y2012d218,2012,164,y2012d164,
y2012d254,2012,165,y2012d165,
y2012d254,2012,166,y2012d166,
y2012d126,2012,167,y2012d167,
y2012d123,2012,168,y2012d168,
y2012d132,2012,169,y2012d169,
y2012d178,2012,170,y2012d170,
y2012d186,2012,171,y2012d171,
y2012d205,2012,172,y2012d172,
y2012d218,2012,173,y2012d173,
y2012d205,2012,174,y2012d174,
y2012d126,2012,175,y2012d175,
y2012d178,2012,176,y2012d176,
y2012d178,2012,177,y2012d177,
y2012d178,2012,178,y2012d178,
y2012d178,2012,179,y2012d179,
y2012d205,2012,180,y2012d180,
y2012d205,2012,181,y2012d181,
y2012d218,2012,182,y2012d182,
y2012d205,2012,183,y2012d183,
y2012d186,2012,184,y2012d184,
y2012d186,2012,185,y2012d185,
y2012d186,2012,186,y2012d186,
y2012d205,2012,187,y2012d187,
y2012d188,2012,188,y2012d188,1
y2012d218,2012,189,y2012d189,
y2012d218,2012,190,y2012d190,
y2012d218,2012,191,y2012d191,
y2012d218,2012,192,y2012d192,
y2012d218,2012,193,y2012d193,
y2012d218,2012,194,y2012d194,
y2012d218,2012,195,y2012d195,
y2012d218,2012,196,y2012d196,
y2012d205,2012,197,y2012d197,
y2012d205,2012,198,y2012d198,
y2012d205,2012,199,y2012d199,
y2012d205,2012,200,y2012d200,
y2012d205,2012,201,y2012d201,
y2012d205,2012,202,y2012d202,
y2012d218,2012,203,y2012d203,
y2012d205,2012,204,y2012d204,
y2012d205,2012,205,y2012d205,
y2012d218,2012,206,y2012d206,
y2012d205,2012,207,y2012d207,
y2012d205,2012,208,y2012d208,
y2012d205,2012,209,y2012d209,
y2012d248,2012,210,y2012d210,
y2012d186,2012,211,y2012d211,
y2012d205,2012,212,y2012d212,
y2012d205,2012,213,y2012d213,
y2012d214,2012,214,y2012d214,1
y2012d205,2012,215,y2012d215,
y2012d205,2012,216,y2012d216,
y2012d205,2012,217,y2012d217,
y2012d218,2012,218,y2012d218,
y2012d218,2012,219,y2012d219,
y2012d248,2012,220,y2012d220,
y2012d205,2012,221,y2012d221,
y2012d248,2012,222,y2012d222,
y2012d248,2012,223,y2012d223,
y2012d224,2012,224,y2012d224,
y2012d224,2012,225,y2012d225,
y2012d226,2012,226,y2012d226,1
y2012d248,2012,227,y2012d227,
y2012d248,2012,228,y2012d228,
y2012d248,2012,229,y2012d229,
y2012d218,2012,230,y2012d230,
y2012d273,2012,231,y2012d231,
y2012d232,2012,232,y2012d232,
y2012d218,2012,233,y2012d233,
y2012d218,2012,234,y2012d234,
y2012d224,2012,235,y2012d235,
y2012d205,2012,236,y2012d236,
y2012d205,2012,237,y2012d237,
y2012d218,2012,238,y2012d238,
y2012d240,2012,239,y2012d239,
y2012d240,2012,240,y2012d240,
y2012d218,2012,241,y2012d241,
y2012d254,2012,242,y2012d242,
y2012d218,2012,243,y2012d243,
y2012d218,2012,244,y2012d244,
y2012d126,2012,245,y2012d245,
y2012d248,2012,246,y2012d246,
y2012d248,2012,247,y2012d247,
y2012d248,2012,248,y2012d248,
y2012d248,2012,249,y2012d249,
y2012d248,2012,250,y2012d250,
y2012d224,2012,251,y2012d251,
y2012d218,2012,252,y2012d252,
y2012d254,2012,253,y2012d253,
y2012d254,2012,254,y2012d254,
y2012d254,2012,255,y2012d255,
y2012d082,2012,256,y2012d256,
y2012d082,2012,257,y2012d257,
y2012d273,2012,258,y2012d258,
y2012d259,2012,259,y2012d259,
y2012d273,2012,260,y2012d260,
y2012d082,2012,261,y2012d261,
y2012d218,2012,262,y2012d262,
y2012d254,2012,263,y2012d263,
y2012d111,2012,264,y2012d264,
y2012d111,2012,265,y2012d265,
y2012d218,2012,266,y2012d266,
y2012d254,2012,267,y2012d267,
y2012d299,2012,268,y2012d268,
y2012d218,2012,269,y2012d269,
y2012d273,2012,270,y2012d270,
y2012d271,2012,271,y2012d271,
y2012d273,2012,272,y2012d272,
y2012d273,2012,273,y2012d273,
y2012d273,2012,274,y2012d274,
y2012d082,2012,275,y2012d275,
y2012d084,2012,276,y2012d276,
y2012d076,2012,277,y2012d277,
y2012d299,2012,278,y2012d278,
y2012d299,2012,279,y2012d279,
y2012d273,2012,280,y2012d280,
y2012d273,2012,281,y2012d281,
y2012d273,2012,282,y2012d282,
y2012d273,2012,283,y2012d283,
y2012d218,2012,284,y2012d284,
y2012d299,2012,285,y2012d285,
y2012d051,2012,286,y2012d286,
y2012d287,2012,287,y2012d287,
y2012d072,2012,288,y2012d288,
y2012d069,2012,289,y2012d289,
y2012d076,2012,290,y2012d290,
y2012d299,2012,291,y2012d291,
y2012d299,2012,292,y2012d292,
y2012d310,2012,293,y2012d293,
y2012d111,2012,294,y2012d294,
y2012d132,2012,295,y2012d295,
y2012d076,2012,296,y2012d296,
y2012d051,2012,297,y2012d297,
y2012d299,2012,298,y2012d298,
y2012d299,2012,299,y2012d299,
y2012d299,2012,300,y2012d300,
y2012d299,2012,301,y2012d301,
y2012d287,2012,302,y2012d302,
y2012d287,2012,303,y2012d303,
y2012d042,2012,304,y2012d304,
y2012d305,2012,305,y2012d305,
y2012d310,2012,306,y2012d306,
y2012d310,2012,307,y2012d307,
y2012d310,2012,308,y2012d308,
y2012d310,2012,309,y2012d309,
y2012d310,2012,310,y2012d310,
y2012d310,2012,311,y2012d311,
y2012d082,2012,312,y2012d312,
y2012d051,2012,313,y2012d313,
y2012d051,2012,314,y2012d314,
y2012d299,2012,315,y2012d315,
y2012d287,2012,316,y2012d316,
y2012d072,2012,317,y2012d317,
y2012d310,2012,318,y2012d318,
y2012d310,2012,319,y2012d319,
y2012d310,2012,320,y2012d320,
y2012d310,2012,321,y2012d321,
y2012d072,2012,322,y2012d322,
y2012d299,2012,323,y2012d323,
y2012d310,2012,324,y2012d324,
y2012d310,2012,325,y2012d325,
y2012d076,2012,326,y2012d326,
y2012d299,2012,327,y2012d327,
y2012d287,2012,328,y2012d328,
y2012d310,2012,329,y2012d329,
y2012d350,2012,330,y2012d330,
y2012d350,2012,331,y2012d331,
y2012d348,2012,332,y2012d332,
y2012d038,2012,333,y2012d333,
y2012d038,2012,334,y2012d334,
y2012d076,2012,335,y2012d335,
y2012d076,2012,336,y2012d336,
y2012d072,2012,337,y2012d337,
y2012d350,2012,338,y2012d338,
y2012d350,2012,339,y2012d339,
y2012d350,2012,340,y2012d340,
y2012d350,2012,341,y2012d341,
y2012d310,2012,342,y2012d342,
y2012d310,2012,343,y2012d343,
y2012d350,2012,344,y2012d344,
y2012d350,2012,345,y2012d345,
y2012d310,2012,346,y2012d346,
y2012d348,2012,347,y2012d347,
y2012d348,2012,348,y2012d348,
y2012d349,2012,349,y2012d349,
y2012d350,2012,350,y2012d350,
y2012d351,2012,351,y2012d351,
y2012d020,2012,352,y2012d352,
y2012d020,2012,353,y2012d353,
y2012d350,2012,354,y2012d354,
y2012d072,2012,355,y2012d355,
y2012d042,2012,356,y2012d356,
y2012d020,2012,357,y2012d357,
y2012d350,2012,358,y2012d358,
y2012d359,2012,359,y2012d359,
y2012d350,2012,360,y2012d360,
y2012d042,2012,361,y2012d361,
y2012d218,2012,362,y2012d362,
y2012d348,2012,363,y2012d363,
y2012d350,2012,364,y2012d364,
y2012d350,2012,365,y2012d365,
