r,tz
p19147,CT
p19149,CT
p19151,CT
p19155,CT
p19161,CT
p19165,CT
p19167,CT
p19173,CT
p19187,CT
p19189,CT
p19193,CT
p19195,CT
p19197,CT
p55003,CT
p55005,CT
p55007,CT
p55011,CT
p55013,CT
p55017,CT
p55019,CT
p55031,CT
p55033,CT
p55035,CT
p55051,CT
p55063,CT
p55091,CT
p55093,CT
p55095,CT
p55099,CT
p55107,CT
p55109,CT
p55113,CT
p55119,CT
p55121,CT
p55129,CT
p35005,MT
p35009,MT
p35015,MT
p35025,MT
p35037,MT
p35041,MT
p48011,CT
p48017,CT
p48065,CT
p48069,CT
p48079,CT
p48087,CT
p48111,CT
p48117,CT
p48129,CT
p48153,CT
p48165,CT
p48169,CT
p48179,CT
p48189,CT
p48195,CT
p48205,CT
p48211,CT
p48219,CT
p48233,CT
p48279,CT
p48295,CT
p48303,CT
p48305,CT
p48341,CT
p48357,CT
p48359,CT
p48369,CT
p48375,CT
p48381,CT
p48393,CT
p48421,CT
p48437,CT
p48445,CT
p48483,CT
p48501,CT
p40007,CT
p40025,CT
p40139,CT
p40003,CT
p40005,CT
p40009,CT
p40011,CT
p40013,CT
p40015,CT
p40017,CT
p40019,CT
p40023,CT
p40027,CT
p40029,CT
p40031,CT
p40033,CT
p40039,CT
p40043,CT
p40045,CT
p40047,CT
p40049,CT
p40051,CT
p40053,CT
p40055,CT
p40057,CT
p40059,CT
p40061,CT
p40063,CT
p40065,CT
p40067,CT
p40069,CT
p40071,CT
p40073,CT
p40075,CT
p40077,CT
p40079,CT
p40081,CT
p40083,CT
p40085,CT
p40087,CT
p40089,CT
p40091,CT
p40093,CT
p40095,CT
p40099,CT
p40103,CT
p40107,CT
p40109,CT
p40117,CT
p40119,CT
p40121,CT
p40123,CT
p40125,CT
p40127,CT
p40129,CT
p40133,CT
p40135,CT
p40137,CT
p40141,CT
p40149,CT
p40151,CT
p40153,CT
p40001,CT
p40021,CT
p40035,CT
p40037,CT
p40041,CT
p40097,CT
p40101,CT
p40105,CT
p40111,CT
p40113,CT
p40115,CT
p40131,CT
p40143,CT
p40145,CT
p40147,CT
p20023,CT
p20039,CT
p20055,CT
p20063,CT
p20065,CT
p20067,CT
p20071,CT
p20075,CT
p20093,CT
p20101,CT
p20109,CT
p20129,CT
p20137,CT
p20153,CT
p20171,CT
p20179,CT
p20181,CT
p20187,CT
p20189,CT
p20193,CT
p20195,CT
p20199,CT
p20203,CT
p20001,CT
p20003,CT
p20005,CT
p20007,CT
p20009,CT
p20011,CT
p20013,CT
p20015,CT
p20017,CT
p20019,CT
p20021,CT
p20025,CT
p20027,CT
p20029,CT
p20031,CT
p20033,CT
p20035,CT
p20037,CT
p20041,CT
p20043,CT
p20045,CT
p20047,CT
p20049,CT
p20051,CT
p20053,CT
p20057,CT
p20059,CT
p20061,CT
p20069,CT
p20073,CT
p20077,CT
p20079,CT
p20081,CT
p20083,CT
p20085,CT
p20087,CT
p20089,CT
p20091,CT
p20095,CT
p20097,CT
p20099,CT
p20103,CT
p20105,CT
p20107,CT
p20111,CT
p20113,CT
p20115,CT
p20117,CT
p20119,CT
p20121,CT
p20123,CT
p20125,CT
p20127,CT
p20131,CT
p20133,CT
p20135,CT
p20139,CT
p20141,CT
p20143,CT
p20145,CT
p20147,CT
p20149,CT
p20151,CT
p20155,CT
p20157,CT
p20159,CT
p20161,CT
p20163,CT
p20165,CT
p20167,CT
p20169,CT
p20173,CT
p20175,CT
p20177,CT
p20183,CT
p20185,CT
p20191,CT
p20197,CT
p20201,CT
p20205,CT
p20207,CT
p20209,CT
p29003,CT
p29005,CT
p29021,CT
p29025,CT
p29033,CT
p29037,CT
p29041,CT
p29047,CT
p29049,CT
p29061,CT
p29063,CT
p29075,CT
p29079,CT
p29081,CT
p29087,CT
p29095,CT
p29101,CT
p29107,CT
p29115,CT
p29117,CT
p29129,CT
p29147,CT
p29159,CT
p29165,CT
p29171,CT
p29177,CT
p29195,CT
p29211,CT
p29227,CT
p29009,CT
p29011,CT
p29013,CT
p29015,CT
p29039,CT
p29043,CT
p29057,CT
p29067,CT
p29077,CT
p29083,CT
p29085,CT
p29097,CT
p29109,CT
p29119,CT
p29145,CT
p29153,CT
p29167,CT
p29185,CT
p29209,CT
p29213,CT
p29217,CT
p29225,CT
p05007,CT
p05009,CT
p05015,CT
p05023,CT
p05033,CT
p05047,CT
p05061,CT
p05071,CT
p05083,CT
p05087,CT
p05089,CT
p05097,CT
p05101,CT
p05109,CT
p05113,CT
p05127,CT
p05129,CT
p05131,CT
p05141,CT
p05143,CT
p48037,CT
p48063,CT
p48067,CT
p48183,CT
p48203,CT
p48315,CT
p48343,CT
p48365,CT
p48449,CT
p48459,CT
p22001,CT
p22003,CT
p22005,CT
p22007,CT
p22009,CT
p22011,CT
p22013,CT
p22015,CT
p22017,CT
p22019,CT
p22021,CT
p22023,CT
p22025,CT
p22029,CT
p22031,CT
p22033,CT
p22037,CT
p22039,CT
p22043,CT
p22045,CT
p22047,CT
p22049,CT
p22051,CT
p22053,CT
p22055,CT
p22057,CT
p22059,CT
p22063,CT
p22069,CT
p22071,CT
p22075,CT
p22077,CT
p22079,CT
p22081,CT
p22085,CT
p22087,CT
p22089,CT
p22091,CT
p22093,CT
p22095,CT
p22097,CT
p22099,CT
p22101,CT
p22103,CT
p22105,CT
p22109,CT
p22113,CT
p22115,CT
p22117,CT
p22119,CT
p22121,CT
p22125,CT
p22127,CT
p48141,MT
p48023,CT
p48033,CT
p48045,CT
p48075,CT
p48101,CT
p48107,CT
p48115,CT
p48125,CT
p48151,CT
p48155,CT
p48191,CT
p48197,CT
p48207,CT
p48227,CT
p48253,CT
p48263,CT
p48269,CT
p48275,CT
p48335,CT
p48345,CT
p48353,CT
p48415,CT
p48433,CT
p48487,CT
p48043,CT
p48059,CT
p48081,CT
p48083,CT
p48095,CT
p48105,CT
p48109,CT
p48229,CT
p48235,CT
p48243,CT
p48271,CT
p48371,CT
p48377,CT
p48389,CT
p48399,CT
p48413,CT
p48431,CT
p48435,CT
p48441,CT
p48443,CT
p48451,CT
p48465,CT
p48003,CT
p48103,CT
p48135,CT
p48173,CT
p48301,CT
p48317,CT
p48329,CT
p48383,CT
p48461,CT
p48475,CT
p48495,CT
p48001,CT
p48005,CT
p48009,CT
p48027,CT
p48035,CT
p48049,CT
p48073,CT
p48077,CT
p48085,CT
p48093,CT
p48097,CT
p48099,CT
p48113,CT
p48119,CT
p48121,CT
p48133,CT
p48139,CT
p48143,CT
p48145,CT
p48147,CT
p48159,CT
p48161,CT
p48181,CT
p48193,CT
p48213,CT
p48217,CT
p48221,CT
p48223,CT
p48225,CT
p48231,CT
p48237,CT
p48251,CT
p48257,CT
p48277,CT
p48281,CT
p48289,CT
p48293,CT
p48307,CT
p48309,CT
p48313,CT
p48331,CT
p48333,CT
p48337,CT
p48349,CT
p48363,CT
p48367,CT
p48379,CT
p48387,CT
p48395,CT
p48397,CT
p48401,CT
p48411,CT
p48417,CT
p48423,CT
p48425,CT
p48429,CT
p48439,CT
p48447,CT
p48467,CT
p48485,CT
p48497,CT
p48499,CT
p48503,CT
p48015,CT
p48019,CT
p48021,CT
p48031,CT
p48041,CT
p48051,CT
p48053,CT
p48055,CT
p48089,CT
p48091,CT
p48123,CT
p48137,CT
p48149,CT
p48171,CT
p48177,CT
p48185,CT
p48187,CT
p48209,CT
p48259,CT
p48265,CT
p48267,CT
p48285,CT
p48287,CT
p48299,CT
p48319,CT
p48327,CT
p48385,CT
p48453,CT
p48471,CT
p48473,CT
p48477,CT
p48491,CT
p48007,CT
p48013,CT
p48025,CT
p48029,CT
p48047,CT
p48057,CT
p48061,CT
p48127,CT
p48131,CT
p48163,CT
p48175,CT
p48215,CT
p48239,CT
p48247,CT
p48249,CT
p48255,CT
p48261,CT
p48273,CT
p48283,CT
p48297,CT
p48311,CT
p48321,CT
p48323,CT
p48325,CT
p48355,CT
p48391,CT
p48409,CT
p48427,CT
p48463,CT
p48469,CT
p48479,CT
p48481,CT
p48489,CT
p48493,CT
p48505,CT
p48507,CT
p48071,CT
p48199,CT
p48241,CT
p48245,CT
p48291,CT
p48339,CT
p48347,CT
p48351,CT
p48361,CT
p48373,CT
p48403,CT
p48405,CT
p48407,CT
p48419,CT
p48455,CT
p48457,CT
p48039,CT
p48157,CT
p48167,CT
p48201,CT
p27013,CT
p27015,CT
p27033,CT
p27043,CT
p27045,CT
p27047,CT
p27055,CT
p27063,CT
p27091,CT
p27099,CT
p27103,CT
p27161,CT
p27165,CT
p19005,CT
p19013,CT
p19017,CT
p19019,CT
p19023,CT
p19037,CT
p19043,CT
p19065,CT
p19067,CT
p19075,CT
p19089,CT
p19131,CT
p19191,CT
p19001,CT
p19003,CT
p19007,CT
p19011,CT
p19015,CT
p19029,CT
p19031,CT
p19039,CT
p19045,CT
p19049,CT
p19051,CT
p19053,CT
p19055,CT
p19057,CT
p19061,CT
p19073,CT
p19077,CT
p19079,CT
p19083,CT
p19087,CT
p19095,CT
p19097,CT
p19099,CT
p19101,CT
p19103,CT
p19105,CT
p19107,CT
p19111,CT
p19113,CT
p19115,CT
p19117,CT
p19121,CT
p19123,CT
p19125,CT
p19127,CT
p19135,CT
p19139,CT
p19153,CT
p19157,CT
p19159,CT
p19163,CT
p19169,CT
p19171,CT
p19175,CT
p19177,CT
p19179,CT
p19181,CT
p19183,CT
p19185,CT
p29001,CT
p29045,CT
p29103,CT
p29111,CT
p29121,CT
p29127,CT
p29137,CT
p29173,CT
p29197,CT
p29199,CT
p29205,CT
p29007,CT
p29019,CT
p29027,CT
p29031,CT
p29051,CT
p29053,CT
p29071,CT
p29073,CT
p29089,CT
p29099,CT
p29113,CT
p29125,CT
p29131,CT
p29133,CT
p29135,CT
p29139,CT
p29141,CT
p29151,CT
p29157,CT
p29163,CT
p29175,CT
p29183,CT
p29186,CT
p29187,CT
p29189,CT
p29201,CT
p29219,CT
p29510,CT
p29017,CT
p29055,CT
p29093,CT
p29123,CT
p29161,CT
p29169,CT
p29179,CT
p29221,CT
p26003,ET
p26013,ET
p26041,ET
p26043,ET
p26053,ET
p26061,ET
p26071,ET
p26083,ET
p26103,ET
p26109,ET
p26131,ET
p55009,CT
p55029,CT
p55037,CT
p55041,CT
p55061,CT
p55067,CT
p55069,CT
p55071,CT
p55073,CT
p55075,CT
p55083,CT
p55085,CT
p55097,CT
p55125,CT
p55001,CT
p55015,CT
p55021,CT
p55027,CT
p55039,CT
p55047,CT
p55057,CT
p55077,CT
p55078,CT
p55087,CT
p55115,CT
p55135,CT
p55137,CT
p55139,CT
p55141,CT
p55023,CT
p55043,CT
p55049,CT
p55053,CT
p55065,CT
p55081,CT
p55103,CT
p55111,CT
p55123,CT
p55025,CT
p55045,CT
p55105,CT
p55055,CT
p55059,CT
p55079,CT
p55089,CT
p55101,CT
p55117,CT
p55127,CT
p55131,CT
p55133,CT
p17007,CT
p17015,CT
p17031,CT
p17037,CT
p17043,CT
p17063,CT
p17085,CT
p17089,CT
p17091,CT
p17093,CT
p17097,CT
p17099,CT
p17103,CT
p17105,CT
p17111,CT
p17141,CT
p17177,CT
p17195,CT
p17197,CT
p17201,CT
p17001,CT
p17003,CT
p17005,CT
p17009,CT
p17011,CT
p17013,CT
p17017,CT
p17027,CT
p17051,CT
p17055,CT
p17057,CT
p17059,CT
p17061,CT
p17065,CT
p17067,CT
p17069,CT
p17071,CT
p17073,CT
p17077,CT
p17081,CT
p17083,CT
p17087,CT
p17095,CT
p17109,CT
p17117,CT
p17119,CT
p17121,CT
p17125,CT
p17127,CT
p17129,CT
p17131,CT
p17133,CT
p17135,CT
p17137,CT
p17145,CT
p17149,CT
p17151,CT
p17153,CT
p17155,CT
p17157,CT
p17161,CT
p17163,CT
p17165,CT
p17169,CT
p17171,CT
p17175,CT
p17181,CT
p17187,CT
p17189,CT
p17191,CT
p17193,CT
p17199,CT
p17107,CT
p17123,CT
p17143,CT
p17167,CT
p17179,CT
p17203,CT
p17019,CT
p17021,CT
p17023,CT
p17025,CT
p17029,CT
p17033,CT
p17035,CT
p17039,CT
p17041,CT
p17045,CT
p17047,CT
p17049,CT
p17053,CT
p17075,CT
p17079,CT
p17101,CT
p17113,CT
p17115,CT
p17139,CT
p17147,CT
p17159,CT
p17173,CT
p17183,CT
p17185,CT
p29023,CT
p29029,CT
p29035,CT
p29059,CT
p29065,CT
p29069,CT
p29091,CT
p29105,CT
p29143,CT
p29149,CT
p29155,CT
p29181,CT
p29203,CT
p29207,CT
p29215,CT
p29223,CT
p29229,CT
p05001,CT
p05003,CT
p05005,CT
p05011,CT
p05013,CT
p05017,CT
p05019,CT
p05021,CT
p05025,CT
p05027,CT
p05029,CT
p05031,CT
p05035,CT
p05037,CT
p05039,CT
p05041,CT
p05043,CT
p05045,CT
p05049,CT
p05051,CT
p05053,CT
p05055,CT
p05057,CT
p05059,CT
p05063,CT
p05065,CT
p05067,CT
p05069,CT
p05073,CT
p05075,CT
p05077,CT
p05079,CT
p05081,CT
p05085,CT
p05091,CT
p05093,CT
p05095,CT
p05099,CT
p05103,CT
p05105,CT
p05107,CT
p05111,CT
p05115,CT
p05117,CT
p05119,CT
p05121,CT
p05123,CT
p05125,CT
p05133,CT
p05135,CT
p05137,CT
p05139,CT
p05145,CT
p05147,CT
p05149,CT
p22027,CT
p22035,CT
p22041,CT
p22061,CT
p22065,CT
p22067,CT
p22073,CT
p22083,CT
p22107,CT
p22111,CT
p22123,CT
p28001,CT
p28005,CT
p28007,CT
p28011,CT
p28015,CT
p28021,CT
p28023,CT
p28027,CT
p28029,CT
p28031,CT
p28033,CT
p28035,CT
p28037,CT
p28039,CT
p28041,CT
p28043,CT
p28045,CT
p28047,CT
p28049,CT
p28051,CT
p28053,CT
p28055,CT
p28059,CT
p28061,CT
p28063,CT
p28065,CT
p28067,CT
p28073,CT
p28075,CT
p28077,CT
p28079,CT
p28083,CT
p28085,CT
p28089,CT
p28091,CT
p28097,CT
p28101,CT
p28107,CT
p28109,CT
p28111,CT
p28113,CT
p28119,CT
p28121,CT
p28123,CT
p28125,CT
p28127,CT
p28129,CT
p28131,CT
p28133,CT
p28135,CT
p28137,CT
p28143,CT
p28147,CT
p28149,CT
p28151,CT
p28153,CT
p28157,CT
p28163,CT
p28003,CT
p28009,CT
p28013,CT
p28017,CT
p28019,CT
p28025,CT
p28057,CT
p28069,CT
p28071,CT
p28081,CT
p28087,CT
p28093,CT
p28095,CT
p28099,CT
p28103,CT
p28105,CT
p28115,CT
p28117,CT
p28139,CT
p28141,CT
p28145,CT
p28155,CT
p28159,CT
p28161,CT
p01007,CT
p01023,CT
p01033,CT
p01043,CT
p01049,CT
p01057,CT
p01059,CT
p01063,CT
p01065,CT
p01071,CT
p01073,CT
p01075,CT
p01077,CT
p01079,CT
p01083,CT
p01089,CT
p01091,CT
p01093,CT
p01095,CT
p01103,CT
p01105,CT
p01107,CT
p01117,CT
p01119,CT
p01125,CT
p01127,CT
p01131,CT
p01133,CT
p01001,CT
p01003,CT
p01005,CT
p01009,CT
p01011,CT
p01013,CT
p01015,CT
p01017,CT
p01019,CT
p01021,CT
p01025,CT
p01027,CT
p01029,CT
p01031,CT
p01035,CT
p01037,CT
p01039,CT
p01041,CT
p01045,CT
p01047,CT
p01051,CT
p01053,CT
p01055,CT
p01061,CT
p01067,CT
p01069,CT
p01081,CT
p01085,CT
p01087,CT
p01097,CT
p01099,CT
p01101,CT
p01109,CT
p01111,CT
p01113,CT
p01115,CT
p01121,CT
p01123,CT
p01129,CT
p12005,CT
p12013,CT
p12033,CT
p12045,CT
p12059,CT
p12063,CT
p12091,CT
p12113,CT
p12131,CT
p12133,CT
p47001,CT
p47003,CT
p47005,CT
p47007,CT
p47009,CT
p47011,CT
p47013,CT
p47015,CT
p47017,CT
p47019,CT
p47021,CT
p47023,CT
p47025,CT
p47027,CT
p47029,CT
p47031,CT
p47033,CT
p47035,CT
p47037,CT
p47039,CT
p47041,CT
p47043,CT
p47045,CT
p47047,CT
p47049,CT
p47051,CT
p47053,CT
p47055,CT
p47057,CT
p47059,CT
p47061,CT
p47063,CT
p47065,CT
p47067,CT
p47069,CT
p47071,CT
p47073,CT
p47075,CT
p47077,CT
p47079,CT
p47081,CT
p47083,CT
p47085,CT
p47087,CT
p47089,CT
p47091,CT
p47093,CT
p47095,CT
p47097,CT
p47099,CT
p47101,CT
p47103,CT
p47105,CT
p47107,CT
p47109,CT
p47111,CT
p47113,CT
p47115,CT
p47117,CT
p47119,CT
p47121,CT
p47123,CT
p47125,CT
p47127,CT
p47129,CT
p47131,CT
p47133,CT
p47135,CT
p47137,CT
p47139,CT
p47141,CT
p47143,CT
p47145,CT
p47147,CT
p47149,CT
p47151,CT
p47153,CT
p47155,CT
p47157,CT
p47159,CT
p47161,CT
p47163,CT
p47165,CT
p47167,CT
p47169,CT
p47171,CT
p47173,CT
p47175,CT
p47177,CT
p47179,CT
p47181,CT
p47183,CT
p47185,CT
p47187,CT
p47189,CT
p21003,CT
p21007,CT
p21031,CT
p21035,CT
p21039,CT
p21047,CT
p21053,CT
p21057,CT
p21075,CT
p21083,CT
p21105,CT
p21139,CT
p21141,CT
p21143,CT
p21145,CT
p21147,CT
p21157,CT
p21169,CT
p21171,CT
p21199,CT
p21207,CT
p21213,CT
p21219,CT
p21221,CT
p21227,CT
p21231,CT
p13001,ET
p13003,ET
p13005,ET
p13007,ET
p13009,ET
p13011,ET
p13013,ET
p13015,ET
p13017,ET
p13019,ET
p13021,ET
p13023,ET
p13025,ET
p13027,ET
p13029,ET
p13031,ET
p13033,ET
p13035,ET
p13037,ET
p13039,ET
p13043,ET
p13045,ET
p13047,ET
p13049,ET
p13051,ET
p13053,ET
p13055,ET
p13057,ET
p13059,ET
p13061,ET
p13063,ET
