,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p34,1554.5,1765.04,1882.19,1968.37,2044.32,2102.67,2179.94,2255.97,2324.88,2411.92,2495.26,2560.82,2647.61,2751.83,2878.46
p38,0,0,0,0,0,0,0,2778.75,0,0,0,0,0,0,0
p47,1174.89,1280.75,1342.52,1530.24,1607.64,1707.24,1801.08,2032.35,2170.25,2291.25,2377.61,2435.34,2483.8,2701.81,2812.19
p59,2407.61,0,0,0,0,0,0,0,0,0,0,0,0,0,2725.23
p61,1108.25,1235.94,1339.22,1450.12,1532.68,1639.72,1740.42,1832.17,1936.76,2062.27,2197.69,2337.5,2488.64,2680.28,2892.34
p85,1829.36,0,0,0,0,1992.97,0,0,2454.17,0,0,0,0,2471.33,2726.01
p89,0,0,0,0,0,0,0,2708.42,0,0,0,0,0,0,0
p90,2232.41,0,0,0,0,0,0,0,0,0,0,0,0,0,2626.81
p92,1755.39,1831.7,1909.73,2009.5,2140.4,2194.33,2244.51,2392.15,2445.66,2490.36,0,2585.96,2728.02,2790.21,2887.83
p94,1509.99,1594.29,1840.41,2138.51,2187.85,2297.21,2401.43,2444.29,2491.07,2635.15,2690.42,2746.61,2783.52,2858.74,2907.24
p95,1726.04,1938.66,1982.89,2029.21,2099.2,2151.86,2206.4,2245.08,2287.77,2446.14,2493.75,2551.98,2664.21,2801.41,2900.65
p97,1434.42,1663.59,1786.85,1870.55,1947.34,2044.55,2122.27,2205.17,2302.74,2408.01,2498.23,2580.84,2682.31,2792.81,2912.91
p99,1429.49,1596.82,1836.93,1872.67,2039.4,2135.04,2241.51,2357.28,2435.42,2508.56,2583.61,2630.61,2681.36,2738.47,2872.08
p100,0,0,0,0,0,0,0,2838.87,0,0,0,0,0,0,0
p109,2242.39,0,2295.33,0,0,2460.5,2460.87,0,2631.32,2646.12,0,2660.84,2858.48,0,2933.44
p110,1861.1,1913.55,2061.77,0,2176.74,2244.82,0,2304.33,2347.14,2453.47,0,2494.2,2544.53,2639.23,2791.26
p116,1870.68,0,2030.89,2140.25,2241.47,2367.55,2402.58,2466.83,2524,2605.24,2630.16,2682.32,2714.35,2808.09,2889.95
p117,0,0,0,0,0,0,0,2160.45,0,0,0,0,0,0,0
p118,1674.95,1769.89,1884.03,1967,2068.83,2198.68,2261.06,2300.23,2358.36,2432.23,2490.32,2578.35,2719.09,2818.28,2896.17
p119,1918.99,2121.42,0,0,0,2631.62,0,0,2652.05,0,2679.6,0,2688.73,2902.7,2943.45
p120,0,0,0,0,0,0,0,2424.36,0,0,0,0,0,0,0
p121,2706.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2840.32
p122,2013.67,0,2212.31,2213.85,2356.45,2410.91,2518.23,0,2642.59,2755.2,2809.42,2830.47,2853.57,2882.47,2935.86
p127,1572.47,1882.63,2061.39,2126.41,2186.56,2299.6,2352.11,2402.19,2497.04,2565.35,2651.27,2714.95,2814.07,2888.51,2931.26
p129,2002.05,0,2136.95,2185.31,0,2291.39,2322.48,0,2508.73,0,2601.35,2659.64,0,2793.84,2870.51
p130,1996.77,2044.09,2179.88,2282.89,2328.27,2388.33,2448.83,2497.57,2534.29,2561.19,2654.17,2735.29,2786.75,2842.5,2920.38
p131,0,0,0,0,0,0,0,2673.77,0,0,0,0,0,0,0
p134,2066.87,2204.43,2256.55,2342.39,2446.95,2604.88,2633.42,2670.09,2801.13,2827.08,2835.45,2837.81,2876.08,2901.3,2921.64
