,phsclass1,phsclass2,phsclass3,phsclass4,phsclass5
p70,398967.625,398967.625,398967.625,398967.625,2792.773375
p71,398967.625,398967.625,398967.625,398967.625,2792.773375
p72,398967.625,398967.625,398967.625,398967.625,2792.773375
p73,398967.625,398967.625,398967.625,398967.625,2792.773375
p75,398967.625,398967.625,398967.625,398967.625,2792.773375
p76,398967.625,398967.625,398967.625,398967.625,2792.773375
p77,398967.625,398967.625,398967.625,398967.625,2792.773375
p78,398967.625,398967.625,398967.625,398967.625,2792.773375
p79,398967.625,398967.625,398967.625,398967.625,2792.773375
p81,398967.625,398967.625,398967.625,398967.625,2792.773375
p82,398967.625,398967.625,398967.625,398967.625,2792.773375
p83,398967.625,398967.625,398967.625,398967.625,2792.773375
p84,398967.625,398967.625,398967.625,398967.625,2792.773375
p85,398967.625,398967.625,398967.625,398967.625,2792.773375
p86,398967.625,398967.625,398967.625,398967.625,2792.773375
p87,398967.625,398967.625,398967.625,398967.625,2792.773375
p88,398967.625,398967.625,398967.625,398967.625,2792.773375
p89,398967.625,398967.625,398967.625,398967.625,2792.773375
p90,398967.625,398967.625,398967.625,398967.625,2792.773375
p91,398967.625,398967.625,398967.625,398967.625,2792.773375
p93,398967.625,398967.625,398967.625,398967.625,2792.773375
p95,398967.625,398967.625,398967.625,398967.625,2792.773375
p96,398967.625,398967.625,398967.625,398967.625,2792.773375
p97,398967.625,398967.625,398967.625,398967.625,2792.773375
p98,398967.625,398967.625,398967.625,398967.625,2792.773375
p99,398967.625,398967.625,398967.625,398967.625,2792.773375
p100,398967.625,398967.625,398967.625,398967.625,2792.773375
p101,398967.625,398967.625,398967.625,398967.625,2792.773375
p102,398967.625,398967.625,398967.625,398967.625,2792.773375
p103,398967.625,398967.625,398967.625,398967.625,2792.773375
p104,398967.625,398967.625,398967.625,398967.625,2792.773375
p105,398967.625,398967.625,398967.625,398967.625,2792.773375
p106,398967.625,398967.625,398967.625,398967.625,2792.773375
p107,398967.625,398967.625,398967.625,398967.625,2792.773375
p108,398967.625,398967.625,398967.625,398967.625,2792.773375
p110,398967.625,398967.625,398967.625,398967.625,2792.773375
p112,398967.625,398967.625,398967.625,398967.625,2792.773375
p113,398967.625,398967.625,398967.625,398967.625,2792.773375
p114,398967.625,398967.625,398967.625,398967.625,2792.773375
p115,398967.625,398967.625,398967.625,398967.625,2792.773375
p117,398967.625,398967.625,398967.625,398967.625,2792.773375
p118,398967.625,398967.625,398967.625,398967.625,2792.773375
p119,398967.625,398967.625,398967.625,398967.625,2792.773375
p120,398967.625,398967.625,398967.625,398967.625,2792.773375
p121,398967.625,398967.625,398967.625,398967.625,2792.773375
p123,398967.625,398967.625,398967.625,398967.625,2792.773375
p124,398967.625,398967.625,398967.625,398967.625,2792.773375
p125,398967.625,398967.625,398967.625,398967.625,2792.773375
p128,398967.625,398967.625,398967.625,398967.625,2792.773375
p131,398967.625,398967.625,398967.625,398967.625,2792.773375
p132,398967.625,398967.625,398967.625,398967.625,2792.773375
p133,398967.625,398967.625,398967.625,398967.625,2792.773375
p135,1320.518833,1760.691777,8803.458885,,
p136,1320.518833,1760.691777,8803.458885,,
