,pshclass1,pshclass2,pshclass3,pshclass4,pshclass5,pshclass6,pshclass7,pshclass8,pshclass9,pshclass10,pshclass11,pshclass12,pshclass13,pshclass14,pshclass15
p33,1356.87,1549.35,1634.75,1699.26,1777.92,1828.08,1879.88,1945.54,2007.4,2077.07,2152.85,2225.32,2306.56,2387.7,2501.97
p34,1429.05,1605.45,1701.64,1771.89,1818.34,1868.23,1948,2004.2,2060.85,2128.74,2177.01,2240.4,2311.09,2389.2,2490.63
p38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p47,1728.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1965.15
p59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p61,1450.53,1569.81,1668.01,1723.46,1789.77,1857.07,1912.2,1977.95,2065.43,2127.58,2202.22,2287.94,2392.14,2483.39,2585.41
p85,1631.89,0,0,0,0,1769.53,0,0,2161.37,0,0,0,0,2164.7,2418.13
p89,0,0,0,0,0,0,0,2354.52,0,0,0,0,0,0,0
p90,1977.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2323.97
p92,1574.72,1628.92,1685.59,1784.21,1889.1,1921.63,1973.04,2092.37,2129.84,2149.36,2181.55,2262.11,2373.65,2428.02,2526.76
p94,1359.01,1440.44,1783.62,1904.91,1940.27,2006.57,2100.25,2144.09,2197.32,2306.78,2347.21,2406.77,2452.42,2510.08,2530.7
p95,1567.2,1743.27,1774.86,1824.63,1860.92,1891.53,1942.95,1992.5,2014.5,2098.87,2174.25,2235.68,2311.41,2421.1,2510.8
p97,1552.49,1639.57,1731.24,1804.45,1878.9,1942.61,2002.38,2087.83,2139.25,2186.55,2254.49,2319.73,2376.78,2448.26,2539.21
p99,1316.51,1454.35,1634.77,1673.66,1763.49,1868.44,1949.35,2055.83,2134.96,2182.56,2243.08,2277.32,2320.93,2377.08,2484.31
p100,0,0,0,0,0,0,0,2470.81,0,0,0,0,0,0,0
p109,1972.9,0,1988.98,0,2130.56,0,2143.84,0,2306.49,0,2312,2321.91,2468.97,0,2562.42
p110,1662.8,1739.36,1877.6,0,1926.22,1981.46,2016.71,2049.04,2064.43,2131.56,2171.44,2198.52,2223.3,2327.93,2395.86
p116,1604.42,1717.54,1769.63,1886.37,1987.81,2073.76,2093.77,2161.54,2202.7,2253.04,2279.64,2335.08,2372.5,2443.21,2509.41
p117,0,0,0,0,0,0,0,1932.46,0,0,0,0,0,0,0
p118,1493.24,1575.99,1673.3,1748.75,1829.91,1938.64,1978.49,2022.57,2081.98,2131.93,2176.02,2245.06,2348.86,2442.88,2504.09
p119,1716.07,1904.82,0,0,0,2285,0,0,0,2296.09,2344.2,0,2385.62,2539.88,2568.43
p120,0,0,0,0,0,0,0,2151.71,0,0,0,0,0,0,0
p121,2324.53,0,0,0,0,0,0,0,0,0,0,0,0,0,2435.95
p122,1790.39,0,1901.68,1957.86,2073.52,2114.71,2221.32,0,2297.58,2368.62,2461.1,2484.8,2496.09,2513.64,2550.13
p127,1410.81,1637.67,1802.95,1869.21,1920.43,2006.05,2024.91,2090.14,2161.86,2188.66,2264.49,2313.8,2401.25,2477.67,2528.32
p129,1752.49,1876.19,0,1917.68,2008.57,0,2016.54,2179.83,0,2245.76,2299.62,0,2354.87,2478.7,2510.4
p130,1733.71,1795.35,1904.24,1980.73,2021.4,2061.57,2116.63,2144.54,2167.84,2222.32,2249.05,2352.83,2410.49,2464.14,2502.48
p131,0,0,0,0,0,0,0,2315.44,0,0,0,0,0,0,0
p134,1836.29,1931.33,1961.37,2053.17,2120.51,2210.8,2289.71,2305.67,2365.41,2417.03,2430.41,2451.05,2464.96,2484,2522.24
