"","","upvsc1","upvsc2","upvsc3","upvsc4","upvsc5"
"p16","class2",2.592,1.0368,511.6608,90.2016,1114.8192
"p16","class3",38639.4624,88867.2384,100711.1232,101547.0432,67704.0768
"p16","class4",57442.608,72864.4896,61556.3712,77545.6416,65797.1424
"p17","class1",56.5056,24.1056,14.7744,249.0912,731.9808
"p17","class2",11669.184,47750.0832,29229.4656,27998.784,20782.9152
"p17","class3",3584.2176,30554.2368,34789.3056,54837.648,52634.448
"p18","class2",209989.8432,309395.6352,335404.8,356519.7504,356994.3456
"p18","class3",14757.552,80393.9904,69030.4032,61060.5216,38672.3808
"p19","class2",79793.1648,84263.0688,80703.7344,79037.0784,34088.688
"p19","class3",19465.92,31359.8304,30130.9632,26876.448,26676.6048
"p2","class1",3249.8496,10532.592,26636.9472,20587.7376,14243.04
"p2","class2",102.9024,273.1968,395.5392,3015.2736,2667.6864
"p2","class3",9942.6528,27696.0384,66156.6528,69178.9248,60056.3808
"p20","class2",123.3792,60864.3072,69751.4976,60583.0752,70707.4272
"p20","class3",95858.64,127301.1552,130318.5024,128564.496,136593.4752
"p21","class2",0.2592,6.48,0,0,0
"p21","class3",7248.528,32669.8272,58184.9568,65955.7728,47729.088
"p21","class4",169173.1008,238370.688,252599.9904,249820.0704,234516.1248
"p22","class2",96.1632,1.296,342.4032,108.864,132.9696
"p22","class3",6752.4192,13782.7008,24105.3408,34232.544,15417.4752
"p22","class4",34.4736,31.104,278.64,78.2784,181.9584
"p23","class3",51224.6592,61801.8336,61370.784,64288.3392,62141.904
"p23","class4",81.9072,14833.2384,26355.9744,30897.936,24532.5024
"p24","class3",17830.6272,38950.5024,68340.672,72910.368,32420.736
"p24","class4",164621.5488,223978.3488,229716.5184,224491.824,216599.184
"p25","class2",20.736,224.9856,374.8032,1075.68,977.9616
"p25","class3",589.1616,2074.6368,3455.136,14151.024,9095.8464
"p25","class4",66318.6528,115925.6448,116001.3312,147404.7072,105482.9952
"p25","class5",68423.8752,271292.1984,265977.3024,266711.616,226707.4656
"p25","class6",164.8512,13318.2144,24801.552,10869.8112,5891.616
"p26","class4",3039.6384,38645.6832,51510.816,44945.7984,24908.6016
"p26","class5",506.9952,2581.632,2436.9984,2534.4576,1306.368
"p27","class5",147.2256,3491.9424,23953.1904,37693.3824,29171.664
"p27","class6",48386.9376,65354.4288,63974.448,39356.6688,16192.4832
"p28","class5",2078.784,16873.4016,42425.3376,55280.88,44645.1264
"p28","class6",376574.0544,524562.2208,526327.632,521800.9632,471280.032
"p28","class7",2587.8528,10364.112,22189.3344,20368.4544,28423.0944
"p29","class5",41820.3648,31210.0128,28962.7488,33586.3584,22027.8528
"p29","class6",54343.872,66175.8336,67995.4176,71041.7952,57611.088
"p3","class2",34244.9856,44369.856,26503.2,12940.0416,8024.3136
"p3","class3",16963.0848,67648.8672,79609.6512,70348.9536,54562.6368
"p30","class6",53355.2832,81909.2736,85253.472,96659.8272,77742.1152
"p30","class7",30.8448,1876.8672,1552.608,1388.2752,563.76
"p31","class5",41786.6688,160113.5424,203301.7056,212583.1392,229135.6512
"p31","class6",512671.4208,592891.2288,596864.5056,577315.1232,525119.2416
"p31","class7",5106.7584,45860.256,44808.9408,14496.0192,23489.2224
"p32","class3",32724.7776,58917.9744,65697.3504,70326.144,59981.7312
"p32","class4",123.3792,8125.1424,18949.3344,24749.4528,25050.1248
"p33","class3",240.0192,1749.6,3749.0688,6779.1168,2556.7488
"p33","class4",164827.0944,291574.5984,299159.0496,287736.3648,217205.712
"p33","class5",2024.352,28211.328,30638.736,18861.7248,26615.952
"p34","class4",5396.8032,14388.192,32052.9312,42125.9616,19126.6272
"p34","class5",346503.4848,467532.7776,470690.0928,462876.5088,349691.904
"p34","class6",341.6256,463.1904,157.3344,608.0832,113.2704
"p35","class2",97015.4496,123539.3856,123529.7952,131221.0368,107989.2
"p35","class3",97877.5488,116719.5744,135707.5296,138658.7808,134206.5024
"p36","class2",182554.0416,205473.8016,226674.288,250590.9312,236296.8288
"p36","class3",108478.8288,173358.9216,179743.0176,181161.36,171298.8
"p37","class2",512276.6592,522358.2432,520998.48,522045.1296,506762.4384
"p38","class2",366.5088,25264.224,25502.9472,57335.04,62145.792
"p38","class3",819037.2672,827495.7408,801296.8416,805718.016,780624.0864
"p38","class4",64.0224,6967.296,4504.1184,15184.1952,10084.176
"p39","class3",43.5456,2247.264,688.6944,1782.5184,1627.5168
"p39","class4",228594.4416,238820.1408,226457.0784,224444.6496,222887.1168
"p4","class2",29.2896,74.1312,26.9568,42.2496,231.2064
"p4","class3",24383.4624,46840.2912,50870.592,53430.9696,37728.3744
"p40","class3",327109.3632,350160.7968,345363.7824,338940.0288,320481.8784
"p40","class4",230082.768,273528.3168,274308.768,270273.5424,263745.5904
"p41","class3",72929.5488,87376.0608,90103.8816,86039.1072,67067.2224
"p42","class2",166262.8032,196819.1136,192341.952,188175.5712,143872.5888
"p43","class2",361205.0496,448401.744,432110.5056,423256.752,287257.8816
"p43","class3",35.5104,382.8384,752.976,579.5712,707.8752
"p44","class2",862.3584,30896.8992,43855.8624,47211.4656,36548.7552
"p44","class3",83321.136,90552.2976,85712.7744,85142.7936,77823.2448
"p45","class2",7.5168,23.5872,0,0,0
"p45","class3",250049.7216,267978.8448,279281.7792,288622.5696,286447.3632
"p46","class2",151163.1072,184018.2624,178074.0288,173495.52,155763.9072
"p46","class3",121.5648,26.9568,0,0,0
"p47","class5",97.4592,2743.632,3658.3488,5487.264,1733.7888
"p47","class6",309010.7232,312554.7648,309797.9136,292166.0928,277679.664
"p48","class5",323511.1488,341543.4336,344407.8528,342749.4912,336815.8848
"p48","class6",115214.1408,168671.0304,170810.7264,171930.7296,162895.7952
"p49","class5",87144.336,85177.5264,86196.4416,84645.1296,77094.8928
"p5","class1",424.3104,2129.5872,1018.9152,3034.7136,1763.3376
"p5","class2",16759.872,42161.472,44274.9888,35059.9104,18211.6512
"p5","class3",9795.168,35382.8736,91955.6064,103579.6896,84029.7888
"p5","class4",994.032,741.5712,21614.688,24558.9408,30037.392
"p50","class3",3.888,6.48,21.7728,10.8864,25.6608
"p50","class4",414208.08,469574.7552,470963.2896,472314.7584,479662.0416
"p50","class5",146833.1712,202020.48,199954.3968,198299.664,206372.448
"p51","class3",31.104,220.5792,0,0,0
"p51","class4",113239.8144,129418.56,126599.5008,127432.8288,130606.992
"p52","class4",167350.1472,183973.1616,188515.1232,179753.3856,169715.3472
"p52","class5",114035.8176,129146.6592,130259.4048,132416.9856,128960.5536
"p53","class3",77790.0672,126918.3168,124616.1024,125225.7408,130871.1168
"p53","class4",637282.8576,684788.256,697694.8608,713007.8784,710608.7232
"p53","class5",13542.6816,71633.0304,79037.0784,74203.776,58893.3504
"p54","class3",175543.7184,204114.5568,202000.0032,198775.8144,185549.616
"p55","class3",8010.576,52911.2736,74965.3056,82066.3488,74953.6416
"p55","class4",55779.3216,73262.1024,77580.1152,76145.7024,51757.056
"p56","class3",11.4048,32.1408,103.9392,180.144,160.9632
"p56","class4",19473.1776,70828.992,69924.1248,38545.8912,66095.7408
"p57","class4",50266.3968,65350.2816,66968.4672,62503.2288,57952.9728
"p58","class4",206939.5776,315512.2368,322340.8608,323016.336,302111.3376
"p58","class5",866.5056,658.368,1424.8224,3244.4064,1955.1456
"p59","class6",1008.0288,2500.7616,5850.9216,6211.2096,3427.4016
"p59","class7",337.7376,4161.7152,5433.0912,7717.1616,4620.4992
"p6","class2",326.3328,383.3568,2441.9232,2159.9136,2485.2096
"p6","class3",715.1328,7338.7296,8354.7936,4682.1888,1578.7872
"p6","class4",1492.2144,19214.7552,44143.8336,48145.3632,26556.336
"p60","class5",255177.216,276859.8144,280277.3664,278442.2304,280702.4544
"p60","class6",1665.1008,30680.7264,35302.0032,35584.5312,27976.752
"p61","class5",250788.4416,270015.3792,257006.6496,209626.4448,157824.8064
"p61","class6",284898.9024,348144.9984,333782.208,292014.9792,221950.6272
"p61","class7",9790.2432,3998.4192,3548.1888,15936.912,7273.6704
"p62","class5",73.6128,2392.6752,1048.464,2826.3168,845.5104
"p62","class6",162633.2256,171807.8688,171046.08,172308.384,159802.5024
"p63","class4",278917.6032,385778.7648,384497.28,383894.8992,376553.0592
"p63","class5",226124.2656,313946.1504,326001.8016,338257.296,346707.7344
"p64","class4",91762.7616,155446.128,161494.8192,167504.112,154260.8064
"p64","class5",120776.832,189831.3408,194855.1552,184926.4992,142330.3488
"p65","class4",1801.44,81607.5648,90126.6912,86446.5696,64851.5808
"p65","class5",467537.7024,536692.2624,528829.4304,536136.5376,489604.176
"p66","class4",76516.8768,118056.0096,124163.7984,117337.5072,107195.7888
"p66","class5",18.9216,86.0544,43.5456,217.4688,0
"p67","class4",5650.0416,33020.784,47965.7376,46011.1104,20561.5584
"p67","class5",299.376,282.2688,118.4544,412.9056,758.16
"p68","class2",33046.4448,38085.8112,36171.36,45046.6272,35241.0912
"p68","class3",39613.2768,79122.096,82706.5728,81036.5472,68329.7856
"p69","class2",529.2864,114.8256,174.1824,394.2432,4829.9328
"p69","class3",85189.7088,98178.48,97421.616,90674.64,82495.8432
"p7","class3",2797.2864,20151.7632,24047.5392,15546.2976,10542.7008
"p7","class4",91929.4272,188728.704,202808.7072,205988.3136,195851.52
"p70","class2",4.1472,36.8064,34.2144,58.32,89.424
"p70","class3",295799.2992,327483.1296,325622.3328,316009.1232,299748.4704
"p71","class3",66868.9344,73798.3872,71540.496,72587.9232,71786.2176
"p72","class3",58665.2544,124009.3152,138964.3776,129610.8864,124697.4912
"p72","class4",224.4672,9049.7088,7265.6352,10585.4688,11307.0816
"p73","class3",5229.8784,15732.9216,20465.6544,10913.3568,14629.7664
"p73","class4",60.912,67.9104,51.0624,999.4752,1282.2624
"p74","class2",44937.504,63878.544,63052.7328,66331.6128,50347.2672
"p75","class2",57945.1968,118288.2528,118589.184,111930.5952,82971.9936
"p75","class3",5.4432,44.064,844.992,440.1216,373.5072
"p76","class2",77574.1536,94028.4288,96157.7568,94644.5472,64285.2288
"p76","class3",1489.8816,11500.4448,22854.1824,20776.9536,11050.992
"p77","class2",1793.664,6899.1264,11463.8976,19141.1424,34383.6576
"p77","class3",1498.9536,12258.6048,22048.848,27692.1504,32058.3744
"p78","class2",12.96,57.8016,15.2928,372.7296,245.7216
"p78","class3",15575.328,26308.8,26261.8848,25253.0784,22710.0672
"p79","class2",988.3296,6873.2064,12229.056,12798.2592,18621.1872
"p79","class3",8985.168,22449.5712,33877.44,36706.3488,26129.6928
"p8","class4",31584.816,54762.9984,75223.2096,75815.2224,56068.3296
"p8","class5",506.4768,2165.3568,14671.7568,21447.504,22192.1856
"p80","class2",3.3696,2.8512,27.216,2.3328,29.808
"p80","class3",38982.384,170331.7248,181679.76,183753.36,157660.2144
"p81","class3",316898.9568,350791.4304,357693.1488,352756.4256,321446.88
"p82","class3",44752.9536,49553.0784,55277.2512,56717.8848,49140.6912
"p83","class3",202350.1824,211723.8912,211294.9152,203352.5088,206181.6768
"p84","class3",9973.4976,31795.2864,29845.584,44939.8368,14574.2976
"p84","class4",21594.7296,51402.4704,73256.9184,81691.2864,90908.1792
"p85","class3",10.368,205.5456,123.3792,30.5856,172.368
"p85","class4",329729.3568,394798.4064,403777.0944,410656.5216,414255.5136
"p86","class4",59025.8016,75017.1456,78952.5792,79230.96,72494.8704
"p87","class4",286378.6752,346797.4176,354212.0928,366461.8848,311792.4576
"p87","class5",35.5104,79.3152,2.3328,117.6768,605.4912
"p88","class3",2.0736,19.9584,0,0,0
"p88","class4",106382.4192,119127.5424,114351.264,115987.3344,117269.856
"p89","class3",98.496,0.7776,13.9968,25.92,589.1616
"p89","class4",76267.2672,156010.1472,163470.96,164476.9152,170442.144
"p9","class2",60.1344,786.9312,606.2688,59.616,1495.8432
"p9","class3",208.656,883.0944,204.2496,1793.9232,3792.3552
"p9","class4",23683.104,10004.0832,33059.1456,59790.96,31742.6688
"p9","class5",88793.3664,234523.1232,255080.016,282482.8992,185566.7232
"p9","class6",3993.7536,1514.7648,9723.3696,28142.1216,30265.2288
"p90","class4",196715.1744,249870.6144,250132.4064,237478.5216,246454.0992
"p90","class5",567.3888,1911.0816,13014.9504,13026.8736,9416.736
"p91","class4",32310.576,62836.56,60188.832,66758.256,53264.0448
"p91","class5",385.1712,2852.496,3598.2144,5364.9216,7181.3952
"p92","class3",73408.8096,126269.28,102260.6208,87469.632,65282.3712
"p92","class4",51842.0736,101411.4816,154594.656,179791.488,200350.7136
"p93","class3",76099.0464,90731.664,59537.7216,65750.4864,61397.2224
"p93","class4",638.1504,1912.896,4970.6784,9775.728,7908.192
"p94","class4",322000.272,457796.448,476187.984,464438.9664,428733.648
"p94","class5",1315.9584,48117.3696,63131.0112,61600.176,45997.8912
"p95","class4",32634.0576,64605.3408,63216.5472,65263.968,49180.3488
"p96","class4",142349.7888,187038.9792,190223.7696,191388.8736,178206.48
"p97","class3",548.9856,171.8496,530.064,3046.896,4426.0992
"p97","class4",43965.504,78737.9616,86870.3616,86089.1328,92128.752
"p98","class3",910.8288,499.4784,1546.9056,2845.7568,7733.232
"p98","class4",225464.0832,291026.6496,290791.296,285613.5168,248291.8272
"p99","class3",90091.1808,166188.9312,167296.752,151255.6416,132148.1952
"p99","class4",3480.5376,21356.5248,48223.1232,64791.1872,60970.0608
