j,bioclass1,bioclass2,bioclass3,bioclass4,bioclass5
p105,1.045850694,1.223218828,0.995456784,1.038608073,1.127975106
p106,1,1,1,1,1
p107,1.001412263,1.075665413,1.051555573,1.09078468,1.142045531
p108,0.999430801,1.040061541,1.080418722,1.091199815,1.139773409
p109,1.148880228,0.988885409,1.249211842,1.191555989,1.092335809
p110,1.009069712,0.999187641,1.109849455,1.136073425,1.05074156
p111,1.038484911,1.048200607,1.062969005,1.034885844,1.013993088
p112,1.036017625,1.054502422,1.057275916,1.072933206,1.01833702
p113,1.000074816,1.053461495,1.03506305,1.073457915,1.014196129
p114,1.042839211,1.102251667,1.096462968,1.088962159,1.014103064
p115,1.039716241,1.108692223,1.051334886,1.054954368,1.026301577
p116,1.077037547,1.056928476,1.072195941,1.027418707,1.033172669
p117,1.001018482,1.000524755,1.096680679,1.038206783,1.022060168
p118,1.121915852,0.994325651,1.141548597,1.098019664,1.034906215
p119,1.000279917,0.999910288,1.062885643,1.068615176,1.022244029
p120,1.067838159,1.00728107,1.130473445,1.204328224,1.046869632
p121,1,1.000836665,1.07678515,1.124403791,1.015297696
p122,1.000505446,1.062008554,1.102450712,1.038564969,1.025766927
p123,1.047858818,1.075818737,1.054923641,1.02851112,1.013992447
p124,1.055324349,1.070943343,1.056595839,1.026133596,1.027323388
p125,0.998497285,1.115241951,1.161028279,1.033105596,1.025901701
p126,1.1878164,1.043089453,1.16354942,1.149733887,1.072567986
p127,0.999748767,1.057286986,1.09150803,1.02947117,1.014054084
p128,1.054256478,1.021107028,1.013535027,1.014138029,1.014037422
p129,0.999899357,1.028177848,1.049257954,1.030136257,1.01404861
p130,1.000150685,1.022395422,1.014114604,1.014067765,1.01402784
p131,0.99982193,0.998369325,1.13921003,1.041074675,1.036399608
p132,1.001407535,1.010925107,1.097604804,1.030770083,1.020731989
p133,1.187839113,0.969992515,1.064551691,1.020856948,1.027570341
p134,1.071967692,0.979872344,1.024114771,1.01135226,1.009632069
p137,1,1,1,1,1
p138,1,1,1,1,1
p139,1,1,1,1,1
p140,1,1,1,1,1
p141,1,1,1,1,1
p142,1,1,1,1,1
p143,1,1,1,1,1
p144,1,1,1,1,1
p145,1,1,1,1,1
p146,1,1,1,1,1
p147,1,1,1,1,1
p148,1,1,1,1,1
p149,1,1,1,1,1
p150,1,1,1,1,1
p151,1,1,1,1,1
p152,1,1,1,1,1
p153,1,1,1,1,1
p154,1,1,1,1,1
p155,1,1,1,1,1
p156,1,1,1,1,1
p157,1,1,1,1,1
p158,1,1,1,1,1
p159,1,1,1,1,1
p160,1,1,1,1,1
p161,1,1,1,1,1
p162,1,1,1,1,1
p163,1,1,1,1,1
p164,1,1,1,1,1
p165,1,1,1,1,1
p166,1,1,1,1,1
p167,1,1,1,1,1
p168,1,1,1,1,1
p169,1,1,1,1,1
p170,1,1,1,1,1
p171,1,1,1,1,1
p172,1,1,1,1,1
p173,1,1,1,1,1
p174,1,1,1,1,1
p175,1,1,1,1,1
p176,1,1,1,1,1
p177,1,1,1,1,1
p178,1,1,1,1,1
p179,1,1,1,1,1
p180,1,1,1,1,1
p181,1,1,1,1,1
p182,1,1,1,1,1
p183,1,1,1,1,1
p184,1,1,1,1,1
p185,1,1,1,1,1
p186,1,1,1,1,1
p187,1,1,1,1,1
p188,1,1,1,1,1
p189,1,1,1,1,1
p190,1,1,1,1,1
p191,1,1,1,1,1
p192,1,1,1,1,1
p193,1,1,1,1,1
p194,1,1,1,1,1
p195,1,1,1,1,1
p196,1,1,1,1,1
p197,1,1,1,1,1
p198,1,1,1,1,1
p199,1,1,1,1,1
p200,1,1,1,1,1
p201,1,1,1,1,1
p202,1,1,1,1,1
p203,1,1,1,1,1
p204,1,1,1,1,1
p205,1,1,1,1,1
