region,class,bin,capacity,supply_curve_cost_per_mw,dist_km
i6103,9,1,22.3387,1965959.4687,41.5275
i6104,9,1,6.2456,6441801.0638,38.7864
i6130,10,1,31.6143,552336.669,5.5
i6131,10,1,64.6623,216499.3132,5.5
i6132,10,1,80.7732,181308.6741,5.5
i6133,10,1,21.6513,623191.9483,5.5
i6135,10,1,6.4881,1426679.0498,6.3666
i6136,10,1,50.6655,305063.6268,8.1512
i6137,10,1,7.6545,1716633.7009,6.9529
i6138,10,1,13.3164,1455012.8086,11.4104
i6152,10,1,13.608,1660315.3817,11.9903
i6170,1,1,73.629,629089.4025,41.7906
i6171,1,1,176.0049,147856.3976,32.0263
i6172,1,1,238.3344,86670.2809,29.3486
i6173,2,1,254.6883,84916.9056,31.7653
i6174,4,1,206.1612,126186.68,32.6477
i6175,4,1,245.3814,99502.272,37.2463
i6176,5,1,160.9146,115139.6229,17.8648
i6177,4,1,94.0653,155898.5574,5.6828
i6178,2,1,108.3537,138535.7636,9.2504
i6179,6,1,100.1889,146769.4186,5.5
i6180,7,1,126.9675,148712.1707,16.894
i6181,6,1,55.8414,459637.1582,23.9327
i6182,2,1,42.1362,416071.1408,11.2368
i6438,8,1,12.8061,13265380.7331,81.8424
i6443,7,1,6.6825,3377779.1566,7.6266
i6444,7,1,28.2609,689106.0186,5.5
i6482,8,1,20.3877,1759102.6225,32.1328
i6483,8,1,16.2567,1958098.3041,28.29
i6484,9,1,48.7754,672188.1727,26.2034
i6509,9,1,7.4844,1134053.6532,5.5
i6510,9,1,42.9381,339925.0732,5.5
i6511,10,1,39.852,406884.601,7.093
i6512,10,1,77.0796,261274.9742,10.6919
i6513,10,1,18.468,887715.4039,10.3612
i6516,10,1,22.0644,1052778.7302,18.2669
i6517,10,1,7.8489,1619637.8118,5.8357
i6518,10,1,13.2678,1741199.7679,11.5004
i6519,10,1,9.8901,3440963.8802,24.0988
i6529,10,1,7.8975,2580743.0388,9.0948
i6532,10,1,6.3666,2528217.5605,5.5
i6550,1,1,34.9677,875097.6977,30.8356
i6551,1,1,160.7202,118706.8201,20.7545
i6552,1,1,223.803,55204.1141,16.3001
i6553,5,1,321.4404,29199.4311,20.5026
i6554,4,1,238.5288,69452.527,21.2268
i6555,5,1,335.5101,35023.6217,22.7067
i6556,6,1,146.3346,105764.4215,10.5322
i6557,2,1,114.0156,127826.9106,5.5
i6558,1,1,249.0993,43052.1785,12.5095
i6559,6,1,68.526,208774.7034,8.3929
i6560,7,1,114.0399,149724.7816,9.8137
i6561,7,1,109.6659,174070.1307,11.9647
i6562,6,1,31.9302,420951.8851,6.6611
i6563,4,1,16.8156,684028.8977,7.1638
i6564,1,1,36.4986,608579.7659,18.7429
i6565,3,1,65.6829,276087.1208,16.3359
i6566,5,1,77.1525,238515.0207,16.4259
i6567,6,1,93.2634,204979.933,17.8301
i6568,7,1,35.0406,603708.9755,21.5208
i6569,7,1,87.4557,269197.6543,20.6921
i6822,7,1,5.832,3140028.7022,5.5
i6823,6,1,16.1595,1095689.01,5.5
i6824,7,1,29.1843,1278039.1521,15.6351
i6825,7,1,48.7458,650905.0789,7.6575
i6826,6,1,9.8901,1671079.3032,5.5
i6863,8,1,32.3433,750070.4771,16.9723
i6864,9,1,89.1907,248381.4772,9.6593
i6865,9,1,42.5979,572010.2819,21.5506
i6866,10,1,5.8077,3468517.7621,23.366
i6888,10,1,16.6941,719687.3828,5.5
i6889,9,1,29.708,473046.0319,5.5
i6890,8,1,47.2941,340586.8056,5.5
i6891,9,1,41.6555,383740.2899,7.7912
i6892,9,1,72.2925,292535.411,14.0832
i6893,9,1,55.7928,255361.7941,5.5
i6894,10,1,23.0607,636915.3995,6.7665
i6895,9,1,36.45,375659.7881,5.5
i6896,9,1,36.2556,418879.9612,5.5
i6897,10,1,14.3127,1018128.4352,10.054
i6898,10,1,8.991,3252560.4663,24.6734
i6907,10,1,7.6302,1307240.7334,6.0529
i6910,9,1,5.7348,2846811.0591,7.0365
i6930,1,1,33.4611,845430.1206,26.2577
i6931,1,1,197.7534,64226.7659,13.573
i6932,3,1,173.3562,45169.6004,5.5
i6933,5,1,166.8681,64126.9166,6.2974
i6934,6,1,193.6224,57745.7356,8.4265
i6935,6,1,125.874,132708.5356,10.4283
i6936,6,1,62.694,258867.788,9.9165
i6937,5,1,35.5266,398613.8846,5.5
i6938,7,1,115.5222,128496.7552,10.6994
i6939,6,1,18.7596,530862.7797,5.5
i6940,7,1,68.6232,211040.4313,5.5
i6941,8,1,181.1808,51927.3673,5.5
i6942,8,1,110.9052,127445.4276,5.5
i6943,5,1,97.5159,198434.9385,16.6059
i6944,1,1,28.674,703800.708,18.2865
i6945,3,1,65.0025,196996.1751,6.8038
i6946,5,1,73.6047,178085.8121,6.8038
i6947,6,1,50.9571,224366.4377,5.5337
i6948,6,1,56.2059,263314.2735,6.9055
i6949,7,1,117.3447,137827.2376,8.6219
i6950,7,1,105.0489,134772.1077,8.623
i6951,6,1,125.8011,95858.569,6.3576
i6952,6,1,44.9307,477598.7792,17.9457
i6953,7,1,133.6743,213594.489,29.2703
i6954,7,1,111.8529,327483.7205,37.5359
i6955,7,1,31.9788,1132833.6303,36.5885
i7197,8,1,12.1986,12941267.1582,76.1713
i7198,8,1,11.7612,10781497.1977,64.0665
i7202,7,1,12.7818,2466277.9913,9.5848
i7203,7,1,20.1204,1931050.2358,11.0967
i7204,7,1,27.4104,880219.0276,5.5
i7205,7,1,28.6254,903036.4042,5.5
i7206,7,1,5.5647,5696999.2771,9.5448
i7207,7,1,12.6846,1413136.4795,5.5
i7243,8,1,10.8864,1937110.1552,16.9813
i7244,9,1,13.2435,883666.4545,5.711
i7245,9,1,17.9334,742080.4539,6.9465
i7246,10,1,13.6809,926947.7761,8.0446
i7247,9,1,18.6138,996433.1462,9.4176
i7248,8,1,22.1859,680610.1556,5.5619
i7268,9,1,28.3581,539282.5641,6.7793
i7269,9,1,44.0467,478767.8218,16.6703
i7270,9,1,74.115,254359.0173,9.7286
i7271,9,1,46.2915,309665.435,5.5
i7272,9,1,31.1526,442442.4337,6.1584
i7273,9,1,70.0812,312434.8952,9.4676
i7274,9,1,36.4743,414434.377,5.5
i7275,9,1,63.8847,310046.1416,10.6968
i7276,9,1,68.9391,208387.3353,7.4684
i7277,9,1,59.5836,225878.1841,6.2021
i7278,9,1,33.2181,535490.76,9.5049
i7279,10,1,10.2303,2180108.521,18.1423
i7282,10,1,8.6994,1218454.6162,5.5
i7288,10,1,6.2451,2471047.591,5.5
i7289,10,1,20.5578,1298118.0127,17.7887
i7299,10,1,5.8806,2257290.437,5.5
i7300,10,1,7.8246,2355299.7668,9.2775
i7303,10,1,5.8077,1671831.9983,5.5
i7310,1,1,18.5166,1811134.8137,28.4651
i7311,1,1,120.2364,167463.7531,15.4396
i7312,1,1,108.8397,126178.2617,8.1346
i7313,1,1,226.7919,33077.9921,5.9592
i7314,3,1,249.0993,25026.4914,5.5
i7315,3,1,193.9383,45951.7078,5.5
i7316,5,1,47.5308,267534.6105,5.5
i7317,4,1,0.0,181641.9212,7.3246
i7318,6,1,135.0594,97693.6008,7.142
i7319,6,1,23.2308,556174.316,5.5
i7320,6,1,118.4625,167598.1613,14.3265
i7321,7,1,226.233,53684.8055,12.2656
i7322,8,1,228.2499,55679.417,13.1268
i7323,6,1,104.0283,229475.9056,21.8653
i7324,7,1,129.4704,152403.1348,21.0079
i7325,5,1,40.581,394545.576,11.4759
i7326,5,1,85.9491,191333.683,11.5131
i7327,6,1,89.3025,140941.3611,6.3964
i7328,6,1,69.5952,205305.1379,5.5
i7329,7,1,80.5788,182529.6149,5.5
i7330,7,1,53.0226,267681.4392,5.5
i7331,5,1,119.8233,110287.3184,5.6455
i7332,6,1,74.3094,306670.9875,20.1595
i7333,7,1,164.9727,167680.773,30.8515
i7334,7,1,112.4604,243801.4606,25.9632
i7335,7,1,51.1272,532382.8204,25.0685
i7336,7,1,65.4399,482553.3075,29.713
i7337,4,1,68.5746,415180.0974,26.4298
i7338,3,1,153.2601,117207.6868,14.8198
i7339,4,1,81.9639,209807.1532,9.7919
i7340,5,1,40.6539,549609.8862,15.9525
i7341,5,1,60.7743,479546.9045,27.4198
i7342,6,1,48.843,773391.9899,38.9025
i7343,7,1,28.5282,1637758.6297,50.407
i7577,7,1,14.4099,11042823.9422,76.5377
i7578,6,1,28.8441,4859255.0212,64.2928
i7582,7,1,6.8283,9342173.6211,22.2951
i7583,8,1,12.4416,6544819.516,27.579
i7584,7,1,28.8198,1701615.4623,15.5232
i7585,7,1,25.9767,1050714.3308,5.5
i7622,8,1,19.7802,1782775.6915,28.0072
i7623,8,1,12.8304,1751442.7142,17.7988
i7626,10,1,3.888,2700068.9467,5.8357
i7627,9,1,9.7929,1601971.2092,5.5
i7636,9,1,9.1611,1540026.0914,5.5
i7646,10,1,8.6508,1149260.7805,5.5
i7647,9,1,56.6919,273388.7749,5.5
i7648,10,1,25.4241,938614.2935,17.1485
i7649,9,1,35.0163,664449.8972,17.7179
i7650,9,1,58.563,358691.8339,11.3795
i7651,8,1,73.1916,213510.1241,5.5
i7652,8,1,18.8568,587044.6451,6.1019
i7653,10,1,32.0031,391091.1779,6.3128
i7654,9,1,52.0263,300978.9261,7.6548
i7655,9,1,83.5677,235977.1507,13.0559
i7656,9,1,54.8451,252390.6034,7.1058
i7657,8,1,38.7585,391786.1235,8.8904
i7658,8,1,15.3819,848780.5452,5.5
i7659,10,1,14.1912,987765.0365,5.5
i7662,10,1,23.1336,522140.9303,5.5
i7667,9,1,8.6994,2925873.0251,11.8758
i7668,10,1,13.0627,914063.2782,5.5
i7669,10,1,15.309,726662.1644,5.5965
i7673,10,1,5.7348,1821023.0351,5.5
i7678,10,1,6.318,3482196.86,10.8704
i7679,9,1,6.0021,2164440.5572,5.5
i7680,10,1,18.9783,1034449.5618,8.6693
i7683,10,1,13.7052,971836.3587,9.9549
i7690,1,1,9.1611,3765521.9387,35.0896
i7691,1,1,143.5644,164045.3877,24.2863
i7692,1,1,173.988,102384.6993,20.2729
i7693,1,1,192.3102,92461.4209,17.9021
i7694,3,1,171.2664,116275.8453,15.6611
i7695,4,1,214.4961,70864.6039,19.6089
i7696,5,1,29.3826,346854.5766,6.2665
i7697,4,1,123.0293,30133.9467,5.5092
i7698,5,1,126.0927,87933.4023,5.7547
i7699,6,1,59.3406,239954.2252,7.6447
i7700,6,1,130.5396,137758.1602,13.0974
i7701,7,1,171.1449,100303.3406,15.7895
i7702,8,1,189.0297,84655.9112,18.8175
i7703,6,1,68.3316,269004.6327,16.7012
i7704,7,1,128.9358,132009.7853,11.0232
i7705,6,1,42.8895,375016.7843,8.3892
i7706,4,1,133.6986,118844.0827,10.7947
i7707,5,1,124.4646,102275.7479,5.5
i7708,6,1,75.4029,265725.1138,12.5601
i7709,7,1,53.1441,371533.5153,16.322
i7710,7,1,99.0225,201993.0205,13.712
i7711,6,1,138.8988,134163.9607,14.4395
i7712,6,1,97.1271,242980.0466,23.3857
i7713,6,1,101.8656,250355.3097,22.9767
i7714,6,1,59.2191,362299.4088,14.4059
i7715,7,1,34.2144,594523.6378,13.5485
i7716,6,1,87.8202,278392.9508,20.8817
i7717,3,1,59.2191,439822.4444,23.432
i7718,2,1,127.3563,134366.3458,12.002
i7719,4,1,115.9353,100495.4157,5.5
i7720,5,1,59.9488,328572.2168,12.992
i7721,5,1,77.5194,348019.6013,24.4593
i7722,6,1,34.0929,1055147.9325,36.2402
i7723,6,1,24.5916,1814921.4453,47.7229
i7725,7,1,34.6275,1551607.2202,52.0648
i7726,6,1,40.2651,1357535.4189,53.1304
i7729,8,1,5.9778,5362211.726,36.5834
i7731,6,1,30.9096,680508.7371,14.1962
i7957,8,1,22.6719,7816367.1002,83.9534
i7958,8,1,14.4585,10930195.6357,76.3049
i7960,7,1,5.7105,18476837.1873,54.6361
i7962,9,1,7.1442,14057609.3532,38.6283
i7963,6,1,19.197,4650434.2873,36.2883
i7964,7,1,20.8008,2780650.7814,29.248
i7965,6,1,23.085,1579448.5216,14.9241
i7966,7,1,6.9741,2306859.7373,8.0921
i7967,8,1,13.6211,1225184.4522,6.7756
i8005,10,1,0.0729,260660122.2295,16.1186
i8006,10,1,0.8991,24790523.5899,21.6895
i8007,10,1,6.1965,3136078.57,17.9804
i8011,10,1,0.6804,13012697.3205,6.3037
i8014,10,1,29.0142,597306.7176,6.2638
i8017,10,1,7.6302,2866398.4283,11.2394
i8027,9,1,34.1901,461766.3334,5.5
i8028,9,1,19.1484,995029.8512,19.217
i8029,10,1,14.9202,950860.6893,6.7948
i8030,10,1,87.8931,172595.4713,5.5
i8031,9,1,64.5894,319990.8733,13.712
i8032,10,1,23.7168,476379.3706,5.5246
i8033,10,1,34.3845,380417.0085,6.6664
i8034,10,1,57.0807,373374.3108,18.8356
i8035,9,1,83.8107,215143.0238,12.0121
i8036,9,1,56.862,221152.3736,5.5
i8037,8,1,8.7723,1737081.3484,14.7867
i8039,8,1,7.6059,1471405.0795,7.3001
i8047,8,1,7.0227,2878582.5105,8.8493
i8058,10,1,11.6397,1336670.8579,5.5
i8059,10,1,11.2509,1685449.5803,8.4302
i8060,10,1,21.5784,819623.1203,11.6841
i8061,10,1,17.7147,1157897.2223,5.5
i8071,1,1,30.2049,1192569.7455,36.0518
i8072,1,1,140.4054,213640.6481,32.3148
i8073,2,1,161.2062,174262.1595,31.3361
i8074,2,1,184.6071,111779.2181,25.352
i8075,4,1,227.9097,63840.5095,20.5493
i8076,6,1,136.1529,106500.0208,8.5601
i8077,6,1,62.2809,245266.4425,5.5
i8078,6,1,95.2317,152133.9593,8.861
i8079,6,1,47.0448,254964.8924,5.5
i8080,6,1,111.7557,117499.4132,5.5
i8081,7,1,107.5518,130943.8832,5.5
i8082,7,1,107.7462,133705.0251,6.6201
i8083,6,1,49.329,234058.0702,5.5
i8084,7,1,57.9798,239261.2422,5.5
i8085,6,1,30.8853,437194.005,5.5
i8086,5,1,36.2313,382751.0142,5.5
i8087,5,1,34.3359,397962.0798,5.5
i8088,6,1,80.7732,178235.356,5.5
i8089,6,1,78.2703,184154.6153,5.5
i8090,7,1,99.2655,142592.8377,6.4028
i8091,7,1,82.7172,205415.8477,8.1565
i8092,6,1,158.6061,83969.0544,9.221
i8093,6,1,106.4097,170556.3604,11.4567
i8094,6,1,107.5518,131238.0295,7.0046
i8095,6,1,35.5995,363274.5845,5.5
i8096,6,1,40.5567,512378.2462,16.1846
i8097,5,1,106.5798,158494.0732,5.5
i8098,3,1,150.8544,92836.1183,5.5
i8099,3,1,119.0943,134662.8978,5.5
i8100,4,1,65.4156,339293.4022,18.7281
i8101,4,1,52.1478,576239.4484,29.321
i8102,5,1,173.5421,201438.3576,40.7137
i8103,6,1,91.5879,496476.5534,47.4286
i8104,6,1,23.085,1954207.9309,42.4641
i8105,7,1,39.4875,1125074.437,40.6939
i8106,5,1,17.7147,2419168.9089,41.6104
i8109,8,1,8.7966,3262735.7242,31.7589
i8110,7,1,15.5763,1358926.0979,20.2917
i8111,6,1,22.3803,730717.7941,10.4965
i8112,5,1,86.994,146549.3223,5.5
i8113,6,1,135.4725,135484.3353,13.8637
i8114,5,1,167.67,102591.3058,17.3488
i8115,5,1,196.2954,81901.5063,14.9257
i8116,7,1,172.0683,113866.387,20.1037
i8117,6,1,164.9241,174629.0596,31.5337
i8118,7,1,95.013,439874.2634,43.1437
i8119,6,1,96.7383,526147.4119,54.6264
i8120,6,1,79.3152,549493.6445,43.7883
i8121,7,1,78.5862,461493.1689,34.9725
i8337,7,1,22.0644,9030951.9358,90.9681
i8338,7,1,5.8806,28134508.5821,79.3288
i8339,8,1,5.6376,26288588.5251,73.2758
i8340,8,1,8.748,15403588.3204,68.8919
i8342,7,1,10.2789,9012718.6928,44.3005
i8343,8,1,32.6349,2420856.6289,31.8399
i8344,7,1,33.7041,1502207.3438,17.5868
i8345,7,1,44.7363,942754.6249,8.0984
i8346,7,1,9.4284,1682536.4749,5.5
i8347,7,1,1.7354,3859682.0554,5.5
i8348,7,1,0.0,2508306.7133,5.5
i8383,8,1,8.0919,1378991.9909,5.5
i8384,10,1,1.0449,11798492.468,8.4212
i8385,9,1,1.7982,12626782.9881,14.0501
i8386,8,1,5.9778,4273548.9584,28.1062
i8387,10,1,18.0306,1034402.5392,19.2686
i8390,8,1,24.5505,513111.0034,5.5
i8391,9,1,0.3402,18836751.6603,5.5
i8394,10,1,13.9725,1018686.0327,6.2393
i8402,8,1,1.8468,4441884.8904,7.7321
i8403,7,1,19.9989,661450.0736,5.5
i8405,6,1,0.0,1650268.6006,5.5
i8406,9,1,0.0,1315189.0842,5.5
i8407,8,1,7.273,380657.2367,5.5
i8408,9,1,39.0015,389242.4564,5.5
i8409,9,1,65.367,234364.1397,5.5
i8410,9,1,110.2248,137517.8433,8.4648
i8411,10,1,21.2139,502062.2974,5.5
i8412,10,1,60.7257,201308.2082,5.5
i8413,10,1,29.889,418486.3746,6.2292
i8414,10,1,19.3671,815750.0233,12.8413
i8415,9,1,48.8916,442984.0046,20.2698
i8416,8,1,43.5213,458374.1541,16.5637
i8417,8,1,27.6291,841186.9362,21.9836
i8418,8,1,44.9307,433286.9823,10.9487
i8419,8,1,19.44,622285.7516,5.5
i8439,10,1,12.4902,2002374.9409,17.6124
i8440,9,1,12.7332,2183296.0816,24.4279
i8441,9,1,28.3338,645652.3686,10.2057
i8452,1,1,77.4198,499465.2044,41.9598
i8453,1,1,120.528,222872.7695,29.9488
i8454,5,1,127.5507,143937.9013,17.8542
i8455,6,1,98.8524,152447.2474,8.9175
i8456,7,1,52.7553,335239.078,12.6059
i8457,6,1,61.0659,242159.3766,5.5
i8458,6,1,67.311,252172.9884,8.2901
i8459,7,1,27.6048,479333.6898,5.5
i8460,7,1,42.8166,432485.7123,10.841
i8461,7,1,115.2549,126049.1908,7.1974
i8462,7,1,147.9384,78828.0901,5.5465
i8463,7,1,49.6206,272655.5445,5.5
i8464,7,1,109.3743,122981.1201,5.5
i8465,6,1,107.163,135040.5495,6.8746
i8466,5,1,78.0759,182094.1175,5.5
i8467,6,1,90.9306,128325.4998,5.5
i8468,6,1,59.5836,243351.2992,5.5
i8469,7,1,71.4663,204879.9966,5.5
i8470,7,1,88.2819,157509.0614,5.5
i8471,7,1,20.8737,491613.7008,5.5
i8472,6,1,40.7268,295773.0167,5.5
i8473,6,1,39.2445,327630.5668,5.5
i8474,6,1,46.0971,269173.9689,5.5
i8475,6,1,33.6555,410875.3104,7.1074
i8476,6,1,29.8404,561097.3437,5.5
i8477,6,1,69.4494,238444.6841,9.0101
i8478,6,1,190.026,77804.5517,13.1124
i8479,5,1,197.4375,93600.315,13.1938
i8480,5,1,82.134,339109.5848,19.3981
i8482,6,1,42.9624,761228.1106,31.1896
i8483,6,1,118.5354,298983.439,35.8714
i8484,6,1,58.4901,634884.2591,30.5276
i8485,6,1,41.6016,842397.7213,28.5029
i8486,6,1,55.9872,639202.1581,30.2177
i8487,7,1,44.1774,915745.7181,34.9522
i8488,7,1,8.4078,4303305.9277,40.8712
i8490,7,1,8.9181,2092628.2976,19.0193
i8493,5,1,29.4759,401215.7686,5.5
i8494,6,1,101.4474,158625.2638,9.5347
i8495,5,1,139.977,72757.1987,5.5
i8496,6,1,158.9062,117717.9216,15.332
i8497,7,1,157.707,162959.8714,26.762
i8498,7,1,128.8629,287033.268,38.2447
i8499,5,1,107.9892,440927.7264,49.892
i8500,6,1,143.5401,251823.9885,38.9792
i8501,7,1,113.1651,255739.0497,27.4065
i8502,6,1,63.5202,357211.335,18.8234
i8503,6,1,98.3664,222249.4841,15.3783
i8504,6,1,79.704,301129.1852,20.0228
i8505,7,1,14.9931,1849242.1261,28.5467
i8513,6,1,9.6471,1236493.568,8.7865
i8716,8,1,38.6856,6252275.5035,110.7341
i8717,8,1,34.02,6429838.2542,99.3893
i8722,7,1,5.7834,14707931.8949,38.0691
i8724,7,1,36.3285,1103785.2574,13.9187
i8725,7,1,24.7617,1063266.1573,9.3547
i8726,7,1,18.2007,1479889.851,11.593
i8727,7,1,0.0,3441592.949,6.1738
i8728,7,1,0.0,2633694.2282,5.792
i8764,10,1,10.2303,1308217.0213,5.5
i8765,8,1,3.1833,6959162.1589,15.7123
i8766,9,1,21.4083,1017251.6955,12.7257
i8767,10,1,33.9228,694271.5604,8.8365
i8768,9,1,5.5161,1388203.6729,5.5
i8769,9,1,0.1701,38064524.6984,5.5
i8770,7,1,38.151,509425.2268,7.3811
i8771,8,1,28.3581,744625.6149,16.5803
i8772,10,1,24.0327,587994.8995,5.8357
i8773,10,1,18.5166,754755.8664,7.0648
i8774,9,1,17.4231,1512890.2879,19.3096
i8782,7,1,3.8637,3788471.0495,7.9121
i8783,7,1,57.5181,228595.1014,5.5
i8784,8,1,24.3243,510359.4095,5.5
i8785,8,1,0.0,1166181.788,5.5
i8786,6,1,0.0,1113458.0644,5.5
i8787,10,1,10.8864,1375911.868,6.0684
i8789,9,1,18.3222,597405.1873,5.5
i8790,9,1,23.8626,506237.4314,7.1921
i8792,10,1,15.8599,699359.9185,5.5
i8793,9,1,17.7876,568534.3114,5.8628
i8794,9,1,12.4416,957187.6448,5.5
i8796,8,1,58.6359,318696.8717,9.4165
i8797,8,1,124.2945,241210.3669,32.9082
i8798,8,1,96.3738,149770.4198,5.5
i8799,8,1,86.5566,180874.0528,6.0748
i8819,10,1,13.4865,2732106.327,31.359
i8820,8,1,14.3127,2331726.6344,28.5291
i8821,10,1,46.9476,650982.8751,22.5368
i8822,10,1,24.4701,1228469.767,19.5013
i8832,1,1,20.0232,1672111.8173,40.8968
i8834,3,1,22.1859,760233.9575,16.3848
i8835,6,1,86.3622,147857.2309,5.5
i8836,6,1,39.609,374614.3998,5.5
i8837,6,1,42.768,320749.5572,5.5
i8838,7,1,46.4616,250777.7952,5.5
i8839,7,1,72.6813,199236.3596,5.5
i8840,6,1,101.817,196376.0106,16.5739
i8841,6,1,115.8867,219259.695,27.3595
i8842,7,1,94.3326,215136.0929,15.7495
i8843,7,1,61.8921,314254.832,9.3893
i8844,7,1,46.5345,294668.1366,5.5
i8845,6,1,102.303,191999.4143,13.4431
i8846,6,1,69.9354,277774.8431,18.6216
i8847,6,1,80.2872,243040.3851,15.6547
i8848,6,1,74.7711,271089.458,13.3147
i8849,7,1,104.1984,167267.9297,10.6787
i8850,8,1,70.4214,174152.4412,5.5
i8851,7,1,23.9355,551436.0696,5.5
i8852,5,1,32.0517,471909.102,5.5
i8853,4,1,41.2857,364131.2892,5.5
i8854,4,1,50.8842,244757.9635,5.5
i8855,5,1,79.3638,227797.3725,5.5
i8856,6,1,91.7811,193065.6926,5.5
i8857,7,1,34.5546,354805.6974,5.5
i8858,7,1,81.7938,201263.6396,8.9228
i8859,6,1,113.1894,182019.1362,9.1976
i8860,6,1,116.0325,216406.6653,14.0129
i8861,5,1,74.3094,303155.0401,18.3121
i8862,5,1,69.8625,336256.7539,19.7069
i8863,6,1,38.394,712609.0638,19.1413
i8864,6,1,6.8526,3297324.3254,18.6966
i8865,7,1,17.739,1309461.9288,17.0729
i8866,7,1,37.0575,717517.9456,18.6977
i8867,6,1,37.7379,804650.0991,23.1785
i8868,7,1,45.1008,765995.5316,27.5455
i8874,6,1,117.2475,138879.9159,10.4193
i8875,6,1,133.407,116800.9138,10.5529
i8876,6,1,121.4271,170624.7972,18.277
i8877,6,1,155.9331,176857.1166,29.797
i8878,7,1,141.9849,268416.4583,41.3543
i8879,5,1,69.2307,658977.1644,45.8612
i8880,6,1,126.6752,270023.2762,34.2448
i8881,7,1,91.1007,281560.3246,22.6875
i8882,7,1,66.6792,276269.0218,11.1675
i8883,7,1,66.582,192647.8895,5.5
i8884,6,1,126.3114,140591.7877,12.255
