,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p20,0,0,0.177,1.015,2.257,2.69,3.244,3.719,4.228,4.728,5.002,5.352,5.609,5.793,5.944,6.089,6.14,6.338,6.511,6.707,7.118
p21,0,0,0.098,0.262,0.964,1.493,1.977,2.448,3.008,3.69,4.381,5.305,6.364,7.567,8.923,10.455,12.085,13.962,16.027,18.223,20.666
p22,0,0,0.002,0.005,0.049,0.095,0.15,0.177,0.212,0.241,0.257,0.288,0.32,0.361,0.424,0.499,0.582,0.682,0.796,0.927,1.082
p23,0,0,0.021,0.07,0.244,0.413,0.597,0.739,0.903,1.071,1.223,1.449,1.709,1.996,2.315,2.688,3.084,3.525,3.999,4.538,5.169
p24,0,0,0.232,0.75,1.943,2.972,4.163,5.313,6.58,7.9,9.265,11.014,12.987,15.198,17.648,20.464,23.433,26.778,30.261,34.039,38.243
p25,0,0,16.557,156.365,294.896,364.364,372.318,373.173,373.406,373.485,373.487,373.543,373.604,373.654,373.689,373.726,373.734,373.775,373.817,373.856,373.955
p26,0,0,1.035,9.147,18.065,22.235,22.605,22.622,22.63,22.632,22.634,22.635,22.636,22.637,22.637,22.637,22.637,22.638,22.638,22.675,22.718
p27,0.432030983,12.67567255,20.424,33.997,51.133,54.626,54.759,54.766,54.779,54.794,54.794,54.817,54.835,54.854,54.866,54.884,54.897,54.985,55.132,55.339,55.671
p28,7.941410686,257.0910799,476.54,736.095,1058.603,1168.082,1237.737,1289.025,1335.704,1375.259,1400.466,1427.44,1447.915,1463.381,1474.588,1483.039,1493.655,1505.118,1518.156,1529.411,1545.177
p29,0.033362992,3.953283745,4.655,7.198,10.088,10.673,11.001,11.173,11.297,11.384,11.397,11.479,11.543,11.597,11.635,11.675,11.686,11.757,11.814,11.874,11.96
p3,0.075701514,1.7785297,7.472,18.147,36.509,41.034,41.128,41.135,41.162,41.176,50.062,59.097,61.761,62.835,62.899,62.963,63.132,63.828,65.359,65.366,65.367
