,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
p26,0.004,0.446,0.446,0.052,0.0,0.379,0.369,0.014,0.0,0.216,0.236,0.003,0.002,0.399,0.411,0.039,0.402
p27,0.001,0.386,0.541,0.063,0.0,0.363,0.459,0.019,0.0,0.284,0.388,0.008,0.0,0.403,0.543,0.049,0.454
p28,0.0,0.405,0.492,0.043,0.0,0.391,0.422,0.012,0.0,0.309,0.371,0.005,0.0,0.435,0.521,0.035,0.391
p29,0.003,0.393,0.423,0.043,0.0,0.4,0.418,0.013,0.0,0.323,0.392,0.005,0.001,0.441,0.519,0.038,0.305
p3,0.007,0.437,0.432,0.035,0.0,0.349,0.285,0.003,0.0,0.165,0.148,0.0,0.003,0.374,0.341,0.018,0.408
p30,0.0,0.414,0.457,0.036,0.0,0.403,0.407,0.011,0.0,0.335,0.384,0.005,0.0,0.456,0.517,0.032,0.316
p31,0.002,0.462,0.423,0.03,0.0,0.436,0.382,0.006,0.0,0.358,0.345,0.002,0.001,0.472,0.466,0.023,0.351
p32,0.007,0.42,0.403,0.036,0.0,0.345,0.306,0.005,0.0,0.245,0.261,0.001,0.004,0.394,0.389,0.021,0.405
p33,0.005,0.453,0.364,0.028,0.0,0.397,0.314,0.005,0.0,0.29,0.271,0.001,0.002,0.426,0.371,0.019,0.314
p34,0.005,0.468,0.377,0.029,0.0,0.418,0.339,0.006,0.0,0.312,0.292,0.001,0.003,0.454,0.404,0.022,0.362
p35,0.005,0.434,0.421,0.036,0.0,0.331,0.288,0.004,0.0,0.175,0.182,0.0,0.003,0.385,0.377,0.02,0.443
p36,0.002,0.363,0.471,0.073,0.0,0.265,0.334,0.016,0.0,0.12,0.219,0.004,0.001,0.315,0.42,0.046,0.451
p37,0.002,0.358,0.434,0.057,0.0,0.278,0.319,0.012,0.0,0.134,0.217,0.003,0.001,0.327,0.409,0.037,0.402
p38,0.002,0.371,0.45,0.053,0.0,0.295,0.332,0.011,0.0,0.178,0.252,0.003,0.001,0.339,0.415,0.034,0.416
p39,0.006,0.452,0.414,0.026,0.0,0.384,0.312,0.003,0.0,0.255,0.249,0.0,0.003,0.412,0.374,0.015,0.392
p4,0.005,0.467,0.455,0.037,0.0,0.358,0.297,0.003,0.0,0.169,0.156,0.0,0.002,0.399,0.372,0.019,0.412
p40,0.001,0.357,0.486,0.062,0.0,0.307,0.395,0.018,0.0,0.208,0.321,0.007,0.0,0.335,0.443,0.041,0.444
p41,0.001,0.364,0.465,0.052,0.0,0.308,0.372,0.012,0.0,0.201,0.286,0.003,0.0,0.339,0.418,0.034,0.429
p42,0.003,0.362,0.42,0.052,0.0,0.261,0.288,0.009,0.0,0.129,0.184,0.002,0.001,0.328,0.392,0.033,0.424
p43,0.003,0.362,0.42,0.047,0.0,0.268,0.298,0.008,0.0,0.165,0.218,0.001,0.001,0.331,0.384,0.029,0.388
p44,0.002,0.359,0.433,0.052,0.0,0.284,0.323,0.01,0.0,0.162,0.24,0.003,0.001,0.327,0.396,0.034,0.431
p45,0.002,0.358,0.44,0.049,0.0,0.293,0.344,0.01,0.0,0.179,0.258,0.003,0.001,0.333,0.411,0.032,0.419
p46,0.005,0.351,0.393,0.044,0.0,0.267,0.279,0.007,0.0,0.168,0.208,0.001,0.002,0.327,0.362,0.027,0.362
p47,0.003,0.446,0.412,0.029,0.0,0.418,0.362,0.008,0.0,0.348,0.334,0.003,0.001,0.462,0.436,0.022,0.396
p48,0.0,0.364,0.529,0.071,0.0,0.327,0.459,0.03,0.0,0.267,0.426,0.018,0.0,0.365,0.53,0.057,0.465
p49,0.0,0.373,0.517,0.064,0.0,0.333,0.445,0.025,0.0,0.263,0.404,0.014,0.0,0.365,0.508,0.049,0.492
p5,0.004,0.376,0.458,0.055,0.0,0.281,0.296,0.007,0.0,0.13,0.147,0.001,0.001,0.294,0.333,0.028,0.427
p50,0.0,0.361,0.48,0.049,0.0,0.32,0.392,0.014,0.0,0.254,0.35,0.007,0.0,0.334,0.441,0.035,0.416
p51,0.001,0.355,0.451,0.042,0.0,0.31,0.361,0.01,0.0,0.237,0.307,0.004,0.0,0.329,0.408,0.027,0.403
p52,0.001,0.367,0.52,0.07,0.0,0.321,0.434,0.025,0.0,0.241,0.389,0.012,0.0,0.348,0.489,0.05,0.503
p53,0.001,0.35,0.467,0.052,0.0,0.31,0.378,0.014,0.0,0.236,0.333,0.006,0.0,0.328,0.424,0.036,0.423
p54,0.001,0.33,0.43,0.049,0.0,0.298,0.351,0.011,0.0,0.21,0.283,0.003,0.001,0.317,0.383,0.031,0.402
p55,0.001,0.353,0.426,0.042,0.0,0.313,0.349,0.01,0.0,0.215,0.275,0.003,0.001,0.321,0.388,0.028,0.397
p56,0.001,0.352,0.432,0.041,0.0,0.303,0.346,0.009,0.0,0.222,0.275,0.003,0.0,0.318,0.389,0.026,0.386
p57,0.001,0.361,0.427,0.037,0.0,0.307,0.35,0.01,0.0,0.229,0.293,0.004,0.0,0.317,0.399,0.027,0.379
p58,0.001,0.367,0.33,0.021,0.0,0.339,0.301,0.005,0.0,0.27,0.269,0.002,0.001,0.366,0.365,0.018,0.31
p59,0.001,0.422,0.455,0.031,0.0,0.405,0.424,0.008,0.0,0.352,0.395,0.003,0.0,0.449,0.512,0.026,0.417
p6,0.006,0.456,0.45,0.054,0.0,0.35,0.306,0.009,0.0,0.166,0.169,0.001,0.002,0.361,0.348,0.03,0.434
p60,0.0,0.353,0.51,0.067,0.0,0.32,0.439,0.027,0.0,0.253,0.4,0.015,0.0,0.347,0.507,0.052,0.412
p61,0.0,0.352,0.487,0.055,0.0,0.328,0.431,0.023,0.0,0.271,0.413,0.015,0.0,0.354,0.505,0.047,0.405
p62,0.0,0.359,0.512,0.066,0.0,0.334,0.45,0.031,0.0,0.262,0.41,0.018,0.0,0.366,0.526,0.055,0.434
p63,0.0,0.348,0.455,0.049,0.0,0.299,0.379,0.016,0.0,0.23,0.33,0.008,0.0,0.306,0.43,0.037,0.412
p64,0.0,0.343,0.437,0.045,0.0,0.295,0.375,0.018,0.0,0.228,0.33,0.01,0.0,0.293,0.417,0.036,0.383
p65,0.0,0.33,0.455,0.048,0.0,0.294,0.399,0.02,0.0,0.218,0.346,0.012,0.0,0.288,0.44,0.037,0.391
p66,0.0,0.345,0.386,0.031,0.0,0.32,0.346,0.009,0.0,0.239,0.297,0.005,0.0,0.316,0.394,0.025,0.359
p67,0.0,0.321,0.408,0.04,0.0,0.29,0.358,0.012,0.0,0.212,0.302,0.007,0.0,0.296,0.408,0.033,0.369
p68,0.003,0.37,0.398,0.041,0.0,0.289,0.292,0.008,0.0,0.169,0.21,0.002,0.002,0.338,0.354,0.026,0.373
p69,0.003,0.366,0.408,0.04,0.0,0.293,0.3,0.006,0.0,0.175,0.217,0.001,0.001,0.338,0.378,0.024,0.391
p7,0.006,0.429,0.491,0.067,0.0,0.351,0.376,0.016,0.0,0.167,0.211,0.004,0.002,0.367,0.421,0.043,0.434
p70,0.003,0.352,0.422,0.043,0.0,0.299,0.323,0.009,0.0,0.184,0.238,0.002,0.001,0.328,0.382,0.028,0.392
p71,0.002,0.359,0.407,0.036,0.0,0.316,0.314,0.007,0.0,0.209,0.241,0.001,0.001,0.34,0.365,0.022,0.35
p72,0.003,0.373,0.396,0.033,0.0,0.33,0.308,0.006,0.0,0.219,0.235,0.001,0.001,0.347,0.357,0.02,0.41
p73,0.002,0.365,0.397,0.036,0.0,0.32,0.331,0.007,0.0,0.211,0.242,0.001,0.001,0.335,0.368,0.023,0.378
p74,0.004,0.334,0.424,0.066,0.0,0.233,0.284,0.016,0.0,0.139,0.206,0.004,0.002,0.308,0.388,0.045,0.413
p75,0.005,0.395,0.372,0.029,0.0,0.3,0.24,0.003,0.0,0.18,0.173,0.0,0.003,0.367,0.349,0.017,0.383
p76,0.005,0.385,0.357,0.029,0.0,0.309,0.249,0.004,0.0,0.181,0.185,0.0,0.003,0.361,0.34,0.017,0.348
p77,0.004,0.366,0.374,0.03,0.0,0.316,0.291,0.004,0.0,0.199,0.219,0.001,0.002,0.352,0.361,0.019,0.354
p78,0.005,0.377,0.386,0.031,0.0,0.319,0.29,0.005,0.0,0.183,0.191,0.0,0.002,0.353,0.354,0.019,0.394
p79,0.005,0.396,0.35,0.025,0.0,0.334,0.253,0.003,0.0,0.209,0.19,0.0,0.003,0.369,0.337,0.015,0.372
p8,0.004,0.493,0.492,0.04,0.0,0.409,0.36,0.006,0.0,0.225,0.227,0.001,0.002,0.422,0.417,0.023,0.448
p80,0.005,0.389,0.362,0.027,0.0,0.31,0.253,0.003,0.0,0.191,0.179,0.0,0.002,0.355,0.325,0.015,0.359
p81,0.003,0.377,0.387,0.032,0.0,0.322,0.289,0.005,0.0,0.206,0.209,0.001,0.002,0.345,0.347,0.019,0.409
p82,0.004,0.374,0.384,0.032,0.0,0.318,0.286,0.004,0.0,0.207,0.211,0.0,0.002,0.347,0.345,0.017,0.388
p83,0.004,0.376,0.387,0.031,0.0,0.329,0.287,0.004,0.0,0.206,0.204,0.001,0.002,0.344,0.343,0.018,0.404
p84,0.002,0.38,0.387,0.031,0.0,0.335,0.316,0.006,0.0,0.234,0.244,0.001,0.001,0.353,0.361,0.02,0.374
p85,0.001,0.358,0.412,0.034,0.0,0.31,0.334,0.007,0.0,0.228,0.268,0.002,0.001,0.327,0.388,0.023,0.389
p86,0.001,0.374,0.379,0.024,0.0,0.332,0.323,0.005,0.0,0.258,0.273,0.002,0.0,0.351,0.379,0.018,0.359
p87,0.001,0.385,0.352,0.02,0.0,0.348,0.298,0.003,0.0,0.271,0.257,0.001,0.001,0.372,0.365,0.015,0.334
p88,0.002,0.385,0.367,0.022,0.0,0.332,0.294,0.003,0.0,0.254,0.243,0.001,0.001,0.364,0.365,0.015,0.372
p89,0.003,0.391,0.336,0.019,0.0,0.346,0.267,0.002,0.0,0.262,0.222,0.001,0.002,0.368,0.338,0.013,0.338
p9,0.003,0.46,0.483,0.04,0.0,0.382,0.352,0.006,0.0,0.224,0.217,0.001,0.001,0.42,0.427,0.024,0.429
p90,0.003,0.384,0.331,0.017,0.0,0.346,0.271,0.002,0.0,0.284,0.244,0.001,0.002,0.388,0.351,0.013,0.3
p91,0.003,0.378,0.33,0.015,0.0,0.351,0.278,0.002,0.0,0.293,0.249,0.001,0.002,0.405,0.371,0.012,0.258
p92,0.002,0.364,0.376,0.032,0.0,0.324,0.309,0.007,0.0,0.232,0.247,0.003,0.001,0.34,0.363,0.023,0.375
p93,0.004,0.387,0.345,0.024,0.0,0.341,0.27,0.003,0.0,0.236,0.209,0.001,0.002,0.361,0.324,0.015,0.358
p94,0.0,0.336,0.409,0.045,0.0,0.294,0.351,0.016,0.0,0.237,0.314,0.009,0.0,0.334,0.421,0.039,0.394
p95,0.001,0.356,0.394,0.038,0.0,0.318,0.333,0.012,0.0,0.264,0.302,0.006,0.0,0.351,0.395,0.032,0.319
p96,0.001,0.357,0.378,0.035,0.0,0.309,0.314,0.01,0.0,0.258,0.294,0.005,0.0,0.364,0.398,0.031,0.336
p97,0.001,0.348,0.384,0.04,0.0,0.306,0.32,0.012,0.0,0.249,0.288,0.006,0.0,0.344,0.383,0.033,0.316
p98,0.001,0.356,0.387,0.035,0.0,0.304,0.307,0.008,0.0,0.243,0.277,0.003,0.001,0.352,0.38,0.027,0.345
p99,0.002,0.356,0.366,0.035,0.0,0.31,0.292,0.007,0.0,0.239,0.258,0.002,0.001,0.348,0.361,0.026,0.348
