rs,rb,st,rto,interconnect,country,cendiv
s55,p29,az,rto3,wscc,usa,MTN
s56,p28,az,rto3,wscc,usa,MTN
s57,p28,az,rto3,wscc,usa,MTN
s58,p30,az,rto3,wscc,usa,MTN
s59,p28,az,rto3,wscc,usa,MTN
s60,p17,mt,rto1,wscc,usa,MTN
s61,p17,mt,rto1,wscc,usa,MTN
s62,p17,mt,rto1,wscc,usa,MTN
s63,p17,mt,rto1,wscc,usa,MTN
s64,p18,mt,rto2,wscc,usa,MTN
s65,p18,mt,rto2,wscc,usa,MTN
s66,p20,mt,rto2,wscc,usa,MTN
s67,p18,mt,rto2,wscc,usa,MTN
s68,p19,mt,rto2,wscc,usa,MTN
s69,p20,mt,rto2,wscc,usa,MTN
s70,p21,wy,rto2,wscc,usa,MTN
s71,p21,wy,rto2,wscc,usa,MTN
s72,p22,wy,rto2,wscc,usa,MTN
s73,p23,wy,rto5,wscc,usa,MTN
s74,p24,wy,rto5,wscc,usa,MTN
s75,p33,co,rto5,wscc,usa,MTN
s76,p33,co,rto5,wscc,usa,MTN
s77,p34,co,rto5,wscc,usa,MTN
s78,p34,co,rto5,wscc,usa,MTN
s79,p33,co,rto5,wscc,usa,MTN
s80,p33,co,rto5,wscc,usa,MTN
s81,p33,co,rto5,wscc,usa,MTN
s82,p33,co,rto5,wscc,usa,MTN
s83,p34,co,rto5,wscc,usa,MTN
s84,p34,co,rto5,wscc,usa,MTN
s85,p33,co,rto5,wscc,usa,MTN
s86,p34,co,rto5,wscc,usa,MTN
s87,p34,co,rto5,wscc,usa,MTN
s88,p31,nm,rto3,wscc,usa,MTN
s89,p31,nm,rto3,wscc,usa,MTN
s90,p31,nm,rto3,wscc,usa,MTN
s91,p31,nm,rto3,wscc,usa,MTN
s92,p31,nm,rto3,wscc,usa,MTN
s93,p31,nm,rto3,wscc,usa,MTN
s94,p59,tx,rto3,wscc,usa,MTN
s95,p32,sd,rto5,wscc,usa,MTN
s96,p35,mt,rto11,eastern,usa,WNC
s97,p36,nd,rto11,eastern,usa,WNC
s98,p36,nd,rto11,eastern,usa,WNC
s99,p37,nd,rto11,eastern,usa,WNC
s100,p36,nd,rto11,eastern,usa,WNC
s101,p36,nd,rto11,eastern,usa,WNC
s102,p37,nd,rto11,eastern,usa,WNC
s103,p37,nd,rto11,eastern,usa,WNC
s104,p38,sd,rto11,eastern,usa,WNC
s105,p38,sd,rto11,eastern,usa,WNC
s106,p38,sd,rto11,eastern,usa,WNC
s107,p38,sd,rto11,eastern,usa,WNC
s108,p38,sd,rto11,eastern,usa,WNC
s109,p38,sd,rto11,eastern,usa,WNC
s110,p38,sd,rto11,eastern,usa,WNC
s111,p38,sd,rto11,eastern,usa,WNC
s112,p38,sd,rto11,eastern,usa,WNC
s113,p38,sd,rto11,eastern,usa,WNC
s114,p39,ne,rto8,eastern,usa,WNC
s115,p39,ne,rto8,eastern,usa,WNC
s116,p40,ne,rto8,eastern,usa,WNC
s117,p40,ne,rto8,eastern,usa,WNC
s118,p40,ne,rto8,eastern,usa,WNC
s119,p41,ne,rto8,eastern,usa,WNC
s120,p42,mn,rto11,eastern,usa,WNC
s121,p43,mn,rto11,eastern,usa,WNC
s122,p44,mn,rto11,eastern,usa,WNC
s123,p44,mn,rto11,eastern,usa,WNC
s124,p43,mn,rto11,eastern,usa,WNC
s125,p43,mn,rto11,eastern,usa,WNC
s126,p43,mn,rto11,eastern,usa,WNC
s127,p43,mn,rto11,eastern,usa,WNC
s128,p43,mn,rto11,eastern,usa,WNC
s129,p46,wi,rto11,eastern,usa,ENC
s130,p46,wi,rto11,eastern,usa,ENC
s131,p46,wi,rto11,eastern,usa,ENC
s132,p45,ia,rto6,eastern,usa,WNC
s133,p69,ia,rto6,eastern,usa,WNC
s134,p45,ia,rto6,eastern,usa,WNC
s13,p5,or,rto1,wscc,usa,PA
s135,p52,ks,rto8,eastern,usa,WNC
s136,p53,ks,rto8,eastern,usa,WNC
s137,p53,ks,rto8,eastern,usa,WNC
s138,p53,ks,rto8,eastern,usa,WNC
s139,p53,ks,rto8,eastern,usa,WNC
s140,p53,ks,rto8,eastern,usa,WNC
s141,p53,ks,rto8,eastern,usa,WNC
s142,p53,ks,rto8,eastern,usa,WNC
s143,p53,ks,rto8,eastern,usa,WNC
s144,p54,mo,rto8,eastern,usa,WNC
s145,p54,mo,rto8,eastern,usa,WNC
s146,p55,mo,rto8,eastern,usa,WNC
s147,p55,mo,rto8,eastern,usa,WNC
s148,p47,nm,rto8,eastern,usa,WSC
s149,p48,tx,rto8,eastern,usa,WSC
s150,p48,tx,rto8,eastern,usa,WSC
s151,p57,tx,rto8,eastern,usa,WSC
s152,p49,ok,rto8,eastern,usa,WSC
s153,p50,ok,rto8,eastern,usa,WSC
s154,p50,ok,rto8,eastern,usa,WSC
s155,p50,ok,rto8,eastern,usa,WSC
s156,p50,ok,rto8,eastern,usa,WSC
s157,p51,ok,rto8,eastern,usa,WSC
s158,p50,ok,rto8,eastern,usa,WSC
s159,p56,ar,rto8,eastern,usa,WSC
s160,p56,ar,rto8,eastern,usa,WSC
s161,p58,la,rto13,eastern,usa,WSC
s162,p58,la,rto13,eastern,usa,WSC
s163,p61,tx,rto10,texas,usa,WSC
s164,p62,tx,rto10,texas,usa,WSC
s165,p60,tx,rto10,texas,usa,WSC
s166,p61,tx,rto10,texas,usa,WSC
s167,p63,tx,rto10,texas,usa,WSC
s168,p63,tx,rto10,texas,usa,WSC
s169,p63,tx,rto10,texas,usa,WSC
s170,p63,tx,rto10,texas,usa,WSC
s171,p64,tx,rto10,texas,usa,WSC
s172,p65,tx,rto10,texas,usa,WSC
s173,p65,tx,rto10,texas,usa,WSC
s174,p65,tx,rto10,texas,usa,WSC
s175,p67,tx,rto10,texas,usa,WSC
s176,p68,mn,rto11,eastern,usa,WNC
s177,p69,ia,rto6,eastern,usa,WNC
s178,p70,ia,rto6,eastern,usa,WNC
s179,p70,ia,rto6,eastern,usa,WNC
s180,p70,ia,rto6,eastern,usa,WNC
s181,p70,ia,rto6,eastern,usa,WNC
s182,p70,ia,rto6,eastern,usa,WNC
s183,p70,ia,rto6,eastern,usa,WNC
s184,p71,mo,rto6,eastern,usa,WNC
s185,p72,mo,rto6,eastern,usa,WNC
s186,p73,mo,rto13,eastern,usa,WNC
s187,p84,mo,rto13,eastern,usa,WNC
s188,p84,mo,rto13,eastern,usa,WNC
s189,p72,mo,rto6,eastern,usa,WNC
s190,p72,mo,rto6,eastern,usa,WNC
s191,p74,mi,rto6,eastern,usa,ENC
s192,p75,wi,rto6,eastern,usa,ENC
s193,p76,wi,rto6,eastern,usa,ENC
s194,p77,wi,rto11,eastern,usa,ENC
s195,p78,wi,rto6,eastern,usa,ENC
s196,p76,wi,rto6,eastern,usa,ENC
s197,p75,wi,rto6,eastern,usa,ENC
s198,p79,wi,rto6,eastern,usa,ENC
s199,p80,il,rto7,eastern,usa,ENC
s200,p81,il,rto6,eastern,usa,ENC
s201,p81,il,rto6,eastern,usa,ENC
s202,p81,il,rto6,eastern,usa,ENC
s203,p82,il,rto6,eastern,usa,ENC
s204,p81,il,rto6,eastern,usa,ENC
s205,p81,il,rto6,eastern,usa,ENC
s206,p80,il,rto7,eastern,usa,ENC
s207,p80,il,rto7,eastern,usa,ENC
s208,p83,il,rto6,eastern,usa,ENC
s209,p83,il,rto6,eastern,usa,ENC
s210,p83,il,rto6,eastern,usa,ENC
s211,p103,mi,rto6,eastern,usa,ENC
s212,p103,mi,rto6,eastern,usa,ENC
s213,p104,mi,rto7,eastern,usa,ENC
s214,p103,mi,rto6,eastern,usa,ENC
s215,p103,mi,rto6,eastern,usa,ENC
s216,p103,mi,rto6,eastern,usa,ENC
s217,p103,mi,rto6,eastern,usa,ENC
s218,p103,mi,rto6,eastern,usa,ENC
s219,p105,in,rto6,eastern,usa,ENC
s220,p105,in,rto6,eastern,usa,ENC
s221,p105,in,rto6,eastern,usa,ENC
s222,p105,in,rto6,eastern,usa,ENC
s223,p106,in,rto6,eastern,usa,ENC
s224,p107,in,rto6,eastern,usa,ENC
s225,p105,in,rto6,eastern,usa,ENC
s226,p105,in,rto6,eastern,usa,ENC
s227,p111,oh,rto7,eastern,usa,ENC
s228,p112,oh,rto7,eastern,usa,ENC
s229,p112,oh,rto7,eastern,usa,ENC
s230,p113,oh,rto7,eastern,usa,ENC
s231,p114,oh,rto7,eastern,usa,ENC
s232,p112,oh,rto7,eastern,usa,ENC
s233,p112,oh,rto7,eastern,usa,ENC
s234,p111,oh,rto7,eastern,usa,ENC
s235,p112,oh,rto7,eastern,usa,ENC
s236,p108,ky,rto6,eastern,usa,ESC
s237,p109,ky,rto7,eastern,usa,ESC
s238,p109,ky,rto7,eastern,usa,ESC
s239,p109,ky,rto7,eastern,usa,ESC
s240,p109,ky,rto7,eastern,usa,ESC
s241,p109,ky,rto7,eastern,usa,ESC
s242,p110,ky,rto7,eastern,usa,ESC
s243,p118,va,rto7,eastern,usa,SA
s244,p118,va,rto7,eastern,usa,SA
s245,p118,va,rto7,eastern,usa,SA
s246,p117,wv,rto7,eastern,usa,SA
s247,p117,wv,rto7,eastern,usa,SA
s248,p117,wv,rto7,eastern,usa,SA
s249,p116,wv,rto7,eastern,usa,SA
s250,p116,wv,rto7,eastern,usa,SA
s251,p115,pa,rto7,eastern,usa,MA
s252,p115,pa,rto7,eastern,usa,MA
s253,p121,md,rto7,eastern,usa,SA
s254,p120,pa,rto7,eastern,usa,MA
s255,p119,pa,rto12,eastern,usa,MA
s256,p66,tx,rto13,eastern,usa,WSC
s257,p85,ar,rto13,eastern,usa,WSC
s258,p85,ar,rto13,eastern,usa,WSC
s259,p85,ar,rto13,eastern,usa,WSC
s260,p86,la,rto13,eastern,usa,WSC
s261,p58,la,rto13,eastern,usa,WSC
s262,p87,ms,rto13,eastern,usa,ESC
s263,p88,ms,rto14,eastern,usa,ESC
s264,p87,ms,rto13,eastern,usa,ESC
s265,p89,al,rto14,eastern,usa,ESC
s266,p89,al,rto14,eastern,usa,ESC
s267,p90,al,rto9,eastern,usa,ESC
s268,p90,al,rto9,eastern,usa,ESC
s269,p91,fl,rto9,eastern,usa,SA
s270,p91,fl,rto9,eastern,usa,SA
s271,p91,fl,rto9,eastern,usa,SA
s272,p94,ga,rto9,eastern,usa,SA
s273,p94,ga,rto9,eastern,usa,SA
s274,p94,ga,rto9,eastern,usa,SA
s275,p94,ga,rto9,eastern,usa,SA
s276,p92,tn,rto14,eastern,usa,ESC
s277,p92,tn,rto14,eastern,usa,ESC
s278,p92,tn,rto14,eastern,usa,ESC
s279,p92,tn,rto14,eastern,usa,ESC
s280,p92,tn,rto14,eastern,usa,ESC
s281,p92,tn,rto14,eastern,usa,ESC
s282,p92,tn,rto14,eastern,usa,ESC
s283,p92,tn,rto14,eastern,usa,ESC
s284,p92,tn,rto14,eastern,usa,ESC
s285,p92,tn,rto14,eastern,usa,ESC
s286,p93,ky,rto14,eastern,usa,ESC
s287,p93,ky,rto14,eastern,usa,ESC
s288,p97,nc,rto15,eastern,usa,SA
s289,p97,nc,rto15,eastern,usa,SA
s290,p97,nc,rto15,eastern,usa,SA
s291,p98,nc,rto15,eastern,usa,SA
s292,p98,nc,rto15,eastern,usa,SA
s293,p98,nc,rto15,eastern,usa,SA
s294,p98,nc,rto15,eastern,usa,SA
s295,p95,sc,rto15,eastern,usa,SA
s296,p96,sc,rto15,eastern,usa,SA
s297,p96,sc,rto15,eastern,usa,SA
s298,p96,sc,rto15,eastern,usa,SA
s299,p96,sc,rto15,eastern,usa,SA
s300,p99,va,rto7,eastern,usa,SA
s301,p100,va,rto7,eastern,usa,SA
s302,p99,va,rto7,eastern,usa,SA
s303,p99,va,rto7,eastern,usa,SA
s304,p99,va,rto7,eastern,usa,SA
s305,p99,va,rto7,eastern,usa,SA
s306,p99,va,rto7,eastern,usa,SA
s307,p99,va,rto7,eastern,usa,SA
s308,p116,wv,rto7,eastern,usa,SA
s309,p101,fl,rto16,eastern,usa,SA
s310,p101,fl,rto16,eastern,usa,SA
s311,p101,fl,rto16,eastern,usa,SA
s312,p101,fl,rto16,eastern,usa,SA
s313,p102,fl,rto16,eastern,usa,SA
s314,p124,va,rto12,eastern,usa,SA
s315,p123,md,rto12,eastern,usa,SA
s316,p123,md,rto12,eastern,usa,SA
s317,p123,md,rto12,eastern,usa,SA
s318,p125,de,rto12,eastern,usa,SA
s319,p125,de,rto12,eastern,usa,SA
s320,p122,pa,rto12,eastern,usa,MA
s321,p122,pa,rto12,eastern,usa,MA
s322,p122,pa,rto12,eastern,usa,MA
s323,p122,pa,rto12,eastern,usa,MA
s324,p122,pa,rto12,eastern,usa,MA
s325,p122,pa,rto12,eastern,usa,MA
s326,p122,pa,rto12,eastern,usa,MA
s327,p122,pa,rto12,eastern,usa,MA
s328,p126,nj,rto12,eastern,usa,MA
s329,p126,nj,rto12,eastern,usa,MA
s330,p126,nj,rto12,eastern,usa,MA
s331,p126,nj,rto12,eastern,usa,MA
s332,p126,nj,rto12,eastern,usa,MA
s333,p127,ny,rto17,eastern,usa,MA
s334,p127,ny,rto17,eastern,usa,MA
s335,p127,ny,rto17,eastern,usa,MA
s336,p127,ny,rto17,eastern,usa,MA
s337,p127,ny,rto17,eastern,usa,MA
s338,p127,ny,rto17,eastern,usa,MA
s339,p127,ny,rto17,eastern,usa,MA
s340,p127,ny,rto17,eastern,usa,MA
s341,p127,ny,rto17,eastern,usa,MA
s342,p128,ny,rto17,eastern,usa,MA
s343,p132,ct,rto18,eastern,usa,NE
s344,p132,ct,rto18,eastern,usa,NE
s345,p133,ri,rto18,eastern,usa,NE
s346,p133,ri,rto18,eastern,usa,NE
s347,p131,ma,rto18,eastern,usa,NE
s348,p131,ma,rto18,eastern,usa,NE
s349,p131,ma,rto18,eastern,usa,NE
s350,p129,vt,rto18,eastern,usa,NE
s351,p129,vt,rto18,eastern,usa,NE
s352,p129,vt,rto18,eastern,usa,NE
s353,p130,nh,rto18,eastern,usa,NE
s354,p130,nh,rto18,eastern,usa,NE
s355,p134,me,rto18,eastern,usa,NE
s356,p134,me,rto18,eastern,usa,NE
s357,p135,mex,rto4,wscc,mex,PA
s358,p136,mex,rto4,wscc,mex,PA
s359,p137,bc,rto33,wscc,can,PA
s360,p137,bc,rto33,wscc,can,PA
s361,p137,bc,rto33,wscc,can,PA
s362,p138,bc,rto33,wscc,can,PA
s363,p139,bc,rto33,wscc,can,PA
s364,p139,bc,rto33,wscc,can,PA
s365,p139,bc,rto33,wscc,can,PA
s366,p139,bc,rto33,wscc,can,PA
s367,p140,ab,rto34,wscc,can,MTN
s368,p141,ab,rto34,wscc,can,MTN
s369,p142,sk,rto35,eastern,can,WNC
s370,p143,mb,rto36,eastern,can,WNC
s371,p144,on,rto37,eastern,can,MA
s372,p145,on,rto37,eastern,can,MA
s373,p146,on,rto37,eastern,can,MA
s374,p147,on,rto37,eastern,can,MA
s375,p148,qc,rto38,quebec,can,NE
s376,p149,qc,rto38,quebec,can,NE
s377,p150,qc,rto38,quebec,can,NE
s378,p151,qc,rto38,quebec,can,NE
s379,p151,qc,rto38,quebec,can,NE
s380,p151,qc,rto38,quebec,can,NE
s381,p151,qc,rto38,quebec,can,NE
s382,p151,qc,rto38,quebec,can,NE
s383,p151,qc,rto38,quebec,can,NE
s384,p151,qc,rto38,quebec,can,NE
s385,p151,qc,rto38,quebec,can,NE
s386,p151,qc,rto38,quebec,can,NE
s387,p151,qc,rto38,quebec,can,NE
s388,p151,qc,rto38,quebec,can,NE
s389,p151,qc,rto38,quebec,can,NE
s390,p151,qc,rto38,quebec,can,NE
s391,p151,qc,rto38,quebec,can,NE
s392,p151,qc,rto38,quebec,can,NE
s393,p151,qc,rto38,quebec,can,NE
s394,p151,qc,rto38,quebec,can,NE
s395,p151,qc,rto38,quebec,can,NE
s396,p151,qc,rto38,quebec,can,NE
s397,p151,qc,rto38,quebec,can,NE
s398,p151,qc,rto38,quebec,can,NE
s399,p151,qc,rto38,quebec,can,NE
s400,p151,qc,rto38,quebec,can,NE
s401,p152,nb,rto39,eastern,can,NE
s402,p153,ns,rto39,eastern,can,NE
s403,p154,nl,rto38,quebec,can,NE
s404,p155,nfi,rto38,quebec,can,NE
s405,p156,pei,rto39,eastern,can,NE
s406,p157,sin_son,rto40,mexico,mex,MEX
s407,p158,sin_son,rto40,mexico,mex,MEX
s408,p159,sin_son,rto40,mexico,mex,MEX
s409,p160,sin_son,rto40,mexico,mex,MEX
s410,p161,sin_son,rto40,mexico,mex,MEX
s411,p162,sin_son,rto40,mexico,mex,MEX
s412,p163,chh,rto40,mexico,mex,MEX
s413,p164,chh,rto40,mexico,mex,MEX
s414,p165,chh,rto40,mexico,mex,MEX
s415,p166,coa_dgo_nle,rto40,mexico,mex,MEX
s416,p167,coa_dgo_nle,rto40,mexico,mex,MEX
s417,p168,coa_dgo_nle,rto40,mexico,mex,MEX
s418,p169,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s419,p170,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s420,p171,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s421,p172,coa_dgo_nle,rto40,mexico,mex,MEX
s422,p173,coa_dgo_nle,rto40,mexico,mex,MEX
s423,p174,slp,rto40,mexico,mex,MEX
s424,p175,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s425,p176,slp,rto40,mexico,mex,MEX
s426,p177,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s427,p178,agu_gua_jal_nay_que_zac,rto40,mexico,mex,MEX
s428,p179,agu_gua_jal_nay_que_zac,rto40,mexico,mex,MEX
s429,p180,agu_gua_jal_nay_que_zac,rto40,mexico,mex,MEX
s430,p181,slp,rto40,mexico,mex,MEX
s431,p182,agu_gua_jal_nay_que_zac,rto40,mexico,mex,MEX
s432,p183,col,rto40,mexico,mex,MEX
s433,p184,gro_mic,rto40,mexico,mex,MEX
s434,p185,gro_mic,rto40,mexico,mex,MEX
s435,p186,agu_gua_jal_nay_que_zac,rto40,mexico,mex,MEX
s436,p187,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s437,p188,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s438,p189,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s439,p190,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s440,p191,gro_mic,rto40,mexico,mex,MEX
s441,p192,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s442,p193,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s443,p194,cam_chp_tab,rto40,mexico,mex,MEX
s444,p195,cam_chp_tab,rto40,mexico,mex,MEX
s445,p196,dif_hid_mex_mor_oax_pue_tam_tla_ver,rto40,mexico,mex,MEX
s446,p197,cam_chp_tab,rto40,mexico,mex,MEX
s447,p198,yuc,rto40,mexico,mex,MEX
s448,p199,roo,rto40,mexico,mex,MEX
s449,p200,roo,rto40,mexico,mex,MEX
s450,p201,bcn,rto41,mexico,mex,MEX
s451,p202,bcn,rto41,mexico,mex,MEX
s452,p203,bcn,rto41,mexico,mex,MEX
s453,p204,bcn,rto41,mexico,mex,MEX
s454,p205,bcs,rto41,mexico,mex,MEX
