tech,ctt,wst
coal-CCS-F3_r_fsl,r,fsl
coal-CCS-F3_r_fg,r,fg
coal-CCS-F3_r_sg,r,sg
coal-CCS-F3_r_ss,r,ss
coal-CCS-F3_r_ww,r,ww
coal-CCS-F3_p_fsu,p,fsu
coal-CCS-F3_p_fsa,p,fsa
coal-CCS-F3_p_fsl,p,fsl
coal-CCS-F3_p_fg,p,fg
coal-CCS-F3_p_sg,p,sg
coal-CCS-F3_p_ss,p,ss
coal-CCS-F3_p_ww,p,ww
coal-CCS-F3_d_fsu,d,fsu
coal-CCS-F3_d_fsa,d,fsa
coal-CCS-F3_d_fsl,d,fsl
coal-CCS-F3_d_fg,d,fg
coal-CCS-F3_d_sg,d,sg
coal-CCS-F3_d_ss,d,ss
coal-CCS-F3_d_ww,d,ww
coal-IGCC_o_fsu,o,fsu
coal-IGCC_o_fsa,o,fsa
coal-IGCC_o_fsl,o,fsl
coal-IGCC_o_fg,o,fg
coal-IGCC_o_sg,o,sg
coal-IGCC_o_ss,o,ss
coal-IGCC_o_ww,o,ww
coal-IGCC_r_fsu,r,fsu
coal-IGCC_r_fsa,r,fsa
coal-IGCC_r_fsl,r,fsl
coal-IGCC_r_fg,r,fg
coal-IGCC_r_sg,r,sg
coal-IGCC_r_ss,r,ss
coal-IGCC_r_ww,r,ww
coal-IGCC_p_fsu,p,fsu
coal-IGCC_p_fsa,p,fsa
coal-IGCC_p_fsl,p,fsl
coal-IGCC_p_fg,p,fg
coal-IGCC_p_sg,p,sg
coal-IGCC_p_ss,p,ss
coal-IGCC_p_ww,p,ww
coal-IGCC_d_fsu,d,fsu
coal-IGCC_d_fsa,d,fsa
coal-IGCC_d_fsl,d,fsl
coal-IGCC_d_fg,d,fg
coal-IGCC_d_sg,d,sg
coal-IGCC_d_ss,d,ss
coal-IGCC_d_ww,d,ww
coal-new_o_fsu,o,fsu
coal-new_o_fsa,o,fsa
coal-new_o_fsl,o,fsl
coal-new_o_fg,o,fg
coal-new_o_sg,o,sg
coal-new_o_ss,o,ss
coal-new_o_ww,o,ww
coal-new_r_fsu,r,fsu
coal-new_r_fsa,r,fsa
coal-new_r_fsl,r,fsl
coal-new_r_fg,r,fg
coal-new_r_sg,r,sg
coal-new_r_ss,r,ss
coal-new_r_ww,r,ww
coal-new_p_fsu,p,fsu
coal-new_p_fsa,p,fsa
coal-new_p_fsl,p,fsl
coal-new_p_fg,p,fg
coal-new_p_sg,p,sg
coal-new_p_ss,p,ss
coal-new_p_ww,p,ww
coal-new_d_fsu,d,fsu
coal-new_d_fsa,d,fsa
coal-new_d_fsl,d,fsl
coal-new_d_fg,d,fg
coal-new_d_sg,d,sg
coal-new_d_ss,d,ss
coal-new_d_ww,d,ww
CoalOldScr_o_fsu,o,fsu
CoalOldScr_o_fsa,o,fsa
CoalOldScr_o_fsl,o,fsl
CoalOldScr_o_fg,o,fg
CoalOldScr_o_sg,o,sg
CoalOldScr_o_ss,o,ss
CoalOldScr_o_ww,o,ww
CoalOldScr_r_fsu,r,fsu
CoalOldScr_r_fsa,r,fsa
CoalOldScr_r_fsl,r,fsl
CoalOldScr_r_fg,r,fg
CoalOldScr_r_sg,r,sg
CoalOldScr_r_ss,r,ss
CoalOldScr_r_ww,r,ww
CoalOldScr_p_fsu,p,fsu
CoalOldScr_p_fsa,p,fsa
CoalOldScr_p_fsl,p,fsl
CoalOldScr_p_fg,p,fg
CoalOldScr_p_sg,p,sg
CoalOldScr_p_ss,p,ss
CoalOldScr_p_ww,p,ww
CoalOldScr_d_fsu,d,fsu
CoalOldScr_d_fsa,d,fsa
CoalOldScr_d_fsl,d,fsl
CoalOldScr_d_fg,d,fg
CoalOldScr_d_sg,d,sg
CoalOldScr_d_ss,d,ss
CoalOldScr_d_ww,d,ww
CoalOldUns_o_fsu,o,fsu
CoalOldUns_o_fsa,o,fsa
CoalOldUns_o_fsl,o,fsl
CoalOldUns_o_fg,o,fg
CoalOldUns_o_sg,o,sg
CoalOldUns_o_ss,o,ss
CoalOldUns_o_ww,o,ww
CoalOldUns_r_fsu,r,fsu
CoalOldUns_r_fsa,r,fsa
CoalOldUns_r_fsl,r,fsl
CoalOldUns_r_fg,r,fg
CoalOldUns_r_sg,r,sg
CoalOldUns_r_ss,r,ss
CoalOldUns_r_ww,r,ww
CoalOldUns_p_fsu,p,fsu
CoalOldUns_p_fsa,p,fsa
CoalOldUns_p_fsl,p,fsl
CoalOldUns_p_fg,p,fg
CoalOldUns_p_sg,p,sg
CoalOldUns_p_ss,p,ss
CoalOldUns_p_ww,p,ww
CoalOldUns_d_fsu,d,fsu
CoalOldUns_d_fsa,d,fsa
CoalOldUns_d_fsl,d,fsl
CoalOldUns_d_fg,d,fg
CoalOldUns_d_sg,d,sg
CoalOldUns_d_ss,d,ss
CoalOldUns_d_ww,d,ww
CofireNew_o_fsu,o,fsu
CofireNew_o_fsa,o,fsa
CofireNew_o_fsl,o,fsl
CofireNew_o_fg,o,fg
CofireNew_o_sg,o,sg
CofireNew_o_ss,o,ss
CofireNew_o_ww,o,ww
CofireNew_r_fsu,r,fsu
CofireNew_r_fsa,r,fsa
CofireNew_r_fsl,r,fsl
CofireNew_r_fg,r,fg
CofireNew_r_sg,r,sg
CofireNew_r_ss,r,ss
CofireNew_r_ww,r,ww
CofireNew_p_fsu,p,fsu
CofireNew_p_fsa,p,fsa
CofireNew_p_fsl,p,fsl
CofireNew_p_fg,p,fg
CofireNew_p_sg,p,sg
CofireNew_p_ss,p,ss
CofireNew_p_ww,p,ww
CofireNew_d_fsu,d,fsu
CofireNew_d_fsa,d,fsa
CofireNew_d_fsl,d,fsl
CofireNew_d_fg,d,fg
CofireNew_d_sg,d,sg
CofireNew_d_ss,d,ss
CofireNew_d_ww,d,ww
CofireOld_o_fsu,o,fsu
CofireOld_o_fsa,o,fsa
CofireOld_o_fsl,o,fsl
CofireOld_o_fg,o,fg
CofireOld_o_sg,o,sg
CofireOld_o_ss,o,ss
CofireOld_o_ww,o,ww
CofireOld_r_fsu,r,fsu
CofireOld_r_fsa,r,fsa
CofireOld_r_fsl,r,fsl
CofireOld_r_fg,r,fg
CofireOld_r_sg,r,sg
CofireOld_r_ss,r,ss
CofireOld_r_ww,r,ww
CofireOld_p_fsu,p,fsu
CofireOld_p_fsa,p,fsa
CofireOld_p_fsl,p,fsl
CofireOld_p_fg,p,fg
CofireOld_p_sg,p,sg
CofireOld_p_ss,p,ss
CofireOld_p_ww,p,ww
CofireOld_d_fsu,d,fsu
CofireOld_d_fsa,d,fsa
CofireOld_d_fsl,d,fsl
CofireOld_d_fg,d,fg
CofireOld_d_sg,d,sg
CofireOld_d_ss,d,ss
CofireOld_d_ww,d,ww
gas-CC_o_fsu,o,fsu
gas-CC_o_fsa,o,fsa
gas-CC_o_fsl,o,fsl
gas-CC_o_fg,o,fg
gas-CC_o_sg,o,sg
gas-CC_o_ss,o,ss
gas-CC_o_ww,o,ww
gas-CC_r_fsu,r,fsu
gas-CC_r_fsa,r,fsa
gas-CC_r_fsl,r,fsl
gas-CC_r_fg,r,fg
gas-CC_r_sg,r,sg
gas-CC_r_ss,r,ss
gas-CC_r_ww,r,ww
gas-CC_p_fsu,p,fsu
gas-CC_p_fsa,p,fsa
gas-CC_p_fsl,p,fsl
gas-CC_p_fg,p,fg
gas-CC_p_sg,p,sg
gas-CC_p_ss,p,ss
gas-CC_p_ww,p,ww
gas-CC_d_fsu,d,fsu
gas-CC_d_fsa,d,fsa
gas-CC_d_fsl,d,fsl
gas-CC_d_fg,d,fg
gas-CC_d_sg,d,sg
gas-CC_d_ss,d,ss
gas-CC_d_ww,d,ww
Gas-CC-CCS_mod_o_fsu,o,fsu
Gas-CC-CCS_mod_o_fsa,o,fsa
Gas-CC-CCS_mod_o_fsl,o,fsl
Gas-CC-CCS_mod_o_fg,o,fg
Gas-CC-CCS_mod_o_sg,o,sg
Gas-CC-CCS_mod_o_ss,o,ss
Gas-CC-CCS_mod_o_ww,o,ww
Gas-CC-CCS_mod_r_fsu,r,fsu
Gas-CC-CCS_mod_r_fsa,r,fsa
Gas-CC-CCS_mod_r_fsl,r,fsl
Gas-CC-CCS_mod_r_fg,r,fg
Gas-CC-CCS_mod_r_sg,r,sg
Gas-CC-CCS_mod_r_ss,r,ss
Gas-CC-CCS_mod_r_ww,r,ww
Gas-CC-CCS_mod_p_fsu,p,fsu
Gas-CC-CCS_mod_p_fsa,p,fsa
Gas-CC-CCS_mod_p_fsl,p,fsl
Gas-CC-CCS_mod_p_fg,p,fg
Gas-CC-CCS_mod_p_sg,p,sg
Gas-CC-CCS_mod_p_ss,p,ss
Gas-CC-CCS_mod_p_ww,p,ww
Gas-CC-CCS_max_o_fsu,o,fsu
Gas-CC-CCS_max_o_fsa,o,fsa
Gas-CC-CCS_max_o_fsl,o,fsl
Gas-CC-CCS_max_o_fg,o,fg
Gas-CC-CCS_max_o_sg,o,sg
Gas-CC-CCS_max_o_ss,o,ss
Gas-CC-CCS_max_o_ww,o,ww
Gas-CC-CCS_max_r_fsu,r,fsu
Gas-CC-CCS_max_r_fsa,r,fsa
Gas-CC-CCS_max_r_fsl,r,fsl
Gas-CC-CCS_max_r_fg,r,fg
Gas-CC-CCS_max_r_sg,r,sg
Gas-CC-CCS_max_r_ss,r,ss
Gas-CC-CCS_max_r_ww,r,ww
Gas-CC-CCS_max_p_fsu,p,fsu
Gas-CC-CCS_max_p_fsa,p,fsa
Gas-CC-CCS_max_p_fsl,p,fsl
Gas-CC-CCS_max_p_fg,p,fg
Gas-CC-CCS_max_p_sg,p,sg
Gas-CC-CCS_max_p_ss,p,ss
Gas-CC-CCS_max_p_ww,p,ww
Gas-CC-CCS-F1_o_fsu,o,fsu
Gas-CC-CCS-F1_o_fsa,o,fsa
Gas-CC-CCS-F1_o_fsl,o,fsl
Gas-CC-CCS-F1_o_fg,o,fg
Gas-CC-CCS-F1_o_sg,o,sg
Gas-CC-CCS-F1_o_ss,o,ss
Gas-CC-CCS-F1_o_ww,o,ww
Gas-CC-CCS-F1_r_fsu,r,fsu
Gas-CC-CCS-F1_r_fsa,r,fsa
Gas-CC-CCS-F1_r_fsl,r,fsl
Gas-CC-CCS-F1_r_fg,r,fg
Gas-CC-CCS-F1_r_sg,r,sg
Gas-CC-CCS-F1_r_ss,r,ss
Gas-CC-CCS-F1_r_ww,r,ww
Gas-CC-CCS-F1_p_fsu,p,fsu
Gas-CC-CCS-F1_p_fsa,p,fsa
Gas-CC-CCS-F1_p_fsl,p,fsl
Gas-CC-CCS-F1_p_fg,p,fg
Gas-CC-CCS-F1_p_sg,p,sg
Gas-CC-CCS-F1_p_ss,p,ss
Gas-CC-CCS-F1_p_ww,p,ww
Gas-CC-CCS-F2_o_fsu,o,fsu
Gas-CC-CCS-F2_o_fsa,o,fsa
Gas-CC-CCS-F2_o_fsl,o,fsl
Gas-CC-CCS-F2_o_fg,o,fg
Gas-CC-CCS-F2_o_sg,o,sg
Gas-CC-CCS-F2_o_ss,o,ss
Gas-CC-CCS-F2_o_ww,o,ww
Gas-CC-CCS-F2_r_fsu,r,fsu
Gas-CC-CCS-F2_r_fsa,r,fsa
Gas-CC-CCS-F2_r_fsl,r,fsl
Gas-CC-CCS-F2_r_fg,r,fg
Gas-CC-CCS-F2_r_sg,r,sg
Gas-CC-CCS-F2_r_ss,r,ss
Gas-CC-CCS-F2_r_ww,r,ww
Gas-CC-CCS-F2_p_fsu,p,fsu
Gas-CC-CCS-F2_p_fsa,p,fsa
Gas-CC-CCS-F2_p_fsl,p,fsl
Gas-CC-CCS-F2_p_fg,p,fg
Gas-CC-CCS-F2_p_sg,p,sg
Gas-CC-CCS-F2_p_ss,p,ss
Gas-CC-CCS-F2_p_ww,p,ww
Gas-CC-CCS-F3_o_fsu,o,fsu
Gas-CC-CCS-F3_o_fsa,o,fsa
Gas-CC-CCS-F3_o_fsl,o,fsl
Gas-CC-CCS-F3_o_fg,o,fg
Gas-CC-CCS-F3_o_sg,o,sg
Gas-CC-CCS-F3_o_ss,o,ss
Gas-CC-CCS-F3_o_ww,o,ww
Gas-CC-CCS-F3_r_fsu,r,fsu
Gas-CC-CCS-F3_r_fsa,r,fsa
Gas-CC-CCS-F3_r_fsl,r,fsl
Gas-CC-CCS-F3_r_fg,r,fg
Gas-CC-CCS-F3_r_sg,r,sg
Gas-CC-CCS-F3_r_ss,r,ss
Gas-CC-CCS-F3_r_ww,r,ww
Gas-CC-CCS-F3_p_fsu,p,fsu
Gas-CC-CCS-F3_p_fsa,p,fsa
Gas-CC-CCS-F3_p_fsl,p,fsl
Gas-CC-CCS-F3_p_fg,p,fg
Gas-CC-CCS-F3_p_sg,p,sg
Gas-CC-CCS-F3_p_ss,p,ss
Gas-CC-CCS-F3_p_ww,p,ww
o-g-s_o_fsu,o,fsu
o-g-s_o_fsa,o,fsa
o-g-s_o_fsl,o,fsl
o-g-s_o_fg,o,fg
o-g-s_o_sg,o,sg
o-g-s_o_ss,o,ss
o-g-s_o_ww,o,ww
o-g-s_r_fsu,r,fsu
o-g-s_r_fsa,r,fsa
o-g-s_r_fsl,r,fsl
o-g-s_r_fg,r,fg
o-g-s_r_sg,r,sg
o-g-s_r_ss,r,ss
o-g-s_r_ww,r,ww
o-g-s_p_fsu,p,fsu
o-g-s_p_fsa,p,fsa
o-g-s_p_fsl,p,fsl
o-g-s_p_fg,p,fg
o-g-s_p_sg,p,sg
o-g-s_p_ss,p,ss
o-g-s_p_ww,p,ww
o-g-s_d_fsu,d,fsu
o-g-s_d_fsa,d,fsa
o-g-s_d_fsl,d,fsl
o-g-s_d_fg,d,fg
o-g-s_d_sg,d,sg
o-g-s_d_ss,d,ss
o-g-s_d_ww,d,ww
o-g-s_n_fsu,n,fsu
o-g-s_n_fsa,n,fsa
o-g-s_n_fsl,n,fsl
o-g-s_n_fg,n,fg
o-g-s_n_sg,n,sg
o-g-s_n_ss,n,ss
o-g-s_n_ww,n,ww
nuclear_o_fsu,o,fsu
nuclear_o_fsa,o,fsa
nuclear_o_fsl,o,fsl
nuclear_o_fg,o,fg
nuclear_o_sg,o,sg
nuclear_o_ss,o,ss
nuclear_o_ww,o,ww
nuclear_r_fsu,r,fsu
nuclear_r_fsa,r,fsa
nuclear_r_fsl,r,fsl
nuclear_r_fg,r,fg
nuclear_r_sg,r,sg
nuclear_r_ss,r,ss
nuclear_r_ww,r,ww
nuclear_p_fsu,p,fsu
nuclear_p_fsa,p,fsa
nuclear_p_fsl,p,fsl
nuclear_p_fg,p,fg
nuclear_p_sg,p,sg
nuclear_p_ss,p,ss
nuclear_p_ww,p,ww
nuclear_d_fsu,d,fsu
nuclear_d_fsa,d,fsa
nuclear_d_fsl,d,fsl
nuclear_d_fg,d,fg
nuclear_d_sg,d,sg
nuclear_d_ss,d,ss
nuclear_d_ww,d,ww
nuclear-SMR_o_fsu,o,fsu
nuclear-SMR_o_fsa,o,fsa
nuclear-SMR_o_fsl,o,fsl
nuclear-SMR_o_fg,o,fg
nuclear-SMR_o_sg,o,sg
nuclear-SMR_o_ss,o,ss
nuclear-SMR_o_ww,o,ww
nuclear-SMR_r_fsu,r,fsu
nuclear-SMR_r_fsa,r,fsa
nuclear-SMR_r_fsl,r,fsl
nuclear-SMR_r_fg,r,fg
nuclear-SMR_r_sg,r,sg
nuclear-SMR_r_ss,r,ss
nuclear-SMR_r_ww,r,ww
nuclear-SMR_p_fsu,p,fsu
nuclear-SMR_p_fsa,p,fsa
nuclear-SMR_p_fsl,p,fsl
nuclear-SMR_p_fg,p,fg
nuclear-SMR_p_sg,p,sg
nuclear-SMR_p_ss,p,ss
nuclear-SMR_p_ww,p,ww
nuclear-SMR_d_fsu,d,fsu
nuclear-SMR_d_fsa,d,fsa
nuclear-SMR_d_fsl,d,fsl
nuclear-SMR_d_fg,d,fg
nuclear-SMR_d_sg,d,sg
nuclear-SMR_d_ss,d,ss
nuclear-SMR_d_ww,d,ww
biopower_o_fsu,o,fsu
biopower_o_fsa,o,fsa
biopower_o_fsl,o,fsl
biopower_o_fg,o,fg
biopower_o_sg,o,sg
biopower_o_ss,o,ss
biopower_o_ww,o,ww
biopower_r_fsu,r,fsu
biopower_r_fsa,r,fsa
biopower_r_fsl,r,fsl
biopower_r_fg,r,fg
biopower_r_sg,r,sg
biopower_r_ss,r,ss
biopower_r_ww,r,ww
biopower_p_fsu,p,fsu
biopower_p_fsa,p,fsa
biopower_p_fsl,p,fsl
biopower_p_fg,p,fg
biopower_p_sg,p,sg
biopower_p_ss,p,ss
biopower_p_ww,p,ww
biopower_d_fsu,d,fsu
biopower_d_fsa,d,fsa
biopower_d_fsl,d,fsl
biopower_d_fg,d,fg
biopower_d_sg,d,sg
biopower_d_ss,d,ss
biopower_d_ww,d,ww
biopower_n_fsu,n,fsu
biopower_n_fsa,n,fsa
biopower_n_fsl,n,fsl
biopower_n_fg,n,fg
biopower_n_sg,n,sg
biopower_n_ss,n,ss
biopower_n_ww,n,ww
lfill-gas_o_fsu,o,fsu
lfill-gas_o_fsa,o,fsa
lfill-gas_o_fsl,o,fsl
lfill-gas_o_fg,o,fg
lfill-gas_o_sg,o,sg
lfill-gas_o_ss,o,ss
lfill-gas_o_ww,o,ww
lfill-gas_r_fsu,r,fsu
lfill-gas_r_fsa,r,fsa
lfill-gas_r_fsl,r,fsl
lfill-gas_r_fg,r,fg
lfill-gas_r_sg,r,sg
lfill-gas_r_ss,r,ss
lfill-gas_r_ww,r,ww
lfill-gas_p_fsu,p,fsu
lfill-gas_p_fsa,p,fsa
lfill-gas_p_fsl,p,fsl
lfill-gas_p_fg,p,fg
lfill-gas_p_sg,p,sg
lfill-gas_p_ss,p,ss
lfill-gas_p_ww,p,ww
lfill-gas_d_fsu,d,fsu
lfill-gas_d_fsa,d,fsa
lfill-gas_d_fsl,d,fsl
lfill-gas_d_fg,d,fg
lfill-gas_d_sg,d,sg
lfill-gas_d_ss,d,ss
lfill-gas_d_ww,d,ww
lfill-gas_n_fsu,n,fsu
lfill-gas_n_fsa,n,fsa
lfill-gas_n_fsl,n,fsl
lfill-gas_n_fg,n,fg
lfill-gas_n_sg,n,sg
lfill-gas_n_ss,n,ss
lfill-gas_n_ww,n,ww
csp-ns_r_fsu,r,fsu
csp-ns_r_fsa,r,fsa
csp-ns_r_fsl,r,fsl
csp-ns_r_fg,r,fg
csp-ns_r_sg,r,sg
csp-ns_r_ss,r,ss
csp-ns_r_ww,r,ww
csp-ns_d_fsu,d,fsu
csp-ns_d_fsa,d,fsa
csp-ns_d_fsl,d,fsl
csp-ns_d_fg,d,fg
csp-ns_d_sg,d,sg
csp-ns_d_ss,d,ss
csp-ns_d_ww,d,ww
csp1_1_r_fsu,r,fsu
csp1_2_r_fsu,r,fsu
csp1_3_r_fsu,r,fsu
csp1_4_r_fsu,r,fsu
csp1_5_r_fsu,r,fsu
csp1_6_r_fsu,r,fsu
csp1_7_r_fsu,r,fsu
csp1_8_r_fsu,r,fsu
csp1_9_r_fsu,r,fsu
csp1_10_r_fsu,r,fsu
csp1_11_r_fsu,r,fsu
csp1_12_r_fsu,r,fsu
csp1_1_r_fsa,r,fsa
csp1_2_r_fsa,r,fsa
csp1_3_r_fsa,r,fsa
csp1_4_r_fsa,r,fsa
csp1_5_r_fsa,r,fsa
csp1_6_r_fsa,r,fsa
csp1_7_r_fsa,r,fsa
csp1_8_r_fsa,r,fsa
csp1_9_r_fsa,r,fsa
csp1_10_r_fsa,r,fsa
csp1_11_r_fsa,r,fsa
csp1_12_r_fsa,r,fsa
csp1_1_r_fsl,r,fsl
csp1_2_r_fsl,r,fsl
csp1_3_r_fsl,r,fsl
csp1_4_r_fsl,r,fsl
csp1_5_r_fsl,r,fsl
csp1_6_r_fsl,r,fsl
csp1_7_r_fsl,r,fsl
csp1_8_r_fsl,r,fsl
csp1_9_r_fsl,r,fsl
csp1_10_r_fsl,r,fsl
csp1_11_r_fsl,r,fsl
csp1_12_r_fsl,r,fsl
csp1_1_r_fg,r,fg
csp1_2_r_fg,r,fg
csp1_3_r_fg,r,fg
csp1_4_r_fg,r,fg
csp1_5_r_fg,r,fg
csp1_6_r_fg,r,fg
csp1_7_r_fg,r,fg
csp1_8_r_fg,r,fg
csp1_9_r_fg,r,fg
csp1_10_r_fg,r,fg
csp1_11_r_fg,r,fg
csp1_12_r_fg,r,fg
csp1_1_r_sg,r,sg
csp1_2_r_sg,r,sg
csp1_3_r_sg,r,sg
csp1_4_r_sg,r,sg
csp1_5_r_sg,r,sg
csp1_6_r_sg,r,sg
csp1_7_r_sg,r,sg
csp1_8_r_sg,r,sg
csp1_9_r_sg,r,sg
csp1_10_r_sg,r,sg
csp1_11_r_sg,r,sg
csp1_12_r_sg,r,sg
csp1_1_r_ss,r,ss
csp1_2_r_ss,r,ss
csp1_3_r_ss,r,ss
csp1_4_r_ss,r,ss
csp1_5_r_ss,r,ss
csp1_6_r_ss,r,ss
csp1_7_r_ss,r,ss
csp1_8_r_ss,r,ss
csp1_9_r_ss,r,ss
csp1_10_r_ss,r,ss
csp1_11_r_ss,r,ss
csp1_12_r_ss,r,ss
csp1_1_r_ww,r,ww
csp1_2_r_ww,r,ww
csp1_3_r_ww,r,ww
csp1_4_r_ww,r,ww
csp1_5_r_ww,r,ww
csp1_6_r_ww,r,ww
csp1_7_r_ww,r,ww
csp1_8_r_ww,r,ww
csp1_9_r_ww,r,ww
csp1_10_r_ww,r,ww
csp1_11_r_ww,r,ww
csp1_12_r_ww,r,ww
csp1_1_d_fsu,d,fsu
csp1_2_d_fsu,d,fsu
csp1_3_d_fsu,d,fsu
csp1_4_d_fsu,d,fsu
csp1_5_d_fsu,d,fsu
csp1_6_d_fsu,d,fsu
csp1_7_d_fsu,d,fsu
csp1_8_d_fsu,d,fsu
csp1_9_d_fsu,d,fsu
csp1_10_d_fsu,d,fsu
csp1_11_d_fsu,d,fsu
csp1_12_d_fsu,d,fsu
csp1_1_d_fsa,d,fsa
csp1_2_d_fsa,d,fsa
csp1_3_d_fsa,d,fsa
csp1_4_d_fsa,d,fsa
csp1_5_d_fsa,d,fsa
csp1_6_d_fsa,d,fsa
csp1_7_d_fsa,d,fsa
csp1_8_d_fsa,d,fsa
csp1_9_d_fsa,d,fsa
csp1_10_d_fsa,d,fsa
csp1_11_d_fsa,d,fsa
csp1_12_d_fsa,d,fsa
csp1_1_d_fsl,d,fsl
csp1_2_d_fsl,d,fsl
csp1_3_d_fsl,d,fsl
csp1_4_d_fsl,d,fsl
csp1_5_d_fsl,d,fsl
csp1_6_d_fsl,d,fsl
csp1_7_d_fsl,d,fsl
csp1_8_d_fsl,d,fsl
csp1_9_d_fsl,d,fsl
csp1_10_d_fsl,d,fsl
csp1_11_d_fsl,d,fsl
csp1_12_d_fsl,d,fsl
csp1_1_d_fg,d,fg
