s,p,rto,census_region,state,interconnect,country,custreg,cc_reg
s181,p70,rto6,WNC,IA,eastern,usa,IA,cc9
s182,p70,rto6,WNC,IA,eastern,usa,IA,cc9
s183,p70,rto6,WNC,IA,eastern,usa,IA,cc9
s184,p71,rto6,WNC,MO,eastern,usa,MO,cc9
s185,p72,rto6,WNC,MO,eastern,usa,MO,cc9
s186,p73,rto13,WNC,MO,eastern,usa,MO,cc10
s187,p84,rto13,WNC,MO,eastern,usa,MO,cc10
s188,p84,rto13,WNC,MO,eastern,usa,MO,cc10
s189,p72,rto6,WNC,MO,eastern,usa,MO,cc9
s190,p72,rto6,WNC,MO,eastern,usa,MO,cc9
s191,p74,rto6,ENC,MI,eastern,usa,MI,cc9
s192,p75,rto6,ENC,WI,eastern,usa,WI,cc9
s193,p76,rto6,ENC,WI,eastern,usa,WI,cc9
s194,p77,rto11,ENC,WI,eastern,usa,WI,cc7
s195,p78,rto6,ENC,WI,eastern,usa,WI,cc9
s196,p76,rto6,ENC,WI,eastern,usa,WI,cc9
s197,p75,rto6,ENC,WI,eastern,usa,WI,cc9
s198,p79,rto6,ENC,WI,eastern,usa,WI,cc9
s199,p80,rto7,ENC,IL,eastern,usa,IL,cc9
s200,p81,rto6,ENC,IL,eastern,usa,IL,cc9
s201,p81,rto6,ENC,IL,eastern,usa,IL,cc9
s202,p81,rto6,ENC,IL,eastern,usa,IL,cc9
s203,p82,rto6,ENC,IL,eastern,usa,IL,cc9
s204,p81,rto6,ENC,IL,eastern,usa,IL,cc9
s205,p81,rto6,ENC,IL,eastern,usa,IL,cc9
s206,p80,rto7,ENC,IL,eastern,usa,IL,cc9
s207,p80,rto7,ENC,IL,eastern,usa,IL,cc9
s208,p83,rto6,ENC,IL,eastern,usa,IL,cc9
s209,p83,rto6,ENC,IL,eastern,usa,IL,cc9
s210,p83,rto6,ENC,IL,eastern,usa,IL,cc9
s211,p103,rto6,ENC,MI,eastern,usa,MI,cc11
s212,p103,rto6,ENC,MI,eastern,usa,MI,cc11
s213,p104,rto7,ENC,MI,eastern,usa,MI,cc11
s214,p103,rto6,ENC,MI,eastern,usa,MI,cc11
s215,p103,rto6,ENC,MI,eastern,usa,MI,cc11
s216,p103,rto6,ENC,MI,eastern,usa,MI,cc11
s217,p103,rto6,ENC,MI,eastern,usa,MI,cc11
s218,p103,rto6,ENC,MI,eastern,usa,MI,cc11
s219,p105,rto6,ENC,IN,eastern,usa,IN,cc11
s220,p105,rto6,ENC,IN,eastern,usa,IN,cc11
s221,p105,rto6,ENC,IN,eastern,usa,IN,cc11
s222,p105,rto6,ENC,IN,eastern,usa,IN,cc11
s223,p106,rto6,ENC,IN,eastern,usa,IN,cc11
s224,p107,rto6,ENC,IN,eastern,usa,IN,cc11
s225,p105,rto6,ENC,IN,eastern,usa,IN,cc11
s226,p105,rto6,ENC,IN,eastern,usa,IN,cc11
s227,p111,rto7,ENC,OH,eastern,usa,OH,cc11
s228,p112,rto7,ENC,OH,eastern,usa,OH,cc11
s229,p112,rto7,ENC,OH,eastern,usa,OH,cc11
s230,p113,rto7,ENC,OH,eastern,usa,OH,cc11
s231,p114,rto7,ENC,OH,eastern,usa,OH,cc11
s232,p112,rto7,ENC,OH,eastern,usa,OH,cc11
s233,p112,rto7,ENC,OH,eastern,usa,OH,cc11
s234,p111,rto7,ENC,OH,eastern,usa,OH,cc11
s235,p112,rto7,ENC,OH,eastern,usa,OH,cc11
s236,p108,rto6,ESC,KY,eastern,usa,KY,cc12
s237,p109,rto7,ESC,KY,eastern,usa,KY,cc12
s238,p109,rto7,ESC,KY,eastern,usa,KY,cc12
s239,p109,rto7,ESC,KY,eastern,usa,KY,cc12
s240,p109,rto7,ESC,KY,eastern,usa,KY,cc12
s241,p109,rto7,ESC,KY,eastern,usa,KY,cc12
s242,p110,rto7,ESC,KY,eastern,usa,KY,cc16
s243,p118,rto7,SA,VA,eastern,usa,VA,cc16
s244,p118,rto7,SA,VA,eastern,usa,VA,cc16
s245,p118,rto7,SA,VA,eastern,usa,VA,cc16
s246,p117,rto7,SA,WV,eastern,usa,WV,cc16
s247,p117,rto7,SA,WV,eastern,usa,WV,cc16
s248,p117,rto7,SA,WV,eastern,usa,WV,cc16
s249,p116,rto7,SA,WV,eastern,usa,WV,cc16
s250,p116,rto7,SA,WV,eastern,usa,WV,cc16
s251,p115,rto7,MA,PA,eastern,usa,PA,cc16
s252,p115,rto7,MA,PA,eastern,usa,PA,cc16
s253,p121,rto7,SA,MD,eastern,usa,RGGI,cc16
s254,p120,rto7,MA,PA,eastern,usa,PA,cc16
s255,p119,rto12,MA,PA,eastern,usa,PA,cc16
s256,p66,rto13,WSC,TX,eastern,usa,TX,cc10
s257,p85,rto13,WSC,AR,eastern,usa,AR,cc10
s258,p85,rto13,WSC,AR,eastern,usa,AR,cc10
s259,p85,rto13,WSC,AR,eastern,usa,AR,cc10
s260,p86,rto13,WSC,LA,eastern,usa,LA,cc10
s261,p58,rto13,WSC,LA,eastern,usa,LA,cc10
s262,p87,rto13,ESC,MS,eastern,usa,MS,cc10
s263,p88,rto14,ESC,MS,eastern,usa,MS,cc12
s264,p87,rto13,ESC,MS,eastern,usa,MS,cc10
s265,p89,rto14,ESC,AL,eastern,usa,AL,cc12
s266,p89,rto14,ESC,AL,eastern,usa,AL,cc12
s267,p90,rto9,ESC,AL,eastern,usa,AL,cc13
s268,p90,rto9,ESC,AL,eastern,usa,AL,cc13
s269,p91,rto9,SA,FL,eastern,usa,FL,cc13
s270,p91,rto9,SA,FL,eastern,usa,FL,cc13
s271,p91,rto9,SA,FL,eastern,usa,FL,cc13
s272,p94,rto9,SA,GA,eastern,usa,GA,cc13
s273,p94,rto9,SA,GA,eastern,usa,GA,cc13
s274,p94,rto9,SA,GA,eastern,usa,GA,cc13
s275,p94,rto9,SA,GA,eastern,usa,GA,cc13
s276,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s277,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s278,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s279,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s280,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s281,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s282,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s283,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s284,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s285,p92,rto14,ESC,TN,eastern,usa,TN,cc12
s286,p93,rto14,ESC,KY,eastern,usa,KY,cc12
s287,p93,rto14,ESC,KY,eastern,usa,KY,cc12
s288,p97,rto15,SA,NC,eastern,usa,NC,cc15
s289,p97,rto15,SA,NC,eastern,usa,NC,cc15
s290,p97,rto15,SA,NC,eastern,usa,NC,cc15
s291,p98,rto15,SA,NC,eastern,usa,NC,cc15
s292,p98,rto15,SA,NC,eastern,usa,NC,cc15
s293,p98,rto15,SA,NC,eastern,usa,NC,cc15
s294,p98,rto15,SA,NC,eastern,usa,NC,cc15
s295,p95,rto15,SA,SC,eastern,usa,SC,cc15
s296,p96,rto15,SA,SC,eastern,usa,SC,cc15
s297,p96,rto15,SA,SC,eastern,usa,SC,cc15
s298,p96,rto15,SA,SC,eastern,usa,SC,cc15
s299,p96,rto15,SA,SC,eastern,usa,SC,cc15
s300,p99,rto7,SA,VA,eastern,usa,VA,cc16
s301,p100,rto7,SA,VA,eastern,usa,VA,cc16
s302,p99,rto7,SA,VA,eastern,usa,VA,cc16
s303,p99,rto7,SA,VA,eastern,usa,VA,cc16
s304,p99,rto7,SA,VA,eastern,usa,VA,cc16
s305,p99,rto7,SA,VA,eastern,usa,VA,cc16
s306,p99,rto7,SA,VA,eastern,usa,VA,cc16
s307,p99,rto7,SA,VA,eastern,usa,VA,cc16
s308,p116,rto7,SA,WV,eastern,usa,WV,cc16
s309,p101,rto16,SA,FL,eastern,usa,FL,cc14
s310,p101,rto16,SA,FL,eastern,usa,FL,cc14
s311,p101,rto16,SA,FL,eastern,usa,FL,cc14
s312,p101,rto16,SA,FL,eastern,usa,FL,cc14
s313,p102,rto16,SA,FL,eastern,usa,FL,cc14
s314,p124,rto12,SA,VA,eastern,usa,VA,cc16
s315,p123,rto12,SA,MD,eastern,usa,RGGI,cc16
s316,p123,rto12,SA,MD,eastern,usa,RGGI,cc16
s317,p123,rto12,SA,MD,eastern,usa,RGGI,cc16
s318,p125,rto12,SA,DE,eastern,usa,RGGI,cc16
s319,p125,rto12,SA,DE,eastern,usa,RGGI,cc16
s320,p122,rto12,MA,PA,eastern,usa,PA,cc16
s321,p122,rto12,MA,PA,eastern,usa,PA,cc16
s322,p122,rto12,MA,PA,eastern,usa,PA,cc16
s323,p122,rto12,MA,PA,eastern,usa,PA,cc16
s324,p122,rto12,MA,PA,eastern,usa,PA,cc16
s325,p122,rto12,MA,PA,eastern,usa,PA,cc16
s326,p122,rto12,MA,PA,eastern,usa,PA,cc16
s327,p122,rto12,MA,PA,eastern,usa,PA,cc16
s328,p126,rto12,MA,NJ,eastern,usa,NJ,cc16
s329,p126,rto12,MA,NJ,eastern,usa,NJ,cc16
s330,p126,rto12,MA,NJ,eastern,usa,NJ,cc16
s331,p126,rto12,MA,NJ,eastern,usa,NJ,cc16
s332,p126,rto12,MA,NJ,eastern,usa,NJ,cc16
s333,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s334,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s335,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s336,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s337,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s338,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s339,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s340,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s341,p127,rto17,MA,NY,eastern,usa,RGGI,cc17
s342,p128,rto17,MA,NY,eastern,usa,RGGI,cc17
s343,p132,rto18,NE,CT,eastern,usa,RGGI,cc18
s344,p132,rto18,NE,CT,eastern,usa,RGGI,cc18
s345,p133,rto18,NE,RI,eastern,usa,RGGI,cc18
s346,p133,rto18,NE,RI,eastern,usa,RGGI,cc18
s347,p131,rto18,NE,MA,eastern,usa,RGGI,cc18
s348,p131,rto18,NE,MA,eastern,usa,RGGI,cc18
s349,p131,rto18,NE,MA,eastern,usa,RGGI,cc18
s350,p129,rto18,NE,VT,eastern,usa,RGGI,cc18
s351,p129,rto18,NE,VT,eastern,usa,RGGI,cc18
s352,p129,rto18,NE,VT,eastern,usa,RGGI,cc18
s353,p130,rto18,NE,NH,eastern,usa,RGGI,cc18
s354,p130,rto18,NE,NH,eastern,usa,RGGI,cc18
s355,p134,rto18,NE,ME,eastern,usa,RGGI,cc18
s356,p134,rto18,NE,ME,eastern,usa,RGGI,cc18
