,USA_BA_decarb_zc0,USA_BA_decarb_cc1,USA_BA_decarb_mc2,USA_BA_decarb_ac3,USA_BA_decarb_cm4,USA_BA_decarb_mm5,USA_BA_decarb_am6,USA_BA_decarb_ca7,USA_BA_decarb_ma8,USA_BA_decarb_aa9,USA_BA_bau_zc0,USA_BA_bau_cc1,USA_BA_bau_mc2,USA_BA_bau_ac3,USA_BA_bau_cm4,USA_BA_bau_mm5,USA_BA_bau_am6,USA_BA_bau_ca7,USA_BA_bau_ma8,USA_BA_bau_aa9,USA_BA_decarb_exogH2dem_mm5,USA_BA_decarb_highnuclear_zc0,USA_BA_decarb_highnuclear_cc1,USA_BA_decarb_highnuclear_mc2,USA_BA_decarb_highnuclear_ac3,USA_BA_decarb_highnuclear_cm4,USA_BA_decarb_highnuclear_mm5,USA_BA_decarb_highnuclear_am6,USA_BA_decarb_highnuclear_ca7,USA_BA_decarb_highnuclear_ma8,USA_BA_decarb_highnuclear_aa9,USA_BA_bau_highnuclear_zc0,USA_BA_bau_highnuclear_cc1,USA_BA_bau_highnuclear_mc2,USA_BA_bau_highnuclear_ac3,USA_BA_bau_highnuclear_cm4,USA_BA_bau_highnuclear_mm5,USA_BA_bau_highnuclear_am6,USA_BA_bau_highnuclear_ca7,USA_BA_bau_highnuclear_ma8,USA_BA_bau_highnuclear_aa9,USA_BA_decarb_highsolar_zc0,USA_BA_decarb_highsolar_cc1,USA_BA_decarb_highsolar_mc2,USA_BA_decarb_highsolar_ac3,USA_BA_decarb_highsolar_cm4,USA_BA_decarb_highsolar_mm5,USA_BA_decarb_highsolar_am6,USA_BA_decarb_highsolar_ca7,USA_BA_decarb_highsolar_ma8,USA_BA_decarb_highsolar_aa9,USA_BA_bau_highsolar_zc0,USA_BA_bau_highsolar_cc1,USA_BA_bau_highsolar_mc2,USA_BA_bau_highsolar_ac3,USA_BA_bau_highsolar_cm4,USA_BA_bau_highsolar_mm5,USA_BA_bau_highsolar_am6,USA_BA_bau_highsolar_ca7,USA_BA_bau_highsolar_ma8,USA_BA_bau_highsolar_aa9,USA_BA_decarb_highwind_zc0,USA_BA_decarb_highwind_cc1,USA_BA_decarb_highwind_mc2,USA_BA_decarb_highwind_ac3,USA_BA_decarb_highwind_cm4,USA_BA_decarb_highwind_mm5,USA_BA_decarb_highwind_am6,USA_BA_decarb_highwind_ca7,USA_BA_decarb_highwind_ma8,USA_BA_decarb_highwind_aa9,USA_BA_bau_highwind_zc0,USA_BA_bau_highwind_cc1,USA_BA_bau_highwind_mc2,USA_BA_bau_highwind_ac3,USA_BA_bau_highwind_cm4,USA_BA_bau_highwind_mm5,USA_BA_bau_highwind_am6,USA_BA_bau_highwind_ca7,USA_BA_bau_highwind_ma8,USA_BA_bau_highwind_aa9
GSw_H2CT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_H2_SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSw_H2_CompressorLoad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_H2_Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSw_H2_Demand_Case,,,,,,,,,,,,,,,,,,,,,Decarb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convscen,,,,,,,,,,,,,,,,,,,,,,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,conv_ATB_2023_low_nuclear_cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upvscen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_advanced,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative,upv_ATB_2023_conservative
distpvscen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_Low_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI,StScen2022_High_RE_Cost_LMI
onswindscen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_conservative,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced,ons-wind_ATB_2023_advanced
ofswindscen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_conservative,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced,ofs-wind_ATB_2023_advanced
GSw_SitingUPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
GSw_SitingWindOfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
GSw_SitingWindOns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
GSw_H2_Inputs,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced,moderate,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced,zero,conservative,moderate,advanced,conservative,moderate,advanced,conservative,moderate,advanced
h2ctscen,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_zero,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced,h2-ct_ATB_2023_conservative,h2-ct_ATB_2023_moderate,h2-ct_ATB_2023_advanced
h2tsscen,h2-ts_zero,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_zero,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_zero,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_zero,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_zero,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_zero,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_zero,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_zero,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate,h2-ts_moderate
batteryscen,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_moderate,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_conservative,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_moderate,battery_ATB_2023_advanced,battery_ATB_2023_advanced,battery_ATB_2023_advanced
