,Description,Default Value,Constant,Ref,RE80,RE90,RE95,RE97,RE99,RE100,LowRE_Ref,LowRE_RE80,LowRE_RE90,LowRE_RE95,LowRE_RE97,LowRE_RE99,LowRE_RE100,HighRE_Ref,HighRE_RE80,HighRE_RE90,HighRE_RE95,HighRE_RE97,HighRE_RE99,HighRE_RE100,NoTrans_Ref,NoTrans_RE80,NoTrans_RE90,NoTrans_RE95,NoTrans_RE97,NoTrans_RE99,NoTrans_RE100,HighBatt_Ref,HighBatt_RE80,HighBatt_RE90,HighBatt_RE95,HighBatt_RE97,HighBatt_RE99,HighBatt_RE100,LowBatt_Ref,LowBatt_RE80,LowBatt_RE90,LowBatt_RE95,LowBatt_RE97,LowBatt_RE99,LowBatt_RE100,LowDem_Ref,LowDem_RE80,LowDem_RE90,LowDem_RE95,LowDem_RE97,LowDem_RE99,LowDem_RE100,HighDem_Ref,HighDem_RE80,HighDem_RE90,HighDem_RE95,HighDem_RE97,HighDem_RE99,HighDem_RE100,LowNG_Ref,LowNG_RE80,LowNG_RE90,LowNG_RE95,LowNG_RE97,LowNG_RE99,LowNG_RE100,HighNG_Ref,HighNG_RE80,HighNG_RE90,HighNG_RE95,HighNG_RE97,HighNG_RE99,HighNG_RE100,CleanEnergy_RE80,CleanEnergy_RE90,CleanEnergy_RE95,CleanEnergy_RE97,CleanEnergy_RE99,CleanEnergy_RE100,CleanEnergy_CCS_RE80,CleanEnergy_CCS_RE90,CleanEnergy_CCS_RE95,CleanEnergy_CCS_RE97,CleanEnergy_CCS_RE99,CleanEnergy_CCS_RE100,HVDC_overlay_Ref,HVDC_overlay_RE80,HVDC_overlay_RE90,HVDC_overlay_RE95,HVDC_overlay_RE97,HVDC_overlay_RE99,HVDC_overlay_RE100,Low_RE_Batt_Cost_Ref,Low_RE_Batt_Cost_RE80,Low_RE_Batt_Cost_RE90,Low_RE_Batt_Cost_RE95,Low_RE_Batt_Cost_RE97,Low_RE_Batt_Cost_RE99,Low_RE_Batt_Cost_RE100,High_RE_Batt_Cost_Ref,High_RE_Batt_Cost_RE80,High_RE_Batt_Cost_RE90,High_RE_Batt_Cost_RE95,High_RE_Batt_Cost_RE97,High_RE_Batt_Cost_RE99,High_RE_Batt_Cost_RE100,Bus_Bar_Load_RE80,Bus_Bar_Load_RE90,Bus_Bar_Load_RE95,Bus_Bar_Load_RE97,Bus_Bar_Load_RE99,Bus_Bar_Load_RE100,LowCost_RE80,LowCost_RE90,LowCost_RE95,LowCost_RE97,LowCost_RE99,LowCost_RE100,2030_RE80,2030_RE90,2030_RE95,2030_RE97,2030_RE99,2030_RE100,2040_RE80,2040_RE90,2040_RE95,2040_RE97,2040_RE99,2040_RE100,No_RE_CT_RE97,No_RE_CT_RE99,No_RE_CT_RE100
marg_stor_mw,MW for marginal storage cur calcs,100,,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,500,750,1000,1000,1000,1000,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,,500,750,1000,1000,1000,1000,500,750,1000,1000,1000,1000,500,750,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GSw_AB32,Turn on/off AB32,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Geothermal,"Geothermal can be turned off [0], left to the default representation [1], or have an extended representation [2]",1,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_HighCostTrans,Turn on higher cost and higher losses transmission,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_GenMandate,Turn on/off national Gen Requirement,0,,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSw_RenMandateScen,Select Scenario for National RPS,100,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,80,90,95,97,99,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,,80,90,95,97,99,,80,90,95,97,99,,80,90,95,97,99,,80_2030,90_2030,95_2030,97_2030,99_2030,100_2030,80_2040,90_2040,95_2040,97_2040,99_2040,100_2040,97,99,
GSw_OpResReqMult,Switch to multiply operating reserve requirement by this number,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_ReducedResource,Turn on/off switch to reduce the RE resource available,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_RGGI,Turn on/off RGGI,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_StateRPS,Turn on/off state RPS requirements,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_SeasonalStorage,Turn on/off all seasonal storage,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TranRestrict,"0=default, 1=intra-state only, 2=no new trans, 3=allow new AC-DC-AC interties",0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_ConstantGenMandate,Turn on/off national nuclear gen mandate,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_CleanEnergy,"turn on/off national generation constraint can be satisfied with nuclear and ccs; 1 = Nuclear counts, 2 = Nuclear andd CCS count",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,,,,,,
GSw_MinCFCon,Turn on/off min CF constraint,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TranScen,Select Transmission Scenario,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HVDC_Certain,HVDC_Certain,HVDC_Certain,HVDC_Certain,HVDC_Certain,HVDC_Certain,HVDC_Certain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Upgrades,Switch to turn upgrades on or off - not to be used with water constraints,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
GSw_BanRECT,Switch to ban RECT and RECC techs,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
file_replacements,"List of files to replace from run folder, e.g: inputs_case/national_gen_frac.csv << //nrelqnap02/ReEDS/some proj/national_gen_frac.csv || c_supplymodel.gms << //nrelqnap02/ReEDS/some proj/c_supplymodel.gms",none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpc,switch to run on the hpc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
