case,Description,Default Value,Mid_Case,Mid_Case_NoNascent,Low_Demand_Growth,High_Demand_Growth,Adv_NG,Con_NG,Adv_RE,Con_RE,Adv_Nuclear,Con_Nuclear,Con_CCS,Adv_CCS,DC_Trans,Limited_Trans,Reduced_RE_Resource,No_TC_Expiration,DAC,High_H2,High_H2_and_Demand,Mid_Case_95by2050,Mid_Case_CO2e_95by2050,Mid_Case_CO2e_95by2050_NoFFOffset,Mid_Case_100by2035,Mid_Case_CO2e_100by2035,Mid_Case_CO2e_100by2035_NoFFOffset,Mid_Case_CO2e_100by2035_NoNascent,Low_Demand_Growth_CO2e_100by2035,High_Demand_Growth_CO2e_100by2035,Adv_NG_CO2e_100by2035,Con_NG_CO2e_100by2035,Adv_RE_CO2e_100by2035,Con_RE_CO2e_100by2035,Adv_Nuclear_CO2e_100by2035,Con_Nuclear_CO2e_100by2035,Con_CCS_CO2e_100by2035,Adv_CCS_CO2e_100by2035,DC_Tran_CO2e_100by2035,Limited_Trans_CO2e_100by2035,Reduced_RE_Resource_CO2e_100by2035,No_TC_Expiration_CO2e_100by2035,DAC_CO2e_100by2035,High_H2_CO2e_100by2035,High_H2_and_Demand_CO2e_100by2035,Mid_Case_95by2035,Mid_Case_CO2e_95by2035,Mid_Case_CO2e_95by2035_NoFFOffset,High_Demand_NoNascent,Mid_Case_noGrowthPenalties,Reduced_Wind_Resource,Mid_Case_NoFirmCapImpConst,Mid_Case_No_TC_Expiration,Mid_Case_NoNascent_No_TC_Expiration,Low_Demand_Growth_No_TC_Expiration,High_Demand_Growth_No_TC_Expiration,Adv_NG_No_TC_Expiration,Con_NG_No_TC_Expiration,Adv_RE_No_TC_Expiration,Con_RE_No_TC_Expiration,Adv_Nuclear_No_TC_Expiration,Con_Nuclear_No_TC_Expiration,Con_CCS_No_TC_Expiration,Adv_CCS_No_TC_Expiration,DC_Trans_No_TC_Expiration,Limited_Trans_No_TC_Expiration,Reduced_RE_Resource_No_TC_Expiration,DAC_No_TC_Expiration,High_H2_No_TC_Expiration,High_H2_and_Demand_No_TC_Expiration,Mid_Case_No_IRA,Mid_Case_No_111D,Mid_Case_No_IRA_111D,Mid_Case_No_IRA_111D_Upgrades
ngscen,Natural gas price scenario,AEO_2025_reference,,,,,AEO_2025_HOG,AEO_2025_LOG,,,,,,,,,,,,,,,,,,,,,,,AEO_2025_HOG,AEO_2025_LOG,,,,,,,,,,,,,,,,,,,,,,,,,AEO_2025_HOG,AEO_2025_LOG,,,,,,,,,,,,,,,,
upvscen,UPV cost and performance characteristics,upv_ATB_2024_moderate,,,,,,,upv_ATB_2024_advanced,upv_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,upv_ATB_2024_advanced,upv_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,,,upv_ATB_2024_advanced,upv_ATB_2024_conservative,,,,,,,,,,,,,,
onswindscen,Onshore wind cost and performance characteristics,ons-wind_ATB_2024_moderate,,,,,,,ons-wind_ATB_2024_advanced,ons-wind_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,ons-wind_ATB_2024_advanced,ons-wind_ATB_2024_conservative,,,,,,,,,,,,,,,,,,,,,,,,,ons-wind_ATB_2024_advanced,ons-wind_ATB_2024_conservative,,,,,,,,,,,,,,
ofswindscen,Offshore wind cost and performance characteristics,ofs-wind_ATB_2024_moderate,,ofs-wind_ATB_2024_moderate_noFloating,,,,,ofs-wind_ATB_2024_advanced,ofs-wind_ATB_2024_conservative,,,,,,,,,,,,,,,,,,ofs-wind_ATB_2024_moderate_noFloating,,,,,ofs-wind_ATB_2024_advanced,ofs-wind_ATB_2024_conservative,,,,,,,,,,,,,,,ofs-wind_ATB_2024_moderate_noFloating,,,,,ofs-wind_ATB_2024_moderate_noFloating,,,,,ofs-wind_ATB_2024_advanced,ofs-wind_ATB_2024_conservative,,,,,,,,,,,,,,
GSw_AnnualCap,"Turn on/off CO2/CO2e cap, 0=no cap, 1=CO2 cap, 2=CO2e cap",0,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_AnnualCapScen,Scenario for CO2 cap pathway,default,,,,,,,,,,,,,,,,,,,,start2027_95pct2050,start2027_95pct2050_co2eWprecomb,start2027_95pct2050_co2eWprecomb,start2027_100pct2035,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_100pct2035_co2eWprecomb,start2027_95pct2035,start2027_95pct2035_co2eWprecomb,start2027_95pct2035_co2eWprecomb,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_BECCS,Turn on/off BECCS technology,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
GSw_CCS,Turn on/off all CCS,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
GSw_Clean_Air_Act,"Turn on/off the provisions under the Clean Air Act, Section 111",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
GSw_DAC,"Turn on or off the representation of direct air capture [0 = off, 1 = on with projection specified by dacscen]",0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
GSw_EFS1_AllYearLoad,"Switch to choose EFS profiles - e.g. historic, EPREFERENCE, EPMEDIUM, EPHIGH",EER_IRAlow,,,EER_Baseline_AEO2022,EER_100by2050,,,,,,,,,,,,,,,EER_100by2050,,,,,,,,EER_Baseline_AEO2022,EER_100by2050,,,,,,,,,,,,,,,EER_100by2050,,,,EER_100by2050,,,,,,EER_Baseline_AEO2022,EER_100by2050,,,,,,,,,,,,,,EER_100by2050,,,,
GSw_Geothermal,"Geothermal can be turned off [0], left to the default representation [1], or have an extended representation [2]",2,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
GSw_gopt,Select opt file to be used,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_GrowthAbsCon,Turn on/off absolute growth constraint,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_GrowthPenalties,Turn on/off relative growth penalties,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_H2,Turn on/off the representation of the production of hydrogen at a national (1) or regional(2) level,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_H2_Demand_Case,H2 demand case as indicated by the column headers in inputs/consume/h2_exogenous_demand.csv,None,,,,,,,,,,,,,,,,,,Decarb,Decarb,,,,,,,,,,,,,,,,,,,,,,,Decarb,Decarb,,,,Decarb,,,,,,,,,,,,,,,,,,,,Decarb,Decarb,,,,
GSw_H2Combustion,Switch to turn on/off H2CT and H2CC techs,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
GSw_HourlyChunkLengthRep,Length of representative-period dispatch timeslices in hours,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_HourlyChunkLengthStress,Length of stress-period dispatch timeslices in hours,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NoFossilOffsetCDR,If on (=1) then CO2 removal from DAC/BECCS is only allowed to offset emissions from fossil+CCS,0,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearSMR,Turn on [1] / off [0] Nuclear-SMR,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
GSw_NukeNoRetireYear,If GSw_NukeNoRetire is enabled nuclear cannot retire through the end of this year,2032,,,,,,,,,,,,,,,,2060,,,,,,,,,,,,,,,,,,,,,,,,2060,,,,,,,,,,,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2026,,2026,2026
GSw_Precombustion,Include both precombustion and combustion emissions in CO2 and CO2e calculation,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_PRM_NetImportLimit,Turn on [1] / off [0] eq_firm_transfer_limit constraint on max firm net imports,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GSw_ReducedResource,Turn on/off switch to reduce the RE resource available,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
GSw_SitingUPV,"Specify the UPV siting scenario [reference, open, limited]",reference,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,
GSw_SitingWindOfs,"Specify the offshore wind siting scenario [open, reference, limited]",reference,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,limited,,,,,,,,,,,,,,,,limited,,,,,,,
GSw_SitingWindOns,"Specify the onshore wind siting scenario [reference, open, limited, limitedplus]",reference,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,limited,,,,,,,,,,,,,,,,limited,,,,,,,
GSw_TCPhaseout,"Switch for whether tax credit Phaseout is enabled (0=no, 1=yes)",1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
GSw_TransCapMaxAllTypes,[GW] maximum transmission capacity allowed across each individual BA-BA interface for all trtypes together (constraint is off if set to 0; must be 0 or >= existing capacity (26.13 for AC)),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TransHurdleLevel1,Region whose hurdle rate rate1 is applied to (defined in cost_hurdle_intra.csv and should match with GSw_TransHurdleLevel1),transgrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TransHurdleLevel2,Region whose hurdle rate rate2 is applied to (defined in cost_hurdle_intra.csv and should match with GSw_TransHurdleLevel2),hurdlereg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TransHurdleRate,Turn on / off hurdle rate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TransInvMaxLongTerm,[TW-mile/year] maximum transmission capacity investment per year IN/AFTER firstyear_trans_longterm (constraint is OFF if set to 0 meaning unlimited trans investment; annual max since 2009 is ~3.64),0,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,
GSw_TransRestrict,hierarchy level within which to allow new transmission lines,country,,,,,,,,,,,,,,transreg,,,,,,,,,,,,,,,,,,,,,,,,transreg,,,,,,,,,,,,,,,,,,,,,,,,,,transreg,,,,,,,,
GSw_TransScen,"Select Transmission Scenario [default, LCC_all, LCC_SeamsD3_certain, etc]",default,,,,,,,,,,,,,VSC_all,,,,,,,,,,,,,,,,,,,,,,,,VSC_all,,,,,,,,,,,,,,,,,,,,,,,,,,VSC_all,,,,,,,,,
GSw_UpgradeCost_Mult,CCS upgrade cost scenario: 0=mid 1=adv 2=con,0,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
GSw_Upgrades,Turn on/off upgrades,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
GSw_VSC,Switch to turn on/off multi-terminal VSC HVDC macrogrid as an investment option,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
