r,h,i,value
s104,H6,csp1_3,0.405032319
s104,H6,csp1_2,0.412084075
s104,H6,csp1_1,0.404800585
s104,H7,csp1_3,0.396057377
s104,H7,csp1_2,0.410420492
s104,H7,csp1_1,0.41197377
s104,H8,csp1_3,0.009197869
s104,H8,csp1_2,0.006820984
s104,H8,csp1_1,0.00478459
s105,H1,csp1_2,8.15E-05
s105,H10,csp1_2,0.215174345
s105,H10,csp1_1,0.142854286
s105,H11,csp1_2,0.259964688
s105,H11,csp1_1,0.306173958
s105,H12,csp1_1,0.003069
s105,H14,csp1_2,0.43015
s105,H14,csp1_1,0.317846817
s105,H15,csp1_2,0.491884239
s105,H15,csp1_1,0.520826495
s105,H16,csp1_2,0.027690435
s105,H16,csp1_1,0.078417609
s105,H17,csp1_2,0.56466875
s105,H17,csp1_1,0.622208424
s105,H2,csp1_2,0.558198758
s105,H2,csp1_1,0.443370807
s105,H3,csp1_2,0.56466875
s105,H3,csp1_1,0.622208424
s105,H4,csp1_2,0.075661413
s105,H4,csp1_1,0.156776196
s105,H6,csp1_2,0.423098478
s105,H6,csp1_1,0.343795433
s105,H7,csp1_2,0.452041803
s105,H7,csp1_1,0.562472951
s105,H8,csp1_2,0.006415246
s105,H8,csp1_1,0.045264754
s106,H1,csp1_2,8.17E-05
s106,H10,csp1_2,0.228289583
s106,H10,csp1_1,0.167117976
s106,H11,csp1_2,0.255796354
s106,H11,csp1_1,0.363399896
s106,H12,csp1_1,0.004529
s106,H14,csp1_2,0.424403183
s106,H14,csp1_1,0.323945963
s106,H15,csp1_2,0.497608424
s106,H15,csp1_1,0.516937772
s106,H16,csp1_2,0.024185326
s106,H16,csp1_1,0.076799891
s106,H17,csp1_2,0.546585598
s106,H17,csp1_1,0.6226
s106,H2,csp1_2,0.53618028
s106,H2,csp1_1,0.46742104
s106,H3,csp1_2,0.546585598
s106,H3,csp1_1,0.6226
s106,H4,csp1_2,0.069849565
s106,H4,csp1_1,0.153177826
s106,H6,csp1_2,0.446187822
s106,H6,csp1_1,0.358015925
s106,H7,csp1_2,0.476794467
s106,H7,csp1_1,0.56477541
s106,H8,csp1_2,0.00451377
s106,H8,csp1_1,0.04720377
s107,H1,csp1_2,2.42E-05
s107,H10,csp1_3,0.241451964
s107,H10,csp1_2,0.242135833
s107,H10,csp1_4,0.218941369
s107,H11,csp1_3,0.271845313
s107,H11,csp1_2,0.258296458
s107,H11,csp1_4,0.255981563
s107,H14,csp1_3,0.467450311
s107,H14,csp1_2,0.432855047
s107,H14,csp1_4,0.445008618
s107,H15,csp1_3,0.500236549
s107,H15,csp1_2,0.48868125
s107,H15,csp1_4,0.481488179
s107,H16,csp1_3,0.027906304
s107,H16,csp1_2,0.025139239
s107,H16,csp1_4,0.030979674
s107,H17,csp1_3,0.601189538
s107,H17,csp1_2,0.562143886
s107,H17,csp1_4,0.60211019
s107,H2,csp1_3,0.577019177
s107,H2,csp1_2,0.556656134
s107,H2,csp1_4,0.583930978
s107,H3,csp1_3,0.601189538
s107,H3,csp1_2,0.562143886
s107,H3,csp1_4,0.60211019
s107,H4,csp1_3,0.077764348
s107,H4,csp1_2,0.070365652
s107,H4,csp1_4,0.069601848
s107,H6,csp1_3,0.461702342
s107,H6,csp1_2,0.454448009
s107,H6,csp1_4,0.46707459
s107,H7,csp1_3,0.493922336
s107,H7,csp1_2,0.476092418
s107,H7,csp1_4,0.466501639
s107,H8,csp1_3,0.006350328
s107,H8,csp1_2,0.005652131
s107,H8,csp1_4,0.007661803
s108,H1,csp1_3,9.84E-05
s108,H1,csp1_2,0.000264742
s108,H10,csp1_3,0.271925893
s108,H10,csp1_2,0.26336131
s108,H10,csp1_1,0.185072679
s108,H11,csp1_3,0.281665104
s108,H11,csp1_2,0.272417813
s108,H11,csp1_1,0.379498021
s108,H12,csp1_1,0.0050725
s108,H13,csp1_2,7.49E-05
s108,H14,csp1_3,0.457475621
s108,H14,csp1_2,0.435811413
s108,H14,csp1_1,0.348930124
s108,H15,csp1_3,0.497081522
s108,H15,csp1_2,0.474559103
s108,H15,csp1_1,0.522893478
s108,H16,csp1_3,0.022502391
s108,H16,csp1_2,0.023017283
s108,H16,csp1_1,0.080589783
s108,H17,csp1_3,0.620520652
s108,H17,csp1_2,0.615575951
s108,H17,csp1_1,0.644344837
s108,H2,csp1_3,0.574414208
s108,H2,csp1_2,0.57637205
s108,H2,csp1_1,0.454649379
s108,H3,csp1_3,0.620520652
s108,H3,csp1_2,0.615575951
s108,H3,csp1_1,0.644344837
s108,H4,csp1_3,0.071071413
s108,H4,csp1_2,0.063475109
s108,H4,csp1_1,0.140042826
s108,H6,csp1_3,0.481092155
s108,H6,csp1_2,0.486773888
s108,H6,csp1_1,0.37345082
s108,H7,csp1_3,0.47187377
s108,H7,csp1_2,0.452694877
s108,H7,csp1_1,0.566876639
s108,H8,csp1_3,0.005873115
s108,H8,csp1_2,0.005363934
s108,H8,csp1_1,0.045743279
s109,H10,csp1_1,0.151384583
s109,H11,csp1_1,0.31104875
s109,H12,csp1_1,0.00211375
s109,H14,csp1_1,0.31766646
s109,H15,csp1_1,0.522919973
s109,H16,csp1_1,0.073756739
s109,H17,csp1_1,0.581145516
s109,H2,csp1_1,0.433888432
s109,H3,csp1_1,0.581145516
s109,H4,csp1_1,0.156540761
s109,H6,csp1_1,0.328240047
s109,H7,csp1_1,0.528989549
s109,H8,csp1_1,0.038867705
s110,H10,csp1_2,0.15266881
s110,H10,csp1_1,0.167471786
s110,H11,csp1_2,0.334126458
s110,H11,csp1_1,0.35439875
s110,H12,csp1_2,0.00385775
s110,H12,csp1_1,0.003157167
s110,H14,csp1_2,0.316754193
s110,H14,csp1_1,0.331860248
s110,H15,csp1_2,0.540691848
s110,H15,csp1_1,0.513025679
s110,H16,csp1_2,0.08174163
s110,H16,csp1_1,0.079023478
s110,H17,csp1_2,0.611885598
s110,H17,csp1_1,0.622519701
s110,H2,csp1_2,0.465780823
s110,H2,csp1_1,0.44675396
s110,H3,csp1_2,0.611885598
s110,H3,csp1_1,0.622519701
s110,H4,csp1_2,0.160392174
s110,H4,csp1_1,0.150972391
s110,H6,csp1_2,0.365338759
s110,H6,csp1_1,0.363458782
s110,H7,csp1_2,0.5602875
s110,H7,csp1_1,0.536482172
s110,H8,csp1_2,0.050891967
s110,H8,csp1_1,0.041011803
s111,H10,csp1_2,0.184378095
s111,H10,csp1_1,0.184505774
s111,H11,csp1_2,0.389061146
s111,H11,csp1_1,0.374488958
s111,H12,csp1_2,0.0043465
s111,H12,csp1_1,0.002935417
s111,H14,csp1_2,0.346898758
s111,H14,csp1_1,0.358891615
s111,H15,csp1_2,0.528805299
s111,H15,csp1_1,0.514079348
s111,H16,csp1_2,0.0758475
s111,H16,csp1_1,0.072929239
s111,H17,csp1_2,0.668030435
s111,H17,csp1_1,0.623217527
s111,H2,csp1_2,0.457065062
s111,H2,csp1_1,0.459058463
s111,H3,csp1_2,0.668030435
s111,H3,csp1_1,0.623217527
s111,H4,csp1_2,0.14498837
s111,H4,csp1_1,0.146085217
s111,H6,csp1_2,0.366315105
s111,H6,csp1_1,0.379092037
s111,H7,csp1_2,0.586353893
s111,H7,csp1_1,0.547326844
s111,H8,csp1_2,0.044844426
s111,H8,csp1_1,0.032682951
s112,H10,csp1_1,0.169241548
s112,H11,csp1_1,0.309773333
s112,H12,csp1_1,0.001806583
s112,H14,csp1_1,0.33109146
s112,H15,csp1_1,0.475752582
s112,H16,csp1_1,0.068913261
s112,H17,csp1_1,0.601345109
s112,H2,csp1_1,0.438861879
s112,H3,csp1_1,0.601345109
s112,H4,csp1_1,0.141156196
s112,H6,csp1_1,0.351990398
s112,H7,csp1_1,0.491665779
s112,H8,csp1_1,0.036218852
s113,H10,csp1_1,0.182235119
s113,H11,csp1_1,0.335978125
s113,H12,csp1_1,0.00217625
s113,H14,csp1_1,0.339671118
s113,H15,csp1_1,0.483768071
s113,H16,csp1_1,0.070051522
s113,H17,csp1_1,0.585478804
s113,H2,csp1_1,0.43666545
s113,H3,csp1_1,0.585478804
s113,H4,csp1_1,0.148092391
s113,H6,csp1_1,0.372321194
s113,H7,csp1_1,0.536496721
s113,H8,csp1_1,0.036012295
s114,H10,csp1_3,0.22188631
s114,H10,csp1_2,0.201526905
s114,H10,csp1_5,0.262305
s114,H10,csp1_4,0.243928155
s114,H11,csp1_3,0.296124167
s114,H11,csp1_2,0.292847917
s114,H11,csp1_5,0.328869896
s114,H11,csp1_4,0.293814375
s114,H14,csp1_3,0.460937966
s114,H14,csp1_2,0.426323758
s114,H14,csp1_5,0.517194255
s114,H14,csp1_4,0.447739519
s114,H15,csp1_3,0.552513179
s114,H15,csp1_2,0.510597147
s114,H15,csp1_5,0.54992038
s114,H15,csp1_4,0.520407473
s114,H16,csp1_3,0.036619022
s114,H16,csp1_2,0.030127174
s114,H16,csp1_5,0.038513152
s114,H16,csp1_4,0.032990109
s114,H17,csp1_3,0.564711957
s114,H17,csp1_2,0.542407065
s114,H17,csp1_5,0.598440217
s114,H17,csp1_4,0.590125679
s114,H2,csp1_3,0.593931444
s114,H2,csp1_2,0.58920854
s114,H2,csp1_5,0.620488665
s114,H2,csp1_4,0.615353882
s114,H3,csp1_3,0.564711957
s114,H3,csp1_2,0.542407065
s114,H3,csp1_5,0.598440217
s114,H3,csp1_4,0.590125679
s114,H4,csp1_3,0.060278478
s114,H4,csp1_2,0.06294913
s114,H4,csp1_5,0.063927717
s114,H4,csp1_4,0.06821337
s114,H6,csp1_3,0.451408431
s114,H6,csp1_2,0.435057845
s114,H6,csp1_5,0.457221663
s114,H6,csp1_4,0.482545316
s114,H7,csp1_3,0.47908668
s114,H7,csp1_2,0.467464139
s114,H7,csp1_5,0.478167623
s114,H7,csp1_4,0.495769672
s114,H8,csp1_3,0.007372459
s114,H8,csp1_2,0.008146557
s114,H8,csp1_5,0.008288197
s114,H8,csp1_4,0.007620656
s115,H10,csp1_3,0.246150595
s115,H10,csp1_2,0.261096071
s115,H10,csp1_5,0.308494226
s115,H10,csp1_4,0.26651119
s115,H11,csp1_3,0.283169271
s115,H11,csp1_2,0.332691979
s115,H11,csp1_5,0.342425
s115,H11,csp1_4,0.31952625
s115,H14,csp1_3,0.441263043
s115,H14,csp1_2,0.437833385
s115,H14,csp1_5,0.49929278
s115,H14,csp1_4,0.456248525
s115,H15,csp1_3,0.485604484
s115,H15,csp1_2,0.543821603
s115,H15,csp1_5,0.555765217
s115,H15,csp1_4,0.538151087
s115,H16,csp1_3,0.025618043
s115,H16,csp1_2,0.032519457
s115,H16,csp1_5,0.033304783
s115,H16,csp1_4,0.031650217
s115,H17,csp1_3,0.575549457
s115,H17,csp1_2,0.642891712
s115,H17,csp1_5,0.664961685
s115,H17,csp1_4,0.658303125
s115,H2,csp1_3,0.600833696
s115,H2,csp1_2,0.615506366
s115,H2,csp1_5,0.587891537
s115,H2,csp1_4,0.612074612
s115,H3,csp1_3,0.575549457
s115,H3,csp1_2,0.642891712
s115,H3,csp1_5,0.664961685
s115,H3,csp1_4,0.658303125
s115,H4,csp1_3,0.066242935
s115,H4,csp1_2,0.069429891
s115,H4,csp1_5,0.068191304
s115,H4,csp1_4,0.069699674
s115,H6,csp1_3,0.477470375
s115,H6,csp1_2,0.450117564
s115,H6,csp1_5,0.476687822
s115,H6,csp1_4,0.481354918
s115,H7,csp1_3,0.512024795
s115,H7,csp1_2,0.496816803
s115,H7,csp1_5,0.505468238
s115,H7,csp1_4,0.500997541
s115,H8,csp1_3,0.006243279
s115,H8,csp1_2,0.007744262
s115,H8,csp1_5,0.007132295
s115,H8,csp1_4,0.006868197
s116,H10,csp1_3,0.206879643
s116,H10,csp1_2,0.215447202
s116,H10,csp1_1,0.199709643
s116,H10,csp1_4,0.21206381
s116,H11,csp1_3,0.408155104
s116,H11,csp1_2,0.399645
s116,H11,csp1_1,0.382494063
s116,H11,csp1_4,0.436204167
s116,H12,csp1_3,0.005067917
s116,H12,csp1_2,0.004376083
s116,H12,csp1_1,0.003527333
s116,H12,csp1_4,0.00564225
s116,H14,csp1_3,0.358907686
s116,H14,csp1_2,0.370710637
s116,H14,csp1_1,0.37680823
s116,H14,csp1_4,0.379296584
s116,H15,csp1_3,0.570546875
s116,H15,csp1_2,0.533472418
s116,H15,csp1_1,0.520224592
s116,H15,csp1_4,0.601121739
s116,H16,csp1_3,0.09208587
s116,H16,csp1_2,0.081932283
s116,H16,csp1_1,0.077440326
s116,H16,csp1_4,0.100542283
s116,H17,csp1_3,0.697885734
s116,H17,csp1_2,0.647947826
s116,H17,csp1_1,0.636831114
s116,H17,csp1_4,0.709942527
s116,H2,csp1_3,0.501753261
s116,H2,csp1_2,0.458693245
s116,H2,csp1_1,0.451928882
s116,H2,csp1_4,0.495673758
s116,H3,csp1_3,0.697885734
s116,H3,csp1_2,0.647947826
s116,H3,csp1_1,0.636831114
s116,H3,csp1_4,0.709942527
s116,H4,csp1_3,0.162988152
s116,H4,csp1_2,0.153469457
s116,H4,csp1_1,0.150507609
s116,H4,csp1_4,0.168717717
s116,H6,csp1_3,0.397183724
s116,H6,csp1_2,0.388116042
s116,H6,csp1_1,0.367340867
s116,H6,csp1_4,0.386967799
s116,H7,csp1_3,0.601381352
s116,H7,csp1_2,0.588619672
s116,H7,csp1_1,0.573369467
s116,H7,csp1_4,0.617654918
s116,H8,csp1_3,0.047116066
s116,H8,csp1_2,0.037886066
s116,H8,csp1_1,0.03755459
s116,H8,csp1_4,0.052465082
s117,H10,csp1_3,0.211854821
s117,H10,csp1_2,0.22235756
s117,H10,csp1_1,0.226721726
s117,H10,csp1_5,0.22626125
s117,H10,csp1_4,0.210710476
s117,H11,csp1_3,0.432634271
s117,H11,csp1_2,0.402684896
s117,H11,csp1_1,0.358740104
s117,H11,csp1_5,0.469067708
s117,H11,csp1_4,0.448088958
s117,H12,csp1_3,0.004913083
s117,H12,csp1_2,0.003439917
s117,H12,csp1_1,0.003263583
s117,H12,csp1_5,0.006206083
s117,H12,csp1_4,0.007748917
s117,H14,csp1_3,0.406082298
s117,H14,csp1_2,0.412467935
s117,H14,csp1_1,0.411278183
s117,H14,csp1_5,0.405644953
s117,H14,csp1_4,0.37690722
s117,H15,csp1_3,0.563383696
s117,H15,csp1_2,0.557280163
s117,H15,csp1_1,0.539778397
s117,H15,csp1_5,0.631862908
s117,H15,csp1_4,0.582864538
s117,H16,csp1_3,0.091332609
s117,H16,csp1_2,0.077216957
s117,H16,csp1_1,0.069143043
s117,H16,csp1_5,0.119277826
s117,H16,csp1_4,0.108522283
s117,H17,csp1_3,0.705380027
s117,H17,csp1_2,0.670740897
s117,H17,csp1_1,0.652176902
s117,H17,csp1_5,0.718072147
s117,H17,csp1_4,0.726403261
s117,H2,csp1_3,0.476843944
s117,H2,csp1_2,0.482507298
s117,H2,csp1_1,0.474614984
s117,H2,csp1_5,0.470428106
s117,H2,csp1_4,0.494918245
s117,H3,csp1_3,0.705380027
s117,H3,csp1_2,0.670740897
s117,H3,csp1_1,0.652176902
s117,H3,csp1_5,0.718072147
s117,H3,csp1_4,0.726403261
s117,H4,csp1_3,0.165435435
s117,H4,csp1_2,0.154830761
s117,H4,csp1_1,0.137203913
s117,H4,csp1_5,0.158443152
s117,H4,csp1_4,0.16765663
s117,H6,csp1_3,0.380403279
s117,H6,csp1_2,0.374362178
s117,H6,csp1_1,0.35302096
s117,H6,csp1_5,0.372726815
s117,H6,csp1_4,0.389505972
s117,H7,csp1_3,0.575065574
s117,H7,csp1_2,0.577551434
s117,H7,csp1_1,0.538230533
s117,H7,csp1_5,0.591886885
s117,H7,csp1_4,0.622809016
s117,H8,csp1_3,0.043630328
s117,H8,csp1_2,0.032533934
s117,H8,csp1_1,0.031057541
s117,H8,csp1_5,0.055794754
s117,H8,csp1_4,0.056854918
s118,H10,csp1_2,0.228929762
s118,H10,csp1_1,0.211886369
s118,H11,csp1_2,0.413293646
s118,H11,csp1_1,0.387833021
s118,H12,csp1_2,0.004689917
s118,H12,csp1_1,0.00324025
s118,H14,csp1_2,0.400764984
s118,H14,csp1_1,0.389423447
s118,H15,csp1_2,0.553030842
s118,H15,csp1_1,0.547596196
s118,H16,csp1_2,0.083722065
s118,H16,csp1_1,0.077360109
s118,H17,csp1_2,0.655067935
s118,H17,csp1_1,0.629340082
s118,H2,csp1_2,0.465119332
s118,H2,csp1_1,0.462792857
s118,H3,csp1_2,0.655067935
s118,H3,csp1_1,0.629340082
s118,H4,csp1_2,0.151639891
s118,H4,csp1_1,0.141602065
s118,H6,csp1_2,0.373391569
s118,H6,csp1_1,0.368705738
s118,H7,csp1_2,0.590654303
s118,H7,csp1_1,0.574865164
s118,H8,csp1_2,0.040177049
s118,H8,csp1_1,0.034915082
s119,H10,csp1_1,0.225515179
s119,H11,csp1_1,0.339513125
s119,H12,csp1_1,0.00227925
s119,H14,csp1_1,0.391549689
s119,H15,csp1_1,0.530608424
s119,H16,csp1_1,0.066264348
s119,H17,csp1_1,0.621783696
s119,H2,csp1_1,0.475199612
s119,H3,csp1_1,0.621783696
s119,H4,csp1_1,0.129616196
s119,H6,csp1_1,0.349756206
s119,H7,csp1_1,0.52490041
s119,H8,csp1_1,0.026198033
s134,H10,csp1_1,0.244270179
s134,H11,csp1_1,0.358196875
s134,H12,csp1_1,0.002138083
s134,H14,csp1_1,0.369462966
s134,H15,csp1_1,0.545630027
s134,H16,csp1_1,0.065313043
s134,H17,csp1_1,0.629900815
s134,H2,csp1_1,0.475907065
s134,H3,csp1_1,0.629900815
s134,H4,csp1_1,0.122868913
s134,H6,csp1_1,0.344948829
s134,H7,csp1_1,0.49534918
s134,H8,csp1_1,0.023351803
s135,H10,csp1_3,0.237053452
s135,H10,csp1_6,0.24900381
s135,H10,csp1_5,0.25044506
s135,H10,csp1_4,0.250772024
s135,H10,csp1_7,0.261984286
s135,H11,csp1_3,0.455571563
s135,H11,csp1_6,0.541715625
s135,H11,csp1_5,0.523170938
s135,H11,csp1_4,0.474203542
s135,H11,csp1_7,0.56386
s135,H12,csp1_3,0.006354417
s135,H12,csp1_6,0.011788083
s135,H12,csp1_5,0.011359833
s135,H12,csp1_4,0.007374417
s135,H12,csp1_7,0.014717583
s135,H14,csp1_3,0.409543323
s135,H14,csp1_6,0.411590839
s135,H14,csp1_5,0.413907764
s135,H14,csp1_4,0.40948618
s135,H14,csp1_7,0.429449534
s135,H15,csp1_3,0.571555978
s135,H15,csp1_6,0.65063125
s135,H15,csp1_5,0.630121196
s135,H15,csp1_4,0.616306793
s135,H15,csp1_7,0.68192038
s135,H16,csp1_3,0.097826087
s135,H16,csp1_6,0.110130217
s135,H16,csp1_5,0.106762717
s135,H16,csp1_4,0.093520652
s135,H16,csp1_7,0.12403913
s135,H17,csp1_3,0.697388723
s135,H17,csp1_6,0.754114538
s135,H17,csp1_5,0.727573098
s135,H17,csp1_4,0.703805299
s135,H17,csp1_7,0.752977989
s135,H2,csp1_3,0.481728804
s135,H2,csp1_6,0.51799309
s135,H2,csp1_5,0.500407609
s135,H2,csp1_4,0.485643401
s135,H2,csp1_7,0.514629658
s135,H3,csp1_3,0.697388723
s135,H3,csp1_6,0.754114538
s135,H3,csp1_5,0.727573098
s135,H3,csp1_4,0.703805299
s135,H3,csp1_7,0.752977989
s135,H4,csp1_3,0.158352717
s135,H4,csp1_6,0.177832717
s135,H4,csp1_5,0.164102174
s135,H4,csp1_4,0.157020652
s135,H4,csp1_7,0.178128152
s135,H6,csp1_3,0.391752927
s135,H6,csp1_6,0.402073419
s135,H6,csp1_5,0.367862998
s135,H6,csp1_4,0.360750234
s135,H6,csp1_7,0.399529274
s135,H7,csp1_3,0.610044877
s135,H7,csp1_6,0.654807787
s135,H7,csp1_5,0.591821311
s135,H7,csp1_4,0.570001434
s135,H7,csp1_7,0.672818648
s135,H8,csp1_3,0.043282459
s135,H8,csp1_6,0.058563607
s135,H8,csp1_5,0.051681803
s135,H8,csp1_4,0.044787213
s135,H8,csp1_7,0.055475738
s136,H10,csp1_3,0.258239345
s136,H10,csp1_6,0.272449107
s136,H10,csp1_5,0.293788869
s136,H10,csp1_4,0.27614125
s136,H10,csp1_7,0.293741607
s136,H11,csp1_3,0.49733
s136,H11,csp1_6,0.543625313
s136,H11,csp1_5,0.520829271
s136,H11,csp1_4,0.502380313
s136,H11,csp1_7,0.558697188
s136,H12,csp1_3,0.00602425
s136,H12,csp1_6,0.010631833
s136,H12,csp1_5,0.0087715
s136,H12,csp1_4,0.006860333
s136,H12,csp1_7,0.012231583
s136,H14,csp1_3,0.391089907
s136,H14,csp1_6,0.431840683
s136,H14,csp1_5,0.418986801
s136,H14,csp1_4,0.402074301
s136,H14,csp1_7,0.44146118
s136,H15,csp1_3,0.566476359
s136,H15,csp1_6,0.641838587
s136,H15,csp1_5,0.626458696
s136,H15,csp1_4,0.605530299
s136,H15,csp1_7,0.657087908
s136,H16,csp1_3,0.090604239
s136,H16,csp1_6,0.106577391
s136,H16,csp1_5,0.103093913
s136,H16,csp1_4,0.096427826
s136,H16,csp1_7,0.116728913
s136,H17,csp1_3,0.675069837
s136,H17,csp1_6,0.747388451
s136,H17,csp1_5,0.714414402
s136,H17,csp1_4,0.707842663
s136,H17,csp1_7,0.734708016
s136,H2,csp1_3,0.471179581
s136,H2,csp1_6,0.492859938
s136,H2,csp1_5,0.48386646
s136,H2,csp1_4,0.496207376
s136,H2,csp1_7,0.508614596
s136,H3,csp1_3,0.675069837
s136,H3,csp1_6,0.747388451
s136,H3,csp1_5,0.714414402
s136,H3,csp1_4,0.707842663
s136,H3,csp1_7,0.734708016
s136,H4,csp1_3,0.151354239
s136,H4,csp1_6,0.172815978
s136,H4,csp1_5,0.153708478
s136,H4,csp1_4,0.158111957
s136,H4,csp1_7,0.162508152
s136,H6,csp1_3,0.38088103
s136,H6,csp1_6,0.408020258
s136,H6,csp1_5,0.411705269
s136,H6,csp1_4,0.404803044
s136,H6,csp1_7,0.415903864
s136,H7,csp1_3,0.579195697
s136,H7,csp1_6,0.63109959
s136,H7,csp1_5,0.607856762
s136,H7,csp1_4,0.592866598
s136,H7,csp1_7,0.680563525
s136,H8,csp1_3,0.034492623
s136,H8,csp1_6,0.05429918
s136,H8,csp1_5,0.042875082
s136,H8,csp1_4,0.03753918
s136,H8,csp1_7,0.059674098
s137,H10,csp1_3,0.259248036
s137,H10,csp1_2,0.25374125
s137,H10,csp1_1,0.256173214
s137,H10,csp1_4,0.268233393
s137,H11,csp1_3,0.465165833
s137,H11,csp1_2,0.440769688
s137,H11,csp1_1,0.404932708
s137,H11,csp1_4,0.478284688
s137,H12,csp1_3,0.005708583
s137,H12,csp1_2,0.003870583
s137,H12,csp1_1,0.00264825
s137,H12,csp1_4,0.007085583
s137,H14,csp1_3,0.403875543
s137,H14,csp1_2,0.401206599
s137,H14,csp1_1,0.417898758
s137,H14,csp1_4,0.402291227
s137,H15,csp1_3,0.553461549
s137,H15,csp1_2,0.53388913
s137,H15,csp1_1,0.566811005
s137,H15,csp1_4,0.58954375
s137,H16,csp1_3,0.086782065
s137,H16,csp1_2,0.075855761
s137,H16,csp1_1,0.072467935
s137,H16,csp1_4,0.08985163
s137,H17,csp1_3,0.686430027
s137,H17,csp1_2,0.659160598
s137,H17,csp1_1,0.638374321
s137,H17,csp1_4,0.697432745
s137,H2,csp1_3,0.468899146
s137,H2,csp1_2,0.469289519
s137,H2,csp1_1,0.470808385
s137,H2,csp1_4,0.482779658
s137,H3,csp1_3,0.686430027
s137,H3,csp1_2,0.659160598
s137,H3,csp1_1,0.638374321
s137,H3,csp1_4,0.697432745
s137,H4,csp1_3,0.153163261
s137,H4,csp1_2,0.145868913
s137,H4,csp1_1,0.135223152
s137,H4,csp1_4,0.157986087
s137,H6,csp1_3,0.362604684
s137,H6,csp1_2,0.370328337
s137,H6,csp1_1,0.358142389
s137,H6,csp1_4,0.38183548
s137,H7,csp1_3,0.539040369
s137,H7,csp1_2,0.55256291
s137,H7,csp1_1,0.499701025
s137,H7,csp1_4,0.570070697
s137,H8,csp1_3,0.03417
s137,H8,csp1_2,0.032319836
s137,H8,csp1_1,0.026280328
s137,H8,csp1_4,0.037422131
s138,H10,csp1_3,0.273200774
s138,H10,csp1_2,0.272763036
s138,H10,csp1_1,0.24685125
s138,H10,csp1_4,0.275232738
s138,H11,csp1_3,0.475837604
s138,H11,csp1_2,0.452457396
s138,H11,csp1_1,0.424799583
s138,H11,csp1_4,0.490507396
s138,H12,csp1_3,0.00535575
s138,H12,csp1_2,0.00359675
s138,H12,csp1_1,0.003744917
s138,H12,csp1_4,0.00610075
s138,H14,csp1_3,0.374377484
s138,H14,csp1_2,0.389815761
s138,H14,csp1_1,0.346013509
s138,H14,csp1_4,0.393886258
s138,H15,csp1_3,0.545299864
s138,H15,csp1_2,0.556453261
s138,H15,csp1_1,0.505199321
s138,H15,csp1_4,0.566143614
s138,H16,csp1_3,0.083233043
s138,H16,csp1_2,0.076017717
s138,H16,csp1_1,0.070644022
s138,H16,csp1_4,0.090879891
s138,H17,csp1_3,0.669588995
s138,H17,csp1_2,0.647666033
s138,H17,csp1_1,0.542421739
s138,H17,csp1_4,0.667964674
s138,H2,csp1_3,0.463036801
s138,H2,csp1_2,0.468861491
s138,H2,csp1_1,0.428346273
s138,H2,csp1_4,0.464081211
s138,H3,csp1_3,0.669588995
s138,H3,csp1_2,0.647666033
s138,H3,csp1_1,0.542421739
s138,H3,csp1_4,0.667964674
s138,H4,csp1_3,0.141675217
s138,H4,csp1_2,0.135625543
s138,H4,csp1_1,0.11722663
s138,H4,csp1_4,0.144731522
s138,H6,csp1_3,0.377097775
s138,H6,csp1_2,0.395694965
s138,H6,csp1_1,0.358499297
s138,H6,csp1_4,0.38383267
s138,H7,csp1_3,0.54783791
s138,H7,csp1_2,0.512219262
