i,szn,r,value
hydED,summ,p72,0.5
hydED,summ,p73,0.5
hydED,summ,p74,0.5
hydED,summ,p75,0.5
hydED,summ,p76,0.5
hydED,summ,p77,0.5
hydED,summ,p78,0.5
hydED,summ,p79,0.5
hydED,summ,p80,0.5
hydED,summ,p81,0.5
hydED,summ,p82,0.5
hydED,summ,p83,0.5
hydED,summ,p84,0.5
hydED,summ,p85,0.5
hydED,summ,p86,0.5
hydED,summ,p87,0.5
hydED,summ,p88,0.5
hydED,summ,p89,0.5
hydED,summ,p90,0.5
hydED,summ,p91,0.5
hydED,summ,p92,0.5
hydED,summ,p93,0.5
hydED,summ,p94,0.5
hydED,summ,p95,0.5
hydED,summ,p96,0.5
hydED,summ,p97,0.5
hydED,summ,p98,0.5
hydED,summ,p99,0.5
hydED,summ,p100,0.5
hydED,summ,p101,0.5
hydED,summ,p102,0.5
hydED,summ,p103,0.5
hydED,summ,p104,0.5
hydED,summ,p105,0.5
hydED,summ,p106,0.5
hydED,summ,p107,0.5
hydED,summ,p108,0.5
hydED,summ,p109,0.5
hydED,summ,p110,0.5
hydED,summ,p111,0.5
hydED,summ,p112,0.5
hydED,summ,p113,0.5
hydED,summ,p114,0.5
hydED,summ,p115,0.5
hydED,summ,p116,0.5
hydED,summ,p117,0.5
hydED,summ,p118,0.5
hydED,summ,p119,0.5
hydED,summ,p120,0.5
hydED,summ,p121,0.5
hydED,summ,p122,0.5
hydED,summ,p123,0.5
hydED,summ,p124,0.5
hydED,summ,p125,0.5
hydED,summ,p126,0.5
hydED,summ,p127,0.5
hydED,summ,p128,0.5
hydED,summ,p129,0.5
hydED,summ,p130,0.5
hydED,summ,p131,0.5
hydED,summ,p132,0.5
hydED,summ,p133,0.5
hydED,summ,p134,0.5
hydED,summ,p135,0.5
hydED,summ,p136,0.5
hydED,summ,p137,0.5
hydED,summ,p138,0.5
hydED,summ,p139,0.5
hydED,summ,p140,0.5
hydED,summ,p141,0.5
hydED,summ,p142,0.5
hydED,summ,p143,0.5
hydED,summ,p144,0.5
hydED,summ,p145,0.5
hydED,summ,p146,0.5
hydED,summ,p147,0.5
hydED,summ,p148,0.5
hydED,summ,p149,0.5
hydED,summ,p150,0.5
hydED,summ,p151,0.5
hydED,summ,p152,0.5
hydED,summ,p153,0.5
hydED,summ,p154,0.5
hydED,summ,p155,0.5
hydED,summ,p156,0.5
hydED,summ,p157,0.5
hydED,summ,p158,0.5
hydED,summ,p159,0.5
hydED,summ,p160,0.5
hydED,summ,p161,0.5
hydED,summ,p162,0.5
hydED,summ,p163,0.5
hydED,summ,p164,0.5
hydED,summ,p165,0.5
hydED,summ,p166,0.5
hydED,summ,p167,0.5
hydED,summ,p168,0.5
hydED,summ,p169,0.5
hydED,summ,p170,0.5
hydED,summ,p171,0.5
hydED,summ,p172,0.5
hydED,summ,p173,0.5
hydED,summ,p174,0.5
hydED,summ,p175,0.5
hydED,summ,p176,0.5
hydED,summ,p177,0.5
hydED,summ,p178,0.5
hydED,summ,p179,0.5
hydED,summ,p180,0.5
hydED,summ,p181,0.5
hydED,summ,p182,0.5
hydED,summ,p183,0.5
hydED,summ,p184,0.5
hydED,summ,p185,0.5
hydED,summ,p186,0.5
hydED,summ,p187,0.5
hydED,summ,p188,0.5
hydED,summ,p189,0.5
hydED,summ,p190,0.5
hydED,summ,p191,0.5
hydED,summ,p192,0.5
hydED,summ,p193,0.5
hydED,summ,p194,0.5
hydED,summ,p195,0.5
hydED,summ,p196,0.5
hydED,summ,p197,0.5
hydED,summ,p198,0.5
hydED,summ,p199,0.5
hydED,summ,p200,0.5
hydED,summ,p201,0.5
hydED,summ,p202,0.5
hydED,summ,p203,0.5
hydED,summ,p204,0.5
hydED,summ,p205,0.5
hydED,fall,p1,0.08288257
hydED,fall,p2,0.1389774
hydED,fall,p3,0.5
hydED,fall,p4,0.1226082
hydED,fall,p5,0.1876752
hydED,fall,p6,0.5
hydED,fall,p7,0.5
hydED,fall,p8,0.5
hydED,fall,p9,0.01210404
hydED,fall,p10,0.5
hydED,fall,p11,0.5
hydED,fall,p12,0.5
hydED,fall,p13,0.02185
hydED,fall,p14,0.5
hydED,fall,p15,0.5
hydED,fall,p16,0.5
hydED,fall,p17,0.5
hydED,fall,p18,0.5
hydED,fall,p19,0.5
hydED,fall,p20,0.5
hydED,fall,p21,0.5
hydED,fall,p22,0.5
hydED,fall,p23,0.5
hydED,fall,p24,0.5
hydED,fall,p25,0.5
hydED,fall,p26,0.5
hydED,fall,p27,0.01717033
hydED,fall,p28,0.03428571
hydED,fall,p29,0.5
hydED,fall,p30,0.5
hydED,fall,p31,0.5
hydED,fall,p32,0.5
hydED,fall,p33,0.5
hydED,fall,p34,0.5
hydED,fall,p35,0.5
hydED,fall,p36,0.5
hydED,fall,p37,0.5
hydED,fall,p38,0.5
hydED,fall,p39,0.5
hydED,fall,p40,0.5
hydED,fall,p41,0.5
hydED,fall,p42,0.5
hydED,fall,p43,0.5
hydED,fall,p44,0.5
hydED,fall,p45,0.5
hydED,fall,p46,0.5
hydED,fall,p47,0.5
hydED,fall,p48,0.5
hydED,fall,p49,0.5
hydED,fall,p50,0.5
hydED,fall,p51,0.5
hydED,fall,p52,0.5
hydED,fall,p53,0.5
hydED,fall,p54,0.5
hydED,fall,p55,0.5
hydED,fall,p56,0.5
hydED,fall,p57,0.5
hydED,fall,p58,0.5
hydED,fall,p59,0.5
hydED,fall,p60,0.5
hydED,fall,p61,0.5
hydED,fall,p62,0.5
hydED,fall,p63,0.5
hydED,fall,p64,0.5
hydED,fall,p65,0.5
hydED,fall,p66,0.5
hydED,fall,p67,0.5
hydED,fall,p68,0.5
hydED,fall,p69,0.5
hydED,fall,p70,0.5
hydED,fall,p71,0.5
hydED,fall,p72,0.5
hydED,fall,p73,0.5
hydED,fall,p74,0.5
hydED,fall,p75,0.5
hydED,fall,p76,0.5
hydED,fall,p77,0.5
hydED,fall,p78,0.5
hydED,fall,p79,0.5
hydED,fall,p80,0.5
hydED,fall,p81,0.5
hydED,fall,p82,0.5
hydED,fall,p83,0.5
hydED,fall,p84,0.5
hydED,fall,p85,0.5
hydED,fall,p86,0.5
hydED,fall,p87,0.5
hydED,fall,p88,0.5
hydED,fall,p89,0.5
hydED,fall,p90,0.5
hydED,fall,p91,0.5
hydED,fall,p92,0.5
hydED,fall,p93,0.5
hydED,fall,p94,0.5
hydED,fall,p95,0.5
hydED,fall,p96,0.5
hydED,fall,p97,0.5
hydED,fall,p98,0.5
hydED,fall,p99,0.5
hydED,fall,p100,0.5
hydED,fall,p101,0.5
hydED,fall,p102,0.5
hydED,fall,p103,0.5
hydED,fall,p104,0.5
hydED,fall,p105,0.5
hydED,fall,p106,0.5
hydED,fall,p107,0.5
hydED,fall,p108,0.5
hydED,fall,p109,0.5
hydED,fall,p110,0.5
hydED,fall,p111,0.5
hydED,fall,p112,0.5
hydED,fall,p113,0.5
hydED,fall,p114,0.5
hydED,fall,p115,0.5
hydED,fall,p116,0.5
hydED,fall,p117,0.5
hydED,fall,p118,0.5
hydED,fall,p119,0.5
hydED,fall,p120,0.5
hydED,fall,p121,0.5
hydED,fall,p122,0.5
hydED,fall,p123,0.5
hydED,fall,p124,0.5
hydED,fall,p125,0.5
hydED,fall,p126,0.5
hydED,fall,p127,0.5
hydED,fall,p128,0.5
hydED,fall,p129,0.5
hydED,fall,p130,0.5
hydED,fall,p131,0.5
hydED,fall,p132,0.5
hydED,fall,p133,0.5
hydED,fall,p134,0.5
hydED,fall,p135,0.5
hydED,fall,p136,0.5
hydED,fall,p137,0.5
hydED,fall,p138,0.5
hydED,fall,p139,0.5
hydED,fall,p140,0.5
hydED,fall,p141,0.5
hydED,fall,p142,0.5
hydED,fall,p143,0.5
hydED,fall,p144,0.5
hydED,fall,p145,0.5
hydED,fall,p146,0.5
hydED,fall,p147,0.5
hydED,fall,p148,0.5
hydED,fall,p149,0.5
hydED,fall,p150,0.5
hydED,fall,p151,0.5
hydED,fall,p152,0.5
hydED,fall,p153,0.5
hydED,fall,p154,0.5
hydED,fall,p155,0.5
hydED,fall,p156,0.5
hydED,fall,p157,0.5
hydED,fall,p158,0.5
hydED,fall,p159,0.5
hydED,fall,p160,0.5
hydED,fall,p161,0.5
hydED,fall,p162,0.5
hydED,fall,p163,0.5
hydED,fall,p164,0.5
hydED,fall,p165,0.5
hydED,fall,p166,0.5
hydED,fall,p167,0.5
hydED,fall,p168,0.5
hydED,fall,p169,0.5
hydED,fall,p170,0.5
hydED,fall,p171,0.5
hydED,fall,p172,0.5
hydED,fall,p173,0.5
hydED,fall,p174,0.5
hydED,fall,p175,0.5
hydED,fall,p176,0.5
hydED,fall,p177,0.5
hydED,fall,p178,0.5
hydED,fall,p179,0.5
hydED,fall,p180,0.5
hydED,fall,p181,0.5
hydED,fall,p182,0.5
hydED,fall,p183,0.5
hydED,fall,p184,0.5
hydED,fall,p185,0.5
hydED,fall,p186,0.5
hydED,fall,p187,0.5
hydED,fall,p188,0.5
hydED,fall,p189,0.5
hydED,fall,p190,0.5
hydED,fall,p191,0.5
hydED,fall,p192,0.5
hydED,fall,p193,0.5
hydED,fall,p194,0.5
hydED,fall,p195,0.5
hydED,fall,p196,0.5
hydED,fall,p197,0.5
hydED,fall,p198,0.5
hydED,fall,p199,0.5
hydED,fall,p200,0.5
hydED,fall,p201,0.5
hydED,fall,p202,0.5
hydED,fall,p203,0.5
hydED,fall,p204,0.5
hydED,fall,p205,0.5
hydED,wint,p1,0.08288257
hydED,wint,p2,0.1200445
hydED,wint,p3,0.5
hydED,wint,p4,0.1226082
hydED,wint,p5,0.1876752
hydED,wint,p6,0.5
hydED,wint,p7,0.5
hydED,wint,p8,0.5
hydED,wint,p9,0.01476313
hydED,wint,p10,0.5
hydED,wint,p11,0.5
hydED,wint,p12,0.5
hydED,wint,p13,0.02185
hydED,wint,p14,0.5
hydED,wint,p15,0.5
hydED,wint,p16,0.5
hydED,wint,p17,0.5
hydED,wint,p18,0.5
hydED,wint,p19,0.5
hydED,wint,p20,0.5
hydED,wint,p21,0.5
hydED,wint,p22,0.5
hydED,wint,p23,0.5
hydED,wint,p24,0.5
hydED,wint,p25,0.5
hydED,wint,p26,0.5
hydED,wint,p27,0.01717033
hydED,wint,p28,0.03428571
hydED,wint,p29,0.5
hydED,wint,p30,0.5
hydED,wint,p31,0.5
hydED,wint,p32,0.5
hydED,wint,p33,0.5
hydED,wint,p34,0.5
hydED,wint,p35,0.5
hydED,wint,p36,0.5
hydED,wint,p37,0.5
hydED,wint,p38,0.5
hydED,wint,p39,0.5
hydED,wint,p40,0.5
hydED,wint,p41,0.5
hydED,wint,p42,0.5
hydED,wint,p43,0.5
hydED,wint,p44,0.5
hydED,wint,p45,0.5
hydED,wint,p46,0.5
hydED,wint,p47,0.5
hydED,wint,p48,0.5
hydED,wint,p49,0.5
hydED,wint,p50,0.5
hydED,wint,p51,0.5
hydED,wint,p52,0.5
hydED,wint,p53,0.5
hydED,wint,p54,0.5
hydED,wint,p55,0.5
hydED,wint,p56,0.5
hydED,wint,p57,0.5
hydED,wint,p58,0.5
hydED,wint,p59,0.5
hydED,wint,p60,0.5
hydED,wint,p61,0.5
hydED,wint,p62,0.5
hydED,wint,p63,0.5
hydED,wint,p64,0.5
hydED,wint,p65,0.5
hydED,wint,p66,0.5
hydED,wint,p67,0.5
hydED,wint,p68,0.5
hydED,wint,p69,0.5
hydED,wint,p70,0.5
hydED,wint,p71,0.5
hydED,wint,p72,0.5
hydED,wint,p73,0.5
hydED,wint,p74,0.5
hydED,wint,p75,0.5
hydED,wint,p76,0.5
hydED,wint,p77,0.5
hydED,wint,p78,0.5
hydED,wint,p79,0.5
hydED,wint,p80,0.5
hydED,wint,p81,0.5
hydED,wint,p82,0.5
hydED,wint,p83,0.5
hydED,wint,p84,0.5
hydED,wint,p85,0.5
hydED,wint,p86,0.5
hydED,wint,p87,0.5
hydED,wint,p88,0.5
hydED,wint,p89,0.5
hydED,wint,p90,0.5
hydED,wint,p91,0.5
hydED,wint,p92,0.5
hydED,wint,p93,0.5
hydED,wint,p94,0.5
hydED,wint,p95,0.5
hydED,wint,p96,0.5
hydED,wint,p97,0.5
hydED,wint,p98,0.5
hydED,wint,p99,0.5
hydED,wint,p100,0.5
hydED,wint,p101,0.5
hydED,wint,p102,0.5
hydED,wint,p103,0.5
hydED,wint,p104,0.5
hydED,wint,p105,0.5
hydED,wint,p106,0.5
hydED,wint,p107,0.5
hydED,wint,p108,0.5
hydED,wint,p109,0.5
hydED,wint,p110,0.5
hydED,wint,p111,0.5
hydED,wint,p112,0.5
hydED,wint,p113,0.5
hydED,wint,p114,0.5
hydED,wint,p115,0.5
hydED,wint,p116,0.5
hydED,wint,p117,0.5
hydED,wint,p118,0.5
hydED,wint,p119,0.5
hydED,wint,p120,0.5
hydED,wint,p121,0.5
hydED,wint,p122,0.5
hydED,wint,p123,0.5
hydED,wint,p124,0.5
hydED,wint,p125,0.5
hydED,wint,p126,0.5
hydED,wint,p127,0.5
hydED,wint,p128,0.5
hydED,wint,p129,0.5
hydED,wint,p130,0.5
hydED,wint,p131,0.5
hydED,wint,p132,0.5
hydED,wint,p133,0.5
hydED,wint,p134,0.5
hydED,wint,p135,0.5
hydED,wint,p136,0.5
hydED,wint,p137,0.5
hydED,wint,p138,0.5
hydED,wint,p139,0.5
hydED,wint,p140,0.5
hydED,wint,p141,0.5
hydED,wint,p142,0.5
hydED,wint,p143,0.5
hydED,wint,p144,0.5
hydED,wint,p145,0.5
hydED,wint,p146,0.5
hydED,wint,p147,0.5
hydED,wint,p148,0.5
hydED,wint,p149,0.5
hydED,wint,p150,0.5
hydED,wint,p151,0.5
hydED,wint,p152,0.5
hydED,wint,p153,0.5
hydED,wint,p154,0.5
hydED,wint,p155,0.5
hydED,wint,p156,0.5
hydED,wint,p157,0.5
hydED,wint,p158,0.5
hydED,wint,p159,0.5
hydED,wint,p160,0.5
hydED,wint,p161,0.5
hydED,wint,p162,0.5
hydED,wint,p163,0.5
hydED,wint,p164,0.5
hydED,wint,p165,0.5
hydED,wint,p166,0.5
hydED,wint,p167,0.5
hydED,wint,p168,0.5
hydED,wint,p169,0.5
hydED,wint,p170,0.5
hydED,wint,p171,0.5
hydED,wint,p172,0.5
hydED,wint,p173,0.5
hydED,wint,p174,0.5
hydED,wint,p175,0.5
hydED,wint,p176,0.5
hydED,wint,p177,0.5
hydED,wint,p178,0.5
hydED,wint,p179,0.5
hydED,wint,p180,0.5
hydED,wint,p181,0.5
hydED,wint,p182,0.5
hydED,wint,p183,0.5
hydED,wint,p184,0.5
hydED,wint,p185,0.5
hydED,wint,p186,0.5
hydED,wint,p187,0.5
hydED,wint,p188,0.5
hydED,wint,p189,0.5
hydED,wint,p190,0.5
hydED,wint,p191,0.5
hydED,wint,p192,0.5
hydED,wint,p193,0.5
hydED,wint,p194,0.5
hydED,wint,p195,0.5
hydED,wint,p196,0.5
hydED,wint,p197,0.5
hydED,wint,p198,0.5
hydED,wint,p199,0.5
hydED,wint,p200,0.5
hydED,wint,p201,0.5
hydED,wint,p202,0.5
hydED,wint,p203,0.5
hydED,wint,p204,0.5
hydED,wint,p205,0.5
hydED,spri,p1,0.08288257
hydED,spri,p2,0.1297599
hydED,spri,p3,0.5
hydED,spri,p4,0.1226082
hydED,spri,p5,0.1876752
hydED,spri,p6,0.5
hydED,spri,p7,0.5
hydED,spri,p8,0.5
hydED,spri,p9,0.0156061
hydED,spri,p10,0.5
hydED,spri,p11,0.5
hydED,spri,p12,0.5
hydED,spri,p13,0.02185
hydED,spri,p14,0.5
hydED,spri,p15,0.5
hydED,spri,p16,0.5
hydED,spri,p17,0.5
hydED,spri,p18,0.5
hydED,spri,p19,0.5
hydED,spri,p20,0.5
hydED,spri,p21,0.5
hydED,spri,p22,0.5
hydED,spri,p23,0.5
hydED,spri,p24,0.5
hydED,spri,p25,0.5
hydED,spri,p26,0.5
hydED,spri,p27,0.01717033
hydED,spri,p28,0.03428571
hydED,spri,p29,0.5
hydED,spri,p30,0.5
hydED,spri,p31,0.5
hydED,spri,p32,0.5
hydED,spri,p33,0.5
hydED,spri,p34,0.5
hydED,spri,p35,0.5
hydED,spri,p36,0.5
hydED,spri,p37,0.5
hydED,spri,p38,0.5
hydED,spri,p39,0.5
hydED,spri,p40,0.5
hydED,spri,p41,0.5
hydED,spri,p42,0.5
hydED,spri,p43,0.5
hydED,spri,p44,0.5
hydED,spri,p45,0.5
hydED,spri,p46,0.5
hydED,spri,p47,0.5
hydED,spri,p48,0.5
hydED,spri,p49,0.5
hydED,spri,p50,0.5
hydED,spri,p51,0.5
hydED,spri,p52,0.5
hydED,spri,p53,0.5
hydED,spri,p54,0.5
hydED,spri,p55,0.5
hydED,spri,p56,0.5
hydED,spri,p57,0.5
hydED,spri,p58,0.5
hydED,spri,p59,0.5
hydED,spri,p60,0.5
hydED,spri,p61,0.5
hydED,spri,p62,0.5
hydED,spri,p63,0.5
hydED,spri,p64,0.5
hydED,spri,p65,0.5
hydED,spri,p66,0.5
hydED,spri,p67,0.5
hydED,spri,p68,0.5
hydED,spri,p69,0.5
hydED,spri,p70,0.5
hydED,spri,p71,0.5
hydED,spri,p72,0.5
hydED,spri,p73,0.5
hydED,spri,p74,0.5
hydED,spri,p75,0.5
hydED,spri,p76,0.5
hydED,spri,p77,0.5
hydED,spri,p78,0.5
hydED,spri,p79,0.5
hydED,spri,p80,0.5
hydED,spri,p81,0.5
hydED,spri,p82,0.5
hydED,spri,p83,0.5
hydED,spri,p84,0.5
hydED,spri,p85,0.5
hydED,spri,p86,0.5
hydED,spri,p87,0.5
hydED,spri,p88,0.5
hydED,spri,p89,0.5
hydED,spri,p90,0.5
hydED,spri,p91,0.5
hydED,spri,p92,0.5
hydED,spri,p93,0.5
hydED,spri,p94,0.5
hydED,spri,p95,0.5
hydED,spri,p96,0.5
hydED,spri,p97,0.5
hydED,spri,p98,0.5
hydED,spri,p99,0.5
hydED,spri,p100,0.5
hydED,spri,p101,0.5
hydED,spri,p102,0.5
hydED,spri,p103,0.5
hydED,spri,p104,0.5
hydED,spri,p105,0.5
hydED,spri,p106,0.5
hydED,spri,p107,0.5
hydED,spri,p108,0.5
hydED,spri,p109,0.5
hydED,spri,p110,0.5
hydED,spri,p111,0.5
hydED,spri,p112,0.5
hydED,spri,p113,0.5
hydED,spri,p114,0.5
hydED,spri,p115,0.5
hydED,spri,p116,0.5
hydED,spri,p117,0.5
hydED,spri,p118,0.5
hydED,spri,p119,0.5
hydED,spri,p120,0.5
hydED,spri,p121,0.5
hydED,spri,p122,0.5
hydED,spri,p123,0.5
hydED,spri,p124,0.5
hydED,spri,p125,0.5
hydED,spri,p126,0.5
hydED,spri,p127,0.5
hydED,spri,p128,0.5
hydED,spri,p129,0.5
hydED,spri,p130,0.5
hydED,spri,p131,0.5
hydED,spri,p132,0.5
hydED,spri,p133,0.5
hydED,spri,p134,0.5
hydED,spri,p135,0.5
hydED,spri,p136,0.5
hydED,spri,p137,0.5
hydED,spri,p138,0.5
hydED,spri,p139,0.5
hydED,spri,p140,0.5
hydED,spri,p141,0.5
hydED,spri,p142,0.5
hydED,spri,p143,0.5
hydED,spri,p144,0.5
hydED,spri,p145,0.5
hydED,spri,p146,0.5
hydED,spri,p147,0.5
hydED,spri,p148,0.5
hydED,spri,p149,0.5
hydED,spri,p150,0.5
hydED,spri,p151,0.5
hydED,spri,p152,0.5
hydED,spri,p153,0.5
hydED,spri,p154,0.5
hydED,spri,p155,0.5
hydED,spri,p156,0.5
hydED,spri,p157,0.5
hydED,spri,p158,0.5
hydED,spri,p159,0.5
hydED,spri,p160,0.5
hydED,spri,p161,0.5
hydED,spri,p162,0.5
hydED,spri,p163,0.5
hydED,spri,p164,0.5
hydED,spri,p165,0.5
hydED,spri,p166,0.5
hydED,spri,p167,0.5
hydED,spri,p168,0.5
hydED,spri,p169,0.5
hydED,spri,p170,0.5
hydED,spri,p171,0.5
hydED,spri,p172,0.5
hydED,spri,p173,0.5
hydED,spri,p174,0.5
hydED,spri,p175,0.5
hydED,spri,p176,0.5
hydED,spri,p177,0.5
hydED,spri,p178,0.5
hydED,spri,p179,0.5
hydED,spri,p180,0.5
hydED,spri,p181,0.5
hydED,spri,p182,0.5
hydED,spri,p183,0.5
hydED,spri,p184,0.5
hydED,spri,p185,0.5
hydED,spri,p186,0.5
hydED,spri,p187,0.5
hydED,spri,p188,0.5
hydED,spri,p189,0.5
hydED,spri,p190,0.5
hydED,spri,p191,0.5
hydED,spri,p192,0.5
hydED,spri,p193,0.5
hydED,spri,p194,0.5
hydED,spri,p195,0.5
hydED,spri,p196,0.5
hydED,spri,p197,0.5
hydED,spri,p198,0.5
hydED,spri,p199,0.5
hydED,spri,p200,0.5
hydED,spri,p201,0.5
hydED,spri,p202,0.5
hydED,spri,p203,0.5
hydED,spri,p204,0.5
hydED,spri,p205,0.5
hydD,summ,p1,0.5
hydD,summ,p2,0.5
hydD,summ,p3,0.5
hydD,summ,p4,0.5
hydD,summ,p5,0.5
hydD,summ,p6,0.5
hydD,summ,p7,0.5
hydD,summ,p8,0.5
hydD,summ,p9,0.5
hydD,summ,p10,0.5
hydD,summ,p11,0.5
hydD,summ,p12,0.5
hydD,summ,p13,0.5
hydD,summ,p14,0.5
hydD,summ,p15,0.5
hydD,summ,p16,0.5
hydD,summ,p17,0.5
hydD,summ,p18,0.5
hydD,summ,p19,0.5
hydD,summ,p20,0.5
hydD,summ,p21,0.5
hydD,summ,p22,0.5
hydD,summ,p23,0.5
hydD,summ,p24,0.5
hydD,summ,p25,0.5
hydD,summ,p26,0.5
hydD,summ,p27,0.5
hydD,summ,p28,0.5
hydD,summ,p29,0.5
hydD,summ,p30,0.5
hydD,summ,p31,0.5
hydD,summ,p32,0.5
hydD,summ,p33,0.5
hydD,summ,p34,0.5
hydD,summ,p35,0.5
hydD,summ,p36,0.5
hydD,summ,p37,0.5
hydD,summ,p38,0.5
hydD,summ,p39,0.5
hydD,summ,p40,0.5
hydD,summ,p41,0.5
hydD,summ,p42,0.5
hydD,summ,p43,0.5
hydD,summ,p44,0.5
hydD,summ,p45,0.5
hydD,summ,p46,0.5
hydD,summ,p47,0.5
hydD,summ,p48,0.5
hydD,summ,p49,0.5
hydD,summ,p50,0.5
hydD,summ,p51,0.5
hydD,summ,p52,0.5
hydD,summ,p53,0.5
hydD,summ,p54,0.5
hydD,summ,p55,0.5
hydD,summ,p56,0.5
hydD,summ,p57,0.5
hydD,summ,p58,0.5
hydD,summ,p59,0.5
hydD,summ,p60,0.5
hydD,summ,p61,0.5
hydD,summ,p62,0.5
hydD,summ,p63,0.5
hydD,summ,p64,0.5
hydD,summ,p65,0.5
hydD,summ,p66,0.5
hydD,summ,p67,0.5
hydD,summ,p68,0.5
hydD,summ,p69,0.5
hydD,summ,p70,0.5
hydD,summ,p71,0.5
hydD,summ,p72,0.5
hydD,summ,p73,0.5
hydD,summ,p74,0.5
hydD,summ,p75,0.5
hydD,summ,p76,0.5
hydD,summ,p77,0.5
hydD,summ,p78,0.5
hydD,summ,p79,0.5
hydD,summ,p80,0.5
hydD,summ,p81,0.5
hydD,summ,p82,0.5
hydD,summ,p83,0.5
hydD,summ,p84,0.5
hydD,summ,p85,0.5
hydD,summ,p86,0.5
hydD,summ,p87,0.5
hydD,summ,p88,0.5
hydD,summ,p89,0.5
hydD,summ,p90,0.5
hydD,summ,p91,0.5
hydD,summ,p92,0.5
hydD,summ,p93,0.5
hydD,summ,p94,0.5
hydD,summ,p95,0.5
hydD,summ,p96,0.5
hydD,summ,p97,0.5
hydD,summ,p98,0.5
hydD,summ,p99,0.5
hydD,summ,p100,0.5
hydD,summ,p101,0.5
hydD,summ,p102,0.5
hydD,summ,p103,0.5
hydD,summ,p104,0.5
hydD,summ,p105,0.5
hydD,summ,p106,0.5
hydD,summ,p107,0.5
hydD,summ,p108,0.5
hydD,summ,p109,0.5
hydD,summ,p110,0.5
hydD,summ,p111,0.5
hydD,summ,p112,0.5
hydD,summ,p113,0.5
hydD,summ,p114,0.5
hydD,summ,p115,0.5
hydD,summ,p116,0.5
hydD,summ,p117,0.5
hydD,summ,p118,0.5
hydD,summ,p119,0.5
hydD,summ,p120,0.5
hydD,summ,p121,0.5
hydD,summ,p122,0.5
hydD,summ,p123,0.5
hydD,summ,p124,0.5
hydD,summ,p125,0.5
hydD,summ,p126,0.5
hydD,summ,p127,0.5
hydD,summ,p128,0.5
hydD,summ,p129,0.5
hydD,summ,p130,0.5
hydD,summ,p131,0.5
hydD,summ,p132,0.5
hydD,summ,p133,0.5
hydD,summ,p134,0.5
hydD,summ,p135,0.5
hydD,summ,p136,0.5
hydD,summ,p137,0.5
hydD,summ,p138,0.5
hydD,summ,p139,0.5
hydD,summ,p140,0.5
hydD,summ,p141,0.5
hydD,summ,p142,0.5
hydD,summ,p143,0.5
hydD,summ,p144,0.5
hydD,summ,p145,0.5
hydD,summ,p146,0.5
hydD,summ,p147,0.5
hydD,summ,p148,0.5
hydD,summ,p149,0.5
hydD,summ,p150,0.5
hydD,summ,p151,0.5
hydD,summ,p152,0.5
hydD,summ,p153,0.5
hydD,summ,p154,0.5
hydD,summ,p155,0.5
hydD,summ,p156,0.5
hydD,summ,p157,0.5
hydD,summ,p158,0.5
hydD,summ,p159,0.5
hydD,summ,p160,0.5
hydD,summ,p161,0.5
hydD,summ,p162,0.5
hydD,summ,p163,0.5
hydD,summ,p164,0.5
hydD,summ,p165,0.5
hydD,summ,p166,0.5
hydD,summ,p167,0.5
hydD,summ,p168,0.5
hydD,summ,p169,0.5
hydD,summ,p170,0.5
hydD,summ,p171,0.5
hydD,summ,p172,0.5
hydD,summ,p173,0.5
hydD,summ,p174,0.5
