r,i,h,value
p2,dupv_2,H8,0.018991632
p2,dupv_3,H8,0.020646741
p3,dupv_2,H1,0.017995069
p3,dupv_3,H1,0.014885643
p3,dupv_2,H10,0.112535802
p3,dupv_3,H10,0.121276831
p3,dupv_2,H11,0.110380835
p3,dupv_3,H11,0.137607027
p3,dupv_2,H14,0.379709756
p3,dupv_3,H14,0.437519538
p3,dupv_2,H15,0.37406895
p3,dupv_3,H15,0.430483568
p3,dupv_2,H16,0.052314986
p3,dupv_3,H16,0.049903387
p3,dupv_2,H17,0.548240158
p3,dupv_3,H17,0.596449388
p3,dupv_2,H2,0.511777621
p3,dupv_3,H2,0.555027716
p3,dupv_2,H3,0.548240158
p3,dupv_3,H3,0.596449388
p3,dupv_2,H4,0.121363744
p3,dupv_3,H4,0.131810305
p3,dupv_2,H6,0.366483827
p3,dupv_3,H6,0.375872789
p3,dupv_2,H7,0.381890949
p3,dupv_3,H7,0.404534549
p3,dupv_2,H8,0.015279548
p3,dupv_3,H8,0.020639663
p4,dupv_3,H1,0.01474851
p4,dupv_3,H10,0.114667563
p4,dupv_3,H11,0.138517324
p4,dupv_3,H14,0.437400258
p4,dupv_3,H15,0.443580971
p4,dupv_3,H16,0.057852049
p4,dupv_3,H17,0.593357488
p4,dupv_3,H2,0.54558538
p4,dupv_3,H3,0.593357488
p4,dupv_3,H4,0.13909386
p4,dupv_3,H6,0.373810931
p4,dupv_3,H7,0.386664405
p4,dupv_3,H8,0.018636029
p5,dupv_3,H1,0.011559393
p5,dupv_4,H1,0.011501807
p5,dupv_1,H10,0.096916804
p5,dupv_2,H10,0.103506829
p5,dupv_3,H10,0.164518213
p5,dupv_4,H10,0.179868571
p5,dupv_1,H11,0.12223213
p5,dupv_2,H11,0.134666415
p5,dupv_3,H11,0.203292619
p5,dupv_4,H11,0.219833274
p5,dupv_1,H14,0.283686948
p5,dupv_2,H14,0.309488309
p5,dupv_3,H14,0.449661167
p5,dupv_4,H14,0.476933867
p5,dupv_1,H15,0.359174866
p5,dupv_2,H15,0.371892846
p5,dupv_3,H15,0.472381237
p5,dupv_4,H15,0.497347638
p5,dupv_1,H16,0.050990953
p5,dupv_2,H16,0.057895199
p5,dupv_3,H16,0.061960122
p5,dupv_4,H16,0.069442145
p5,dupv_1,H17,0.508830488
p5,dupv_2,H17,0.57167928
p5,dupv_3,H17,0.637566033
p5,dupv_4,H17,0.617550449
p5,dupv_1,H2,0.39201604
p5,dupv_2,H2,0.451473914
p5,dupv_3,H2,0.594160401
p5,dupv_4,H2,0.594503034
p5,dupv_1,H3,0.508830488
p5,dupv_2,H3,0.57167928
p5,dupv_3,H3,0.637566033
p5,dupv_4,H3,0.617550449
p5,dupv_1,H4,0.131597416
p5,dupv_2,H4,0.141843678
p5,dupv_3,H4,0.156536462
p5,dupv_4,H4,0.155650111
p5,dupv_1,H6,0.294724466
p5,dupv_2,H6,0.336127094
p5,dupv_3,H6,0.407640837
p5,dupv_4,H6,0.421433411
p5,dupv_1,H7,0.391914732
p5,dupv_2,H7,0.413072264
p5,dupv_3,H7,0.454292683
p5,dupv_4,H7,0.465526121
p5,dupv_1,H8,0.030412194
p5,dupv_2,H8,0.033707911
p5,dupv_3,H8,0.026397847
p5,dupv_4,H8,0.024855979
p6,dupv_2,H10,0.119128021
p6,dupv_3,H10,0.136681343
p6,dupv_4,H10,0.193850155
p6,dupv_2,H11,0.163363517
p6,dupv_3,H11,0.195488573
p6,dupv_4,H11,0.242062982
p6,dupv_2,H14,0.31789931
p6,dupv_3,H14,0.371061094
p6,dupv_4,H14,0.448445966
p6,dupv_2,H15,0.383227332
p6,dupv_3,H15,0.42537051
p6,dupv_4,H15,0.481972121
p6,dupv_2,H16,0.066550401
p6,dupv_3,H16,0.070711125
p6,dupv_4,H16,0.067381012
p6,dupv_2,H17,0.579762199
p6,dupv_3,H17,0.614521357
p6,dupv_4,H17,0.665157495
p6,dupv_2,H2,0.442816913
p6,dupv_3,H2,0.550086628
p6,dupv_4,H2,0.601922106
p6,dupv_2,H3,0.579762199
p6,dupv_3,H3,0.614521357
p6,dupv_4,H3,0.665157495
p6,dupv_2,H4,0.158636968
p6,dupv_3,H4,0.154436414
p6,dupv_4,H4,0.169037174
p6,dupv_2,H6,0.35399135
p6,dupv_3,H6,0.394654536
p6,dupv_4,H6,0.446055116
p6,dupv_2,H7,0.439656199
p6,dupv_3,H7,0.468379147
p6,dupv_4,H7,0.51444315
p6,dupv_2,H8,0.036290696
p6,dupv_3,H8,0.034500423
p6,dupv_4,H8,0.031897269
p7,dupv_3,H10,0.134860907
p7,dupv_3,H11,0.238793527
p7,dupv_3,H12,0.011814923
p7,dupv_3,H14,0.375664209
p7,dupv_3,H15,0.465778955
p7,dupv_3,H16,0.124540256
p7,dupv_3,H17,0.621417363
p7,dupv_3,H2,0.511908919
p7,dupv_3,H3,0.621417363
p7,dupv_3,H4,0.223884167
p7,dupv_3,H6,0.338744305
p7,dupv_3,H7,0.460731087
p7,dupv_3,H8,0.068950958
p8,dupv_4,H10,0.198910572
p8,dupv_5,H10,0.234675842
p8,dupv_4,H11,0.251040575
p8,dupv_5,H11,0.29379402
p8,dupv_4,H14,0.436230512
p8,dupv_5,H14,0.520007617
p8,dupv_4,H15,0.49724663
p8,dupv_5,H15,0.556428664
p8,dupv_4,H16,0.076568437
p8,dupv_5,H16,0.07631732
p8,dupv_4,H17,0.62533292
p8,dupv_5,H17,0.662356171
p8,dupv_4,H2,0.591763599
p8,dupv_5,H2,0.628855442
p8,dupv_4,H3,0.62533292
p8,dupv_5,H3,0.662356171
p8,dupv_4,H4,0.158195853
p8,dupv_5,H4,0.152391305
p8,dupv_4,H6,0.444191897
p8,dupv_5,H6,0.480987096
p8,dupv_4,H7,0.507560457
p8,dupv_5,H7,0.545314607
p8,dupv_4,H8,0.034301043
p8,dupv_5,H8,0.0301013
p9,dupv_2,H10,0.162385386
p9,dupv_3,H10,0.167024917
p9,dupv_4,H10,0.213497066
p9,dupv_5,H10,0.234858738
p9,dupv_6,H10,0.286757473
p9,dupv_2,H11,0.224190172
p9,dupv_3,H11,0.233498143
p9,dupv_4,H11,0.282906329
p9,dupv_5,H11,0.301163155
p9,dupv_6,H11,0.33104576
p9,dupv_2,H14,0.304181451
p9,dupv_3,H14,0.330728088
p9,dupv_4,H14,0.464144005
p9,dupv_5,H14,0.505242808
p9,dupv_6,H14,0.559232848
p9,dupv_2,H15,0.407928337
p9,dupv_3,H15,0.440975798
p9,dupv_4,H15,0.519054031
p9,dupv_5,H15,0.557024982
p9,dupv_6,H15,0.600532338
p9,dupv_2,H16,0.066566196
p9,dupv_3,H16,0.068765135
p9,dupv_4,H16,0.075374656
p9,dupv_5,H16,0.080022277
p9,dupv_6,H16,0.078700648
p9,dupv_2,H17,0.517743933
p9,dupv_3,H17,0.578615345
p9,dupv_4,H17,0.677379448
p9,dupv_5,H17,0.693438557
p9,dupv_6,H17,0.68856414
p9,dupv_2,H2,0.331575883
p9,dupv_3,H2,0.36668861
p9,dupv_4,H2,0.606399563
p9,dupv_5,H2,0.637895382
p9,dupv_6,H2,0.635328695
p9,dupv_2,H3,0.517743933
p9,dupv_3,H3,0.578615345
p9,dupv_4,H3,0.677379448
p9,dupv_5,H3,0.693438557
p9,dupv_6,H3,0.68856414
p9,dupv_2,H4,0.122180162
p9,dupv_3,H4,0.13717328
p9,dupv_4,H4,0.160540723
p9,dupv_5,H4,0.15472679
p9,dupv_6,H4,0.148762804
p9,dupv_2,H6,0.283069088
p9,dupv_3,H6,0.30614705
p9,dupv_4,H6,0.4503427
p9,dupv_5,H6,0.459869391
p9,dupv_6,H6,0.476926757
p9,dupv_2,H7,0.397817142
p9,dupv_3,H7,0.408800278
p9,dupv_4,H7,0.527096197
p9,dupv_5,H7,0.524382132
p9,dupv_6,H7,0.537556284
p9,dupv_2,H8,0.033359213
p9,dupv_3,H8,0.032221282
p9,dupv_4,H8,0.032870517
p9,dupv_5,H8,0.030095948
p9,dupv_6,H8,0.028372653
p10,dupv_6,H1,0.011447584
p10,dupv_7,H1,0.012414169
p10,dupv_5,H10,0.264035864
p10,dupv_6,H10,0.359599688
p10,dupv_7,H10,0.377556848
p10,dupv_5,H11,0.310465094
p10,dupv_6,H11,0.39792508
p10,dupv_7,H11,0.409991254
p10,dupv_5,H14,0.550610021
p10,dupv_6,H14,0.635367119
p10,dupv_7,H14,0.651242729
p10,dupv_5,H15,0.607299008
p10,dupv_6,H15,0.674505016
p10,dupv_7,H15,0.685765535
p10,dupv_5,H16,0.073183157
p10,dupv_6,H16,0.068405284
p10,dupv_7,H16,0.065870987
p10,dupv_5,H17,0.68686632
p10,dupv_6,H17,0.663679718
p10,dupv_7,H17,0.647719901
p10,dupv_5,H2,0.638139011
p10,dupv_6,H2,0.659974699
p10,dupv_7,H2,0.648948285
p10,dupv_5,H3,0.68686632
p10,dupv_6,H3,0.663679718
p10,dupv_7,H3,0.647719901
p10,dupv_5,H4,0.133918938
p10,dupv_6,H4,0.11641968
p10,dupv_7,H4,0.108532824
p10,dupv_5,H6,0.480499436
p10,dupv_6,H6,0.53325042
p10,dupv_7,H6,0.535565541
p10,dupv_5,H7,0.518326735
p10,dupv_6,H7,0.54484572
p10,dupv_7,H7,0.550110073
p10,dupv_5,H8,0.02265728
p10,dupv_6,H8,0.017497235
p10,dupv_7,H8,0.016372424
p11,dupv_5,H10,0.313589668
p11,dupv_6,H10,0.32982229
p11,dupv_5,H11,0.378363521
p11,dupv_6,H11,0.372221241
p11,dupv_5,H14,0.487397156
p11,dupv_6,H14,0.528144086
p11,dupv_5,H15,0.609621903
p11,dupv_6,H15,0.625103149
p11,dupv_5,H16,0.057482354
p11,dupv_6,H16,0.061751468
p11,dupv_5,H17,0.66355496
p11,dupv_6,H17,0.689511267
p11,dupv_5,H2,0.550493602
p11,dupv_6,H2,0.608729735
p11,dupv_5,H3,0.66355496
p11,dupv_6,H3,0.689511267
p11,dupv_5,H4,0.10495251
p11,dupv_6,H4,0.112250945
p11,dupv_5,H6,0.473534963
p11,dupv_6,H6,0.480061714
p11,dupv_5,H7,0.525157425
p11,dupv_6,H7,0.519390308
p11,dupv_5,H8,0.018400916
p11,dupv_6,H8,0.017818831
p12,dupv_4,H1,0.020289278
p12,dupv_5,H1,0.010955492
p12,dupv_6,H1,0.014704158
p12,dupv_4,H10,0.244413334
p12,dupv_5,H10,0.25275347
p12,dupv_6,H10,0.345165001
p12,dupv_4,H11,0.240637703
p12,dupv_5,H11,0.300119588
p12,dupv_6,H11,0.3594908
p12,dupv_4,H14,0.552397995
p12,dupv_5,H14,0.522218509
p12,dupv_6,H14,0.619889654
p12,dupv_4,H15,0.515867991
p12,dupv_5,H15,0.567235935
p12,dupv_6,H15,0.638386544
p12,dupv_4,H16,0.050438586
p12,dupv_5,H16,0.071423388
p12,dupv_6,H16,0.058995698
p12,dupv_4,H17,0.588378486
p12,dupv_5,H17,0.667131727
p12,dupv_6,H17,0.648250693
p12,dupv_4,H2,0.649772699
p12,dupv_5,H2,0.642351011
p12,dupv_6,H2,0.641872337
p12,dupv_4,H3,0.588378486
p12,dupv_5,H3,0.667131727
p12,dupv_6,H3,0.648250693
p12,dupv_4,H4,0.101127831
p12,dupv_5,H4,0.145552184
p12,dupv_6,H4,0.106778893
p12,dupv_4,H6,0.49566202
p12,dupv_5,H6,0.486680447
p12,dupv_6,H6,0.511686115
p12,dupv_4,H7,0.489154967
p12,dupv_5,H7,0.531699188
p12,dupv_6,H7,0.512668802
p12,dupv_4,H8,0.014626343
p12,dupv_5,H8,0.025558036
p12,dupv_6,H8,0.014088795
p13,dupv_5,H1,0.016995864
p13,dupv_6,H1,0.015473234
p13,dupv_5,H10,0.321726976
p13,dupv_6,H10,0.356447207
p13,dupv_5,H11,0.31305328
p13,dupv_6,H11,0.35494184
p13,dupv_5,H14,0.607840244
p13,dupv_6,H14,0.624234342
p13,dupv_5,H15,0.597271901
p13,dupv_6,H15,0.645286984
p13,dupv_5,H16,0.046581973
p13,dupv_6,H16,0.054861414
p13,dupv_5,H17,0.600653805
p13,dupv_6,H17,0.595255463
p13,dupv_5,H2,0.617556295
p13,dupv_6,H2,0.630647096
p13,dupv_5,H3,0.600653805
p13,dupv_6,H3,0.595255463
p13,dupv_5,H4,0.081196716
p13,dupv_6,H4,0.095987932
p13,dupv_5,H6,0.50041359
p13,dupv_6,H6,0.524111022
p13,dupv_5,H7,0.472398673
p13,dupv_6,H7,0.488254522
p13,dupv_6,H8,0.012075321
p14,dupv_2,H1,0.018240578
p14,dupv_2,H10,0.105811018
p14,dupv_2,H11,0.095694008
p14,dupv_2,H14,0.354082614
p14,dupv_2,H15,0.361958163
p14,dupv_2,H16,0.047322965
p14,dupv_2,H17,0.538959737
p14,dupv_2,H2,0.502555532
p14,dupv_2,H3,0.538959737
p14,dupv_2,H4,0.117714984
p14,dupv_2,H6,0.365218377
p14,dupv_2,H7,0.378830128
p14,dupv_2,H8,0.014363956
p15,dupv_3,H10,0.132160024
p15,dupv_4,H10,0.14456825
p15,dupv_3,H11,0.234135647
p15,dupv_4,H11,0.2421515
p15,dupv_3,H12,0.01135292
p15,dupv_4,H12,0.011588265
p15,dupv_3,H14,0.375120131
p15,dupv_4,H14,0.387507025
p15,dupv_3,H15,0.472004102
p15,dupv_4,H15,0.497555519
p15,dupv_3,H16,0.125753152
p15,dupv_4,H16,0.125223676
p15,dupv_3,H17,0.629144752
p15,dupv_4,H17,0.641118049
p15,dupv_3,H2,0.513739079
p15,dupv_4,H2,0.529529746
p15,dupv_3,H3,0.629144752
p15,dupv_4,H3,0.641118049
p15,dupv_3,H4,0.22460181
p15,dupv_4,H4,0.221631205
p15,dupv_3,H6,0.335369526
p15,dupv_4,H6,0.352565855
p15,dupv_3,H7,0.459050171
p15,dupv_4,H7,0.488946956
p15,dupv_3,H8,0.068431363
p15,dupv_4,H8,0.070052638
p16,dupv_3,H10,0.146752097
p16,dupv_4,H10,0.163872436
p16,dupv_3,H11,0.222370127
p16,dupv_4,H11,0.255888214
p16,dupv_3,H14,0.442529954
p16,dupv_4,H14,0.444921768
p16,dupv_3,H15,0.515834083
p16,dupv_4,H15,0.529068977
p16,dupv_3,H16,0.098168672
p16,dupv_4,H16,0.115683381
p16,dupv_3,H17,0.632909513
p16,dupv_4,H17,0.613358765
p16,dupv_3,H2,0.561228316
p16,dupv_4,H2,0.5318116
p16,dupv_3,H3,0.632909513
p16,dupv_4,H3,0.613358765
p16,dupv_3,H4,0.182652693
p16,dupv_4,H4,0.19608016
p16,dupv_3,H6,0.373124138
p16,dupv_4,H6,0.381041983
p16,dupv_3,H7,0.487835048
p16,dupv_4,H7,0.517447868
p16,dupv_3,H8,0.048744924
p16,dupv_4,H8,0.065030173
p17,dupv_2,H10,0.099336635
p17,dupv_3,H10,0.132352824
p17,dupv_2,H11,0.13372738
p17,dupv_3,H11,0.195636102
p17,dupv_2,H14,0.320647002
p17,dupv_3,H14,0.384313851
p17,dupv_2,H15,0.386600652
p17,dupv_3,H15,0.420428992
p17,dupv_2,H16,0.092607916
p17,dupv_3,H16,0.08657869
p17,dupv_2,H17,0.523941181
p17,dupv_3,H17,0.511672444
p17,dupv_2,H2,0.450441843
p17,dupv_3,H2,0.509513017
p17,dupv_2,H3,0.523941181
p17,dupv_3,H3,0.511672444
p17,dupv_2,H4,0.190117777
p17,dupv_3,H4,0.163683356
p17,dupv_2,H6,0.29861773
p17,dupv_3,H6,0.322328972
p17,dupv_2,H7,0.401122009
p17,dupv_3,H7,0.389702353
p17,dupv_2,H8,0.049192017
p17,dupv_3,H8,0.037977567
p18,dupv_2,H10,0.124648123
p18,dupv_3,H10,0.120927774
p18,dupv_2,H11,0.180260218
p18,dupv_3,H11,0.179133179
p18,dupv_2,H14,0.370568604
p18,dupv_3,H14,0.379665527
p18,dupv_2,H15,0.41443891
p18,dupv_3,H15,0.429573496
p18,dupv_2,H16,0.08008809
p18,dupv_3,H16,0.077096311
p18,dupv_2,H17,0.516306645
p18,dupv_3,H17,0.556961745
p18,dupv_2,H2,0.527748639
p18,dupv_3,H2,0.552100245
p18,dupv_2,H3,0.516306645
p18,dupv_3,H3,0.556961745
p18,dupv_2,H4,0.140615903
p18,dupv_3,H4,0.150413038
p18,dupv_2,H6,0.313733089
p18,dupv_3,H6,0.328162025
p18,dupv_2,H7,0.404124569
p18,dupv_3,H7,0.424738555
p18,dupv_2,H8,0.035419985
p18,dupv_3,H8,0.036773177
p20,dupv_2,H10,0.132088696
p20,dupv_3,H10,0.145778887
p20,dupv_2,H11,0.176153189
p20,dupv_3,H11,0.187833592
p20,dupv_2,H14,0.398612169
p20,dupv_3,H14,0.404228796
p20,dupv_2,H15,0.431804397
p20,dupv_3,H15,0.453199611
p20,dupv_2,H16,0.071201113
p20,dupv_3,H16,0.070613264
p20,dupv_2,H17,0.585110466
p20,dupv_3,H17,0.562071084
p20,dupv_2,H2,0.543979391
p20,dupv_3,H2,0.543337617
p20,dupv_2,H3,0.585110466
p20,dupv_3,H3,0.562071084
p20,dupv_2,H4,0.157420524
p20,dupv_3,H4,0.13781458
p20,dupv_2,H6,0.323890346
p20,dupv_3,H6,0.320489181
p20,dupv_2,H7,0.376546542
p20,dupv_3,H7,0.38597154
p20,dupv_2,H8,0.029474678
p20,dupv_3,H8,0.028757603
p21,dupv_3,H10,0.175276739
p21,dupv_4,H10,0.217217416
p21,dupv_3,H11,0.237231248
p21,dupv_4,H11,0.292847307
p21,dupv_3,H14,0.450909398
p21,dupv_4,H14,0.524913142
p21,dupv_3,H15,0.496295782
p21,dupv_4,H15,0.54530306
p21,dupv_3,H16,0.079291358
p21,dupv_4,H16,0.08229298
p21,dupv_3,H17,0.562848959
p21,dupv_4,H17,0.607196569
p21,dupv_3,H2,0.563199993
p21,dupv_4,H2,0.600041994
p21,dupv_3,H3,0.562848959
p21,dupv_4,H3,0.607196569
p21,dupv_3,H4,0.136420843
p21,dupv_4,H4,0.149287702
p21,dupv_3,H6,0.35370122
p21,dupv_4,H6,0.401338003
p21,dupv_3,H7,0.421704706
p21,dupv_4,H7,0.459008742
p21,dupv_3,H8,0.030176218
p21,dupv_4,H8,0.029819924
p22,dupv_3,H10,0.163816088
p22,dupv_3,H11,0.20303595
p22,dupv_3,H14,0.435193291
p22,dupv_3,H15,0.465402966
p22,dupv_3,H16,0.063807794
p22,dupv_3,H17,0.568131557
p22,dupv_3,H2,0.547055983
p22,dupv_3,H3,0.568131557
p22,dupv_3,H4,0.132605663
p22,dupv_3,H6,0.354632275
p22,dupv_3,H7,0.369663418
p22,dupv_3,H8,0.02449209
p23,dupv_3,H1,0.012606671
p23,dupv_3,H10,0.190352565
p23,dupv_3,H11,0.215485591
p23,dupv_3,H14,0.469812219
p23,dupv_3,H15,0.49591407
p23,dupv_3,H16,0.063883335
p23,dupv_3,H17,0.604096657
p23,dupv_3,H2,0.593528437
p23,dupv_3,H3,0.604096657
p23,dupv_3,H4,0.13498819
p23,dupv_3,H6,0.389531826
p23,dupv_3,H7,0.391420815
p23,dupv_3,H8,0.020960051
p24,dupv_4,H1,0.01072894
p24,dupv_3,H10,0.214570374
p24,dupv_4,H10,0.249110905
p24,dupv_3,H11,0.256329706
p24,dupv_4,H11,0.326722756
p24,dupv_3,H14,0.51734544
p24,dupv_4,H14,0.530270443
p24,dupv_3,H15,0.531281278
p24,dupv_4,H15,0.578469842
p24,dupv_3,H16,0.068659034
p24,dupv_4,H16,0.073110019
p24,dupv_3,H17,0.565220212
p24,dupv_4,H17,0.539033848
p24,dupv_3,H2,0.60096852
p24,dupv_4,H2,0.594758845
p24,dupv_3,H3,0.565220212
p24,dupv_4,H3,0.539033848
p24,dupv_3,H4,0.119604318
p24,dupv_4,H4,0.106250447
p24,dupv_3,H6,0.409963232
p24,dupv_4,H6,0.437761693
p24,dupv_3,H7,0.411419615
p24,dupv_4,H7,0.46197872
p24,dupv_3,H8,0.02306001
p24,dupv_4,H8,0.020587186
p25,dupv_4,H10,0.175938687
p25,dupv_5,H10,0.264481571
p25,dupv_4,H11,0.269492864
p25,dupv_5,H11,0.39878525
p25,dupv_5,H12,0.018152492
p25,dupv_4,H14,0.457320516
p25,dupv_5,H14,0.528133295
p25,dupv_4,H15,0.561682933
p25,dupv_5,H15,0.659569012
p25,dupv_4,H16,0.113031996
p25,dupv_5,H16,0.141019019
p25,dupv_4,H17,0.6357343
p25,dupv_5,H17,0.646963486
p25,dupv_4,H2,0.541327107
p25,dupv_5,H2,0.543556965
p25,dupv_4,H3,0.6357343
p25,dupv_5,H3,0.646963486
p25,dupv_4,H4,0.183280945
p25,dupv_5,H4,0.178033457
p25,dupv_4,H6,0.381707815
p25,dupv_5,H6,0.426954263
p25,dupv_4,H7,0.490079578
p25,dupv_5,H7,0.561618845
p25,dupv_4,H8,0.05257957
p25,dupv_5,H8,0.06123195
p26,dupv_4,H10,0.22556476
p26,dupv_4,H11,0.33073688
p26,dupv_4,H14,0.531504366
p26,dupv_4,H15,0.599358443
p26,dupv_4,H16,0.099049873
p26,dupv_4,H17,0.596451248
p26,dupv_4,H2,0.568525982
p26,dupv_4,H3,0.596451248
p26,dupv_4,H4,0.144735995
p26,dupv_4,H6,0.428033156
p26,dupv_4,H7,0.516007977
p26,dupv_4,H8,0.040126205
p27,dupv_5,H10,0.266000649
p27,dupv_6,H10,0.294385142
p27,dupv_5,H11,0.401393838
p27,dupv_6,H11,0.438433003
p27,dupv_5,H12,0.018182502
p27,dupv_6,H12,0.02599936
p27,dupv_5,H14,0.545682341
p27,dupv_6,H14,0.528145803
p27,dupv_5,H15,0.672286133
p27,dupv_6,H15,0.673688082
p27,dupv_5,H16,0.146539829
p27,dupv_6,H16,0.152753216
p27,dupv_5,H17,0.604520146
p27,dupv_6,H17,0.661009304
p27,dupv_5,H2,0.567629869
p27,dupv_6,H2,0.534560846
p27,dupv_5,H3,0.604520146
p27,dupv_6,H3,0.661009304
p27,dupv_5,H4,0.17664819
p27,dupv_6,H4,0.195412306
p27,dupv_5,H6,0.45079004
p27,dupv_6,H6,0.437783764
p27,dupv_5,H7,0.564644062
p27,dupv_6,H7,0.579126049
p27,dupv_5,H8,0.060514529
p27,dupv_6,H8,0.064394402
p28,dupv_5,H10,0.311893899
p28,dupv_6,H10,0.316778754
p28,dupv_7,H10,0.321810903
p28,dupv_5,H11,0.417936139
p28,dupv_6,H11,0.448685165
p28,dupv_7,H11,0.486129296
p28,dupv_5,H12,0.015988489
p28,dupv_6,H12,0.020158544
p28,dupv_7,H12,0.033193982
p28,dupv_5,H14,0.557636589
p28,dupv_6,H14,0.545931284
p28,dupv_7,H14,0.527321062
p28,dupv_5,H15,0.657360287
p28,dupv_6,H15,0.676424166
p28,dupv_7,H15,0.688724951
p28,dupv_5,H16,0.129913188
p28,dupv_6,H16,0.125028985
p28,dupv_7,H16,0.151418768
p28,dupv_5,H17,0.504943545
p28,dupv_6,H17,0.642365052
p28,dupv_7,H17,0.630541407
p28,dupv_5,H2,0.523661315
p28,dupv_6,H2,0.524867359
p28,dupv_7,H2,0.509144958
p28,dupv_5,H3,0.504943545
p28,dupv_6,H3,0.642365052
p28,dupv_7,H3,0.630541407
p28,dupv_5,H4,0.143986762
p28,dupv_6,H4,0.159787943
p28,dupv_7,H4,0.179776973
p28,dupv_5,H6,0.446612688
p28,dupv_6,H6,0.439734773
p28,dupv_7,H6,0.430565658
p28,dupv_5,H7,0.51000674
p28,dupv_6,H7,0.570036156
p28,dupv_7,H7,0.566183211
p28,dupv_5,H8,0.047350993
p28,dupv_6,H8,0.05248877
p28,dupv_7,H8,0.063689065
p30,dupv_6,H10,0.341443336
p30,dupv_6,H11,0.467475292
p30,dupv_6,H12,0.02063099
p30,dupv_6,H14,0.582252998
p30,dupv_6,H15,0.71314611
p30,dupv_6,H16,0.131940557
p30,dupv_6,H17,0.592247403
p30,dupv_6,H2,0.536450932
p30,dupv_6,H3,0.592247403
p30,dupv_6,H4,0.12061062
p30,dupv_6,H6,0.458737231
p30,dupv_6,H7,0.55352736
p30,dupv_6,H8,0.045968283
p31,dupv_5,H10,0.350149201
p31,dupv_6,H10,0.349485811
p31,dupv_7,H10,0.376345773
p31,dupv_5,H11,0.42784092
p31,dupv_6,H11,0.436549888
p31,dupv_7,H11,0.478881585
p31,dupv_7,H12,0.011494197
p31,dupv_5,H14,0.603904657
p31,dupv_6,H14,0.600196265
p31,dupv_7,H14,0.620889023
p31,dupv_5,H15,0.614037206
p31,dupv_6,H15,0.64640408
p31,dupv_7,H15,0.696736478
p31,dupv_5,H16,0.087581673
p31,dupv_6,H16,0.088691443
p31,dupv_7,H16,0.094105237
p31,dupv_5,H17,0.565904519
p31,dupv_6,H17,0.621951875
p31,dupv_7,H17,0.634191283
p31,dupv_5,H2,0.62826591
p31,dupv_6,H2,0.610062336
p31,dupv_7,H2,0.594501236
p31,dupv_5,H3,0.565904519
p31,dupv_6,H3,0.621951875
p31,dupv_7,H3,0.634191283
p31,dupv_5,H4,0.105028395
p31,dupv_6,H4,0.111685529
p31,dupv_7,H4,0.113510768
p31,dupv_5,H6,0.498969969
