"r","share"
"p12063",5.99239700164889e-13
"p12069",5.56844570009684e-05
"p12071",0.00284058093756441
"p12073",0.00039538227978807
"p12081",0.0016045487007025
"p12085",0.00241415843620676
"p12086",0.00174348336239662
"p12087",1.38996045412047e-06
"p12089",5.72236071670404e-05
"p12093",0.0021281632990409
"p12095",0.00400386536037152
"p12097",0.00114994160303179
"p12099",0.00635541129450174
"p12101",0.00127883106341756
"p12103",0.00177491615847781
"p12105",0.00656835045679927
"p12107",0.00380779427309662
"p12111",0.000525610088711824
"p12113",0.000421688193125503
"p12121",4.62222206417656e-05
"p12127",0.00232844271190113
"p12129",0.000384579621521519
"p13013",1.88416302268165e-06
"p13015",0.00554908311484428
"p13033",1.29206961548505e-05
"p13051",7.83086440175477e-09
"p13067",0.00441456555878057
"p13077",0.000575823911511995
"p13087",1.10787855234275e-06
"p13095",0.000113313720681515
"p13103",0.00288317101297811
"p13121",7.37664070902979e-10
"p13127",1.54658589181548e-05
"p13147",0.000127576451297746
"p13149",0.00473235805807564
"p13153",0.000110360719572956
"p13157",0.00014805948655231
"p13185",5.99239700164889e-13
"p13205",8.13631233731308e-05
"p13207",0.00548777344976186
"p13213",0.00210811545203075
"p13233",0.000189481858917444
"p13263",0.000259038363223526
"p13269",1.79771910049467e-12
"p13289",5.99239700164889e-13
"p13293",0.000150904730580266
"p13297",0.000398590176491689
"p13303",0.00023501193613289
"p16039",0.000307567060467425
"p16055",0.000490139668264016
"p16059",2.10429013109902e-08
"p16075",0.000379107548546202
"p17011",7.33750424436408e-05
"p17019",8.9114134290921e-08
"p17021",0.00246084519105953
"p17023",8.0744553398718e-08
"p17025",1.15739312952767e-06
"p17027",3.93394870761248e-07
"p17031",6.44575215635246e-05
"p17039",2.31863817184801e-08
"p17043",0.000143017654498438
"p17049",3.71912127510337e-08
"p17051",6.69505348926824e-07
"p17053",1.05933108810992e-05
"p17063",0.000134399955412183
"p17073",3.51304274221666e-08
"p17079",0.00230682334619326
"p17089",1.09643103665462e-05
"p17093",0.0013871317077607
"p17097",0.00104825783177121
"p17099",1.35462928139875e-07
"p17103",0.000716650426871109
"p17109",4.02251633529685e-08
"p17119",1.58003569157457e-05
"p17121",1.08980308602697e-06
"p17127",0.00254962067881642
"p17133",2.67929058539224e-07
"p17139",1.3711862743143e-07
"p17141",1.15778802849008e-06
"p17143",0.00172916537408992
"p17145",1.19173969149805e-05
"p17147",2.25015645967346e-06
"p17149",3.42353430820303e-07
"p17157",0.00394496946575954
"p17161",9.15626241103565e-05
"p17163",4.08112197797298e-08
"p17167",0.000821567345597801
"p17171",2.23330931489509e-05
"p17173",0.000578109314052353
"p17179",0.00378417368109292
"p17183",1.53908988255818e-05
"p17189",0.00715811696111008
"p17193",6.64544842688859e-08
"p17195",3.43382325385486e-07
"p17197",0.00187091336011088
"p17199",0.00074154743718826
"p17201",5.12388942160667e-05
"p18029",0.00224169490687284
"p18051",0.00596100150704056
"p18055",2.88130765136314e-05
"p18057",0.000412204407507443
"p18065",7.31952225944153e-05
"p18073",0.0016969686528572
"p18075",1.19847940032978e-12
"p18077",0.00389168123109364
"p18081",4.27695351198686e-08
"p18083",0.00211534164402522
"p18089",0.000662199993173286
"p18091",0.000980200986536476
"p18093",2.28571953815915e-05
"p18095",1.88537864033741e-05
"p18097",0.00067241280781817
"p18099",5.99239700164889e-13
"p18103",3.81715689005034e-09
"p18109",0.00100399249548518
"p18125",0.00526325040459536
"p18127",4.79023221723913e-05
"p18129",0.00215846919250699
"p18141",0.00122231400000608
"p18147",0.00421142280665116
"p18153",0.0035560102379692
"p18157",3.8980500548947e-05
"p18165",0.00301110321790485
"p18167",0.000921873744632649
"p18173",0.00374770219956552
"p18177",5.01134974903293e-05
"p18179",0.000134441464146973
"p19001",8.51471674758294e-08
"p19003",1.27721949693144e-08
"p19005",0.00071755819352026
"p19009",5.98289108251327e-05
"p19011",2.83626741724744e-07
"p19013",1.17009203748166e-05
"p19015",1.84487926489764e-08
"p19017",3.15251616900946e-07
"p19021",1.53168064320946e-07
"p19027",1.55860448293787e-07
"p19029",1.05907826888042e-07
"p19031",6.74348404183556e-08
"p19033",0.00049045313534509
"p19037",0.000154386065752228
"p19041",2.92800262598688e-06
"p19043",1.83517158175497e-08
"p19047",4.11078434313114e-09
"p19053",1.8781490530508e-07
"p19055",1.83511165778496e-08
"p19057",1.14676675200068e-05
"p19059",1.59922694221205e-07
"p19061",6.16102305327529e-08
"p19063",9.43676687422666e-08
"p19067",4.11115587174524e-07
"p19073",4.50208786733881e-09
"p19075",1.75042111096065e-07
"p19077",1.26739196584874e-08
"p19079",9.91386953870394e-07
"p19087",2.7227534408452e-07
"p19089",4.69803924929273e-09
"p19095",4.96551588185833e-07
"p19097",2.47630412935839e-07
"p19103",1.75916641514486e-06
"p19109",3.62662263498592e-07
"p19113",6.5772991728997e-05
"p19115",0.00207884135824391
"p19119",8.02561730430836e-09
"p19121",3.90500543009452e-08
"p19125",4.92932180396837e-07
"p19127",0.000758327914153034
"p19131",1.98921213907936e-07
"p19137",1.16959604678183e-08
"p19139",0.000309631039743894
"p19143",4.76143880957018e-08
"p19145",4.53145061264689e-08
"p19147",2.61707751972113e-07
"p19151",1.74895297369525e-07
"p19153",0.000395354435516162
"p19155",0.00406830670905478
"p19157",5.23197380693365e-07
"p19169",0.000135472856343227
"p19171",1.57084695001224e-08
"p19173",1.94273510793457e-08
"p19175",2.89714417838719e-06
"p19179",0.00244934724156052
"p19181",2.55150871172908e-07
