ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,aggreg
p95,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,SC
p96,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,SC
p97,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,NC
p98,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,NC
p99,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,VA
p100,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,VA
p101,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,FL
p102,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,FL
p103,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,MI,USA,lake-states,MI
p104,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,MI,USA,lake-states,MI
p105,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,IN
p106,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,IN
p107,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,IN
p108,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,KY
p109,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,KY
p110,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,KY
p111,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,OH
p112,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,OH
p113,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,OH
p114,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,OH
p115,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,PA
p116,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,WV
p117,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,WV
p118,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,VA
p119,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,PA
p120,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,PA
p121,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MD
p122,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,PA
p123,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MD
p124,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,VA
p125,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,DE,USA,northeast,DE
p126,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,NJ,USA,northeast,NJ
p127,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NY_UP
p128,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NY_NYCLI
p129,NPCC_NE,ISONE,ISONE,New_England,VT,eastern,VT,USA,northeast,VT
p130,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,NH,USA,northeast,NH
p131,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,MA,USA,northeast,MA
p132,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,CT,USA,northeast,CT
p133,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,RI,USA,northeast,RI
p134,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,ME,USA,northeast,ME
p135,nrn5,CAISO,CAISO,Pacific,MEX,western,MEX,MEX,other,MEX
p136,nrn5,CAISO,CAISO,Pacific,MEX,western,MEX,MEX,other,MEX
p137,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN
p138,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN
p139,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN
p140,nrn21,CAN,CAN,Mountain,AB,western,AB,CAN,other,CAN
p141,nrn21,CAN,CAN,Mountain,AB,western,AB,CAN,other,CAN
p142,nrn22,CAN,CAN,West_North_Central,SK,eastern,SK,CAN,other,CAN
p143,nrn23,CAN,CAN,West_North_Central,MB,eastern,MB,CAN,other,CAN
p144,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN
p145,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN
p146,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN
p147,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN
p148,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN
p149,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN
p150,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN
p151,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN
p152,nrn26,CAN,CAN,New_England,NB,eastern,NB,CAN,other,CAN
p153,nrn26,CAN,CAN,New_England,NS,eastern,NS,CAN,other,CAN
p154,nrn24,CAN,CAN,New_England,NL,quebec,NL,CAN,other,CAN
p155,nrn24,CAN,CAN,New_England,NFI,quebec,NFI,CAN,other,CAN
p156,nrn26,CAN,CAN,New_England,PEI,eastern,PEI,CAN,other,CAN
p157,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX
p158,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX
p159,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX
p160,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX
p161,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX
p162,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX
p163,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX
p164,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX
p165,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX
p166,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX
p167,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX
p168,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX
p169,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p170,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p171,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p172,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX
p173,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX
p174,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX
p175,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p176,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX
p177,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p178,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX
p179,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX
p180,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX
p181,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX
p182,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX
p183,nrn27,MEX,MEX,MEX,COL,mexico,COL,MEX,other,MEX
p184,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX
p185,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX
p186,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX
p187,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p188,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p189,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p190,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p191,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX
p192,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p193,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p194,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX
p195,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX
p196,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX
p197,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX
p198,nrn27,MEX,MEX,MEX,YUC,mexico,YUC,MEX,other,MEX
p199,nrn27,MEX,MEX,MEX,ROO,mexico,ROO,MEX,other,MEX
p200,nrn27,MEX,MEX,MEX,ROO,mexico,ROO,MEX,other,MEX
p201,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX
p202,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX
p203,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX
p204,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX
p205,nrn27,MEX,MEX,MEX,BCS,mexico,BCS,MEX,other,MEX
